[00:00:00]	[OOC] Unknown: rejoin*
[16:45:28]	Agent Praethos Alkveid exited observer at their location.
[16:45:35]	Tunk Shump used command '/c *You hear static for a second* A man starts speaking in some alien language'.
[16:45:49]	Flight Crewman Second Class Dash Rene used command '/c Can we get a droid to translate this?'.
[16:46:07]	Corporal IN-3331 used command '/c It's the unknown regions. I doubt that's a common language.'.
[16:46:12]	Flight Crewman Second Class Dash Rene used command '/c Welp'.
[16:46:19]	Flight Sub-Lieutenant Erik Crogour used command '/comm Can I just kill the fucker.'.
[16:46:23]	[OOC] Flight Sub-Lieutenant Erik Crogour: *?
[16:46:23]	Flight Crewman Second Class Dash Rene used command '/c NO'.
[16:46:32]	Private First Class TX-7062 used command '/comm Wait for us Troopers.'.
[16:46:33]	Flight Crewman Second Class Dash Rene used command '/c Its a civilain'.
[16:46:35]	DRD loaded the character 'R2-M3'
[16:46:36]	Corporal IN-3331 used command '/c Since we have no other infantry units joining us, pilots, join the patrol team so you know where we are if we need backup.'.
[16:46:43]	Flight Crewman Second Class Dash Rene ran 'join' on item 'Squad Identification Device' (#529)
[16:46:52]	Private First Class TX-7062 ran 'manage' on item 'Squad Identification Device' (#856)
[16:46:52]	Flight Sub-Lieutenant Erik Crogour ran 'join' on item 'Squad Identification Device' (#849)
[16:46:53]	Flight Crewman Second Class Dash Rene ran 'join' on item 'Squad Identification Device' (#529)
[16:47:04]	Flight Crewman Second Class Dash Rene used command '/c Patrol team snow do you copy?'.
[16:47:10]	Private First Class TX-7062 used command '/comm We copy'.
[16:47:16]	Corporal IN-3331 used command '/c Yup. Moving out now to the cave.'.
[16:47:21]	Corporal IN-3331 ran 'EquipUn' on item 'Imperial Flamethrower' (#169)
[16:47:22]	Corporal IN-3331 ran 'Equip' on item 'E-11B Blaster' (#172)
[16:47:23]	Corporal IN-3331 used command '/ToggleRaise'.
[16:47:33]	Flight Crewman Second Class Dash Rene used command '/c following patrol team snow now'.
[16:47:52]	Agent Praethos Alkveid entered observer.
[16:47:52]	Agent Praethos Alkveid exited observer at their location.
[16:48:02]	Tunk Shump used command '/CharGiveFlag tunk U'.
[16:48:22]	Flight Sub-Lieutenant Erik Crogour used command '/comm At the cave.'.
[16:48:22]	[ME] Tunk Shump: pulls a pickaxe out of the back
[16:48:28]	Corporal IN-3331 used command '/c Copy'.
[16:48:32]	Agent Praethos Alkveid entered observer.
[16:48:34]	Agent Praethos Alkveid exited observer at their location.
[16:48:44]	Agent Praethos Alkveid entered observer.
[16:48:49]	[OOC] Tunk Shump: You can see the man pull something out of the back of the speeder
[16:49:02]	Private First Class TX-7062 used command '/comm I'll cloak, just in case.'.
[16:49:05]	Flight Sub-Lieutenant Erik Crogour used command '/comm He pulled SOMETHING out of the speeder'.
[16:49:07]	Flight Crewman Second Class Dash Rene used command '/c Subject is entering the cave with something coming from the trunl'.
[16:49:15]	[LOOC] Flight Crewman Second Class Dash Rene: trunk*
[16:49:28]	Corporal IN-3331 used command '/c Copy. Equipping flamer. When we enter the cave, blow his speeder up.'.
[16:49:29]	Corporal IN-3331 used command '/ToggleRaise'.
[16:49:31]	Corporal IN-3331 ran 'EquipUn' on item 'E-11B Blaster' (#172)
[16:49:32]	Corporal IN-3331 ran 'Equip' on item 'Imperial Flamethrower' (#169)
[16:49:36]	Corporal IN-3331 used command '/ToggleRaise'.
[16:49:41]	Flight Crewman Second Class Dash Rene used command '/c Do not burn it'.
[16:49:51]	[ME] Tunk Shump: begins mining
[16:49:56]	Tunk Shump entered observer.
[16:50:03]	Agent Praethos Alkveid has spawned a 'Entity [1450][gb_bomb_sc100]'.
[16:50:03]	Tunk Shump exited observer at their location.
[16:50:16]	[Y] Corporal IN-3331: HOLD IT!
[16:50:19]	[IT] Tunk Shump: You see the man mining
[16:50:27]	Tunk Shump used command '/uk The fuck?'.
[16:50:32]	Corporal IN-3331 used command '/ToggleRaise'.
[16:50:38]	Corporal IN-3331 used command '/c It... appears to just be mining.\'.
[16:50:41]	Tunk Shump used command '/uk Hey get out of here this is my spot!'.
[16:50:48]	[IT] Tunk Shump: the man points at you angrily
[16:50:59]	Flight Crewman Second Class Dash Rene used command '/c If its just a civilain let it be'.
[16:51:01]	Corporal IN-3331 used command '/c Subject running to the front of the cave.'.
[16:51:26]	[IT] Tunk Shump: The man flags down the ship
[16:51:39]	Tunk Shump used command '/uk What the fuck is wrong with you!'.
[16:51:40]	Corporal IN-3331 used command '/c Goddamnit Dash, why did you land?'.
[16:51:48]	Tunk Shump used command '/uk Did you assholes blow up my speeder?'.
[16:51:49]	Flight Crewman Second Class Dash Rene used command '/c Im talking to him'.
[16:51:59]	Corporal IN-3331 used command '/c He doesn't understand common most likely.'.
[16:52:08]	Tunk Shump used command '/uk You better pay for that it takes me months to buy a new one!'.
[16:52:19]	Flight Crewman Second Class Dash Rene used command '/c Can we atleast try using a protocal droid'.
[16:52:25]	[ME] Tunk Shump: reaches towards my belt while pointing angrily at the pilot
[16:52:32]	Flight Crewman Second Class Dash Rene used command '/c he has something'.
[16:52:42]	[ME] Tunk Shump: trows down the pickaxe
[16:52:50]	Tunk Shump used command '/uk You're a fucking idiot'.
[16:53:32]	Corporal IN-3331 used command '/c Whatever, it's just a native here. We're returning to base.'.
[16:53:36]	Flight Crewman Second Class Dash Rene used command '/c How about we just put him in a cell'.
[16:53:43]	Flight Crewman Second Class Dash Rene used command '/c We cant just leave him out here in the cold'.
[16:53:46]	Private First Class TX-7062 used command '/comm want me to stay just in case?'.
[16:53:47]	Tunk Shump used command '/uk Drop some credits!'.
[16:53:48]	Corporal IN-3331 used command '/c Negative. Waste of a cell.'.
[16:53:56]	[ME] Flight Crewman Second Class Dash Rene: waves
[16:54:00]	Corporal IN-3331 used command '/c I'll leave that up to you First Class.'.
[16:54:03]	Flight Sub-Lieutenant Erik Crogour used command '/comm He's already dead'.
[16:54:17]	[ME] Flight Crewman Second Class Dash Rene: signles to go in the cave for the night
[16:54:20]	Flight Sub-Lieutenant Erik Crogour used command '/comm Lemme kill him.'.
[16:54:24]	Private First Class TX-7062 used command '/comm I'll wait just in case he pulls out a blaster, if he does i'll blast him in the back of his head.'.
[16:54:24]	Flight Crewman Second Class Dash Rene used command '/c No'.
[16:54:29]	Corporal IN-3331 used command '/c Negative, do not.'.
[16:54:30]	Flight Sub-Lieutenant Erik Crogour used command '/comm I have him in my sights'.
[16:54:37]	Flight Crewman Second Class Dash Rene used command '/c Hes demanding credits'.
[16:54:38]	Agent Praethos Alkveid used command '/c Imperial Troops, come in.'.
[16:54:43]	Flight Sub-Lieutenant Erik Crogour used command '/comm We already sentenced him to death.'.
[16:54:44]	Corporal IN-3331 used command '/c We can hear you.'.
[16:54:44]	Flight Crewman Second Class Dash Rene used command '/c You can shoot him if you want im out'.
[16:54:51]	Corporal IN-3331 used command '/c DO NOT shoot him.'.
[16:55:01]	[Y] Tunk Shump: Credits now!
[16:55:02]	DRD loaded the character 'Private First Class HA-1617'
[16:55:05]	Private First Class TX-7062 used command '/comm Returning with the IN trooper.'.
[16:55:07]	Corporal IN-3331 used command '/c We've already pissed off the natives here enough. Would rather not piss off more.'.
[16:55:13]	[ME] Flight Crewman Second Class Dash Rene: throws 10 credits at the man
[16:55:16]	Private First Class HA-1617 ran 'Equip' on item 'Jetpack' (#760)
[16:55:17]	Private First Class HA-1617 ran 'join' on item 'Squad Identification Device' (#761)
[16:55:32]	[ME] Tunk Shump: picks up the 10 credits
[16:55:35]	Flight Sub-Lieutenant Erik Crogour used command '/comm We hear you Agent.'.
[16:55:59]	[ME] Flight Crewman Second Class Dash Rene: reaches into pocket and throws 100
[16:56:08]	Corporal IN-3331 used command '/c HA, return to base'.
[16:56:15]	[ME] Tunk Shump: picks up the rest of the credits
[16:56:16]	Corporal IN-3331 used command '/c We just were checking something out.'.
[16:56:31]	[OOC] Private First Class HA-1617: give smartlauncher
[16:56:58]	Tunk Shump used command '/c *You hear the native talking to someone faintly with a lot of anger in his voice*'.
[16:57:34]	Corporal IN-3331 used command '/c Closing the front gate.'.
[16:57:47]	Corporal IN-3331 used command '/c Disbanding patrol team.'.
[16:57:50]	Corporal IN-3331 ran 'leave' on item 'Squad Identification Device' (#531)
[16:57:52]	Private First Class TX-7062 ran 'leave' on item 'Squad Identification Device' (#856)
[16:58:03]	Corporal IN-3331 used command '/c Thank you Pilots, for assisting us.'.
[16:58:09]	Flight Sub-Lieutenant Erik Crogour used command '/comm Yeah.'.
[16:58:10]	Flight Crewman Second Class Dash Rene used command '/c Welcome'.
[16:58:19]	Agent Praethos Alkveid used command '/c I will be making a visit to your base once more for inspection and residence until we go back up.'.
[16:58:26]	Private First Class HA-1617 ran 'leave' on item 'Squad Identification Device' (#761)
[16:58:27]	Corporal IN-3331 used command '/c Copy.'.
[16:58:33]	DRD loaded the character 'R2-M3'
[16:58:35]	Private First Class TX-7062 used command '/comm Understood'.
[16:58:49]	R2-M3 used command '/dr Hello'.
[16:58:51]	Tunk Shump used command '/CharDesc'.
[16:58:57]	Agent Praethos Alkveid used command '/c I require a pilot to pick me up and take me down.'.
[16:59:02]	Tunk Shump used command '/CharDesc'.
[16:59:04]	Flight Crewman Second Class Dash Rene used command '/c Copy that'.
[16:59:08]	Agent Praethos Alkveid used command '/c NOT Rene.'.
[16:59:14]	Flight Crewman Second Class Dash Rene used command '/c No sir its fine'.
[16:59:21]	Corporal IN-3331 used command '/c Going to be in the Cantina if needed.'.
[16:59:23]	Flight Sub-Lieutenant Erik Crogour used command '/comm Rene is our best pilot.'.
[16:59:38]	Private First Class TX-7062 used command '/comm No he fucking isn't.'.
[16:59:44]	Agent Praethos Alkveid used command '/c This is a quite disappointing conversation.'.
[16:59:48]	Flight Crewman Second Class Dash Rene used command '/c Whats your location sir?'.
[16:59:48]	Flight Sub-Lieutenant Erik Crogour used command '/comm Yes he is.'.
[16:59:51]	Tunk Shump used command '/CharDesc 6'3| Abednedo | Fairly bulky build | Light red skin from living on this snowy planet for his entire life'.
[17:00:00]	Private First Class TX-7062 used command '/comm Yes it is disappointing.'.
[17:00:12]	Agent Praethos Alkveid used command '/c I was here yesterday, and was responsible for Rene's punishment and demotion.'.
[17:00:18]	Vutta loaded the character 'R5-89'
[17:00:20]	Private First Class TX-7062 used command '/comm Now we look like ass, fucking wonderful.'.
[17:00:27]	Flight Crewman Second Class Dash Rene used command '/c Sir I can promise I can get you'.
[17:00:32]	Agent Praethos Alkveid used command '/c No. That is final.'.
[17:00:39]	Flight Crewman Second Class Dash Rene used command '/c Well no other pilots are here'.
[17:00:50]	Agent Praethos Alkveid used command '/c I have found a pilot onboard the Chimaera to take me down.'.
[17:01:03]	Tunk Shump has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/items/harvesting/crystals/crystal_polychromic.mdl'.
[17:01:06]	Tunk Shump has spawned 'models/statua/starwars/crystals/green.mdl'.
[17:01:09]	Tunk Shump has spawned 'models/ataman/crystals/crystal.mdl'.
[17:01:11]	Tunk Shump has spawned 'models/ataman/crystals/crystal_big.mdl'.
[17:01:12]	R5-89 used the 'Armory' vendor.
[17:01:14]	R5-89 has gained 0 credits.
[17:01:14]	R5-89 has gained a 'Comlink' #857.
[17:01:17]	Corporal IN-3331 used command '/c Copy, we await your arrival.'.
[17:01:21]	Tunk Shump has spawned 'models/ataman/crystals/crystal.mdl'.
[17:01:22]	R5-89 has gained 0 credits.
[17:01:22]	R5-89 has gained a 'Flashlight' #858.
[17:01:26]	Tunk Shump has spawned 'models/statua/starwars/crystals/blue.mdl'.
[17:01:27]	Agent Praethos Alkveid has spawned a 'Entity [1442][lunasflightschool_imp_dropship]'.
[17:01:27]	R5-89 ran 'Power' on item 'Comlink' (#857)
[17:01:31]	Tunk Shump has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/items/harvesting/crystals/crystal_amorphous.mdl'.
[17:01:51]	Corporal IN-3331 entered observer.
[17:01:53]	Agent Praethos Alkveid exited observer at their location.
[17:02:02]	Tunk Shump has gained a 'crystal' #859.
[17:02:02]	Tunk Shump used command '/CreateCustomItem crystal models/ataman/crystals/crystal.mdl Shiny crystal with minimal problems'.
[17:02:05]	Tunk Shump has gained a 'crystal' #860.
[17:02:05]	Tunk Shump used command '/CreateCustomItem crystal models/ataman/crystals/crystal.mdl Shiny crystal with minimal problems'.
[17:02:06]	Tunk Shump has gained a 'crystal' #861.
[17:02:06]	Tunk Shump used command '/CreateCustomItem crystal models/ataman/crystals/crystal.mdl Shiny crystal with minimal problems'.
[17:02:07]	Tunk Shump has gained a 'crystal' #862.
[17:02:07]	Tunk Shump used command '/CreateCustomItem crystal models/ataman/crystals/crystal.mdl Shiny crystal with minimal problems'.
[17:02:20]	Corporal IN-3331 exited observer at their location.
[17:02:23]	Corporal IN-3331 entered observer.
[17:02:24]	Corporal IN-3331 exited observer at their location.
[17:02:51]	Corporal IN-3331 entered observer.
[17:02:51]	Corporal IN-3331 exited observer at their location.
[17:02:53]	[Y] Flight Crewman Second Class Dash Rene: Droid.
[17:02:58]	Tunk Shump has gained a 'crystal' #863.
[17:02:58]	Tunk Shump used command '/CreateCustomItem crystal models/ataman/crystals/crystal.mdl Shiny crystal with minimal problems'.
[17:02:59]	Tunk Shump has gained a 'crystal' #864.
[17:02:59]	Tunk Shump used command '/CreateCustomItem crystal models/ataman/crystals/crystal.mdl Shiny crystal with minimal problems'.
[17:03:00]	Tunk Shump has gained a 'crystal' #865.
[17:03:00]	Tunk Shump used command '/CreateCustomItem crystal models/ataman/crystals/crystal.mdl Shiny crystal with minimal problems'.
[17:03:01]	Tunk Shump has gained a 'crystal' #866.
[17:03:01]	Tunk Shump used command '/CreateCustomItem crystal models/ataman/crystals/crystal.mdl Shiny crystal with minimal problems'.
[17:03:19]	Tunk Shump has spawned a 'Entity [1416][landspeeder]'.
[17:03:24]	[Y] Flight Crewman Second Class Dash Rene: Shoo.
[17:03:24]	Corporal IN-3331 entered observer.
[17:03:24]	Corporal IN-3331 exited observer at their location.
[17:03:37]	R5-89 used command '/dr Who does he think he is talking to?'.
[17:03:44]	R2-M3 used command '/dr He is unintelligent. Ignore it.'.
[17:04:13]	R5-89 used command '/dr Fuck you.'.
[17:04:20]	Tunk Shump has spawned a 'Entity [1416][xj6]'.
[17:05:23]	Corporal IN-3331 used the 'Armory' vendor.
[17:05:23]	Private First Class TX-7062 used the 'Armory' vendor.
[17:05:27]	Corporal IN-3331 has gained 0 credits.
[17:05:27]	Corporal IN-3331 has gained a 'Tibanna Cartridge' #867.
[17:05:28]	Corporal IN-3331 has gained 0 credits.
[17:05:28]	Corporal IN-3331 has gained a 'Tibanna Cartridge' #868.
[17:05:32]	R5-89 used command '/dr Why is this pilot still stationed here?'.
[17:05:43]	R2-M3 used command '/dr Unknown.'.
[17:05:50]	Private First Class TX-7062 used the 'Armory' vendor.
[17:05:50]	Tunk Shump entered observer.
[17:06:04]	R5-89 used command '/dr Identify the Agent?'.
[17:06:10]	Agent Praethos Alkveid has spawned a 'NPC [1501][npc_vjks_strooperf]'.
[17:06:16]	Agent Praethos Alkveid has spawned a 'NPC [1502][npc_vjks_stroopereodf]'.
[17:06:26]	Agent Praethos Alkveid has spawned a 'NPC [1501][npc_vjks_strooperheavyf]'.
[17:06:38]	Tunk Shump exited observer at their location.
[17:06:54]	[ME] Flight Crewman Second Class Dash Rene: salutes
[17:06:59]	Tunk Shump used command '/CharAddAttribute tunk str 6'.
[17:07:07]	Tunk Shump used command '/CharAddAttribute tunk con 2'.
[17:07:16]	Tunk Shump used command '/CharAddAttribute tunk str 8'.
[17:07:20]	Tunk Shump entered observer.
[17:07:26]	R5-89 used command '/dr Orders?'.
[17:07:45]	Tunk Shump exited observer at their location.
[17:07:46]	Tunk Shump has spawned a 'Entity [1496][xj6]'.
[17:08:01]	[ME] Flight Crewman Second Class Dash Rene: stares at the gun
[17:08:15]	Corporal IN-3331 entered observer.
[17:08:16]	Corporal IN-3331 exited observer at their location.
[17:08:18]	Corporal IN-3331 entered observer.
[17:08:19]	Corporal IN-3331 exited observer at their location.
[17:08:30]	Tunk Shump used command '/uk You want some shiny shit'.
[17:08:31]	Private First Class TX-7062 used command '/comm Remember that Native?'.
[17:08:31]	R5-89 used command '/dr Back up, from the agent.'.
[17:08:35]	Corporal IN-3331 used command '/c COrrect.'.
[17:08:36]	[OOC] Tunk Shump: afk rq
[17:08:37]	Tunk Shump entered observer.
[17:08:37]	Private First Class TX-7062 used command '/comm He's at our fucking gate.'.
[17:08:52]	[OOC] Tunk Shump: i gotta do something ignore tunk for now
[17:09:24]	R5-89 used command '/dr Escorting this VIP.'.
[17:09:43]	Tunk Shump exited observer at their location.
[17:09:44]	[OOC] Tunk Shump: back
[17:09:49]	Chicken created the character 'Parkuda Londa'
[17:09:50]	[OOC] Tunk Shump: continue tunk RP
[17:09:54]	[Y] Private First Class TX-7062: The fuck do you want?
[17:09:56]	Chicken loaded the character 'Parkuda Londa'
[17:09:57]	R5-89 used command '/dr Person'.
[17:09:58]	[ME] Tunk Shump: holds out some shiny crystals
[17:10:03]	[OOC] Parkuda Londa: donut
[17:10:06]	[OOC] Tunk Shump: yes?
[17:10:11]	[OOC] Tunk Shump: no
[17:10:13]	[OOC] Tunk Shump: cease
[17:10:14]	[Y] Private First Class TX-7062: I don't want your damn crystals!
[17:10:18]	[OOC] Parkuda Londa: can you change my model and tp me out of base
[17:10:21]	[OOC] Parkuda Londa: please
[17:10:26]	Agent Praethos Alkveid entered observer.
[17:10:45]	R5-89 used command '/dr Hello'.
[17:10:51]	R5-89 used command '/dr Bye.'.
[17:11:00]	[ME] Tunk Shump: holds crystals out to the scout
[17:11:10]	Tunk Shump ran 'drop' on item 'crystal' (#859)
[17:11:10]	Tunk Shump has lost a 'crystal' #859.
[17:11:17]	[LOOC] R5-89: I'm getting a security droid.
[17:11:45]	[ME] Private First Class TX-7062: Tosses five credits.
[17:11:55]	Private First Class TX-7062 has lost 5 credits.
[17:11:56]	Private First Class TX-7062 used command '/DropCredits 5'.
[17:11:59]	[ME] Corporal IN-3331: checks his metaphortical credit wallet
[17:12:00]	Tunk Shump has gained 5 credits.
[17:12:01]	Corporal IN-3331 rolled 22 out of 100.
[17:12:01]	Corporal IN-3331 used command '/Roll'.
[17:12:06]	Vutta created the character 'K2-80'
[17:12:10]	Vutta loaded the character 'K-0i'
[17:12:15]	[IT] Corporal IN-3331: IN-3331 has like, 10 credits.
[17:12:29]	Tunk Shump entered observer.
[17:12:40]	Private First Class TX-7062 ran 'take' on item 'crystal' (#859)
[17:12:40]	Private First Class TX-7062 has gained a 'crystal' #859.
[17:12:41]	Tunk Shump exited observer at their location.
[17:12:41]	K-0i used command '/PM Agent can I get my physgun and toolgun flags?'.
[17:12:50]	[Y] Private First Class TX-7062: Now go!
[17:12:55]	Tunk Shump used command '/CharSetModel parkuda models/npc_hcn/starwars/bf/ishitib/ishitib.mdl'.
[17:13:02]	K-0i used the 'Armory' vendor.
[17:13:04]	K-0i has gained 0 credits.
[17:13:04]	K-0i has gained a 'Comlink' #869.
[17:13:07]	[ME] Tunk Shump: hands crystals out to the others
[17:13:10]	Parkuda Londa used command '/CharDesc'.
[17:13:10]	Agent Praethos Alkveid used command '/CharSetName k-0i KX-0512'.
[17:13:11]	KX-0512 has gained 0 credits.
[17:13:11]	KX-0512 has gained a 'SE-14c Blaster' #870.
[17:13:13]	KX-0512 has gained 0 credits.
[17:13:13]	KX-0512 has gained a 'Tibanna Cartridge' #871.
[17:13:14]	KX-0512 has gained 0 credits.
[17:13:14]	KX-0512 has gained a 'Tibanna Cartridge' #872.
[17:13:14]	KX-0512 has gained 0 credits.
[17:13:14]	KX-0512 has gained a 'Tibanna Cartridge' #873.
[17:13:19]	Tunk Shump ran 'drop' on item 'crystal' (#860)
[17:13:19]	Tunk Shump has lost a 'crystal' #860.
[17:13:21]	KX-0512 ran 'Equip' on item 'SE-14c Blaster' (#870)
[17:13:23]	KX-0512 ran 'Power' on item 'Comlink' (#869)
[17:13:23]	Parkuda Londa used command '/CharDesc |5'8 |145 LB |alien|Green ski|'.
[17:13:24]	KX-0512 ran 'use' on item 'Tibanna Cartridge' (#871)
[17:13:25]	[ME] Corporal IN-3331: grabs ten credits, thus his entire fucking wallet, and drops it.
[17:13:35]	Tunk Shump entered observer.
[17:13:38]	Corporal IN-3331 ran 'take' on item 'crystal' (#860)
[17:13:39]	Corporal IN-3331 ran 'take' on item 'crystal' (#860)
[17:13:40]	Corporal IN-3331 ran 'use' on item 'Tibanna Cartridge' (#431)
[17:13:42]	Corporal IN-3331 ran 'take' on item 'crystal' (#860)
[17:13:42]	Corporal IN-3331 has gained a 'crystal' #860.
[17:13:44]	Tunk Shump exited observer at their location.
[17:13:51]	[Y] Private First Class TX-7062: NOW LEAVE!
[17:13:54]	[ME] Tunk Shump: waves
[17:14:00]	Tunk Shump used command '/uk See you dumbasses'.
[17:14:11]	Private First Class TX-7062 used command '/comm We drove the Native away.'.
[17:14:14]	Tunk Shump has spawned a 'Entity [1409][landspeeder]'.
[17:14:16]	Corporal IN-3331 used command '/c We just uh, traded with a native here. He was selling those crystals from the cave.'.
[17:14:36]	Corporal IN-3331 used command '/c If preferred, I can send in a crystal to be analyzed.'.
[17:14:43]	Agent Praethos Alkveid used command '/CharSetModel parkuda models/npc_hcn/starwars/bf/ishitib/ishitib_5.mdl'.
[17:14:49]	Parkuda Londa used command '/uk w'.
[17:14:56]	Agent Praethos Alkveid used command '/CharGiveFlag parkuda u'.
[17:14:57]	Parkuda Londa used command '/uk w'.
[17:15:07]	Agent Praethos Alkveid used command '/CharGiveFlag parkuda U'.
[17:15:10]	Agent Praethos Alkveid exited observer at their location.
[17:15:16]	Parkuda Londa used command '/uk Ogga'.
[17:16:02]	Corporal IN-3331 ran 'EquipUn' on item 'Imperial Flamethrower' (#169)
[17:16:03]	Corporal IN-3331 ran 'Equip' on item 'E-11B Blaster' (#172)
[17:16:09]	Corporal IN-3331 used command '/c Firing range is going to be hot.'.
[17:16:11]	Corporal IN-3331 used command '/ToggleRaise'.
[17:16:39]	Tunk Shump entered observer.
[17:16:41]	Tunk Shump exited observer at their location.
[17:16:44]	Tunk Shump entered observer.
[17:16:45]	Tunk Shump exited observer at their location.
[17:16:45]	Tunk Shump entered observer.
[17:16:45]	Corporal IN-3331 used command '/ToggleRaise'.
[17:16:46]	Tunk Shump exited observer at their location.
[17:16:51]	Corporal IN-3331 ran 'EquipUn' on item 'E-11B Blaster' (#172)
[17:16:53]	Corporal IN-3331 ran 'Equip' on item 'Imperial Flamethrower' (#169)
[17:17:11]	Agent Praethos Alkveid entered observer.
[17:17:17]	Tunk Shump has taken 10 damage from landspeeder.
[17:17:18]	Tunk Shump entered observer.
[17:17:20]	Tunk Shump exited observer at their location.
[17:17:33]	Tunk Shump used command '/uk Sup'.
[17:17:34]	Parkuda Londa used command '/uk hello'.
[17:17:48]	Parkuda Londa used command '/uk ah hello tunk shump'.
[17:17:57]	Parkuda Londa used command '/CharDesc'.
[17:18:00]	Tunk Shump used command '/uk You need some new crystals?'.
[17:18:00]	Parkuda Londa used command '/CharDesc |5'8 |145 LB |alien|Green skin|'.
[17:18:13]	Parkuda Londa used command '/uk Yes I have been looking for orange ones'.
[17:18:20]	Tunk Shump used command '/uk I can drive you to the mines'.
[17:19:13]	[ME] Tunk Shump: pulls pickaxes from the trunk
[17:19:24]	[ME] Tunk Shump: hands the ugly fuck a pickaxe
[17:19:28]	[ME] Parkuda Londa: takes
[17:19:46]	Tunk Shump used command '/CharSetModel park models/npc_hcn/starwars/bf/ishitib/ishitib.mdl'.
[17:20:12]	Corporal IN-3331 used command '/CharGiveFlag KX-0512 pt'.
[17:20:22]	Parkuda Londa used command '/uk There'.
[17:20:30]	Tunk Shump used command '/uk Too high'.
[17:21:00]	Tunk Shump used command '/uk There'.
[17:21:15]	Corporal IN-3331 ran 'drop' on item 'crystal' (#860)
[17:21:15]	Corporal IN-3331 has lost a 'crystal' #860.
[17:21:16]	Corporal IN-3331 ran 'take' on item 'crystal' (#860)
[17:21:16]	Corporal IN-3331 has gained a 'crystal' #860.
[17:21:20]	Tunk Shump used command '/uk I hear blue's good on the market now'.
[17:21:20]	Mr. Chief (STEAM_0:1:129270116) has disconnected.
[17:21:27]	Parkuda Londa used command '/uk Yess'.
[17:21:28]	Tunk Shump used command '/uk lot of ladies using it for jewlery'.
[17:21:32]	Tunk Shump used command '/ToggleRaise'.
[17:21:33]	[Y] Parkuda Londa: OHOHO.
[17:21:39]	[OOC] R2-M3: i'll be back
[17:21:39]	[ME] Tunk Shump: mines crystal
[17:21:41]	Tunk Shump used command '/ToggleRaise'.
[17:21:43]	[ME] Parkuda Londa: mines crysta;
[17:21:44]	DRD (STEAM_0:0:193599766) has disconnected.
[17:21:45]	[ME] Parkuda Londa: mines crystal
[17:22:13]	Tunk Shump used command '/CharSetAttribute tunk str 8'.
[17:22:37]	KX-0512 used command '/CharDesc'.
[17:22:38]	Tunk Shump ran 'drop' on item 'crystal' (#865)
[17:22:38]	Tunk Shump has lost a 'crystal' #865.
[17:22:41]	Parkuda Londa ran 'take' on item 'crystal' (#865)
[17:22:41]	Parkuda Londa has gained a 'crystal' #865.
[17:22:44]	KX-0512 used command '/CharDesc 7'8"  KX Security Droid'.
[17:22:44]	Tunk Shump ran 'drop' on item 'crystal' (#864)
[17:22:44]	Tunk Shump has lost a 'crystal' #864.
[17:22:47]	Parkuda Londa ran 'take' on item 'crystal' (#864)
[17:22:47]	Parkuda Londa has gained a 'crystal' #864.
[17:22:51]	KX-0512 used command '/CharDesc'.
[17:22:53]	Private First Class TX-7062 used command '/comm Anybody want to start a patrol?'.
[17:22:56]	Parkuda Londa used command '/uk'.
[17:22:58]	KX-0512 used command '/CharDesc 7'1"  KX Security Droid'.
[17:23:01]	Private First Class TX-7062 used command '/comm To be more specific, outside the base.'.
[17:23:13]	Corporal IN-3331 used command '/c I'll join if it's more than just us.'.
[17:23:16]	Parkuda Londa used command '/uk The white ones go for 300 per ounce'.
[17:23:19]	Lance Corporal LS-7979 used command '/c Uh... I'll go.'.
[17:23:26]	Corporal IN-3331 used command '/c Copy.'.
[17:23:29]	[OOC] Private First Class TX-7062: Copy
[17:23:30]	Tunk Shump used command '/uk Jeez they skyrocketed on the market did they?'.
[17:23:30]	Corporal IN-3331 ran 'join' on item 'Squad Identification Device' (#531)
[17:23:32]	Private First Class TX-7062 used command '/comm Copy'.
[17:23:34]	Corporal IN-3331 ran 'join' on item 'Squad Identification Device' (#531)
[17:23:43]	Corporal IN-3331 used command '/c Form the squad.'.
[17:23:45]	Corporal IN-3331 ran 'join' on item 'Squad Identification Device' (#531)
[17:23:46]	Private First Class TX-7062 used command '/comm Create the squad IN.'.
[17:23:49]	Corporal IN-3331 used command '/c FIne.'.
[17:23:52]	Corporal IN-3331 ran 'create' on item 'Squad Identification Device' (#531)
[17:24:05]	Corporal IN-3331 ran 'setcolor' on item 'Squad Identification Device' (#531)
[17:24:18]	Tunk Shump entered observer.
[17:24:35]	Lance Corporal LS-7979 ran 'join' on item 'Squad Identification Device' (#683)
[17:24:36]	Private First Class TX-7062 ran 'join' on item 'Squad Identification Device' (#856)
[17:24:40]	Private First Class TX-7062 ran 'setcolor' on item 'Squad Identification Device' (#856)
[17:24:50]	Lance Corporal LS-7979 ran 'setcolor' on item 'Squad Identification Device' (#683)
[17:24:57]	Corporal IN-3331 ran 'setcolor' on item 'Squad Identification Device' (#531)
[17:25:14]	Tunk Shump has gained a 'Low quality crystal' #874.
[17:25:14]	Tunk Shump used command '/CreateCustomItem Low quality crystal models/ataman/crystals/crystal.mdl A fairly flawed white crystal'.
[17:25:17]	Tunk Shump ran 'drop' on item 'Low quality crystal' (#874)
