[00:10:52]	_--Ashley--_ has connected.
[08:09:53]	Emily Brown ran 'View' on item 'Notepad' (#25923)
[08:10:34]	Ashley Adams has lost 44 tokens.
[08:10:34]	Ashley Adams used command '/DropTokens 44'.
[08:10:37]	[ME] Emily Brown: gives a light chuckle.
[08:10:55]	[ME] Emily Brown: would sweep the tokens from the counter, before putting them in the register. She pivots on her heel and steps in to the back.
[08:10:57]	Emily Brown has gained 44 tokens.
[08:11:02]	Emily Brown used the 'Store Supply' vendor.
[08:11:11]	Emily Brown has gained 0 tokens.
[08:11:11]	Emily Brown has gained a 'Red and Black Coat' #27203.
[08:11:14]	Emily Brown has gained 0 tokens.
[08:11:14]	Emily Brown has gained a 'Sweatpants' #27204.
[08:11:29]	[ME] Emily Brown: places a bundle of neatly folded clothes on the counter.
[08:11:33]	Emily Brown ran 'drop' on item 'Red and Black Coat' (#27203)
[08:11:33]	Emily Brown has lost a 'Red and Black Coat' #27203.
[08:11:34]	Emily Brown ran 'drop' on item 'Sweatpants' (#27204)
[08:11:34]	Emily Brown has lost a 'Sweatpants' #27204.
[08:11:34]	Ashley Adams ran 'take' on item 'Red and Black Coat' (#27203)
[08:11:34]	Ashley Adams has gained a 'Red and Black Coat' #27203.
[08:11:36]	Ashley Adams ran 'take' on item 'Sweatpants' (#27204)
[08:11:36]	Ashley Adams has gained a 'Sweatpants' #27204.
[08:12:03]	[ME] Emily Brown: waves
[08:12:08]	[ME] Ashley Adams: waves back
[08:12:13]	Ashley Adams ran 'Equip' on item 'Red and Black Coat' (#27203)
[08:12:15]	Ashley Adams ran 'Equip' on item 'Sweatpants' (#27204)
[08:12:18]	Ashley Adams ran 'EquipUn' on item 'Sweatpants' (#27204)
[08:12:20]	Ashley Adams ran 'Equip' on item 'Sweatpants' (#27204)
[08:12:24]	[OOC] Emily Brown: god finally i can buy a respirator
[08:12:35]	[OOC] Ashley Adams: funny thing, a CP nought mine
[08:12:38]	Emily Brown has taken 1 damage from worldspawn.
[08:12:39]	Emily Brown has taken 1 damage from worldspawn.
[08:12:40]	[OOC] Ashley Adams: bought
[08:12:40]	Emily Brown has taken 1 damage from worldspawn.
[08:12:41]	Emily Brown has taken 1 damage from worldspawn.
[08:12:41]	Emily Brown has taken 1 damage from worldspawn.
[08:12:42]	Emily Brown has taken 1 damage from worldspawn.
[08:12:43]	Emily Brown has taken 1 damage from worldspawn.
[08:12:44]	Emily Brown has taken 1 damage from worldspawn.
[08:12:44]	Emily Brown has taken 1 damage from worldspawn.
[08:12:45]	Emily Brown has taken 1 damage from worldspawn.
[08:12:46]	Emily Brown has taken 1 damage from worldspawn.
[08:12:47]	Emily Brown has taken 1 damage from worldspawn.
[08:12:47]	Emily Brown has taken 1 damage from worldspawn.
[08:12:48]	Emily Brown has taken 1 damage from worldspawn.
[08:12:51]	Emily Brown used the 'Shopkeeper' vendor.
[08:12:59]	Emily Brown has lost 50 tokens.
[08:12:59]	Emily Brown has gained a 'Respirator' #27205.
[08:13:07]	Emily Brown ran 'Equip' on item 'Respirator' (#27205)
[08:13:23]	[OOC] Ashley Adams: i also found a blood collecting needle
[08:13:34]	[OOC] Ashley Adams: syringe*
[08:13:40]	Emily Brown opened the '' #2526 container.
[08:13:40]	Emily Brown closed the '' #2526 container.
[08:13:44]	Ashley Adams ran 'EquipUn' on item 'Sweatpants' (#27204)
[08:13:46]	Ashley Adams ran 'Equip' on item 'Sweatpants' (#27204)
[08:13:49]	[OOC] Emily Brown: alright, i'm gonna flag up out of boredom. 
[08:14:00]	[OOC] Ashley Adams: alright
[08:14:04]	cytoplasm loaded the character 'CCA.C17-HELIX.i3.39867'
[08:14:41]	[ME] CCA.C17-HELIX.i3.39867: looks up
[08:14:55]	Ashley Adams ran 'drop' on item 'Axe' (#27131)
[08:14:55]	Ashley Adams has lost a 'Axe' #27131.
[08:14:58]	Ashley Adams ran 'drop' on item 'Combat Knife' (#27068)
[08:14:58]	Ashley Adams has lost a 'Combat Knife' #27068.
[08:15:01]	Ashley Adams ran 'drop' on item 'Armor Scraps' (#27201)
[08:15:01]	Ashley Adams has lost a 'Armor Scraps' #27201.
[08:15:05]	Ashley Adams ran 'drop' on item 'Electric Drill' (#27069)
[08:15:05]	Ashley Adams has lost a 'Electric Drill' #27069.
[08:15:08]	Ashley Adams ran 'drop' on item 'Empty Combine Air Tank' (#27122)
[08:15:08]	Ashley Adams has lost a 'Empty Combine Air Tank' #27122.
[08:15:22]	Ashley Adams ran 'take' on item 'Empty Combine Air Tank' (#27122)
[08:15:22]	Ashley Adams has gained a 'Empty Combine Air Tank' #27122.
[08:15:27]	Ashley Adams ran 'drop' on item 'Stimshot' (#26970)
[08:15:27]	Ashley Adams has lost a 'Stimshot' #26970.
[08:15:28]	Ashley Adams ran 'drop' on item 'Stimshot' (#27108)
[08:15:28]	Ashley Adams has lost a 'Stimshot' #27108.
[08:15:29]	[ME] CCA.C17-HELIX.i3.39867: would inspect the items.
[08:15:33]	Ashley Adams ran 'drop' on item 'Blood Collecting Syringe' (#26786)
[08:15:33]	Ashley Adams has lost a 'Blood Collecting Syringe' #26786.
[08:15:37]	Ashley Adams ran 'drop' on item 'Empty Combine Air Tank' (#27122)
[08:15:37]	Ashley Adams has lost a 'Empty Combine Air Tank' #27122.
[08:18:18]	CCA.C17-HELIX.i3.39867 used command '/ToggleRaise'.
[08:18:19]	CCA.C17-HELIX.i3.39867 used command '/ToggleRaise'.
[08:19:04]	CCA.C17-HELIX.i3.39867 has gained 10 tokens.
[08:19:25]	[ME] CCA.C17-HELIX.i3.39867: would once again inspect the items.
[08:19:30]	CCA.C17-HELIX.i3.39867 ran 'take' on item 'Axe' (#27131)
[08:19:30]	CCA.C17-HELIX.i3.39867 has gained a 'Axe' #27131.
[08:19:32]	CCA.C17-HELIX.i3.39867 ran 'take' on item 'Combat Knife' (#27068)
[08:19:35]	CCA.C17-HELIX.i3.39867 ran 'HealSelf' on item 'Stimshot' (#27108)
[08:19:39]	CCA.C17-HELIX.i3.39867 used command '/ToggleRaise'.
[08:19:41]	CCA.C17-HELIX.i3.39867 destroyed a 'Armor Scraps' #27201.
[08:19:51]	CCA.C17-HELIX.i3.39867 destroyed a 'Electric Drill' #27069.
[08:19:53]	CCA.C17-HELIX.i3.39867 destroyed a 'Empty Combine Air Tank' #27122.
[08:20:01]	CCA.C17-HELIX.i3.39867 destroyed a 'Combat Knife' #27068.
[08:20:03]	CCA.C17-HELIX.i3.39867 destroyed a 'Stimshot' #27108.
[08:20:04]	CCA.C17-HELIX.i3.39867 destroyed a 'Stimshot' #26970.
[08:20:05]	CCA.C17-HELIX.i3.39867 destroyed a 'Blood Collecting Syringe' #26786.
[08:20:07]	CCA.C17-HELIX.i3.39867 used command '/ToggleRaise'.
[08:20:16]	[ME] CCA.C17-HELIX.i3.39867: would tap onto their PDA.
[08:20:19]	CCA.C17-HELIX.i3.39867 used command '/ViewData ashley'.
[08:21:09]	Ashley Adams used command '/ApplySay'.
[08:22:27]	[OOC] Ashley Adams: you okay?
[08:23:15]	[LOOC] CCA.C17-HELIX.i3.39867: yeah
[08:24:04]	CCA.C17-HELIX.i3.39867 has gained 10 tokens.
[08:24:18]	[OOC] Ashley Adams: Yea tbh ive just been searching trash waiting for that application lol
[08:24:53]	Ashley Adams has gained a 'Standard Grade Ration' #27206.
[08:25:29]	Ashley Adams has gained a 'AA Battery' #27207.
[08:25:32]	Ashley Adams has gained a 'Rock' #27208.
[08:25:34]	Ashley Adams ran 'drop' on item 'Rock' (#27208)
[08:25:34]	Ashley Adams has lost a 'Rock' #27208.
[08:25:35]	Ashley Adams ran 'drop' on item 'AA Battery' (#27207)
[08:25:35]	Ashley Adams has lost a 'AA Battery' #27207.
[08:25:40]	Ashley Adams destroyed a 'AA Battery' #27207.
[08:25:41]	Ashley Adams destroyed a 'Rock' #27208.
[08:25:56]	Ashley Adams has gained a 'Empty Consulate Water Can' #27207.
[08:25:59]	Ashley Adams has gained a 'Broken Computer Monitor' #27208.
[08:26:00]	Ashley Adams opened the '' #2551 container.
[08:26:01]	Ashley Adams closed the '' #2551 container.
[08:26:03]	Ashley Adams ran 'drop' on item 'Broken Computer Monitor' (#27208)
[08:26:03]	Ashley Adams has lost a 'Broken Computer Monitor' #27208.
[08:26:04]	Ashley Adams ran 'drop' on item 'Empty Consulate Water Can' (#27207)
[08:26:04]	Ashley Adams has lost a 'Empty Consulate Water Can' #27207.
[08:26:10]	Ashley Adams destroyed a 'Empty Consulate Water Can' #27207.
[08:26:11]	Ashley Adams destroyed a 'Broken Computer Monitor' #27208.
[08:26:26]	[OOC] Ashley Adams: damn now i got to wait for the trash to respawn
[08:26:50]	Ashley Adams has gained a 'Scrap Glass' #27207.
[08:26:55]	Ashley Adams ran 'drop' on item 'Scrap Glass' (#27207)
[08:26:55]	Ashley Adams has lost a 'Scrap Glass' #27207.
[08:26:57]	Ashley Adams destroyed a 'Scrap Glass' #27207.
[08:28:56]	cytoplasm loaded the character 'Emily Brown'
[08:29:24]	Ashley Adams ran 'EquipUn' on item 'Red and Black Coat' (#27203)
[08:29:25]	Ashley Adams ran 'Equip' on item 'Red and Black Coat' (#27203)
[08:29:36]	Ashley Adams ran 'Open' on item 'Standard Grade Ration' (#27206)
[08:29:36]	Ashley Adams has gained a 'Standard Grade Food Product (Water Flavor)' #27207.
[08:29:36]	Ashley Adams has gained a 'Standard Grade Supplements (Onion Flavor)' #27208.
[08:29:36]	Ashley Adams has gained a 'Consulate Water' #27209.
[08:29:36]	Ashley Adams has gained 10 tokens.
[08:29:47]	Ashley Adams ran 'Consume' on item 'Standard Grade Food Product (Water Flavor)' (#27207)
[08:29:50]	Ashley Adams ran 'Consume' on item 'Standard Grade Supplements (Onion Flavor)' (#27208)
[08:29:51]	Ashley Adams ran 'Consume' on item 'Consulate Water' (#27209)
[08:30:29]	Ashley Adams opened the '' #308 container.
[08:30:30]	Ashley Adams closed the '' #308 container.
[08:30:30]	Ashley Adams opened the '' #2374 container.
[08:30:31]	Ashley Adams closed the '' #2374 container.
[08:30:56]	_--Ashley--_ (STEAM_0:0:25179524) has disconnected.
[08:44:23]	cytoplasm (STEAM_0:0:38537787) has disconnected.
[08:44:48]	matt saton has connected.
[08:46:28]	matt saton loaded the character 'Andrew Cloverman'
[08:46:29]	Andrew Cloverman entered observer.
[08:46:46]	Andrew Cloverman exited observer at their location.
[08:46:47]	Andrew Cloverman has gained a 'Minimum Grade Supplements (No Flavor)' #27206.
[08:46:48]	Andrew Cloverman has taken 2 damage from Andrew Cloverman.
[08:46:49]	Andrew Cloverman entered observer.
[08:46:53]	Andrew Cloverman has gained a 'Corrugated Hose' #27207.
[08:46:56]	Andrew Cloverman has gained a 'AA Battery' #27208.
[08:47:04]	Andrew Cloverman has gained a 'Broken Keyboard' #27209.
[08:47:14]	Andrew Cloverman has gained a 'Circuit Board' #27210.
[08:47:26]	Andrew Cloverman has gained a 'Broken Computer Monitor' #27211.
[08:47:42]	Andrew Cloverman has gained a 'Roubles' #27213.
[08:47:56]	Andrew Cloverman has gained a 'Shovel' #27214.
[08:48:04]	Andrew Cloverman has gained a 'Bolts' #27215.
[08:48:06]	Andrew Cloverman has gained a 'Old Newspaper' #27216.
[08:48:11]	Andrew Cloverman has gained a 'Scrap Metal' #27217.
[08:48:17]	Andrew Cloverman has gained a 'Human Science Eye Poster' #27218.
[08:48:21]	Andrew Cloverman has gained a 'Broken Keyboard' #27219.
[08:48:39]	Andrew Cloverman has gained a 'Wires' #27221.
[08:48:48]	Andrew Cloverman exited observer at their location.
[08:48:48]	Andrew Cloverman has taken 2 damage from Andrew Cloverman.
[08:48:49]	Andrew Cloverman entered observer.
[08:49:02]	Andrew Cloverman exited observer at their location.
[08:49:03]	Andrew Cloverman ran 'drop' on item 'Money Case' (#25162)
[08:49:03]	Andrew Cloverman has lost a 'Money Case' #25162.
[08:49:03]	Andrew Cloverman has lost a 'Broken Computer Monitor' #27211.
[08:49:03]	Andrew Cloverman has lost a 'Human Science Eye Poster' #27218.
[08:49:03]	Andrew Cloverman has lost a 'Wires' #27221.
[08:49:03]	Andrew Cloverman has lost a 'Broken Keyboard' #27219.
[08:49:03]	Andrew Cloverman has lost a 'Scrap Metal' #27217.
[08:49:03]	Andrew Cloverman has taken 2 damage from Andrew Cloverman.
[08:49:04]	Andrew Cloverman ran 'drop' on item 'Shovel' (#27214)
[08:49:04]	Andrew Cloverman has lost a 'Shovel' #27214.
[08:49:04]	Andrew Cloverman ran 'drop' on item 'Broken Keyboard' (#27209)
[08:49:04]	Andrew Cloverman has lost a 'Broken Keyboard' #27209.
[08:49:05]	Andrew Cloverman ran 'drop' on item 'Corrugated Hose' (#27207)
[08:49:05]	Andrew Cloverman has lost a 'Corrugated Hose' #27207.
[08:49:05]	Andrew Cloverman ran 'drop' on item 'Bolts' (#27215)
[08:49:05]	Andrew Cloverman has lost a 'Bolts' #27215.
[08:49:06]	Andrew Cloverman ran 'drop' on item 'Minimum Grade Supplements (No Flavor)' (#27206)
[08:49:06]	Andrew Cloverman has lost a 'Minimum Grade Supplements (No Flavor)' #27206.
[08:49:07]	Andrew Cloverman ran 'drop' on item 'AA Battery' (#27208)
[08:49:07]	Andrew Cloverman has lost a 'AA Battery' #27208.
[08:49:07]	Andrew Cloverman ran 'drop' on item 'Circuit Board' (#27210)
[08:49:07]	Andrew Cloverman has lost a 'Circuit Board' #27210.
[08:49:08]	Andrew Cloverman ran 'drop' on item 'Roubles' (#27213)
[08:49:08]	Andrew Cloverman has lost a 'Roubles' #27213.
[08:49:08]	Andrew Cloverman ran 'drop' on item 'Old Newspaper' (#27216)
[08:49:08]	Andrew Cloverman has lost a 'Old Newspaper' #27216.
[08:49:09]	Andrew Cloverman entered observer.
[08:49:22]	Andrew Cloverman has gained a 'Radio Case' #27223.
[08:49:31]	Andrew Cloverman has gained a 'Pack of Nails' #27224.
[08:49:32]	Andrew Cloverman ran 'take' on item 'Broken Computer Monitor' (#27212)
[08:49:32]	Andrew Cloverman has gained a 'Broken Computer Monitor' #27212.
[08:49:44]	Andrew Cloverman has gained a 'Empty Bleach Bottle' #27225.
[08:49:52]	Andrew Cloverman has gained a 'Light Bulb' #27226.
[08:50:00]	Andrew Cloverman has gained a 'Electric Motor' #27227.
[08:50:22]	Andrew Cloverman has gained a 'Capacitors' #27228.
[08:50:32]	Andrew Cloverman has gained a 'Cloth Scrap' #27229.
[08:50:34]	Andrew Cloverman has gained a 'Cinderblock' #27230.
[08:51:00]	Andrew Cloverman has gained a 'Scrap Electronics' #27231.
[08:51:04]	Andrew Cloverman has gained a 'Scrap Glass' #27232.
[08:51:20]	Andrew Cloverman has gained a 'Cyclopic Citizen Suit' #27233.
[08:51:24]	Andrew Cloverman has gained a 'Boot' #27234.
[08:51:42]	Andrew Cloverman has gained a 'Pin' #27235.
[08:52:23]	Andrew Cloverman exited observer at their location.
[08:52:24]	Andrew Cloverman ran 'drop' on item 'Broken Computer Monitor' (#27212)
[08:52:24]	Andrew Cloverman has lost a 'Broken Computer Monitor' #27212.
[08:52:25]	Andrew Cloverman ran 'drop' on item 'Cinderblock' (#27230)
[08:52:25]	Andrew Cloverman has lost a 'Cinderblock' #27230.
[08:52:25]	Andrew Cloverman ran 'drop' on item 'Scrap Electronics' (#27231)
[08:52:25]	Andrew Cloverman has lost a 'Scrap Electronics' #27231.
[08:52:26]	Andrew Cloverman ran 'drop' on item 'Capacitors' (#27228)
[08:52:26]	Andrew Cloverman has lost a 'Capacitors' #27228.
[08:52:27]	Andrew Cloverman ran 'drop' on item 'Scrap Glass' (#27232)
[08:52:27]	Andrew Cloverman has lost a 'Scrap Glass' #27232.
[08:52:28]	Andrew Cloverman ran 'drop' on item 'Light Bulb' (#27226)
[08:52:28]	Andrew Cloverman has lost a 'Light Bulb' #27226.
[08:52:28]	Andrew Cloverman ran 'drop' on item 'Empty Bleach Bottle' (#27225)
[08:52:28]	Andrew Cloverman has lost a 'Empty Bleach Bottle' #27225.
[08:52:29]	Andrew Cloverman ran 'drop' on item 'Cloth Scrap' (#27229)
[08:52:29]	Andrew Cloverman has lost a 'Cloth Scrap' #27229.
[08:52:29]	Andrew Cloverman ran 'drop' on item 'Cyclopic Citizen Suit' (#27233)
[08:52:29]	Andrew Cloverman has lost a 'Cyclopic Citizen Suit' #27233.
[08:52:30]	Andrew Cloverman ran 'drop' on item 'Electric Motor' (#27227)
[08:52:30]	Andrew Cloverman has lost a 'Electric Motor' #27227.
[08:52:30]	Andrew Cloverman ran 'drop' on item 'Boot' (#27234)
[08:52:30]	Andrew Cloverman has lost a 'Boot' #27234.
[08:52:31]	Andrew Cloverman ran 'drop' on item 'Pin' (#27235)
[08:52:31]	Andrew Cloverman has lost a 'Pin' #27235.
[08:52:32]	Andrew Cloverman entered observer.
[08:52:44]	Andrew Cloverman has gained a 'Insulating Tape' #27238.
[08:52:47]	Andrew Cloverman has gained a 'Light Bulb' #27239.
[08:52:51]	Andrew Cloverman has gained a 'Rock' #27240.
[08:52:56]	Andrew Cloverman has gained a 'Bar of Soap' #27241.
[08:53:09]	Andrew Cloverman has gained a 'Light Bulb' #27242.
[08:53:18]	Andrew Cloverman has gained a 'Scrap Metal' #27243.
[08:53:20]	Andrew Cloverman has gained a 'Empty Tin Can' #27244.
[08:53:29]	Andrew Cloverman has gained a 'Spark Plug' #27245.
[08:53:40]	Andrew Cloverman has gained a 'Wires' #27246.
[08:53:47]	Andrew Cloverman has gained a 'Capacitors' #27247.
[08:53:50]	Andrew Cloverman has gained a 'Pin' #27248.
[08:53:52]	Andrew Cloverman has gained a 'Military Circuit Board' #27249.
[08:54:08]	Andrew Cloverman exited observer at their location.
[08:54:09]	Andrew Cloverman ran 'drop' on item 'Military Circuit Board' (#27249)
[08:54:09]	Andrew Cloverman has lost a 'Military Circuit Board' #27249.
[08:54:10]	Andrew Cloverman ran 'drop' on item 'Capacitors' (#27247)
[08:54:10]	Andrew Cloverman has lost a 'Capacitors' #27247.
[08:54:11]	Andrew Cloverman ran 'drop' on item 'Pin' (#27248)
[08:54:11]	Andrew Cloverman has lost a 'Pin' #27248.
[08:54:11]	Andrew Cloverman ran 'drop' on item 'Empty Tin Can' (#27244)
[08:54:11]	Andrew Cloverman has lost a 'Empty Tin Can' #27244.
[08:54:12]	Andrew Cloverman ran 'drop' on item 'Rock' (#27240)
[08:54:12]	Andrew Cloverman has lost a 'Rock' #27240.
[08:54:13]	Andrew Cloverman ran 'drop' on item 'Scrap Metal' (#27243)
[08:54:13]	Andrew Cloverman has lost a 'Scrap Metal' #27243.
[08:54:15]	Andrew Cloverman ran 'drop' on item 'Spark Plug' (#27245)
[08:54:15]	Andrew Cloverman has lost a 'Spark Plug' #27245.
[08:54:16]	Andrew Cloverman ran 'drop' on item 'Insulating Tape' (#27238)
[08:54:16]	Andrew Cloverman has lost a 'Insulating Tape' #27238.
[08:54:16]	Andrew Cloverman ran 'drop' on item 'Light Bulb' (#27239)
[08:54:16]	Andrew Cloverman has lost a 'Light Bulb' #27239.
[08:54:17]	Andrew Cloverman ran 'drop' on item 'Light Bulb' (#27242)
[08:54:17]	Andrew Cloverman has lost a 'Light Bulb' #27242.
[08:54:18]	Andrew Cloverman ran 'drop' on item 'Bar of Soap' (#27241)
[08:54:18]	Andrew Cloverman has lost a 'Bar of Soap' #27241.
[08:54:18]	Andrew Cloverman ran 'drop' on item 'Wires' (#27246)
[08:54:18]	Andrew Cloverman has lost a 'Wires' #27246.
[08:54:19]	Andrew Cloverman has taken 2 damage from Andrew Cloverman.
[08:54:21]	Andrew Cloverman entered observer.
[08:54:28]	Andrew Cloverman has gained a 'Broken Computer Monitor' #27250.
[08:54:35]	Andrew Cloverman has gained a 'Scrap Metal' #27251.
[08:54:43]	Andrew Cloverman has gained a 'Rock' #27252.
[08:54:51]	Andrew Cloverman has gained a 'Empty Pill Bottle' #27253.
[08:55:00]	Andrew Cloverman has gained a 'Circuit Board' #27254.
[08:55:04]	Andrew Cloverman has gained a 'Nylon Cord' #27255.
[08:55:07]	Andrew Cloverman has gained a 'Piece of Plexiglass' #27256.
[08:55:11]	Andrew Cloverman has gained a 'Paper' #27257.
[08:55:15]	Andrew Cloverman has gained a 'Scrap Metal' #27258.
[08:55:28]	Andrew Cloverman has gained a 'Graphics Card' #27259.
[08:55:45]	Andrew Cloverman exited observer at their location.
[08:55:46]	Andrew Cloverman ran 'drop' on item 'Broken Computer Monitor' (#27250)
[08:55:46]	Andrew Cloverman has lost a 'Broken Computer Monitor' #27250.
[08:55:47]	Andrew Cloverman ran 'drop' on item 'Nylon Cord' (#27255)
[08:55:47]	Andrew Cloverman has lost a 'Nylon Cord' #27255.
[08:55:47]	Andrew Cloverman ran 'drop' on item 'Scrap Metal' (#27251)
[08:55:47]	Andrew Cloverman has lost a 'Scrap Metal' #27251.
[08:55:48]	Andrew Cloverman ran 'drop' on item 'Circuit Board' (#27254)
[08:55:48]	Andrew Cloverman has lost a 'Circuit Board' #27254.
[08:55:48]	Andrew Cloverman ran 'drop' on item 'Paper' (#27257)
[08:55:48]	Andrew Cloverman has lost a 'Paper' #27257.
[08:55:49]	Andrew Cloverman ran 'drop' on item 'Rock' (#27252)
[08:55:49]	Andrew Cloverman has lost a 'Rock' #27252.
[08:55:49]	Andrew Cloverman has taken 2 damage from Andrew Cloverman.
[08:55:50]	Andrew Cloverman ran 'drop' on item 'Scrap Metal' (#27258)
[08:55:50]	Andrew Cloverman has lost a 'Scrap Metal' #27258.
[08:55:50]	Andrew Cloverman ran 'drop' on item 'Graphics Card' (#27259)
[08:55:50]	Andrew Cloverman has lost a 'Graphics Card' #27259.
[08:55:51]	Andrew Cloverman ran 'drop' on item 'Piece of Plexiglass' (#27256)
[08:55:51]	Andrew Cloverman has lost a 'Piece of Plexiglass' #27256.
[08:55:52]	Andrew Cloverman ran 'drop' on item 'Empty Pill Bottle' (#27253)
[08:55:52]	Andrew Cloverman has lost a 'Empty Pill Bottle' #27253.
[08:56:04]	Andrew Cloverman has taken 2 damage from Andrew Cloverman.
[08:56:19]	Andrew Cloverman has taken 2 damage from Andrew Cloverman.
[08:56:31]	Andrew Cloverman ran 'drop' on item 'Radio Case' (#27223)
[08:56:31]	Andrew Cloverman has lost a 'Radio Case' #27223.
[08:56:32]	Andrew Cloverman ran 'drop' on item 'Pack of Nails' (#27224)
[08:56:32]	Andrew Cloverman has lost a 'Pack of Nails' #27224.
[08:56:32]	Andrew Cloverman entered observer.
[08:56:44]	Andrew Cloverman opened the '' #253 container.
[08:56:46]	Andrew Cloverman closed the '' #253 container.
[08:56:47]	Andrew Cloverman exited observer at their location.
[08:56:48]	Andrew Cloverman entered observer.
[08:56:48]	Andrew Cloverman exited observer at their location.
[08:56:49]	Andrew Cloverman has taken 2 damage from Andrew Cloverman.
[08:56:50]	Andrew Cloverman entered observer.
[08:56:53]	Andrew Cloverman exited observer at their location.
[08:57:04]	Andrew Cloverman has taken 2 damage from Andrew Cloverman.
[08:57:08]	Andrew Cloverman has removed map entity #2583 (models/props_junk/trashdumpster01a.mdl).
[08:57:08]	Andrew Cloverman used command '/MapEntRemove'.
[08:57:17]	Andrew Cloverman has gained a 'Minimum Grade Food Product (Liver Flavor)' #27261.
[08:57:19]	Andrew Cloverman has taken 2 damage from Andrew Cloverman.
[08:57:24]	Andrew Cloverman used command '/CharGiveItem andrew flashlgiht'.
[08:57:25]	Andrew Cloverman entered observer.
[08:57:30]	Andrew Cloverman exited observer at their location.
[08:57:31]	Andrew Cloverman entered observer.
[08:57:31]	Andrew Cloverman exited observer at their location.
[08:57:34]	Andrew Cloverman has taken 2 damage from Andrew Cloverman.
[08:57:35]	Andrew Cloverman used command '/CharGiveItem andrew flashlgiht'.
[08:57:37]	Andrew Cloverman has removed map entity #2686 (models/props_junk/trashdumpster01a.mdl).
[08:57:37]	Andrew Cloverman used command '/MapEntRemove'.
[08:57:42]	Andrew Cloverman has gained a 'Human Science Eye Poster' #27262.
[08:57:43]	Andrew Cloverman entered observer.
[08:57:48]	Andrew Cloverman has gained a 'Capacitors' #27263.
[08:57:54]	Andrew Cloverman has gained a 'Cinderblock' #27264.
[08:58:10]	Andrew Cloverman has gained a 'Empty Soda Bottle' #27265.
[08:58:16]	Andrew Cloverman has gained a 'Bolts' #27266.
[08:58:19]	Andrew Cloverman has gained a 'Silicone Tube' #27267.
[08:58:41]	Andrew Cloverman exited observer at their location.
[08:58:41]	Andrew Cloverman entered observer.
[08:58:51]	Andrew Cloverman exited observer at their location.
[08:58:55]	Andrew Cloverman has removed map entity #3810 (models/props_junk/trashdumpster01a.mdl).
[08:58:55]	Andrew Cloverman used command '/MapEntRemove'.
[08:58:59]	Andrew Cloverman has gained a 'Silicone Tube' #27268.
[08:59:00]	Andrew Cloverman entered observer.
[08:59:02]	Andrew Cloverman exited observer at their location.
[08:59:04]	Andrew Cloverman entered observer.
[08:59:16]	Andrew Cloverman opened the '' #240 container.
[08:59:17]	Andrew Cloverman closed the '' #240 container.
[08:59:30]	Andrew Cloverman has gained a 'Circuit Board' #27269.
[08:59:40]	Andrew Cloverman has gained a 'Scrap Metal' #27270.
[08:59:46]	Andrew Cloverman opened the '' #2552 container.
[08:59:50]	Andrew Cloverman closed the '' #2552 container.
[09:00:23]	Andrew Cloverman has gained a 'Scrap Plastic' #27271.
[09:00:30]	Andrew Cloverman exited observer at their location.
[09:00:31]	Andrew Cloverman entered observer.
[09:01:41]	Andrew Cloverman exited observer at their location.
[09:01:43]	Andrew Cloverman ran 'drop' on item 'Bolts' (#27266)
[09:01:43]	Andrew Cloverman has lost a 'Bolts' #27266.
[09:01:43]	Andrew Cloverman ran 'drop' on item 'Empty Soda Bottle' (#27265)
[09:01:43]	Andrew Cloverman has lost a 'Empty Soda Bottle' #27265.
[09:01:44]	Andrew Cloverman ran 'drop' on item 'Cinderblock' (#27264)
[09:01:44]	Andrew Cloverman has lost a 'Cinderblock' #27264.
[09:01:45]	Andrew Cloverman ran 'drop' on item 'Capacitors' (#27263)
[09:01:45]	Andrew Cloverman has lost a 'Capacitors' #27263.
[09:01:46]	Andrew Cloverman ran 'drop' on item 'Minimum Grade Food Product (Liver Flavor)' (#27261)
[09:01:46]	Andrew Cloverman has lost a 'Minimum Grade Food Product (Liver Flavor)' #27261.
[09:01:47]	Andrew Cloverman ran 'drop' on item 'Human Science Eye Poster' (#27262)
[09:01:47]	Andrew Cloverman has lost a 'Human Science Eye Poster' #27262.
[09:01:48]	Andrew Cloverman ran 'drop' on item 'Circuit Board' (#27269)
[09:01:48]	Andrew Cloverman has lost a 'Circuit Board' #27269.
[09:01:49]	Andrew Cloverman ran 'drop' on item 'Scrap Metal' (#27270)
[09:01:49]	Andrew Cloverman has lost a 'Scrap Metal' #27270.
[09:01:49]	Andrew Cloverman ran 'drop' on item 'Scrap Plastic' (#27271)
[09:01:49]	Andrew Cloverman has lost a 'Scrap Plastic' #27271.
[09:01:50]	Andrew Cloverman has taken 2 damage from Andrew Cloverman.
[09:01:50]	Andrew Cloverman ran 'drop' on item 'Silicone Tube' (#27267)
[09:01:50]	Andrew Cloverman has lost a 'Silicone Tube' #27267.
[09:01:51]	Andrew Cloverman ran 'drop' on item 'Silicone Tube' (#27268)
[09:01:51]	Andrew Cloverman has lost a 'Silicone Tube' #27268.
[09:02:05]	Andrew Cloverman has taken 2 damage from Andrew Cloverman.
[09:02:14]	Andrew Cloverman used command '/CharGiveItem andrew flashligt'.
[09:02:16]	Andrew Cloverman has gained a 'Flashlight' #27272.
[09:02:16]	Andrew Cloverman used command '/CharGiveItem andrew flashlight'.
[09:02:20]	execution_fire_2 destroyed a 'Cinderblock' #27264.
[09:02:20]	execution_fire_2 destroyed a 'Cinderblock' #27230.
