[00:00:17]	[LOOC] Gregory Smith: locked
[16:15:17]	[ME] Gregory Smith: grabs the rag
[16:15:25]	[ME] Gregory Smith: cleans the wall
[16:15:26]	CCA.C14-UNION.i5.39867 used command '/Radio He has 6, I'll ask if he has one.'.
[16:15:29]	CCA.C14-UNION.i5.39867 used command '/Radio Have one ready for me, just in case.'.
[16:15:33]	CCA.C14-QrM.98240 used command '/Radio Copy'.
[16:15:33]	CCA.C14-QrM.98240 used the 'Armory Supply' vendor.
[16:15:46]	CCA.C14-UNION.i5.39867 used command '/Radio Thanks, 982.'.
[16:15:59]	CCA.C14-QrM.98240 used command '/Radio Simply doing my job.'.
[16:15:59]	CCA.C14-QrM.98240 used the 'Armory Supply' vendor.
[16:16:08]	CCA.C14-UNION.i5.39867 used command '/Radio Haha.'.
[16:16:15]	[ME] Gregory Smith: grabs the bucket
[16:16:31]	[OOC] CCA.C14-UNION.i5.39867: wholesome CCA moments
[16:16:35]	[ME] Gregory Smith: puts thebucket on the floor
[16:16:42]	[ME] Gregory Smith: grabs the rag
[16:16:50]	[OOC] CCA.C14-QrM.98240: Truly
[16:16:57]	[ME] Gregory Smith: carefuly and slowly cleans the CMB propaganda
[16:17:10]	[OOC] CCA.C14-QrM.98240: QrM is the best shit for passiveRP in my opinion
[16:17:11]	CCA.C14-QrM.98240 used the 'Armory Supply' vendor.
[16:17:19]	[OOC] CCA.C14-UNION.i5.39867: yea
[16:17:24]	[ME] Gregory Smith: carefuly and slowly cleans the CMB propaganda
[16:17:28]	[OOC] CCA.C14-UNION.i5.39867: agreed
[16:17:32]	[OOC] CCA.C14-UNION.i5.39867: best by far 
[16:17:34]	[OOC] CCA.C14-UNION.i5.39867: for passive rp
[16:17:37]	[OOC] CCA.C14-UNION.i5.39867: is slave vort
[16:17:43]	[OOC] CCA.C14-UNION.i5.39867: since it is just nothing but passive rp
[16:17:56]	[ME] Gregory Smith: carefuly and slowly cleans the CMB propaganda
[16:17:57]	CCA.C14-QrM.98240 used command '/Radio CCA supplies checked and updated. Moving to the ration distribution table for ration check.'.
[16:17:58]	CCA.C14-QrM.98240 has gained 10 tokens.
[16:17:59]	[OOC] CCA.C14-UNION.i5.39867: but QrM is cool too
[16:18:07]	CCA.C14-UNION.i5.39867 used command '/Radio Copy that.'.
[16:18:10]	[OOC] CCA.C14-QrM.98240: I'm super biased for QrM thats the problem with me
[16:18:24]	CCA.C14-UNION.i5.39867 used command '/Radio 10-91 was told to clean the walls about 10 or so minutes ago. He sure is taking his time about it.'.
[16:18:27]	[OOC] CCA.C14-QrM.98240: Which kinda sucks because i need a decent reason to do shit
[16:18:38]	[OOC] Gregory Smith: i don't want to know the location, but is here in this map any rebels' base like Outlands in City 8 or Shell Beach in Industrial 17?
[16:18:42]	CCA.C14-QrM.98240 used command '/Radio Copy, just look out for him'.
[16:18:48]	CCA.C14-UNION.i5.39867 used command '/Radio Yeah, I will.'.
[16:18:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[16:19:10]	[ME] Gregory Smith: carefuly and slowly cleans the CMB propaganda
[16:19:19]	CCA.C14-UNION.i5.39867 used command '/Radio Gonna go on a quick 10-50 around the plaza, just to check up. Tell me if anything happens.'.
[16:19:20]	[ME] Gregory Smith: carefuly and slowly cleans the CMB propaganda
[16:19:24]	CCA.C14-QrM.98240 used command '/Radio Copy that'.
[16:19:29]	[ME] Gregory Smith: carefuly and slowly cleans the CMB propaganda
[16:19:43]	[ME] Gregory Smith: wets the rag into the bucket
[16:19:44]	CCA.C14-QrM.98240 opened the 'Civil Protection Rations' #1709 container.
[16:19:46]	CCA.C14-QrM.98240 closed the 'Civil Protection Rations' #1709 container.
[16:19:46]	[ME] Gregory Smith: grabs the rag
[16:19:50]	[ME] Gregory Smith: cleans the wall
[16:20:04]	[ME] CCA.C14-UNION.i5.39867: places his hands on his hips, watching the citizen scrub the wal.
[16:20:05]	[CGN] Painevan has connected.
[16:20:12]	[OOC] CCA.C14-UNION.i5.39867: what is cgn?
[16:20:14]	CCA.C14-QrM.98240 used command '/Radio Whoever placed down a pile of rations in the middle of the ration distribution center please never do that again.'.
[16:20:20]	CCA.C14-QrM.98240 opened the 'Loyalist Grade Rations' #1791 container.
[16:20:22]	CCA.C14-QrM.98240 closed the 'Loyalist Grade Rations' #1791 container.
[16:20:23]	CCA.C14-UNION.i5.39867 used command '/Radio I would never.'.
[16:20:28]	CCA.C14-QrM.98240 opened the 'Standard Grade Rations' #1707 container.
[16:20:30]	[ME] Gregory Smith: wets the rag into the bucket
[16:20:30]	CCA.C14-QrM.98240 closed the 'Standard Grade Rations' #1707 container.
[16:20:33]	CCA.C14-QrM.98240 opened the 'Minimal Grade/Biotic Rations' #1708 container.
[16:20:35]	[ME] Gregory Smith: carefuly and slowly cleans the CMB propaganda
[16:20:36]	CCA.C14-QrM.98240 closed the 'Minimal Grade/Biotic Rations' #1708 container.
[16:20:37]	CCA.C14-UNION.i5.39867 used command '/Radio Must've been the same JUDGE who gave someone 3 points for cleaning a god damn road.'.
[16:20:43]	CCA.C14-QrM.98240 used command '/Radio Ever-'.
[16:20:45]	CCA.C14-QrM.98240 used command '/Radio What?'.
[16:20:50]	CCA.C14-QrM.98240 used command '/Radio That happened?'.
[16:20:51]	CCA.C14-QrM.98240 opened the 'Minimal Grade/Biotic Rations' #1708 container.
[16:20:53]	CCA.C14-QrM.98240 closed the 'Minimal Grade/Biotic Rations' #1708 container.
[16:20:53]	CCA.C14-UNION.i5.39867 used command '/Radio Yeah.'.
[16:20:57]	CCA.C14-QrM.98240 used command '/Radio I see'.
[16:20:59]	[ME] Gregory Smith: carefuly and slowly cleans the CMB propaganda
[16:21:05]	CCA.C14-UNION.i5.39867 used command '/Radio Not gonna call a fellow functionary dumb, but...'.
[16:21:15]	CCA.C14-UNION.i5.39867 used command '/Radio Not a very smart move on their behalf, whoever it was.'.
[16:21:19]	[ME] Gregory Smith: carefuly and slowly cleans the CMB propaganda
[16:21:25]	[CGN] Painevan loaded the character 'Karl Von Habsburg'
[16:21:32]	[ME] Gregory Smith: carefuly and slowly cleans the CMB propaganda
[16:21:48]	[OOC] Karl Von Habsburg: AAAAAAAAAAAAAAH
[16:21:49]	Karl Von Habsburg entered observer.
[16:21:53]	[OOC] Gregory Smith: ?
[16:21:56]	[OOC] CCA.C14-QrM.98240: Screamo?
[16:22:12]	Karl Von Habsburg has spawned a 'NPC [3200][npc_monk]'.
[16:22:21]	CCA.C14-UNION.i5.39867 used command '/Radio Anyway, status of the rations?'.
[16:22:27]	[ME] Gregory Smith: ties the rag on the bucket
[16:22:27]	CCA.C14-QrM.98240 used command '/Radio All green.'.
[16:22:27]	CCA.C14-UNION.i5.39867 used command '/Radio Are we good for now?'.
[16:22:30]	CCA.C14-UNION.i5.39867 used command '/Radio Ah, alright.'.
[16:22:33]	CCA.C14-UNION.i5.39867 used command '/Radio Great to hear.'.
[16:22:35]	[ME] Gregory Smith: grabs the bucket
[16:22:54]	[ME] Gregory Smith: puts the bucket on the table
[16:22:58]	CCA.C14-QrM.98240 has gained 10 tokens.
[16:23:22]	CCA.C14-QrM.98240 ran 'take' on item 'Hammer' (#22414)
[16:23:22]	CCA.C14-QrM.98240 has gained a 'Hammer' #22414.
[16:23:23]	CCA.C14-QrM.98240 ran 'take' on item 'Combine Hazmat Worker Outfit' (#25765)
[16:23:23]	CCA.C14-QrM.98240 has gained a 'Combine Hazmat Worker Outfit' #25765.
[16:23:25]	CCA.C14-QrM.98240 ran 'take' on item 'SPAS-12' (#18873)
[16:23:25]	CCA.C14-QrM.98240 has gained a 'SPAS-12' #18873.
[16:23:25]	CCA.C14-QrM.98240 used the 'Armory Supply' vendor.
[16:23:35]	CCA.C14-QrM.98240 ran 'drop' on item 'SPAS-12' (#18873)
[16:23:35]	CCA.C14-QrM.98240 has lost a 'SPAS-12' #18873.
[16:23:35]	Karl Von Habsburg has spawned a 'NPC [1397][npc_pigeon]'.
[16:23:36]	Karl Von Habsburg has spawned a 'NPC [1636][npc_pigeon]'.
[16:23:37]	Karl Von Habsburg has spawned a 'NPC [3190][npc_pigeon]'.
[16:23:37]	Karl Von Habsburg has spawned a 'NPC [3200][npc_pigeon]'.
[16:23:37]	Karl Von Habsburg has spawned a 'NPC [3201][npc_pigeon]'.
[16:23:37]	Karl Von Habsburg has spawned a 'NPC [3208][npc_pigeon]'.
[16:23:38]	Karl Von Habsburg has spawned a 'NPC [3230][npc_pigeon]'.
[16:23:38]	CCA.C14-QrM.98240 ran 'drop' on item 'Hammer' (#22414)
[16:23:38]	CCA.C14-QrM.98240 has lost a 'Hammer' #22414.
[16:23:38]	Karl Von Habsburg has spawned a 'NPC [3238][npc_pigeon]'.
[16:23:38]	Karl Von Habsburg has spawned a 'NPC [3239][npc_pigeon]'.
[16:23:38]	Karl Von Habsburg has spawned a 'NPC [3240][npc_pigeon]'.
[16:23:38]	Karl Von Habsburg has spawned a 'NPC [3241][npc_pigeon]'.
[16:23:38]	Karl Von Habsburg has spawned a 'NPC [3242][npc_pigeon]'.
[16:23:39]	Karl Von Habsburg has spawned a 'NPC [3243][npc_pigeon]'.
[16:23:39]	Karl Von Habsburg has spawned a 'NPC [3244][npc_pigeon]'.
[16:23:39]	Karl Von Habsburg has spawned a 'NPC [3245][npc_pigeon]'.
[16:23:39]	Karl Von Habsburg has spawned a 'NPC [3246][npc_pigeon]'.
[16:23:40]	Karl Von Habsburg has spawned a 'NPC [3247][npc_pigeon]'.
[16:23:40]	Karl Von Habsburg has spawned a 'NPC [3248][npc_pigeon]'.
[16:23:40]	Karl Von Habsburg has spawned a 'NPC [3249][npc_pigeon]'.
[16:23:40]	Karl Von Habsburg has spawned a 'NPC [3250][npc_pigeon]'.
[16:23:40]	Karl Von Habsburg has spawned a 'NPC [3251][npc_pigeon]'.
[16:23:41]	Karl Von Habsburg has spawned a 'NPC [3252][npc_pigeon]'.
[16:23:41]	Karl Von Habsburg has spawned a 'NPC [3253][npc_pigeon]'.
[16:23:41]	Karl Von Habsburg has spawned a 'NPC [3254][npc_pigeon]'.
[16:23:41]	Karl Von Habsburg has spawned a 'NPC [3255][npc_pigeon]'.
[16:23:41]	Karl Von Habsburg has spawned a 'NPC [3256][npc_pigeon]'.
[16:23:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[16:23:59]	Karl Von Habsburg exited observer at their location.
[16:24:02]	Karl Von Habsburg entered observer.
[16:24:08]	Karl Von Habsburg exited observer at their location.
[16:24:10]	CCA.C14-QrM.98240 ran 'take' on item 'Health Vial' (#8563)
[16:24:10]	CCA.C14-QrM.98240 has gained a 'Health Vial' #8563.
[16:24:17]	CCA.C14-QrM.98240 ran 'Equip' on item 'Fragmentation Grenade' (#19055)
[16:24:19]	CCA.C14-QrM.98240 ran 'Equip' on item 'Fragmentation Grenade' (#19055)
[16:24:24]	[ME] Gregory Smith: Seems happy
[16:24:26]	[OOC] CCA.C14-QrM.98240: Fuck i can't equip my grenade
[16:24:30]	[OOC] Karl Von Habsburg: f
[16:24:42]	Karl Von Habsburg has taken 5 damage from CCA.C14-QrM.98240.
[16:24:54]	Karl Von Habsburg has taken 240 damage from CCA.C14-QrM.98240.
[16:24:54]	CCA.C14-QrM.98240 has killed Karl Von Habsburg with weapon_annabelle.
[16:25:00]	[OOC] CCA.C14-QrM.98240: void shots
[16:25:03]	Karl Von Habsburg entered observer.
[16:25:16]	[OOC] James Albright: i think the guide is donne
[16:25:21]	[OOC] CCA.C14-QrM.98240: NOICE
[16:25:23]	CCA.C14-UNION.i5.39867 used command '/Radio Moving to outpost storm to grab an armband.'.
[16:25:32]	[OOC] Karl Von Habsburg: aaaaaaaaaah
[16:26:18]	[LOOC] CCA.C14-QrM.98240: void the gun
[16:26:22]	[ME] Gregory Smith: Awaits with happiness
[16:26:39]	[ME] CCA.C14-QrM.98240: Holds out a yellow armband for him to see
[16:26:42]	CCA.C14-QrM.98240 ran 'drop' on item 'Yellow Loyalist Armband' (#21771)
[16:26:42]	CCA.C14-QrM.98240 has lost a 'Yellow Loyalist Armband' #21771.
[16:26:52]	[ME] CCA.C14-UNION.i5.39867: takes the loyalist armband, holding it in his fist.
[16:26:55]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Yellow Loyalist Armband' (#21771)
[16:26:55]	CCA.C14-UNION.i5.39867 has gained a 'Yellow Loyalist Armband' #21771.
[16:27:06]	[OOC] Gregory Smith: / Q you said we are at 2006
[16:27:17]	[OOC] Gregory Smith: But why when i put you on the Tab menu it says 2001?
[16:27:58]	CCA.C14-QrM.98240 has gained 10 tokens.
[16:28:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[16:29:25]	[OOC] CCA.C14-QrM.98240: Truly wholesome CCA moments
[16:29:27]	[ME] CCA.C14-UNION.i5.39867: begins to walk, patting his fellow functionary on the back as he leaves.
[16:29:40]	CCA.C14-QrM.98240 ran 'drop' on item 'Combine Hazmat Worker Outfit' (#25765)
[16:29:40]	CCA.C14-QrM.98240 has lost a 'Combine Hazmat Worker Outfit' #25765.
[16:29:49]	[OOC] CCA.C14-QrM.98240: Also brb
[16:30:29]	[ME] CCA.C14-UNION.i5.39867: holds out a yellow coloured armband, before saying: "With this token of appreciation, your life as a loyalist begins. Congratulations, Mr. Smith. You are now recognized as a loyalist."
[16:30:35]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Yellow Loyalist Armband' (#21771)
[16:30:35]	CCA.C14-UNION.i5.39867 has lost a 'Yellow Loyalist Armband' #21771.
[16:30:52]	[ME] Gregory Smith: grabs the armband
[16:30:54]	Gregory Smith ran 'take' on item 'Yellow Loyalist Armband' (#21771)
[16:30:54]	Gregory Smith has gained a 'Yellow Loyalist Armband' #21771.
[16:31:04]	[LOOC] CCA.C14-UNION.i5.39867: you can equip it in inventory
[16:31:10]	[LOOC] Gregory Smith: ik
[16:31:13]	Gregory Smith ran 'Equip' on item 'Yellow Loyalist Armband' (#21771)
[16:31:22]	[LOOC] Gregory Smith: well i can0t see it
[16:31:28]	[LOOC] CCA.C14-UNION.i5.39867: what do you mean?
[16:31:37]	[LOOC] Gregory Smith: i cant see the armband
[16:31:38]	[LOOC] CCA.C14-UNION.i5.39867: it says you're wearing a loyalist armband
[16:31:42]	[LOOC] CCA.C14-UNION.i5.39867: its not an actual item
[16:31:44]	[LOOC] CCA.C14-UNION.i5.39867: like
[16:31:45]	[LOOC] Gregory Smith: Ohh
[16:31:48]	[LOOC] CCA.C14-UNION.i5.39867: its not an actual thing on ur character
[16:31:49]	[LOOC] Gregory Smith: Ok
[16:32:28]	FB|| light ROOM loaded the character 'Journey Robertson'
[16:32:52]	[ME] CCA.C14-UNION.i5.39867: quickly gives a small salute, before turning to walk away
[16:32:57]	[ME] Gregory Smith: turns back to walk away
[16:33:50]	[OOC] CCA.C14-UNION.i5.39867: being on CCA without 363 is like eating cereal without milk
[16:33:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[16:33:51]	Vendo Pan™ loaded the character 'Dennis Arturius'
[16:33:52]	[OOC] CCA.C14-UNION.i5.39867: :(
[16:34:41]	Dennis Arturius has taken 1 damage from env_fire.
[16:34:47]	[OOC] CCA.C14-UNION.i5.39867: brb one moment, grabbing a drink
[16:35:10]	[OOC] Journey Robertson: back, and you two were the new gen low rank bro's so it do be kinda sad
[16:35:56]	Journey Robertson has taken 5 damage from npc_headcrab.
[16:36:25]	FB|| light ROOM loaded the character 'CCA.C14-QrM.98240'
[16:36:35]	CCA.C14-QrM.98240 used the 'Armory Supply' vendor.
[16:37:19]	Dennis Arturius has gained 0 tokens.
[16:37:19]	Dennis Arturius has purchased a door.
[16:37:19]	Dennis Arturius used command '/DoorBuy'.
[16:37:58]	[OOC] Dennis Arturius: Noob will use E to sleep in the bed,but the epic gamers use charfallover
[16:38:15]	Dennis Arturius used command '/CharFallOver'.
[16:38:22]	[OOC] CCA.C14-QrM.98240: Truly
[16:38:33]	Dennis Arturius used command '/CharGetUp'.
[16:38:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[16:40:15]	CCA.C14-QrM.98240 used command '/Radio Unit going 10-7'.
[16:40:19]	FB|| light ROOM loaded the character 'Journey Robertson'
[16:40:36]	[OOC] Dennis Arturius: AFK
[16:42:14]	[OOC] Dennis Arturius: back
[16:42:17]	[OOC] Journey Robertson: Wb
[16:42:27]	[OOC] Dennis Arturius: Weon Boludo=
[16:42:30]	[OOC] Dennis Arturius: Ohh
[16:42:58]	[OOC] Journey Robertson: TFW welcome back
[16:43:14]	[OOC] Dennis Arturius: I know i know
[16:43:24]	[OOC] Dennis Arturius: I was saying something in, spanish...
[16:43:34]	[OOC] Journey Robertson: TFW HL:A models are terrifying
[16:43:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[16:44:16]	[OOC] CCA.C14-UNION.i5.39867: no epic gamer will donate 25 dolans to the server
[16:44:20]	[OOC] CCA.C14-UNION.i5.39867: :sunglasses:
[16:45:00]	[OOC] Dennis Arturius: I'll donate 10
[16:45:01]	[OOC] Journey Robertson: Only a true gamer would
[16:45:08]	[OOC] Dennis Arturius: and maybe in a future other 5
[16:45:29]	[OOC] CCA.C14-UNION.i5.39867: i will donate another 15 dollars to the server probably
[16:45:40]	[OOC] Dennis Arturius: Legendary Gamer
[16:45:42]	[OOC] CCA.C14-UNION.i5.39867: i want to help all i can, i really want to see this game grow
[16:45:46]	[OOC] CCA.C14-UNION.i5.39867: server*
[16:45:59]	[OOC] CCA.C14-UNION.i5.39867: maybe itll help with hosting and such
[16:46:04]	[OOC] CCA.C14-UNION.i5.39867: but also i need to buy gfuel
[16:46:08]	[OOC] CCA.C14-UNION.i5.39867: or else ill die
[16:46:14]	[OOC] Journey Robertson: Me no likey Gfuel
[16:46:24]	[OOC] CCA.C14-UNION.i5.39867: i love it
[16:46:27]	[OOC] CCA.C14-UNION.i5.39867: lemonade
[16:46:43]	[OOC] Dennis Arturius: The situation here is not the same as other countries, and i'm 18- so for now i'll donate 10
[16:46:45]	[OOC] CCA.C14-UNION.i5.39867: i use SomeOrdinaryGamer's codes whenever he gets sponsored
[16:47:00]	Journey Robertson used command '/PM UNION by the way just in case you don't know this, do /viewobjectives to see the current BOL's.'.
[16:47:39]	[OOC] CCA.C14-UNION.i5.39867: im a minor too
[16:47:43]	[OOC] CCA.C14-UNION.i5.39867: i have a childrens bank account
[16:47:49]	[OOC] CCA.C14-UNION.i5.39867: maxes out at like 250 or something?
[16:47:56]	[OOC] Journey Robertson: Bruh
[16:47:58]	Journey Robertson ran 'take' on item 'Small Cannister' (#25561)
[16:47:58]	Journey Robertson has gained a 'Small Cannister' #25561.
[16:48:02]	[OOC] Dennis Arturius: I am trying to get an international credit card for children
[16:48:11]	[OOC] Journey Robertson: Pain i need you for a moment
[16:48:13]	[OOC] CCA.C14-UNION.i5.39867: im pretty sure thats what i have
[16:48:16]	[OOC] CCA.C14-UNION.i5.39867: idk
[16:48:21]	[OOC] Dennis Arturius: Journey, use @
[16:48:32]	[OOC] CCA.C14-UNION.i5.39867: no
[16:48:36]	[OOC] Journey Robertson: ^
[16:48:46]	[OOC] Dennis Arturius: *NO?*
[16:48:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[16:48:52]	[OOC] Dennis Arturius: ¿¿
[16:48:53]	[OOC] Journey Robertson: jk but i find it easier to just do //
[16:48:58]	CCA.C14-UNION.i5.39867 used command '/ViewObjectives'.
[16:50:40]	[OOC] Dennis Arturius: Can a person headcrab attack a person and become zombie?
[16:51:34]	[OOC] Journey Robertson: I think so
[16:51:49]	[OOC] Journey Robertson: If you have the whitelist for headcrab you can take over CCA and shit
[16:51:56]	[OOC] Journey Robertson: If you kill them
[16:52:03]	[OOC] Journey Robertson: brb
[16:52:09]	[OOC] Dennis Arturius: The "whitelist" is donating
[16:52:14]	[OOC] Dennis Arturius: 5$
[16:52:33]	[LOOC] Dennis Arturius: Are you alive?
[16:52:42]	[OOC] CCA.C14-UNION.i5.39867: fucking
[16:52:43]	[OOC] CCA.C14-UNION.i5.39867: gaben
[16:52:48]	[OOC] Dennis Arturius: ?
[16:53:02]	[OOC] CCA.C14-UNION.i5.39867: i can be reached at gaben@valvesoftware.com
[16:53:08]	[OOC] CCA.C14-UNION.i5.39867: thanks and have fun
[16:53:31]	Dennis Arturius ran 'drop' on item 'Relocation Coupon' (#25778)
[16:53:31]	Dennis Arturius has lost a 'Relocation Coupon' #25778.
[16:53:41]	[OOC] CCA.C14-UNION.i5.39867: oh ok loyalist armbands are broken
[16:53:43]	[LOOC] CCA.C14-UNION.i5.39867: say that again
[16:53:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[16:54:04]	[ME] Dennis Arturius: pionts at the coupon
[16:54:12]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[16:54:18]	[Y] CCA.C14-UNION.i5.39867: <:: Don't move! ::>
[16:54:28]	[ME] CCA.C14-UNION.i5.39867: pulls his sidearm
[16:54:31]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[16:54:34]	[Y] CCA.C14-UNION.i5.39867: <:: Freeze! ::>
[16:54:41]	[ME] CCA.C14-UNION.i5.39867: tackles the man
[16:54:43]	CCA.C14-UNION.i5.39867 rolled 23 out of 100.
[16:54:43]	CCA.C14-UNION.i5.39867 used command '/Roll'.
[16:54:48]	Dennis Arturius used command '/CharFallOver'.
[16:54:52]	[LOOC] Dennis Arturius: oh rol
[16:54:56]	[LOOC] CCA.C14-UNION.i5.39867: roll for it
[16:54:57]	[LOOC] Dennis Arturius: i forget that
[16:55:00]	Dennis Arturius rolled 50 out of 100.
[16:55:00]	Dennis Arturius used command '/Roll'.
[16:55:02]	Dennis Arturius used command '/CharGetUp'.
[16:55:03]	[LOOC] CCA.C14-UNION.i5.39867: wait reroll
[16:55:04]	[LOOC] CCA.C14-UNION.i5.39867: agility
[16:55:06]	[LOOC] Dennis Arturius: let me wake up
[16:55:08]	CCA.C14-UNION.i5.39867 used command '/RollStat agi'.
[16:55:10]	[LOOC] CCA.C14-UNION.i5.39867: rollstat agi
[16:55:23]	Dennis Arturius used command '/RollStat'.
[16:55:38]	[ME] CCA.C14-UNION.i5.39867: tackles the man onto the floor, before getting up on his knees and placing an elbow to his back
[16:55:49]	Dennis Arturius used command '/CharFallOver'.
[16:55:54]	[LOOC] Dennis Arturius: idk what happend
[16:55:59]	[LOOC] Dennis Arturius: but ok
[16:56:04]	Dennis Arturius used command '/CharGetUp'.
[16:56:06]	[ME] CCA.C14-UNION.i5.39867: grips the mans arms behind his back, before attempting to tie them
[16:56:11]	[IT] CCA.C14-UNION.i5.39867: resist?
[16:56:19]	[ME] Dennis Arturius: doesn't reists
[16:56:22]	CCA.C14-UNION.i5.39867 ran 'Use' on item 'Zip Tie' (#18916)
[16:56:24]	[LOOC] Dennis Arturius: resists*
[16:56:40]	[ME] CCA.C14-UNION.i5.39867: pulls the man up gently, before walking him forward
[16:57:10]	[ME] CCA.C14-UNION.i5.39867: swipes the card off the desk
[16:57:12]	[OOC] Karl Von Habsburg: e
[16:57:28]	[ME] Dennis Arturius: falsely cries
[16:57:29]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Relocation Coupon' (#25778)
[16:57:29]	CCA.C14-UNION.i5.39867 has gained a 'Relocation Coupon' #25778.
[16:57:32]	Karl Von Habsburg exited observer at their location.
[16:57:32]	[ME] Dennis Arturius: falsely cries
[16:58:04]	[ME] Dennis Arturius: falsely cries
[16:58:11]	Karl Von Habsburg entered observer.
[16:58:46]	[OOC] Journey Robertson: Back gamers
[16:58:48]	[LOOC] Dennis Arturius: wait
[16:58:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[16:58:52]	[LOOC] CCA.C14-UNION.i5.39867: what?
[16:59:01]	[LOOC] Dennis Arturius: are you grabbing me or am i just following you?
[16:59:05]	[LOOC] Dennis Arturius: i mean in RP
[16:59:11]	[LOOC] CCA.C14-UNION.i5.39867: you're following me
[16:59:14]	[LOOC] Dennis Arturius: ok
[17:00:02]	[CGN] Painevan loaded the character 'CCA.C14-HELIX.i4.50299'
[17:00:04]	CCA.C14-HELIX.i4.50299 entered observer.
[17:00:10]	[ME] CCA.C14-UNION.i5.39867: grabs the man by the shoulder, pulling him forcefully
[17:00:11]	CCA.C14-HELIX.i4.50299 used command '/Radio Union report in status.'.
[17:00:25]	CCA.C14-UNION.i5.39867 used command '/Radio 10-9?'.
[17:00:50]	James Albright used command '/adminspawnmenu'.
[17:00:52]	[ME] CCA.C14-UNION.i5.39867: shoves the man into the cell, before jogging
[17:01:11]	[ME] Dennis Arturius: tries to pass through
[17:01:16]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[17:01:17]	CCA.C14-HELIX.i4.50299 entered observer.
[17:01:28]	[ME] Dennis Arturius: tries to focefully cries
[17:01:29]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[17:02:59]	CCA.C14-UNION.i5.39867 used command '/Radio Open the cell, please.'.
[17:03:00]	CCA.C14-HELIX.i4.50299 entered observer.
[17:03:00]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[17:03:09]	[ME] Dennis Arturius: prepares to run
[17:03:14]	CCA.C14-HELIX.i4.50299 entered observer.
[17:03:20]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[17:03:23]	[ME] CCA.C14-UNION.i5.39867: sees this, gripping his stunstick and flicking it onto medium
[17:03:24]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[17:03:38]	CCA.C14-HELIX.i4.50299 used command '/Radio I trust you can handle him getting there?'.
[17:03:39]	Dennis Arturius used command '/CharFallOver'.
[17:03:45]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[17:03:47]	[LOOC] Dennis Arturius: lmao
[17:03:49]	CCA.C14-UNION.i5.39867 used command '/Radio What the hell...'.
[17:03:51]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[17:04:24]	[LOOC] CCA.C14-UNION.i5.39867: get up
[17:04:27]	[LOOC] CCA.C14-UNION.i5.39867: we cant get you through
[17:04:27]	Dennis Arturius used command '/CharGetUp'.
[17:04:31]	[LOOC] CCA.C14-UNION.i5.39867: you have to stand up oocly
[17:04:32]	[LOOC] CCA.C14-HELIX.i4.50299: Get up
[17:04:33]	[ME] Dennis Arturius: gets up slowly
[17:05:02]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[17:05:07]	Dennis Arturius has taken 5 damage from CCA.C14-HELIX.i4.50299.
[17:05:08]	Dennis Arturius has taken 5 damage from CCA.C14-HELIX.i4.50299.
[17:05:10]	Dennis Arturius has taken 5 damage from CCA.C14-HELIX.i4.50299.
[17:05:31]	[LOOC] Dennis Arturius: lag
[17:05:46]	[ME] CCA.C14-UNION.i5.39867: stays silent now, a little offended
[17:06:16]	Dennis Arturius used command '/CharGetUp'.
[17:06:17]	Dennis Arturius used command '/CharGetUp'.
[17:06:17]	Dennis Arturius used command '/CharGetUp'.
[17:06:18]	Dennis Arturius used command '/CharGetUp'.
[17:06:19]	Dennis Arturius used command '/CharGetUp'.
[17:06:24]	[ME] Dennis Arturius: gets up
[17:06:53]	[ME] Dennis Arturius: spits
[17:07:08]	[ME] CCA.C14-HELIX.i4.50299: searches the man.
[17:07:15]	CCA.C14-HELIX.i4.50299 used command '/CharSearch'.
[17:08:20]	[ME] CCA.C14-HELIX.i4.50299: wraps a blindfold on the man.
[17:08:34]	[ME] CCA.C14-HELIX.i4.50299: grabs his arm bringing him to the station.
[17:08:51]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[17:09:44]	[ME] Dennis Arturius: tries to touch anything
[17:09:47]	[ME] CCA.C14-HELIX.i4.50299: pushes him into the chair
[17:09:50]	[LOOC] Dennis Arturius: the blindfold
