[00:13:47]	beansman67 has connected.
[21:07:25]	OTA.C08-ECHO.OWC.14316 rolled 46477 out of 99999.
[21:07:25]	OTA.C08-ECHO.OWC.14316 used command '/Roll 99999'.
[21:07:27]	Preobrazhensky Bogolepov entered observer.
[21:07:27]	Preobrazhensky Bogolepov exited observer at their location.
[21:07:28]	OTA.C08-KING.EOA.46477 used command '/CharSetName owc OTA.C08-KING.EOA.46477'.
[21:07:35]	[OOC] Paul-Henri Cartier: uh oph
[21:07:53]	[OOC] Paul-Henri Cartier: FOR QUEEN AND COUNTRY, BOYS
[21:07:53]	Preobrazhensky Bogolepov used command '/ToggleRaise'.
[21:07:57]	Kilszot loaded the character 'Dimitri Makarovicz'
[21:07:59]	[OOC] 1LT Samuel Brody: oh yeah uh q
[21:08:02]	Paul-Henri Cartier entered observer.
[21:08:03]	Paul-Henri Cartier exited observer at their location.
[21:08:05]	OTA.C08-KING.EOA.46477 used command '/CharSetModel king models/romka/rtb_elite.mdl'.
[21:08:09]	OTA.C08-KING.EOA.46477 exited observer at their location.
[21:08:10]	[OOC] Dimitri Makarovicz: U SLUT I STILL CANT LEACE THE TRAINSTATION
[21:08:11]	OTA.C08-KING.EOA.46477 used command '/CharSetSkin king 2'.
[21:08:12]	OTA.C08-KING.EOA.46477 entered observer.
[21:08:13]	OTA.C08-KING.EOA.46477 exited observer at their location.
[21:08:15]	OTA.C08-KING.EOA.46477 entered observer.
[21:08:19]	OTA.C08-KING.EOA.46477 used command '/ToggleRaise'.
[21:08:23]	[OOC] 1LT Samuel Brody: one of the possey has my CID so i cant get through any gate
[21:08:42]	Dimitri Makarovicz ran 'take' on item 'Resin' (#13753)
[21:08:42]	Dimitri Makarovicz has gained a 'Resin' #13753.
[21:08:45]	OTA.C08-KING.EOA.46477 exited observer at their location.
[21:08:50]	[Y] OTA.C08-KING.EOA.46477: <:: GOT EM. ::>
[21:08:59]	[OOC] Andrew 'Razor' Gonzalez: Gate again
[21:09:01]	OTA.C08-KING.EOA.46477 has taken 1 damage from Jim Bostello.
[21:09:02]	OTA.C08-KING.EOA.46477 has taken 72 damage from Jim Bostello.
[21:09:02]	OTA.C08-KING.EOA.46477 has taken 12 damage from Jim Bostello.
[21:09:02]	OTA.C08-KING.EOA.46477 has taken 72 damage from Jim Bostello.
[21:09:02]	OTA.C08-KING.EOA.46477 has taken 72 damage from Jim Bostello.
[21:09:03]	OTA.C08-KING.EOA.46477 has taken 2 damage from Jim Bostello.
[21:09:04]	OTA.C08-KING.EOA.46477 has taken 1 damage from Jim Bostello.
[21:09:04]	Jim Bostello has taken 11 damage from OTA.C08-KING.EOA.46477.
[21:09:04]	OTA.C08-KING.EOA.46477 has taken 12 damage from Jim Bostello.
[21:09:04]	OTA.C08-KING.EOA.46477 has taken 12 damage from Jim Bostello.
[21:09:04]	OTA.C08-KING.EOA.46477 has taken 72 damage from Jim Bostello.
[21:09:04]	OTA.C08-KING.EOA.46477 has taken 2 damage from Jim Bostello.
[21:09:04]	OTA.C08-KING.EOA.46477 has taken 12 damage from Jim Bostello.
[21:09:04]	Jim Bostello has taken 11 damage from OTA.C08-KING.EOA.46477.
[21:09:04]	OTA.C08-KING.EOA.46477 has taken 72 damage from Jim Bostello.
[21:09:04]	OTA.C08-KING.EOA.46477 has taken 12 damage from Jim Bostello.
[21:09:05]	Jim Bostello has taken 11 damage from OTA.C08-KING.EOA.46477.
[21:09:05]	Jim Bostello has taken 11 damage from OTA.C08-KING.EOA.46477.
[21:09:06]	Dimitri Makarovicz opened the '' #1243 container.
[21:09:08]	Dimitri Makarovicz closed the '' #1243 container.
[21:09:09]	OTA.C08-KING.EOA.46477 entered observer.
[21:09:13]	Paul-Henri Cartier entered observer.
[21:09:14]	Paul-Henri Cartier exited observer at their location.
[21:09:14]	Ethan King entered observer.
[21:09:15]	Dimitri Makarovicz opened the '' #1233 container.
[21:09:16]	Ethan King exited observer at their location.
[21:09:20]	Dimitri Makarovicz has gained a 'Rock' #13835.
[21:09:21]	Dimitri Makarovicz closed the '' #1233 container.
[21:09:22]	OTA.C08-KING.EOA.46477 exited observer at their location.
[21:09:23]	Dimitri Makarovicz ran 'Equip' on item 'Rock' (#13835)
[21:09:23]	OTA.C08-KING.EOA.46477 used command '/ToggleRaise'.
[21:09:24]	Paul-Henri Cartier entered observer.
[21:09:26]	Paul-Henri Cartier exited observer at their location.
[21:09:27]	OTA.C08-KING.EOA.46477 has taken 75 damage from Jim Bostello.
[21:09:27]	Jim Bostello has killed OTA.C08-KING.EOA.46477 with weapon_357.
[21:09:28]	OTA.C08-KING.EOA.46477 entered observer.
[21:09:34]	[OOC] Dimitri Makarovicz: Rust Roleplay
[21:09:40]	Jim Bostello has taken 1 damage from worldspawn.
[21:09:41]	Jim Bostello has taken 1 damage from worldspawn.
[21:09:42]	Jim Bostello has taken 1 damage from worldspawn.
[21:09:42]	[OOC] OTA.C08-KING.EOA.46477: oh, shit, what's up
[21:09:42]	Jim Bostello has taken 1 damage from worldspawn.
[21:09:43]	Jim Bostello has taken 1 damage from worldspawn.
[21:09:44]	Jim Bostello has taken 1 damage from worldspawn.
[21:09:44]	Jim Bostello ran 'equip' on item 'CCA Filter' (#14032)
[21:09:46]	[OOC] OTA.C08-KING.EOA.46477: you caught us inthe middle of an event
[21:09:46]	Andrew 'Razor' Gonzalez has taken 27 damage from worldspawn.
[21:09:57]	[Y] OTA.C08-KING.EOA.46477: <:: Sector is not secure. ::>
[21:10:02]	[Y] OTA.C08-KING.EOA.46477: <:: Repeat, not secure. ::>
[21:10:05]	Ethan King entered observer.
[21:10:06]	Ethan King exited observer at their location.
[21:10:16]	[OOC] Dimitri Makarovicz: can i become meatshield aka conscript ?
[21:10:17]	Dimitri Makarovicz opened the '' #1464 container.
[21:10:18]	OTA.C08-KING.EOA.46477 has spawned a 'NPC [154][npc_turret_floor]'.
[21:10:19]	OTA.C08-KING.EOA.46477 has spawned a 'NPC [1363][npc_turret_floor]'.
[21:10:22]	Dimitri Makarovicz has gained a 'Blood Collecting Syringe' #13877.
[21:10:23]	Dimitri Makarovicz has gained a 'Blood Collecting Syringe' #13874.
[21:10:24]	[OOC] OTA.C08-KING.EOA.46477: you've got to apply first
[21:10:24]	Dimitri Makarovicz closed the '' #1464 container.
[21:10:28]	[OOC] Dimitri Makarovicz: boring
[21:10:31]	OTA.C08-KING.EOA.46477 exited observer at their location.
[21:10:31]	OTA.C08-KING.EOA.46477 used command '/ToggleRaise'.
[21:10:31]	[Y] Jim Bostello: WHERE ARE YOU.
[21:10:37]	[OOC] Dimitri Makarovicz: are there ic apps ?
[21:10:37]	[Y] OTA.C08-KING.EOA.46477: <:: Hold it right there! ::>
[21:10:39]	Dimitri Makarovicz opened the '' #1232 container.
[21:10:40]	Dimitri Makarovicz closed the '' #1232 container.
[21:10:41]	Dimitri Makarovicz opened the '' #1231 container.
[21:10:43]	Dimitri Makarovicz closed the '' #1231 container.
[21:10:44]	Paul-Henri Cartier has taken 3 damage from npc_turret_floor.
[21:10:44]	Paul-Henri Cartier has taken 3 damage from npc_turret_floor.
[21:10:44]	Paul-Henri Cartier has taken 3 damage from npc_turret_floor.
[21:10:45]	Paul-Henri Cartier has taken 3 damage from npc_turret_floor.
[21:10:45]	[OOC] OTA.C08-KING.EOA.46477: yeah, on occasion. we do both
[21:10:45]	Paul-Henri Cartier has taken 3 damage from npc_turret_floor.
[21:10:47]	[Y] Andrew 'Razor' Gonzalez: Bolt it.
[21:10:52]	OTA.C08-KING.EOA.46477 has taken 3 damage from npc_turret_floor.
[21:10:53]	OTA.C08-KING.EOA.46477 has taken 18 damage from npc_turret_floor.
[21:10:53]	OTA.C08-KING.EOA.46477 has taken 4 damage from Paul-Henri Cartier.
[21:10:54]	OTA.C08-KING.EOA.46477 has taken 18 damage from npc_turret_floor.
[21:10:55]	Ethan King has taken 0 damage from npc_turret_floor.
[21:11:00]	Jim Bostello has taken 3 damage from npc_turret_floor.
[21:11:00]	Jim Bostello has taken 3 damage from npc_turret_floor.
[21:11:00]	Jim Bostello has taken 3 damage from npc_turret_floor.
[21:11:01]	[OOC] Dimitri Makarovicz: atleast that becuse some servers still not do IC apps and be living in 2013
[21:11:05]	OTA.C08-KING.EOA.46477 has taken 18 damage from npc_turret_floor.
[21:11:06]	OTA.C08-KING.EOA.46477 has taken 3 damage from npc_turret_floor.
[21:11:06]	OTA.C08-KING.EOA.46477 has taken 3 damage from npc_turret_floor.
[21:11:07]	OTA.C08-KING.EOA.46477 has taken 3 damage from npc_turret_floor.
[21:11:07]	Paul-Henri Cartier has spawned 'models/props_c17/SuitCase001a.mdl'.
[21:11:09]	OTA.C08-KING.EOA.46477 has taken 3 damage from npc_turret_floor.
[21:11:10]	OTA.C08-KING.EOA.46477 has taken 75 damage from Jim Bostello.
[21:11:12]	Paul-Henri Cartier has taken 3 damage from npc_turret_floor.
[21:11:12]	Paul-Henri Cartier has taken 3 damage from npc_turret_floor.
[21:11:13]	OTA.C08-KING.EOA.46477 has taken 450 damage from Jim Bostello.
[21:11:13]	Jim Bostello has killed OTA.C08-KING.EOA.46477 with weapon_357.
[21:11:13]	Andrew 'Razor' Gonzalez used command '/PM EOA we're at the train'.
[21:11:13]	[Y] OTA.C08-KING.EOA.46477: <:: TEAM OMICRON! IN DANGER. ::>
[21:11:14]	OTA.C08-KING.EOA.46477 entered observer.
[21:11:16]	Dimitri Makarovicz opened the '' #1253 container.
[21:11:17]	Dimitri Makarovicz closed the '' #1253 container.
[21:11:19]	Dimitri Makarovicz opened the '' #1252 container.
[21:11:21]	Dimitri Makarovicz closed the '' #1252 container.
[21:11:23]	Ethan King used command '/Radio Come into the base!'.
[21:11:26]	Dimitri Makarovicz opened the '' #1338 container.
[21:11:27]	[LOOC] OTA.C08-KING.EOA.46477: wrong train but you're on the right track, literally
[21:11:27]	Ethan King used command '/Radio I think I found it!'.
[21:11:27]	Dimitri Makarovicz closed the '' #1338 container.
[21:11:28]	Dimitri Makarovicz opened the '' #1339 container.
[21:11:29]	Paul-Henri Cartier has spawned 'models/props_c17/SuitCase001a.mdl'.
[21:11:30]	Dimitri Makarovicz closed the '' #1339 container.
[21:11:30]	Dimitri Makarovicz opened the '' #1339 container.
[21:11:31]	Dimitri Makarovicz closed the '' #1339 container.
[21:11:32]	[W] 1LT Samuel Brody: Its a KING unit, you cant get away from them.
[21:11:32]	Dimitri Makarovicz opened the '' #1339 container.
[21:11:32]	[LOOC] Andrew 'Razor' Gonzalez: oh
[21:11:32]	Dimitri Makarovicz closed the '' #1339 container.
[21:11:33]	Preobrazhensky Bogolepov ran 'Frequency' on item 'Hybrid Radio' (#10899)
[21:11:34]	Ethan King has taken 8 damage from Jim Bostello.
[21:11:35]	Dimitri Makarovicz opened the '' #1339 container.
[21:11:35]	Dimitri Makarovicz closed the '' #1339 container.
[21:11:36]	Preobrazhensky Bogolepov used command '/SetFreq 145.5'.
[21:11:42]	Preobrazhensky Bogolepov ran 'Frequency' on item 'Hybrid Radio' (#10899)
[21:11:44]	[W] Andrew 'Razor' Gonzalez: We need to go.
[21:11:45]	Preobrazhensky Bogolepov used command '/SetFreq 145.5'.
[21:11:48]	[Y] 1LT Samuel Brody: Hey when can i get my fucking ID back!
[21:11:49]	[W] Andrew 'Razor' Gonzalez: Now.
[21:11:50]	Paul-Henri Cartier used command '/ToggleRaise'.
[21:11:53]	OTA.C08-KING.EOA.46477 has spawned a 'NPC [1371][npc_combine_s]'.
[21:11:54]	[Y] Andrew 'Razor' Gonzalez: Forget it.
[21:11:55]	OTA.C08-KING.EOA.46477 has spawned a 'NPC [1372][npc_combine_s]'.
[21:11:56]	OTA.C08-KING.EOA.46477 has spawned a 'NPC [2961][npc_combine_s]'.
[21:11:59]	OTA.C08-KING.EOA.46477 has spawned a 'NPC [2968][npc_combine_s]'.
[21:12:07]	Jim Bostello has taken 3 damage from npc_combine_s.
[21:12:14]	[Y] OTA.C08-KING.EOA.46477: <:: They're trying to get us! ::>
[21:12:19]	OTA.C08-KING.EOA.46477 has spawned a 'NPC [983][npc_manhack]'.
[21:12:20]	OTA.C08-KING.EOA.46477 has spawned a 'NPC [2980][npc_manhack]'.
[21:12:20]	Jim Bostello ran 'use' on item '4.6x30 Rounds' (#14070)
[21:12:26]	[Y] OTA.C08-KING.EOA.46477: <:: DISPATCH IS IN DANGER! MOVING OUT! ::>
[21:12:27]	[Y] Andrew 'Razor' Gonzalez: Let's go!
[21:12:28]	Preobrazhensky Bogolepov used command '/ToggleRaise'.
[21:12:30]	[Y] Andrew 'Razor' Gonzalez: GET EM.
[21:12:34]	[Y] OTA.C08-KING.EOA.46477: <:: REQUESTING IMMEDIATE EXTRACTION. ::>
[21:12:38]	Paul-Henri Cartier entered observer.
[21:12:40]	OTA.C08-KING.EOA.46477 has spawned a 'Entity [1371][gmod_sent_vehicle_fphysics_base]'.
[21:12:42]	OTA.C08-KING.EOA.46477 exited observer at their location.
[21:12:45]	[ME] Jim Bostello: would crouch down, quickly looting hte body
[21:12:47]	Paul-Henri Cartier exited observer at their location.
[21:12:49]	[OOC] Jim Bostello: let me loot this guy
[21:12:54]	Dimitri Makarovicz opened the '' #969 container.
[21:12:54]	Dimitri Makarovicz closed the '' #969 container.
[21:12:54]	Paul-Henri Cartier has taken 500 damage from gmod_sent_vehicle_fphysics_base.
[21:12:54]	gmod_sent_vehicle_fphysics_base has killed Paul-Henri Cartier.
[21:12:55]	[Y] Ethan King: What!
[21:12:55]	Dimitri Makarovicz opened the '' #969 container.
[21:12:57]	Dimitri Makarovicz closed the '' #969 container.
[21:12:58]	OTA.C08-KING.EOA.46477 has taken 5 damage from worldspawn.
[21:12:59]	OTA.C08-KING.EOA.46477 entered observer.
[21:12:59]	Paul-Henri Cartier entered observer.
[21:13:00]	Dimitri Makarovicz opened the '' #1247 container.
[21:13:00]	[Y] Ethan King: Why the fuck are you here!
[21:13:01]	[LOOC] Jim Bostello: LOL
[21:13:01]	Dimitri Makarovicz closed the '' #1247 container.
[21:13:02]	Dimitri Makarovicz opened the '' #1244 container.
[21:13:03]	Paul-Henri Cartier ran 'Equip' on item 'SPAS-12' (#10397)
[21:13:04]	Dimitri Makarovicz closed the '' #1244 container.
[21:13:05]	Dimitri Makarovicz opened the '' #1246 container.
[21:13:07]	Dimitri Makarovicz closed the '' #1246 container.
[21:13:08]	[Y] Andrew 'Razor' Gonzalez: We're all hostile!
[21:13:15]	Paul-Henri Cartier ran 'Equip' on item 'USP Match' (#10620)
[21:13:20]	[Y] OTA.C08-KING.EOA.46477: <:: Dispatch has made it out. Repeat, she is okay. ::>
[21:13:27]	[Y] Andrew 'Razor' Gonzalez: Ruuuuun!
[21:13:29]	[Y] OTA.C08-KING.EOA.46477: <:: Destination, city 17. ::>
[21:13:33]	Paul-Henri Cartier exited observer at their location.
[21:13:43]	[Y] OTA.C08-KING.EOA.46477: <:: All living units accompany the train to leave the city. ::>
[21:13:46]	[Y] OTA.C08-KING.EOA.46477: <:: All living units accompany the train to leave the city. ::>
[21:13:51]	Paul-Henri Cartier entered observer.
[21:13:59]	1LT Samuel Brody has taken 4 damage from npc_manhack.
[21:14:02]	Dimitri Makarovicz ran 'View' on item 'Notepad' (#12115)
[21:14:03]	Paul-Henri Cartier exited observer at their location.
[21:14:06]	[OOC] Jim Bostello: i look over and see a truck go flying down the street
[21:14:08]	Dimitri Makarovicz used the 'Street Market' vendor.
[21:14:08]	matt saton loaded the character 'CCA.C08-UNION.i1.51023'
[21:14:09]	CCA.C08-UNION.i1.51023 entered observer.
[21:14:11]	Paul-Henri Cartier used command '/ToggleRaise'.
[21:14:14]	Jim Bostello ran 'use' on item '.357 Rounds' (#14030)
[21:14:14]	Jim Bostello ran 'use' on item '4.6x30 Rounds' (#14069)
[21:14:16]	CCA.C08-UNION.i1.51023 exited observer at their location.
[21:14:18]	CCA.C08-UNION.i1.51023 used command '/ToggleRaise'.
[21:14:23]	[Y] CCA.C08-UNION.i1.51023: <:: Get back to the front. ::>
[21:14:30]	Jim Bostello used command '/PM union can i loot this guy'.
[21:14:33]	Dimitri Makarovicz opened the '' #1275 container.
[21:14:33]	Dimitri Makarovicz closed the '' #1275 container.
[21:14:34]	CCA.C08-UNION.i1.51023 used command '/PM bostello what guy'.
[21:14:34]	Dimitri Makarovicz opened the '' #1275 container.
[21:14:35]	Paul-Henri Cartier entered observer.
[21:14:36]	Dimitri Makarovicz closed the '' #1275 container.
[21:14:37]	Paul-Henri Cartier exited observer at their location.
[21:14:37]	Dimitri Makarovicz opened the '' #1274 container.
[21:14:38]	Dimitri Makarovicz closed the '' #1274 container.
[21:14:40]	Dimitri Makarovicz opened the '' #1273 container.
[21:14:40]	Jim Bostello used command '/Reply dead elite OTA'.
[21:14:41]	Dimitri Makarovicz closed the '' #1273 container.
[21:14:46]	Dimitri Makarovicz opened the '' #1272 container.
[21:14:48]	Dimitri Makarovicz closed the '' #1272 container.
[21:14:50]	Jim Bostello used command '/PM union or one of the other ota'.
[21:14:55]	Jim Bostello has gained a 'Pulse Ammunition' #14090.
[21:14:55]	Jim Bostello has gained a 'Pulse Ammunition' #14091.
[21:14:55]	CCA.C08-UNION.i1.51023 used command '/CharGiveItem bostello pulse ammunition 2'.
[21:14:58]	CCA.C08-UNION.i1.51023 used command '/PM jim done'.
[21:14:59]	CCA.C08-UNION.i1.51023 used command '/ToggleRaise'.
[21:15:03]	Paul-Henri Cartier used command '/ToggleRaise'.
[21:15:09]	1LT Samuel Brody ran 'drop' on item 'Condensed Dark Energy Charge' (#14081)
[21:15:09]	1LT Samuel Brody has lost a 'Condensed Dark Energy Charge' #14081.
[21:15:12]	CCA.C08-UNION.i1.51023 ran 'take' on item 'Condensed Dark Energy Charge' (#14081)
[21:15:12]	CCA.C08-UNION.i1.51023 has gained a 'Condensed Dark Energy Charge' #14081.
[21:15:23]	CCA.C08-UNION.i1.51023 entered observer.
[21:15:26]	Preobrazhensky Bogolepov used command '/ToggleRaise'.
[21:15:27]	[Y] Andrew 'Razor' Gonzalez: They fucking wiped the city.
[21:15:27]	Preobrazhensky Bogolepov used command '/ToggleRaise'.
[21:15:40]	Preobrazhensky Bogolepov used command '/ToggleRaise'.
[21:15:45]	[Y] Andrew 'Razor' Gonzalez: They killed everyone, officers and us.
[21:15:46]	Dimitri Makarovicz opened the '' #1197 container.
[21:15:50]	Dimitri Makarovicz has gained a 'UU Brand Chips' #13923.
[21:15:51]	Dimitri Makarovicz has gained a 'UU Brand Chips' #13918.
[21:15:52]	[Y] Andrew 'Razor' Gonzalez: I saw them.
[21:15:52]	Dimitri Makarovicz has gained a 'UU Brand Chips' #13915.
[21:15:54]	Dimitri Makarovicz has gained a 'UU Brand Chips' #13924.
[21:15:55]	Dimitri Makarovicz closed the '' #1197 container.
[21:15:58]	[Y] CCA.C08-UNION.i1.51023: <:: She's on! ::>
[21:16:11]	[Y] Jim Bostello: The train!?
[21:16:11]	[Y] CCA.C08-UNION.i1.51023: <:: Everybody get on, we're going wherever this train is taking us. ::>
[21:16:19]	CCA.C08-UNION.i1.51023 ran 'use' on item 'Condensed Dark Energy Charge' (#14081)
[21:16:20]	Dimitri Makarovicz used the 'Resin Terminal' vendor.
[21:16:20]	[ME] Jim Bostello: would hop on the train, holding on tightly.
[21:16:29]	Dimitri Makarovicz opened the '' #1341 container.
[21:16:31]	Dimitri Makarovicz closed the '' #1341 container.
[21:16:32]	[OOC] Drake Salvador: Gotta' say this is some gourmet shit right here
[21:16:34]	[ME] Andrew 'Razor' Gonzalez: would hop onto the train, gripping tight
[21:16:35]	[ME] 1LT Samuel Brody: would get onm, using a firm grip.
[21:16:37]	Ethan King used command '/Radio Watcher, we're gonna pack shit up before leaving.'.
[21:16:43]	Ethan King used command '/Radio move to the base!'.
[21:16:45]	Drake Salvador has taken 5 damage from worldspawn.
[21:16:48]	[ME] Jim Bostello: would hop down, jogging over.
[21:17:01]	[OOC] 1LT Samuel Brody: wait just one more thing
[21:17:09]	[OOC] 1LT Samuel Brody: CAN I HAVE MY ID BACK FFS
[21:17:13]	Ethan King entered observer.
[21:17:13]	[OOC] Paul-Henri Cartier: no
[21:17:15]	Ethan King exited observer at their location.
[21:17:17]	Ethan King entered observer.
[21:17:21]	[OOC] CCA.C08-UNION.i1.51023: everybody get this map, we're oging here
[21:17:21]	Ethan King exited observer at their location.
[21:17:22]	[OOC] Andrew 'Razor' Gonzalez: Nice flash
[21:17:22]	[OOC] CCA.C08-UNION.i1.51023: https://steamcommunity.com/workshop/browse/?appid=4000&searchtext=industrial+17+destroyed&childpublishedfileid=0&browsesort=textsearch&section=home
[21:17:25]	[LOOC] CCA.C08-UNION.i1.51023: fuck
[21:17:30]	Ethan King entered observer.
[21:17:33]	Ethan King exited observer at their location.
[21:17:35]	[LOOC] Ethan King: its locked
[21:17:35]	[LOOC] Jim Bostello: oh
[21:17:36]	[LOOC] Ethan King: Fuck shit
[21:17:39]	[OOC] CCA.C08-UNION.i1.51023: https://steamcommunity.com/sharedfiles/filedetails/?id=2220206773
[21:17:55]	[LOOC] Ethan King: GRID LOCKED IT
[21:17:58]	[OOC] Drake Salvador: Wait how are we going from C8 to i17
[21:17:58]	[LOOC] Ethan King: ONE SECOND
[21:18:02]	Ethan King entered observer.
[21:18:05]	[OOC] Andrew 'Razor' Gonzalez: Train
[21:18:07]	[OOC] CCA.C08-UNION.i1.51023: train, you accidentally split off from thegroup
[21:18:10]	[OOC] CCA.C08-UNION.i1.51023: or on purpose idk
[21:18:13]	Ethan King exited observer at their location.
[21:18:16]	[OOC] CCA.C08-UNION.i1.51023: want me to bring you back?
[21:18:20]	Ethan King ran 'take' on item 'Armor Scraps' (#14040)
[21:18:20]	Ethan King has gained a 'Armor Scraps' #14040.
[21:18:21]	Ethan King ran 'take' on item 'Armor Scraps' (#14041)
[21:18:21]	Ethan King has gained a 'Armor Scraps' #14041.
[21:18:22]	[OOC] Drake Salvador: Accidentally. Turned around, everyone was gone. But... C08's in Japan.
[21:18:23]	Ethan King ran 'take' on item 'Sparkling Consulate Water' (#14044)
[21:18:23]	Ethan King has gained a 'Sparkling Consulate Water' #14044.
[21:18:24]	Ethan King ran 'take' on item 'Civil Workers' Union ID' (#8085)
[21:18:24]	Ethan King has gained a 'Civil Workers' Union ID' #8085.
[21:18:37]	[OOC] CCA.C08-UNION.i1.51023: correct
[21:18:41]	Ethan King ran 'drop' on item 'Armor Scraps' (#14041)
[21:18:41]	Ethan King has lost a 'Armor Scraps' #14041.
[21:18:42]	Ethan King ran 'drop' on item 'Sparkling Consulate Water' (#14044)
[21:18:42]	Ethan King has lost a 'Sparkling Consulate Water' #14044.
[21:18:43]	Ethan King ran 'drop' on item 'Civil Workers' Union ID' (#8085)
[21:18:43]	Ethan King has lost a 'Civil Workers' Union ID' #8085.
[21:18:44]	Ethan King ran 'take' on item 'Medical Case' (#10676)
[21:18:48]	Ethan King ran 'drop' on item 'Armor Scraps' (#14040)
[21:18:48]	Ethan King has lost a 'Armor Scraps' #14040.
[21:18:49]	[OOC] CCA.C08-UNION.i1.51023: the combine in server canon has trians over water becuase they don't have a flying fuck
[21:18:50]	Ethan King ran 'take' on item 'Medical Case' (#10676)
[21:18:50]	Ethan King has gained a 'Medical Case' #10676.
[21:18:50]	Ethan King has gained a 'Screwdriver' #10773.
[21:18:50]	Ethan King has gained a 'Duct Tape' #10783.
[21:18:50]	Ethan King has gained a 'Wires' #10295.
[21:18:50]	Ethan King has gained a 'Armor Scraps' #10673.
[21:18:50]	Ethan King has gained a 'Powercord' #10297.
[21:18:50]	Ethan King has gained a 'Duct Tape' #10888.
[21:18:50]	Ethan King has gained a 'Rope' #10669.
[21:18:50]	Ethan King has gained a 'Bolts' #10775.
[21:18:50]	Ethan King has gained a 'Pack of Screws' #10790.
[21:18:50]	Ethan King has gained a 'Duct Tape' #10798.
[21:18:50]	Ethan King has gained a 'Scrap Metal' #10296.
[21:18:50]	Ethan King has gained a 'Notepad' #9010.
[21:18:51]	[OOC] Drake Salvador: i17's in Central-Eastern Europe.
[21:18:51]	Dimitri Makarovicz ran 'DrawBlood' on item 'Blood Collecting Syringe' (#13877)
[21:18:51]	Ethan King ran 'take' on item 'Armor Scraps' (#14040)
[21:18:51]	Ethan King has gained a 'Armor Scraps' #14040.
[21:18:52]	[OOC] Preobrazhensky Bogolepov: mk imma do a showering goodbye for a bit
[21:18:53]	[OOC] CCA.C08-UNION.i1.51023: trains*
[21:18:53]	Ethan King ran 'take' on item 'Sparkling Consulate Water' (#14044)
[21:18:53]	Ethan King has gained a 'Sparkling Consulate Water' #14044.
[21:18:54]	Ethan King ran 'take' on item 'Armor Scraps' (#14041)
[21:18:54]	Ethan King has gained a 'Armor Scraps' #14041.
[21:18:54]	[OOC] Andrew 'Razor' Gonzalez: There was lore about a pan pacific train
[21:18:56]	Preobrazhensky Bogolepov entered observer.
[21:18:56]	Ethan King ran 'take' on item 'Sewing Kit' (#5337)
[21:18:56]	Ethan King has gained a 'Sewing Kit' #5337.
[21:18:58]	Dimitri Makarovicz ran 'DrawBlood' on item 'Blood Collecting Syringe' (#13877)
[21:19:01]	Doughnut (STEAM_0:1:127409364) has disconnected.
[21:19:01]	Dimitri Makarovicz has gained a 'Blood Sample' #14092.
[21:19:01]	[ME] Jim Bostello: would start grabbing all the equipment.
[21:19:02]	Jim Bostello ran 'take' on item 'Magazine Case' (#10677)
[21:19:02]	Jim Bostello has gained a 'Magazine Case' #10677.
[21:19:02]	Jim Bostello has gained a 'Bolts' #10697.
[21:19:03]	[LOOC] Paul-Henri Cartier: wha
[21:19:03]	Ethan King ran 'take' on item 'Cloth Scrap' (#10893)
[21:19:04]	Jim Bostello ran 'take' on item 'KIBA Arms Ammocase' (#10781)
[21:19:06]	Ethan King ran 'take' on item 'LCD Monitor' (#12959)
[21:19:08]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[21:19:12]	[LOOC] Paul-Henri Cartier: my blood
[21:19:13]	Jim Bostello ran 'take' on item 'Black Beanie' (#10806)
[21:19:13]	Jim Bostello has gained a 'Black Beanie' #10806.
[21:19:13]	Ethan King ran 'drop' on item 'Suitcase' (#10368)
[21:19:13]	Ethan King has lost a 'Suitcase' #10368.
[21:19:13]	Ethan King has lost a 'Zip Tie' #10780.
[21:19:13]	Ethan King has lost a 'Bleach' #10886.
[21:19:13]	Ethan King has lost a 'Flashlight' #10403.
[21:19:13]	Ethan King has lost a 'Armor Scraps' #14040.
[21:19:13]	Ethan King has lost a 'Cyclopic Citizen Suit' #10370.
[21:19:13]	Ethan King has lost a 'Allen Wrench' #10771.
[21:19:13]	Ethan King has lost a 'Insulating Tape' #10794.
[21:19:13]	Ethan King has lost a 'Zip Tie' #10779.
[21:19:14]	[LOOC] Dimitri Makarovicz: blood from an SCP
[21:19:14]	Jim Bostello ran 'Equip' on item 'Black Beanie' (#10806)
[21:19:15]	Ethan King ran 'take' on item 'Suitcase' (#10368)
[21:19:15]	Ethan King has gained a 'Suitcase' #10368.
[21:19:15]	Ethan King has gained a 'Zip Tie' #10780.
[21:19:15]	Ethan King has gained a 'Bleach' #10886.
[21:19:15]	Ethan King has gained a 'Flashlight' #10403.
[21:19:15]	Ethan King has gained a 'Armor Scraps' #14040.
[21:19:15]	Ethan King has gained a 'Cyclopic Citizen Suit' #10370.
[21:19:15]	Ethan King has gained a 'Allen Wrench' #10771.
[21:19:15]	Ethan King has gained a 'Insulating Tape' #10794.
[21:19:15]	Ethan King has gained a 'Zip Tie' #10779.
[21:19:16]	Jim Bostello ran 'take' on item 'Gloves' (#10808)
[21:19:16]	Jim Bostello has gained a 'Gloves' #10808.
[21:19:17]	Ethan King ran 'drop' on item 'Bleach' (#10886)
[21:19:17]	Ethan King has lost a 'Bleach' #10886.
