[04:54:45]	Dakoda has connected.
[18:29:58]	Corey Russel closed the '' #1608 container.
[18:29:58]	Corey Russel opened the '' #1607 container.
[18:29:59]	Corey Russel closed the '' #1607 container.
[18:30:00]	Corey Russel opened the '' #1607 container.
[18:30:01]	Corey Russel closed the '' #1607 container.
[18:30:20]	Corey Russel has taken 5 damage from Corey Russel.
[18:30:20]	Corey Russel has gained 10 tokens.
[18:30:49]	Corey Russel used the 'General Store Vendor' vendor.
[18:31:27]	Corey Russel used the 'General Store Vendor' vendor.
[18:32:49]	Corey Russel has lost 5 tokens.
[18:32:49]	Corey Russel has gained a 'Brown Beanie' #37723.
[18:32:54]	Corey Russel ran 'Equip' on item 'Brown Beanie' (#37723)
[18:33:07]	Corey Russel used command '/Content'.
[18:33:30]	Corey (STEAM_0:1:94743258) has disconnected.
[20:28:45]	Ryan Marnett entered observer.
[20:32:58]	Ryan Marnett exited observer at their location.
[20:32:59]	Ryan Marnett entered observer.
[20:33:02]	Ryan Marnett used command '/ToggleRaise'.
[20:33:03]	Ryan Marnett used command '/ToggleRaise'.
[20:42:15]	Ryan Marnett exited observer at their location.
[20:44:17]	Ryan Marnett has spawned a 'Entity [2980][ammo_spore]'.
[20:44:27]	Ryan Marnett has spawned a 'Entity [2992][ammo_spore]'.
[20:44:28]	Ryan Marnett entered observer.
[20:44:29]	Ryan Marnett exited observer at their location.
[20:44:34]	Ryan Marnett has spawned a 'Entity [2980][ammo_spore]'.
[20:44:35]	Ryan Marnett has spawned a 'Entity [2992][ammo_spore]'.
[20:44:45]	Ryan Marnett has spawned a 'Entity [2980][ammo_spore]'.
[20:44:47]	Ryan Marnett has spawned a 'Entity [2992][ammo_spore]'.
[20:44:49]	Ryan Marnett has spawned a 'Entity [2980][ammo_spore]'.
[20:44:50]	Ryan Marnett has spawned a 'Entity [2992][ammo_spore]'.
[20:44:51]	Ryan Marnett has spawned a 'Entity [2980][ammo_spore]'.
[20:44:53]	Ryan Marnett has spawned a 'Entity [2992][ammo_spore]'.
[20:44:54]	Ryan Marnett has spawned a 'Entity [2980][ammo_spore]'.
[20:44:55]	Ryan Marnett entered observer.
[20:44:55]	Ryan Marnett exited observer at their location.
[20:44:56]	Ryan Marnett has spawned a 'Entity [2992][ammo_spore]'.
[20:44:58]	Ryan Marnett has spawned a 'Entity [2980][ammo_spore]'.
[20:44:59]	Ryan Marnett has spawned a 'Entity [2992][ammo_spore]'.
[20:45:00]	Ryan Marnett has spawned a 'Entity [2980][ammo_spore]'.
[20:45:02]	Ryan Marnett has spawned a 'Entity [2992][ammo_spore]'.
[20:45:53]	Ryan Marnett has spawned a 'Entity [2980][ammo_spore]'.
[20:45:55]	Ryan Marnett has spawned a 'Entity [2992][ammo_spore]'.
[20:46:03]	Ryan Marnett has spawned a 'Entity [2980][pfx1_00]'.
[20:46:05]	Ryan Marnett has spawned a 'Entity [2990][pfx1_08_~_l]'.
[20:46:06]	Ryan Marnett has spawned a 'Entity [2980][pfx1_02]'.
[20:46:08]	Ryan Marnett has spawned a 'Entity [2990][pfx1_08#_l]'.
[20:46:10]	Ryan Marnett entered observer.
[20:46:10]	Ryan Marnett exited observer at their location.
[20:46:12]	Ryan Marnett has spawned a 'Entity [2980][pfx1_08#_l]'.
[20:46:14]	Ryan Marnett entered observer.
[20:46:14]	Ryan Marnett exited observer at their location.
[20:46:17]	Ryan Marnett has spawned a 'Entity [2980][pfx1_08_~]'.
[20:46:19]	Ryan Marnett has spawned a 'Entity [2990][pfx1_08_~]'.
[20:46:22]	Ryan Marnett has spawned a 'Entity [2980][pfx1_0c~]'.
[20:46:31]	Ryan Marnett has spawned a 'Entity [2980][pfx1_01]'.
[20:46:33]	Ryan Marnett has spawned a 'Entity [2990][pfx1_08]'.
[20:46:36]	Ryan Marnett has spawned a 'Entity [2980][pfx1_05]'.
[20:46:38]	Ryan Marnett has spawned a 'Entity [2990][pfx1_06]'.
[20:46:42]	Ryan Marnett has spawned a 'Entity [2980][pfx1_09]'.
[20:46:43]	Ryan Marnett entered observer.
[20:46:44]	Ryan Marnett exited observer at their location.
[20:46:45]	Ryan Marnett has spawned a 'Entity [2990][pfx1_09]'.
[20:46:47]	Ryan Marnett entered observer.
[20:46:47]	Ryan Marnett exited observer at their location.
[20:46:49]	Ryan Marnett has spawned a 'Entity [2980][pfx1_09]'.
[20:46:50]	Ryan Marnett has spawned a 'Entity [2990][pfx1_03]'.
[20:46:51]	Ryan Marnett entered observer.
[20:46:51]	Ryan Marnett exited observer at their location.
[20:46:51]	Ryan Marnett entered observer.
[20:46:52]	Ryan Marnett exited observer at their location.
[20:47:03]	Ryan Marnett entered observer.
[20:47:06]	Ryan Marnett has spawned a 'Entity [2990][pfx1_08_~]'.
[20:47:08]	Ryan Marnett exited observer at their location.
[20:47:24]	Ryan Marnett has spawned a 'Entity [2992][pfx1_09]'.
[20:47:25]	Ryan Marnett has spawned a 'Entity [2990][pfx1_08_~]'.
[20:47:25]	Ryan Marnett entered observer.
[20:47:42]	Ryan Marnett has spawned a 'Entity [2990][pfx1_08#_l]'.
[20:47:51]	Ryan Marnett has spawned a 'Entity [2992][pfx1_08_~a_l]'.
[20:47:59]	Ryan Marnett has spawned a 'Entity [2990][pfx1_0d]'.
[20:48:02]	Ryan Marnett has spawned a 'Entity [2990][pfx1_0d]'.
[20:48:04]	Ryan Marnett exited observer at their location.
[20:48:05]	Ryan Marnett has spawned a 'Entity [2990][pfx1_0f]'.
[20:48:06]	Ryan Marnett entered observer.
[20:48:14]	Ryan Marnett has spawned a 'Entity [2992][pfx2_05]'.
[20:48:18]	Ryan Marnett has spawned a 'Entity [2990][pfx2_05]'.
[20:48:20]	Ryan Marnett has spawned a 'Entity [2990][pfx2_05]'.
[20:48:21]	Ryan Marnett exited observer at their location.
[20:48:45]	Ryan Marnett has spawned a 'Entity [2980][pfx2_03]'.
[20:48:47]	Ryan Marnett entered observer.
[20:48:57]	Ryan Marnett exited observer at their location.
[20:48:58]	Ryan Marnett entered observer.
[20:48:59]	Ryan Marnett exited observer at their location.
[20:48:59]	Ryan Marnett entered observer.
[20:49:00]	Ryan Marnett has spawned a 'Entity [2980][pfx2_03]'.
[20:49:15]	Ryan Marnett exited observer at their location.
[20:49:24]	Ryan Marnett entered observer.
[20:49:26]	Ryan Marnett exited observer at their location.
[20:49:28]	Ryan Marnett entered observer.
[20:49:31]	Ryan Marnett exited observer at their location.
[20:49:32]	Ryan Marnett entered observer.
[20:49:33]	Ryan Marnett exited observer at their location.
[20:49:34]	Ryan Marnett entered observer.
[20:49:36]	Ryan Marnett exited observer at their location.
[20:49:36]	Ryan Marnett entered observer.
[20:49:38]	Ryan Marnett exited observer at their location.
[20:49:38]	Ryan Marnett entered observer.
[20:49:39]	Ryan Marnett exited observer at their location.
[20:49:39]	Ryan Marnett entered observer.
[20:49:41]	Ryan Marnett exited observer at their location.
[20:49:41]	Ryan Marnett entered observer.
[20:49:42]	Ryan Marnett exited observer at their location.
[20:49:42]	Ryan Marnett entered observer.
[20:49:44]	Ryan Marnett exited observer at their location.
[20:49:44]	Ryan Marnett entered observer.
[20:49:44]	Ryan Marnett exited observer at their location.
[20:49:45]	Ryan Marnett entered observer.
[20:49:48]	Ryan Marnett exited observer at their location.
[20:49:48]	Ryan Marnett entered observer.
[20:49:49]	Ryan Marnett exited observer at their location.
[20:49:49]	Ryan Marnett entered observer.
[20:49:51]	Ryan Marnett exited observer at their location.
[20:49:51]	Ryan Marnett entered observer.
[20:49:53]	Ryan Marnett has spawned a 'Entity [2992][pfx2_01]'.
[20:49:57]	Ryan Marnett has spawned a 'Entity [2980][pfx2_04~]'.
[20:50:04]	Ryan Marnett exited observer at their location.
[21:08:49]	Ryan Marnett entered observer.
[21:08:50]	Ryan Marnett exited observer at their location.
[21:08:50]	Ryan Marnett entered observer.
[21:08:50]	Ryan Marnett exited observer at their location.
[21:08:50]	Ryan Marnett entered observer.
[21:08:51]	Ryan Marnett exited observer at their location.
[21:08:56]	Ryan Marnett has spawned a 'Entity [2980][pfx8_03_alt]'.
[21:08:57]	Ryan Marnett has spawned a 'Entity [2990][pfx8_04]'.
[21:08:58]	Ryan Marnett has spawned a 'Entity [2980][pfx8_00]'.
[21:09:00]	Ryan Marnett entered observer.
[21:09:01]	Ryan Marnett exited observer at their location.
[21:09:08]	Ryan Marnett has spawned a 'Entity [2980][pfx6_02]'.
[21:09:16]	Ryan Marnett has spawned a 'Entity [2990][pfx4_07]'.
[21:09:18]	Ryan Marnett has spawned a 'Entity [3001][pfx6_00]'.
[21:09:20]	Ryan Marnett has spawned a 'Entity [2980][pfx6_01]'.
[21:09:22]	Ryan Marnett entered observer.
[21:10:11]	Ryan Marnett exited observer at their location.
[21:10:39]	Ryan Marnett has spawned a 'Entity [2980][xen_plantlight]'.
[21:10:40]	Ryan Marnett has spawned a 'Entity [2990][xen_spore_small]'.
[21:10:46]	Ryan Marnett has spawned a 'Entity [2980][tfa_ammo_smg1_grenade_large]'.
[21:10:55]	Ryan Marnett has spawned a 'Entity [2980][pfxa_00]'.
[21:11:13]	Ryan Marnett has spawned a 'Entity [2980][ix_garbageloot]'.
[21:11:22]	Ryan Marnett has spawned a 'Entity [2980][bp_immolator_ammo]'.
[21:11:34]	Ryan Marnett has spawned a 'NPC [2980][animprop_spawntank_moving]'.
[21:11:34]	Ryan Marnett entered observer.
[21:11:35]	Ryan Marnett exited observer at their location.
[21:12:00]	Ryan Marnett has spawned a 'Entity [2980][prop_physics]'.
[21:12:39]	Ryan Marnett has spawned a 'Entity [2980][prop_physics]'.
[21:12:42]	Ryan Marnett has spawned a 'Entity [2980][prop_physics]'.
[21:12:59]	Ryan Marnett entered observer.
[21:12:59]	Ryan Marnett exited observer at their location.
[21:13:01]	Ryan Marnett entered observer.
[21:13:06]	Ryan Marnett exited observer at their location.
[21:13:06]	Ryan Marnett entered observer.
[21:14:27]	Ryan Marnett exited observer at their location.
[21:14:28]	Ryan Marnett entered observer.
[21:14:28]	Ryan Marnett exited observer at their location.
[21:14:29]	Ryan Marnett entered observer.
[21:14:30]	Ryan Marnett exited observer at their location.
[21:14:30]	Ryan Marnett entered observer.
[21:14:33]	Ryan Marnett exited observer at their location.
[21:14:33]	Ryan Marnett entered observer.
[21:15:41]	Ryan Marnett exited observer at their location.
[21:15:44]	Ryan Marnett entered observer.
[21:16:00]	Ryan Marnett exited observer at their location.
[21:16:02]	Ryan Marnett used command '/ToggleRaise'.
[21:16:08]	Ryan Marnett entered observer.
[21:16:09]	Ryan Marnett exited observer at their location.
[21:16:09]	Ryan Marnett entered observer.
[21:16:10]	Ryan Marnett exited observer at their location.
[21:16:13]	Ryan Marnett entered observer.
[21:16:23]	Ryan Marnett exited observer at their location.
[21:16:25]	Ryan Marnett has spawned a 'Entity [1740][prop_physics]'.
[21:16:27]	Ryan Marnett entered observer.
[21:18:07]	Ryan Marnett exited observer at their location.
[21:18:09]	Ryan Marnett entered observer.
[21:18:23]	Ryan Marnett has spawned a 'Entity [1740][prop_physics]'.
[21:18:25]	Ryan Marnett has spawned a 'Entity [2987][prop_physics]'.
[21:18:27]	Ryan Marnett exited observer at their location.
[21:18:52]	Ryan Marnett has spawned a 'Entity [1740][item_ammo_crossbow]'.
[21:18:53]	Ryan Marnett has spawned a 'Entity [1771][prop_physics]'.
[21:19:01]	Ryan Marnett entered observer.
[21:19:06]	Ryan Marnett exited observer at their location.
[21:19:10]	Ryan Marnett entered observer.
[21:19:14]	Ryan Marnett exited observer at their location.
[21:19:15]	Ryan Marnett entered observer.
[21:19:18]	Ryan Marnett exited observer at their location.
[21:19:20]	Ryan Marnett entered observer.
[21:19:20]	Ryan Marnett exited observer at their location.
[21:19:22]	Ryan Marnett has taken 54 damage from worldspawn.
[21:19:22]	Ryan Marnett entered observer.
[21:25:46]	Methfred has connected.
[21:27:13]	Methfred loaded the character 'Alfred Langenberg'
[21:27:26]	[OOC] Alfred Langenberg: Whee is my advisor whitelist, Matt.
[21:27:31]	Alfred Langenberg ran 'EquipUn' on item 'Yellow Loyalist Armband' (#37637)
[21:27:31]	Alfred Langenberg ran 'Equip' on item 'Yellow Loyalist Armband' (#37637)
[21:28:20]	[OOC] Alfred Langenberg: WHERE IS IT YOU ARE HOLDING IT HOSTAGE
[21:29:50]	FB|| light ROOM has connected.
[21:29:58]	Alfred Langenberg has taken 500 damage from physbardoor.
[21:29:58]	physbardoor has killed Alfred Langenberg.
[21:30:56]	[OOC] Alfred Langenberg: MATHIAS
[21:31:31]	Chicken has connected.
[21:32:00]	FB|| light ROOM loaded the character 'Theban 'Simmons' Revolt'
[21:32:07]	FB|| light ROOM loaded the character 'CCA.C17-UNION.SqL.72633'
[21:32:14]	[OOC] CCA.C17-UNION.SqL.72633: cringe
[21:32:30]	[OOC] Alfred Langenberg: matt is cringe for not being ingame
[21:32:34]	[OOC] Alfred Langenberg: i wanted to talk to him
[21:32:35]	[OOC] CCA.C17-UNION.SqL.72633: Q is dumbo
[21:32:36]	[OOC] Alfred Langenberg: smh
[21:32:44]	FB|| light ROOM loaded the character 'CCA.C17-QrM.98240'
[21:33:10]	[OOC] Alfred Langenberg: fbi i cant remember, did you see what i made today
[21:33:29]	[OOC] CCA.C17-QrM.98240: Nope
[21:33:35]	[OOC] Alfred Langenberg: you want to?
[21:33:42]	[OOC] CCA.C17-QrM.98240: Just call me "Light" by the way
[21:33:44]	[OOC] CCA.C17-QrM.98240: Sure
[21:34:09]	Chicken loaded the character 'Sandra Remez'
[21:34:47]	[ME] Sandra Remez: pimp slaps
[21:34:57]	CCA.C17-QrM.98240 used command '/ActStand'.
[21:35:09]	CCA.C17-QrM.98240 used command '/ExitAct'.
[21:35:17]	CCA.C17-QrM.98240 used command '/ActThreat'.
[21:35:41]	Alfred Langenberg has taken 450 damage from CCA.C17-QrM.98240.
[21:35:41]	CCA.C17-QrM.98240 has killed Alfred Langenberg with weapon_357.
[21:35:46]	[OOC] CCA.C17-QrM.98240: Fixed
[21:35:50]	[OOC] Alfred Langenberg: damn chicken you saved my life for a whole second
[21:35:53]	[OOC] Sandra Remez: yep
[21:36:33]	[OOC] CCA.C17-QrM.98240: Should get IC
[21:36:41]	Sandra Remez used command '/Apply'.
[21:36:47]	[OOC] Alfred Langenberg: aw alright. give me a sec i gotta fix my model
[21:36:47]	CCA.C17-QrM.98240 used command '/ViewData Sandra'.
[21:36:54]	[OOC] CCA.C17-QrM.98240: nice
[21:37:09]	Sandra Remez ran 'EquipUn' on item 'Yellow Loyalist Armband' (#36237)
[21:37:12]	Sandra Remez ran 'Equip' on item 'Yellow Loyalist Armband' (#36237)
[21:37:14]	CCA.C17-QrM.98240 used command '/ViewData Sandra'.
[21:37:27]	Methfred created the character 'fixing glitch'
[21:37:27]	fixing glitch has gained a 'Suitcase' #37724.
[21:37:27]	fixing glitch has gained a 'Relocation Coupon' #37725.
[21:37:30]	Methfred loaded the character 'fixing glitch'
[21:37:32]	Sandra Remez ran 'EquipUn' on item 'Yellow Loyalist Armband' (#36237)
[21:37:33]	Sandra Remez ran 'drop' on item 'Yellow Loyalist Armband' (#36237)
[21:37:33]	Sandra Remez has lost a 'Yellow Loyalist Armband' #36237.
[21:37:36]	CCA.C17-QrM.98240 ran 'take' on item 'Yellow Loyalist Armband' (#36237)
[21:37:36]	CCA.C17-QrM.98240 has gained a 'Yellow Loyalist Armband' #36237.
[21:37:37]	Methfred loaded the character 'Alfred Langenberg'
[21:37:44]	CCA.C17-QrM.98240 has gained 10 tokens.
[21:37:51]	[OOC] Alfred Langenberg: aw damn not even charswapping fixes it, relog time :/
[21:37:56]	[OOC] CCA.C17-QrM.98240: F
[21:37:56]	Methfred (STEAM_0:1:48276840) has disconnected.
[21:37:57]	[OOC] Sandra Remez: F
[21:38:08]	[OOC] CCA.C17-QrM.98240: Player Methfred has joined the game (x2)
[21:38:15]	CCA.C17-QrM.98240 ran 'drop' on item 'Yellow Loyalist Armband' (#36237)
[21:38:15]	CCA.C17-QrM.98240 has lost a 'Yellow Loyalist Armband' #36237.
[21:38:16]	CCA.C17-QrM.98240 ran 'Equip' on item 'Yellow Loyalist Armband' (#35726)
[21:38:17]	CCA.C17-QrM.98240 ran 'EquipUn' on item 'Yellow Loyalist Armband' (#35726)
[21:38:18]	CCA.C17-QrM.98240 ran 'drop' on item 'Yellow Loyalist Armband' (#35726)
[21:38:18]	CCA.C17-QrM.98240 has lost a 'Yellow Loyalist Armband' #35726.
[21:38:20]	CCA.C17-QrM.98240 destroyed a 'Yellow Loyalist Armband' #36237.
[21:38:21]	CCA.C17-QrM.98240 destroyed a 'Yellow Loyalist Armband' #35726.
[21:39:32]	Sandra Remez has lost 10 tokens.
[21:39:39]	Methfred has connected.
[21:39:40]	Sandra Remez ran 'take' on item 'Sparkling Breen's Water' (#37726)
[21:39:40]	Sandra Remez has gained a 'Sparkling Breen's Water' #37726.
[21:40:18]	Methfred (STEAM_0:1:48276840) deleted character 'fixing glitch'
[21:40:19]	Chicken loaded the character 'Jason Delly'
[21:40:20]	Methfred loaded the character 'Alfred Langenberg'
[21:40:26]	[OOC] Alfred Langenberg: is matt alive yet
[21:40:28]	[OOC] Jason Delly: no
[21:40:31]	[OOC] CCA.C17-QrM.98240: Pretty sure no
[21:40:34]	[OOC] Alfred Langenberg: cringe
[21:40:39]	CCA.C17-QrM.98240 used command '/ViewData jason'.
[21:40:55]	[OOC] Alfred Langenberg: I'm gonna have to demote him since I'm the owner of this here server
[21:41:00]	[OOC] Jason Delly: do it
[21:41:00]	[OOC] CCA.C17-QrM.98240: Truly
[21:41:04]	[OOC] Alfred Langenberg: we can't have no darn inactives
[21:41:28]	[LOOC] Alfred Langenberg: nice sk
[21:41:31]	[LOOC] Alfred Langenberg: hey nice ski
[21:41:38]	[LOOC] Alfred Langenberg: you have a really slick s
[21:41:41]	[LOOC] CCA.C17-QrM.98240: okay
[21:41:46]	[LOOC] Alfred Langenberg: a real fancy skir
[21:41:55]	[LOOC] Alfred Langenberg: just a fantastic sk
[21:41:58]	Dilly_ has connected.
[21:41:59]	[LOOC] CCA.C17-QrM.98240: Is this the new meme?
[21:42:03]	[OOC] Jason Delly: PoP
[21:42:07]	[LOOC] Alfred Langenberg: sk
[21:42:11]	[OOC] Jason Delly: bob
[21:42:12]	[OOC] Jason Delly: bob
[21:42:12]	[LOOC] CCA.C17-QrM.98240: neat
[21:42:12]	[LOOC] Alfred Langenberg: ur
[21:42:13]	[OOC] Jason Delly: bob
[21:42:13]	[LOOC] Alfred Langenberg: t
[21:42:15]	[OOC] CCA.C17-QrM.98240: bob
[21:42:17]	[OOC] Alfred Langenberg: boob
[21:42:23]	[OOC] CCA.C17-QrM.98240: BOP
[21:42:27]	[OOC] Alfred Langenberg: pop
[21:42:44]	CCA.C17-QrM.98240 has gained 10 tokens.
[21:42:48]	Dilly_ loaded the character 'Douglas Hudson'
[21:42:56]	[ME] Alfred Langenberg: pulls out a jacket from the void, putting it on.
[21:43:00]	Alfred Langenberg ran 'Equip' on item 'Blue and White Coat' (#37000)
[21:43:09]	Dilly_ loaded the character 'Aldre Dorve'
[21:43:15]	Alfred Langenberg used the 'General Store Vendor' vendor.
[21:43:50]	FB|| light ROOM loaded the character 'CCA.C17-UNION.SqL.72633'
[21:44:24]	[OOC] CCA.C17-UNION.SqL.72633: Cringe ass nai nai baby
[21:44:28]	[OOC] Alfred Langenberg: you know what time it is?
[21:44:35]	[OOC] Aldre Dorve: e
[21:44:43]	[OOC] Alfred Langenberg: resin time let's go get this resin
[21:44:44]	[OOC] CCA.C17-UNION.SqL.72633: E
[21:45:21]	[OOC] Ryan Marnett: back
[21:45:26]	[OOC] Ryan Marnett: hwodfy
[21:45:29]	[OOC] Aldre Dorve: e
[21:45:29]	[OOC] CCA.C17-UNION.SqL.72633: Howdy
[21:45:30]	[OOC] Alfred Langenberg: matt where is my advisor whitelist
[21:45:36]	[OOC] Aldre Dorve: Howd E
[21:45:47]	[OOC] Ryan Marnett: gotta give us $2.5 million first so i can pay for actual good content
[21:45:59]	[OOC] Alfred Langenberg: aw cringe do you accept bitcoin?
[21:46:16]	Ryan Marnett exited observer at their location.
[21:46:18]	Ryan Marnett has taken 48 damage from worldspawn.
[21:46:22]	[OOC] Ryan Marnett: yeah, we also accept monopoly money
[21:46:22]	Ryan Marnett entered observer.
[21:46:32]	[OOC] Alfred Langenberg: and did you actually place resin or am I searching for ghosts
[21:46:39]	Dilly_ loaded the character 'CCA.C17-RCT.37117'
[21:46:43]	[OOC] Ryan Marnett: i ahven't placed more resin yet but the cereal is down
[21:46:51]	[OOC] Ryan Marnett: i'll get on that and do some natural propping, standby
[21:46:54]	[OOC] CCA.C17-UNION.SqL.72633: RCT being in citizen faction crine
[21:46:57]	[OOC] CCA.C17-RCT.37117: could this char get a sweet faction transfer? ;3;
[21:46:57]	[OOC] CCA.C17-UNION.SqL.72633: cringe*
[21:47:03]	[OOC] CCA.C17-RCT.37117: ikr oof
[21:47:20]	[OOC] Ryan Marnett: let me give you your biosig implmant
[21:47:24]	[OOC] Alfred Langenberg: is it meta to know about vent and grate entrances or no
[21:47:34]	matt saton loaded the character 'CCA.C17-HELIX.i2.13412'
[21:48:07]	CCA.C17-HELIX.i2.13412 entered observer.
[21:48:11]	CCA.C17-HELIX.i2.13412 exited observer at their location.
[21:48:28]	[OOC] CCA.C17-HELIX.i2.13412: ehhhhhhh it's dicey, depends
[21:48:47]	[OOC] Alfred Langenberg: im specifically talking about the grate entrance in the factory in the back alleys
[21:48:50]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[21:48:57]	[OOC] CCA.C17-HELIX.i2.13412: oh, no, that's fine
[21:49:07]	[OOC] Alfred Langenberg: cause ive search everywhere else and i didnt see no cereal anywhere else
[21:50:02]	[OOC] Alfred Langenberg: aw hell yeah time to get arrested
[21:50:04]	Alfred Langenberg ran 'EquipUn' on item 'Yellow Loyalist Armband' (#37637)
[21:50:06]	[OOC] CCA.C17-HELIX.i2.13412: lmao
[21:50:28]	[OOC] Alfred Langenberg: hey matt i got a question
[21:50:32]	[LOOC] CCA.C17-HELIX.i2.13412: the benchish thing
[21:50:33]	[OOC] CCA.C17-HELIX.i2.13412: yuh
[21:50:33]	[OOC] Alfred Langenberg: a legit one
[21:50:41]	[OOC] Alfred Langenberg: you got the plugin so you can play music server wide?
[21:50:48]	[ME] CCA.C17-UNION.SqL.72633: Places a blindfold over the civvies head.
[21:50:52]	[OOC] CCA.C17-HELIX.i2.13412: not a plugin for it, but yeah
[21:51:02]	[OOC] Jason Delly: poggers?
[21:51:03]	[OOC] Alfred Langenberg: oh pog you need to use that as much as possible
[21:51:08]	[ME] CCA.C17-UNION.SqL.72633: Then starts dragging the civvie.
[21:51:11]	[LOOC] Alfred Langenberg: i fucking love hl music
[21:51:15]	[OOC] Alfred Langenberg: i fucking love hl music
[21:51:20]	[ME] CCA.C17-RCT.37117: turns his back toward the table, and would prompot himself ontop whilst holding a relaxed posture
[21:51:21]	[OOC] CCA.C17-HELIX.i2.13412: i use it for some events if it fits
[21:51:32]	[ME] CCA.C17-HELIX.i2.13412: grabs a couple utilities off of the desk.
[21:51:33]	CCA.C17-RCT.37117 used command '/Content'.
[21:51:52]	[OOC] Alfred Langenberg: what about ambient music
[21:51:55]	[ME] CCA.C17-UNION.SqL.72633: Slams him onto the wall and takes off his blindfold.
[21:51:55]	Alfred Langenberg opened the '' #2649 container.
[21:51:57]	Alfred Langenberg closed the '' #2649 container.
[21:52:07]	[OOC] CCA.C17-HELIX.i2.13412: eh
[21:52:09]	[OOC] CCA.C17-HELIX.i2.13412: mainly events
[21:52:20]	[OOC] CCA.C17-HELIX.i2.13412: i'll puit some on if people request ut
[21:52:20]	[OOC] CCA.C17-HELIX.i2.13412: eh
[21:52:29]	[OOC] CCA.C17-UNION.SqL.72633: It would be cool.
[21:52:34]	CCA.C17-HELIX.i2.13412 has gained 10 tokens.
[21:52:37]	[OOC] Jason Delly: remember when i talked to eli vance
[21:52:39]	[OOC] Jason Delly: pretty pog
[21:52:48]	[OOC] CCA.C17-UNION.SqL.72633: okay
[21:52:52]	[OOC] Alfred Langenberg: did you call him a crip
[21:53:02]	[ME] CCA.C17-RCT.37117: unzips the vest by the zipper, and would slide it off placing it aside 
[21:53:06]	[OOC] Jason Delly: i made a prank call joke then he almost hung up
[21:53:08]	[OOC] Jason Delly: lmao
[21:53:10]	[OOC] Alfred Langenberg: jej
[21:53:15]	Alfred Langenberg ran 'take' on item 'Plank' (#7076)
[21:53:15]	Alfred Langenberg has gained a 'Plank' #7076.
[21:53:17]	Alfred Langenberg ran 'drop' on item 'Plank' (#7076)
[21:53:17]	Alfred Langenberg has lost a 'Plank' #7076.
[21:53:23]	Alfred Langenberg has taken 5 damage from npc_fastzombie.
[21:53:24]	Alfred Langenberg has taken 3 damage from npc_fastzombie.
[21:53:24]	Alfred Langenberg has taken 3 damage from npc_fastzombie.
[21:53:27]	CCA.C17-UNION.SqL.72633 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#37727)
[21:53:27]	CCA.C17-UNION.SqL.72633 has gained a 'Civil Protection Functionary Grade Food Product' #37728.
[21:53:27]	CCA.C17-UNION.SqL.72633 has gained a 'Civil Protection Functionary Grade Supplements' #37729.
[21:53:27]	CCA.C17-UNION.SqL.72633 has gained a 'Civil Protection Functionary Grade Drink' #37730.
[21:53:30]	CCA.C17-UNION.SqL.72633 ran 'Consume' on item 'Civil Protection Functionary Grade Drink' (#37730)
[21:53:32]	CCA.C17-UNION.SqL.72633 ran 'Consume' on item 'Civil Protection Functionary Grade Supplements' (#37729)
[21:53:32]	[OOC] CCA.C17-HELIX.i2.13412: that was so many events ago it barely counts as server canon
[21:53:33]	CCA.C17-UNION.SqL.72633 ran 'Eat' on item 'Civil Protection Functionary Grade Food Product' (#37728)
[21:53:41]	[OOC] CCA.C17-UNION.SqL.72633: Truly
[21:53:41]	[OOC] Jason Delly: still is
[21:53:43]	[OOC] Alfred Langenberg: I re-canonize it
[21:53:44]	[OOC] CCA.C17-HELIX.i2.13412: barely
[21:53:46]	CCA.C17-HELIX.i2.13412 used command '/DoorSetHidden true'.
[21:53:50]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[21:53:51]	[OOC] CCA.C17-HELIX.i2.13412: right now eli vance is 20 years younger
[21:53:57]	[LOOC] CCA.C17-HELIX.i2.13412: kinda chad
[21:54:00]	[OOC] CCA.C17-HELIX.i2.13412: kinda chad
[21:54:05]	[OOC] CCA.C17-HELIX.i2.13412: 17 years*
[21:54:09]	[ME] CCA.C17-RCT.37117: unzips the rest of his standard issue uniform, and would slide off his t-shirt underneath as well
[21:54:10]	[OOC] CCA.C17-UNION.SqL.72633: You know what does count as canon??????? killing Justin Bail on Ethan King.
[21:54:12]	CCA.C17-UNION.SqL.72633 ran 'take' on item 'Civil Protection Functionary Grade Ration' (#37728)
[21:54:12]	CCA.C17-UNION.SqL.72633 has gained a 'Civil Protection Functionary Grade Ration' #37728.
[21:54:13]	[LOOC] CCA.C17-RCT.37117: just a lot
[21:54:14]	CCA.C17-UNION.SqL.72633 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#37728)
[21:54:14]	CCA.C17-UNION.SqL.72633 has gained a 'Civil Protection Functionary Grade Food Product' #37729.
[21:54:14]	CCA.C17-UNION.SqL.72633 has gained a 'Civil Protection Functionary Grade Supplements' #37730.
[21:54:14]	CCA.C17-UNION.SqL.72633 has gained a 'Civil Protection Functionary Grade Drink' #37731.
[21:54:15]	CCA.C17-UNION.SqL.72633 ran 'Consume' on item 'Civil Protection Functionary Grade Drink' (#37731)
[21:54:19]	[OOC] CCA.C17-HELIX.i2.13412: lmao
