[00:20:16]	PS64 has connected.
[23:25:24]	CCA.C08-GRID.i4.69192 has taken 5 damage from npc_headcrab.
[23:25:28]	CCA.C08-GRID.i4.69192 entered observer.
[23:25:31]	[OOC] CCA.C08-HELIX.i2.58841: And thus everything is right in the world again
[23:25:32]	CCA.C08-HELIX.i2.58841 entered observer.
[23:25:44]	FB|| light ROOM loaded the character 'CCA.C08-UNION.i5.98240 [X]'
[23:25:44]	CCA.C08-HELIX.i2.58841 exited observer at their location.
[23:25:47]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:25:48]	CCA.C08-GRID.i4.69192 entered observer.
[23:25:49]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:25:49]	CCA.C08-GRID.i4.69192 entered observer.
[23:25:49]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[23:25:49]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:25:50]	CCA.C08-GRID.i4.69192 entered observer.
[23:25:50]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:25:51]	CCA.C08-GRID.i4.69192 entered observer.
[23:25:52]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:25:53]	Zapper loaded the character 'James Jacob'
[23:25:56]	[OOC] CCA.C08-UNION.i5.98240 [X]: My Gmod just deciding to commit No life.
[23:25:57]	CCA.C08-HELIX.i2.58841 used the 'Armory Operator' vendor.
[23:26:00]	CCA.C08-HELIX.i2.58841 has lost 40 tokens.
[23:26:01]	CCA.C08-HELIX.i2.58841 has gained a 'Health Vial' #9118.
[23:26:01]	CCA.C08-HELIX.i2.58841 has lost 40 tokens.
[23:26:01]	CCA.C08-HELIX.i2.58841 has gained a 'Health Vial' #9119.
[23:26:03]	James Jacob entered observer.
[23:26:04]	CCA.C08-HELIX.i2.58841 ran 'Apply' on item 'Health Vial' (#9119)
[23:26:04]	James Jacob exited observer at their location.
[23:26:05]	James Jacob entered observer.
[23:26:05]	CCA.C08-HELIX.i2.58841 ran 'Apply' on item 'Health Vial' (#9118)
[23:26:05]	CCA.C08-HELIX.i2.58841 used the 'Armory Operator' vendor.
[23:26:07]	CCA.C08-HELIX.i2.58841 has lost 40 tokens.
[23:26:07]	CCA.C08-HELIX.i2.58841 has gained a 'Health Vial' #9118.
[23:26:08]	[LOOC] CCA.C08-UNION.i5.98240 [X]: Low
[23:26:09]	CCA.C08-HELIX.i2.58841 has lost 40 tokens.
[23:26:09]	CCA.C08-HELIX.i2.58841 has gained a 'Health Vial' #9119.
[23:26:12]	CCA.C08-HELIX.i2.58841 has lost 65 tokens.
[23:26:12]	CCA.C08-HELIX.i2.58841 has gained a 'Health Kit' #9120.
[23:26:12]	CCA.C08-HELIX.i2.58841 has lost 65 tokens.
[23:26:12]	CCA.C08-HELIX.i2.58841 has gained a 'Health Kit' #9121.
[23:26:15]	James Jacob exited observer at their location.
[23:26:15]	[LOOC] CCA.C08-UNION.i5.98240 [X]: 3.00
[23:26:16]	James Jacob opened the '' #909 container.
[23:26:19]	[LOOC] CCA.C08-UNION.i5.98240 [X]: Bruh
[23:26:21]	James Jacob closed the '' #909 container.
[23:26:22]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:26:23]	CCA.C08-HELIX.i2.58841 entered observer.
[23:26:29]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Empty Combine Air Tank' (#9103)
[23:26:29]	CCA.C08-GRID.i4.69192 has lost a 'Empty Combine Air Tank' #9103.
[23:26:30]	CCA.C08-UNION.i5.98240 [X] ran 'drop' on item 'Charred Metal' (#9102)
[23:26:30]	CCA.C08-UNION.i5.98240 [X] has lost a 'Charred Metal' #9102.
[23:26:31]	CCA.C08-UNION.i5.98240 [X] ran 'drop' on item 'Charred Metal' (#9088)
[23:26:31]	CCA.C08-UNION.i5.98240 [X] has lost a 'Charred Metal' #9088.
[23:26:31]	CCA.C08-HELIX.i2.58841 exited observer at their location.
[23:26:36]	CCA.C08-UNION.i5.98240 [X] ran 'take' on item 'Empty Combine Air Tank' (#9103)
[23:26:40]	CCA.C08-UNION.i5.98240 [X] ran 'take' on item 'Empty Combine Air Tank' (#9103)
[23:26:41]	CCA.C08-GRID.i4.69192 entered observer.
[23:26:42]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:26:42]	CCA.C08-UNION.i5.98240 [X] ran 'drop' on item 'Charred Metal' (#9101)
[23:26:42]	CCA.C08-UNION.i5.98240 [X] has lost a 'Charred Metal' #9101.
[23:26:43]	CCA.C08-UNION.i5.98240 [X] ran 'drop' on item 'Charred Metal' (#9089)
[23:26:43]	CCA.C08-UNION.i5.98240 [X] has lost a 'Charred Metal' #9089.
[23:26:44]	CCA.C08-GRID.i4.69192 entered observer.
[23:26:45]	CCA.C08-UNION.i5.98240 [X] ran 'take' on item 'Empty Combine Air Tank' (#9103)
[23:26:45]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:26:53]	[LOOC] CCA.C08-UNION.i5.98240 [X]: How fucking large is this
[23:27:01]	[LOOC] CCA.C08-UNION.i5.98240 [X]: Bruh
[23:27:06]	CCA.C08-GRID.i4.69192 entered observer.
[23:27:07]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:27:07]	CCA.C08-GRID.i4.69192 entered observer.
[23:27:07]	CCA.C08-UNION.i5.98240 [X] ran 'take' on item 'Empty Combine Air Tank' (#9103)
[23:27:07]	CCA.C08-UNION.i5.98240 [X] has gained a 'Empty Combine Air Tank' #9103.
[23:27:09]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:27:19]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:27:21]	[LOOC] CCA.C08-UNION.i5.98240 [X]: Spooky
[23:27:23]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:27:34]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:27:35]	CCA.C08-UNION.i5.98240 [X] has lost a 'Empty Combine Air Tank' #9103.
[23:27:35]	CCA.C08-UNION.i5.98240 [X] has gained a 'Combine Air Tank' #9122.
[23:27:36]	James Jacob has taken 60 damage from weapon_barnacle.
[23:27:37]	James Jacob has taken 60 damage from weapon_barnacle.
[23:27:37]	weapon_barnacle has killed James Jacob.
[23:27:46]	CCA.C08-UNION.i5.98240 [X] ran 'drop' on item 'Combine Air Tank' (#9122)
[23:27:46]	CCA.C08-UNION.i5.98240 [X] has lost a 'Combine Air Tank' #9122.
[23:27:47]	[OOC] CCA.C08-HELIX.i2.58841: F
[23:27:51]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Empty Combine Air Tank' (#9104)
[23:27:51]	CCA.C08-GRID.i4.69192 has lost a 'Empty Combine Air Tank' #9104.
[23:27:52]	[OOC] James Jacob: I cannot hear you Q, you're too quiet
[23:27:52]	CCA.C08-UNION.i5.98240 [X] ran 'take' on item 'Combine Air Tank' (#9122)
[23:27:52]	CCA.C08-UNION.i5.98240 [X] has gained a 'Combine Air Tank' #9122.
[23:27:54]	James Jacob entered observer.
[23:27:54]	James Jacob exited observer at their location.
[23:27:55]	CCA.C08-UNION.i5.98240 [X] ran 'drop' on item 'Combine Air Tank' (#9122)
[23:27:55]	CCA.C08-UNION.i5.98240 [X] has lost a 'Combine Air Tank' #9122.
[23:27:57]	CCA.C08-UNION.i5.98240 [X] ran 'take' on item 'Empty Combine Air Tank' (#9104)
[23:27:57]	CCA.C08-UNION.i5.98240 [X] has gained a 'Empty Combine Air Tank' #9104.
[23:28:01]	CCA.C08-UNION.i5.98240 [X] has lost a 'Empty Combine Air Tank' #9104.
[23:28:01]	CCA.C08-UNION.i5.98240 [X] has gained a 'Combine Air Tank' #9123.
[23:28:01]	CCA.C08-GRID.i4.69192 has taken 29 damage from CCA.C08-UNION.i5.98240 [X].
[23:28:01]	CCA.C08-UNION.i5.98240 [X] has taken 195 damage from CCA.C08-UNION.i5.98240 [X].
[23:28:01]	CCA.C08-UNION.i5.98240 [X] destroyed a 'Combine Air Tank' #9122.
[23:28:01]	CCA.C08-UNION.i5.98240 [X] destroyed a 'Charred Metal' #9088.
[23:28:01]	CCA.C08-UNION.i5.98240 [X] destroyed a 'Charred Metal' #9102.
[23:28:01]	CCA.C08-UNION.i5.98240 [X] destroyed a 'Charred Metal' #9089.
[23:28:01]	CCA.C08-UNION.i5.98240 [X] destroyed a 'Charred Metal' #9101.
[23:28:01]	CCA.C08-UNION.i5.98240 [X] destroyed a 'Charred Metal' #6977.
[23:28:01]	CCA.C08-UNION.i5.98240 [X] destroyed a 'Charred Metal' #9096.
[23:28:04]	[OOC] CCA.C08-UNION.i5.98240 [X]: Lmao
[23:28:08]	CCA.C08-GRID.i4.69192 entered observer.
[23:28:09]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:28:12]	James Jacob entered observer.
[23:28:12]	James Jacob exited observer at their location.
[23:28:13]	[OOC] CCA.C08-GRID.i4.69192: alright fix ratio i gotta guide this fuck
[23:28:14]	CCA.C08-GRID.i4.69192 entered observer.
[23:28:17]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:28:23]	[OOC] CCA.C08-UNION.i5.98240 [X]: Can I spawn?
[23:28:33]	FB|| light ROOM loaded the character 'Ethan King'
[23:28:34]	CCA.C08-HELIX.i2.58841 ran 'View' on item 'UU Brand Cigarette Pack' (#9114)
[23:28:37]	FB|| light ROOM loaded the character 'CCA.C08-UNION.i5.98240 [X]'
[23:28:41]	[OOC] CCA.C08-GRID.i4.69192: we'll need three civvies and one unit, i'll be the one unit because work cycle time
[23:28:41]	[OOC] CCA.C08-UNION.i5.98240 [X]: The fuck
[23:28:44]	CCA.C08-GRID.i4.69192 entered observer.
[23:28:45]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:28:46]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:28:48]	CCA.C08-GRID.i4.69192 entered observer.
[23:28:48]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:28:53]	FB|| light ROOM loaded the character 'Ethan King'
[23:28:57]	[OOC] Ethan King: Imma vibe
[23:28:58]	[OOC] CCA.C08-HELIX.i2.58841: Aight. Want me to quickly make a Factory Worker CWU out of my ass or?
[23:29:02]	[OOC] CCA.C08-GRID.i4.69192: nah
[23:29:03]	CCA.C08-HELIX.i2.58841 has gained 10 tokens.
[23:29:08]	[OOC] CCA.C08-GRID.i4.69192: get on a loyalist char if youy have one
[23:29:10]	[OOC] CCA.C08-GRID.i4.69192: or morgan or wahtever
[23:29:11]	[OOC] CCA.C08-GRID.i4.69192: idfc
[23:29:11]	Ollie Garner loaded the character 'Morgan Beck'
[23:29:15]	CCA.C08-GRID.i4.69192 entered observer.
[23:29:16]	[OOC] Ethan King: Gamer
[23:29:17]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:29:22]	FB|| light ROOM loaded the character 'Gordo Kin'
[23:29:25]	[OOC] Gordo Kin: gamer
[23:29:29]	CCA.C08-GRID.i4.69192 has spawned a 'Entity [434][ix_vendor]'.
[23:29:53]	Morgan Beck ran 'drop' on item 'Gray Pants' (#7532)
[23:29:53]	Morgan Beck has lost a 'Gray Pants' #7532.
[23:29:55]	CCA.C08-GRID.i4.69192 has spawned 'models/props_combine/combine_interface002.mdl'.
[23:29:57]	CCA.C08-GRID.i4.69192 used the 'John Doe' vendor.
[23:30:01]	Morgan Beck ran 'take' on item 'Gray Pants' (#7532)
[23:30:01]	Morgan Beck has gained a 'Gray Pants' #7532.
[23:30:04]	James Jacob ran 'EquipUn' on item 'Red Loyalist Armband' (#8307)
[23:30:05]	James Jacob ran 'Equip' on item 'Red Loyalist Armband' (#8307)
[23:30:05]	Morgan Beck ran 'Equip' on item 'Gray Pants' (#7532)
[23:30:09]	Morgan Beck ran 'drop' on item 'CWU General Shirt' (#8309)
[23:30:09]	Morgan Beck has lost a 'CWU General Shirt' #8309.
[23:30:14]	Morgan Beck ran 'take' on item 'CWU General Shirt' (#8309)
[23:30:14]	Morgan Beck has gained a 'CWU General Shirt' #8309.
[23:30:22]	[OOC] Gordo Kin: This update is pretty gamer so far.
[23:30:37]	[LOOC] Gordo Kin: Your face is fucked
[23:30:40]	[OOC] CCA.C08-GRID.i4.69192: wait until we get the full crafting update
[23:30:46]	[OOC] Morgan Beck: why must my face be fucked EVERYTIME
[23:30:49]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[23:30:53]	[LOOC] Gordo Kin: Bruh
[23:30:54]	[OOC] CCA.C08-GRID.i4.69192: you fucked up my face
[23:30:59]	[LOOC] Gordo Kin: Your giving me nightmares
[23:31:05]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:31:12]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:31:17]	Morgan Beck has taken 5 damage from CCA.C08-GRID.i4.69192.
[23:31:17]	Morgan Beck has taken 5 damage from CCA.C08-GRID.i4.69192.
[23:31:18]	[LOOC] Gordo Kin: Jesus
[23:31:19]	James Jacob has taken 5 damage from CCA.C08-GRID.i4.69192.
[23:31:19]	James Jacob has taken 5 damage from CCA.C08-GRID.i4.69192.
[23:31:20]	Gordo Kin has taken 5 damage from CCA.C08-GRID.i4.69192.
[23:31:20]	Gordo Kin has taken 5 damage from CCA.C08-GRID.i4.69192.
[23:31:40]	CCA.C08-GRID.i4.69192 entered observer.
[23:31:41]	[LOOC] Gordo Kin: yay, He isn't a walking cursed image
[23:31:41]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:32:11]	[OOC] Morgan Beck: YAY FUCKIN GREEN SHIT ISN'T IN MY CAFE ANYMORE
[23:32:42]	CCA.C08-GRID.i4.69192 entered observer.
[23:32:50]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:32:53]	CCA.C08-GRID.i4.69192 entered observer.
[23:33:02]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:33:05]	CCA.C08-GRID.i4.69192 entered observer.
[23:33:06]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:33:10]	CCA.C08-GRID.i4.69192 entered observer.
[23:33:11]	[LOOC] Gordo Kin: Kinda
[23:33:15]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:33:22]	CCA.C08-GRID.i4.69192 entered observer.
[23:33:29]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:33:32]	[LOOC] Gordo Kin: It's not hard to hear, But once people start actually talking it's hard.
[23:33:38]	CCA.C08-GRID.i4.69192 has spawned 'models/props_combine/combine_intmonitor001.mdl'.
[23:33:41]	CCA.C08-GRID.i4.69192 has spawned 'models/props_combine/combine_intmonitor003.mdl'.
[23:33:48]	CCA.C08-GRID.i4.69192 has spawned 'models/props_combine/combine_intmonitor001.mdl'.
[23:33:49]	[LOOC] Gordo Kin: We need more of those around the city.
[23:33:55]	[LOOC] Gordo Kin: their fuckin cool
[23:34:18]	[LOOC] Gordo Kin: yeah
[23:34:36]	CCA.C08-GRID.i4.69192 entered observer.
[23:34:47]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[23:34:53]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:53]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:54]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:54]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:54]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:55]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:55]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:55]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:56]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:56]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:57]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:57]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:57]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:58]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:58]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:58]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:59]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:59]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:34:59]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:00]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:00]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:01]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:01]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:01]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:01]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:02]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:02]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:03]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:03]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:03]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:04]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:04]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:04]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:05]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:05]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:05]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:06]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:06]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:06]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:07]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:07]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:08]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:08]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:08]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:08]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:35:32]	[LOOC] Gordo Kin: It do be gamer hous
[23:35:38]	[LOOC] Gordo Kin: Fuck
[23:35:40]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:35:44]	[LOOC] Gordo Kin: I'm small brain
[23:35:45]	CCA.C08-GRID.i4.69192 entered observer.
[23:35:47]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:35:47]	CCA.C08-GRID.i4.69192 entered observer.
[23:35:48]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:35:49]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[23:35:50]	CCA.C08-GRID.i4.69192 entered observer.
[23:35:51]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:35:53]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Blacksmith Tongs' (#9084)
[23:35:53]	CCA.C08-GRID.i4.69192 has gained a 'Blacksmith Tongs' #9084.
[23:35:56]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[23:35:57]	[LOOC] Gordo Kin: Why?
[23:36:04]	Blood Ravens Sergeant has connected.
[23:36:06]	[LOOC] Gordo Kin: Oh the riots
[23:36:08]	CCA.C08-GRID.i4.69192 has spawned "Blacksmith Tongs"
[23:36:08]	CCA.C08-GRID.i4.69192 has spawned "Blacksmith Tongs"
[23:36:08]	CCA.C08-GRID.i4.69192 has spawned "Blacksmith Tongs"
[23:36:09]	CCA.C08-GRID.i4.69192 has spawned "Blacksmith Tongs"
[23:36:09]	CCA.C08-GRID.i4.69192 has spawned "Blacksmith Tongs"
[23:36:12]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Blacksmith Tongs' (#9170)
[23:36:12]	CCA.C08-GRID.i4.69192 has gained a 'Blacksmith Tongs' #9170.
[23:36:13]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Blacksmith Tongs' (#9171)
[23:36:13]	CCA.C08-GRID.i4.69192 has gained a 'Blacksmith Tongs' #9171.
[23:36:14]	[LOOC] Gordo Kin: I fucken hate everything about them
[23:36:14]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Blacksmith Tongs' (#9169)
[23:36:14]	CCA.C08-GRID.i4.69192 has gained a 'Blacksmith Tongs' #9169.
[23:36:15]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Blacksmith Tongs' (#9173)
[23:36:15]	CCA.C08-GRID.i4.69192 has gained a 'Blacksmith Tongs' #9173.
[23:36:16]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Blacksmith Tongs' (#9172)
[23:36:16]	CCA.C08-GRID.i4.69192 has gained a 'Blacksmith Tongs' #9172.
[23:36:17]	CCA.C08-GRID.i4.69192 opened the '' #885 container.
[23:36:19]	[LOOC] Morgan Beck: Honestly
[23:36:24]	CCA.C08-GRID.i4.69192 closed the '' #885 container.
[23:36:26]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[23:36:35]	[LOOC] Morgan Beck: Imagine going from peaceful protests to terroism
[23:36:38]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9174.
[23:36:38]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:36:38]	[LOOC] Gordo Kin: holy shit, I feel sorry for you.
[23:36:41]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9175.
[23:36:41]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:36:42]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9176.
[23:36:42]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:36:42]	[LOOC] Gordo Kin: I know right
[23:36:42]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9177.
[23:36:42]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:36:43]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:36:44]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:36:45]	CCA.C08-GRID.i4.69192 opened the '' #885 container.
[23:36:50]	Morgan Beck ran 'drop' on item 'Gray Pants' (#7532)
[23:36:50]	Morgan Beck has lost a 'Gray Pants' #7532.
[23:36:52]	CCA.C08-GRID.i4.69192 closed the '' #885 container.
[23:36:54]	[LOOC] Gordo Kin: I'm suprised we haven't shot them a while ago.
[23:36:55]	Morgan Beck ran 'take' on item 'Gray Pants' (#7532)
[23:36:55]	Morgan Beck has gained a 'Gray Pants' #7532.
[23:36:55]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9178.
[23:36:55]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:36:56]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9179.
[23:36:56]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:36:56]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9180.
[23:36:56]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:36:57]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9181.
[23:36:57]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:36:57]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9182.
[23:36:57]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:36:57]	Morgan Beck ran 'Equip' on item 'Gray Pants' (#7532)
[23:36:58]	Blood Ravens Sergeant loaded the character 'OTA-ECHO.OWC-74227'
[23:37:00]	Morgan Beck ran 'Equip' on item 'CWU General Shirt' (#8309)
[23:37:02]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:37:07]	CCA.C08-GRID.i4.69192 opened the '' #886 container.
[23:37:08]	[OOC] Gordo Kin: Big OTA man spooky
[23:37:08]	[OOC] OTA-ECHO.OWC-74227: shit i'm here
[23:37:17]	CCA.C08-GRID.i4.69192 closed the '' #886 container.
[23:37:20]	CCA.C08-GRID.i4.69192 entered observer.
[23:37:22]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:37:22]	CCA.C08-GRID.i4.69192 opened the '' #1024 container.
[23:37:24]	CCA.C08-GRID.i4.69192 closed the '' #1024 container.
[23:37:27]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9183.
[23:37:27]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:37:27]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9184.
[23:37:27]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:37:28]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9185.
[23:37:28]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:37:28]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9186.
[23:37:28]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:37:29]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9187.
[23:37:29]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine'.
[23:37:30]	CCA.C08-GRID.i4.69192 opened the '' #1024 container.
[23:37:33]	[LOOC] Gordo Kin: Bruh
[23:37:37]	CCA.C08-GRID.i4.69192 closed the '' #1024 container.
[23:37:38]	CCA.C08-GRID.i4.69192 entered observer.
[23:37:40]	[OOC] Gordo Kin: Big brain hours
[23:37:42]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:37:43]	CCA.C08-GRID.i4.69192 entered observer.
[23:37:43]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:37:56]	CCA.C08-GRID.i4.69192 used command '/CharSetName echo OTA.C08-ECHO.OWC.74227'.
[23:38:00]	CCA.C08-GRID.i4.69192 entered observer.
[23:38:01]	[LOOC] Gordo Kin: Big SPOOK
[23:38:13]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:39:03]	CCA.C08-GRID.i4.69192 entered observer.
[23:39:04]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:39:04]	CCA.C08-GRID.i4.69192 entered observer.
[23:39:04]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:39:14]	[OOC] OTA.C08-ECHO.OWC.74227: noooo! you can't just walk back to the city from the outlands!
[23:39:22]	[LOOC] Gordo Kin: big spook
[23:39:30]	[OOC] OTA.C08-ECHO.OWC.74227: haha legs go walk walk
[23:39:39]	[OOC] OTA.C08-ECHO.OWC.74227: fuck
[23:39:43]	[OOC] CCA.C08-GRID.i4.69192: oh man my favorite sound
[23:39:44]	[OOC] CCA.C08-GRID.i4.69192: walk walk
[23:39:48]	[OOC] Gordo Kin: Imagine playing as 74227
[23:39:51]	[OOC] Morgan Beck: I'll miss the pod system from indust c17
[23:39:54]	[OOC] OTA.C08-ECHO.OWC.74227: damn my fucking ammo containers are god
[23:39:55]	[OOC] CCA.C08-GRID.i4.69192: same
[23:39:58]	CCA.C08-GRID.i4.69192 has spawned 'models/hlvr/characters/worker/worker_player.mdl'.
[23:40:02]	[OOC] OTA.C08-ECHO.OWC.74227: can i put them back?
[23:40:06]	[OOC] Morgan Beck: Ind c17 was a shit map, but pods are cool.
[23:40:07]	[OOC] OTA.C08-ECHO.OWC.74227: in the oupost*
