[04:20:12]	Avi has connected.
[15:58:20]	Ethan King ran 'read' on item 'Cars for Dummies, Vol. 2' (#6903)
[15:58:21]	Ethan King ran 'drop' on item 'Cars for Dummies, Vol. 2' (#6903)
[15:58:21]	Ethan King has lost a 'Cars for Dummies, Vol. 2' #6903.
[15:58:22]	CCA.C08-GRID.i4.69192 has spawned "Flashlight"
[15:58:22]	CCA.C08-GRID.i4.69192 has spawned "Flashlight"
[15:58:23]	CCA.C08-GRID.i4.69192 has spawned "Flashlight"
[15:58:23]	CCA.C08-GRID.i4.69192 has spawned "Suitcase"
[15:58:23]	CCA.C08-GRID.i4.69192 has spawned "Suitcase"
[15:58:26]	[LOOC] Ethan King: Shut up
[15:58:27]	CCA.C08-GRID.i4.69192 has spawned "Squad Identification Device"
[15:58:34]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Squad Identification Device' (#6934)
[15:58:34]	CCA.C08-GRID.i4.69192 has gained a 'Squad Identification Device' #6934.
[15:58:36]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[15:58:37]	Jimmy 'Watcher 3' John ran 'read' on item 'Cars for Dummies, Vol. 2' (#6903)
[15:58:40]	Jimmy 'Watcher 3' John ran 'take' on item 'Cars for Dummies, Vol. 2' (#6903)
[15:58:40]	Jimmy 'Watcher 3' John has gained a 'Cars for Dummies, Vol. 2' #6903.
[15:58:42]	Jimmy 'Watcher 3' John ran 'read' on item 'Cars for Dummies, Vol. 2' (#6903)
[15:58:44]	Jimmy 'Watcher 3' John ran 'read' on item 'Cars for Dummies, Vol. 2' (#6903)
[15:58:45]	Jimmy 'Watcher 3' John ran 'drop' on item 'Cars for Dummies, Vol. 2' (#6903)
[15:58:45]	Jimmy 'Watcher 3' John has lost a 'Cars for Dummies, Vol. 2' #6903.
[15:58:52]	[OOC] Alexei Stravolsky: ok q we have a plan
[15:59:03]	[OOC] CCA.C08-GRID.i4.69192: i'm listening
[15:59:16]	[OOC] Ethan King: It involves making a computer explode.
[15:59:19]	[OOC] Alexei Stravolsky: justin will change wires in the cpu of the computer we found to cause an explosion
[15:59:28]	[OOC] Ethan King: Somehow...
[15:59:33]	[OOC] Alexei Stravolsky: we are smort
[15:59:37]	[OOC] Alexei Stravolsky: BIGGEST THINK POSSIBLE RIGHT NOW
[15:59:46]	[OOC] CCA.C08-GRID.i4.69192: that is the most pea brain thing
[15:59:49]	[OOC] CCA.C08-GRID.i4.69192: computers don't explode
[15:59:54]	[OOC] Justin Bail: they do
[16:00:10]	[OOC] Alexei Stravolsky: justin you're a fucking parrot shut up
[16:00:14]	[OOC] Ethan King: You can literally look up how to make a computer explode/
[16:00:23]	Justin Bail has taken 47 damage from worldspawn.
[16:00:26]	[OOC] Alexei Stravolsky: Q, didnt do big think
[16:00:31]	Ethan King has taken 45 damage from worldspawn.
[16:00:32]	worldspawn has killed Ethan King.
[16:00:34]	[OOC] Ethan King: FUCK
[16:00:45]	[OOC] Ethan King: Why do ladders not work
[16:00:51]	[OOC] Justin Bail: ya ladders are shit
[16:01:04]	[OOC] CCA.C08-GRID.i4.69192: laptops can explopde
[16:01:09]	[OOC] CCA.C08-GRID.i4.69192: because they have batteries
[16:01:18]	[OOC] Alexei Stravolsky: hmm, i wonder whats in a computer
[16:01:23]	[OOC] Alexei Stravolsky: OH YEAH A FUCKING POWER SOURCE
[16:01:24]	[OOC] Alexei Stravolsky: HMMMM
[16:01:30]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[16:01:31]	[OOC] CCA.C08-GRID.i4.69192: no, they draw from power outlets
[16:01:36]	[OOC] CCA.C08-GRID.i4.69192: the power source is in the wall
[16:01:46]	[OOC] CCA.C08-GRID.i4.69192: that's not a laptop
[16:01:47]	[OOC] Jimmy 'Watcher 3' John: i wish computers had that
[16:01:57]	[OOC] Alexei Stravolsky: please q
[16:02:02]	[OOC] Alexei Stravolsky: this has gone on for hours
[16:02:11]	[OOC] Justin Bail: q
[16:02:14]	[OOC] Jimmy 'Watcher 3' John: no
[16:02:15]	[LOOC] Ethan King: Ya know there are hackers literally making computers explode by changing cerain things in the CPU of a computer.
[16:02:16]	[OOC] Jimmy 'Watcher 3' John: find a way
[16:02:20]	[OOC] Jimmy 'Watcher 3' John: the council will not pity
[16:02:21]	[OOC] Justin Bail: wants us to stay in the city
[16:02:28]	[OOC] CCA.C08-GRID.i4.69192: i can't just pity you and give you waht you want
[16:02:30]	[OOC] Justin Bail: so he dosent let us do it
[16:02:30]	[OOC] Alexei Stravolsky: ok so i guess a computer cant explode
[16:02:32]	[OOC] CCA.C08-GRID.i4.69192: i literally don't want you to stay in the city
[16:02:38]	[OOC] CCA.C08-GRID.i4.69192: correct, computers cannot explodew
[16:02:41]	[OOC] Ethan King: Ya knoiw there are hackers literally making computers explode by changing certain things in the CPU.
[16:02:51]	[OOC] Alexei Stravolsky: ok anonymous
[16:03:31]	[OOC] Alexei Stravolsky: OH FUCK I JUST GOT THE "IT REMINDS YOU OF IRON OXIDE" JOKE
[16:03:49]	[OOC] CCA.C08-GRID.i4.69192: if you're talking about the article put out by the register, that is the actual most retarded thing
[16:03:59]	[OOC] CCA.C08-GRID.i4.69192: "When the receiver downloads the attachment, the electrical current and molecular structure of the central processing unit is altered"
[16:04:17]	[OOC] Ethan King: YEET, Never said it's a good article
[16:04:19]	[OOC] CCA.C08-GRID.i4.69192: i trust mark cuban in a room full of money more than i trust that article
[16:04:40]	[OOC] Alexei Stravolsky: can car batteries explode
[16:05:05]	[OOC] Alexei Stravolsky: they should be able
[16:05:05]	[OOC] CCA.C08-GRID.i4.69192: they're batteries
[16:05:15]	Jimmy 'Watcher 3' John exited observer at their location.
[16:05:16]	Jimmy 'Watcher 3' John has taken 1 damage from bldg_fire.
[16:05:22]	Jimmy 'Watcher 3' John entered observer.
[16:05:35]	[OOC] Alexei Stravolsky: let me roll to get a car battery out of this car
[16:06:13]	[OOC] Ethan King: I doubt it would still be working.
[16:06:17]	[OOC] Alexei Stravolsky: fair
[16:06:18]	[OOC] CCA.C08-GRID.i4.69192: alright ropll
[16:06:22]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:06:22]	CCA.C08-GRID.i4.69192 entered observer.
[16:06:23]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:06:23]	Alexei Stravolsky used command '/RollStat eng'.
[16:06:26]	[OOC] Alexei Stravolsky: i wanna die
[16:06:30]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[16:06:30]	[LOOC] CCA.C08-GRID.i4.69192: there is no car battery. fuck you.
[16:06:31]	[LOOC] Ethan King: We just going for it i guess
[16:06:36]	[LOOC] Ethan King: BRUH
[16:06:36]	CCA.C08-GRID.i4.69192 entered observer.
[16:06:46]	[OOC] Alexei Stravolsky: q is just increasingly starting to hate us
[16:06:48]	[OOC] Justin Bail: the roll gods hate us
[16:06:59]	[OOC] Ethan King: Is this just torute
[16:07:03]	[OOC] Ethan King: Toture
[16:07:05]	Jimmy 'Watcher 3' John exited observer at their location.
[16:07:09]	[OOC] Ethan King: torture FUCK
[16:07:28]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:07:30]	Jimmy 'Watcher 3' John rolled 33 out of 100.
[16:07:30]	Jimmy 'Watcher 3' John used command '/Roll'.
[16:07:36]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[16:07:39]	CCA.C08-GRID.i4.69192 entered observer.
[16:07:39]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:07:40]	CCA.C08-GRID.i4.69192 entered observer.
[16:09:23]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:09:24]	CCA.C08-GRID.i4.69192 entered observer.
[16:09:41]	Jimmy 'Watcher 3' John entered observer.
[16:09:48]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[16:10:04]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:10:07]	CCA.C08-GRID.i4.69192 entered observer.
[16:10:22]	[OOC] Alexei Stravolsky: LMAO ETHAN JUST HAD AN IDEA TO CUT OFF A CP'S HAND AND USE IT TO UNLOCK THE WAREHOUSE BIO LOCK
[16:10:24]	[OOC] Alexei Stravolsky: CAN WE DO THAT
[16:10:38]	[OOC] CCA.C08-GRID.i4.69192: LMAO NO, WHEN A CP DIES THEIR BIOSIGNAL GOES POOP
[16:10:45]	[OOC] Alexei Stravolsky: KIDNAPPING
[16:10:53]	[OOC] Ethan King: Knocking out?
[16:10:54]	[OOC] CCA.C08-GRID.i4.69192: i mean you can try that but i can't tell you it'll work
[16:11:00]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:11:01]	CCA.C08-GRID.i4.69192 entered observer.
[16:11:03]	[OOC] Ethan King: We have a Rock
[16:11:05]	[OOC] Alexei Stravolsky: yeah we just knock them out
[16:11:06]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:11:09]	CCA.C08-GRID.i4.69192 entered observer.
[16:11:22]	[OOC] Alexei Stravolsky: can we 
[16:11:29]	[OOC] Alexei Stravolsky: we sound like fucking children wanting to go to mcdonalds
[16:11:30]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[16:11:36]	[OOC] Ethan King: lmao
[16:11:36]	[OOC] CCA.C08-GRID.i4.69192: you can try, but  i';m not saying it'll work our not
[16:11:38]	[OOC] CCA.C08-GRID.i4.69192: or*
[16:11:46]	[OOC] Alexei Stravolsky: ok but it needs to be setup homie
[16:11:51]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:11:56]	[OOC] Alexei Stravolsky: we require a cp
[16:11:56]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Squad Identification Device' (#6934)
[16:11:56]	CCA.C08-GRID.i4.69192 has lost a 'Squad Identification Device' #6934.
[16:11:57]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'High School Runner' (#6874)
[16:11:57]	CCA.C08-GRID.i4.69192 has lost a 'High School Runner' #6874.
[16:11:58]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Traffic Cone' (#5975)
[16:11:58]	CCA.C08-GRID.i4.69192 has lost a 'Traffic Cone' #5975.
[16:11:59]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Very Sharp Rock' (#6895)
[16:11:59]	CCA.C08-GRID.i4.69192 has lost a 'Very Sharp Rock' #6895.
[16:12:00]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Dual .9mm Pistols' (#5938)
[16:12:00]	CCA.C08-GRID.i4.69192 has lost a 'Dual .9mm Pistols' #5938.
[16:12:03]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Radio Case' (#6887)
[16:12:03]	CCA.C08-GRID.i4.69192 has lost a 'Radio Case' #6887.
[16:12:03]	[OOC] Alexei Stravolsky: and i require a piss break hold up
[16:12:04]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Radio Case' (#6886)
[16:12:04]	CCA.C08-GRID.i4.69192 has lost a 'Radio Case' #6886.
[16:12:05]	[OOC] Justin Bail: q this is your time to get on cp
[16:12:05]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Rusty Crossbow' (#6571)
[16:12:05]	CCA.C08-GRID.i4.69192 has lost a 'Rusty Crossbow' #6571.
[16:12:06]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Zip Tie' (#6586)
[16:12:06]	CCA.C08-GRID.i4.69192 has lost a 'Zip Tie' #6586.
[16:12:09]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Breen's Water' (#5999)
[16:12:09]	CCA.C08-GRID.i4.69192 has lost a 'Breen's Water' #5999.
[16:12:10]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Traffic Cone' (#5976)
[16:12:10]	CCA.C08-GRID.i4.69192 has lost a 'Traffic Cone' #5976.
[16:12:12]	[OOC] Ethan King: AFK
[16:12:14]	[OOC] CCA.C08-GRID.i4.69192: hold on
[16:12:17]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[16:12:19]	CCA.C08-GRID.i4.69192 destroyed a 'Squad Identification Device' #6934.
[16:12:21]	CCA.C08-GRID.i4.69192 destroyed a 'Traffic Cone' #5976.
[16:12:24]	CCA.C08-GRID.i4.69192 entered observer.
[16:12:30]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:12:34]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[16:12:35]	CCA.C08-GRID.i4.69192 entered observer.
[16:12:36]	CCA.C08-GRID.i4.69192 destroyed a 'High School Runner' #6874.
[16:12:36]	CCA.C08-GRID.i4.69192 destroyed a 'Zip Tie' #6586.
[16:12:36]	CCA.C08-GRID.i4.69192 destroyed a 'Traffic Cone' #5975.
[16:12:36]	CCA.C08-GRID.i4.69192 destroyed a 'Breen's Water' #5999.
[16:12:36]	CCA.C08-GRID.i4.69192 destroyed a 'Rusty Crossbow' #6571.
[16:12:36]	CCA.C08-GRID.i4.69192 destroyed a 'Very Sharp Rock' #6895.
[16:12:38]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:12:38]	CCA.C08-GRID.i4.69192 entered observer.
[16:12:39]	CCA.C08-GRID.i4.69192 destroyed a 'Dual .9mm Pistols' #5938.
[16:12:43]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[16:12:44]	CCA.C08-GRID.i4.69192 destroyed a 'Radio Case' #6887.
[16:12:45]	CCA.C08-GRID.i4.69192 destroyed a 'Radio Case' #6886.
[16:12:46]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:12:54]	CCA.C08-GRID.i4.69192 entered observer.
[16:12:54]	[OOC] Alexei Stravolsky: piss done
[16:12:57]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:13:01]	[OOC] Alexei Stravolsky: i piss fast af boi
[16:13:02]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[16:13:03]	[OOC] Justin Bail: wash ur hands
[16:13:07]	[OOC] Alexei Stravolsky: i did whore
[16:13:39]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[16:13:40]	[OOC] Alexei Stravolsky: q which one of us do you hate the most
[16:13:47]	[OOC] CCA.C08-GRID.i4.69192: myself
[16:13:47]	[OOC] Justin Bail: me
[16:13:53]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[16:13:55]	CCA.C08-GRID.i4.69192 has spawned "Percocet 20mg"
[16:13:57]	[OOC] Alexei Stravolsky: i have been having most of the ideas
[16:13:59]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Percocet 20mg' (#6934)
[16:13:59]	CCA.C08-GRID.i4.69192 has gained a 'Percocet 20mg' #6934.
[16:14:02]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[16:14:08]	[OOC] Justin Bail: q get on cp plz
[16:14:09]	[OOC] Alexei Stravolsky: and no, smacking the floor is not an idea
[16:14:15]	[OOC] Alexei Stravolsky: he is idiot
[16:14:17]	CCA.C08-GRID.i4.69192 has spawned "Screwdriver"
[16:14:19]	CCA.C08-GRID.i4.69192 has spawned "Nails"
[16:14:21]	CCA.C08-GRID.i4.69192 has spawned "Blowtorch"
[16:14:40]	CCA.C08-GRID.i4.69192 has spawned "Nails"
[16:14:41]	CCA.C08-GRID.i4.69192 has spawned "Scrap Hammer"
[16:14:42]	CCA.C08-GRID.i4.69192 has spawned "Wrench"
[16:14:42]	[OOC] Alexei Stravolsky: all of this to get through a fucking floor
[16:14:51]	[OOC] Justin Bail: yep
[16:15:06]	CCA.C08-GRID.i4.69192 has spawned "Allen Wrench"
[16:15:16]	CCA.C08-GRID.i4.69192 entered observer.
[16:15:17]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Allen Wrench' (#6941)
[16:15:17]	CCA.C08-GRID.i4.69192 has gained a 'Allen Wrench' #6941.
[16:15:18]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Blowtorch' (#6937)
[16:15:18]	CCA.C08-GRID.i4.69192 has gained a 'Blowtorch' #6937.
[16:15:19]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Nails' (#6936)
[16:15:19]	CCA.C08-GRID.i4.69192 has gained a 'Nails' #6936.
[16:15:21]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Wrench' (#6940)
[16:15:21]	CCA.C08-GRID.i4.69192 has gained a 'Wrench' #6940.
[16:15:22]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Screwdriver' (#6935)
[16:15:22]	CCA.C08-GRID.i4.69192 has gained a 'Screwdriver' #6935.
[16:15:23]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Scrap Hammer' (#6939)
[16:15:23]	CCA.C08-GRID.i4.69192 has gained a 'Scrap Hammer' #6939.
[16:15:23]	Catman has connected.
[16:15:23]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:15:24]	CCA.C08-GRID.i4.69192 entered observer.
[16:15:30]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:15:50]	CCA.C08-GRID.i4.69192 entered observer.
[16:15:55]	Catman loaded the character 'CCA.C08-UNION.i3.29332'
[16:15:56]	CCA.C08-GRID.i4.69192 ran 'Equip' on item '.9mm Pistol' (#2941)
[16:16:00]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:16:02]	[LOOC] CCA.C08-GRID.i4.69192: flag down flag down
[16:16:06]	[LOOC] CCA.C08-GRID.i4.69192: wait no
[16:16:08]	[LOOC] CCA.C08-GRID.i4.69192: don't flag down
[16:16:10]	[OOC] Ethan King: BACK
[16:16:11]	[LOOC] CCA.C08-GRID.i4.69192: just avoid citizens
[16:16:13]	[LOOC] CCA.C08-GRID.i4.69192: i'm begigng you
[16:16:14]	[LOOC] CCA.C08-UNION.i3.29332: lmao
[16:16:14]	[OOC] Alexei Stravolsky: ok
[16:16:22]	[LOOC] CCA.C08-UNION.i3.29332: why?
[16:16:22]	[LOOC] CCA.C08-GRID.i4.69192: also you're allowed ot have an SMG now
[16:16:22]	[OOC] Alexei Stravolsky: let us know when its time
[16:16:24]	CCA.C08-GRID.i4.69192 entered observer.
[16:16:30]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[16:16:31]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:16:35]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[16:16:40]	CCA.C08-GRID.i4.69192 has spawned "9mm Pistol Bullets"
[16:16:40]	CCA.C08-GRID.i4.69192 has spawned "9mm Pistol Bullets"
[16:16:45]	CCA.C08-UNION.i3.29332 used command '/PM 69 wtf is wrong'.
[16:17:00]	CCA.C08-GRID.i4.69192 used command '/PM i3 i'm going to get mugged, and i don't want them getting an SMG'.
[16:17:01]	CCA.C08-GRID.i4.69192 entered observer.
[16:17:01]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:17:05]	CCA.C08-GRID.i4.69192 ran 'take' on item '9mm Pistol Bullets' (#6943)
[16:17:05]	CCA.C08-GRID.i4.69192 has gained a '9mm Pistol Bullets' #6943.
[16:17:06]	CCA.C08-GRID.i4.69192 ran 'take' on item '9mm Pistol Bullets' (#6942)
[16:17:06]	CCA.C08-GRID.i4.69192 has gained a '9mm Pistol Bullets' #6942.
[16:17:06]	CCA.C08-GRID.i4.69192 entered observer.
[16:17:17]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:17:18]	[OOC] Justin Bail: q get on cp
[16:17:23]	[OOC] CCA.C08-GRID.i4.69192: bruh.
[16:17:24]	[OOC] Jimmy 'Watcher 3' John: be patient u tard
[16:17:25]	[OOC] Justin Bail: plz
[16:17:27]	[OOC] CCA.C08-GRID.i4.69192: i have been on cp
[16:17:27]	[OOC] Ethan King: HE IS
[16:17:30]	[OOC] CCA.C08-GRID.i4.69192: literally this entire time
[16:17:32]	[OOC] Alexei Stravolsky: q you are a fucking idiot
[16:17:32]	Jimmy 'Watcher 3' John exited observer at their location.
[16:17:34]	CCA.C08-UNION.i3.29332 used command '/PM 69 just do a 101-50 with me'.
[16:17:34]	[OOC] Justin Bail: but you are nocliping
[16:17:35]	[OOC] Alexei Stravolsky: wait
[16:17:36]	Jimmy 'Watcher 3' John entered observer.
[16:17:37]	[OOC] Justin Bail: and shit
[16:17:37]	[OOC] Alexei Stravolsky: not you q
[16:17:40]	[OOC] Alexei Stravolsky: i meant justin
[16:17:41]	[OOC] CCA.C08-UNION.i3.29332: yeah nice
[16:17:45]	[OOC] Alexei Stravolsky: sorry so many of my braincells hav died
[16:18:02]	CCA.C08-UNION.i3.29332 used command '/PM 69 10-50*'.
[16:18:08]	CCA.C08-GRID.i4.69192 used command '/PM union.i3 nyet'.
[16:18:11]	[OOC] Alexei Stravolsky: fucking camera
[16:18:20]	CCA.C08-UNION.i3.29332 used the 'Armory Operator' vendor.
[16:18:35]	[OOC] Alexei Stravolsky: justin has a great hiding spot
[16:18:41]	[ME] Justin Bail: wacks in head with pipe
[16:18:42]	CCA.C08-UNION.i3.29332 used command '/PM 69 Also I am allowed a SMG right?'.
[16:18:43]	CCA.C08-UNION.i3.29332 used the 'Armory Operator' vendor.
[16:18:49]	CCA.C08-GRID.i4.69192 used command '/PM i3 yeah but wait'.
[16:18:49]	CCA.C08-GRID.i4.69192 entered observer.
[16:18:49]	CCA.C08-UNION.i3.29332 has gained 0 tokens.
[16:18:49]	CCA.C08-UNION.i3.29332 has gained a 'MP7' #6944.
[16:18:49]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:18:51]	Justin Bail used command '/RollStat str'.
[16:18:53]	CCA.C08-UNION.i3.29332 has gained 0 tokens.
[16:18:53]	CCA.C08-UNION.i3.29332 has gained a 'SMG Bullets' #6945.
[16:18:55]	CCA.C08-UNION.i3.29332 has gained 0 tokens.
[16:18:55]	CCA.C08-UNION.i3.29332 has gained a 'SMG Bullets' #6946.
[16:19:01]	CCA.C08-GRID.i4.69192 used command '/RollStat con'.
[16:19:07]	CCA.C08-GRID.i4.69192 used command '/Event NICE.'.
[16:19:13]	[LOOC] Ethan King: Jesus.
[16:19:14]	[OOC] Alexei Stravolsky: im gonna kill myself
[16:19:15]	CCA.C08-UNION.i3.29332 ran 'drop' on item 'MP7' (#6944)
[16:19:15]	CCA.C08-UNION.i3.29332 has lost a 'MP7' #6944.
[16:19:17]	CCA.C08-GRID.i4.69192 rolled 32 out of 100.
[16:19:17]	CCA.C08-GRID.i4.69192 used command '/Roll'.
[16:19:17]	CCA.C08-UNION.i3.29332 ran 'take' on item 'MP7' (#6944)
[16:19:17]	CCA.C08-UNION.i3.29332 has gained a 'MP7' #6944.
[16:19:20]	[IT] CCA.C08-GRID.i4.69192: You miss.
[16:19:23]	Justin Bail rolled 8 out of 100.
[16:19:23]	Justin Bail used command '/Roll 100'.
[16:19:30]	CCA.C08-UNION.i3.29332 ran 'drop' on item 'MP7' (#6944)
[16:19:30]	CCA.C08-UNION.i3.29332 has lost a 'MP7' #6944.
[16:19:37]	[ME] CCA.C08-GRID.i4.69192: reaches for his stunstick and grabs it.
[16:19:46]	[OOC] CCA.C08-UNION.i3.29332: Bad no
[16:19:46]	[ME] Ethan King: Attempts to ram into the cp
[16:19:48]	CCA.C08-GRID.i4.69192 has spawned 'models/dpfilms/metropolice/rogue_police.mdl'.
[16:19:49]	Ethan King rolled 38 out of 100.
[16:19:49]	Ethan King used command '/Roll'.
[16:19:49]	CCA.C08-UNION.i3.29332 used the 'Armory Operator' vendor.
[16:19:57]	CCA.C08-GRID.i4.69192 used command '/CharSetModel grid models/dpfilms/metropolice/retrocop.mdl'.
[16:20:07]	[OOC] CCA.C08-GRID.i4.69192: definitely a migne gang
[16:20:11]	[OOC] Justin Bail: yep
[16:20:12]	[LOOC] CCA.C08-GRID.i4.69192: roll strength
[16:20:12]	[OOC] Alexei Stravolsky: WHY DOES IT KEEP TELLING US THAT J HEAT IS JONING
[16:20:15]	CCA.C08-GRID.i4.69192 entered observer.
[16:20:16]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:20:22]	[LOOC] CCA.C08-GRID.i4.69192: roll strength
[16:20:31]	[LOOC] Alexei Stravolsky: its rollstat str
[16:20:34]	CCA.C08-GRID.i4.69192 entered observer.
[16:20:35]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:20:39]	[LOOC] CCA.C08-GRID.i4.69192: /rollstat str
[16:20:46]	Ethan King used command '/RollStat str'.
[16:20:55]	CCA.C08-UNION.i3.29332 has gained 10 tokens.
[16:20:56]	[LOOC] Alexei Stravolsky: wrong
[16:20:58]	[LOOC] CCA.C08-GRID.i4.69192: and now roll agi
[16:20:59]	[OOC] CCA.C08-UNION.i3.29332: Jimmy John I will spit on you if you don't spy on your rebel friends
[16:21:07]	Ethan King used command '/RollStat agi'.
[16:21:09]	CCA.C08-GRID.i4.69192 rolled 98 out of 100.
[16:21:09]	CCA.C08-GRID.i4.69192 used command '/Roll'.
[16:21:11]	[OOC] Alexei Stravolsky: Gama
[16:21:12]	[LOOC] CCA.C08-GRID.i4.69192: HOLY shit
[16:21:12]	[OOC] Jimmy 'Watcher 3' John: what
[16:21:16]	Apollo7771FO3 has connected.
[16:21:22]	[ME] CCA.C08-GRID.i4.69192: dodges, moving out of the way.
[16:21:24]	[OOC] Jimmy 'Watcher 3' John: im watching this whole thing go down
[16:21:30]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[16:21:30]	[LOOC] Ethan King: who knows
[16:21:36]	[ME] Justin Bail: hit with pipe
[16:21:40]	Justin Bail used command '/RollStat str'.
[16:21:42]	[ME] CCA.C08-GRID.i4.69192: raises his stunstick, flicking it on-
[16:21:43]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[16:21:45]	[OOC] CCA.C08-UNION.i3.29332: I know I avoiding citizen IE staying in the nexus because I was told to
[16:21:48]	[LOOC] CCA.C08-GRID.i4.69192: bruh it's turn based
[16:21:51]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[16:21:56]	[OOC] Alexei Stravolsky: bruhg
[16:21:57]	[LOOC] CCA.C08-GRID.i4.69192: except for this dude that isn't
[16:22:02]	[LOOC] CCA.C08-GRID.i4.69192: attacking for somer esaon
[16:22:05]	[LOOC] CCA.C08-GRID.i4.69192: are you gonna attack or nah
[16:22:09]	[OOC] Alexei Stravolsky: just a fucking sec
[16:22:25]	[ME] Alexei Stravolsky: runs at Grid with the rock, aiming for the forehead.
[16:22:32]	[LOOC] CCA.C08-GRID.i4.69192: roll agility
[16:22:33]	[OOC] Alexei Stravolsky: oo oo aa aa
[16:22:36]	Alexei Stravolsky used command '/RollStat agi'.
[16:22:37]	[LOOC] Ethan King: lmao
[16:22:39]	[LOOC] CCA.C08-GRID.i4.69192: if it hits we roll strength for damage
[16:22:40]	CCA.C08-GRID.i4.69192 rolled 88 out of 100.
[16:22:40]	CCA.C08-GRID.i4.69192 used command '/Roll'.
[16:22:45]	[OOC] Alexei Stravolsky: I WANNA SHOOT SOMEONE
[16:22:53]	[LOOC] Ethan King: what the FUCK!!!
[16:22:57]	Catman loaded the character 'John Rowan'
[16:23:01]	[ME] CCA.C08-GRID.i4.69192: moves out of the way.
[16:23:01]	[OOC] Alexei Stravolsky: this server hates us
[16:23:08]	[LOOC] CCA.C08-GRID.i4.69192: WE DON'T RIG ROLLS I SWEAR, I WANT TO LOSE TOO ;-;
[16:23:11]	[LOOC] Ethan King: We can never win i swear
[16:23:21]	[OOC] Alexei Stravolsky: the universe is against the Gorilla Gang
[16:23:21]	CCA.C08-GRID.i4.69192 entered observer.
[16:23:21]	CCA.C08-GRID.i4.69192 exited observer at their location.
[16:23:24]	[ME] CCA.C08-GRID.i4.69192: flicks his stunstick onto extreme and runs toward Ethan.
[16:23:26]	[LOOC] Ethan King: lmao
[16:23:30]	[ME] Justin Bail: attempts a home fucking run on his head
[16:23:30]	CCA.C08-GRID.i4.69192 used command '/RollStat agi'.
