[00:00:00]	[OOC] Rodriguo Ouh: early
[22:52:47]	[ME] Harrison Godswilk: stamps a poster to the wall
[22:52:49]	Dat Boi exited observer at their location.
[22:52:49]	CCA.C14-UNION.i5.36307 ran 'Eat' on item 'Civil Protection Functionary Grade Food Product' (#21179)
[22:52:53]	CCA.C14-UNION.i5.36307 ran 'Drink' on item 'Civil Protection Functionary Grade Drink' (#21181)
[22:53:01]	[ME] Dat Boi: sees the other dead toad, then flips its shit.
[22:53:03]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[22:53:04]	[Y] Dat Boi: SCREEE! SCREE!
[22:53:09]	Dat Boi entered observer.
[22:53:10]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[22:53:10]	Dat Boi exited observer at their location.
[22:53:10]	Dat Boi entered observer.
[22:53:11]	Dat Boi exited observer at their location.
[22:53:14]	Dat Boi entered observer.
[22:53:21]	Dat Boi exited observer at their location.
[22:53:47]	Dat Boi entered observer.
[22:53:49]	Dat Boi exited observer at their location.
[22:53:59]	Dat Boi entered observer.
[22:54:00]	Dat Boi exited observer at their location.
[22:54:01]	Dat Boi entered observer.
[22:54:01]	Dat Boi exited observer at their location.
[22:54:08]	Dat Boi entered observer.
[22:54:09]	Dat Boi exited observer at their location.
[22:54:17]	[ME] Dat Boi: looks at the dead chumtoad.
[22:54:18]	[ME] Emily Brown: checks to see if it is alive
[22:54:22]	[ME] Dat Boi: slowly approaches it.
[22:54:24]	[IT] Dat Boi: It is dead.
[22:54:31]	[ME] Dat Boi: begins chewing on the dead chumtoad's paw.
[22:54:33]	[LOOC] Dat Boi: foot
[22:54:34]	[LOOC] Dat Boi: sorry
[22:54:36]	[LOOC] Dat Boi: foot
[22:54:38]	[ME] Emily Brown: strokes the chumtoads back
[22:54:48]	Harrison Godswilk used command '/Apply'.
[22:54:54]	CCA.C14-UNION.EpU.72633 used command '/OldViewData Harrison'.
[22:55:11]	[ME] Dat Boi: grips onto the other chumtoad's foot hard, and pulling strongly...
[22:55:13]	Dat Boi used command '/RollStat str'.
[22:55:19]	[IT] Dat Boi: It pulls the other chumtoad's leg off.
[22:55:30]	[ME] Dat Boi: openly crunches on the dead chumtoad's leg.
[22:55:54]	[OOC] Dat Boi: all of that love for chumtoads
[22:55:54]	Dat Boi used command '/DoorSetHidden true'.
[22:55:55]	[ME] Emily Brown: grabs a broom from the workdesk
[22:55:57]	[OOC] Dat Boi: sorry, cumtoads*
[22:56:01]	[OOC] Dat Boi: just gone in an instant
[22:56:18]	[ME] Emily Brown: hits you with a broom
[22:56:21]	[ME] Emily Brown: chases you out
[22:56:21]	[OOC] CCA.C14-UNION.EpU.72633: I like Cumtoads but I also like killing them as a CCA 
[22:56:21]	[IT] Dat Boi: The other chumtoad is gone.
[22:56:21]	Dat Boi used command '/DoorSetHidden true'.
[22:56:27]	Dat Boi entered observer.
[22:56:28]	Dat Boi exited observer at their location.
[22:56:28]	[OOC] CCA.C14-UNION.EpU.72633: So it balances out
[22:56:36]	Dat Boi entered observer.
[22:56:41]	Dat Boi exited observer at their location.
[22:56:53]	Dat Boi entered observer.
[22:56:56]	[OOC] Emily Brown: he just bit off his brothers leg
[22:56:58]	Dat Boi has spawned a 'NPC [2862][monster_shocktrooper]'.
[22:56:59]	[OOC] Emily Brown: and started eating it
[22:57:01]	Dat Boi has spawned a 'NPC [2862][monster_shocktrooper]'.
[22:57:06]	[OOC] Dat Boi: Nature is beautiful, Gordon!
[22:57:09]	CCA.C14-UNION.EpU.72633 used command '/Radio UNION when your finished eating come give some 10-91's work'.
[22:57:19]	Dat Boi has spawned a 'NPC [2862][monster_bullsquid]'.
[22:57:23]	[OOC] Harrison Godswilk: Cumtoads?
[22:57:25]	[OOC] Harrison Godswilk: Gross
[22:57:31]	[OOC] Dat Boi: don't insult the cumtoads
[22:57:32]	[LOOC] CCA.C14-UNION.EpU.72633: ?*
[22:57:44]	[OOC] Emily Brown: epu hates his job
[22:57:47]	CCA.C14-UNION.i5.36307 used command '/Radio Unit is 10-8, Sociostatus is green'.
[22:57:48]	[OOC] Harrison Godswilk: ^
[22:57:54]	CCA.C14-UNION.i5.36307 used command '/Radio En route'.
[22:57:54]	[LOOC] CCA.C14-UNION.EpU.72633: Desk*
[22:57:58]	CCA.C14-UNION.EpU.72633 used command '/Radio Copy'.
[22:57:58]	[OOC] Dat Boi: i am going to destroy both his sanity and the judge OfC's sanity
[22:58:01]	[OOC] Emily Brown: lol
[22:58:02]	[OOC] Dat Boi: via the power of frog
[22:58:03]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[22:58:04]	[OOC] Harrison Godswilk: alright boys, deservice him for conspiracy
[22:58:06]	[OOC] Emily Brown: frog event when
[22:58:08]	[Y] CCA.C14-UNION.EpU.72633: <:: CIVIE. ::>
[22:58:10]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[22:58:14]	[OOC] Dat Boi: that's a good idea
[22:58:16]	[OOC] Emily Brown: rat event when
[22:58:30]	[OOC] Dat Boi: nobody has paid the $15,000 for the rat whitelist, so never
[22:58:48]	[OOC] Emily Brown: rat rp https://steamcommunity.com/sharedfiles/filedetails/?id=786297028
[22:59:02]	[LOOC] Harrison Godswilk: void
[22:59:15]	[OOC] Dat Boi: holy fuck i love that model
[22:59:30]	[OOC] Dat Boi: moncop event when
[22:59:41]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit going 10-7, status is green. report all code 3/2's'.
[22:59:43]	[ME] Emily Brown: spins on her heel, turning to the man behind her
[23:00:28]	FB|| light ROOM loaded the character 'CCA.C14-QrM.98240'
[23:00:38]	[ME] Emily Brown: spins around
[23:00:41]	[ME] CCA.C14-UNION.i5.36307: holds out a broom and dustpan
[23:00:48]	[OOC] CCA.C14-QrM.98240: I must do some Gun inspectingRP at the range
[23:00:51]	[LOOC] Harrison Godswilk: how can i see how many LPs I have?
[23:00:56]	[ME] Emily Brown: takes the two items in both of her hands
[23:01:02]	[LOOC] CCA.C14-UNION.i5.36307: ask someone to check i think
[23:01:07]	[LOOC] Emily Brown: have you been on here before
[23:01:11]	[LOOC] Harrison Godswilk: nope
[23:01:11]	Dat Boi exited observer at their location.
[23:01:14]	[LOOC] Emily Brown: how many work taks have you done
[23:01:18]	[LOOC] CCA.C14-UNION.i5.36307: you have 0
[23:01:20]	[LOOC] Harrison Godswilk: 1
[23:01:20]	Dat Boi entered observer.
[23:01:22]	[LOOC] Emily Brown: you got 1 lp then
[23:01:23]	Dat Boi exited observer at their location.
[23:01:23]	Dat Boi entered observer.
[23:01:23]	Harrison Godswilk used command '/Apply'.
[23:01:24]	Dat Boi exited observer at their location.
[23:01:25]	Dat Boi entered observer.
[23:01:41]	[ME] Emily Brown: begins to sweet up the street, sweeping up any trash
[23:01:56]	Dat Boi exited observer at their location.
[23:02:00]	[ME] CCA.C14-UNION.i5.36307: places a garbage bag on the table
[23:02:02]	Dat Boi entered observer.
[23:02:03]	Emily Brown has spawned 'models/props_industrial/bridge.mdl'.
[23:02:05]	Dat Boi exited observer at their location.
[23:02:06]	Dat Boi entered observer.
[23:02:07]	Dat Boi exited observer at their location.
[23:02:08]	[LOOC] Emily Brown: wtf
[23:02:09]	Dat Boi entered observer.
[23:02:11]	Dat Boi exited observer at their location.
[23:02:12]	Dat Boi entered observer.
[23:02:13]	[LOOC] Harrison Godswilk: wait, mics are enabled
[23:02:14]	[LOOC] Emily Brown: idk what i just spawned
[23:02:22]	CCA.C14-UNION.i5.36307 used command '/OldViewData harrison'.
[23:02:22]	[OOC] Emily Brown: u need to blacklist a bunch of stuff
[23:02:29]	[OOC] Emily Brown: i accidentally spawned like a huge radio antenna earlier
[23:02:29]	[OOC] Dat Boi: pm me
[23:02:32]	[ME] Harrison Godswilk: picks up the garbage bag.
[23:02:33]	[OOC] Dat Boi: oh, you mean the props
[23:02:38]	[OOC] Emily Brown: yes
[23:03:03]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[23:03:03]	[OOC] Emily Brown: with the big radio antenna someone can spam that and crash the server
[23:03:17]	[ME] Harrison Godswilk: patrols the street, putting any trash he sees into the bag.
[23:03:21]	CCA.C14-QrM.98240 used command '/Radio Unit en route to the Firing range for some experimenting on weapons. I might need a GRID 10-8 once finished'.
[23:03:23]	Emily Brown has spawned 'models/props_industrial/bridge.mdl'.
[23:03:24]	Dat Boi exited observer at their location.
[23:03:24]	Dat Boi entered observer.
[23:03:25]	Emily Brown has spawned 'models/props/de_dust/du_crate_64x64_stone.mdl'.
[23:03:26]	[LOOC] Harrison Godswilk: LMAO
[23:03:29]	[OOC] CCA.C14-UNION.i5.36307: the fuck?
[23:03:37]	[OOC] CCA.C14-UNION.i5.36307: the nexus just turned grey for a sec
[23:03:41]	[OOC] CCA.C14-QrM.98240: Bruh
[23:03:44]	[ME] Emily Brown: sweeps up the trash
[23:03:47]	[OOC] Dat Boi: fog glitch maybe?
[23:03:49]	[ME] Emily Brown: sweeps it into a corner
[23:03:51]	[OOC] CCA.C14-UNION.i5.36307: probs
[23:03:59]	Dat Boi exited observer at their location.
[23:03:59]	Dat Boi entered observer.
[23:04:00]	Dat Boi exited observer at their location.
[23:04:00]	Dat Boi used command '/ToggleRaise'.
[23:04:02]	[ME] Emily Brown: sweeps it into a dust pan
[23:04:03]	Dat Boi entered observer.
[23:04:06]	[OOC] CCA.C14-QrM.98240: As a QrM I am pretty much a pocket GRID mixed with a JUDGE because of my spooky model
[23:04:11]	Dat Boi used command '/ToggleRaise'.
[23:04:20]	[OOC] Emily Brown: ur model isnt spooky its just discount OTA
[23:04:20]	Dat Boi used command '/ToggleRaise'.
[23:04:29]	[OOC] Dat Boi: don't take this the wrong way
[23:04:30]	[OOC] Dat Boi: but go fuck yourself
[23:04:39]	[OOC] CCA.C14-QrM.98240: Same here I'm sorry
[23:04:43]	[OOC] Emily Brown: XDDD
[23:04:44]	[OOC] Dat Boi: not relaly t ho
[23:04:48]	[OOC] Dat Boi: i like the mdoe la lot
[23:04:51]	[OOC] CCA.C14-UNION.i5.36307: yeah take this however you want, go fuck yourself
[23:04:53]	[ME] Emily Brown: empties it into the bin
[23:04:54]	Dat Boi exited observer at their location.
[23:04:55]	Dat Boi entered observer.
[23:04:55]	Dat Boi exited observer at their location.
[23:04:56]	Dat Boi entered observer.
[23:04:58]	Dat Boi used command '/ToggleRaise'.
[23:05:01]	[OOC] Emily Brown: i dont like the colors
[23:05:05]	[OOC] CCA.C14-QrM.98240: BRUH
[23:05:05]	[OOC] Dat Boi: harrison join us in the cyberbullying team
[23:05:06]	[OOC] CCA.C14-UNION.i5.36307: i wish my model had a trenchcoat
[23:05:15]	[OOC] Emily Brown: look shit imo but whateva
[23:05:17]	[OOC] Dat Boi: i'm not a huge trenchcoat fan
[23:05:22]	[OOC] Harrison Godswilk: honestly, QrM can go fuck off
[23:05:23]	[OOC] Emily Brown: trenchcoats...
[23:05:24]	[OOC] CCA.C14-QrM.98240: Lmao, Only like one UNION model gets a trenchcoat
[23:05:28]	CCA.C14-QrM.98240 has gained 10 tokens.
[23:05:35]	[OOC] Dat Boi: only one model in every divison
[23:05:37]	Dat Boi used command '/DoorSetHidden true'.
[23:05:37]	[OOC] Emily Brown: doesnt low ranking judge get trench coats
[23:05:38]	[OOC] Dat Boi: wait no
[23:05:39]	Dat Boi exited observer at their location.
[23:05:42]	[OOC] Dat Boi: uhhh
[23:05:43]	[OOC] Dat Boi: yes?
[23:05:44]	[OOC] Dat Boi: yes
[23:05:47]	[OOC] Dat Boi: i need to loo kat the idagram
[23:05:48]	Dat Boi entered observer.
[23:05:48]	[OOC] CCA.C14-QrM.98240: I personally like the UNION models the most out of all division skins
[23:05:51]	[LOOC] Harrison Godswilk: RIGHT.
[23:05:59]	CCA.C14-UNION.i5.36307 used command '/OldViewData harrison'.
[23:06:00]	[OOC] Emily Brown: judge is homie
[23:06:02]	[OOC] Emily Brown: but i wont get judge
[23:06:05]	[OOC] Emily Brown: bc im not active on cp
[23:06:05]	[OOC] Dat Boi: the union ones are pretty cool
[23:06:06]	[OOC] Emily Brown: lol
[23:06:20]	[OOC] Emily Brown: i need to play cp more if i wanna get picked
[23:06:27]	[OOC] CCA.C14-UNION.i5.36307: then play cp more
[23:06:28]	[OOC] CCA.C14-QrM.98240: Pretty much goes- Normal->Blue eyed->C8->Hunter
[23:06:28]	Dat Boi used command '/CharSetAttribute boi con -95'.
[23:06:38]	[OOC] Dat Boi: and the hunter is like
[23:06:40]	[OOC] CCA.C14-QrM.98240: With a lot of variations in the c8 section
[23:06:41]	[OOC] Dat Boi: wati no
[23:06:43]	[OOC] Dat Boi: the hunter part is gone
[23:06:44]	[OOC] Dat Boi: because
[23:06:50]	[OOC] Dat Boi: we have a new DvL model
[23:06:50]	[OOC] CCA.C14-QrM.98240: Shit is it?
[23:06:50]	Dat Boi exited observer at their location.
[23:06:51]	Dat Boi entered observer.
[23:06:53]	[OOC] CCA.C14-QrM.98240: Oh yeah
[23:06:54]	[ME] CCA.C14-UNION.i5.36307: gives him another bag
[23:07:00]	[ME] Harrison Godswilk: takes the second bag.
[23:07:00]	Dat Boi exited observer at their location.
[23:07:01]	[OOC] CCA.C14-QrM.98240: Wow I'm gonna miss the hunter skin
[23:07:07]	[ME] Emily Brown: hands you the items 
[23:07:09]	[OOC] Dat Boi: i'm nota huge fan. i like the sbutle hunter where it looks blaclk
[23:07:13]	Dat Boi entered observer.
[23:07:15]	[ME] CCA.C14-UNION.i5.36307: stows the broom and pan
[23:07:19]	CCA.C14-UNION.i5.36307 used command '/OldViewData emily'.
[23:07:22]	Dat Boi exited observer at their location.
[23:07:25]	Dat Boi entered observer.
[23:07:27]	[ME] Harrison Godswilk: picks up all of the plastic bottles and other recyclebles.
[23:07:29]	[OOC] CCA.C14-QrM.98240: Yee, i think the Hunter model just fits with the C8 and blue eyed
[23:07:35]	[OOC] Dat Boi: yeah it does
[23:07:47]	[OOC] CCA.C14-QrM.98240: Since the whole "Blue berry" look that the UNION high rank have
[23:07:50]	matt saton loaded the character 'CCA.C08-GRID.OfC.29402'
[23:07:50]	CCA.C08-GRID.OfC.29402 entered observer.
[23:08:02]	CCA.C08-GRID.OfC.29402 exited observer at their location.
[23:08:03]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[23:08:05]	CCA.C14-QrM.98240 used command '/Radio GRID'.
[23:08:07]	CCA.C08-GRID.OfC.29402 used command '/Radio Copy.'.
[23:08:09]	[ME] Harrison Godswilk: throws the bag into the trash.
[23:08:16]	CCA.C14-QrM.98240 used command '/Radio Uh......requesting 10-9'.
[23:08:18]	[LOOC] Emily Brown: void that spray
[23:08:27]	CCA.C08-GRID.OfC.29402 used command '/Radio Copy that, I said copy.'.
[23:08:58]	CCA.C14-QrM.98240 used command '/Radio 10-4, any updates on my attachments idea for the MP7 and the Spas-12?'.
[23:09:13]	CCA.C08-GRID.OfC.29402 used command '/Radio Not yet.'.
[23:09:23]	CCA.C08-GRID.OfC.29402 used command '/Radio VVe've been busy vvorking on the blood donation thing.'.
[23:09:42]	CCA.C14-QrM.98240 used command '/Radio I understand, once your availiable I would be happy to work with you on the project.'.
[23:09:50]	CCA.C08-GRID.OfC.29402 used command '/Radio I'll let you know.'.
[23:09:58]	CCA.C14-QrM.98240 used command '/Radio Copy that, I'll be waiting'.
[23:10:00]	CCA.C08-GRID.OfC.29402 has spawned a 'Entity [2862][ix_testent3]'.
[23:10:10]	CCA.C14-QrM.98240 used command '/Radio Unit returning to outpost storm'.
[23:10:20]	CCA.C08-GRID.OfC.29402 has spawned 'models/props_lab/tpplug.mdl'.
[23:10:27]	CCA.C14-UNION.i5.36307 used command '/Radio A citizen just said to me Ill go out and find contraband within city limits for you if you don't tell EpU, and if you give me loyalty points for turning it in you can say you found it. More chance for promotion'.
[23:10:28]	CCA.C14-QrM.98240 has gained 10 tokens.
[23:10:35]	[OOC] Harrison Godswilk: Green or Yellow armband for CWU?
[23:10:42]	[OOC] Emily Brown: yello
[23:10:47]	[OOC] Harrison Godswilk: thank god
[23:11:06]	[ME] CCA.C08-GRID.OfC.29402: comes out holding a machine.
[23:11:09]	[OOC] Emily Brown: can you clear decals
[23:11:10]	CCA.C14-UNION.i5.36307 used command '/Radio Advise?'.
[23:11:16]	[OOC] Emily Brown: thanks
[23:11:18]	[OOC] CCA.C08-GRID.OfC.29402: yep
[23:11:31]	CCA.C14-QrM.98240 used command '/Radio Uh......this isn't my place to give advisments'.
[23:11:58]	CCA.C08-GRID.OfC.29402 entered observer.
[23:11:58]	CCA.C08-GRID.OfC.29402 exited observer at their location.
[23:12:01]	CCA.C08-GRID.OfC.29402 entered observer.
[23:12:02]	CCA.C08-GRID.OfC.29402 exited observer at their location.
[23:12:02]	CCA.C08-GRID.OfC.29402 entered observer.
[23:12:03]	CCA.C08-GRID.OfC.29402 exited observer at their location.
[23:12:12]	CCA.C08-GRID.OfC.29402 entered observer.
[23:12:12]	CCA.C08-GRID.OfC.29402 exited observer at their location.
[23:12:39]	[OOC] CCA.C14-QrM.98240: Me pulling the no rank card to get out of that situation
[23:12:50]	[LOOC] CCA.C08-GRID.OfC.29402: conscious for*
[23:12:50]	CCA.C08-GRID.OfC.29402 has gained 10 tokens.
[23:12:52]	[OOC] CCA.C14-UNION.i5.36307: -_-
[23:12:53]	[ME] Harrison Godswilk: places his arm into the machine.
[23:12:57]	[OOC] Emily Brown: lol
[23:13:03]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[23:13:10]	CCA.C08-GRID.OfC.29402 entered observer.
[23:13:10]	CCA.C08-GRID.OfC.29402 exited observer at their location.
[23:13:20]	[LOOC] Harrison Godswilk: wtf mics are enabled?
[23:13:24]	[OOC] CCA.C14-UNION.i5.36307: i vote we give quartermasters ranks
[23:13:31]	[OOC] CCA.C14-QrM.98240: SHSHSHSHSHSH
[23:13:32]	[LOOC] CCA.C08-GRID.OfC.29402: yeah, but really only citizens ever use them
[23:13:34]	[OOC] Emily Brown: i vote we dont
[23:13:37]	[OOC] Emily Brown: they dont need ranks at all
[23:13:40]	[LOOC] CCA.C08-GRID.OfC.29402: i personally only ever use them OOCly whe n i'm doing admin shit
[23:13:42]	[OOC] Emily Brown: what would you need ranks for 
[23:13:43]	[LOOC] CCA.C08-GRID.OfC.29402: we like doing things differently
[23:13:44]	Harrison Godswilk has taken 10 damage from Harrison Godswilk.
[23:13:49]	[OOC] CCA.C14-UNION.i5.36307: ah but it might make their job harder
[23:13:53]	[OOC] CCA.C14-UNION.i5.36307: just think
[23:14:02]	[OOC] CCA.C14-QrM.98240: that would add one thing to my job
[23:14:18]	[OOC] Emily Brown: just think about what?
[23:14:18]	[OOC] CCA.C14-UNION.i5.36307: are zipties fixed
[23:14:19]	[OOC] CCA.C14-QrM.98240: And it's having to tell units what to do because I would have leadership rights
[23:14:20]	[OOC] Emily Brown: they dont need it
[23:14:24]	[OOC] CCA.C08-GRID.OfC.29402: yeah thew've been fixed
[23:14:27]	[OOC] CCA.C08-GRID.OfC.29402: or they sohuld be
[23:14:30]	[OOC] CCA.C14-UNION.i5.36307: outstanding!
[23:14:41]	[ME] CCA.C08-GRID.OfC.29402: puts down 5 tokens on the counter.
[23:14:43]	CCA.C08-GRID.OfC.29402 has lost 5 tokens.
[23:14:43]	CCA.C08-GRID.OfC.29402 used command '/DropTokens 5'.
[23:14:48]	CCA.C08-GRID.OfC.29402 used command '/adminspawnmenu'.
[23:14:55]	[ME] Harrison Godswilk: slides the tokens over to him, stuffing it into his pockets
[23:14:57]	Harrison Godswilk has gained 5 tokens.
[23:14:57]	CCA.C08-GRID.OfC.29402 has spawned "UU Brand Chocolate"
[23:14:59]	CCA.C08-GRID.OfC.29402 entered observer.
[23:14:59]	CCA.C08-GRID.OfC.29402 exited observer at their location.
[23:15:00]	Harrison Godswilk ran 'take' on item 'UU Brand Chocolate' (#21179)
[23:15:00]	Harrison Godswilk has gained a 'UU Brand Chocolate' #21179.
[23:15:13]	[ME] CCA.C08-GRID.OfC.29402: places a UU-Brand chocolate bar on the table.
[23:15:14]	[OOC] Emily Brown: the fuck is this building for anyway
[23:15:19]	[OOC] Emily Brown: cwu lobby?
[23:15:23]	[OOC] CCA.C08-GRID.OfC.29402: ?
[23:15:24]	[OOC] CCA.C08-GRID.OfC.29402: oh
[23:15:24]	[OOC] Emily Brown: i didnt know this was cwu building
[23:15:25]	[OOC] CCA.C08-GRID.OfC.29402: i dunno
[23:15:28]	CCA.C14-QrM.98240 has gained 10 tokens.
[23:15:29]	[OOC] CCA.C08-GRID.OfC.29402: it shouldn't be imo
[23:15:45]	[LOOC] CCA.C14-UNION.i5.36307: oh god i have 1800 bullets
[23:15:51]	[OOC] CCA.C08-GRID.OfC.29402: i'm gonna finally program in blood donation
[23:15:53]	[OOC] Emily Brown: work cycle when
[23:16:01]	CCA.C14-QrM.98240 used the 'Armory Supply' vendor.
[23:16:07]	CCA.C14-QrM.98240 has gained 0 tokens.
[23:16:07]	CCA.C14-QrM.98240 has gained a 'Zip Tie' #21180.
[23:16:08]	CCA.C14-QrM.98240 has gained 0 tokens.
[23:16:08]	CCA.C14-QrM.98240 has gained a 'Zip Tie' #21181.
[23:16:11]	CCA.C14-QrM.98240 has gained 0 tokens.
[23:16:11]	CCA.C14-QrM.98240 has gained a 'Bandage' #21182.
[23:16:11]	matt saton loaded the character 'Joseph Kimsler'
[23:16:11]	CCA.C14-QrM.98240 has gained 0 tokens.
[23:16:11]	CCA.C14-QrM.98240 has gained a 'Bandage' #21183.
[23:16:12]	Joseph Kimsler entered observer.
[23:16:12]	[OOC] Emily Brown: can people flag up on civie and have 1 officer do the metal work cycle
[23:16:12]	Joseph Kimsler exited observer at their location.
[23:16:13]	Joseph Kimsler entered observer.
[23:16:19]	[OOC] Emily Brown: that was fun
[23:16:26]	[ME] CCA.C14-QrM.98240: Holds out a small pair of Zipties and Bandages
[23:16:29]	CCA.C14-QrM.98240 ran 'drop' on item 'Zip Tie' (#21180)
[23:16:29]	CCA.C14-QrM.98240 has lost a 'Zip Tie' #21180.
[23:16:29]	CCA.C14-QrM.98240 ran 'Use' on item 'Zip Tie' (#21181)
[23:16:30]	[OOC] Joseph Kimsler: i want to add in more stuff for work cycles like ration printing and shit
[23:16:34]	[ME] CCA.C14-UNION.i5.36307: picks them up
[23:16:34]	CCA.C14-QrM.98240 ran 'drop' on item 'Zip Tie' (#21181)
[23:16:34]	CCA.C14-QrM.98240 has lost a 'Zip Tie' #21181.
[23:16:35]	CCA.C14-QrM.98240 ran 'drop' on item 'Bandage' (#21182)
[23:16:35]	CCA.C14-QrM.98240 has lost a 'Bandage' #21182.
[23:16:36]	CCA.C14-QrM.98240 ran 'drop' on item 'Bandage' (#21183)
[23:16:36]	CCA.C14-QrM.98240 has lost a 'Bandage' #21183.
[23:16:37]	[OOC] Joseph Kimsler: i have high hopes but low time and low manpower
[23:16:37]	CCA.C14-UNION.i5.36307 ran 'take' on item 'Zip Tie' (#21180)
[23:16:37]	CCA.C14-UNION.i5.36307 has gained a 'Zip Tie' #21180.
[23:16:37]	[OOC] Joseph Kimsler: so
[23:16:39]	CCA.C14-UNION.i5.36307 ran 'take' on item 'Zip Tie' (#21181)
[23:16:39]	CCA.C14-UNION.i5.36307 has gained a 'Zip Tie' #21181.
[23:16:42]	CCA.C14-UNION.i5.36307 ran 'take' on item 'Bandage' (#21183)
[23:16:42]	CCA.C14-UNION.i5.36307 has gained a 'Bandage' #21183.
[23:16:43]	CCA.C14-UNION.i5.36307 ran 'take' on item 'Bandage' (#21182)
[23:16:43]	CCA.C14-UNION.i5.36307 has gained a 'Bandage' #21182.
[23:16:45]	[OOC] Emily Brown: ration packing imo is the best form of work cycle
[23:16:48]	[OOC] Joseph Kimsler: progressing for that kind of advanced shit like dema-based ration printing
[23:16:51]	[OOC] Joseph Kimsler: derma*
[23:16:56]	[OOC] Joseph Kimsler: did you ever play warioware on the DS?
[23:16:57]	[OOC] Emily Brown: just make it crafting
[23:16:58]	[OOC] CCA.C14-QrM.98240: I would be happy to get on EpU and watch over the Work cycle
[23:17:03]	CCA.C14-UNION.i5.36307 used command '/Radio OfC, I finished studying those books.'.
[23:17:09]	CCA.C14-UNION.i5.36307 used command '/Radio // shit'.
[23:17:30]	[OOC] CCA.C14-QrM.98240: Q the i5 needs you ;-;
[23:17:30]	[OOC] Emily Brown: just make it crafting, like ration wrapper and ration pack and breen water and supplement makes ration
[23:17:34]	[OOC] Joseph Kimsler: i think i'll do a short work cycle since i was fucking it up a lot
[23:17:36]	[OOC] Emily Brown: thats how it works
[23:17:37]	[OOC] Emily Brown: on
[23:17:39]	[OOC] Emily Brown: other servers
[23:17:42]	[OOC] Emily Brown: ive played ojn
[23:17:50]	[OOC] Joseph Kimsler: yeah, that's what i'll do. but at some point i want to make like a derma based stamping tihng
[23:17:58]	[OOC] CCA.C14-QrM.98240: Also you guys should totally join VC
[23:17:58]	[OOC] Emily Brown: whats that?
[23:18:01]	[OOC] Joseph Kimsler: were you have to actually click the label on. that'd be cool
[23:18:03]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[23:18:04]	[OOC] Joseph Kimsler: derma = gmod gui
[23:18:06]	[OOC] Emily Brown: i'd talk but im prepubescent 
[23:18:08]	[OOC] Joseph Kimsler: basically any window in teh game
[23:18:11]	[OOC] Joseph Kimsler: the*
[23:18:32]	[OOC] Joseph Kimsler: so, oldviewdata, new viewdata, view objects, the inventory, playermodel selection, simple third person.
[23:18:34]	[OOC] CCA.C14-QrM.98240: Why do you think I have never spoken in front of anybody on this server?
[23:18:42]	[OOC] Emily Brown: idk lol
[23:18:42]	Joseph Kimsler exited observer at their location.
[23:18:43]	Joseph Kimsler entered observer.
[23:18:44]	Joseph Kimsler exited observer at their location.
[23:18:47]	Joseph Kimsler has spawned 'models/props_junk/gascan001a.mdl'.
[23:18:49]	Joseph Kimsler entered observer.
[23:18:50]	Joseph Kimsler exited observer at their location.
[23:18:52]	[LOOC] CCA.C14-UNION.i5.36307: i needed your grid char
[23:18:53]	Joseph Kimsler entered observer.
[23:18:54]	Joseph Kimsler exited observer at their location.
[23:19:04]	[OOC] Joseph Kimsler: gonna hop on grid real quick
[23:19:09]	Joseph Kimsler entered observer.
[23:19:15]	matt saton loaded the character 'CCA.C08-GRID.OfC.29402'
[23:19:16]	CCA.C08-GRID.OfC.29402 entered observer.
[23:19:23]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[23:19:25]	CCA.C08-GRID.OfC.29402 exited observer at their location.
[23:19:28]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit is 10-8'.
[23:19:46]	[LOOC] CCA.C14-UNION.i5.36307: well i didnt ooc because you know
[23:19:46]	[OOC] Harrison Godswilk: nice ratio
[23:19:54]	[OOC] CCA.C08-GRID.OfC.29402: iot's sut to talk to the i5 real quick ;-;
[23:20:02]	[OOC] Emily Brown: i'm turning 14 in february and i hate that whenever i join a community and speak in a voice chat they immidiately judge me off my voice alone 
[23:20:02]	[OOC] CCA.C08-GRID.OfC.29402: just*
[23:20:06]	[OOC] Emily Brown: and then call me a squeaker and shit
[23:20:08]	[OOC] Emily Brown: pisses me off
[23:20:11]	[OOC] Emily Brown: so i use text chat
[23:20:24]	[OOC] CCA.C14-UNION.i5.36307: i have a mic but dont really talk
[23:20:40]	[OOC] Emily Brown: same
[23:21:01]	matt saton loaded the character 'Joseph Kimsler'
[23:21:04]	Joseph Kimsler entered observer.
[23:21:09]	matt saton loaded the character 'Dispatch'
[23:21:20]	[OOC] Emily Brown: might head off for a bit
[23:21:23]	[OOC] CCA.C14-UNION.EpU.72633: My scroll wheel is fucked
[23:21:23]	[OOC] Emily Brown: will there be a work cycle
