[09:34:18]	GamingTheGames has connected.
[14:58:25]	Morgan Beck has gained a 'Scrap Metal' #4997.
[14:58:25]	[OOC] PFC Mitchell 'Lazzy' Lazarus: You will only Alt walk.
[14:58:25]	Artyom Kuznetsov has gained 1 token.
[14:58:26]	Morgan Beck has lost a 'Charred Metal' #4984.
[14:58:26]	Morgan Beck has lost a 'Charred Metal' #4968.
[14:58:26]	Morgan Beck has gained a 'Scrap Metal' #4998.
[14:58:26]	Artyom Kuznetsov has gained 1 token.
[14:58:26]	Artyom Kuznetsov has gained 1 token.
[14:58:27]	Morgan Beck has lost a 'Charred Metal' #4934.
[14:58:27]	Morgan Beck has lost a 'Charred Metal' #4981.
[14:58:27]	Morgan Beck has gained a 'Scrap Metal' #4999.
[14:58:27]	[OOC] PFC Mitchell 'Lazzy' Lazarus: Nothing else.
[14:58:27]	Morgan Beck has lost a 'Charred Metal' #4977.
[14:58:27]	Morgan Beck has lost a 'Charred Metal' #4985.
[14:58:27]	Morgan Beck has gained a 'Scrap Metal' #5000.
[14:58:28]	Morgan Beck has lost a 'Charred Metal' #4969.
[14:58:28]	Morgan Beck has lost a 'Charred Metal' #4967.
[14:58:28]	Morgan Beck has gained a 'Scrap Metal' #5001.
[14:58:29]	Morgan Beck has lost a 'Scrap Metal' #5000.
[14:58:29]	Morgan Beck has lost a 'Scrap Metal' #5001.
[14:58:29]	Morgan Beck has lost a 'Scrap Metal' #4996.
[14:58:29]	Morgan Beck has gained a 'Reclaimed Metal' #5000.
[14:58:30]	Morgan Beck has lost a 'Scrap Metal' #4998.
[14:58:30]	Morgan Beck has lost a 'Scrap Metal' #4999.
[14:58:30]	Morgan Beck has lost a 'Scrap Metal' #4997.
[14:58:30]	Morgan Beck has gained a 'Reclaimed Metal' #5001.
[14:58:30]	Artyom Kuznetsov used the 'Work Cycle Supply' vendor.
[14:58:32]	Artyom Kuznetsov has gained 0 tokens.
[14:58:32]	Artyom Kuznetsov has gained a 'Scrap Electronics' #5002.
[14:58:32]	Artyom Kuznetsov has gained 0 tokens.
[14:58:32]	Artyom Kuznetsov has gained a 'Scrap Electronics' #5003.
[14:58:33]	Artyom Kuznetsov has gained 0 tokens.
[14:58:33]	Artyom Kuznetsov has gained a 'Scrap Electronics' #5004.
[14:58:33]	Artyom Kuznetsov has gained 0 tokens.
[14:58:33]	Artyom Kuznetsov has gained a 'Scrap Electronics' #5005.
[14:58:34]	Artyom Kuznetsov has gained 0 tokens.
[14:58:34]	Artyom Kuznetsov has gained a 'Scrap Electronics' #5006.
[14:58:34]	Artyom Kuznetsov has gained 0 tokens.
[14:58:34]	Artyom Kuznetsov has gained a 'Scrap Electronics' #5007.
[14:58:35]	Artyom Kuznetsov has gained 0 tokens.
[14:58:35]	Artyom Kuznetsov has gained a 'Scrap Electronics' #5008.
[14:58:35]	Artyom Kuznetsov has gained 0 tokens.
[14:58:35]	Artyom Kuznetsov has gained a 'Scrap Electronics' #5009.
[14:58:35]	Morgan Beck used the 'Work Cycle Supply' vendor.
[14:58:35]	Artyom Kuznetsov has gained 0 tokens.
[14:58:35]	Artyom Kuznetsov has gained a 'Scrap Electronics' #5010.
[14:58:37]	Morgan Beck has gained 0 tokens.
[14:58:37]	Morgan Beck has gained a 'Charred Metal' #5011.
[14:58:37]	Boz Hendricks used the 'Work Cycle Supply' vendor.
[14:58:38]	Morgan Beck has gained 0 tokens.
[14:58:38]	Morgan Beck has gained a 'Charred Metal' #5012.
[14:58:38]	[OOC] Lee Maylor: crouch altwalk
[14:58:38]	Morgan Beck has gained 0 tokens.
[14:58:38]	Morgan Beck has gained a 'Charred Metal' #5013.
[14:58:39]	Morgan Beck has gained 0 tokens.
[14:58:39]	Morgan Beck has gained a 'Charred Metal' #5014.
[14:58:39]	Morgan Beck has gained 0 tokens.
[14:58:39]	Morgan Beck has gained a 'Charred Metal' #5015.
[14:58:39]	Boz Hendricks has gained 0 tokens.
[14:58:39]	Boz Hendricks has gained a 'Charred Metal' #5016.
[14:58:40]	Morgan Beck has gained 0 tokens.
[14:58:40]	Morgan Beck has gained a 'Charred Metal' #5017.
[14:58:40]	Morgan Beck has gained 0 tokens.
[14:58:40]	Morgan Beck has gained a 'Charred Metal' #5018.
[14:58:40]	Artyom Kuznetsov has lost a 'Scrap Electronics' #5010.
[14:58:40]	Artyom Kuznetsov has lost a 'Scrap Electronics' #5007.
[14:58:40]	Artyom Kuznetsov has lost a 'Scrap Electronics' #5008.
[14:58:40]	Artyom Kuznetsov has gained a 'Refined Electronics' #5019.
[14:58:40]	Boz Hendricks has gained 0 tokens.
[14:58:40]	Boz Hendricks has gained a 'Charred Metal' #5020.
[14:58:40]	Artyom Kuznetsov has lost a 'Scrap Electronics' #5004.
[14:58:40]	Artyom Kuznetsov has lost a 'Scrap Electronics' #5003.
[14:58:40]	Artyom Kuznetsov has lost a 'Scrap Electronics' #5005.
[14:58:40]	Artyom Kuznetsov has gained a 'Refined Electronics' #5021.
[14:58:40]	Artyom Kuznetsov has lost a 'Scrap Electronics' #5009.
[14:58:40]	Artyom Kuznetsov has lost a 'Scrap Electronics' #5002.
[14:58:40]	Artyom Kuznetsov has lost a 'Scrap Electronics' #5006.
[14:58:40]	Artyom Kuznetsov has gained a 'Refined Electronics' #5022.
[14:58:40]	Morgan Beck has gained 0 tokens.
[14:58:40]	Morgan Beck has gained a 'Charred Metal' #5023.
[14:58:41]	Boz Hendricks has gained 0 tokens.
[14:58:41]	Boz Hendricks has gained a 'Charred Metal' #5024.
[14:58:41]	Morgan Beck has gained 0 tokens.
[14:58:41]	Morgan Beck has gained a 'Charred Metal' #5025.
[14:58:41]	Boz Hendricks has gained 0 tokens.
[14:58:41]	Boz Hendricks has gained a 'Charred Metal' #5026.
[14:58:41]	Morgan Beck has gained 0 tokens.
[14:58:41]	Morgan Beck has gained a 'Charred Metal' #5027.
[14:58:42]	Boz Hendricks has gained 0 tokens.
[14:58:42]	Boz Hendricks has gained a 'Charred Metal' #5028.
[14:58:42]	Morgan Beck has gained 0 tokens.
[14:58:42]	Morgan Beck has gained a 'Charred Metal' #5029.
[14:58:42]	Boz Hendricks has gained 0 tokens.
[14:58:42]	Boz Hendricks has gained a 'Charred Metal' #5030.
[14:58:42]	Morgan Beck has gained 0 tokens.
[14:58:42]	Morgan Beck has gained a 'Charred Metal' #5031.
[14:58:42]	Boz Hendricks has gained 0 tokens.
[14:58:42]	Boz Hendricks has gained a 'Charred Metal' #5032.
[14:58:43]	Boz Hendricks has gained 0 tokens.
[14:58:43]	Boz Hendricks has gained a 'Charred Metal' #5033.
[14:58:43]	[Y] CCA.C17-GRID.i1.59212: <:: Alright. ::>
[14:58:43]	Boz Hendricks has gained 0 tokens.
[14:58:43]	Boz Hendricks has gained a 'Charred Metal' #5034.
[14:58:43]	Artyom Kuznetsov used the 'Output Return' vendor.
[14:58:45]	Artyom Kuznetsov has gained 1 token.
[14:58:45]	Artyom Kuznetsov has gained 1 token.
[14:58:46]	Artyom Kuznetsov has gained 1 token.
[14:58:47]	[Y] CCA.C17-GRID.i1.59212: <:: Everyone on the fence. ::>
[14:58:49]	Lee Maylor ran 'drop' on item 'Resin' (#4815)
[14:58:49]	Lee Maylor has lost a 'Resin' #4815.
[14:58:51]	Morgan Beck has lost a 'Charred Metal' #5031.
[14:58:51]	Morgan Beck has lost a 'Charred Metal' #5017.
[14:58:51]	Morgan Beck has gained a 'Scrap Metal' #5035.
[14:58:51]	Morgan Beck has lost a 'Charred Metal' #5027.
[14:58:51]	Morgan Beck has lost a 'Charred Metal' #5013.
[14:58:51]	Morgan Beck has gained a 'Scrap Metal' #5036.
[14:58:51]	Morgan Beck has lost a 'Charred Metal' #5025.
[14:58:51]	Morgan Beck has lost a 'Charred Metal' #5015.
[14:58:51]	Morgan Beck has gained a 'Scrap Metal' #5037.
[14:58:52]	Morgan Beck has lost a 'Charred Metal' #5011.
[14:58:52]	Morgan Beck has lost a 'Charred Metal' #5018.
[14:58:52]	Morgan Beck has gained a 'Scrap Metal' #5038.
[14:58:52]	Morgan Beck has lost a 'Charred Metal' #5023.
[14:58:52]	Morgan Beck has lost a 'Charred Metal' #5014.
[14:58:52]	Morgan Beck has gained a 'Scrap Metal' #5039.
[14:58:53]	Boz Hendricks has lost a 'Charred Metal' #5026.
[14:58:53]	Boz Hendricks has lost a 'Charred Metal' #5016.
[14:58:53]	Boz Hendricks has gained a 'Scrap Metal' #5040.
[14:58:53]	Boz Hendricks has lost a 'Charred Metal' #5034.
[14:58:53]	Boz Hendricks has lost a 'Charred Metal' #5020.
[14:58:53]	Boz Hendricks has gained a 'Scrap Metal' #5041.
[14:58:53]	Boz Hendricks has lost a 'Charred Metal' #5033.
[14:58:53]	Boz Hendricks has lost a 'Charred Metal' #5032.
[14:58:53]	Boz Hendricks has gained a 'Scrap Metal' #5042.
[14:58:53]	Morgan Beck has lost a 'Charred Metal' #5012.
[14:58:53]	Morgan Beck has lost a 'Charred Metal' #4975.
[14:58:53]	Morgan Beck has gained a 'Scrap Metal' #5043.
[14:58:55]	Morgan Beck has lost a 'Scrap Metal' #5043.
[14:58:55]	Morgan Beck has lost a 'Scrap Metal' #5039.
[14:58:55]	Morgan Beck has lost a 'Scrap Metal' #5036.
[14:58:55]	Morgan Beck has gained a 'Reclaimed Metal' #5043.
[14:58:55]	Boz Hendricks has lost a 'Charred Metal' #5028.
[14:58:55]	Boz Hendricks has lost a 'Charred Metal' #5024.
[14:58:55]	Boz Hendricks has gained a 'Scrap Metal' #5044.
[14:58:55]	Morgan Beck has lost a 'Scrap Metal' #5038.
[14:58:55]	Morgan Beck has lost a 'Scrap Metal' #5035.
[14:58:55]	Morgan Beck has lost a 'Scrap Metal' #5037.
[14:58:55]	Morgan Beck has gained a 'Reclaimed Metal' #5045.
[14:58:56]	Boz Hendricks has lost a 'Scrap Metal' #5040.
[14:58:56]	Boz Hendricks has lost a 'Scrap Metal' #5044.
[14:58:56]	Boz Hendricks has lost a 'Scrap Metal' #5041.
[14:58:56]	Boz Hendricks has gained a 'Reclaimed Metal' #5046.
[14:58:56]	Morgan Beck has lost a 'Reclaimed Metal' #5045.
[14:58:56]	Morgan Beck has lost a 'Reclaimed Metal' #5001.
[14:58:56]	Morgan Beck has lost a 'Reclaimed Metal' #5000.
[14:58:56]	Morgan Beck has gained a 'Refined Metal' #5047.
[14:58:58]	Boz Hendricks has lost a 'Reclaimed Metal' #5046.
[14:58:58]	Boz Hendricks has lost a 'Reclaimed Metal' #4995.
[14:58:58]	Boz Hendricks has lost a 'Reclaimed Metal' #4994.
[14:58:58]	Boz Hendricks has gained a 'Refined Metal' #5048.
[14:58:59]	[OOC] CCA.C17-GRID.i5.41034: event soon?
[14:59:02]	[OOC] Lee Maylor: yews
[14:59:04]	[OOC] Lee Maylor: yems
[14:59:07]	[OOC] CCA.C17-GRID.i5.41034: how soon
[14:59:11]	Lee Maylor ran 'drop' on item 'Resin' (#4802)
[14:59:11]	Lee Maylor has lost a 'Resin' #4802.
[14:59:16]	[ME] Morgan Beck: puts his hands behind his back to make it easier for CCA folks.
[14:59:17]	Lee Maylor exited observer at their location.
[14:59:18]	Lee Maylor entered observer.
[14:59:25]	Lee Maylor has spawned 'models/hunter/plates/plate5x5.mdl'.
[14:59:27]	Lee Maylor has spawned 'models/hunter/plates/plate2x6.mdl'.
[14:59:29]	[OOC] CCA.C17-GRID.i1.59212: mmm i have no ties
[14:59:29]	Lee Maylor has spawned 'models/hunter/plates/plate4x4.mdl'.
[14:59:35]	[ME] Boz Hendricks: would place his hands on the fence afront him, spreading his legs slightly
[14:59:36]	[OOC] CCA.C17-GRID.i5.41034: mmmm i have ties
[14:59:36]	[OOC] Morgan Beck: what if i helped with that
[14:59:38]	Morgan Beck used command '/adminspawnmenu'.
[14:59:42]	[LOOC] CCA.C17-GRID.i5.41034: no
[14:59:42]	Morgan Beck has spawned "Zip Tie"
[14:59:42]	Morgan Beck has spawned "Zip Tie"
[15:00:00]	Lee Maylor has spawned 'models/hunter/plates/plate4x4.mdl'.
[15:00:14]	Lee Maylor exited observer at their location.
[15:00:15]	Lee Maylor entered observer.
[15:00:15]	Lee Maylor exited observer at their location.
[15:00:25]	[OOC] CCA.C17-GRID.i1.59212: smh my head
[15:00:26]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:27]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:28]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:29]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:29]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:30]	[OOC] CCA.C17-GRID.i1.59212: afking on a unit
[15:00:30]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:31]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:32]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:32]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:33]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:34]	[LOOC] Boz Hendricks: im choking
[15:00:34]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:35]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:35]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:36]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:37]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:38]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:38]	[LOOC] CCA.C17-GRID.i5.41034: LOL
[15:00:38]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:39]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:40]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:41]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:41]	PFC Mitchell 'Lazzy' Lazarus ran 'drop' on item 'Conscript Filter' (#1951)
[15:00:41]	PFC Mitchell 'Lazzy' Lazarus has lost a 'Conscript Filter' #1951.
[15:00:41]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:42]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:43]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:44]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:44]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:45]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:46]	Lee Maylor has gained a 'Flashlight' #5049.
[15:00:46]	Lee Maylor used command '/CharGiveItem lee flash'.
[15:00:46]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:46]	Morgan Beck ran 'drop' on item 'Citizen Filter' (#3189)
[15:00:46]	Morgan Beck has lost a 'Citizen Filter' #3189.
[15:00:47]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:47]	[LOOC] PFC Mitchell 'Lazzy' Lazarus: PUT THAT ON
[15:00:47]	[LOOC] Boz Hendricks: HEEEEEELP
[15:00:48]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:48]	Lee Maylor entered observer.
[15:00:48]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:49]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:49]	Boz Hendricks ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#3187)
[15:00:50]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:50]	[Y] Morgan Beck: Hey!
[15:00:51]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:51]	[LOOC] CCA.C17-GRID.i5.41034: hahaha
[15:00:51]	Boz Hendricks ran 'Equip' on item 'Cyclopic Citizen Suit' (#3187)
[15:00:51]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:52]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:53]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:53]	Boz Hendricks ran 'Equip' on item 'Cyclopic Citizen Suit' (#3187)
[15:00:54]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:54]	PFC Mitchell 'Lazzy' Lazarus ran 'take' on item 'Conscript Filter' (#1951)
[15:00:54]	PFC Mitchell 'Lazzy' Lazarus has gained a 'Conscript Filter' #1951.
[15:00:54]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:55]	Boz Hendricks ran 'Equip' on item 'Cyclopic Citizen Suit' (#3187)
[15:00:55]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:56]	Lee Maylor exited observer at their location.
[15:00:56]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:57]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:57]	CCA.C17-GRID.i5.41034 ran 'take' on item 'Citizen Filter' (#3189)
[15:00:57]	CCA.C17-GRID.i5.41034 has gained a 'Citizen Filter' #3189.
[15:00:57]	Boz Hendricks ran 'Equip' on item 'Cyclopic Citizen Suit' (#3187)
[15:00:57]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:58]	Boz Hendricks has taken 1 damage from worldspawn.
[15:00:59]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:00]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:00]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:01]	Lee Maylor entered observer.
[15:01:01]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:02]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:02]	[LOOC] Boz Hendricks: it dont let me put it back on
[15:01:02]	Lee Maylor exited observer at their location.
[15:01:03]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:03]	[LOOC] PFC Mitchell 'Lazzy' Lazarus: SUIT ON
[15:01:03]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:04]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:04]	[LOOC] Boz Hendricks: noooooooooooo
[15:01:05]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:06]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:06]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:07]	Boz Hendricks ran 'Equip' on item 'Cyclopic Citizen Suit' (#3187)
[15:01:07]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:08]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:08]	Boz Hendricks ran 'Equip' on item 'Cyclopic Citizen Suit' (#3187)
[15:01:09]	[OOC] CCA.C17-GRID.i1.59212: Q HE CANT PUT HIS SUIT ON
[15:01:09]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:10]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:10]	Boz Hendricks ran 'drop' on item 'Cyclopic Citizen Suit' (#3187)
[15:01:10]	Boz Hendricks has lost a 'Cyclopic Citizen Suit' #3187.
[15:01:10]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:11]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:11]	Boz Hendricks ran 'take' on item 'Cyclopic Citizen Suit' (#3187)
[15:01:11]	Boz Hendricks has gained a 'Cyclopic Citizen Suit' #3187.
[15:01:12]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:12]	[LOOC] Morgan Beck: well uh... R.I.P
[15:01:13]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:13]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:14]	Lee Maylor entered observer.
[15:01:14]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:15]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:16]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:16]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:17]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:18]	[LOOC] Boz Hendricks: it got 0 minutes ont it
[15:01:18]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:19]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:19]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:20]	Boz Hendricks ran 'drop' on item 'Cyclopic Citizen Suit' (#3187)
[15:01:20]	Boz Hendricks has lost a 'Cyclopic Citizen Suit' #3187.
[15:01:20]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:21]	[LOOC] Morgan Beck: time to choke because I have four minutes
[15:01:21]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:22]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:22]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:23]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:24]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:25]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:25]	[LOOC] CCA.C17-GRID.i1.59212: LOAD THE FILTER
[15:01:25]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:26]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:27]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:28]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:28]	[OOC] Lee Maylor: what
[15:01:28]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:29]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:30]	[LOOC] Boz Hendricks: I have no filters
[15:01:30]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:31]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:31]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[15:01:31]	CCA.C17-GRID.i5.41034 has gained 10 tokens.
[15:01:31]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:32]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:33]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:34]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:34]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:35]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:36]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:36]	[LOOC] Morgan Beck: i just gave you one IC.
[15:01:37]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:37]	[OOC] Lee Maylor: how ocme
[15:01:38]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:38]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:39]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:40]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:41]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:41]	Boz Hendricks has taken 1 damage from worldspawn.
[15:01:41]	worldspawn has killed Boz Hendricks.
[15:01:45]	Lee Maylor exited observer at their location.
[15:01:47]	[LOOC] Morgan Beck: who the fuck took my filter then.
[15:01:48]	[LOOC] CCA.C17-GRID.i5.41034: what the fuck
[15:01:50]	[OOC] PFC Mitchell 'Lazzy' Lazarus: Well uh
[15:01:55]	[OOC] Boz Hendricks: lol
[15:01:56]	[LOOC] PFC Mitchell 'Lazzy' Lazarus: It was the GRID i5
[15:02:05]	CCA.C17-GRID.i5.41034 ran 'Use' on item 'Zip Tie' (#4793)
[15:02:07]	Lee Maylor entered observer.
[15:02:08]	[ME] CCA.C17-GRID.i5.41034: ties the man
[15:02:10]	[LOOC] Morgan Beck: b  r u h
[15:02:13]	Lee Maylor exited observer at their location.
[15:02:14]	[OOC] CCA.C17-GRID.i1.59212: ollie tp him back pls
[15:02:15]	Lee Maylor entered observer.
[15:02:16]	CCA.C17-GRID.i5.41034 used command '/CharSearch'.
[15:02:16]	[OOC] PFC Mitchell 'Lazzy' Lazarus: TP him back and gib filters to him
[15:02:17]	Lee Maylor has spawned 'models/hunter/plates/plate5x5.mdl'.
[15:02:28]	CCA.C17-GRID.i5.41034 has gained a 'Refined Metal' #5047.
[15:02:30]	CCA.C17-GRID.i5.41034 has gained a 'Reclaimed Metal' #5043.
[15:02:30]	Morgan Beck entered observer.
[15:02:31]	CCA.C17-GRID.i5.41034 has gained a 'Refined Metal' #4961.
[15:02:32]	CCA.C17-GRID.i5.41034 has gained a 'Blacksmith Tongs' #4888.
[15:02:34]	CCA.C17-GRID.i5.41034 has gained a 'Charred Metal' #5029.
[15:02:34]	Lee Maylor exited observer at their location.
[15:02:34]	Lee Maylor entered observer.
[15:02:35]	Lee Maylor exited observer at their location.
[15:02:36]	Morgan Beck exited observer at their location.
[15:02:37]	Morgan Beck entered observer.
[15:02:38]	Morgan Beck exited observer at their location.
[15:02:39]	Boz Hendricks ran 'take' on item 'Cyclopic Citizen Suit' (#3187)
[15:02:39]	Boz Hendricks has gained a 'Cyclopic Citizen Suit' #3187.
[15:02:42]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:43]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:44]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:44]	Lee Maylor entered observer.
[15:02:44]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:45]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:46]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:47]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:47]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:48]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:49]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:50]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:50]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:51]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:52]	[ME] CCA.C17-GRID.i5.41034: confiscates the workshift materials
[15:02:52]	Morgan Beck used command '/adminspawnmenu'.
[15:02:52]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:53]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:53]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:54]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:55]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:56]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:56]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:57]	[LOOC] Boz Hendricks: I die now
[15:02:57]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:58]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:59]	Boz Hendricks has taken 1 damage from worldspawn.
[15:02:59]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:00]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:01]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:02]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:03]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:03]	[LOOC] Morgan Beck: WAIT A FUCKING SECOND IM TRYING TO SPAWN A FILTER
[15:03:03]	Morgan Beck used command '/adminspawnmenu'.
[15:03:03]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:04]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:05]	[LOOC] CCA.C17-GRID.i1.59212: PUT THE SUIT OIN\
[15:03:05]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:06]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:06]	[OOC] Lee Maylor: why can't he put on his suit
[15:03:06]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:07]	[LOOC] Boz Hendricks: lmao
[15:03:07]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:08]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:09]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:09]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:10]	[LOOC] Boz Hendricks: I cant
[15:03:10]	[OOC] CCA.C17-GRID.i1.59212: OLLIE PLACE DOWN A VENT
[15:03:10]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:11]	Boz Hendricks has taken 1 damage from worldspawn.
[15:03:11]	Lee Maylor used command '/PlySearch'.
[15:03:12]	Boz Hendricks ran 'Equip' on item 'Cyclopic Citizen Suit' (#3187)
