[10:11:19]	LynxQueen has connected.
[12:29:33]	Ethan King closed the '' #1849 container.
[12:29:35]	Sybil Rose entered observer.
[12:29:45]	Merissa 'Scout' Myers opened the '' #1846 container.
[12:29:47]	Merissa 'Scout' Myers closed the '' #1846 container.
[12:29:50]	Merissa 'Scout' Myers opened the '' #1849 container.
[12:29:51]	Merissa 'Scout' Myers closed the '' #1849 container.
[12:30:06]	Merissa 'Scout' Myers opened the '' #1850 container.
[12:30:11]	Merissa 'Scout' Myers closed the '' #1850 container.
[12:30:26]	[LOOC] Merissa 'Scout' Myers: Somebody might be breaking in without IC knowledge and stealing them.
[12:30:31]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[12:30:36]	[ME] Ethan King: Drops down a large Laptop onto to the table.
[12:30:38]	[LOOC] Jim 'Watcher 3' Bostello: wouldnt be too far of a stretch
[12:30:39]	Ethan King ran 'drop' on item 'Reinforced Laptop' (#16591)
[12:30:39]	Ethan King has lost a 'Reinforced Laptop' #16591.
[12:30:57]	CCA.C08-GRID.i1.23710 has spawned a 'Entity [1314][ix_combinelock]'.
[12:31:12]	CCA.C08-GRID.i1.23710 used command '/adminspawnmenu'.
[12:31:33]	CCA.C08-GRID.i1.23710 has spawned "Civil Protection Functionary Grade Ration"
[12:31:34]	CCA.C08-GRID.i1.23710 has spawned "Civil Protection Functionary Grade Ration"
[12:31:35]	CCA.C08-GRID.i1.23710 has spawned "Civil Protection Functionary Grade Ration"
[12:31:35]	CCA.C08-GRID.i1.23710 has spawned "Civil Protection Functionary Grade Ration"
[12:31:35]	CCA.C08-GRID.i1.23710 has spawned "Civil Protection Functionary Grade Ration"
[12:31:48]	CCA.C08-GRID.i1.23710 used command '/adminspawnmenu'.
[12:31:54]	CCA.C08-GRID.i1.23710 has spawned "Civil Protection Functionary Grade Ration"
[12:31:55]	CCA.C08-GRID.i1.23710 has spawned "Civil Protection Functionary Grade Ration"
[12:31:56]	CCA.C08-GRID.i1.23710 has spawned "Civil Protection Functionary Grade Ration"
[12:31:57]	CCA.C08-GRID.i1.23710 has spawned "Civil Protection Functionary Grade Ration"
[12:31:58]	CCA.C08-GRID.i1.23710 has spawned "Civil Protection Functionary Grade Ration"
[12:31:58]	CCA.C08-GRID.i1.23710 has spawned "Civil Protection Functionary Grade Ration"
[12:32:00]	[LOOC] Jim 'Watcher 3' Bostello: no use, i got into it yesterday, it isnt finished theres absolutely nothing in it except random props
[12:32:23]	[LOOC] Merissa 'Scout' Myers: You can search most of those props via lootrp
[12:32:32]	[LOOC] Merissa 'Scout' Myers: Which I can host 
[12:32:38]	[LOOC] Jim 'Watcher 3' Bostello: you want to search infestation props..?
[12:32:46]	[LOOC] Merissa 'Scout' Myers: There's an APC and a chopper
[12:33:05]	[LOOC] Jim 'Watcher 3' Bostello: realistically you wouldnt be able to get in the chopper anyways
[12:33:21]	Odin loaded the character 'Uriel Akkad'
[12:33:33]	Merissa 'Scout' Myers entered observer.
[12:33:35]	Merissa 'Scout' Myers exited observer at their location.
[12:34:18]	[ME] Uriel Akkad: *Tunes all his Padlocks to a Familiar Code, tired of having to utilize 8 codes just to unlock his Storage, grabbing the Padlocks and filing them.*
[12:34:25]	Uriel Akkad has set the password for ''.
[12:34:29]	Uriel Akkad has set the password for ''.
[12:34:32]	Uriel Akkad has set the password for ''.
[12:34:37]	Uriel Akkad has set the password for ''.
[12:34:41]	Uriel Akkad has set the password for ''.
[12:34:45]	Uriel Akkad has set the password for ''.
[12:34:50]	Uriel Akkad has set the password for ''.
[12:34:54]	Uriel Akkad has set the password for ''.
[12:35:02]	Uriel Akkad has set the password for ''.
[12:35:03]	[LOOC] Ethan King: Back, what was happpening.
[12:35:04]	[LOOC] Ethan King: Wha
[12:35:05]	Uriel Akkad has set the password for ''.
[12:35:08]	Uriel Akkad has set the password for ''.
[12:35:11]	[LOOC] Jim 'Watcher 3' Bostello: read the chat dunce
[12:35:13]	Uriel Akkad has set the password for ''.
[12:35:15]	Uriel Akkad has set the password for ''.
[12:35:16]	[LOOC] Ethan King: Fuck off
[12:35:17]	Uriel Akkad has set the password for ''.
[12:35:20]	[LOOC] Jim 'Watcher 3' Bostello: </3
[12:35:24]	[LOOC] Merissa 'Scout' Myers: angwy
[12:35:24]	Uriel Akkad opened the '' #1698 container.
[12:35:25]	Uriel Akkad closed the '' #1698 container.
[12:35:26]	Uriel Akkad opened the '' #1674 container.
[12:35:26]	Uriel Akkad closed the '' #1674 container.
[12:35:27]	Uriel Akkad opened the '' #1675 container.
[12:35:27]	Uriel Akkad closed the '' #1675 container.
[12:35:29]	Uriel Akkad opened the '' #1695 container.
[12:35:29]	Uriel Akkad closed the '' #1695 container.
[12:35:29]	Uriel Akkad opened the '' #1674 container.
[12:35:30]	Uriel Akkad closed the '' #1674 container.
[12:35:31]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[12:35:32]	Uriel Akkad opened the '' #1676 container.
[12:35:32]	Uriel Akkad closed the '' #1676 container.
[12:35:33]	Uriel Akkad opened the '' #1697 container.
[12:35:33]	Uriel Akkad closed the '' #1697 container.
[12:35:35]	Uriel Akkad opened the '' #1673 container.
[12:35:35]	Uriel Akkad closed the '' #1673 container.
[12:35:36]	Uriel Akkad opened the '' #1796 container.
[12:35:37]	Uriel Akkad closed the '' #1796 container.
[12:35:37]	Uriel Akkad opened the '' #1803 container.
[12:35:38]	Uriel Akkad closed the '' #1803 container.
[12:35:39]	Uriel Akkad opened the '' #1802 container.
[12:35:39]	Uriel Akkad closed the '' #1802 container.
[12:35:40]	[OOC] Jim 'Watcher 3' Bostello: with a description like 'looks are remarkable' I should put 'devilishly handsome' in mine
[12:35:46]	Uriel Akkad opened the '' #1802 container.
[12:35:53]	Uriel Akkad closed the '' #1802 container.
[12:35:58]	[OOC] Uriel Akkad: "has phat nuts"
[12:36:08]	Uriel Akkad used command '/adminspawnmenu'.
[12:36:10]	CCA.C08-GRID.i1.23710 used command '/PlyWhitelist grid alien'.
[12:36:22]	DRD loaded the character 'Grasshopper'
[12:36:24]	Grasshopper entered observer.
[12:36:25]	[OOC] Jim 'Watcher 3' Bostello: every CW description; 6'4" | Devilishly Handsome | Hate Combine
[12:36:44]	[OOC] Grasshopper: my description is the best tho
[12:36:49]	Grasshopper used command '/CharDesc'.
[12:36:54]	[OOC] Grasshopper: Overgrown grasshopper | President of France | US Navy Admiral | Secretly Aslan from Narnia
[12:36:54]	[OOC] Uriel Akkad: 7'3" | Phat Nutz | Crosseyed.
[12:37:11]	[OOC] Uriel Akkad: Time to finally build my t h i n g 
[12:37:57]	Uriel Akkad ran 'drop' on item '6-STEN Military Battery' (#14830)
[12:37:57]	Uriel Akkad has lost a '6-STEN Military Battery' #14830.
[12:38:05]	Uriel Akkad has spawned 'models/illusion/eftcontainers/militarybattery.mdl'.
[12:38:12]	Uriel Akkad ran 'take' on item '6-STEN Military Battery' (#14830)
[12:38:12]	Uriel Akkad has gained a '6-STEN Military Battery' #14830.
[12:38:56]	Uriel Akkad has spawned 'models/props/de_inferno/tablecoffee.mdl'.
[12:39:06]	Uriel Akkad has spawned 'models/props/cs_militia/table_kitchen.mdl'.
[12:39:09]	Grasshopper ran 'Frequency' on item 'Hybrid Radio' (#19405)
[12:39:10]	Grasshopper used command '/SetFreq 329.01'.
[12:39:23]	Uriel Akkad has spawned 'models/props/cs_militia/table_kitchen.mdl'.
[12:40:19]	Uriel Akkad has spawned 'models/props/cs_militia/table_kitchen.mdl'.
[12:40:51]	Merissa 'Scout' Myers ran 'Activate' on item 'Hybrid Radio' (#13992)
[12:40:53]	[OOC] Jim 'Watcher 3' Bostello: gonna ever be a BMD?
[12:40:53]	[ME] Uriel Akkad: *Sets out the Following Items to Consctruct an Electric Generator.*
[12:40:57]	Ethan King ran 'Frequency' on item 'Hybrid Radio' (#10648)
[12:41:01]	Ethan King used command '/SetFreq 124.6'.
[12:41:01]	Jim 'Watcher 3' Bostello ran 'Frequency' on item 'Hybrid Radio' (#14038)
[12:41:04]	Jim 'Watcher 3' Bostello used command '/SetFreq 124.6'.
[12:41:12]	Ethan King ran 'Frequency' on item 'Hybrid Radio' (#10648)
[12:41:16]	Ethan King used command '/SetFreq 145.4'.
[12:41:41]	[OOC] Merissa 'Scout' Myers: snow?
[12:42:06]	[Y] Merissa 'Scout' Myers: IT'S FUCKING SNOWING WHAT THE HELL!
[12:42:11]	Merissa 'Scout' Myers entered observer.
[12:42:26]	Grasshopper exited observer at their location.
[12:42:28]	Grasshopper entered observer.
[12:42:34]	Merissa 'Scout' Myers exited observer at their location.
[12:42:35]	[ME] Uriel Akkad: *Motor Controller (1) , Military Circuit Board (2) , Cables (1) , Insulating Tape (1) , Car Battery (1) , Broken Hard Drive (1) , Electric Motor (1) ,  Screwdriver (1) , Set of CWU Tools (1)*
[12:42:38]	Grasshopper exited observer at their location.
[12:42:38]	Grasshopper entered observer.
[12:42:40]	Uriel Akkad ran 'drop' on item 'Motor Controller' (#14570)
[12:42:40]	Uriel Akkad has lost a 'Motor Controller' #14570.
[12:42:41]	Uriel Akkad ran 'drop' on item 'Military Circuit Board' (#15176)
[12:42:41]	Uriel Akkad has lost a 'Military Circuit Board' #15176.
[12:42:41]	Uriel Akkad ran 'drop' on item 'Military Circuit Board' (#16498)
[12:42:41]	Uriel Akkad has lost a 'Military Circuit Board' #16498.
[12:42:42]	Uriel Akkad ran 'drop' on item 'Insulating Tape' (#14826)
[12:42:42]	Uriel Akkad has lost a 'Insulating Tape' #14826.
[12:42:43]	Uriel Akkad ran 'drop' on item 'Cables' (#17358)
[12:42:43]	Uriel Akkad has lost a 'Cables' #17358.
[12:42:44]	Uriel Akkad ran 'drop' on item 'Car Battery' (#10650)
[12:42:44]	Uriel Akkad has lost a 'Car Battery' #10650.
[12:42:45]	Uriel Akkad ran 'drop' on item 'Electric Motor' (#14999)
[12:42:45]	Uriel Akkad has lost a 'Electric Motor' #14999.
[12:42:46]	Uriel Akkad ran 'drop' on item 'Broken Hard Drive' (#14841)
[12:42:46]	Uriel Akkad has lost a 'Broken Hard Drive' #14841.
[12:42:46]	Merissa 'Scout' Myers entered observer.
[12:42:46]	Uriel Akkad ran 'drop' on item '6-STEN Military Battery' (#14830)
[12:42:46]	Uriel Akkad has lost a '6-STEN Military Battery' #14830.
[12:42:47]	Grasshopper exited observer at their location.
[12:42:47]	Grasshopper entered observer.
[12:42:48]	Grasshopper exited observer at their location.
[12:42:48]	Merissa 'Scout' Myers exited observer at their location.
[12:42:52]	Grasshopper entered observer.
[12:42:55]	Grasshopper exited observer at their location.
[12:42:55]	Grasshopper entered observer.
[12:43:15]	Uriel Akkad has spawned 'models/illusion/eftcontainers/controller.mdl'.
[12:43:19]	Ethan King ran 'take' on item 'Reinforced Laptop' (#16591)
[12:43:19]	Ethan King has gained a 'Reinforced Laptop' #16591.
[12:43:42]	Merissa 'Scout' Myers entered observer.
[12:43:45]	Uriel Akkad has spawned 'models/illusion/eftcontainers/militarybattery.mdl'.
[12:43:45]	Merissa 'Scout' Myers exited observer at their location.
[12:43:53]	Uriel Akkad entered observer.
[12:43:53]	Uriel Akkad exited observer.
[12:44:17]	[OOC] Merissa 'Scout' Myers: The snow is actually very pretty
[12:44:21]	Merissa 'Scout' Myers ran 'EquipUn' on item 'Respirator' (#19395)
[12:44:22]	Merissa 'Scout' Myers ran 'Equip' on item 'Green Citizen Suit' (#13037)
[12:44:27]	[ME] Uriel Akkad: *Grabs out a Power Cable as well from one of his Crates.*
[12:44:27]	Uriel Akkad opened the '' #1675 container.
[12:44:29]	[OOC] Jim 'Watcher 3' Bostello: i dont see any snow
[12:44:29]	Uriel Akkad ran 'drop' on item 'Powercord' (#15121)
[12:44:31]	Uriel Akkad closed the '' #1675 container.
[12:44:34]	Uriel Akkad destroyed a 'Powercord' #15121.
[12:44:34]	Merissa 'Scout' Myers ran 'take' on item 'Grenade Body Die Cast' (#20276)
[12:44:34]	Merissa 'Scout' Myers has gained a 'Grenade Body Die Cast' #20276.
[12:44:37]	Uriel Akkad has spawned 'models/illusion/eftcontainers/powercord.mdl'.
[12:44:49]	Merissa 'Scout' Myers entered observer.
[12:44:53]	Uriel Akkad entered observer.
[12:44:56]	Uriel Akkad exited observer.
[12:45:04]	Uriel Akkad entered observer.
[12:45:10]	Uriel Akkad exited observer.
[12:45:18]	Uriel Akkad entered observer.
[12:45:22]	Uriel Akkad exited observer.
[12:45:30]	[LOOC] Ethan King: If you haven't noticed, I suck at giving orders.
[12:45:33]	Uriel Akkad entered observer.
[12:45:40]	Merissa 'Scout' Myers exited observer at their location.
[12:45:42]	Merissa 'Scout' Myers entered observer.
[12:45:43]	[LOOC] Jim 'Watcher 3' Bostello: oh yeah, i know
[12:45:51]	Merissa 'Scout' Myers exited observer at their location.
[12:45:52]	Merissa 'Scout' Myers entered observer.
[12:45:52]	Merissa 'Scout' Myers exited observer at their location.
[12:45:53]	Merissa 'Scout' Myers opened the '' #1333 container.
[12:45:54]	Uriel Akkad exited observer.
[12:45:55]	Merissa 'Scout' Myers closed the '' #1333 container.
[12:46:01]	Uriel Akkad has spawned 'models/illusion/eftcontainers/wires.mdl'.
[12:46:07]	Merissa 'Scout' Myers entered observer.
[12:46:14]	Merissa 'Scout' Myers exited observer at their location.
[12:46:26]	Uriel Akkad has spawned 'models/illusion/eftcontainers/engine.mdl'.
[12:46:26]	[OOC] Ethan King: brb for a bit.
[12:46:27]	Enrique 'Franco' Gonzalez used command '/CharDesc A man standing at 6'3, this man would have fluffy black hair underneath his beanie and a light scruffy beard, he has mystical tribal tattoos all over both of his arms, masked beneath his clothing. He wears a black vest on his person, along with a grey long sleeve jacket. He would also be  wearing grey pants and black combat boots.'.
[12:46:47]	LynxQueen (STEAM_0:1:70540942) has disconnected.
[12:47:06]	Jim 'Watcher 3' Bostello has taken 1 damage from worldspawn.
[12:47:07]	Jim 'Watcher 3' Bostello has taken 1 damage from worldspawn.
[12:47:08]	Jim 'Watcher 3' Bostello has taken 1 damage from worldspawn.
[12:47:09]	Jim 'Watcher 3' Bostello has taken 1 damage from worldspawn.
[12:47:09]	Jim 'Watcher 3' Bostello has taken 1 damage from worldspawn.
[12:47:10]	Jim 'Watcher 3' Bostello has taken 1 damage from worldspawn.
[12:47:11]	Jim 'Watcher 3' Bostello has taken 1 damage from worldspawn.
[12:47:11]	Jim 'Watcher 3' Bostello ran 'equip' on item 'Citizen Filter' (#20251)
[12:47:24]	Uriel Akkad has spawned 'models/illusion/eftcontainers/lcdclean.mdl'.
[12:47:40]	Grasshopper exited observer at their location.
[12:47:42]	Grasshopper entered observer.
[12:47:53]	Grasshopper exited observer at their location.
[12:47:54]	Grasshopper entered observer.
[12:47:54]	Grasshopper exited observer at their location.
[12:47:54]	Grasshopper entered observer.
[12:47:55]	Grasshopper exited observer at their location.
[12:47:55]	Grasshopper entered observer.
[12:47:59]	Grasshopper exited observer at their location.
[12:47:59]	Grasshopper entered observer.
[12:48:00]	Grasshopper exited observer at their location.
[12:48:00]	Grasshopper entered observer.
[12:48:00]	Grasshopper exited observer at their location.
[12:48:01]	Uriel Akkad has spawned 'models/illusion/eftcontainers/militaryboard.mdl'.
[12:48:01]	Grasshopper entered observer.
[12:48:02]	Grasshopper exited observer at their location.
[12:48:02]	Grasshopper entered observer.
[12:48:03]	Grasshopper exited observer at their location.
[12:48:05]	Grasshopper entered observer.
[12:48:15]	Grasshopper exited observer at their location.
[12:48:21]	[Y] Jim 'Watcher 3' Bostello: Uriel, I need your assistance.
[12:48:23]	Grasshopper entered observer.
[12:48:26]	[Y] Uriel Akkad: Not now.
[12:48:35]	Uriel Akkad has spawned 'models/illusion/eftcontainers/weaponparts.mdl'.
[12:48:45]	[Y] Jim 'Watcher 3' Bostello: What are you doing that is *that* important, I need some shells, I'll pay you handsomely.
[12:48:55]	[Y] Uriel Akkad: ...I don't have a Die Cast?
[12:49:02]	[Y] Jim 'Watcher 3' Bostello: What happened to it?
[12:49:14]	[Y] Uriel Akkad: I never *had* one, your base has one for shells, I just have Gunpowder.
[12:49:31]	[Y] Jim 'Watcher 3' Bostello: Well then, I'll be back.
[12:49:34]	[Y] Uriel Akkad: Alright.
[12:49:44]	Uriel Akkad has spawned 'models/illusion/eftcontainers/pressuregauge.mdl'.
[12:50:01]	Uriel Akkad entered observer.
[12:50:11]	Uriel Akkad exited observer.
[12:50:20]	Uriel Akkad has spawned 'models/illusion/eftcontainers/capacitors.mdl'.
[12:50:28]	Jim 'Watcher 3' Bostello opened the '' #1848 container.
[12:50:28]	Jim 'Watcher 3' Bostello closed the '' #1848 container.
[12:50:33]	Jim 'Watcher 3' Bostello opened the '' #1847 container.
[12:50:36]	Jim 'Watcher 3' Bostello closed the '' #1847 container.
[12:50:36]	Grasshopper exited observer at their location.
[12:50:36]	Jim 'Watcher 3' Bostello opened the '' #1848 container.
[12:50:36]	Uriel Akkad has spawned 'models/illusion/eftcontainers/powerbank.mdl'.
[12:50:37]	Grasshopper entered observer.
[12:50:38]	Jim 'Watcher 3' Bostello closed the '' #1848 container.
[12:50:39]	Jim 'Watcher 3' Bostello opened the '' #1850 container.
[12:50:40]	Grasshopper exited observer at their location.
[12:50:41]	Uriel Akkad entered observer.
[12:50:41]	Jim 'Watcher 3' Bostello closed the '' #1850 container.
[12:50:42]	Grasshopper entered observer.
[12:50:42]	Jim 'Watcher 3' Bostello opened the '' #1849 container.
[12:50:43]	Grasshopper exited observer at their location.
[12:50:43]	Grasshopper entered observer.
[12:50:44]	Grasshopper exited observer at their location.
[12:50:44]	Grasshopper entered observer.
[12:50:47]	Jim 'Watcher 3' Bostello closed the '' #1849 container.
[12:50:47]	Jim 'Watcher 3' Bostello opened the '' #1846 container.
[12:50:50]	Jim 'Watcher 3' Bostello closed the '' #1846 container.
[12:50:58]	Jim 'Watcher 3' Bostello opened the '' #1848 container.
[12:51:00]	Jim 'Watcher 3' Bostello closed the '' #1848 container.
[12:51:01]	Jim 'Watcher 3' Bostello opened the '' #1847 container.
[12:51:01]	Jim 'Watcher 3' Bostello closed the '' #1847 container.
[12:51:04]	Jim 'Watcher 3' Bostello ran 'take' on item 'Civil Protection Functionary Grade Ration' (#20290)
[12:51:04]	Jim 'Watcher 3' Bostello has gained a 'Civil Protection Functionary Grade Ration' #20290.
[12:51:06]	Uriel Akkad exited observer.
[12:51:09]	Uriel Akkad has spawned 'models/illusion/eftcontainers/powersupplyunit.mdl'.
[12:51:13]	Uriel Akkad has spawned 'models/illusion/eftcontainers/powersupplyunit.mdl'.
[12:51:17]	Jim 'Watcher 3' Bostello opened the '' #1849 container.
[12:51:18]	Uriel Akkad entered observer.
[12:51:22]	Jim 'Watcher 3' Bostello closed the '' #1849 container.
[12:51:23]	Jim 'Watcher 3' Bostello opened the '' #1850 container.
[12:51:29]	Jim 'Watcher 3' Bostello closed the '' #1850 container.
[12:51:30]	Jim 'Watcher 3' Bostello opened the '' #1846 container.
[12:51:33]	Jim 'Watcher 3' Bostello closed the '' #1846 container.
[12:51:34]	Jim 'Watcher 3' Bostello opened the '' #1847 container.
[12:51:40]	Uriel Akkad exited observer.
[12:51:43]	Jim 'Watcher 3' Bostello closed the '' #1847 container.
[12:51:44]	Jim 'Watcher 3' Bostello opened the '' #1848 container.
[12:51:46]	Uriel Akkad has spawned 'models/illusion/eftcontainers/virtex.mdl'.
[12:51:50]	Jim 'Watcher 3' Bostello closed the '' #1848 container.
[12:52:03]	Uriel Akkad has spawned 'models/illusion/eftcontainers/screwnutbolt.mdl'.
[12:52:14]	Uriel Akkad has spawned 'models/illusion/eftcontainers/gasoline.mdl'.
[12:52:20]	[OOC] Jim 'Watcher 3' Bostello: damn these fuckers really did a number on the base minged everything including the die cast for shells
[12:52:34]	[OOC] Uriel Akkad: ...Then call an admin to respawn it lol
[12:52:37]	Uriel Akkad has spawned 'models/illusion/eftcontainers/medpile.mdl'.
[12:52:42]	Uriel Akkad has spawned 'models/illusion/eftcontainers/hdd.mdl'.
[12:52:49]	Uriel Akkad entered observer.
[12:52:51]	[OOC] Jim 'Watcher 3' Bostello: death razor...
[12:52:57]	Grasshopper exited observer at their location.
[12:52:57]	Grasshopper entered observer.
[12:52:58]	Grasshopper exited observer at their location.
[12:52:58]	Grasshopper entered observer.
[12:53:07]	[OOC] Enrique 'Franco' Gonzalez: What
[12:53:24]	Uriel Akkad exited observer.
[12:53:32]	[OOC] Jim 'Watcher 3' Bostello: can you pls respawn the die cast for shells
[12:53:49]	Uriel Akkad has spawned 'models/illusion/eftcontainers/ducttape.mdl'.
[12:53:51]	[OOC] Enrique 'Franco' Gonzalez: one sec
[12:54:16]	Uriel Akkad has spawned 'models/illusion/eftcontainers/30mmround.mdl'.
[12:54:19]	Uriel Akkad has spawned 'models/illusion/eftcontainers/circuitboard.mdl'.
[12:54:24]	DRD (STEAM_0:0:193599766) has disconnected.
[12:54:25]	Uriel Akkad entered observer.
[12:55:00]	Uriel Akkad exited observer.
[12:55:07]	Uriel Akkad has spawned 'models/illusion/eftcontainers/powerfilter.mdl'.
[12:55:15]	Uriel Akkad entered observer.
[12:55:33]	[LOOC] Enrique 'Franco' Gonzalez: what happened
[12:55:46]	Uriel Akkad exited observer.
[12:55:55]	[LOOC] Enrique 'Franco' Gonzalez: which die cast
[12:55:55]	Uriel Akkad entered observer.
[12:55:56]	[LOOC] Jim 'Watcher 3' Bostello: bunch of dicks jumped in the base and locked all the boxes and took everything without rp knowledge
[12:55:59]	[LOOC] Jim 'Watcher 3' Bostello: shells
[12:56:05]	Enrique 'Franco' Gonzalez used command '/adminspawnmenu'.
[12:56:18]	Uriel Akkad exited observer.
[12:56:23]	Uriel Akkad has spawned 'models/illusion/eftcontainers/gyrotachometer.mdl'.
[12:56:27]	[LOOC] Enrique 'Franco' Gonzalez: how much
[12:56:31]	Enrique 'Franco' Gonzalez has spawned a 'Entity [685][ix_vendor]'.
[12:56:43]	[LOOC] Jim 'Watcher 3' Bostello: how many die casts?
[12:56:47]	[LOOC] Enrique 'Franco' Gonzalez: yeah
[12:56:48]	[LOOC] Jim 'Watcher 3' Bostello: i think only 1
[12:57:00]	Jim 'Watcher 3' Bostello used the 'John Doe' vendor.
[12:57:01]	[LOOC] Enrique 'Franco' Gonzalez: what round
[12:57:07]	[LOOC] Jim 'Watcher 3' Bostello: 12G
[12:57:30]	[LOOC] Enrique 'Franco' Gonzalez: get it
[12:57:31]	Uriel Akkad has spawned 'models/illusion/eftcontainers/thermometer.mdl'.
[12:57:32]	Jim 'Watcher 3' Bostello used the 'John Doe' vendor.
[12:57:34]	Jim 'Watcher 3' Bostello has gained 0 tokens.
[12:57:34]	Jim 'Watcher 3' Bostello has gained a 'Shotgun Shell Head Die Cast' #20291.
[12:57:34]	Uriel Akkad has spawned 'models/illusion/eftcontainers/thermometer.mdl'.
[12:57:39]	[LOOC] Jim 'Watcher 3' Bostello: <3
[12:57:39]	Enrique 'Franco' Gonzalez used the 'John Doe' vendor.
[12:57:48]	[LOOC] Enrique 'Franco' Gonzalez: alright cool
[12:57:48]	Uriel Akkad entered observer.
[12:58:28]	Uriel Akkad exited observer.
[12:58:33]	Uriel Akkad has spawned 'models/illusion/eftcontainers/militarycable.mdl'.
[12:58:41]	[Y] Jim 'Watcher 3' Bostello: Got the Die Cast.
[12:59:11]	[ME] Uriel Akkad: *Finishes creating the Electric Generator Table, placing away his Drill, Tool Set and Screwdriver.*
[12:59:25]	Uriel Akkad entered observer.
[12:59:31]	[Y] Uriel Akkad: Great.
[12:59:31]	Uriel Akkad exited observer.
[12:59:40]	[Y] Uriel Akkad: So you want *Bullets*?
[12:59:45]	[Y] Jim 'Watcher 3' Bostello: Shells, yeah.
[12:59:49]	[Y] Uriel Akkad: One moment.
[12:59:51]	Uriel Akkad opened the '' #1796 container.
[12:59:53]	Uriel Akkad closed the '' #1796 container.
[12:59:54]	Uriel Akkad opened the '' #1802 container.
[12:59:57]	Uriel Akkad ran 'drop' on item 'LCD Monitor' (#15138)
[12:59:58]	Uriel Akkad closed the '' #1802 container.
[13:00:00]	Uriel Akkad destroyed a 'LCD Monitor' #15138.
[13:00:02]	Uriel Akkad opened the '' #1802 container.
[13:00:08]	Uriel Akkad has gained a 'Padlock' #17904.
[13:00:25]	Uriel Akkad closed the '' #1802 container.
[13:03:52]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[13:04:11]	[ME] Jim 'Watcher 3' Bostello: would take the die cast out of his bag, putting it down
[13:04:25]	Jim 'Watcher 3' Bostello ran 'drop' on item 'Shotgun Shell Head Die Cast' (#20291)
[13:04:25]	Jim 'Watcher 3' Bostello has lost a 'Shotgun Shell Head Die Cast' #20291.
[13:05:19]	Uriel Akkad ran 'Frequency' on item 'Handheld Radio' (#16582)
[13:05:25]	Uriel Akkad used command '/SetFreq 124.6'.
[13:08:07]	[ME] Jim 'Watcher 3' Bostello: would dig through his bag..
[13:09:03]	Uriel Akkad opened the '' #1675 container.
[13:09:15]	Uriel Akkad has gained a 'Powercord' #12373.
[13:09:19]	Uriel Akkad closed the '' #1675 container.
[13:10:04]	Uriel Akkad ran 'drop' on item 'Powercord' (#12373)
[13:10:04]	Uriel Akkad has lost a 'Powercord' #12373.
[13:10:29]	[ME] Uriel Akkad: *Lays out the Secondary Power Cable, syncing it up to the Electric Generator and Hooking up the Full Car Battery.*
[13:11:28]	[ME] Uriel Akkad: *Begins to Cave out a Small Dig-Out about 6 Inches Wide, 10 Inches Long and a Foot Deep.*
[13:12:11]	[ME] Uriel Akkad: *Finishes matting out the hole, he'd move over to his Crates.*
[13:12:13]	Uriel Akkad opened the '' #1676 container.
[13:12:19]	Uriel Akkad has gained a 'Scrap Glass' #17360.
[13:12:19]	Uriel Akkad has gained a 'Scrap Glass' #14459.
[13:12:20]	Uriel Akkad has gained a 'Scrap Glass' #14458.
[13:12:21]	Uriel Akkad has gained a 'AA Battery' #14812.
[13:12:23]	Uriel Akkad has gained a 'AA Battery' #14449.
[13:12:24]	Uriel Akkad closed the '' #1676 container.
[13:12:30]	Uriel Akkad opened the '' #1676 container.
[13:12:38]	Uriel Akkad has gained a 'Radiator Helix' #15183.
[13:12:39]	Uriel Akkad closed the '' #1676 container.
[13:14:44]	[ME] Uriel Akkad: *Syncs up a Radiator Helix and Two Double-AA Batteries for a Booster Shot of Electricity, he'd hook up the Helix to the Hole and fed in Glass Shards to Smelt and Make a Container-Mold out of, With the Hole serving as a Pseudo Cast, making sure the-*
[13:15:00]	[ME] Uriel Akkad: *Smelting / Molding Process was stable, he'd then give the Glass time to cool, moving back to his Crates.*
[13:15:03]	Uriel Akkad ran 'drop' on item 'Scrap Glass' (#17360)
[13:15:03]	Uriel Akkad has lost a 'Scrap Glass' #17360.
[13:15:04]	Uriel Akkad ran 'drop' on item 'Scrap Glass' (#14459)
[13:15:04]	Uriel Akkad has lost a 'Scrap Glass' #14459.
[13:15:04]	Uriel Akkad ran 'drop' on item 'Scrap Glass' (#14458)
[13:15:04]	Uriel Akkad has lost a 'Scrap Glass' #14458.
[13:15:07]	Uriel Akkad destroyed a 'Scrap Glass' #14459.
[13:15:07]	Uriel Akkad destroyed a 'Scrap Glass' #14458.
[13:15:08]	Uriel Akkad destroyed a 'Scrap Glass' #17360.
[13:15:12]	Uriel Akkad ran 'drop' on item 'Radiator Helix' (#15183)
[13:15:12]	Uriel Akkad has lost a 'Radiator Helix' #15183.
[13:15:14]	Uriel Akkad ran 'drop' on item 'AA Battery' (#14812)
[13:15:14]	Uriel Akkad has lost a 'AA Battery' #14812.
[13:15:14]	Uriel Akkad ran 'drop' on item 'AA Battery' (#14449)
[13:15:14]	Uriel Akkad has lost a 'AA Battery' #14449.
[13:15:20]	Uriel Akkad ran 'take' on item 'AA Battery' (#14449)
