[04:55:41]	The E has connected.
[17:38:16]	[OOC] CCA.C14-UNION.EpU.72633: Like holy shit anybody who uses them is fucking stupid to me.
[17:38:19]	[OOC] CCA.C14-UNION.i5.39867: people who are obsessed with guns are really edgy imo
[17:38:57]	[OOC] CCA.C14-UNION.EpU.72633: Listen here. The only edgy ones are AR-15 lovers who use Skeletonized AR-15's.
[17:39:10]	[OOC] CCA.C14-UNION.EpU.72633: The rest are okay.
[17:39:19]	[OOC] CCA.C14-UNION.i5.39867: um
[17:39:19]	[OOC] CCA.C14-UNION.i5.39867: no
[17:39:28]	[OOC] CCA.C14-UNION.i5.39867: all gun fanatics are 
[17:39:30]	[OOC] CCA.C14-UNION.i5.39867: kinda edgy
[17:39:36]	[OOC] CCA.C14-UNION.EpU.72633: Why do you think that?
[17:39:51]	[OOC] CCA.C14-UNION.i5.39867: because they are just cringe
[17:40:43]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[17:40:44]	[OOC] John Zimmer: *racks slide* fuck you said boi
[17:41:08]	[OOC] CCA.C14-UNION.EpU.72633: I would say why thats kinda fucked and only tacticool 13 year olds who think they know everything about guns because they played the latest COD are cringe but whatever.
[17:41:33]	[OOC] CCA.C14-UNION.i5.39867: okay everyone that is a gun fanatic will end up becoming a shooter
[17:41:49]	[OOC] CCA.C14-UNION.EpU.72633: Now you are the cringe one my friend.
[17:41:58]	[OOC] John Zimmer: indeed
[17:42:06]	[OOC] CCA.C14-UNION.i5.39867: how
[17:42:11]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[17:42:13]	[OOC] CCA.C14-UNION.EpU.72633: Guns don't turn people into shooters. I've loved gun my intire life and have never thought of killing anybody.
[17:42:22]	[OOC] CCA.C14-UNION.EpU.72633: Loved guns my entire life*
[17:42:48]	[OOC] CCA.C14-UNION.EpU.72633: Fucked that up but still. Saying guns turn people into shooters is a fairly ignorant thing to say.
[17:43:01]	[OOC] CCA.C14-UNION.i5.39867: are you american
[17:43:12]	[OOC] CCA.C14-UNION.EpU.72633: Yeah, so what of it?
[17:43:18]	[OOC] CCA.C14-UNION.i5.39867: yep, thought so.
[17:43:55]	matt saton has connected.
[17:43:56]	[OOC] John Zimmer: ok, so what, british people can love guns, africans can love guns, russians can love guns, literally anyone can love guns and not want to shoot people
[17:44:10]	[OOC] CCA.C14-UNION.EpU.72633: OOGA BOOGA GUN MEANS BAD.
[17:44:25]	[OOC] CCA.C14-UNION.i5.39867: yep everyone can love guns
[17:44:28]	[OOC] CCA.C14-UNION.i5.39867: but
[17:44:58]	[OOC] CCA.C14-UNION.i5.39867: americans make up the 
[17:45:04]	matt saton loaded the character 'James Albright'
[17:45:14]	[OOC] CCA.C14-UNION.i5.39867: majority of gun lovers
[17:45:16]	[OOC] James Albright: everything is an eror. time to tsee the frame rate
[17:45:18]	[OOC] CCA.C14-UNION.i5.39867: due to the gun laws there
[17:45:25]	[OOC] John Zimmer: yes because we have rights that protect our guns
[17:45:26]	[OOC] CCA.C14-UNION.i5.39867: they're sooo strange to me
[17:45:43]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[17:45:52]	[OOC] John Zimmer: due to using them to stop tyranical rulers
[17:45:52]	[OOC] James Albright: personnaly i fucking love guns
[17:46:01]	[OOC] James Albright: yeah, that's literlaly what the second amendment is for lmao
[17:46:20]	[OOC] CCA.C14-UNION.EpU.72633: He do be saying that guns make people into shooters for some reason.
[17:46:20]	[OOC] James Albright: i'm on my laptop boys
[17:46:27]	[OOC] John Zimmer: nice
[17:46:33]	[OOC] CCA.C14-UNION.EpU.72633: Laptops are gamer
[17:46:45]	[OOC] CCA.C14-UNION.i5.39867: the second amendment and the rights that protect your guns are also the rights that allow people to commit mass murder easily
[17:46:46]	[OOC] James Albright: i've never had them but i love them becuase i can be wth my family while also being on a cmputer
[17:46:55]	[OOC] John Zimmer: not true but ok
[17:46:59]	[OOC] James Albright: i fucking love guns, i just think it should be harder to get them
[17:47:00]	[OOC] CCA.C14-UNION.i5.39867: um, yes?
[17:47:01]	[OOC] James Albright: like
[17:47:05]	[OOC] James Albright: you have a driver's license
[17:47:07]	[OOC] CCA.C14-UNION.EpU.72633: Bud, that is the most ignorant shit i've heard.
[17:47:07]	[OOC] CCA.C14-UNION.i5.39867: you can get your hands on a gun easily
[17:47:08]	[OOC] James Albright: gun license
[17:47:11]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[17:47:12]	[OOC] CCA.C14-UNION.i5.39867: ^
[17:47:14]	[OOC] John Zimmer: no you cant
[17:47:14]	[OOC] CCA.C14-UNION.i5.39867: gun liscenced
[17:47:23]	[OOC] CCA.C14-UNION.i5.39867: you should only have a gun if you need it
[17:47:30]	[OOC] CCA.C14-UNION.i5.39867: like if you're a police officer
[17:47:31]	[OOC] James Albright: i mean some people are just gun hobbyists
[17:47:31]	[OOC] CCA.C14-UNION.EpU.72633: You need a license and no criminal history to get a gun legally.
[17:47:36]	[OOC] James Albright: ^^^^^^^^^
[17:47:50]	[OOC] James Albright: i don't want a total gun ban because like, guns are cool
[17:47:52]	[OOC] John Zimmer: to get a gun, even from fucking walmart, they do a background check, and make sure you are of age, and have a valid liscence, even then you may not be able to have your gun in other states due to differing laws
[17:47:55]	[OOC] James Albright: and there are some self defense things
[17:48:04]	[OOC] James Albright: some states don't have licenses though, it sucks
[17:48:09]	[OOC] James Albright: like illinois is an awful state
[17:48:13]	[OOC] CCA.C14-UNION.i5.39867: ok not in all states
[17:48:14]	[OOC] James Albright: but their foyt card system is good
[17:48:15]	[OOC] CCA.C14-UNION.i5.39867: exactly
[17:48:18]	[OOC] CCA.C14-UNION.EpU.72633: The only guns that aren't cool are Skeletonized guns.
[17:48:20]	[OOC] John Zimmer: to say you can gun down a crowed because you have a liscense is dumb
[17:48:29]	[OOC] John Zimmer: crowd*
[17:48:31]	[OOC] James Albright: but it'll make it way less easy to
[17:48:32]	[OOC] James Albright: like
[17:48:33]	[OOC] CCA.C14-UNION.EpU.72633: And i will fucking fight to ban skeletonizing guns.
[17:48:34]	[OOC] CCA.C14-UNION.i5.39867: skelotonized guns are cool
[17:48:36]	[OOC] James Albright: the one shooter
[17:48:39]	[OOC] James Albright: in lforidy
[17:48:41]	[OOC] CCA.C14-UNION.EpU.72633: They suck total fucking ass.
[17:48:42]	[OOC] James Albright: sandy hook
[17:48:46]	[OOC] James Albright: the bushmaster he got was like
[17:48:47]	[OOC] CCA.C14-UNION.i5.39867: ok they look cool
[17:48:48]	[OOC] James Albright: so fucking easy to get
[17:48:52]	James Albright used command '/DoorSetHidden true'.
[17:48:53]	[OOC] CCA.C14-UNION.i5.39867: exactly
[17:48:56]	[OOC] CCA.C14-UNION.i5.39867: the guns are easy to get
[17:49:01]	[OOC] CCA.C14-UNION.i5.39867: plus school shootings
[17:49:03]	[OOC] James Albright: i love guns but like licenses should be mandatory
[17:49:04]	[OOC] CCA.C14-UNION.EpU.72633: Why would you put holes in the body of you gun? do you want a jam every ten minutes?
[17:49:07]	[OOC] CCA.C14-UNION.i5.39867: if your dad has a gun just take it
[17:49:15]	[OOC] CCA.C14-UNION.i5.39867: if your mom has a gun just take it
[17:49:16]	[OOC] James Albright: yeah, that's what some shooters do
[17:49:19]	[OOC] CCA.C14-UNION.i5.39867: if your cousin has a gun just take it
[17:49:26]	[OOC] CCA.C14-UNION.i5.39867: its like everyone has a gun
[17:49:26]	[OOC] James Albright: my father has a gun, he was a marine, and he likes guns
[17:49:29]	[OOC] James Albright: he keeps it in a safe
[17:49:36]	[OOC] James Albright: he really only has it because 1. just in case
[17:49:47]	[OOC] James Albright: and 2. we have family in [undisclosed location], and it's *not* a good place
[17:49:54]	[OOC] John Zimmer: yeah we need to regulate privatized gun sales but that's more difficult than regulating larger brands, also to blame school shootings on the gun is like blaming a stabbing on a knife
[17:49:57]	[OOC] James Albright: so when we visit you better fucking bleieve he has that thing on him
[17:50:25]	[OOC] CCA.C14-UNION.EpU.72633: It's the people who have the guns that are at fault. Not the guns.
[17:50:29]	[OOC] CCA.C14-UNION.i5.39867: shitty thing in the uk is that you can't carry a weapon for self defence
[17:50:33]	[OOC] CCA.C14-UNION.i5.39867: like any weapon
[17:50:35]	[OOC] CCA.C14-UNION.i5.39867: at all
[17:50:43]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[17:50:46]	[OOC] CCA.C14-UNION.i5.39867: because the police will always see it as an offensive weapon
[17:50:53]	[OOC] CCA.C14-UNION.i5.39867: because the PSNI are fucking stupid
[17:51:14]	[OOC] John Zimmer: yeah so there are very few ways to defend yourself, while criminals who don't care about the laws telling them what they can and cannot have will just beat you half to death
[17:51:45]	[OOC] James Albright: oh hey
[17:51:48]	[OOC] James Albright: my content is done downloading
[17:51:49]	[OOC] James Albright: brb
[17:51:50]	matt saton (STEAM_0:1:53097688) has disconnected.
[17:52:11]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[17:52:28]	[OOC] CCA.C14-UNION.i5.39867: i dont agree with gun laws in the us
[17:52:31]	[OOC] CCA.C14-UNION.i5.39867: thats all im gonna say
[17:52:48]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[17:52:52]	[OOC] CCA.C14-UNION.i5.39867: void shot
[17:53:13]	matt saton has connected.
[17:53:54]	[OOC] John Zimmer: i mean we do have some goofy shit, but mostly it's to protect ourselves, and our government (in the unlikely case of crackhead fascists taking over), but it's hard to change gun laws cause there will be so many hundreds of tiny details that...
[17:54:01]	[OOC] John Zimmer: you'd have to go into to change gun laws
[17:54:23]	[OOC] CCA.C14-UNION.i5.39867: guns need to be harder to get
[17:54:35]	[OOC] CCA.C14-UNION.i5.39867: even with a liscence
[17:54:46]	[OOC] CCA.C14-UNION.i5.39867: someone can just get a liscence and get a gun
[17:54:47]	[OOC] John Zimmer: funny thing is, two reporters tried to buy a gun from walmart, both got turned down immediately
[17:54:57]	[OOC] John Zimmer: one had a liscence as well
[17:55:07]	[OOC] CCA.C14-UNION.i5.39867: why
[17:55:30]	[OOC] John Zimmer: for the woman I can't remember, but the guy had alcohol abuse charges, and domestic abuse charges
[17:55:43]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[17:55:55]	[OOC] CCA.C14-UNION.i5.39867: yep but a kid in college with a clear record can get a liscence and get a gun and just shoot
[17:56:16]	[OOC] CCA.C14-UNION.i5.39867: if you have a clean record you can just lie and say its for self defence or hunting
[17:56:30]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
[17:56:37]	[OOC] John Zimmer: i mean you also have to pass background checks, go through gun safety, proper training, and even then you may be denied
[17:57:11]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[17:57:22]	[OOC] John Zimmer: i guarentee if there is a record of you going to a therapist, they will look into that shit, and if they find something sketchy then bam, no liscence for you
[17:57:45]	[OOC] John Zimmer: also the FBI will look into you before you get your liscence, to see if you posted any edgy BS
[17:57:48]	[OOC] CCA.C14-UNION.i5.39867: and also theres a lot of states
[17:57:53]	[OOC] CCA.C14-UNION.i5.39867: where you dont need a permit
[17:57:57]	[OOC] CCA.C14-UNION.i5.39867: to conceal or open carry
[17:58:31]	[OOC] John Zimmer: im pretty sure all states have cc liscences that are seperate from regular open carry
[17:58:39]	[OOC] CCA.C14-UNION.i5.39867: nope
[17:58:51]	[OOC] CCA.C14-UNION.i5.39867: theres is a lot of states where you dont need a permit at all to carry a weapon
[17:59:04]	[OOC] CCA.C14-UNION.i5.39867: theres also states where you only need a permit to open carry
[17:59:21]	[OOC] John Zimmer: yeah it's called a gun liscence
[17:59:44]	[OOC] John Zimmer: i just looked at it and yes, all 50 states have seperate CCW permits
[18:00:22]	[OOC] John Zimmer: infact in florida, the meth capital of the US, requires a CCW permit for carrying a specific amount of pepperspray
[18:00:43]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[18:01:54]	[OOC] CCA.C14-UNION.i5.39867: dms
[18:02:11]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[18:02:17]	[OOC] John Zimmer: there are very few states with unrestrictive gun laws, that allow for permitless carry of handguns, which does not apply to many other guns
[18:02:48]	[OOC] CCA.C14-UNION.i5.39867: i sent you something in dms
[18:03:15]	[OOC] John Zimmer: i see
[18:05:43]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[18:06:36]	CCA.C14-UNION.i5.39867 ran 'View' on item 'Notepad' (#22211)
[18:07:11]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[18:08:20]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit going 10-7, status is green.'.
[18:08:37]	FB|| light ROOM loaded the character 'Journey Robertson'
[18:12:11]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[18:15:33]	sand loaded the character 'Ronald "Ron" Broadbet'
[18:15:42]	Ronald "Ron" Broadbet used command '/ToggleRaise'.
[18:15:56]	Ronald "Ron" Broadbet used command '/ToggleRaise'.
[18:15:58]	Ronald "Ron" Broadbet used command '/ToggleRaise'.
[18:16:17]	[Y] Ronald "Ron" Broadbet: Ey who the hell are you!
[18:16:41]	[Y] Ronald "Ron" Broadbet: What are you doing here!
[18:18:03]	[Y] Ronald "Ron" Broadbet: Retard.
[18:18:09]	Ronald "Ron" Broadbet used command '/ToggleRaise'.
[18:18:12]	Journey Robertson has taken 5 damage from npc_headcrab.
[18:18:14]	Journey Robertson has taken 5 damage from npc_headcrab.
[18:18:21]	[OOC] Journey Robertson: TFA weapons are fucked
[18:18:24]	Ronald "Ron" Broadbet used command '/ToggleRaise'.
[18:18:26]	Ronald "Ron" Broadbet used command '/ToggleRaise'.
[18:18:33]	[OOC] Journey Robertson: like rocks, they are broken for some reason
[18:18:39]	Ronald "Ron" Broadbet used command '/ToggleRaise'.
[18:18:42]	[OOC] Journey Robertson: NOICE
[18:18:52]	[OOC] Ronald "Ron" Broadbet: ration cycle
[18:19:15]	[OOC] Ronald "Ron" Broadbet: when
[18:19:54]	[OOC] Journey Robertson: When i feel like it
[18:20:58]	[OOC] Ronald "Ron" Broadbet: ok now
[18:21:09]	[OOC] Ronald "Ron" Broadbet: :flushed:
[18:21:34]	sand loaded the character 'Bob Sillybottom'
[18:21:44]	Bob Sillybottom used command '/ToggleRaise'.
[18:21:49]	Bob Sillybottom used command '/ToggleRaise'.
[18:22:40]	[OOC] Bob Sillybottom: gonna play some pavlov cya
[18:22:47]	sand (STEAM_0:0:38537787) has disconnected.
[18:22:53]	[OOC] Journey Robertson: Cringe
[18:27:11]	[OOC] John Zimmer: yeah
[18:30:18]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[18:34:37]	Doughnut (STEAM_0:1:127409364) has disconnected.
[20:32:13]	matt saton has connected.
[20:32:46]	matt saton loaded the character 'James Albright'
[20:47:55]	James Albright entered observer.
[20:48:02]	matt saton (STEAM_0:1:53097688) has disconnected.
[21:21:23]	matt saton has connected.
[21:32:35]	matt saton loaded the character 'James Albright'
[21:32:42]	James Albright entered observer.
[21:33:03]	[ME] James Albright: would take out his combat knife and cut the individual's ties.
[21:33:04]	[ME] James Albright: would take out his combat knife and cut the individual's ties.
[21:33:12]	[ME] James Albright: would take out his combat knife and cut the individual's ties.
[21:33:16]	[ME] James Albright: would take out his combat knife and cut the individual's ties.
[21:33:17]	James Albright used command '/PlySearch'.
[22:02:32]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
[22:05:00]	Tex has connected.
[22:06:59]	Tex created the character 'Richard 'Tex' Johnson'
[22:06:59]	Richard 'Tex' Johnson has gained a 'Suitcase' #25875.
[22:06:59]	Richard 'Tex' Johnson has gained a 'Relocation Coupon' #25876.
[22:06:59]	Tex loaded the character 'Richard 'Tex' Johnson'
[22:11:23]	Tex (STEAM_0:0:64225371) has disconnected.
