[07:06:13]	Haggiez has connected.
[11:51:34]	Erwin Ramstein ran 'View' on item 'Notepad' (#11838)
[11:51:41]	CCA.C08-UNION.i5.99915 ran 'View' on item 'Notepad' (#11834)
[11:51:41]	CCA.C08-UNION.i5.01477 used the 'Ration Supply' vendor.
[11:51:43]	Frank Jackson has taken 2 damage from worldspawn.
[11:51:45]	CCA.C08-UNION.i5.99915 ran 'View' on item 'Notepad' (#11836)
[11:51:49]	[OOC] Vladimir Volkovich: Random framerate dropped
[11:52:01]	Erwin Ramstein ran 'Equip' on item 'Cyclopic Citizen Suit' (#10971)
[11:52:08]	[OOC] Erwin Ramstein: Bad, or? And when?
[11:52:12]	Elias Ainsworth exited observer at their location.
[11:52:13]	Elias Ainsworth entered observer.
[11:52:15]	Vladimir Volkovich used command '/Apply'.
[11:52:18]	Frank Jackson opened the '' #1197 container.
[11:52:18]	Frank Jackson closed the '' #1197 container.
[11:52:19]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[11:52:20]	Elias Ainsworth exited observer at their location.
[11:52:22]	[OOC] Vladimir Volkovich: Since the RDC announcement
[11:52:29]	CCA.C08-UNION.i5.01477 used command '/ViewData volkovich'.
[11:52:30]	[OOC] Erwin Ramstein: LMAO
[11:52:35]	CCA.C08-UNION.i5.01477 used the 'Ration Supply' vendor.
[11:52:37]	CCA.C08-UNION.i5.01477 has gained 0 tokens.
[11:52:37]	CCA.C08-UNION.i5.01477 has gained a 'Standard Grade Ration' #12213.
[11:52:39]	[OOC] Erwin Ramstein: The amount of people rushing the RDC lagged your Game.
[11:52:40]	[LOOC] Vladimir Volkovich: Jesus fucking christ
[11:52:49]	[ME] CCA.C08-UNION.i5.01477: would take the standard ration, passing it over.
[11:52:52]	CCA.C08-UNION.i5.01477 ran 'drop' on item 'Standard Grade Ration' (#12213)
[11:52:52]	CCA.C08-UNION.i5.01477 has lost a 'Standard Grade Ration' #12213.
[11:52:56]	Vladimir Volkovich ran 'take' on item 'Standard Grade Ration' (#12213)
[11:52:56]	Vladimir Volkovich has gained a 'Standard Grade Ration' #12213.
[11:53:06]	Erwin Ramstein used command '/Apply'.
[11:53:06]	CCA.C08-UNION.i5.01477 used command '/ViewData erwin'.
[11:53:22]	[ME] Vladimir Volkovich: would rip open the ration pack by the top, consuming the rations through a tube
[11:53:26]	CCA.C08-UNION.i5.01477 used command '/ViewData erwin'.
[11:53:28]	Vladimir Volkovich ran 'Open' on item 'Standard Grade Ration' (#12213)
[11:53:28]	Vladimir Volkovich has gained a 'Standard Grade Citizen Food Product' #12214.
[11:53:28]	Vladimir Volkovich has gained a 'Consulate Water' #12215.
[11:53:28]	Vladimir Volkovich has gained 10 tokens.
[11:53:29]	Vladimir Volkovich ran 'Consume' on item 'Standard Grade Citizen Food Product' (#12214)
[11:53:31]	Vladimir Volkovich ran 'Consume' on item 'Consulate Water' (#12215)
[11:53:32]	CCA.C08-UNION.i5.01477 used the 'Ration Supply' vendor.
[11:53:44]	CCA.C08-UNION.i5.01477 has gained 0 tokens.
[11:53:44]	CCA.C08-UNION.i5.01477 has gained a 'Standard Grade Ration' #12213.
[11:53:45]	CCA.C08-UNION.i5.01477 has gained 0 tokens.
[11:53:45]	CCA.C08-UNION.i5.01477 has gained a 'Standard Grade Ration' #12214.
[11:54:03]	Frank Jackson used the 'Resin Terminal' vendor.
[11:54:06]	[LOOC] CCA.C08-UNION.i5.01477: give me one second
[11:54:14]	[LOOC] Erwin Ramstein: 1 Loyalty Ration Package if that's what you're looking for.
[11:54:21]	Erwin Ramstein has taken 1 damage from worldspawn.
[11:54:22]	Erwin Ramstein has taken 1 damage from worldspawn.
[11:54:23]	Erwin Ramstein has taken 1 damage from worldspawn.
[11:54:24]	Erwin Ramstein has taken 1 damage from worldspawn.
[11:54:24]	Erwin Ramstein has taken 1 damage from worldspawn.
[11:54:24]	Erwin Ramstein ran 'equip' on item 'Citizen Filter' (#11534)
[11:54:36]	CCA.C08-UNION.i5.01477 used the 'Ration Supply' vendor.
[11:54:40]	CCA.C08-UNION.i5.01477 has gained 0 tokens.
[11:54:40]	CCA.C08-UNION.i5.01477 has gained a 'Loyalist Grade Ration' #12215.
[11:54:58]	[ME] Frank Jackson: uses the rails on either side of himself to lift his lower half into the air, swinging back and forth with his legfs.
[11:54:59]	[ME] CCA.C08-UNION.i5.01477: would place the two rations down.
[11:55:03]	CCA.C08-UNION.i5.01477 ran 'drop' on item 'Standard Grade Ration' (#12214)
[11:55:03]	CCA.C08-UNION.i5.01477 has lost a 'Standard Grade Ration' #12214.
[11:55:04]	CCA.C08-UNION.i5.01477 ran 'drop' on item 'Standard Grade Ration' (#12213)
[11:55:04]	CCA.C08-UNION.i5.01477 has lost a 'Standard Grade Ration' #12213.
[11:55:07]	Erwin Ramstein ran 'take' on item 'Standard Grade Ration' (#12213)
[11:55:07]	Erwin Ramstein has gained a 'Standard Grade Ration' #12213.
[11:55:19]	CCA.C08-UNION.i5.01477 has gained 10 tokens.
[11:55:19]	Erwin Ramstein ran 'take' on item 'Standard Grade Ration' (#12214)
[11:55:19]	Erwin Ramstein has gained a 'Standard Grade Ration' #12214.
[11:55:23]	Elias Ainsworth used command '/Apply'.
[11:55:30]	CCA.C08-UNION.i5.01477 used command '/ViewData elias'.
[11:55:32]	Erwin Ramstein ran 'Open' on item 'Standard Grade Ration' (#12213)
[11:55:32]	Erwin Ramstein has gained a 'Standard Grade Citizen Food Product' #12216.
[11:55:32]	Erwin Ramstein has gained a 'Consulate Water' #12217.
[11:55:32]	Erwin Ramstein has gained 10 tokens.
[11:55:32]	Erwin Ramstein ran 'Open' on item 'Standard Grade Ration' (#12214)
[11:55:32]	Erwin Ramstein has gained a 'Standard Grade Citizen Food Product' #12218.
[11:55:32]	Erwin Ramstein has gained a 'Consulate Water' #12219.
[11:55:32]	Erwin Ramstein has gained 10 tokens.
[11:55:32]	CCA.C08-UNION.i5.01477 used the 'Ration Supply' vendor.
[11:55:33]	Erwin Ramstein ran 'Consume' on item 'Standard Grade Citizen Food Product' (#12216)
[11:55:34]	Erwin Ramstein ran 'Consume' on item 'Consulate Water' (#12219)
[11:55:34]	Erwin Ramstein ran 'Consume' on item 'Consulate Water' (#12217)
[11:55:34]	Erwin Ramstein ran 'Consume' on item 'Standard Grade Citizen Food Product' (#12218)
[11:55:35]	CCA.C08-UNION.i5.01477 has gained 0 tokens.
[11:55:35]	CCA.C08-UNION.i5.01477 has gained a 'Standard Grade Ration' #12216.
[11:55:42]	[ME] Frank Jackson: attempts raising his body upside down using the rails as support.
[11:55:52]	[OOC] Erwin Ramstein: Next Time a CCA gets a Ration Wrong I'm reporting them and going full Loyalist lmao.
[11:56:03]	[ME] Frank Jackson: fails to lift himself, losing balance and ultimately falling down to the floor
[11:56:05]	[OOC] CCA.C08-UNION.i5.01477: actually i didnt get it wrong, you only have 13 LP
[11:56:15]	[OOC] Erwin Ramstein: 13 LP is Green, Green is 1 Loyalty.
[11:56:26]	[ME] Frank Jackson: chuckles to himself, looking around in slight embarrassment, he brings himself back to his feet.
[11:56:27]	[OOC] Erwin Ramstein: so yes, you did.
[11:56:29]	[OOC] CCA.C08-UNION.i5.01477: ..you need more then 10 points to get a loyalist package
[11:56:34]	[OOC] Erwin Ramstein: You, do not.
[11:56:39]	[OOC] Elias Ainsworth: If he followed the guide then he didn't get it wrong, we'll have this conversation later.
[11:56:55]	[ME] CCA.C08-UNION.i5.01477: would slide the ration packet across the counter.
[11:56:58]	CCA.C08-UNION.i5.01477 ran 'drop' on item 'Standard Grade Ration' (#12216)
[11:56:58]	CCA.C08-UNION.i5.01477 has lost a 'Standard Grade Ration' #12216.
[11:56:59]	[OOC] Erwin Ramstein: > Green10Individual is able to apply for the CCA.1x Loyalist Grade Ration
[11:57:05]	[ME] Elias Ainsworth: Would take the ration and place it in his suitcase.
[11:57:06]	Elias Ainsworth ran 'take' on item 'Standard Grade Ration' (#12216)
[11:57:06]	Elias Ainsworth has gained a 'Standard Grade Ration' #12216.
[11:57:07]	[OOC] Erwin Ramstein: ...That's the guid.e
[11:57:21]	Erwin Ramstein opened the '' #1183 container.
[11:57:21]	[OOC] CCA.C08-UNION.i5.01477: / •10 Points - One additional ration package, and able to apply to the Civil Worker's Union.
[11:57:23]	Erwin Ramstein closed the '' #1183 container.
[11:57:25]	[ME] Frank Jackson: waves to the unit in front of him.
[11:57:28]	[OOC] Erwin Ramstein: That isn't the same guide, lmao
[11:57:48]	[OOC] Elias Ainsworth: UNION, please send me that guide.
[11:57:51]	[OOC] Erwin Ramstein: That quote that I gathered is from one the Forums, and Secondly the CCA Guide.
[11:57:51]	Frank Jackson used command '/Apply'.
[11:58:08]	[OOC] Erwin Ramstein: It's both linked and recommended, also stating all LP-Rewards and Armband Statuses.
[11:58:18]	CCA.C08-UNION.i5.01477 used the 'Ration Supply' vendor.
[11:58:20]	CCA.C08-UNION.i5.01477 has gained 0 tokens.
[11:58:20]	CCA.C08-UNION.i5.01477 has gained a 'Standard Grade Ration' #12217.
[11:58:34]	[ME] Frank Jackson: chuckles.
[11:58:35]	[OOC] Erwin Ramstein: But hey, isn't the first or second or third or even fourth time its happened. It's all good, my only issue is that you think you're right.
[11:58:40]	[ME] CCA.C08-UNION.i5.01477: would slide the ration packet across the table.
[11:58:42]	CCA.C08-UNION.i5.01477 ran 'drop' on item 'Standard Grade Ration' (#12217)
[11:58:42]	CCA.C08-UNION.i5.01477 has lost a 'Standard Grade Ration' #12217.
[11:58:54]	[OOC] CCA.C08-UNION.i5.01477: your still goin on about it??
[11:59:05]	[ME] Frank Jackson: takes the ration eagerly, attempting to look into the units helmet from his eye holes.
[11:59:11]	Frank Jackson ran 'Open' on item 'Standard Grade Ration' (#12217)
[11:59:11]	Frank Jackson has gained a 'Standard Grade Citizen Food Product' #12218.
[11:59:11]	Frank Jackson has gained a 'Consulate Water' #12219.
[11:59:11]	Frank Jackson has gained 10 tokens.
[11:59:14]	[OOC] CCA.C08-UNION.i5.01477: im not a ration god, dont act like it.
[11:59:22]	Jorgen_Skog loaded the character 'PVT Jorgen Marventsky'
[11:59:46]	CCA.C08-UNION.i5.01477 ran 'Open' on item 'Loyalist Grade Ration' (#12215)
[11:59:46]	CCA.C08-UNION.i5.01477 has gained a 'Loyalist Grade Citizen Food Product' #12220.
[11:59:46]	CCA.C08-UNION.i5.01477 has gained a 'Flavored Consulate Water' #12221.
[11:59:46]	CCA.C08-UNION.i5.01477 has gained a 'Citizen Filter' #12222.
[11:59:46]	CCA.C08-UNION.i5.01477 has gained 15 tokens.
[11:59:46]	[OOC] Erwin Ramstein: I'm "going on about it" to clarify? Relax lmao
[12:00:07]	PVT Jorgen Marventsky used command '/Radio Private Marventsky, Going On Duty'.
[12:00:08]	[OOC] Erwin Ramstein: Half of the CCA doesn't know their own Doc and after Five Times its beginning to trouble me.
[12:00:33]	[OOC] CCA.C08-UNION.i5.01477: well maybe you should become the super combine
[12:01:19]	[OOC] CCA.C08-UNION.i5.01477: also ive been using the same CCA handbook for years so
[12:01:26]	[OOC] Elias Ainsworth: Okay, regardless not knowing the ration shit isn't that big of deal.
[12:01:31]	[OOC] Elias Ainsworth: Just study it a bit more for me.
[12:01:44]	[OOC] CCA.C08-UNION.i5.01477: uhh?
[12:01:47]	[OOC] Erwin Ramstein: It ain't a big deal no. Just the issue is adding up, so I had to clarify :)
[12:01:55]	[OOC] Elias Ainsworth: I understand Erwin.
[12:02:01]	[OOC] Erwin Ramstein: Like I said, happened five times before I said anything, I can't say that I haven't been patient.
[12:02:07]	Erwin Ramstein opened the '' #1175 container.
[12:02:08]	[OOC] CCA.C08-UNION.i5.01477: why dont you just make your own CCA handbook then lmao
[12:02:09]	Erwin Ramstein closed the '' #1175 container.
[12:02:14]	[OOC] Erwin Ramstein: Because I don't, need to.
[12:02:17]	[OOC] Erwin Ramstein: You already have one.
[12:02:20]	Erwin Ramstein opened the '' #1173 container.
[12:02:23]	Erwin Ramstein closed the '' #1173 container.
[12:02:29]	[OOC] CCA.C08-UNION.i5.01477: im not talking to u 
[12:02:57]	Elias Ainsworth ran 'equip' on item 'Citizen Filter' (#10288)
[12:03:04]	[ME] Frank Jackson: gestures toward the SMG.
[12:03:19]	[OOC] CCA.C08-UNION.i5.01477: if you want to complain about it, then make a cca handbook for the server. I'm following whats been the normal since CW
[12:03:42]	CCA.C08-UNION.i5.01477 ran 'Eat' on item 'Loyalist Grade Citizen Food Product' (#12220)
[12:03:43]	CCA.C08-UNION.i5.01477 ran 'Consume' on item 'Flavored Consulate Water' (#12221)
[12:03:45]	[OOC] CCA.C08-UNION.i5.99915: we have one
[12:03:49]	[OOC] Elias Ainsworth: Stop talking about it XYZ.
[12:03:51]	[OOC] Elias Ainsworth: Its fine.
[12:04:01]	[OOC] CCA.C08-UNION.i5.01477: i would love to see it
[12:04:05]	[OOC] Elias Ainsworth: Please go look at our current guide that is pinned in general.
[12:04:13]	[OOC] Erwin Ramstein: I can give ye the link here
[12:04:16]	[OOC] CCA.C08-UNION.i5.99915: https://docs.google.com/document/d/1cjAhN0FkOcLmcwE5M2CtBQD3-AkF5G-o2_U8t_9WBW0/edit
[12:04:25]	[OOC] Erwin Ramstein: https://docs.google.com/document/d/1cjAhN0FkOcLmcwE5M2CtBQD3-AkF5G-o2_U8t_9WBW0/edit
[12:04:26]	[OOC] Elias Ainsworth: Flag off, look at it for a bit.
[12:04:32]	[OOC] Elias Ainsworth: And get back on.
[12:04:39]	[OOC] Erwin Ramstein: Cheers Elias :)
[12:04:51]	[OOC] Elias Ainsworth: You are a good unit, just study the guide a bit.
[12:04:51]	[ME] Frank Jackson: takes a slow, cautious look around.
[12:05:06]	[OOC] Erwin Ramstein: I will comment on one thing I hate.
[12:05:12]	[OOC] Erwin Ramstein: The Tab Menu, time. and Stormfox, time.
[12:05:15]	[OOC] Erwin Ramstein: Are so seperate ; - ;
[12:05:17]	[ME] Frank Jackson: points behind the conscript.
[12:05:20]	[OOC] Elias Ainsworth: oh yeah
[12:05:30]	[OOC] Erwin Ramstein: It's 12:02 a.m, in Tab. 1:42 P.M, in Stormfox.
[12:05:32]	[OOC] Erwin Ramstein: Lmfao
[12:05:53]	[ME] PVT Jorgen Marventsky: He gave a silent unsatisfying sigh as you could barely hear the sound of an exhale.
[12:06:16]	[ME] Frank Jackson: chuckles before continuing. "Not as dumb as you look, good for you."
[12:06:25]	CCA.C08-UNION.i5.01477 used the 'Street Market' vendor.
[12:06:29]	CCA.C08-UNION.i5.01477 ran 'drop' on item 'Citizen Filter' (#12222)
[12:06:29]	CCA.C08-UNION.i5.01477 has lost a 'Citizen Filter' #12222.
[12:06:35]	[ME] Frank Jackson: gives a mocking salute to the conscript.
[12:07:02]	deantheone (STEAM_0:1:116497963) has disconnected.
[12:07:13]	[OOC] Elias Ainsworth: I hope he left to study the guide.
[12:07:17]	[OOC] CCA.C08-UNION.i5.99915: same
[12:07:19]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[12:07:27]	[OOC] CCA.C08-UNION.i5.99915: gotta take my dog out rq
[12:07:35]	[OOC] Elias Ainsworth: Aight
[12:08:00]	[ME] Frank Jackson: laughs a little as he turns an about face on one heel.
[12:09:08]	Frank Jackson used the 'Street Market' vendor.
[12:09:20]	PVT Jorgen Marventsky used command '/Radio 10-7.'.
[12:09:36]	Jorgen_Skog loaded the character 'Vladimir Volkovich'
[12:10:25]	Bananaphone has connected.
[12:10:43]	Vladimir Volkovich opened the '' #1233 container.
[12:10:44]	Vladimir Volkovich closed the '' #1233 container.
[12:10:58]	[OOC] Vladimir Volkovich: I'ma do a third char for resistance maybe
[12:11:11]	[OOC] Elias Ainsworth: Aight, we do need more rebels so that would be nice.
[12:11:12]	[OOC] CCA.C08-UNION.i5.99915: sus!
[12:11:17]	[OOC] Elias Ainsworth: S  U  S
[12:11:25]	Elias Ainsworth ran 'Open' on item 'Standard Grade Ration' (#12216)
[12:11:25]	Elias Ainsworth has gained a 'Standard Grade Citizen Food Product' #12223.
[12:11:25]	Elias Ainsworth has gained a 'Consulate Water' #12224.
[12:11:25]	Elias Ainsworth has gained 10 tokens.
[12:11:28]	Elias Ainsworth ran 'Consume' on item 'Standard Grade Citizen Food Product' (#12223)
[12:11:28]	Elias Ainsworth ran 'Consume' on item 'Consulate Water' (#12224)
[12:11:29]	[OOC] CCA.C08-UNION.i5.99915: 2 u 2
[12:11:55]	CCA.C08-UNION.i5.99915 used the 'Ration Supply' vendor.
[12:12:01]	Jorgen_Skog created the character 'Stefan Adrovich'
[12:12:01]	Stefan Adrovich has gained a 'Suitcase' #12223.
[12:12:01]	Stefan Adrovich has gained a 'Relocation Coupon' #12224.
[12:12:01]	Stefan Adrovich has gained a 'Green Citizen Suit' #12225.
[12:12:01]	Stefan Adrovich has gained a 'Citizen Filter' #12226.
[12:12:07]	Jorgen_Skog loaded the character 'Stefan Adrovich'
[12:12:10]	[OOC] Elias Ainsworth: I'll have to hop off for a bit.
[12:12:11]	[OOC] Elias Ainsworth: Sorry
[12:12:14]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:14]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12227.
[12:12:14]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:14]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12228.
[12:12:15]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:15]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12229.
[12:12:15]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:15]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12230.
[12:12:16]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:16]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12231.
[12:12:16]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:16]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12232.
[12:12:17]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:17]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12233.
[12:12:17]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:17]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12234.
[12:12:17]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:17]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12235.
[12:12:18]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:18]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12236.
[12:12:18]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:18]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12237.
[12:12:19]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:19]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12238.
[12:12:19]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:19]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12239.
[12:12:19]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[12:12:20]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:20]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12240.
[12:12:20]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:20]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12241.
[12:12:21]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:21]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12242.
[12:12:21]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:21]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12243.
[12:12:22]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:22]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12244.
[12:12:22]	[OOC] Elias Ainsworth: I will see if we could do an event today later.
[12:12:22]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:22]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12245.
[12:12:23]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:23]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12246.
[12:12:23]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:23]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12247.
[12:12:24]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:24]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12248.
[12:12:24]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:24]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12249.
[12:12:24]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:24]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12250.
[12:12:25]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:25]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12251.
[12:12:25]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:25]	CCA.C08-UNION.i5.99915 has gained a 'Biotic Grade Ration' #12252.
[12:12:26]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:26]	CCA.C08-UNION.i5.99915 has gained 0 tokens.
[12:12:27]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[12:12:32]	CCA.C08-UNION.i5.99915 destroyed a 'Biotic Grade Ration' #12254.
[12:12:33]	CCA.C08-UNION.i5.99915 destroyed a 'Biotic Grade Ration' #12253.
[12:12:34]	Jorgen_Skog (STEAM_0:1:115897813) has disconnected.
[12:12:40]	[OOC] CCA.C08-UNION.i5.99915: no staff
[12:12:46]	[OOC] Frank Jackson: time to party rock
[12:14:59]	[OOC] Frank Jackson: and then there were 3
[12:15:17]	[OOC] Frank Jackson: and then and then there were 2
[12:15:18]	¢higgy ¢higgy (STEAM_0:0:69154315) has disconnected.
[12:15:25]	Odin (STEAM_0:0:595064043) has disconnected (timed out).
[12:22:20]	JohnFreemanBrotherOFGorgonFeeman has connected.
[12:41:53]	Odin has connected.
[12:42:35]	Odin loaded the character 'Erwin Ramstein'
[12:43:22]	Bananaphone loaded the character 'Jonas McAlann'
[12:46:07]	Jonas McAlann opened the '' #1252 container.
[12:46:09]	Jonas McAlann closed the '' #1252 container.
[12:46:19]	Jonas McAlann opened the '' #1233 container.
[12:46:21]	Jonas McAlann closed the '' #1233 container.
[12:46:29]	[OOC] CCA.C08-UNION.i5.99915: poision
[12:46:33]	Jonas McAlann opened the '' #1271 container.
[12:46:34]	[OOC] Erwin Ramstein: poison? :c
[12:46:34]	Jonas McAlann closed the '' #1271 container.
[12:46:42]	[OOC] CCA.C08-UNION.i5.99915: bell biv divoe
[12:47:19]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[12:47:47]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12244)
[12:47:47]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12244.
[12:47:48]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12245)
[12:47:48]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12245.
[12:47:48]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12246)
[12:47:48]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12246.
[12:47:49]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12247)
[12:47:49]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12247.
[12:47:50]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12250)
[12:47:50]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12250.
[12:47:51]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12249)
[12:47:51]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12249.
[12:47:52]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12248)
[12:47:52]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12248.
[12:47:53]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12232)
[12:47:53]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12232.
[12:47:54]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12228)
[12:47:54]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12228.
[12:47:55]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12233)
[12:47:55]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12233.
[12:47:56]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12229)
[12:47:56]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12229.
[12:47:57]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12234)
[12:47:57]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12234.
[12:47:58]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12235)
[12:47:58]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12235.
[12:47:59]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12231)
[12:47:59]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12231.
[12:48:00]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12230)
[12:48:00]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12230.
[12:48:01]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12252)
[12:48:01]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12252.
[12:48:02]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12251)
[12:48:02]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12251.
[12:48:03]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12227)
[12:48:03]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12227.
[12:48:05]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12236)
[12:48:05]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12236.
[12:48:05]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12237)
[12:48:05]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12237.
[12:48:07]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12238)
[12:48:07]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12238.
[12:48:07]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12239)
[12:48:07]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12239.
[12:48:08]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Biotic Grade Ration' (#12243)
[12:48:08]	CCA.C08-UNION.i5.99915 has lost a 'Biotic Grade Ration' #12243.
