[02:17:34]	npaynter2 has connected.
[21:44:02]	Private Emily Brown used command '/Radio You're gonna freeze to death.'.
[21:44:02]	[LOOC] Raymon Kalachya: 6'6 russian woman. Jesus fuck
[21:44:12]	CCA.C08-GRID.i1.23710 used command '/Radio A fire will not stop a blizzard.'.
[21:44:20]	CCA.C08-QrM.98240 used command '/Radio Hey ECHO, what are the chances that your augments will freeze?'.
[21:44:23]	Raymon Kalachya used command '/ru Ah nice. I am originally from Russia. It is my home'.
[21:44:34]	OTA.C08-ECHO:OHS.69173 used command '/Radio Unaware. Never taken it this far.'.
[21:44:40]	Private Emily Brown used command '/Radio Alright. Suit yourself.'.
[21:44:47]	CCA.C08-QrM.98240 used command '/Radio 10 tokens all of your augments freeze.'.
[21:44:50]	Raymon Kalachya used command '/ru Maybe not inside. Anyhow'.
[21:45:02]	[ME] OTA.C08-ECHO:OHS.69173: slings his smg over his shoulder.
[21:45:10]	OTA.WCT-SCALPEL:OSS.51964 used command '/Dispatch All units, be aware of weather order changes. Test has concluded, weather is returning to standard.'.
[21:45:24]	[OOC] Raymon Kalachya: So the CPs control weather?
[21:45:35]	[ME] OTA.C08-ECHO:OHS.69173: opens the door
[21:45:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[21:46:07]	[ME] Anastasia Ivanovich: ripped out the clos-
[21:46:26]	OTA.WCT-SCALPEL:OSS.51964 used command '/Dispatch Temperature Reading: Negative Ten Celsius.'.
[21:46:38]	[OOC] OTA.C08-ECHO:OHS.69173: In the arctic? hell it's the summer time
[21:46:41]	[ME] Anastasia Ivanovich: doesn't seem remotely cold at all.
[21:46:43]	[OOC] OTA.C08-ECHO:OHS.69173: woop woop
[21:46:49]	[ME] Nova Wrenrey: huddles close to the fire
[21:46:50]	OTA.WCT-SCALPEL:OSS.51964 used command '/Dispatch Wind speed reading: Zero point zero zero 5 kilometers per hour.'.
[21:46:57]	[ME] Private Emily Brown: shuffles closer to the fire
[21:47:13]	Private Emily Brown used command '/CharDesc'.
[21:47:19]	OTA.WCT-SCALPEL:OSS.51964 used command '/Event All units, report-'.
[21:47:25]	[OOC] OTA.WCT-SCALPEL:OSS.51964: void
[21:47:28]	Private Emily Brown used command '/CharDesc [HAZMAT SUIT ON/OFF] A short, decently fit young woman stands before you clad in a standard, puce green Conscript uniform. She exhibits hazel eyes, complimenting her hazelnut coloured hair which is tied back in a neat ponytail.'.
[21:47:31]	OTA.WCT-SCALPEL:OSS.51964 used command '/Dispatch All units, report-'.
[21:47:37]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[21:47:44]	OTA.WCT-SCALPEL:OSS.51964 used command '/Event The voice just sort of... trails off. Like a quick fade out.'.
[21:48:23]	[ME] Anastasia Ivanovich: pretends to know these people despite literally just appearing out of nowhere.
[21:48:26]	[ME] Kane Davis: silently stares at the fire
[21:49:14]	OTA.WCT-SCALPEL:OSS.51964 used command '/Event You see something flying in the sky. It looks synthetic.'.
[21:49:22]	[OOC] OTA.C08-ECHO:OHS.69173: <:: Mom! ::> 
[21:49:23]	[ME] Private Emily Brown: looks up at the sky
[21:49:38]	[Y] Raymon Kalachya: What the shit is that.
[21:49:43]	OTA.WCT-SCALPEL:OSS.51964 used command '/Event Then, you see it going down.'.
[21:49:44]	[OOC] Raymon Kalachya: So now we got advisors in this bitch
[21:49:48]	OTA.WCT-SCALPEL:OSS.51964 entered observer.
[21:49:48]	OTA.WCT-SCALPEL:OSS.51964 entered observer.
[21:50:11]	[Y] Private Emily Brown: Fuck!
[21:50:12]	OTA.WCT-SCALPEL:OSS.51964 used command '/Event An explosion.'.
[21:50:17]	[Y] Raymon Kalachya: JESUS FUCKING CHRIST!
[21:50:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[21:50:39]	OTA.WCT-SCALPEL:OSS.51964 used command '/Dispatch Electromagnetic Pulse detected. Restarting symptoms.'.
[21:50:42]	[OOC] OTA.WCT-SCALPEL:OSS.51964: fuck
[21:50:43]	[OOC] OTA.WCT-SCALPEL:OSS.51964: systems
[21:50:54]	[LOOC] OTA.C08-ECHO:OHS.69173: where *E*
[21:50:56]	[OOC] Anastasia Ivanovich: r u dyslexic good sir?
[21:51:04]	[OOC] OTA.WCT-SCALPEL:OSS.51964: no just dumb as shity
[21:51:12]	[OOC] Anastasia Ivanovich: dumb as shity
[21:51:34]	[OOC] OTA.C08-ECHO:OHS.69173: Did grid die again?
[21:52:02]	[ME] Anastasia Ivanovich: hums quietly.
[21:52:37]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[21:53:12]	[OOC] CCA.C08-QrM.98240: thanks dispatch
[21:53:12]	[OOC] Private Emily Brown: in the arctic
[21:53:31]	[ME] Anastasia Ivanovich: kept humming. Save she vvas told not to
[21:53:32]	OTA.WCT-SCALPEL:OSS.51964 has spawned 'models/advisorpod_crash/advisor_pod_crash.mdl'.
[21:53:37]	OTA.WCT-SCALPEL:OSS.51964 has spawned 'models/advisorpod_crash/advisor_pod_crash.mdl'.
[21:54:31]	[Y] OTA.C08-ECHO:OHS.69173: <:: Watch your step! ::>
[21:54:36]	Private Emily Brown used command '/Radio Should we split up? There's another settlement over there besides the water tower.'.
[21:54:36]	OTA.WCT-SCALPEL:OSS.51964 used command '/Dispatch All Universal Union units of all locations, report to the WCT immediately.'.
[21:54:43]	Private Emily Brown used command '/Radio Or not.'.
[21:55:01]	[OOC] Private Emily Brown: wtf is a wct
[21:55:07]	[OOC] CCA.C08-GRID.i1.23710: watchtower?
[21:55:09]	[OOC] OTA.WCT-SCALPEL:OSS.51964: IC you don't know
[21:55:15]	[OOC] OTA.C08-ECHO:OHS.69173: Oh lovely
[21:55:26]	OTA.WCT-SCALPEL:OSS.51964 used command '/Dispatch All units are ordered to abandon all civil subjects until threat has been handled.'.
[21:55:33]	[W] Kane Davis: With a bunch of idiots...
[21:55:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[21:56:14]	OTA.WCT-SCALPEL:OSS.51964 used command '/Event All Universal Union units report to radio tower. Repeat, abandon all civil subjects.'.
[21:56:17]	[OOC] OTA.WCT-SCALPEL:OSS.51964: fuck me
[21:56:21]	OTA.WCT-SCALPEL:OSS.51964 used command '/Dispatch All Universal Union units report to radio tower. Repeat, abandon all civil subjects.'.
[21:56:40]	[Y] Raymon Kalachya: Alright. Civies. Let's go, I'll lead.
[21:56:55]	OTA.WCT-SCALPEL:OSS.51964 used command '/Dispatch Abandon all civil subjects.'.
[21:57:18]	CCA.C08-QrM.98240 used command '/Radio Radio tower, do they mean that tower the sniper was in>'.
[21:57:24]	CCA.C08-QrM.98240 used command '/Radio // ?*'.
[21:57:37]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[21:57:37]	OTA.C08-ECHO:OHS.69173 used command '/Radio // or the actual functional radio tower'.
[21:57:49]	[IT] OTA.WCT-SCALPEL:OSS.51964: That pod seemed interesting. Do you go to it? Do you try to sneak on the units? What do you do?
[21:57:49]	OTA.C08-ECHO:OHS.69173 used command '/Radio // *E*'.
[21:57:58]	[ME] OTA.C08-ECHO:OHS.69173: sips the oil
[21:57:59]	[LOOC] OTA.C08-ECHO:OHS.69173: void
[21:58:13]	OTA.WCT-SCALPEL:OSS.51964 exited observer at their location.
[21:58:13]	[LOOC] CCA.C08-GRID.i1.23710: i think it's a vvater line?
[21:58:14]	OTA.WCT-SCALPEL:OSS.51964 entered observer.
[21:58:14]	OTA.WCT-SCALPEL:OSS.51964 exited observer at their location.
[21:58:24]	OTA.WCT-SCALPEL:OSS.51964 entered observer.
[21:58:25]	[LOOC] OTA.C08-ECHO:OHS.69173: prob would freeze tho
[21:58:39]	[LOOC] CCA.C08-GRID.i1.23710: iirc it'd be heated
[21:58:48]	[LOOC] Private Emily Brown: heat deez nuts
[21:58:50]	[ME] Anastasia Ivanovich: could care less either way.
[21:58:52]	[LOOC] OTA.C08-ECHO:OHS.69173: gottem
[21:58:53]	[LOOC] CCA.C08-GRID.i1.23710: like most things in the artic
[21:59:07]	[LOOC] OTA.C08-ECHO:OHS.69173: most things are heated in the artic
[21:59:11]	[LOOC] OTA.C08-ECHO:OHS.69173: of yes
[21:59:17]	[LOOC] CCA.C08-GRID.i1.23710: are you
[21:59:28]	OTA.WCT-SCALPEL:OSS.51964 exited observer at their location.
[21:59:29]	OTA.WCT-SCALPEL:OSS.51964 entered observer.
[21:59:30]	OTA.WCT-SCALPEL:OSS.51964 exited observer at their location.
[21:59:33]	[LOOC] OTA.C08-ECHO:OHS.69173: I guess uhhh... this is the part that the 'citizens' take part in
[21:59:35]	[Y] Raymon Kalachya: Double time!
[21:59:37]	matt saton loaded the character 'OTA.C08-ECHO:ORD.98625'
[21:59:38]	OTA.C08-ECHO:ORD.98625 entered observer.
[21:59:40]	[LOOC] OTA.C08-ECHO:OHS.69173: eh?
[21:59:43]	[LOOC] CCA.C08-GRID.i1.23710: ok let's engage in erp
[21:59:44]	[LOOC] CCA.C08-QrM.98240: probably
[21:59:50]	OTA.C08-ECHO:ORD.98625 exited observer at their location.
[21:59:51]	OTA.C08-ECHO:ORD.98625 entered observer.
[21:59:51]	[OOC] Private Emily Brown: thx dispatch
[21:59:52]	OTA.C08-ECHO:ORD.98625 exited observer at their location.
[21:59:56]	[OOC] Private Emily Brown: love you
[22:00:04]	CCA.C08-GRID.i1.23710 entered observer.
[22:00:07]	[LOOC] OTA.C08-ECHO:OHS.69173: oh now way
[22:00:08]	CCA.C08-GRID.i1.23710 exited observer at their location.
[22:00:17]	[Y] OTA.C08-ECHO:ORD.98625: <:: Down, immediately! ::>
[22:00:23]	[Y] OTA.C08-ECHO:OHS.69173: <:: Get down! ::>
[22:00:24]	[Y] OTA.C08-ECHO:OHS.69173: <:: Get down! ::>
[22:00:25]	[LOOC] CCA.C08-GRID.i1.23710: hi
[22:00:26]	[Y] OTA.C08-ECHO:OHS.69173: <:: Get down! ::>
[22:00:27]	Kane Davis ran 'EquipUn' on item 'Blue and White Coat' (#20548)
[22:00:29]	Kane Davis ran 'drop' on item 'Blue and White Coat' (#20548)
[22:00:29]	Kane Davis has lost a 'Blue and White Coat' #20548.
[22:00:29]	[LOOC] Private Emily Brown: what
[22:00:34]	Kane Davis ran 'take' on item 'Red and Black Coat' (#20532)
[22:00:34]	Kane Davis has gained a 'Red and Black Coat' #20532.
[22:00:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[22:00:37]	Kane Davis ran 'Equip' on item 'Red and Black Coat' (#20532)
[22:00:45]	[ME] OTA.C08-ECHO:OHS.69173: smiles like a little good boy he is
[22:00:46]	[LOOC] OTA.C08-ECHO:OHS.69173: void
[22:01:03]	[Y] Kane Davis: Guys!
[22:01:04]	[OOC] Raymon Kalachya: Stop running around like a fuckin moron
[22:01:06]	[OOC] CCA.C08-GRID.i1.23710: im going to send you to fr*nce
[22:01:20]	OTA.WCT-ECHO:ORD.19659 used command '/CharSetName ord OTA.WCT-ECHO:ORD.19659'.
[22:01:29]	[OOC] Nova Wrenrey: my internets going out, im trying lol
[22:01:30]	Raymon Kalachya ran 'take' on item 'Teal and Black Coat' (#20534)
[22:01:30]	Raymon Kalachya has gained a 'Teal and Black Coat' #20534.
[22:01:54]	Kane Davis ran 'take' on item 'Sweatpants' (#20527)
[22:01:54]	Kane Davis has gained a 'Sweatpants' #20527.
[22:02:02]	Kane Davis ran 'Equip' on item 'Sweatpants' (#20527)
[22:02:52]	OTA.WCT-ECHO:ORD.19659 entered observer.
[22:03:00]	[OOC] Raymon Kalachya: Adminos
[22:03:02]	OTA.WCT-ECHO:ORD.19659 used command '/PM raymon /roll for me'.
[22:03:04]	[OOC] OTA.WCT-ECHO:ORD.19659: on it
[22:03:05]	[ME] OTA.C08-ECHO:OHS.69173: he points forward, "That way."
[22:03:08]	[LOOC] OTA.WCT-ECHO:ORD.19659: /roll for me, and turn off your voicemail
[22:03:09]	OTA.WCT-ECHO:ORD.19659 exited observer at their location.
[22:03:10]	OTA.WCT-ECHO:ORD.19659 entered observer.
[22:03:23]	Raymon Kalachya used command '/SetVoicemail'.
[22:03:27]	Raymon Kalachya rolled 13 out of 100.
[22:03:27]	Raymon Kalachya used command '/Roll'.
[22:03:30]	[LOOC] Kane Davis: roll?
[22:03:40]	[LOOC] OTA.WCT-ECHO:ORD.19659: hold on, raymon is having a lewk first
[22:03:40]	OTA.WCT-ECHO:ORD.19659 used command '/adminspawnmenu'.
[22:03:47]	[LOOC] Raymon Kalachya: ROlling is dumb. These boxes would have stuff in them either way. We shouldn't have to roll on this shit
[22:03:55]	[ME] Raymon Kalachya: tears open one box, looking it in and out
[22:03:55]	Private Emily Brown used command '/ToggleRaise'.
[22:03:56]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:03:58]	Raymon Kalachya rolled 49 out of 100.
[22:03:58]	Raymon Kalachya used command '/Roll'.
[22:04:02]	OTA.WCT-ECHO:ORD.19659 has spawned "Thermobag"
[22:04:08]	OTA.WCT-ECHO:ORD.19659 has spawned "Bandage"
[22:04:08]	OTA.WCT-ECHO:ORD.19659 has spawned "Bandage"
[22:04:14]	OTA.WCT-ECHO:ORD.19659 has spawned "UU Brand Apple"
[22:04:16]	OTA.WCT-ECHO:ORD.19659 has spawned "UU Brand Lager"
[22:04:17]	OTA.WCT-ECHO:ORD.19659 has spawned "UU Brand Chips"
[22:04:19]	OTA.WCT-ECHO:ORD.19659 has spawned "Expired Milk"
[22:04:20]	[ME] Raymon Kalachya: looks at the bag and other items he found
[22:04:23]	Raymon Kalachya ran 'take' on item 'Thermobag' (#20563)
[22:04:27]	Private Emily Brown used command '/ToggleRaise'.
[22:04:28]	Private Emily Brown used command '/ToggleRaise'.
[22:04:40]	[LOOC] OTA.C08-ECHO:OHS.69173: breach reeeeeeeeee
[22:04:41]	[LOOC] OTA.C08-ECHO:OHS.69173: aw
[22:04:41]	OTA.WCT-ECHO:ORD.19659 has spawned a 'Entity [431][pfx8_03]'.
[22:04:46]	Raymon Kalachya ran 'take' on item 'Thermobag' (#20563)
[22:04:49]	CCA.C08-GRID.i1.23710 entered observer.
[22:04:50]	Raymon Kalachya ran 'Consume' on item 'Consulate Water' (#20487)
[22:04:54]	Raymon Kalachya ran 'Consume' on item 'Consulate Water' (#20485)
[22:04:54]	Raymon Kalachya ran 'Consume' on item 'Standard Grade Citizen Food Product' (#20484)
[22:04:57]	Private Emily Brown used command '/ToggleRaise'.
[22:04:58]	OTA.C08-ECHO:OHS.69173 used command '/Radio Any viscon?'.
[22:05:00]	CCA.C08-GRID.i1.23710 exited observer at their location.
[22:05:00]	Raymon Kalachya ran 'take' on item 'Thermobag' (#20563)
[22:05:00]	Raymon Kalachya has gained a 'Thermobag' #20563.
[22:05:03]	Private Emily Brown used command '/Radio Negative.'.
[22:05:04]	OTA.WCT-ECHO:ORD.19659 has spawned a 'NPC [162][monster_shocktrooper]'.
[22:05:05]	OTA.WCT-ECHO:ORD.19659 has spawned a 'NPC [591][monster_shocktrooper]'.
[22:05:06]	OTA.WCT-ECHO:ORD.19659 has spawned a 'NPC [605][monster_pitdrone]'.
[22:05:07]	OTA.WCT-ECHO:ORD.19659 has spawned a 'NPC [634][monster_pitdrone]'.
[22:05:11]	[ME] Raymon Kalachya: picks up the bag, putting it aorund his shoulder 
[22:05:11]	CCA.C08-GRID.i1.23710 used command '/Radio ...Affirmative...'.
[22:05:12]	Private Emily Brown used command '/ToggleRaise'.
[22:05:12]	[Y] CCA.C08-QrM.98240: <:: Uh! ::>
[22:05:14]	OTA.WCT-ECHO:ORD.19659 has spawned a 'NPC [418][monster_pitdrone]'.
[22:05:15]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:05:17]	[OOC] Nova Wrenrey: i gotta go have fun
[22:05:19]	CCA.C08-GRID.i1.23710 has taken 6 damage from monster_shocktrooper.
[22:05:19]	CCA.C08-GRID.i1.23710 has taken 9 damage from monster_pitdrone.
[22:05:19]	CCA.C08-GRID.i1.23710 has taken 6 damage from monster_pitdrone.
[22:05:19]	CCA.C08-GRID.i1.23710 has taken 5 damage from monster_pitdrone.
[22:05:19]	CCA.C08-GRID.i1.23710 has taken 9 damage from monster_pitdrone.
[22:05:20]	Raymon Kalachya ran 'take' on item 'UU Brand Chips' (#20568)
[22:05:20]	Raymon Kalachya has gained a 'UU Brand Chips' #20568.
[22:05:21]	CCA.C08-GRID.i1.23710 has taken 6 damage from monster_shocktrooper.
[22:05:21]	CCA.C08-GRID.i1.23710 has taken 6 damage from monster_shocktrooper.
[22:05:22]	devilsurvivor45 (STEAM_0:1:197160536) has disconnected.
[22:05:24]	[OOC] OTA.WCT-ECHO:ORD.19659: thanks for-
[22:05:26]	[OOC] OTA.WCT-ECHO:ORD.19659: shid
[22:05:27]	OTA.C08-ECHO:OHS.69173 has taken 6 damage from monster_shocktrooper.
[22:05:30]	Raymon Kalachya ran 'take' on item 'UU Brand Lager' (#20567)
[22:05:30]	Raymon Kalachya has gained a 'UU Brand Lager' #20567.
[22:05:34]	Private Emily Brown has taken 12 damage from monster_shockroach.
[22:05:34]	OTA.C08-ECHO:OHS.69173 has taken 7 damage from monster_pitdrone.
[22:05:34]	OTA.C08-ECHO:OHS.69173 has taken 5 damage from monster_pitdrone.
[22:05:36]	Raymon Kalachya ran 'drop' on item 'UU Brand Lager' (#20567)
[22:05:36]	Raymon Kalachya has lost a 'UU Brand Lager' #20567.
[22:05:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[22:05:40]	Private Emily Brown used command '/ToggleRaise'.
[22:05:42]	Raymon Kalachya ran 'take' on item 'UU Brand Lager' (#20567)
[22:05:42]	Raymon Kalachya has gained a 'UU Brand Lager' #20567.
[22:05:49]	Raymon Kalachya ran 'take' on item 'UU Brand Apple' (#20566)
[22:05:49]	Raymon Kalachya has gained a 'UU Brand Apple' #20566.
[22:05:51]	Private Emily Brown used command '/ToggleRaise'.
[22:05:58]	[OOC] CCA.C08-GRID.i1.23710: why has no one started a snowball fight
[22:05:59]	Raymon Kalachya ran 'take' on item 'Bandage' (#20565)
[22:05:59]	Raymon Kalachya has gained a 'Bandage' #20565.
[22:06:03]	[OOC] CCA.C08-QrM.98240: Good question
[22:06:03]	Raymon Kalachya ran 'take' on item 'Bandage' (#20564)
[22:06:03]	Raymon Kalachya has gained a 'Bandage' #20564.
[22:06:04]	Private Emily Brown used command '/ToggleRaise'.
[22:06:09]	Anastasia Ivanovich ran 'Consume' on item 'Expired Milk' (#20569)
[22:06:09]	Anastasia Ivanovich has taken 4 damage from worldspawn.
[22:06:10]	[Y] CCA.C08-QrM.98240: <:: Think that was all of them? ::>
[22:06:10]	OTA.WCT-ECHO:ORD.19659 has spawned a 'NPC [162][monster_alien_voltigore]'.
[22:06:11]	Private Emily Brown used command '/ToggleRaise'.
[22:06:13]	OTA.WCT-ECHO:ORD.19659 has spawned a 'NPC [634][monster_pitdrone]'.
[22:06:14]	OTA.C08-ECHO:OHS.69173 used command '/Radio Tag 4- Incoming'.
[22:06:15]	OTA.WCT-ECHO:ORD.19659 has spawned a 'NPC [897][monster_pitdrone]'.
[22:06:16]	OTA.WCT-ECHO:ORD.19659 has spawned a 'NPC [663][monster_shocktrooper]'.
[22:06:17]	OTA.WCT-ECHO:ORD.19659 has spawned a 'NPC [445][monster_shocktrooper]'.
[22:06:18]	OTA.WCT-ECHO:ORD.19659 has spawned a 'NPC [418][monster_shocktrooper]'.
[22:06:18]	OTA.WCT-ECHO:ORD.19659 has spawned a 'NPC [223][monster_shocktrooper]'.
[22:06:20]	[Y] CCA.C08-GRID.i1.23710: <:: Not really! ::>
[22:06:24]	Private Emily Brown has taken 9 damage from monster_pitdrone.
[22:06:24]	Private Emily Brown has taken 5 damage from monster_pitdrone.
[22:06:24]	Private Emily Brown has taken 6 damage from monster_pitdrone.
[22:06:24]	Private Emily Brown has taken 7 damage from monster_pitdrone.
[22:06:24]	[OOC] Raymon Kalachya: Ty admin boi
[22:06:24]	[ME] Anastasia Ivanovich: spits out the expired milk.
[22:06:25]	CCA.C08-GRID.i1.23710 has taken 6 damage from monster_shocktrooper.
[22:06:25]	CCA.C08-GRID.i1.23710 has taken 5 damage from monster_pitdrone.
[22:06:25]	CCA.C08-GRID.i1.23710 has taken 7 damage from monster_pitdrone.
[22:06:25]	CCA.C08-GRID.i1.23710 has taken 9 damage from monster_pitdrone.
[22:06:25]	CCA.C08-GRID.i1.23710 has taken 6 damage from monster_shocktrooper.
[22:06:26]	CCA.C08-GRID.i1.23710 has taken 6 damage from monster_shocktrooper.
[22:06:26]	CCA.C08-GRID.i1.23710 has taken 6 damage from monster_shocktrooper.
[22:06:27]	CCA.C08-GRID.i1.23710 has taken 6 damage from monster_shocktrooper.
[22:06:27]	CCA.C08-GRID.i1.23710 has taken 9 damage from monster_pitdrone.
[22:06:27]	OTA.C08-ECHO:OHS.69173 ran 'Equip' on item 'Combine Grenade' (#20495)
[22:06:27]	[OOC] OTA.WCT-ECHO:ORD.19659: yeye
[22:06:30]	CCA.C08-QrM.98240 has taken 9 damage from monster_pitdrone.
[22:06:30]	CCA.C08-QrM.98240 has taken 8 damage from monster_pitdrone.
[22:06:32]	OTA.C08-ECHO:OHS.69173 has taken 9 damage from monster_pitdrone.
[22:06:32]	OTA.C08-ECHO:OHS.69173 has taken 7 damage from monster_pitdrone.
[22:06:33]	CCA.C08-GRID.i1.23710 has taken 6 damage from monster_shocktrooper.
[22:06:34]	CCA.C08-GRID.i1.23710 has taken 6 damage from monster_shocktrooper.
[22:06:35]	CCA.C08-GRID.i1.23710 has taken 6 damage from monster_shocktrooper.
[22:06:36]	CCA.C08-GRID.i1.23710 has taken 6 damage from monster_shocktrooper.
[22:06:36]	CCA.C08-GRID.i1.23710 has taken 6 damage from monster_shocktrooper.
[22:06:36]	CCA.C08-GRID.i1.23710 has taken 6 damage from monster_shocktrooper.
[22:06:41]	Private Emily Brown has taken 7 damage from CCA.C08-QrM.98240.
[22:06:49]	Private Emily Brown used command '/ToggleRaise'.
[22:06:50]	Private Emily Brown used command '/ToggleRaise'.
[22:06:54]	Private Emily Brown has taken 12 damage from monster_shockroach.
[22:06:54]	CCA.C08-GRID.i1.23710 has taken 12 damage from monster_shockroach.
[22:07:04]	OTA.C08-ECHO:OHS.69173 has taken 12 damage from monster_shockroach.
[22:07:06]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:07:15]	Private Emily Brown used command '/Radio Watch for those fucking roaches.'.
[22:07:17]	Private Emily Brown used command '/ToggleRaise'.
[22:07:19]	CCA.C08-QrM.98240 used command '/Radio Got it'.
[22:07:24]	Private Emily Brown used command '/Radio I'm pretty badly hurt.'.
[22:07:35]	CCA.C08-QrM.98240 has taken 12 damage from monster_shockroach.
[22:07:37]	[ME] Private Emily Brown: would shuffle down
[22:07:37]	Private Emily Brown used command '/ToggleRaise'.
[22:07:37]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[22:07:37]	CCA.C08-QrM.98240 has taken 4 damage from CCA.C08-GRID.i1.23710.
[22:07:37]	CCA.C08-QrM.98240 has taken 4 damage from CCA.C08-GRID.i1.23710.
[22:07:41]	Private Emily Brown used command '/ToggleRaise'.
[22:07:52]	OTA.WCT-ECHO:ORD.19659 has spawned 'models/combine_turrets/combine_cannon.mdl'.
[22:07:52]	[ME] CCA.C08-QrM.98240: Would toss a packaged military bandage over to the GRID>
[22:07:54]	CCA.C08-QrM.98240 ran 'drop' on item 'Army Bandage' (#20237)
[22:07:54]	CCA.C08-QrM.98240 has lost a 'Army Bandage' #20237.
[22:07:55]	OTA.WCT-ECHO:ORD.19659 has spawned 'models/combine_turrets/combine_cannon_gun.mdl'.
[22:07:57]	OTA.WCT-ECHO:ORD.19659 has spawned 'models/combine_turrets/combine_cannon_powergen.mdl'.
[22:07:59]	CCA.C08-GRID.i1.23710 ran 'Apply' on item 'Army Bandage' (#20237)
[22:08:01]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:08:04]	[ME] CCA.C08-QrM.98240: Tosses two military bandages over.
[22:08:06]	CCA.C08-QrM.98240 ran 'drop' on item 'Army Bandage' (#20238)
[22:08:06]	CCA.C08-QrM.98240 has lost a 'Army Bandage' #20238.
[22:08:06]	CCA.C08-QrM.98240 ran 'drop' on item 'Army Bandage' (#20239)
[22:08:06]	CCA.C08-QrM.98240 has lost a 'Army Bandage' #20239.
[22:08:16]	[ME] Private Emily Brown: would take the military bandages and apply them to herself
[22:08:28]	Private Emily Brown ran 'ApplySelf' on item 'Army Bandage' (#20238)
[22:08:29]	Private Emily Brown ran 'ApplySelf' on item 'Army Bandage' (#20239)
[22:08:45]	Private Emily Brown used command '/ToggleRaise'.
[22:08:46]	Private Emily Brown used command '/ToggleRaise'.
[22:08:48]	[IT] OTA.WCT-ECHO:ORD.19659: Your heads start pounding out of nowhere. Just completely throbbing, for around twelve seconds.
[22:08:51]	Private Emily Brown used command '/ToggleRaise'.
[22:08:52]	[IT] OTA.WCT-ECHO:ORD.19659: Your heads start pounding out of nowhere. Just completely throbbing, for around twelve seconds.
[22:09:02]	[Y] Kane Davis: Ah!
[22:09:05]	[ME] Raymon Kalachya: puts his hands on his head
[22:09:06]	Private Emily Brown used command '/ToggleRaise'.
[22:09:08]	[Y] Raymon Kalachya: BLYAT!
[22:09:09]	CCA.C08-GRID.i1.23710 ran 'Equip' on item 'Smoke Grenade' (#20351)
[22:09:11]	Private Emily Brown used command '/ToggleRaise'.
[22:09:12]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:09:15]	[ME] Kane Davis: leans on the tree.
[22:09:15]	Private Emily Brown used command '/ToggleRaise'.
[22:09:19]	Private Emily Brown used command '/ToggleRaise'.
[22:09:30]	Private Emily Brown used command '/ToggleRaise'.
[22:09:35]	Private Emily Brown used command '/ToggleRaise'.
[22:09:36]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:09:38]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:09:56]	OTA.WCT-ECHO:ORD.19659 has spawned a 'NPC [202][monster_alien_voltigore]'.
[22:09:59]	Private Emily Brown used command '/Radio Chuck a grenade into the portal?'.
[22:10:00]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:10:12]	[OOC] CCA.C08-QrM.98240: Lmao, that died quickly.
[22:10:17]	[Y] Raymon Kalachya: What is going on?!
[22:10:21]	[OOC] CCA.C08-GRID.i1.23710: i was about to gun down the citizens
[22:10:25]	[OOC] CCA.C08-QrM.98240: Yes
[22:10:29]	OTA.C08-ECHO:OHS.69173 used command '/Radio Out of bouncers sadly.'.
[22:10:29]	[Y] Raymon Kalachya: What..? What are these?
[22:10:35]	[Y] Anastasia Ivanovich: Food.
[22:10:35]	Private Emily Brown used command '/Radio Damnit.'.
[22:10:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[22:10:37]	CCA.C08-QrM.98240 used command '/Radio Wish I had some of those.'.
[22:10:39]	CCA.C08-QrM.98240 ran 'Equip' on item 'Combat Knife' (#20367)
[22:10:44]	[Y] OTA.C08-ECHO:OHS.69173: <:: All of you- get inside! It's not safe here! ::>
[22:10:49]	Private Emily Brown used command '/ToggleRaise'.
[22:10:49]	[Y] Raymon Kalachya: Yes! Follow me!
[22:10:59]	OTA.WCT-ECHO:ORD.19659 used command '/ToggleRaise'.
[22:11:20]	[LOOC] Kane Davis: tf
[22:11:30]	OTA.WCT-ECHO:ORD.19659 exited observer at their location.
[22:11:30]	OTA.WCT-ECHO:ORD.19659 entered observer.
[22:11:34]	Raymon Kalachya used command '/ru I hate this FUCKING PLACE'.
[22:11:41]	[OOC] Kane Davis: random sniper shoots an unarmed civilian??? okkkk.....
[22:11:49]	[OOC] Anastasia Ivanovich: Bosnia RP
