[00:00:02]	[OOC] Jack Kingston: ban
[16:51:53]	[OOC] Joseph Sterling: Been playing for three years aswell
[16:52:06]	Leon Taylor opened the 'File Cabinet' #2385 container.
[16:52:09]	Leon Taylor closed the 'File Cabinet' #2385 container.
[16:52:10]	[OOC] Steven Thompson: Okay to be honest I get protecting minors but most people lie about there age so we never really know
[16:52:11]	Alex Palovichov used command '/Broadcast And stress, can lead to alot of issues! High blood pressure, heart problems and even more! Now...Lets go over some ways to deal with stress!'.
[16:52:15]	[OOC] Joseph Sterling: I started playing Gmod when I was like, 5
[16:52:21]	Leon Taylor opened the 'File Cabinet' #2383 container.
[16:52:24]	Leon Taylor has gained a 'Bleach' #45170.
[16:52:25]	Leon Taylor closed the 'File Cabinet' #2383 container.
[16:52:27]	Leon Taylor opened the 'Filing Cabinet' #2384 container.
[16:52:29]	Leon Taylor closed the 'Filing Cabinet' #2384 container.
[16:52:30]	Leon Taylor opened the 'Filing Cabinet' #2384 container.
[16:52:32]	[OOC] Joseph Sterling: Easy stress relievers- Beating the shit out of CPs and CAs.
[16:52:34]	[OOC] Steven Thompson: Also saying cum is not going to make a child go into a ptsd panic mode
[16:52:35]	Leon Taylor closed the 'Filing Cabinet' #2384 container.
[16:52:37]	Leon Taylor opened the 'File Cabinet' #2383 container.
[16:52:40]	Leon Taylor closed the 'File Cabinet' #2383 container.
[16:52:40]	[OOC] Steven Thompson: i think....
[16:52:42]	CCA.C17-UNION.i4.04796 has gained 10 tokens.
[16:52:43]	[OOC] CCA.C17-GRID.i3.94233: right but like give me a example of what you are trying to say in what context
[16:52:47]	Alex Palovichov used command '/Broadcast I wish for everyone that is currently at home...Or going home soon to go over this little exercise I even use...Lets first start out with some deep breaths...'.
[16:52:48]	[OOC] CCA.C17-GRID.i3.94233: dont
[16:52:50]	[OOC] Joseph Sterling: HOLY FUCK SEMEN???? OH MY GOD I'M GONNA DIE I HEARD THE CUM WORD
[16:52:55]	[OOC] Steven Thompson: bro
[16:52:56]	[OOC] CCA.C17-GRID.EpU.06912: that's a fair opinion to have joseph, i don't disagree there
[16:53:02]	[OOC] CCA.C17-QrM.98240: please go into DMs god damn 
[16:53:03]	[OOC] Leon Taylor: If anyone playing is below 13-14 they're actively breaking Discords TOS if they're in the TOS btw. 
[16:53:06]	[OOC] CCA.C17-GRID.EpU.06912: this is a good idea
[16:53:07]	Douglas Hudson destroyed a 'Cloth Scrap' #45103.
[16:53:15]	[OOC] CCA.C17-QrM.98240: homies filling up OOC with funny sex word complaints 
[16:53:15]	[OOC] Steven Thompson: bro is breaking tos
[16:53:22]	[OOC] Ashley Greene: or yknow feedback-chat/complaints please thank you all
[16:53:22]	[OOC] CCA.C17-GRID.EpU.06912: it's 13 because of COPPA
[16:53:26]	[OOC] Ashley Greene: COPPA my nuts
[16:53:29]	Leon Taylor opened the 'File Cabinet' #2383 container.
[16:53:32]	Leon Taylor closed the 'File Cabinet' #2383 container.
[16:53:34]	Leon Taylor opened the 'Locker' #2396 container.
[16:53:36]	[OOC] Steven Thompson: hey q server recommandation make ooc a 20 second timer
[16:53:36]	Leon Taylor closed the 'Locker' #2396 container.
[16:53:37]	Leon Taylor opened the 'Locker' #2395 container.
[16:53:40]	Leon Taylor closed the 'Locker' #2395 container.
[16:53:41]	[OOC] CCA.C17-UNION.i3.29852: NO
[16:53:43]	[LOOC] Ashley Greene: thats a good suggestion
[16:53:43]	Alex Palovichov used command '/Broadcast Breath in!..... And Breath out!.....Breath in!.....And Breath out! Breathing exercises are one of the most important parts of managing stress, it lets you stop for a moment, and think...'.
[16:53:43]	[OOC] Steven Thompson: yes
[16:53:46]	[OOC] Alex Palovichov: How about
[16:53:46]	Ashley Greene has taken 1 damage from worldspawn.
[16:53:47]	Ashley Greene has taken 1 damage from worldspawn.
[16:53:47]	[OOC] Joseph Sterling: You can turn OOC off if you don't want to see it
[16:53:47]	[LOOC] Steven Thompson: i know
[16:53:48]	[OOC] CCA.C17-QrM.98240: do 7 seconds 
[16:53:48]	[OOC] Leon Taylor: Okay I'm going to go write a huge thing in complaints brb.
[16:53:48]	Ashley Greene has taken 1 damage from worldspawn.
[16:53:50]	[OOC] Alex Palovichov: We ALL play the quiet game
[16:53:51]	[OOC] CCA.C17-GRID.EpU.06912: we're at 5 but yeah
[16:53:52]	[OOC] Steven Thompson: do 20
[16:53:53]	[OOC] Jack Kingston: 15 minute delay
[16:53:57]	[LOOC] Ashley Greene: NO FILTER
[16:53:59]	CCA.C17-GRID.EpU.06912 set oocDelay to '8'.
[16:54:01]	[LOOC] Ashley Greene: LMAO
[16:54:01]	[OOC] Robert: dude
[16:54:05]	[LOOC] Steven Thompson: bro set it to 8
[16:54:05]	[OOC] Joseph Sterling: gasp
[16:54:08]	[OOC] Alex Palovichov: Anddd GO! 
[16:54:08]	[OOC] Ava Carter: FUCK OFF LEAVE IT AT 5 PLEASE
[16:54:12]	[OOC] Steven Thompson: 8 is gonna do jack shit
[16:54:13]	[OOC] Ashley Greene: insane a +1 second itmer
[16:54:24]	[OOC] Alex Palovichov: Man, yall suck at the quiet game...
[16:54:29]	[OOC] Steven Thompson: set it atleast 10 the ooc spam is crazy
[16:54:36]	[ME] Ashley Greene: equips a respirator to not have to use a filter
[16:54:38]	[LOOC] Ashley Greene: nvm
[16:54:39]	[ME] Steven Thompson: cries in ooc timer
[16:54:39]	[LOOC] Ashley Greene: dont own one
[16:54:40]	[OOC] Ava Carter: /me spams ooc
[16:54:44]	[OOC] Robert: should i have more whitelists Q
[16:54:46]	[LOOC] Lin'Garung: brb for 1 min
[16:54:48]	[LOOC] Ashley Greene: lemme go to froge
[16:54:48]	CCA.C17-GRID.i3.94233 has gained 10 tokens.
[16:54:50]	Val loaded the character 'Gregory'
[16:54:52]	CCA.C17-QrM.98240 has gained 10 tokens.
[16:54:59]	Gregory entered observer.
[16:55:00]	CCA.C17-GRID.EpU.06912 used command '/PM robert please ask us these things in admin chat'.
[16:55:02]	Gregory exited observer at their location.
[16:55:03]	Gregory entered observer.
[16:55:03]	Gregory exited observer at their location.
[16:55:14]	[LOOC] Steven Thompson: cool
[16:55:14]	[OOC] CCA.C17-GRID.EpU.06912: PMing you now. in the fut ure you guys can talk to staff by prefixing your message with @
[16:55:23]	[ME] CCA.C17-GRID.EpU.06912: would open up the filing cabinet and pull out a roll of painter's tape.
[16:55:25]	CCA.C17-GRID.EpU.06912 has gained 10 tokens.
[16:55:32]	Alex Palovichov used command '/Broadcast Another good exercise is stretching! Whenever you wake up or just feel tight...Stretch! Lets start with a easy one shall we?'.
[16:55:33]	Joseph Sterling has gained a 'Scrap Glass' #45182.
[16:55:34]	[OOC] Joseph Sterling: prefix my nuts gottem
[16:55:35]	Joseph Sterling opened the 'Dumpster' #2684 container.
[16:55:39]	[OOC] Steven Thompson: bro
[16:55:40]	CCA.C17-QrM.98240 used command '/Radio Getting off the checkpoint, inbound to Plaza.'.
[16:55:41]	Joseph Sterling closed the 'Dumpster' #2684 container.
[16:55:51]	CCA.C17-GRID.EpU.06912 used command '/PM robert anyways give me as eca nd iu'll chekc'.
[16:55:51]	CCA.C17-GRID.i3.94233 used command '/Radio Copy that taking over checkpoint'.
[16:55:54]	Robert used command '/PM epu so uh where is the admint chat'.
[16:56:02]	CCA.C17-UNION.i2.97018 has gained 10 tokens.
[16:56:03]	[OOC] CCA.C17-GRID.i3.94233: remember all
[16:56:07]	CCA.C17-GRID.EpU.06912 used command '/PM epu prefix your message with @to talk in the admin chat'.
[16:56:09]	[OOC] Joseph Sterling: God I want to mail this CA an anthrax letter or some sort of bioweapon-laced letter
[16:56:11]	[OOC] CCA.C17-GRID.i3.94233: grid is the best division
[16:56:13]	Alex Palovichov used command '/Broadcast First! Try touch your toes! Don't bend your knees, or at least try your hardest not to...Just stretch down and try touch your toes...As low as you can go!'.
[16:56:19]	[OOC] Alex Palovichov: I ain't the CA...
[16:56:20]	[OOC] Douglas Hudson: I forgot
[16:56:23]	[OOC] Robert: BIRD GRID?
[16:56:35]	Alex Palovichov has gained 50 tokens.
[16:56:40]	[LOOC] Jack Kingston: gives*
[16:56:46]	[LOOC] Lin'Garung: bak
[16:56:53]	Robert has spawned 'models/props_phx/misc/egg.mdl'.
[16:56:56]	Alex Palovichov used command '/Broadcast Don't start doing this now of course! Just do it when you are in your own room and want to relax a bit...Blow off some steam after a hard day working...'.
[16:57:00]	Douglas Hudson ran 'Consume' on item 'UU Brand Gin' (#44875)
[16:57:00]	Douglas Hudson has gained a 'Empty Glass Bottle' #45183.
[16:57:08]	[OOC] Robert: void that egg
[16:57:09]	Douglas Hudson ran 'take' on item 'Fingerless Gloves' (#31255)
[16:57:09]	Douglas Hudson has gained a 'Fingerless Gloves' #31255.
[16:57:10]	[OOC] Steven Thompson: BRO GET THIS ZETSY ASS MAN OUTTA HERE
[16:57:14]	Douglas Hudson ran 'Equip' on item 'Fingerless Gloves' (#31255)
[16:57:15]	CCA.C17-GRID.EpU.06912 used command '/Radio Either of you want to provide backup?'.
[16:57:19]	[OOC] Robert: it accidentaly fell
[16:57:20]	CCA.C17-QrM.98240 used command '/Radio I can'.
[16:57:26]	Douglas Hudson ran 'EquipUn' on item 'Respirator' (#26789)
[16:57:27]	Robert has spawned 'models/props_junk/garbage_carboard002a.mdl'.
[16:57:27]	Douglas Hudson ran 'Equip' on item 'Respirator' (#26789)
[16:57:32]	Alex Palovichov used command '/Broadcast Well then...That is all of the daily broadcast Industrial 17, Glory to the Union! Remain Loyal! Remain Truthful!'.
[16:57:40]	Robert has spawned 'models/props_junk/garbage_milkcarton002a.mdl'.
[16:57:42]	Robert has spawned 'models/props_junk/garbage_newspaper001a.mdl'.
[16:57:42]	CCA.C17-UNION.i4.04796 has gained 10 tokens.
[16:57:42]	Alex Palovichov used command '/Broadcast Have a good night...Industrial 17'.
[16:57:46]	Alex Palovichov entered observer.
[16:57:46]	Alex Palovichov exited observer at their location.
[16:57:47]	Alex Palovichov entered observer.
[16:58:12]	[OOC] Alex Palovichov: This ratio tho
[16:58:30]	[ME] Robert: CAWS
[16:58:33]	Alex Palovichov exited observer at their location.
[16:58:39]	Robert has lost 5 tokens.
[16:58:39]	Alex Palovichov entered observer.
[16:58:48]	[OOC] CCA.C17-GRID.i3.94233: yes
[16:58:52]	Alex Palovichov exited observer at their location.
[16:58:56]	[OOC] Robert: YOU CANNOT MAKE THIS UP
[16:59:02]	[LOOC] Jack Kingston: c ant talk and walk
[16:59:02]	Bean loaded the character 'Daniel J. Cutter'
[16:59:04]	Daniel J. Cutter entered observer.
[16:59:05]	Robert ran 'Consume' on item 'UU Brand Chips' (#45184)
[16:59:06]	[LOOC] CCA.C17-QrM.98240: can
[16:59:07]	[LOOC] CCA.C17-GRID.EpU.06912: covvarad
[16:59:19]	[OOC] Daniel J. Cutter: ITS IMPOSSIBLE TO!
[16:59:39]	Robert has lost 5 tokens.
[16:59:42]	[OOC] CCA.C17-UNION.i2.97018: gettin off for now, might be back later
[16:59:48]	CCA.C17-GRID.i3.94233 has gained 10 tokens.
[16:59:52]	Painevan (STEAM_0:0:68118061) has disconnected.
[16:59:52]	CCA.C17-QrM.98240 has gained 10 tokens.
[16:59:54]	Daniel J. Cutter exited observer at their location.
[16:59:56]	[OOC] CCA.C17-GRID.EpU.06912: take care, thanks for being-
[16:59:57]	[OOC] CCA.C17-GRID.EpU.06912: on :(
[16:59:58]	Robert ran 'Consume' on item 'UU Brand Chips' (#45185)
[17:00:07]	renowned colossal gamer has connected.
[17:00:15]	[OOC] CCA.C17-QrM.98240: bruh moment :d
[17:00:21]	Leon Taylor opened the 'File Cabinet' #2383 container.
[17:00:23]	Leon Taylor closed the 'File Cabinet' #2383 container.
[17:00:24]	Leon Taylor used the 'Infestation Control Storage' vendor.
[17:00:25]	CCA.C17-GRID.EpU.06912 has gained 10 tokens.
[17:00:37]	[OOC] Daniel J. Cutter: Gregory says "Pornographic content involving your mother, Daniel J. Cutter."
[17:00:42]	CCA.C17-GRID.EpU.06912 used command '/PM leon what hte fuck i tried to fix----- i fucking know'.
[17:00:50]	CCA.C17-GRID.EpU.06912 used command '/PM leon is the item called bleach or Ox Bleach'.
[17:00:50]	[OOC] CCA.C17-QrM.98240: chad 
[17:00:58]	Robert used command '/PM epu so uhm i was supposed to have hunter and stalker whitelists'.
[17:00:58]	[ME] CCA.C17-GRID.EpU.06912: takes out two rolls of painter's tape.
[17:01:00]	CCA.C17-GRID.EpU.06912 used command '/PM leon hang on'.
[17:01:01]	Leon Taylor used command '/PM epu woops meant to /pm'.
[17:01:02]	Gregory has taken 12 damage from Daniel J. Cutter.
[17:01:02]	Gregory has taken 12 damage from Daniel J. Cutter.
[17:01:02]	Gregory has taken 12 damage from Daniel J. Cutter.
[17:01:02]	Gregory has taken 12 damage from Daniel J. Cutter.
[17:01:02]	Gregory has taken 12 damage from Daniel J. Cutter.
[17:01:02]	Gregory has taken 12 damage from Daniel J. Cutter.
[17:01:02]	Gregory has taken 12 damage from Daniel J. Cutter.
[17:01:02]	Gregory has taken 12 damage from Daniel J. Cutter.
[17:01:08]	CCA.C17-QrM.98240 used command '/Radio Shots?'.
[17:01:09]	[OOC] Daniel J. Cutter: void shots
[17:01:09]	Daniel J. Cutter entered observer.
[17:01:10]	Joseph Sterling ran 'drop' on item 'Empty Cooking Oil Bottle' (#44914)
[17:01:10]	Joseph Sterling has lost a 'Empty Cooking Oil Bottle' #44914.
[17:01:11]	Joseph Sterling ran 'drop' on item 'Scrap Glass' (#45182)
[17:01:11]	Joseph Sterling has lost a 'Scrap Glass' #45182.
[17:01:11]	CCA.C17-GRID.EpU.06912 used command '/PM robert do you have OSA and CAC whitelist?'.
[17:01:12]	[OOC] CCA.C17-QrM.98240: bruh 
[17:01:15]	Joseph Sterling ran 'drop' on item 'Broken Clock' (#44883)
[17:01:15]	Joseph Sterling has lost a 'Broken Clock' #44883.
[17:01:16]	CCA.C17-QrM.98240 used command '/rooc void'.
[17:01:18]	Joseph Sterling ran 'take' on item 'Broken Clock' (#44883)
[17:01:18]	Joseph Sterling has gained a 'Broken Clock' #44883.
[17:01:20]	Joseph Sterling ran 'drop' on item 'Suitcase' (#44867)
[17:01:20]	Joseph Sterling has lost a 'Suitcase' #44867.
[17:01:20]	Joseph Sterling has lost a 'Scrap Electronics' #44723.
[17:01:20]	Joseph Sterling has lost a 'Green Citizen Suit' #44865.
[17:01:20]	Joseph Sterling has lost a 'Corrugated Hose' #44870.
[17:01:20]	Joseph Sterling has lost a 'Refined Metal' #44884.
[17:01:20]	Joseph Sterling has lost a 'Bar of Soap' #44871.
[17:01:20]	Joseph Sterling has lost a 'Insulating Tape' #43604.
[17:01:20]	Joseph Sterling has lost a 'Bar of Soap' #44880.
[17:01:20]	[OOC] CCA.C17-GRID.i3.94233: gregorys not gonna get anymore dill pickles if he acts up
[17:01:22]	Joseph Sterling ran 'take' on item 'Suitcase' (#44867)
[17:01:22]	Joseph Sterling has gained a 'Suitcase' #44867.
[17:01:22]	Joseph Sterling has gained a 'Scrap Electronics' #44723.
[17:01:22]	Joseph Sterling has gained a 'Green Citizen Suit' #44865.
[17:01:22]	Joseph Sterling has gained a 'Corrugated Hose' #44870.
[17:01:22]	Joseph Sterling has gained a 'Refined Metal' #44884.
[17:01:22]	Joseph Sterling has gained a 'Bar of Soap' #44871.
[17:01:22]	Joseph Sterling has gained a 'Insulating Tape' #43604.
[17:01:22]	Joseph Sterling has gained a 'Bar of Soap' #44880.
[17:01:22]	Robert used command '/PM epu no osa'.
[17:01:28]	Robert used command '/PM epu ill check cac'.
[17:01:30]	[OOC] Douglas Hudson: hm?
[17:01:31]	Daniel J. Cutter exited observer at their location.
[17:01:36]	Gregory has taken 12 damage from Daniel J. Cutter.
[17:01:36]	Daniel J. Cutter has killed Gregory with weapon_knife.
[17:01:38]	[OOC] CCA.C17-GRID.i3.94233: I feed him pickles
[17:01:38]	Daniel J. Cutter entered observer.
[17:01:40]	Gregory entered observer.
[17:01:41]	[OOC] Steven Thompson: bro had opps damn
[17:01:46]	Gregory exited observer at their location.
[17:01:51]	Robert used command '/PM epu CAC yes'.
[17:01:53]	[LOOC] CCA.C17-GRID.EpU.06912: FUCKING
[17:01:56]	[LOOC] CCA.C17-GRID.EpU.06912: i nmeed to eat
[17:01:59]	Leon Taylor used the 'Infestation Control Storage' vendor.
[17:02:03]	Leon Taylor ran 'drop' on item 'Bleach' (#45170)
[17:02:03]	Leon Taylor has lost a 'Bleach' #45170.
[17:02:06]	[LOOC] Daniel J. Cutter: Mfw (My face when)
[17:02:07]	CCA.C17-GRID.EpU.06912 used command '/PM robert CAC is your stalker and cremator whitelist. OSA is hunter. one sec'.
[17:02:08]	[LOOC] CCA.C17-QrM.98240: tis a ruh moment 
[17:02:15]	CCA.C17-GRID.EpU.06912 used command '/PlyWhitelist robert osa'.
[17:02:17]	[OOC] Joseph Sterling: im going to eat gregory
[17:02:17]	Leon Taylor opened the 'Locker' #2396 container.
[17:02:19]	[OOC] Robert: CAC doesnt have stalker
[17:02:20]	[LOOC] Daniel J. Cutter: I am Smhing my head right now
[17:02:21]	Leon Taylor closed the 'Locker' #2396 container.
[17:02:22]	Leon Taylor opened the 'Locker' #2395 container.
[17:02:24]	Leon Taylor closed the 'Locker' #2395 container.
[17:02:26]	Leon Taylor opened the 'File Cabinet' #2385 container.
[17:02:27]	[OOC] CCA.C17-GRID.EpU.06912: wrong chat
[17:02:30]	Leon Taylor closed the 'File Cabinet' #2385 container.
[17:02:31]	[LOOC] CCA.C17-GRID.EpU.06912: quartermaster handle it
[17:02:31]	Leon Taylor opened the 'Filing Cabinet' #2384 container.
[17:02:32]	[OOC] Robert: fair
[17:02:33]	Leon Taylor closed the 'Filing Cabinet' #2384 container.
[17:02:33]	Leon Taylor opened the 'Filing Cabinet' #2384 container.
[17:02:34]	[LOOC] CCA.C17-QrM.98240: yeah 
[17:02:35]	[OOC] Daniel J. Cutter: Who tf is "Robert"
[17:02:36]	Leon Taylor closed the 'Filing Cabinet' #2384 container.
[17:02:37]	CCA.C17-GRID.EpU.06912 entered observer.
[17:02:38]	Leon Taylor opened the 'File Cabinet' #2415 container.
[17:02:38]	CCA.C17-GRID.EpU.06912 exited observer at their location.
[17:02:39]	CCA.C17-GRID.EpU.06912 entered observer.
[17:02:40]	CCA.C17-GRID.EpU.06912 exited observer at their location.
[17:02:40]	Leon Taylor closed the 'File Cabinet' #2415 container.
[17:02:41]	Leon Taylor opened the 'File Cabinet' #2383 container.
[17:02:42]	CCA.C17-UNION.i4.04796 has gained 10 tokens.
[17:02:45]	Leon Taylor closed the 'File Cabinet' #2383 container.
[17:02:45]	[LOOC] CCA.C17-QrM.98240: righty, startingfrom the top 
[17:02:47]	[OOC] Leon Taylor: find out ic cuh
[17:02:47]	[OOC] Daniel J. Cutter: What kinda goofy ass name is "robert"
[17:02:57]	[LOOC] CCA.C17-GRID.EpU.06912: kayly i just gave you a temporary toolgun
[17:02:57]	Leon Taylor ran 'EquipUn' on item 'CWU Worker Suit' (#44237)
[17:02:57]	Leon Taylor has taken 1 damage from worldspawn.
[17:02:58]	[OOC] Major-General Sir Issac Brock KB: afk
[17:02:58]	Leon Taylor has taken 1 damage from worldspawn.
[17:02:59]	Leon Taylor has taken 1 damage from worldspawn.
[17:03:00]	Leon Taylor has taken 1 damage from worldspawn.
[17:03:00]	Leon Taylor has taken 1 damage from worldspawn.
[17:03:01]	Leon Taylor has taken 1 damage from worldspawn.
[17:03:02]	Leon Taylor has taken 1 damage from worldspawn.
[17:03:03]	Leon Taylor has taken 1 damage from worldspawn.
[17:03:03]	Leon Taylor has taken 1 damage from worldspawn.
[17:03:04]	Leon Taylor ran 'Equip' on item 'CWU Worker Suit' (#44237)
[17:03:05]	[LOOC] CCA.C17-GRID.EpU.06912: so use the rope tool to place down rope and pretend it's tape
[17:03:10]	[OOC] CCA.C17-GRID.EpU.06912: alright, gonna eat dinner
[17:03:13]	Leon Taylor used the 'Infestation Control Storage' vendor.
[17:03:15]	CCA.C17-GRID.EpU.06912 used command '/PM robert somebody will have to set your name custom'.
[17:03:19]	Bubba created the character 'AWAITING ASSIGNMENT'
[17:03:23]	Stan The Logical Man has connected.
[17:03:24]	[OOC] Daniel J. Cutter: guess that means...IM IN CHARGE! MUHUHUHHAHAHAHAHAH
[17:03:29]	[ME] CCA.C17-QrM.98240: looked over the two, visors dilating as he reached around his belt, conjuring two rolls of painting tape. - "If you need anymore, tell me, after you're done notify me and we'll get to work."
[17:03:29]	Gregory entered observer.
[17:03:30]	Robert used command '/PM epu what do you mean'.
[17:03:32]	[OOC] Leon Taylor: at this point i think you should be
[17:03:33]	CCA.C17-UNION.i3.29852 has gained 10 tokens.
[17:03:34]	Gregory exited observer at their location.
[17:03:45]	[LOOC] Leon Taylor: item in question
[17:03:47]	[OOC] Robert: MY ORIGINAL NAME WAS Boob BEACUSE I COULDNT HAVE BOB
[17:04:00]	Stan The Logical Man loaded the character 'Jordan Holcan'
[17:04:03]	[OOC] Daniel J. Cutter: INFESTATION EVENTS! EVERYWHERE! HEADCRABS DROPPING ONTO PEOPLES HEADS!
[17:04:05]	[ME] CCA.C17-GRID.i3.94233: Attempts to search the man patting him down for any illegal goods
[17:04:10]	CCA.C17-GRID.i3.94233 used command '/CharSearch'.
[17:04:15]	Leon Taylor has spawned 'models/props_wasteland/controlroom_filecabinet002a.mdl'.
[17:04:15]	Leon Taylor opened the 'File Cabinet' #3415 container.
[17:04:16]	[ME] Joseph Sterling: got into a standard inspection posititon. Shoes kicked in the middle, hands on the fence. Nothing left hidden
[17:04:18]	Leon Taylor closed the 'File Cabinet' #3415 container.
[17:04:19]	Leon Taylor opened the 'Filing Cabinet' #2384 container.
[17:04:21]	[ME] Douglas Hudson: looks a bit in thought for a moment
[17:04:25]	Leon Taylor closed the 'Filing Cabinet' #2384 container.
[17:04:26]	Leon Taylor opened the 'File Cabinet' #3415 container.
[17:04:26]	[LOOC] Jack Kingston: rope tool
[17:04:28]	[W] Daniel J. Cutter: What kinda goofy ass name is robert...
[17:04:28]	[LOOC] CCA.C17-GRID.i3.94233: bird void hits
[17:04:31]	Leon Taylor closed the 'File Cabinet' #3415 container.
[17:04:31]	[LOOC] Jack Kingston: in q menu
[17:04:32]	[OOC] Robert: HAHA YOU MISSEd
[17:04:34]	[LOOC] Gregory: there
[17:04:40]	[LOOC] Leon Taylor: nah just
[17:04:41]	[LOOC] Leon Taylor: remove it
[17:04:45]	[LOOC] Leon Taylor: i need bigger containers then this
[17:04:48]	CCA.C17-GRID.i3.94233 has gained 10 tokens.
[17:04:50]	Daniel J. Cutter exited observer at their location.
[17:04:51]	Leon Taylor has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[17:04:52]	Leon Taylor opened the 'Metal Cabinet' #3415 container.
[17:04:52]	CCA.C17-QrM.98240 has gained 10 tokens.
[17:04:54]	Leon Taylor opened the 'Metal Cabinet' #3415 container.
[17:04:55]	[OOC] Robert: UH OH
[17:04:55]	Leon Taylor opened the 'Metal Cabinet' #3415 container.
[17:04:56]	[LOOC] Jack Kingston: on the right when you open the spawn menu, you click "rope" itll be under contraints
[17:04:57]	Leon Taylor closed the 'Metal Cabinet' #3415 container.
[17:04:59]	[LOOC] Leon Taylor: perfect
[17:05:02]	Leon Taylor opened the 'Filing Cabinet' #2384 container.
[17:05:05]	Leon Taylor closed the 'Filing Cabinet' #2384 container.
[17:05:05]	Leon Taylor opened the 'Metal Cabinet' #3415 container.
[17:05:10]	Leon Taylor closed the 'Metal Cabinet' #3415 container.
[17:05:11]	Jordan Holcan ran 'EquipUn' on item 'Green Citizen Suit' (#1591)
[17:05:11]	Jordan Holcan has taken 1 damage from worldspawn.
[17:05:11]	Jordan Holcan has taken 1 damage from worldspawn.
[17:05:12]	Leon Taylor opened the 'Filing Cabinet' #2384 container.
[17:05:12]	Jordan Holcan has taken 1 damage from worldspawn.
[17:05:13]	Jordan Holcan has taken 1 damage from worldspawn.
[17:05:14]	Jordan Holcan ran 'Equip' on item 'Green Citizen Suit' (#1591)
[17:05:14]	Leon Taylor has gained a 'Powercord' #24780.
[17:05:15]	[ME] Daniel J. Cutter: Sniffles
[17:05:16]	Leon Taylor closed the 'Filing Cabinet' #2384 container.
[17:05:16]	Leon Taylor opened the 'Metal Cabinet' #3415 container.
[17:05:19]	Leon Taylor closed the 'Metal Cabinet' #3415 container.
[17:05:20]	Leon Taylor opened the 'File Cabinet' #2385 container.
[17:05:21]	Jordan Holcan ran 'EquipUn' on item 'Axe' (#1504)
[17:05:22]	Daniel J. Cutter entered observer.
[17:05:22]	Leon Taylor closed the 'File Cabinet' #2385 container.
[17:05:26]	CCA.C17-GRID.EpU.06912 has gained 10 tokens.
[17:05:26]	Leon Taylor ran 'take' on item 'Bleach' (#45170)
[17:05:26]	Leon Taylor has gained a 'Bleach' #45170.
[17:05:27]	Leon Taylor used the 'Infestation Control Storage' vendor.
[17:05:29]	Leon Taylor has gained 0 tokens.
[17:05:29]	Leon Taylor has gained 0 tokens.
[17:05:30]	Leon Taylor has gained 0 tokens.
[17:05:30]	Leon Taylor has gained 0 tokens.
[17:05:30]	[LOOC] Robert: over where
[17:05:31]	Leon Taylor has gained 0 tokens.
[17:05:38]	Bubba loaded the character 'AWAITING ASSIGNMENT'
[17:05:41]	[LOOC] Daniel J. Cutter: HAHAHAH I MADE YOU SAY UNDERWEAR!
[17:05:44]	[OOC] AWAITING ASSIGNMENT: POG
[17:05:47]	[OOC] CCA.C17-QrM.98240: pog 
[17:05:48]	Leon Taylor used command '/PM greg can u put this up against the cabinets'.
[17:05:57]	[OOC] AWAITING ASSIGNMENT: BEST FUCKING CHARACTE
[17:05:57]	[ME] Jack Kingston: looks around, seeing where some walls could go,  or objects...
[17:05:58]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:05:58]	[OOC] CCA.C17-GRID.i3.94233: what do stalkers even do
[17:06:06]	Leon Taylor has spawned 'models/props_debris/metal_panel02a.mdl'.
[17:06:10]	AWAITING ASSIGNMENT used command '/CharDesc Bubbas afk character / collectible / Obviously void'.
[17:06:10]	AWAITING ASSIGNMENT used command '/CharDesc Bubbas afk character / collectible / Obviously void'.
[17:06:12]	[OOC] CCA.C17-QrM.98240: walk around, tap buttons, quite useless for any amount of RP 
[17:06:12]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:06:27]	[OOC] AWAITING ASSIGNMENT: LAUGHS IN STANDART ISSUED MANEQUIN
[17:06:34]	[LOOC] Daniel J. Cutter: [SERVER] [LOOC] Robert: over where        [SERVER] [LOOC] Daniel J. Cutter: HAHAHHAHA I MADE YOU SAY UNDERWEAR!
[17:06:41]	Jordan Holcan opened the 'Trash Bin' #2551 container.
[17:06:43]	Jordan Holcan closed the 'Trash Bin' #2551 container.
[17:06:46]	[OOC] AWAITING ASSIGNMENT: if anyone wants to drop me off a mask at the trainstation and a filter
[17:06:48]	Jordan Holcan ran 'take' on item 'AA Battery' (#44416)
[17:06:48]	Jordan Holcan has gained a 'AA Battery' #44416.
[17:07:03]	AWAITING ASSIGNMENT used command '/PM epu also hunters bugged'.
[17:07:03]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:07:04]	[OOC] Daniel J. Cutter:  [SERVER] [LOOC] Robert: over where        [SERVER] [LOOC] Daniel J. Cutter: HAHAHHAHA I MADE YOU SAY UNDERWEAR!                       Did I do it right?
[17:07:04]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:07:05]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:07:06]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:07:07]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
