[11:35:51]	Dilly_ has connected.
[14:28:41]	CCA.C08-UNION.i1.51023 ran 'Toggle' on item 'Handheld Radio' (#21177)
[14:28:44]	[W] John Smith: Was the the UNION unit?
[14:28:44]	CCA.C08-UNION.i1.51023 used command '/Radio Got something.'.
[14:28:47]	CCA.C08-UNION.i1.51023 used command '/Radio Gathering spot.'.
[14:29:09]	CCA.C08-UNION.i1.51023 used command '/Radio Anyone have any logs of chairs being in the slums?'.
[14:29:40]	[ME] CCA.C08-UNION.i1.51023: would shrug off the two citizens and what they say.
[14:29:46]	CCA.C08-UNION.i1.51023 used command '/Radio Copy.'.
[14:30:09]	CCA.C08-UNION.i1.51023 used command '/Radio 10-4. Is that confirmation?'.
[14:30:12]	[OOC] Yisugei Qatun: Aight, I gotta go put my laundryu in the dryer brb
[14:30:16]	[OOC] CCA.C08-UNION.i1.51023: alright
[14:30:21]	CCA.C08-UNION.i1.51023 used command '/Radio Copy that.'.
[14:31:27]	[ME] CCA.C08-UNION.i1.51023: would take a step closer to the citizen, trying to get in his personal space.
[14:31:42]	[ME] John Smith: would not have any reaction to this.
[14:31:58]	[ME] CCA.C08-UNION.i1.51023: would eye the citizen up and down.
[14:32:41]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[14:33:35]	CCA.C08-UNION.i1.51023 entered observer.
[14:33:54]	[ME] John Smith: would exhale, as he held his breath the entire time.
[14:34:47]	[OOC] John Smith: my characters brain just went monkey mode and was all like "panic"
[14:35:39]	[OOC] John Smith: also, Q?
[14:35:49]	[OOC] Yisugei Qatun: bacc
[14:36:07]	[OOC] John Smith: isnt Frankie the one dude who got us out of that fuckin electrical facility or whatever in one of the previous events?
[14:36:44]	[OOC] CCA.C08-UNION.i1.51023: differnet frankie
[14:36:56]	[OOC] John Smith: well my dude recognized him.
[14:37:02]	matt saton loaded the character 'Clear Voice'
[14:37:15]	Clear Voice used command '/Dispatch inspection positions'.
[14:37:16]	Clear Voice entered observer.
[14:37:40]	Clear Voice used command '/Dispatch All citizens with unassigned inspection positions, report to 17th Street Towers immediately.'.
[14:38:01]	[OOC] John Smith: and where would that be?
[14:38:11]	[OOC] Clear Voice: those are the nice ones
[14:38:17]	matt saton loaded the character 'CCA.C08-UNION.i1.51023'
[14:38:18]	CCA.C08-UNION.i1.51023 entered observer.
[14:38:24]	[OOC] CCA.C08-UNION.i1.51023: colder
[14:38:30]	[LOOC] Yisugei Qatun: oh on the other side of town
[14:38:31]	[OOC] CCA.C08-UNION.i1.51023: the ones by the factory
[14:38:51]	CCA.C08-UNION.i1.51023 exited observer at their location.
[14:39:30]	[ME] Yisugei Qatun: places her hands on the wall above her head.
[14:40:21]	[ME] CCA.C08-UNION.i1.51023: would eye both of the citizens up and down.
[14:40:39]	[ME] CCA.C08-UNION.i1.51023: would see if either of them looked more guilty, if either.
[14:40:48]	[LOOC] CCA.C08-UNION.i1.51023: both of you roll
[14:41:04]	John Smith rolled 4 out of 100.
[14:41:04]	John Smith used command '/Roll 100'.
[14:41:09]	Yisugei Qatun rolled 6 out of 100.
[14:41:09]	Yisugei Qatun used command '/Roll 100'.
[14:41:14]	[LOOC] Yisugei Qatun: oof
[14:41:18]	[LOOC] CCA.C08-UNION.i1.51023: damn
[14:41:21]	[OOC] John Smith: damn normally i get high numbers
[14:41:21]	[LOOC] CCA.C08-UNION.i1.51023: that hurts
[14:42:05]	[W] John Smith: What the fuck?
[14:42:34]	[ME] Yisugei Qatun: does so, gripping the railing.
[14:43:06]	[ME] CCA.C08-UNION.i1.51023: would attempt to zip tie the woman's wrist to the railing. Would she resist?
[14:43:16]	[ME] Yisugei Qatun: doesn't resist in the slightest.
[14:43:17]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[14:43:55]	CCA.C08-UNION.i1.51023 has spawned 'models/props_c17/chair_kleiner03a.mdl'.
[14:43:58]	CCA.C08-UNION.i1.51023 has spawned 'models/props_c17/chair_kleiner03a.mdl'.
[14:44:29]	[ME] CCA.C08-UNION.i1.51023: would cut the woman's zip tie.
[14:45:04]	[ME] Yisugei Qatun: sits down in the chair.
[14:45:25]	[ME] CCA.C08-UNION.i1.51023: would forcefully place the woman's arms on the arm rests and clamp them down with clamps built in to the chair.
[14:46:07]	[ME] Yisugei Qatun: grunts a little at the force, not really resisitning as she is bound.
[14:48:27]	[OOC] John Smith: man kinda borin huh.
[14:50:06]	[OOC] John Smith: brb, gotta eat
[14:50:14]	[ME] CCA.C08-UNION.i1.51023: would hold up his stunstick, flicking it on in the process.
[14:50:54]	[OOC] John Smith: again, i am going AFK to eat some food, do not beat the fuck out of me while i am gone.
[14:51:04]	[OOC] CCA.C08-UNION.i1.51023: okay i'll just shoot you
[14:51:51]	[ME] Yisugei Qatun: looks at the powered stun stick, then back at the officer. "I only just got here today! I got my CID and everything just an hour ago!
[14:53:39]	[LOOC] CCA.C08-UNION.i1.51023: actually that was the day before, sorry\
[14:53:53]	[LOOC] Yisugei Qatun: It's coolio
[14:55:14]	[ME] CCA.C08-UNION.i1.51023: would bring down his stunstick to the woman's left clavicle (it's like the shoulder bit).
[14:56:00]	[ME] Yisugei Qatun: cries out in Mongolian, biting her lip as the pain slowly subsides, her senses starting to return.
[14:57:20]	[ME] CCA.C08-UNION.i1.51023: would throw his stunstick across the room.
[14:57:33]	[ME] CCA.C08-UNION.i1.51023: would move to the radio and pick it up. The power cord falls out of its port.
[14:57:44]	[ME] CCA.C08-UNION.i1.51023: would wing it in the direction of the woman's head. It doesn't hit, but...
[14:57:45]	[LOOC] CCA.C08-UNION.i1.51023: let me roll
[14:57:56]	CCA.C08-UNION.i1.51023 used command '/CharSetAttribute i1 agility 11'.
[14:58:08]	[IT] CCA.C08-UNION.i1.51023: It's about a foot away from her head. Not exactly a near-miss.
[14:58:17]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[14:58:19]	[LOOC] CCA.C08-UNION.i1.51023: shit
[14:58:20]	[LOOC] CCA.C08-UNION.i1.51023: wrong uhhh
[14:58:21]	[LOOC] Yisugei Qatun: oof
[14:58:22]	[LOOC] CCA.C08-UNION.i1.51023: wrong delete
[14:58:23]	CCA.C08-UNION.i1.51023 has spawned 'models/props_c17/chair_kleiner03a.mdl'.
[14:58:35]	CCA.C08-UNION.i1.51023 has spawned 'models/props_lab/citizenradio.mdl'.
[14:59:03]	[IT] CCA.C08-UNION.i1.51023: The radio hits the wall. Cracking sounds come from inside of it. Some pieces on the inside were probably knocked loose.
[14:59:10]	[ME] Yisugei Qatun: inches her head away as the radio goes flying, looking at the enraged Officer.
[14:59:11]	CCA.C08-UNION.i1.51023 has spawned 'models/props_lab/citizenradio.mdl'.
[14:59:17]	Yisugei Qatun has taken 500 damage from prop_physics.
[14:59:17]	prop_physics has killed Yisugei Qatun.
[14:59:18]	[LOOC] CCA.C08-UNION.i1.51023: FUCKL
[14:59:20]	[OOC] CCA.C08-UNION.i1.51023: FUCK
[14:59:27]	[OOC] CCA.C08-UNION.i1.51023: OKAY SO I GUESS THE RADIO HAS A LOT OF WEIGHT
[14:59:28]	[OOC] Yisugei Qatun: AAAA
[14:59:36]	[OOC] CCA.C08-UNION.i1.51023: sorry about that
[14:59:38]	CCA.C08-UNION.i1.51023 has spawned 'models/props_lab/Cleaver.mdl'.
[14:59:40]	CCA.C08-UNION.i1.51023 has spawned 'models/props_lab/citizenradio.mdl'.
[15:00:17]	[LOOC] CCA.C08-UNION.i1.51023: this precinct i mean, fuck
[15:02:49]	[ME] CCA.C08-UNION.i1.51023: would undo the clamps on the chair. He would grab the citizen by the back of her undershirt, trying to pull her. She's either dragged or she awkwardly walks along with him, which is it?
[15:02:53]	gort has connected.
[15:03:14]	[LOOC] CCA.C08-UNION.i1.51023: sorry for to powergame but this event is fucking dragging
[15:03:16]	[ME] Yisugei Qatun: grunts as she is dragged, stumbling for a few before matching pace.
[15:03:17]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[15:03:26]	[LOOC] CCA.C08-UNION.i1.51023: not your fault, i just nhave tight times to meet with real life stuff
[15:03:53]	[ME] CCA.C08-UNION.i1.51023: would get to the door and put her in front of himself. He pushes her out the door.
[15:04:19]	[ME] CCA.C08-UNION.i1.51023: angrily closes the door. The light on the lock turns blue.
[15:04:22]	CCA.C08-UNION.i1.51023 entered observer.
[15:04:47]	gort created the character 'Jimmy Johnson'
[15:04:47]	Jimmy Johnson has gained a 'Suitcase' #21178.
[15:04:47]	Jimmy Johnson has gained a 'Relocation Coupon' #21179.
[15:04:47]	Jimmy Johnson has gained a 'Cyclopic Citizen Suit' #21180.
[15:04:47]	Jimmy Johnson has gained a 'Citizen Filter' #21181.
[15:04:47]	gort loaded the character 'Jimmy Johnson'
[15:05:01]	CCA.C08-UNION.i1.51023 exited observer at their location.
[15:05:12]	[OOC] CCA.C08-UNION.i1.51023: Welcome!
[15:05:19]	[OOC] Jimmy Johnson: Hello
[15:05:24]	[OOC] Jimmy Johnson: How do i open my inv?
[15:05:26]	[OOC] CCA.C08-UNION.i1.51023: i'll come and process you here in a quick second, i'm a little mid RP
[15:05:34]	[OOC] Yisugei Qatun: Welcome! I'm new as well
[15:05:36]	[OOC] CCA.C08-UNION.i1.51023: hit tab, and then go to the inventory tab inthe menu that ocmes up
[15:05:52]	Jimmy Johnson ran 'Equip' on item 'Cyclopic Citizen Suit' (#21180)
[15:05:53]	Jimmy Johnson ran 'equip' on item 'Citizen Filter' (#21181)
[15:05:59]	[OOC] Jimmy Johnson: thank you!
[15:06:06]	[OOC] CCA.C08-UNION.i1.51023: no problem!
[15:06:43]	[OOC] Jimmy Johnson: so, this is meant to be like a hl2 beta rp right?
[15:07:03]	[OOC] CCA.C08-UNION.i1.51023: mostly, yeah. we draw a little bit from retail HL2 and a little bit from alyx, but majority beta, yeah.
[15:07:11]	CCA.C08-UNION.i1.51023 entered observer.
[15:07:15]	CCA.C08-UNION.i1.51023 exited observer at their location.
[15:07:24]	[OOC] Yisugei Qatun: Cool event <3
[15:07:25]	Yisugei Qatun opened the '' #1243 container.
[15:07:27]	[OOC] CCA.C08-UNION.i1.51023: thank
[15:07:28]	Yisugei Qatun closed the '' #1243 container.
[15:07:34]	[OOC] CCA.C08-UNION.i1.51023: i normally do better but work didn't give me much time to 
[15:07:36]	[OOC] CCA.C08-UNION.i1.51023: do planning
[15:07:48]	[OOC] CCA.C08-UNION.i1.51023: i'll get back to it after i process jimmy
[15:07:58]	[ME] CCA.C08-UNION.i1.51023: ignores the man's friendly greeting.
[15:08:05]	Jimmy Johnson ran 'drop' on item 'Relocation Coupon' (#21179)
[15:08:05]	Jimmy Johnson has lost a 'Relocation Coupon' #21179.
[15:08:17]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[15:08:51]	[ME] CCA.C08-UNION.i1.51023: would take the man's card off the desk and read it, back and forth.
[15:08:52]	CCA.C08-UNION.i1.51023 ran 'take' on item 'Relocation Coupon' (#21179)
[15:08:52]	CCA.C08-UNION.i1.51023 has gained a 'Relocation Coupon' #21179.
[15:08:56]	[OOC] Yisugei Qatun: tfw citizens in hl2 have a bigger apartment than me
[15:09:07]	[OOC] CCA.C08-UNION.i1.51023: did you guys know that betty white is older than sliced bread
[15:09:20]	[W] Jimmy Johnson: Why does this remind me so much of russia.
[15:09:25]	[OOC] Yisugei Qatun: so is the queen
[15:09:26]	CCA.C08-UNION.i1.51023 ran 'take' on item 'Citizen ID' (#21181)
[15:09:26]	CCA.C08-UNION.i1.51023 has gained a 'Citizen ID' #21181.
[15:09:31]	[OOC] CCA.C08-UNION.i1.51023: dream couple
[15:09:40]	CCA.C08-UNION.i1.51023 used command '/ViewData jimmy'.
[15:10:13]	[LOOC] CCA.C08-UNION.i1.51023: current year is 2006, war was in 2003
[15:10:18]	[LOOC] CCA.C08-UNION.i1.51023: so min age atm is 21
[15:10:26]	[LOOC] CCA.C08-UNION.i1.51023: min year to be born is 1985
[15:11:18]	CCA.C08-UNION.i1.51023 used command '/ViewData jimmy'.
[15:12:49]	CCA.C08-UNION.i1.51023 used command '/ViewData jimmy'.
[15:13:17]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[15:14:16]	CCA.C08-UNION.i1.51023 has gained a 'Respirator' #21182.
[15:14:16]	CCA.C08-UNION.i1.51023 used command '/CharGiveItem i1 respirator'.
[15:14:22]	[ME] CCA.C08-UNION.i1.51023: would hand the man a respirator.
[15:14:23]	CCA.C08-UNION.i1.51023 ran 'drop' on item 'Respirator' (#21182)
[15:14:23]	CCA.C08-UNION.i1.51023 has lost a 'Respirator' #21182.
[15:14:38]	[ME] CCA.C08-UNION.i1.51023: would then hand the citizen a newly printed CID card.
[15:14:40]	CCA.C08-UNION.i1.51023 ran 'drop' on item 'Citizen ID' (#21181)
[15:14:40]	CCA.C08-UNION.i1.51023 has lost a 'Citizen ID' #21181.
[15:14:42]	Jimmy Johnson ran 'take' on item 'Respirator' (#21182)
[15:14:42]	Jimmy Johnson has gained a 'Respirator' #21182.
[15:14:44]	Jimmy Johnson ran 'take' on item 'Citizen ID' (#21181)
[15:14:44]	Jimmy Johnson has gained a 'Citizen ID' #21181.
[15:15:10]	CCA.C08-UNION.i1.51023 entered observer.
[15:15:12]	[OOC] CCA.C08-UNION.i1.51023: alright
[15:15:13]	[OOC] CCA.C08-UNION.i1.51023: back to le event
[15:15:43]	CCA.C08-UNION.i1.51023 used command '/DrawBlackScreen'.
[15:15:47]	CCA.C08-UNION.i1.51023 used command '/SetScreenText FRIDAY'.
[15:15:58]	CCA.C08-UNION.i1.51023 used command '/ClearScreenDraws'.
[15:16:00]	[OOC] Jimmy Johnson: i just realized i said i just got out of city 8, i go outside and the map is exactly city 8 what the fu-
[15:16:21]	[OOC] CCA.C08-UNION.i1.51023: another precinct maybe?
[15:16:27]	[OOC] CCA.C08-UNION.i1.51023: supreme think
[15:16:32]	[OOC] Jimmy Johnson: master brain
[15:16:34]	CCA.C08-UNION.i1.51023 used command '/ToggleRaise'.
[15:16:39]	Jimmy Johnson opened the '' #1316 container.
[15:16:43]	Jimmy Johnson closed the '' #1316 container.
[15:16:49]	Jimmy Johnson ran 'Equip' on item 'Respirator' (#21182)
[15:16:53]	CCA.C08-UNION.i1.51023 used command '/Event Three gunshots ring out from the outside of the nexus.'.
[15:16:55]	CCA.C08-UNION.i1.51023 used command '/ToggleRaise'.
[15:17:46]	Jimmy Johnson opened the '' #1233 container.
[15:17:46]	Jimmy Johnson closed the '' #1233 container.
[15:17:49]	Jimmy Johnson opened the '' #1233 container.
[15:17:51]	Jimmy Johnson closed the '' #1233 container.
[15:17:56]	Jimmy Johnson has lost 5 tokens.
[15:18:14]	CCA.C08-UNION.i1.51023 has spawned a 'NPC [2952][npc_citizen]'.
[15:18:14]	CCA.C08-UNION.i1.51023 exited observer at their location.
[15:18:17]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[15:18:18]	CCA.C08-UNION.i1.51023 has spawned a 'NPC [2955][npc_citizen]'.
[15:18:22]	CCA.C08-UNION.i1.51023 has taken 5 damage from npc_citizen.
[15:18:23]	CCA.C08-UNION.i1.51023 has taken 5 damage from npc_citizen.
[15:18:25]	CCA.C08-UNION.i1.51023 entered observer.
[15:18:27]	CCA.C08-UNION.i1.51023 exited observer at their location.
[15:18:28]	CCA.C08-UNION.i1.51023 has taken 5 damage from npc_citizen.
[15:18:28]	CCA.C08-UNION.i1.51023 has taken 5 damage from npc_citizen.
[15:18:29]	CCA.C08-UNION.i1.51023 has taken 5 damage from npc_citizen.
[15:18:30]	CCA.C08-UNION.i1.51023 has taken 5 damage from npc_citizen.
[15:18:30]	CCA.C08-UNION.i1.51023 has taken 5 damage from npc_citizen.
[15:18:31]	CCA.C08-UNION.i1.51023 has taken 5 damage from npc_citizen.
[15:18:32]	CCA.C08-UNION.i1.51023 has taken 5 damage from npc_citizen.
[15:18:33]	CCA.C08-UNION.i1.51023 has taken 5 damage from npc_citizen.
[15:18:34]	CCA.C08-UNION.i1.51023 has taken 5 damage from npc_citizen.
[15:18:35]	CCA.C08-UNION.i1.51023 has taken 5 damage from npc_citizen.
[15:18:36]	CCA.C08-UNION.i1.51023 has taken 5 damage from npc_citizen.
[15:18:37]	CCA.C08-UNION.i1.51023 has taken 5 damage from npc_citizen.
[15:18:38]	CCA.C08-UNION.i1.51023 has taken 5 damage from npc_citizen.
[15:18:45]	CCA.C08-UNION.i1.51023 entered observer.
[15:19:21]	CCA.C08-UNION.i1.51023 used command '/Event Sirens are heard coming in from directions all around. An APC? Two? Three?'.
[15:21:30]	CCA.C08-UNION.i1.51023 used command '/Event A scream rings out from the same place, outside of the nexus.'.
[15:21:43]	CCA.C08-UNION.i1.51023 used command '/Event Then more yelling.'.
[15:22:15]	CCA.C08-UNION.i1.51023 used command '/Event And gunshots. Then yelling. The two mix together. It's a riot, no doubt.'.
[15:22:18]	CCA.C08-UNION.i1.51023 used command '/ToggleRaise'.
[15:22:22]	CCA.C08-UNION.i1.51023 used command '/ToggleRaise'.
[15:22:22]	[LOOC] Jimmy Johnson: back
[15:22:23]	CCA.C08-UNION.i1.51023 used command '/ToggleRaise'.
[15:22:24]	CCA.C08-UNION.i1.51023 used command '/ToggleRaise'.
[15:22:37]	[OOC] Yisugei Qatun: back
[15:22:56]	CCA.C08-UNION.i1.51023 exited observer at their location.
[15:22:57]	CCA.C08-UNION.i1.51023 entered observer.
[15:22:58]	CCA.C08-UNION.i1.51023 exited observer at their location.
[15:22:59]	CCA.C08-UNION.i1.51023 entered observer.
[15:23:03]	Yisugei Qatun opened the '' #1239 container.
[15:23:05]	Yisugei Qatun closed the '' #1239 container.
[15:23:10]	CCA.C08-UNION.i1.51023 exited observer at their location.
[15:23:10]	CCA.C08-UNION.i1.51023 entered observer.
[15:23:11]	CCA.C08-UNION.i1.51023 exited observer at their location.
[15:23:12]	CCA.C08-UNION.i1.51023 entered observer.
[15:23:17]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[15:23:24]	CCA.C08-UNION.i1.51023 exited observer at their location.
[15:23:27]	CCA.C08-UNION.i1.51023 entered observer.
[15:23:54]	Yisugei Qatun ran 'EquipUn' on item 'Respirator' (#21173)
[15:23:55]	Yisugei Qatun ran 'Equip' on item 'Cyclopic Citizen Suit' (#21136)
[15:23:58]	Yisugei Qatun ran 'Equip' on item 'Respirator' (#21173)
[15:24:03]	CCA.C08-UNION.i1.51023 exited observer at their location.
[15:24:18]	Jimmy Johnson ran 'Consume' on item 'Consulate Water' (#21183)
[15:24:54]	CCA.C08-UNION.i1.51023 entered observer.
[15:27:37]	[OOC] CCA.C08-UNION.i1.51023: hello
[15:27:40]	[OOC] CCA.C08-UNION.i1.51023: fuck
[15:27:44]	[OOC] CCA.C08-UNION.i1.51023: my fucking internet is going out
[15:27:49]	[OOC] CCA.C08-UNION.i1.51023: hello?
[15:27:50]	[OOC] Yisugei Qatun: Oh god
[15:27:55]	[OOC] CCA.C08-UNION.i1.51023: let me know when you get these messages
[15:27:58]	matt saton (STEAM_0:1:53097688) has disconnected.
[15:28:01]	[OOC] Yisugei Qatun: I can see them!
[15:29:02]	[OOC] Jimmy Johnson: 1024 X 768 Best resolution
[15:29:10]	[OOC] Yisugei Qatun: classic
[15:29:15]	Yisugei Qatun used the 'Street Market' vendor.
[15:29:26]	Yisugei Qatun has lost 3 tokens.
[15:29:26]	Yisugei Qatun has gained a 'Citizen Filter' #21184.
[15:31:19]	[OOC] Jimmy Johnson: imagine rebeling. being civ and throwing rebel items into the gigant dumpster is the new hl2rp meta
[15:31:35]	[OOC] Yisugei Qatun: you got rebel items? wow
[15:31:48]	[OOC] Jimmy Johnson: nah, just some spray cans and resin lol
[15:32:40]	[OOC] Yisugei Qatun: o7 admin
[15:32:55]	[OOC] Jimmy Johnson: oh well, there goes the admin. MINGE TIME BOIS
[15:33:22]	Mongolian Quarian (STEAM_0:1:11790067) has disconnected.
[15:33:38]	[OOC] Jimmy Johnson: OK BOIS, LETS MINGEEE
[15:33:47]	[OOC] Jimmy Johnson: in other words have fun
[15:36:00]	[OOC] Jimmy Johnson: ngl, the way some props are placed in areas makes me feel that its a dev test
[15:36:07]	[OOC] Jimmy Johnson: like a lotta props in a line
[15:38:46]	[W] Jimmy Johnson: Among us.
[15:38:59]	[W] Jimmy Johnson: John Smith among us is not funny.
[15:40:50]	Jimmy Johnson opened the '' #1895 container.
[15:40:53]	Jimmy Johnson closed the '' #1895 container.
[15:40:57]	Jimmy Johnson opened the '' #1540 container.
[15:40:59]	Jimmy Johnson closed the '' #1540 container.
[15:43:33]	Jimmy Johnson opened the '' #2053 container.
[15:43:33]	Jimmy Johnson closed the '' #2053 container.
[15:43:34]	Jimmy Johnson opened the '' #2053 container.
[15:43:36]	Jimmy Johnson closed the '' #2053 container.
[15:43:40]	Jimmy Johnson opened the '' #2071 container.
[15:43:40]	Jimmy Johnson closed the '' #2071 container.
[15:43:42]	Jimmy Johnson opened the '' #2055 container.
[15:43:46]	Jimmy Johnson has gained a 'Empty Glass Bottle' #17830.
[15:43:55]	Jimmy Johnson has gained a 'Rock' #13831.
[15:43:57]	Jimmy Johnson has gained a 'Empty Glass Bottle' #18987.
[15:44:01]	Jimmy Johnson has gained a 'Cloth Scrap' #14047.
[15:44:03]	Jimmy Johnson has gained a 'Cloth Scrap' #20957.
[15:44:04]	Jimmy Johnson closed the '' #2055 container.
[15:44:05]	Jimmy Johnson opened the '' #2071 container.
[15:44:07]	Jimmy Johnson closed the '' #2071 container.
[15:44:30]	Jimmy Johnson opened the '' #2080 container.
[15:44:32]	Jimmy Johnson closed the '' #2080 container.
[15:44:33]	Jimmy Johnson opened the '' #2076 container.
[15:44:35]	Jimmy Johnson closed the '' #2076 container.
[15:44:37]	Jimmy Johnson opened the '' #2074 container.
[15:44:39]	Jimmy Johnson closed the '' #2074 container.
[15:44:40]	Jimmy Johnson opened the '' #2075 container.
[15:44:42]	Jimmy Johnson closed the '' #2075 container.
[15:44:44]	Jimmy Johnson opened the '' #2073 container.
[15:44:46]	Jimmy Johnson closed the '' #2073 container.
[15:44:48]	Jimmy Johnson opened the '' #2077 container.
[15:44:50]	Jimmy Johnson closed the '' #2077 container.
[15:44:52]	Jimmy Johnson opened the '' #2079 container.
[15:44:55]	Jimmy Johnson closed the '' #2079 container.
[15:44:55]	Jimmy Johnson opened the '' #2078 container.
[15:44:57]	Jimmy Johnson closed the '' #2078 container.
[15:45:00]	Jimmy Johnson opened the '' #2068 container.
[15:45:02]	Jimmy Johnson closed the '' #2068 container.
[15:45:36]	Jimmy Johnson opened the '' #1041 container.
[15:45:38]	Jimmy Johnson closed the '' #1041 container.
[15:45:40]	Jimmy Johnson opened the '' #2038 container.
[15:45:42]	Jimmy Johnson closed the '' #2038 container.
[15:45:47]	Jimmy Johnson ran 'take' on item 'Empty Glass Bottle' (#20694)
[15:45:47]	Jimmy Johnson has gained a 'Empty Glass Bottle' #20694.
[15:45:51]	Jimmy Johnson ran 'take' on item 'Scrap Electronics' (#21090)
[15:45:51]	Jimmy Johnson has gained a 'Scrap Electronics' #21090.
[15:46:00]	Jimmy Johnson opened the '' #1079 container.
[15:46:02]	Jimmy Johnson closed the '' #1079 container.
[15:46:03]	Jimmy Johnson opened the '' #2034 container.
[15:46:05]	Jimmy Johnson closed the '' #2034 container.
[15:46:17]	Jimmy Johnson opened the '' #2036 container.
[15:46:19]	Jimmy Johnson closed the '' #2036 container.
[15:46:19]	Jimmy Johnson opened the '' #2037 container.
[15:46:21]	Jimmy Johnson closed the '' #2037 container.
[15:46:22]	Jimmy Johnson opened the '' #2035 container.
[15:46:23]	Jimmy Johnson closed the '' #2035 container.
[15:46:43]	Jimmy Johnson ran 'Equip' on item 'Empty Glass Bottle' (#20694)
[15:46:44]	Jimmy Johnson ran 'Equip' on item 'Empty Glass Bottle' (#18987)
[15:47:36]	John Smith has taken 3 damage from Jimmy Johnson.
[15:47:41]	gort (STEAM_0:0:507110462) has disconnected.
[15:53:34]	Michael's World (STEAM_0:1:75161355) has disconnected.
[16:19:17]	ieloooow' lov.s <3 _ sb has connected.
[16:20:44]	ieloooow' lov.s <3 _ sb (STEAM_0:1:29934046) has disconnected.
