[03:37:46]	Peppermint has connected.
[17:01:03]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:01:05]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:01:06]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:01:11]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:01:12]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:01:13]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:01:15]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:01:16]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:01:17]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:01:19]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:01:20]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:02:21]	[OOC] CCA.C17-HELIX.i4.08874: I hate this
[17:02:33]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PlasticCrate01a.mdl'.
[17:02:35]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:02:36]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:02:37]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:02:38]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:02:40]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:02:41]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:02:42]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:02:44]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
[17:03:07]	[ME] CCA.C17-HELIX.i4.08874: drops a small plastic crate filled with cans on the desk.
[17:03:35]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[17:04:10]	[LOOC] CCA.C17-HELIX.i4.08874: Use your hands
[17:05:34]	[ME] CCA.C17-HELIX.i4.08874: unlocks the vending maching, opening up the front hatch with a handle.
[17:06:09]	[IT] CCA.C17-HELIX.i4.08874: Inside there are various chutes used for inputing different types of cans, leftmost being regular and rightmost being sparkling.
[17:07:18]	CCA.C17-HELIX.i4.08874 used command '/Radio Citizen summoned'.
[17:07:28]	[ME] Tanya L. Fredrickson: Would take out several cans in one arm, placing them into the provided chutes, each going to the corrisponding chute, their precision and speed would be that of a doctor moving through a dozen patients all at once finishing this small work tast in seconds.
[17:08:35]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[17:09:40]	[ME] CCA.C17-HELIX.i4.08874: closes the vending machine up with a loud click, before moving his hand towards the sparkling button, clicking it.
[17:10:49]	[ME] CCA.C17-HELIX.i4.08874: opens it back up.
[17:11:05]	[LOOC] CCA.C17-HELIX.i4.08874: you can do /mes to figure out the problem
[17:11:59]	[ME] Tanya L. Fredrickson: Sofltly closes the door before pressing down on the regular, flavored, then sparkling water buttons, before slapping the side of the machine twice similarly as to how it was portrayed in the games to open the secret door but morover used to unjam the machines.
[17:12:15]	[LOOC] Tanya L. Fredrickson: it work?
[17:12:31]	[LOOC] CCA.C17-HELIX.i4.08874: Roll Int
[17:12:41]	Tanya L. Fredrickson used command '/RollSkill int'.
[17:12:48]	Tanya L. Fredrickson used command '/RollAttribute int'.
[17:13:06]	[LOOC] Tanya L. Fredrickson: how about strength?
[17:13:12]	[LOOC] CCA.C17-HELIX.i4.08874: Sure
[17:13:17]	Tanya L. Fredrickson rolled 46 (39 + 7) out of 100 on Strength.
[17:13:17]	Tanya L. Fredrickson used command '/RollAttribute Strength'.
[17:13:22]	[LOOC] Tanya L. Fredrickson: BRUH fuck my rolls
[17:13:32]	[IT] CCA.C17-HELIX.i4.08874: The machine makes a groaning sounds, nothing pops out.
[17:13:35]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[17:13:43]	[ME] CCA.C17-HELIX.i4.08874: chuckles
[17:13:52]	[W] CCA.C17-HELIX.i4.08874: <:: Haha. ::>
[17:14:38]	[ME] Tanya L. Fredrickson: Opening the door, they'd take a peek around the inside of the machine, their gaze fixsated on the mechanical parts looking for any rusts, and or jams that would block the simple pressure/pully systems.
[17:15:36]	[IT] CCA.C17-HELIX.i4.08874: You see a bit of paper jammed blocking the chute with a can of sparkling water and a regular can being blocked by it. Something is written on the paper.
[17:16:16]	[ME] Tanya L. Fredrickson: Takes the paper out, shoving it into their bag as to not litter before promptly closing the machine and clicking one of the provided buttons!
[17:16:27]	[LOOC] CCA.C17-HELIX.i4.08874: Go for it.
[17:16:30]	Tanya L. Fredrickson has lost 5 tokens.
[17:16:37]	Tanya L. Fredrickson ran 'take' on item 'Consulate Water' (#30454)
[17:16:37]	Tanya L. Fredrickson has gained a 'Consulate Water' #30454.
[17:18:25]	CCA.C17-HELIX.i4.08874 used command '/Radio 10-8'.
[17:18:35]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[17:19:27]	Tanya L. Fredrickson used command '/Apply'.
[17:19:41]	[ME] CCA.C17-HELIX.i4.08874: takes out a small PDA, switching it on. It illuminates a bright green.
[17:19:47]	[ME] CCA.C17-HELIX.i4.08874: types into it.
[17:19:52]	CCA.C17-HELIX.i4.08874 used command '/ViewData tanya'.
[17:21:43]	[ME] CCA.C17-HELIX.i4.08874: proceeds to take some tokens from his toolbelt and rop it on the desk
[17:21:58]	CCA.C17-HELIX.i4.08874 has lost 10 tokens.
[17:21:58]	CCA.C17-HELIX.i4.08874 used command '/DropTokens 10'.
[17:22:03]	Tanya L. Fredrickson has gained 10 tokens.
[17:23:35]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[17:26:24]	CCA.C17-HELIX.i4.08874 used command '/Radio 10-2, individual may be unaware.'.
[17:26:48]	[ME] Tanya L. Fredrickson: places the trash from the vending machine in the bin, before leaning on the fence.
[17:28:01]	[ME] Tanya L. Fredrickson: Does so, knowing the procedure pretty well due to their previous city checking at every entry or exit out of the clinic and they did so without any form of resistance.
[17:28:21]	CCA.C17-HELIX.i4.08874 used command '/CharSearch'.
[17:28:35]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[17:28:41]	CCA.C17-HELIX.i4.08874 used command '/Radio Clean.'.
[17:29:10]	[OOC] CCA.C17-HELIX.i4.08874: Mhm*
[17:29:31]	Tanya L. Fredrickson used command '/PM helix so what did the paper end up saying?'.
[17:29:44]	CCA.C17-HELIX.i4.08874 used command '/PM Tanya Are you reading it?'.
[17:29:54]	[ME] Tanya L. Fredrickson: Helix Aye.
[17:30:02]	Tanya L. Fredrickson used command '/PM helix aye.'.
[17:31:49]	CCA.C17-HELIX.i4.08874 used command '/PM Tanya Fellow repressed Citizens of Earth, for too long have we been treated horribly by our Combine Occupiers, forced to be searched and living on awful rations and small wages. We must free ourselves from this rule, join us today in our resistance, even minor acts may once day add up to liberation.'.
[17:32:31]	Tanya L. Fredrickson used command '/PM hel yeah she tosses it into the garbage immediatly.'.
[17:33:08]	Painevan loaded the character 'Jonathan Jackson'
[17:33:15]	Jonathan Jackson opened the '' #2810 container.
[17:33:15]	Jonathan Jackson closed the '' #2810 container.
[17:33:21]	Jonathan Jackson has taken 1 damage from worldspawn.
[17:33:22]	Jonathan Jackson has taken 1 damage from worldspawn.
[17:33:26]	Jonathan Jackson ran 'Equip' on item 'Respirator' (#28465)
[17:33:39]	[OOC] Tanya L. Fredrickson: Ima go shower
[17:33:46]	Peppermint (STEAM_0:1:115933392) has disconnected.
[17:34:38]	Jonathan Jackson opened the '' #2706 container.
[17:34:44]	Jonathan Jackson closed the '' #2706 container.
[17:34:45]	Jonathan Jackson opened the '' #2726 container.
[17:34:48]	Jonathan Jackson closed the '' #2726 container.
[17:35:01]	Jonathan Jackson opened the '' #2726 container.
[17:35:07]	Jonathan Jackson ran 'EquipUn' on item 'Gray Jeans' (#29252)
[17:35:10]	Jonathan Jackson ran 'EquipUn' on item 'CWU Commerce Shirt' (#29251)
[17:35:18]	Jonathan Jackson closed the '' #2726 container.
[17:35:18]	Jonathan Jackson opened the '' #2726 container.
[17:35:21]	Jonathan Jackson has gained a 'Blue Pre-War Shirt' #24423.
[17:35:33]	Jonathan Jackson closed the '' #2726 container.
[17:35:34]	Jonathan Jackson opened the '' #2726 container.
[17:35:39]	Jonathan Jackson closed the '' #2726 container.
[17:37:22]	Jonathan Jackson ran 'Equip' on item 'Blue Pre-War Shirt' (#24423)
[17:39:00]	Jonathan Jackson ran 'take' on item 'Horse Statue' (#29378)
[17:39:00]	Jonathan Jackson has gained a 'Horse Statue' #29378.
[17:39:02]	Jonathan Jackson opened the '' #2577 container.
[17:39:04]	Jonathan Jackson closed the '' #2577 container.
[17:39:15]	Jonathan Jackson ran 'View' on item 'Paper' (#29735)
[17:40:28]	Jonathan Jackson ran 'drop' on item 'Horse Statue' (#29378)
[17:40:28]	Jonathan Jackson has lost a 'Horse Statue' #29378.
[17:41:25]	Jonathan Jackson opened the '' #2726 container.
[17:41:25]	Jonathan Jackson closed the '' #2726 container.
[18:05:50]	Peppermint has connected.
[18:06:33]	Peppermint loaded the character 'Tanya L. Fredrickson'
[18:11:18]	Tanya L. Fredrickson used the 'Shopkeeper Jim' vendor.
[18:11:44]	[OOC] Jonathan Jackson: afk rn
[18:11:48]	[OOC] Jonathan Jackson: be back in a bit
[18:11:50]	Peppermint (STEAM_0:1:115933392) has disconnected.
[18:25:39]	Nums has connected.
[18:27:11]	Nums loaded the character 'CCA.C17-UNION.i5.77460'
[18:27:19]	[OOC] CCA.C17-UNION.i5.77460: returned
[18:28:53]	Nums (STEAM_0:1:196547442) has disconnected.
[18:54:19]	Peppermint has connected.
[18:55:23]	Peppermint loaded the character 'Tanya L. Fredrickson'
[18:58:20]	Tanya L. Fredrickson has gained a 'A Roll of Toilet Paper' #30455.
[18:58:40]	Tanya L. Fredrickson has gained a 'Light Bulb' #30456.
[18:59:01]	Tanya L. Fredrickson ran 'take' on item 'Broken LCD Monitor' (#29409)
[18:59:01]	Tanya L. Fredrickson has gained a 'Broken LCD Monitor' #29409.
[18:59:04]	Tanya L. Fredrickson opened the '' #2684 container.
[18:59:15]	Tanya L. Fredrickson closed the '' #2684 container.
[19:00:26]	Tanya L. Fredrickson has gained a 'Broken Clock' #30457.
[19:00:33]	Tanya L. Fredrickson has gained a 'Resin' #30458.
[19:00:56]	Tanya L. Fredrickson ran 'View' on item 'Paper' (#24266)
[19:01:04]	Tanya L. Fredrickson ran 'drop' on item 'Broken Clock' (#30457)
[19:01:04]	Tanya L. Fredrickson has lost a 'Broken Clock' #30457.
[19:01:06]	Tanya L. Fredrickson destroyed a 'Broken Clock' #30457.
[19:01:12]	Tanya L. Fredrickson ran 'Consume' on item 'Consulate Water' (#30454)
[19:01:26]	Tanya L. Fredrickson has gained a 'Empty Soda Bottle' #30459.
[19:01:31]	Tanya L. Fredrickson ran 'drop' on item 'Empty Soda Bottle' (#30459)
[19:01:31]	Tanya L. Fredrickson has lost a 'Empty Soda Bottle' #30459.
[19:01:34]	Tanya L. Fredrickson destroyed a 'Empty Soda Bottle' #30459.
[19:05:27]	[OOC] Jonathan Jackson: ooof
[19:05:32]	[OOC] Jonathan Jackson: Sorry about that
[19:05:35]	[OOC] Jonathan Jackson: Cousin was over
[19:05:38]	[OOC] Tanya L. Fredrickson: what?
[19:05:48]	[OOC] Jonathan Jackson: My little cousin, he was on my computer for a while
[19:05:52]	[OOC] Jonathan Jackson: That was why I was afk
[19:05:57]	[OOC] Tanya L. Fredrickson: ah alright then
[19:06:42]	[OOC] Jonathan Jackson: Time for some checkup rp
[19:07:48]	[OOC] Jonathan Jackson: get over here :P
[19:07:56]	[OOC] Tanya L. Fredrickson: Tanyas on break yo
[19:08:07]	[OOC] Jonathan Jackson: Break oh please
[19:08:12]	[OOC] Jonathan Jackson: Your entire job is a break
[19:08:34]	[OOC] Tanya L. Fredrickson: Exactly why I am wanting to do something else cause its so boring
[19:08:48]	[OOC] Jonathan Jackson: Well now I am here to make it not boring
[19:09:48]	[ME] Jonathan Jackson: gets up from the seat
[19:11:41]	[ME] Jonathan Jackson: sits on the table, legs hanging off of it.
[19:13:27]	[ME] Tanya L. Fredrickson: Grabbing their stethescope, they would start out by placing it softly on the center of his chest, counting two seperate numbers in their head at once as they listen to his heart rate.
[19:13:55]	[ME] Jonathan Jackson: brethes in and out normally.
[19:14:15]	[ME] Tanya L. Fredrickson: placing it on his back, she would check for any abnormalities in his breathing.
[19:14:49]	[ME] Jonathan Jackson: continues to breathe normally.
[19:14:57]	[LOOC] Jonathan Jackson: I mispelled the first time 
[19:16:04]	[ME] Tanya L. Fredrickson: Looking at his heart rate, they would nod as it is at a normal level, only then would they pull out a small BP pressure  guage, unwrapping the fabric with a harsh whelsch noise, placing it around his arm she'd start pumping it up, whilst reading the gauge writing all of this information down.
[19:16:41]	[LOOC] Jonathan Jackson: You can probably judge for yourself that I am still breathing normally.
[19:16:56]	[LOOC] Tanya L. Fredrickson: this is a BP test, not a heartrate test.
[19:17:15]	[LOOC] Tanya L. Fredrickson: Does he have any sort of desises, like diabetus
[19:17:17]	[LOOC] Jonathan Jackson: I mean if you do anything else
[19:17:32]	[IT] Jonathan Jackson: The bloodpressure seems normal enough.
[19:18:28]	[ME] Tanya L. Fredrickson: taking off the wrap, she would then pull out a small plastic hammer, gentley tapping on his joints he would tap on his legs to start off with, then moving upwards around the inner section of his arms, writst, then the sides of his shoulders...all two or three soft taps.
[19:20:11]	[IT] Jonathan Jackson: the respective joints appear to have normal reflexes.
[19:20:19]	[LOOC] Jonathan Jackson: The*
[19:21:30]	[LOOC] Jonathan Jackson: I have the highest possible agility so I would hope so
[19:26:32]	[ME] Jonathan Jackson: takes off his shirt, revealing nothing noteworthy.
[19:26:36]	Jonathan Jackson ran 'EquipUn' on item 'Blue Pre-War Shirt' (#24423)
[19:26:51]	[ME] Jonathan Jackson: proceeds to lie back on his stomach.
[19:27:07]	Jonathan Jackson used command '/CharFallOver'.
[19:27:14]	[LOOC] Jonathan Jackson: put on bed lol
[19:27:27]	[LOOC] Jonathan Jackson: Or the examination table rather
[19:27:44]	[ME] Tanya L. Fredrickson: Starting off with putting gloves on, she'd then start by looking at his upper back feeling his shoulder blades and vertibre of his back, her thumbs pressing softly on the bones checking for allignment.
[19:28:50]	[LOOC] Jonathan Jackson: I can't act like I know this so you do the roleplay from here, if I know something I'll chime in.
[19:29:52]	[ME] Tanya L. Fredrickson: Looking over his spine, she would spot a few out of place vertibre, nothing noteworthy just one quick adjustment and it would be fine, taking no time she'd start by locating the specific out of place vertibre before firmly pressing downward on his back pushing it into place.
[19:31:01]	[ME] Tanya L. Fredrickson: In quick succession they would count out the bones in his back before moving to his lower back, finding it tense and seemingly a bit redder then an average back due to strain from standing all day, so feeling it softly they would locate the highly out of place bone and with one quick motion softly push it back into place with a resounding pop and a warm feeling in the area...
[19:32:01]	[ME] Tanya L. Fredrickson: looking over his back, she'd then move to softly feel his shoulder, checking it for anything...finding nothing they'd move down to his hands, popping all of his fingers to release any pressure buildup.
[19:32:10]	[ME] Tanya L. Fredrickson: repeats the same cycle on the other side.
[19:32:31]	[ME] Tanya L. Fredrickson: finishing the overall examination and light adjustments they'd pat him on the shoulder gesturing for him to sit up.
[19:32:49]	[ME] Jonathan Jackson: lifts himself up with his arms.
[19:32:52]	Jonathan Jackson used command '/CharGetUp'.
[19:33:14]	[ME] Jonathan Jackson: puts back on his shirt as soon as he gets back up.
[19:33:16]	Jonathan Jackson ran 'Equip' on item 'Blue Pre-War Shirt' (#24423)
[19:33:56]	[ME] Jonathan Jackson: thinks for a second before saying, "Yeah, it feel a bit more... relaxed?"
[19:34:22]	[ME] Jonathan Jackson: stretches a bit, leaning backwards.
[19:36:12]	[ME] Jonathan Jackson: gets up from sitting down.
[19:37:45]	[ME] Jonathan Jackson: fiddles around in his pocket before producing a couple of tokens.
[19:37:50]	Jonathan Jackson has lost 8 tokens.
[19:37:50]	Jonathan Jackson used command '/DropTokens 8'.
[19:37:52]	Tanya L. Fredrickson has gained 8 tokens.
[19:38:00]	[ME] Jonathan Jackson: looks into his other pocket getting out two tokens
[19:38:13]	Jonathan Jackson has lost 2 tokens.
[19:38:13]	Jonathan Jackson used command '/DropTokens 2'.
[19:38:15]	Tanya L. Fredrickson has gained 2 tokens.
[19:39:48]	[ME] Tanya L. Fredrickson: moves over to the trash bin, picking up the note before sliding it across the counter.
[19:39:56]	[ME] Jonathan Jackson: reads it over.
[19:42:17]	[ME] Jonathan Jackson: grabs the paper, "I'll throw this out for you if you want."
[19:42:38]	[ME] Jonathan Jackson: drops the paper on the counter.
[19:42:46]	[ME] Tanya L. Fredrickson: Takes the note before putting it into the respective shreader on its thinist setting
[19:45:10]	[ME] Jonathan Jackson: turns and walks
[19:45:31]	[OOC] Tanya L. Fredrickson: Good passive RP
[19:45:42]	[OOC] Jonathan Jackson: Passive RP is cool
[19:45:51]	Painevan loaded the character 'Harold George'
[19:46:40]	[IT] Harold George: You hear footsteps coming up from behind you.
[19:47:06]	[ME] Tanya L. Fredrickson: Fumbles around in their pocket for a second sputtering as they do so "F-Fu FUCK.
[19:47:21]	[ME] Harold George: goes and tackles the person to the ground.
[19:47:27]	[LOOC] Harold George: Combat RP time
[19:47:55]	[LOOC] Tanya L. Fredrickson: What'd this be, cause she has nearly max statted hand to hand with basic stats
[19:48:05]	[LOOC] Tanya L. Fredrickson: 38 in a hand to hand lel
[19:48:23]	[LOOC] Harold George: Well I'd roll athletics for this, and this depends on what action you take.
[19:48:55]	[ME] Tanya L. Fredrickson: Tries to deck the man in his cycloptic eye, using their strength and steadfast nature...and height to attempt to knock him out clean.
[19:49:04]	Tanya L. Fredrickson rolled 25 (16 + 9) out of 100 on Hand to Hand.
[19:49:04]	Tanya L. Fredrickson used command '/RollSkill hand to hand'.
[19:49:11]	Harold George rolled 83 (75 + 8) out of 100 on Strength.
[19:49:11]	Harold George used command '/RollAttribute strength'.
[19:49:12]	[LOOC] Tanya L. Fredrickson: FUCK MY ROLLS
[19:49:22]	[LOOC] Tanya L. Fredrickson: I always roll low ;-;
[19:50:04]	[ME] Harold George: grabs them by the throat, "Don't resist or I'll make sure you get hurt."
[19:50:45]	[ME] Tanya L. Fredrickson: grabbing him by the wrist they would hold him back for a second before the life is squeezed out of them, bringing them slipping into unconsciousness.
[19:51:00]	Harold George rolled 27 (19 + 8) out of 100 on Strength.
[19:51:00]	Harold George used command '/RollAttribute strength'.
[19:51:13]	[LOOC] Tanya L. Fredrickson: They're out, it doesn't matter about rolls
[19:51:35]	Tanya L. Fredrickson used command '/CharFallOver'.
[19:51:47]	[LOOC] Harold George: Oh I didn't read it correct
[19:52:07]	[ME] Harold George: puts his crowbar holstered on his back before searching the person infront of them.
[19:52:12]	Harold George used command '/CharSearch'.
[19:52:24]	[LOOC] Harold George: I can't search you unless you are up so just fall back down after
[19:52:25]	Tanya L. Fredrickson used command '/CharGetUp'.
[19:52:36]	Harold George used command '/CharSearch'.
[19:52:48]	Harold George has gained a 'Suitcase' #28758.
[19:52:48]	Harold George has gained a 'Consulate Water' #28753.
[19:52:48]	Harold George has gained a 'Loyalist Grade Supplements (Butter Flavor)' #29077.
[19:52:48]	Harold George has gained a 'Consulate Water' #30404.
[19:52:48]	Harold George has gained a 'Loyalist Grade Supplements (Butter Flavor)' #30400.
[19:52:48]	Harold George has gained a 'Standard Grade Food Product (Bread Flavor)' #30402.
[19:52:48]	Harold George has gained a 'Loyalist Grade Food Product (Garlic Flavor)' #29076.
[19:52:48]	Harold George has gained a 'Flavored Consulate Water' #30401.
[19:52:48]	Harold George has gained a 'Loyalist Grade Food Product (Onion Flavor)' #30399.
[19:52:55]	Harold George has gained a 'Request Device' #29115.
[19:53:15]	[ME] Harold George: searches for any tokens on the person.
[19:53:26]	Tanya L. Fredrickson has lost 90 tokens.
[19:53:26]	Tanya L. Fredrickson used command '/DropTokens 90'.
[19:53:32]	[LOOC] Harold George: How many do you have on you? I'm not gonna take all of them just want to make sure I can see.
[19:53:43]	[LOOC] Tanya L. Fredrickson: on the ground, take em all
[19:53:48]	Harold George has gained 90 tokens.
[19:54:02]	[ME] Harold George: takes some tokens out of there pocket.
[19:54:10]	[ME] Harold George: then gets off of them, and runs out.
[19:54:19]	[OOC] Harold George: Their*
[19:54:43]	[OOC] Harold George: Malignent RP is my favorite
[19:54:58]	[ME] Tanya L. Fredrickson: would be out cold, lying on their side, their skull slightly bleeding from the impact...they were dead still as they exsperience seconds worth of oxygenless brain, leaving them in a webbing state of pain.
[19:55:07]	[OOC] Harold George: I'll flag up to CP in a sec
[19:55:13]	[OOC] Tanya L. Fredrickson: Yeah- you just mugged the nicest person in the city lol
[19:55:20]	Tanya L. Fredrickson used command '/CharFallOver'.
[19:55:23]	[OOC] Harold George: And this is the not nicest person in the city lmao
[19:55:59]	[OOC] Tanya L. Fredrickson: She was right lol
[19:56:16]	[OOC] Harold George: Well somewhat, technically I may not have any records on me
[19:56:19]	[OOC] Harold George: at all
[19:56:27]	[OOC] Harold George: Nor do they know who I am
[19:56:31]	[OOC] Tanya L. Fredrickson: Gonna flag on CP or...
[19:56:42]	[OOC] Harold George: Yeah I was just getting to my hiding hole lol
[19:56:47]	Painevan loaded the character 'CCA.C17-HELIX.i4.08874'
[19:56:52]	CCA.C17-HELIX.i4.08874 used command '/Radio 10-8'.
[19:57:46]	CCA.C17-HELIX.i4.08874 used command '/Radio Block holding'.
[19:58:23]	[ME] Tanya L. Fredrickson: Waking up, they would feel awful...stumbling for a moment they'd push themself up crawling on the ground towards the door.
[19:58:23]	Tanya L. Fredrickson used command '/CharGetUp'.
[19:58:53]	CCA.C17-HELIX.i4.08874 used command '/Radio 10-14'.
[19:59:05]	[ME] Tanya L. Fredrickson: passes out as they make it to the street, their head bleeding and their neck showing fresh bruises...
[19:59:08]	Tanya L. Fredrickson used command '/CharFallOver'.
[19:59:23]	CCA.C17-HELIX.i4.08874 used command '/Radio 408'.
[19:59:42]	[ME] CCA.C17-HELIX.i4.08874: grabs the person, immediately bringing them inside the CMU building.
[20:00:07]	[LOOC] CCA.C17-HELIX.i4.08874: LIFT
[20:00:29]	Tanya L. Fredrickson used command '/CharGetUp'.
[20:00:39]	Tanya L. Fredrickson used command '/CharGetUp'.
[20:00:41]	[LOOC] CCA.C17-HELIX.i4.08874: I swear
[20:00:43]	[LOOC] Tanya L. Fredrickson: lemme get up
[20:00:52]	Tanya L. Fredrickson used command '/CharFallOver'.
[20:00:54]	Tanya L. Fredrickson used command '/CharGetUp'.
[20:00:55]	Tanya L. Fredrickson used command '/CharGetUp'.
[20:00:55]	Tanya L. Fredrickson used command '/CharGetUp'.
[20:00:56]	[LOOC] CCA.C17-HELIX.i4.08874: bruh
[20:00:56]	Tanya L. Fredrickson used command '/CharGetUp'.
[20:00:57]	Tanya L. Fredrickson used command '/CharGetUp'.
[20:00:57]	Tanya L. Fredrickson used command '/CharGetUp'.
[20:01:18]	[ME] CCA.C17-HELIX.i4.08874: places them down face up, immediately rushing out to get some medical supplies.
[20:01:47]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[20:01:49]	[ME] Tanya L. Fredrickson: poor choice, she vomited causing herself to choke...soft whimpers and gags are heard, along with coughs
[20:02:01]	CCA.C17-HELIX.i4.08874 used command '/Radio Injured citizen at my 10-20! Requesting all units status immediately.'.
[20:02:18]	[ME] CCA.C17-HELIX.i4.08874: shoots the lock open on the metal cabinet.
[20:02:33]	[ME] CCA.C17-HELIX.i4.08874: grabs some medical supplies before heading back.
[20:02:42]	[ME] Tanya L. Fredrickson: continues to choke, again loosing consciousness.
[20:02:49]	[ME] CCA.C17-HELIX.i4.08874: examines the persons state.
[20:02:53]	[LOOC] CCA.C17-HELIX.i4.08874: Give me a description
[20:03:15]	[LOOC] Tanya L. Fredrickson: Mild concussion, strangulation marks on the neck, they are choking on their vomit from the concussion.
[20:03:20]	CCA.C17-HELIX.i4.08874 used command '/Radio At location report'.
[20:03:56]	[ME] CCA.C17-HELIX.i4.08874: grabs a bandage out of their holster and applies it to the persons head, making sure the bleeding is stopped.
[20:04:10]	[LOOC] Tanya L. Fredrickson: She's gonna die if you don't drain the airway...
[20:04:23]	[ME] CCA.C17-HELIX.i4.08874: then examines the persons neck, before realizing what is going on.
[20:04:28]	[LOOC] CCA.C17-HELIX.i4.08874: I know.
[20:04:53]	[ME] Tanya L. Fredrickson: due to the lack of oxygen, her brain was slowly starting to die as the little heartbeat that could would stop...
[20:05:54]	[ME] CCA.C17-HELIX.i4.08874: proceeds to attempt to clear their airway by doing a hemlic manuever, trying to get whatever vomit that is caught in out of them.
[20:06:36]	[LOOC] Tanya L. Fredrickson: 40 seconds without oxygen in the brain right now.
[20:06:41]	[ME] CCA.C17-HELIX.i4.08874: then proceeds to check for a pulse on the victim infront of them, as well as listening if they are breathing at least more steadily.
[20:06:47]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[20:07:00]	[LOOC] CCA.C17-HELIX.i4.08874: I have to type things out :p
[20:07:06]	[ME] Tanya L. Fredrickson: Had no pulse, their heart stopped ten seconds ago!
[20:07:32]	[ME] CCA.C17-HELIX.i4.08874: grabs an emergency difibulator from the medical cabinet.
[20:08:22]	[ME] CCA.C17-HELIX.i4.08874: moves over the individual and turns on the difibulator, pressing a green button
[20:08:47]	[ME] CCA.C17-HELIX.i4.08874: then peels off the sticky pads on them, attatching it to their skin by taking off their shirt.
[20:09:22]	[IT] CCA.C17-HELIX.i4.08874: The difibulator then automatically shocks the person, sensing no heart rate.
[20:09:33]	[IT] Tanya L. Fredrickson: It has no effect...
[20:09:56]	[IT] CCA.C17-HELIX.i4.08874: It continues to shock the person twice more.
[20:10:47]	[IT] Tanya L. Fredrickson: neither are effective in restarting the heart, the AED wasn't the right tool for the job, and only assisted in the damage to their heart, bit by bit they were fully dying...
[20:10:59]	[ME] CCA.C17-HELIX.i4.08874: drags the persons head around to them, checking down their throat, seeing if anything is blocked.
[20:11:27]	[IT] Tanya L. Fredrickson: their throat is not blocked, their heart just wouldn't start via electrical shock...
[20:11:40]	[LOOC] Tanya L. Fredrickson: two more interactions, and they are dead.
[20:11:47]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[20:12:58]	[LOOC] CCA.C17-HELIX.i4.08874: I'll be real, I was never trained for this situation.
[20:13:08]	[LOOC] Tanya L. Fredrickson: OOF- hahaha...
[20:13:20]	[LOOC] Tanya L. Fredrickson: well guess tanya's dead- the hint would be chest compressions.
[20:13:53]	[LOOC] CCA.C17-HELIX.i4.08874: I still have two more actions loser
[20:13:56]	[LOOC] CCA.C17-HELIX.i4.08874: Said it yourself
[20:13:59]	[LOOC] Tanya L. Fredrickson: AED doesn't work on most if anything but cardiac arrest, and this character went through oxygen deprivation.
[20:14:05]	[LOOC] Tanya L. Fredrickson: Sure, you can try but your rolling
[20:21:19]	Tanya L. Fredrickson used command '/CharGetUp'.
[20:22:19]	[ME] CCA.C17-HELIX.i4.08874: attempts to do a resusitation on the person before giving, attempting to do some compressions on their chest.
[20:23:30]	Peppermint loaded the character 'Zomboid OTA Creature'
[20:23:40]	Peppermint (STEAM_0:1:115933392) deleted character 'Tanya L. Fredrickson'
[20:23:42]	Peppermint loaded the character 'Raven'
[20:24:28]	cass has connected.
