[00:01:09]	Mrchicken has connected.
[19:47:07]	CCA.C17-JUDGE.i2.58102 used command '/CharGiveItem judge wrapper'.
[19:47:15]	CCA.C17-JUDGE.i2.58102 has gained a 'Breen's Water' #2375.
[19:47:15]	CCA.C17-JUDGE.i2.58102 used command '/CharGiveItem judge water'.
[19:47:21]	CCA.C17-GRID.i5.80147 used command '/PM jud you mind if i do the front door inspections?'.
[19:47:29]	CCA.C17-GRID.i5.80147 used command '/Radio you go scan the id'.
[19:47:35]	CCA.C17-JUDGE.i2.58102 used command '/PM grid front door inspection?'.
[19:47:37]	[OOC] CCA.C17-UNION.i5.91462: idk how
[19:47:37]	RedZombie18 has connected.
[19:47:40]	CCA.C17-GRID.i5.80147 used command '/Radio or do i need to babysit you through it'.
[19:47:42]	CCA.C17-GRID.i5.80147 used command '/PM jud yes'.
[19:47:46]	CCA.C17-GRID.i5.80147 used command '/PM jud i wanna try it once'.
[19:47:46]	CCA.C17-JUDGE.i2.58102 has gained a 'Supplements' #2376.
[19:47:46]	CCA.C17-JUDGE.i2.58102 used command '/CharGiveItem judge supplements'.
[19:47:51]	[W] Natalia Jones: There's someone cominh up.
[19:47:52]	CCA.C17-JUDGE.i2.58102 has gained a 'Ration' #2376.
[19:47:52]	CCA.C17-JUDGE.i2.58102 has crafted a recipe and received: 
[19:47:53]	CCA.C17-GRID.i5.80147 used command '/PM jud if i fuck up you can take my place'.
[19:47:53]	CCA.C17-UNION.i5.91462 used command '/Radio .. the second option'.
[19:47:55]	[W] Nikolai Vorchevski: Yup.
[19:48:01]	CCA.C17-JUDGE.i2.58102 used command '/ToggleRaise'.
[19:48:10]	CCA.C17-JUDGE.i2.58102 used command '/PM grid what do you mean front door inspection'.
[19:48:10]	[W] Nikolai Vorchevski: Lets say we didn't know, okay?
[19:48:11]	jenkin knight the second ran 'drop' on item 'Relocation Coupon' (#2373)
[19:48:11]	jenkin knight the second has lost a 'Relocation Coupon' #2373.
[19:48:15]	[W] Nikolai Vorchevski: We're new to city.
[19:48:17]	RedZombie18 loaded the character 'Steven Harris'
[19:48:20]	CCA.C17-GRID.i5.80147 used command '/PM ju the one where they check their fookin inventories'.
[19:48:22]	[W] Nikolai Vorchevski: And unfamilliar with rules.
[19:48:23]	[W] Natalia Jones: They are in the catwalk.
[19:48:23]	OTA-PHANTOM.OWS-97461 has taken 1 damage from worldspawn.
[19:48:27]	CCA.C17-UNION.i5.91462 ran 'take' on item 'Relocation Coupon' (#2373)
[19:48:27]	CCA.C17-UNION.i5.91462 has gained a 'Relocation Coupon' #2373.
[19:48:34]	CCA.C17-JUDGE.i2.58102 entered observer.
[19:48:35]	CCA.C17-JUDGE.i2.58102 exited observer at their location.
[19:48:36]	CCA.C17-JUDGE.i2.58102 entered observer.
[19:48:38]	CCA.C17-JUDGE.i2.58102 exited observer at their location.
[19:48:40]	[W] Yugov Vladislav Borisovich: They aren't gonna believe that.
[19:48:42]	Natalia Jones ran 'Open' on item 'Ration' (#1707)
[19:48:42]	Natalia Jones has gained a 'Supplements' #2377.
[19:48:42]	Natalia Jones has gained a 'Breen's Water' #2378.
[19:48:42]	Natalia Jones has gained 20 tokens.
[19:48:45]	Natalia Jones ran 'Drink' on item 'Breen's Water' (#2378)
[19:48:45]	[W] Nikolai Vorchevski: You never know.
[19:48:46]	Natalia Jones ran 'Eat' on item 'Supplements' (#2377)
[19:48:48]	[LOOC] CCA.C17-GRID.i5.80147: "select a transfer card"
[19:48:50]	[LOOC] CCA.C17-GRID.i5.80147: and select his
[19:48:54]	CCA.C17-JUDGE.i2.58102 used command '/PM grid i have no idea what you m ean so no'.
[19:49:00]	CCA.C17-GRID.i5.80147 used command '/PM jud kk'.
[19:49:01]	[W] Natalia Jones: Alright i think its clear.
[19:49:01]	CCA.C17-UNION.i5.91462 has gained a 'ID Card' #2377.
[19:49:01]	CCA.C17-UNION.i5.91462 has created a new CID with the name jenkin knight the second
[19:49:04]	Yugov Vladislav Borisovich ran 'Open' on item 'Ration' (#426)
[19:49:04]	Yugov Vladislav Borisovich has gained a 'Supplements' #2378.
[19:49:04]	Yugov Vladislav Borisovich has gained a 'Breen's Water' #2379.
[19:49:04]	Yugov Vladislav Borisovich has gained 20 tokens.
[19:49:10]	CCA.C17-UNION.i5.91462 ran 'drop' on item 'ID Card' (#2377)
[19:49:10]	CCA.C17-UNION.i5.91462 has lost a 'ID Card' #2377.
[19:49:10]	CCA.C17-JUDGE.i2.58102 has gained a 'Civil Workers Clothing' #2380.
[19:49:10]	CCA.C17-JUDGE.i2.58102 used command '/CharGiveItem judge worker'.
[19:49:13]	OTA-PHANTOM.OWS-97461 has gained 40 tokens.
[19:49:16]	jenkin knight the second ran 'take' on item 'ID Card' (#2377)
[19:49:16]	jenkin knight the second has gained a 'ID Card' #2377.
[19:49:18]	CCA.C17-JUDGE.i2.58102 ran 'Wear' on item 'Civil Workers Clothing' (#2380)
[19:49:19]	CCA.C17-JUDGE.i2.58102 ran 'drop' on item 'Civil Workers Clothing' (#2380)
[19:49:19]	CCA.C17-JUDGE.i2.58102 has lost a 'Civil Workers Clothing' #2380.
[19:49:24]	Yugov Vladislav Borisovich ran 'Eat' on item 'Supplements' (#2378)
[19:49:28]	CCA.C17-JUDGE.i2.58102 has gained a 'Combine Worker Outfit' #2380.
[19:49:28]	CCA.C17-JUDGE.i2.58102 used command '/CharGiveItem judge outfit'.
[19:49:34]	[W] Yugov Vladislav Borisovich: Ight.
[19:49:35]	CCA.C17-JUDGE.i2.58102 has gained 10 tokens.
[19:49:40]	CCA.C17-GRID.i5.80147 used command '/PM jud i mean the one where you walled them last time'.
[19:49:45]	CCA.C17-GRID.i5.80147 used command '/PM jud and checked them for contraband'.
[19:49:48]	Yugov Vladislav Borisovich ran 'Drink' on item 'Breen's Water' (#2379)
[19:49:51]	CCA.C17-JUDGE.i2.58102 used command '/PM grid ohhhh'.
[19:49:53]	CCA.C17-GRID.i5.80147 used command '/PM jud or should i be the one'.
[19:49:55]	CCA.C17-GRID.i5.80147 used command '/PM jud inside again'.
[19:49:59]	CCA.C17-GRID.i5.80147 used command '/PM the jud the one that walls them inside'.
[19:50:04]	CCA.C17-GRID.i5.80147 used command '/PM jen wrong one'.
[19:50:05]	CCA.C17-JUDGE.i2.58102 used command '/PM grid i'd say you can clear them'.
[19:50:12]	CCA.C17-JUDGE.i2.58102 opened the '' #364 container.
[19:50:16]	CCA.C17-GRID.i5.80147 used command '/PM jud kk but idk how to check their invs when theyre tied up'.
[19:50:20]	CCA.C17-JUDGE.i2.58102 closed the '' #364 container.
[19:50:27]	CCA.C17-JUDGE.i2.58102 used command '/PM grid thats an issue'.
[19:50:27]	CCA.C17-GRID.i5.80147 used command '/PM jud thats my main problem'.
[19:50:32]	CCA.C17-JUDGE.i2.58102 used command '/PM grid you do /charsearch'.
[19:50:33]	CCA.C17-JUDGE.i2.58102 opened the '' #364 container.
[19:50:34]	CCA.C17-JUDGE.i2.58102 closed the '' #364 container.
[19:50:35]	CCA.C17-UNION.i5.91462 ran 'drop' on item 'Relocation Coupon' (#2373)
[19:50:35]	CCA.C17-UNION.i5.91462 has lost a 'Relocation Coupon' #2373.
[19:50:37]	CCA.C17-GRID.i5.80147 used command '/PM jud ooohh'.
[19:50:37]	OTA-PHANTOM.OWS-97461 has taken 3 damage from npc_bullsquid.
[19:50:37]	OTA-PHANTOM.OWS-97461 has taken 3 damage from npc_bullsquid.
[19:50:37]	OTA-PHANTOM.OWS-97461 has taken 3 damage from npc_bullsquid.
[19:50:39]	OTA-PHANTOM.OWS-97461 has taken 3 damage from npc_bullsquid.
[19:50:39]	OTA-PHANTOM.OWS-97461 has taken 3 damage from npc_bullsquid.
[19:50:39]	OTA-PHANTOM.OWS-97461 has taken 5 damage from obj_projectile_acid.
[19:50:39]	OTA-PHANTOM.OWS-97461 has taken 3 damage from npc_bullsquid.
[19:50:39]	CCA.C17-GRID.i5.80147 used command '/PM jud kk'.
[19:50:40]	execution_hurt destroyed a 'Relocation Coupon' #2373.
[19:50:43]	CCA.C17-JUDGE.i2.58102 has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[19:50:44]	OTA-PHANTOM.OWS-97461 has taken 3 damage from npc_bullsquid.
[19:50:45]	CCA.C17-JUDGE.i2.58102 has spawned 'models/props_junk/wood_crate001a.mdl'.
[19:50:45]	OTA-PHANTOM.OWS-97461 has taken 3 damage from npc_bullsquid.
[19:50:45]	OTA-PHANTOM.OWS-97461 has taken 3 damage from npc_bullsquid.
[19:50:45]	OTA-PHANTOM.OWS-97461 has taken 5 damage from obj_projectile_acid.
[19:50:45]	CCA.C17-JUDGE.i2.58102 opened the 'Crate' #458 container.
[19:50:47]	CCA.C17-GRID.i5.80147 used command '/PM jud also are the zipties one time use only?'.
[19:50:47]	CCA.C17-JUDGE.i2.58102 closed the 'Crate' #458 container.
[19:50:49]	CCA.C17-GRID.i5.80147 has gained 10 tokens.
[19:50:52]	OTA-PHANTOM.OWS-97461 has taken 3 damage from npc_bullsquid.
[19:50:54]	OTA-PHANTOM.OWS-97461 has taken 3 damage from npc_bullsquid.
[19:50:55]	CCA.C17-GRID.i5.80147 used command '/PM jud or do you get them back when you untie them'.
[19:50:55]	CCA.C17-JUDGE.i2.58102 used command '/PM grid yeah'.
[19:50:59]	CCA.C17-JUDGE.i2.58102 entered observer.
[19:50:59]	CCA.C17-JUDGE.i2.58102 exited observer at their location.
[19:51:00]	CCA.C17-GRID.i5.80147 used command '/PM jud i only got 4 on me'.
[19:51:03]	[OOC] CCA.C17-GRID.i5.80147: hey
[19:51:06]	CCA.C17-GRID.i5.80147 used command '/Radio union'.
[19:51:06]	[OOC] Nikolai Vorchevski: hi
[19:51:07]	CCA.C17-JUDGE.i2.58102 used command '/PM grid i got some'.
[19:51:11]	CCA.C17-JUDGE.i2.58102 has spawned 'models/props_junk/wood_crate001a.mdl'.
[19:51:11]	CCA.C17-GRID.i5.80147 used command '/Radio // void'.
[19:51:12]	OTA-PHANTOM.OWS-97461 ran 'Apply' on item 'Health Kit' (#1856)
[19:51:12]	CCA.C17-UNION.i5.91462 used command '/Radio copy'.
[19:51:15]	CCA.C17-GRID.i5.80147 used command '/Radio // nvm it'.
[19:51:15]	CCA.C17-UNION.i5.91462 has gained 10 tokens.
[19:51:17]	CCA.C17-GRID.i5.80147 used command '/PM jud kk'.
[19:51:22]	Nikolai Vorchevski used command '/PM natalia CP'.
[19:51:26]	CCA.C17-GRID.i5.80147 used command '/PM jud btw the ammo i carry for other weapons is for the other units'.
[19:51:36]	CCA.C17-GRID.i5.80147 used command '/PM jud a just incase thing'.
[19:51:43]	CCA.C17-JUDGE.i2.58102 used command '/PM grid can still get in trouble doe'.
[19:51:43]	CCA.C17-JUDGE.i2.58102 entered observer.
[19:51:43]	CCA.C17-JUDGE.i2.58102 exited observer at their location.
[19:51:45]	CCA.C17-JUDGE.i2.58102 has spawned 'models/props_junk/wood_crate001a.mdl'.
[19:51:55]	CCA.C17-GRID.i5.80147 used command '/PM jud and what if i ask for permission from you'.
[19:51:56]	Natalia Jones has taken 14 damage from worldspawn.
[19:51:59]	[OOC] Elliot Andersson: Ima head of now bye everyone
[19:52:02]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [1228][ix_combinelock]'.
[19:52:03]	[OOC] CCA.C17-JUDGE.i2.58102: see ya
[19:52:06]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [582][ix_combinelock]'.
[19:52:08]	CCA.C17-JUDGE.i2.58102 opened the 'Crate' #459 container.
[19:52:08]	CCA.C17-JUDGE.i2.58102 closed the 'Crate' #459 container.
[19:52:10]	CCA.C17-JUDGE.i2.58102 entered observer.
[19:52:11]	CCA.C17-JUDGE.i2.58102 exited observer at their location.
[19:52:12]	GamerElk (STEAM_0:0:149070319) has disconnected.
[19:52:17]	CCA.C17-GRID.i5.80147 used command '/PM jud if i get permission to carry it from you does that mean i'll get in trouble or?'.
[19:52:18]	Nikolai Vorchevski has taken 22 damage from worldspawn.
[19:52:22]	Yugov Vladislav Borisovich has taken 33 damage from worldspawn.
[19:52:24]	OTA-PHANTOM.OWS-97461 used the 'Armory Operator' vendor.
[19:52:28]	CCA.C17-JUDGE.i2.58102 used command '/PM grid thats not up to me'.
[19:52:28]	OTA-PHANTOM.OWS-97461 has lost 65 tokens.
[19:52:28]	OTA-PHANTOM.OWS-97461 has gained a 'Health Kit' #2381.
[19:52:29]	OTA-PHANTOM.OWS-97461 has lost 65 tokens.
[19:52:29]	OTA-PHANTOM.OWS-97461 has gained a 'Health Kit' #2382.
[19:52:29]	OTA-PHANTOM.OWS-97461 has lost 65 tokens.
[19:52:29]	OTA-PHANTOM.OWS-97461 has gained a 'Health Kit' #2383.
[19:52:30]	OTA-PHANTOM.OWS-97461 has lost 65 tokens.
[19:52:30]	OTA-PHANTOM.OWS-97461 has gained a 'Health Kit' #2384.
[19:52:30]	OTA-PHANTOM.OWS-97461 has lost 65 tokens.
[19:52:30]	OTA-PHANTOM.OWS-97461 has gained a 'Health Kit' #2385.
[19:52:31]	OTA-PHANTOM.OWS-97461 has lost 65 tokens.
[19:52:31]	OTA-PHANTOM.OWS-97461 has gained a 'Health Kit' #2386.
[19:52:32]	OTA-PHANTOM.OWS-97461 has lost 65 tokens.
[19:52:32]	OTA-PHANTOM.OWS-97461 has gained a 'Health Kit' #2387.
[19:52:35]	OTA-PHANTOM.OWS-97461 ran 'Apply' on item 'Health Kit' (#2387)
[19:52:35]	OTA-PHANTOM.OWS-97461 ran 'Apply' on item 'Health Kit' (#2386)
[19:52:36]	OTA-PHANTOM.OWS-97461 used the 'Armory Operator' vendor.
[19:52:40]	CCA.C17-GRID.i5.80147 used command '/PM jud so as long as'.
[19:52:40]	OTA-PHANTOM.OWS-97461 has gained 0 tokens.
[19:52:40]	OTA-PHANTOM.OWS-97461 has gained a 'Breen's Water' #2386.
[19:52:41]	OTA-PHANTOM.OWS-97461 has gained 0 tokens.
[19:52:41]	OTA-PHANTOM.OWS-97461 has gained a 'Breen's Water' #2387.
[19:52:42]	Yugov Vladislav Borisovich ran 'drop' on item 'UU Brand Apple' (#1728)
[19:52:42]	Yugov Vladislav Borisovich has lost a 'UU Brand Apple' #1728.
[19:52:44]	OTA-PHANTOM.OWS-97461 ran 'drop' on item 'Breen's Water' (#2386)
[19:52:44]	OTA-PHANTOM.OWS-97461 has lost a 'Breen's Water' #2386.
[19:52:48]	Nikolai Vorchevski ran 'take' on item 'UU Brand Apple' (#1728)
[19:52:48]	Nikolai Vorchevski has gained a 'UU Brand Apple' #1728.
[19:52:48]	CCA.C17-JUDGE.i2.58102 has taken 5 damage from ix_container.
[19:52:49]	CCA.C17-GRID.i5.80147 used command '/PM jud also i cant even empty all of the bags i havew ithotu causing lag'.
[19:52:49]	OTA-PHANTOM.OWS-97461 ran 'take' on item 'Breen's Water' (#2386)
[19:52:49]	OTA-PHANTOM.OWS-97461 has gained a 'Breen's Water' #2386.
[19:52:54]	CCA.C17-GRID.i5.80147 used command '/PM jud so ima have to burn the entire bags'.
[19:53:04]	CCA.C17-GRID.i5.80147 used command '/PM jud ima do itrn'.
[19:53:13]	CCA.C17-UNION.i5.91462 used command '/Radio someone spotted on catwalks. going to investigate'.
[19:53:17]	CCA.C17-JUDGE.i2.58102 used command '/PM grid ok'.
[19:53:27]	[Y] Nikolai Vorchevski: Hello.
[19:53:36]	CCA.C17-UNION.i5.91462 used command '/Radio cits'.
[19:53:39]	Yugov Vladislav Borisovich has taken 3 damage from worldspawn.
[19:53:44]	CCA.C17-UNION.i5.91462 used command '/Radio train tracks'.
[19:53:47]	Natalia Jones used command '/PM nikolai RUN'.
[19:53:55]	CCA.C17-JUDGE.i2.58102 opened the 'Crate' #460 container.
[19:54:03]	CCA.C17-JUDGE.i2.58102 ran 'drop' on item 'Paper' (#1148)
[19:54:03]	CCA.C17-JUDGE.i2.58102 has lost a 'Paper' #1148.
[19:54:04]	CCA.C17-JUDGE.i2.58102 ran 'drop' on item 'Paper' (#1147)
[19:54:04]	CCA.C17-JUDGE.i2.58102 has lost a 'Paper' #1147.
[19:54:06]	CCA.C17-JUDGE.i2.58102 ran 'drop' on item '357' (#2352)
[19:54:06]	CCA.C17-JUDGE.i2.58102 has lost a '357' #2352.
[19:54:07]	CCA.C17-JUDGE.i2.58102 ran 'drop' on item 'Ration' (#2376)
[19:54:07]	CCA.C17-JUDGE.i2.58102 has lost a 'Ration' #2376.
[19:54:08]	CCA.C17-JUDGE.i2.58102 ran 'drop' on item 'Breen's Water' (#2375)
[19:54:08]	CCA.C17-JUDGE.i2.58102 has lost a 'Breen's Water' #2375.
[19:54:10]	CCA.C17-JUDGE.i2.58102 ran 'drop' on item 'Relocation Coupon' (#1173)
[19:54:10]	CCA.C17-JUDGE.i2.58102 has lost a 'Relocation Coupon' #1173.
[19:54:11]	CCA.C17-JUDGE.i2.58102 ran 'drop' on item 'Relocation Coupon' (#1182)
[19:54:11]	CCA.C17-JUDGE.i2.58102 has lost a 'Relocation Coupon' #1182.
[19:54:13]	CCA.C17-JUDGE.i2.58102 ran 'drop' on item 'Relocation Coupon' (#2348)
[19:54:13]	CCA.C17-JUDGE.i2.58102 has lost a 'Relocation Coupon' #2348.
[19:54:13]	OTA-PHANTOM.OWS-97461 has gained 40 tokens.
[19:54:14]	CCA.C17-JUDGE.i2.58102 closed the 'Crate' #460 container.
[19:54:23]	CCA.C17-GRID.i5.80147 ran 'drop' on item 'Backpack' (#2163)
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a 'Backpack' #2163.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a 'Health Vial' #2244.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a '9mm Pistol Bullets' #2251.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a '9mm Pistol Bullets' #2259.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a 'Health Kit' #1765.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a '.357 Magnum Bullets' #2085.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a '9mm Pistol Bullets' #2249.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a '9mm Pistol Bullets' #2255.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a 'Zip Tie' #2201.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a '9mm Pistol Bullets' #2256.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a '9mm Pistol Bullets' #2257.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a 'Zip Tie' #1223.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a '9mm Pistol Bullets' #2138.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a 'Health Vial' #2239.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a 'Health Vial' #2241.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a 'Health Vial' #2242.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a 'Health Vial' #2245.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a '9mm Pistol Bullets' #2250.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a '9mm Pistol Bullets' #2254.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a 'Zip Tie' #2199.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a 'Zip Tie' #2202.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a '9mm Pistol Bullets' #2253.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a '9mm Pistol Bullets' #2252.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a '9mm Pistol Bullets' #2258.
[19:54:23]	CCA.C17-GRID.i5.80147 has lost a 'Health Vial' #2238.
[19:54:25]	CCA.C17-GRID.i5.80147 ran 'take' on item 'Backpack' (#2163)
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a 'Backpack' #2163.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a 'Health Vial' #2244.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2251.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2259.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a 'Health Kit' #1765.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a '.357 Magnum Bullets' #2085.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2249.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2255.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a 'Zip Tie' #2201.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2256.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2257.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a 'Zip Tie' #1223.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2138.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a 'Health Vial' #2239.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a 'Health Vial' #2241.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a 'Health Vial' #2242.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a 'Health Vial' #2245.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2250.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2254.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a 'Zip Tie' #2199.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a 'Zip Tie' #2202.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2253.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2252.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2258.
[19:54:25]	CCA.C17-GRID.i5.80147 has gained a 'Health Vial' #2238.
[19:54:27]	CCA.C17-GRID.i5.80147 ran 'drop' on item 'Backpack' (#2164)
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Backpack' #2164.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'SMG Bullets' #2248.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'SMG Bullets' #2195.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Shotgun Shells' #2087.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Pulse-Rifle Energy' #2088.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'SMG Bullets' #2188.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Pulse-Rifle Energy' #2176.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Shotgun Shells' #2193.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'SMG Bullets' #2187.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Shotgun Shells' #2190.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Pulse-Rifle Energy' #2179.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Pulse-Rifle Energy' #2089.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'SMG Bullets' #2196.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Health Kit' #2165.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Shotgun Shells' #2198.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Pulse-Rifle Energy' #2180.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Shotgun Shells' #2191.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Shotgun Shells' #2192.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'SMG Bullets' #2189.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Pulse-Rifle Energy' #2177.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Shotgun Shells' #2197.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Health Vial' #2230.
[19:54:27]	CCA.C17-GRID.i5.80147 has lost a 'Pulse-Rifle Energy' #2178.
[19:54:28]	CCA.C17-GRID.i5.80147 ran 'drop' on item 'Backpack' (#2205)
[19:54:28]	CCA.C17-GRID.i5.80147 has lost a 'Backpack' #2205.
[19:54:28]	CCA.C17-GRID.i5.80147 has lost a 'Health Vial' #2240.
[19:54:28]	CCA.C17-GRID.i5.80147 has lost a 'Health Vial' #2246.
[19:54:28]	CCA.C17-GRID.i5.80147 has lost a 'Pulse-Rifle Energy' #2208.
[19:54:28]	CCA.C17-GRID.i5.80147 has lost a 'SMG Bullets' #2211.
[19:54:28]	CCA.C17-GRID.i5.80147 has lost a 'SMG Bullets' #2209.
[19:54:28]	CCA.C17-GRID.i5.80147 has lost a '.357 Magnum Bullets' #2206.
[19:54:28]	CCA.C17-GRID.i5.80147 has lost a 'Pulse-Rifle Energy' #2207.
[19:54:28]	CCA.C17-GRID.i5.80147 has lost a 'SMG Bullets' #2210.
[19:54:28]	CCA.C17-GRID.i5.80147 has lost a 'Health Vial' #2217.
[19:54:28]	CCA.C17-GRID.i5.80147 has lost a 'SMG Bullets' #2212.
[19:54:28]	CCA.C17-GRID.i5.80147 has lost a 'Pulse-Rifle Energy' #2237.
[19:54:32]	Nikolai Vorchevski used command '/ActSit'.
[19:54:33]	[LOOC] CCA.C17-GRID.i5.80147: void these shots
[19:54:35]	CCA.C17-GRID.i5.80147 destroyed a 'Backpack' #2164.
[19:54:35]	CCA.C17-JUDGE.i2.58102 has gained 10 tokens.
[19:54:36]	CCA.C17-GRID.i5.80147 destroyed a 'Backpack' #2205.
[19:54:43]	[LOOC] CCA.C17-GRID.i5.80147: was destroying 2 bags
[19:54:46]	CCA.C17-UNION.i5.91462 used command '/Radio whos shooting?'.
[19:54:52]	CCA.C17-GRID.i5.80147 used command '/Radio // void them'.
[19:54:55]	CCA.C17-GRID.i5.80147 used command '/Radio // was deleting my bags'.
[19:54:55]	[ME] Steven Harris: takes a few steps back and points to his left
[19:55:10]	[LOOC] CCA.C17-GRID.i5.80147: ill take the push as a yes
[19:55:18]	CCA.C17-JUDGE.i2.58102 opened the 'Crate' #459 container.
[19:55:25]	CCA.C17-JUDGE.i2.58102 closed the 'Crate' #459 container.
[19:55:29]	Steven Harris used command '/ActLean'.
[19:55:33]	CCA.C17-JUDGE.i2.58102 has gained a 'Supplements' #2388.
[19:55:33]	CCA.C17-JUDGE.i2.58102 has gained a 'Supplements' #2389.
[19:55:33]	CCA.C17-JUDGE.i2.58102 has gained a 'Supplements' #2390.
[19:55:33]	CCA.C17-JUDGE.i2.58102 has gained a 'Supplements' #2391.
[19:55:33]	CCA.C17-JUDGE.i2.58102 has gained a 'Supplements' #2392.
[19:55:33]	CCA.C17-JUDGE.i2.58102 has gained a 'Supplements' #2393.
[19:55:33]	CCA.C17-JUDGE.i2.58102 has gained a 'Supplements' #2394.
[19:55:33]	CCA.C17-JUDGE.i2.58102 has gained a 'Supplements' #2395.
[19:55:33]	CCA.C17-JUDGE.i2.58102 has gained a 'Supplements' #2396.
[19:55:33]	CCA.C17-JUDGE.i2.58102 has gained a 'Supplements' #2397.
[19:55:33]	CCA.C17-JUDGE.i2.58102 has gained a 'Supplements' #2398.
[19:55:33]	CCA.C17-JUDGE.i2.58102 has gained a 'Supplements' #2399.
[19:55:33]	CCA.C17-JUDGE.i2.58102 has gained a 'Supplements' #2400.
[19:55:33]	CCA.C17-JUDGE.i2.58102 used command '/CharGiveItem judge supplements 16'.
[19:55:37]	CCA.C17-JUDGE.i2.58102 opened the 'Crate' #459 container.
[19:55:39]	Natalia Jones used command '/PM nikolai where are you'.
