[00:00:00]	[OOC] Drake Salvador: Aiight
[16:14:49]	[LOOC] Andrew 'Razor' Gonzalez: Well I did not know that, near
[16:15:25]	[LOOC] UU-CmD.08: hold on i do need to process this guy.
[16:15:27]	kauã has taken 1 damage from worldspawn.
[16:15:28]	kauã has taken 1 damage from worldspawn.
[16:15:29]	kauã has taken 1 damage from worldspawn.
[16:15:30]	kauã has taken 1 damage from worldspawn.
[16:15:30]	kauã has taken 1 damage from worldspawn.
[16:15:30]	kauã has taken 5 damage from kauã.
[16:15:30]	kauã has gained 10 tokens.
[16:15:31]	kauã has taken 1 damage from worldspawn.
[16:15:32]	kauã has taken 1 damage from worldspawn.
[16:15:32]	matt saton loaded the character 'CCA.C08-GRID.i3.08313'
[16:15:33]	kauã has taken 1 damage from worldspawn.
[16:15:33]	CCA.C08-GRID.i3.08313 entered observer.
[16:15:34]	[LOOC] Andrew 'Razor' Gonzalez: Alright no problem
[16:15:40]	CCA.C08-GRID.i3.08313 exited observer at their location.
[16:16:00]	[LOOC] CCA.C08-GRID.i3.08313: hey, what do you want your character's full name to be?
[16:16:14]	kauã ran 'drop' on item 'Relocation Coupon' (#14180)
[16:16:14]	kauã has lost a 'Relocation Coupon' #14180.
[16:16:26]	CCA.C08-GRID.i3.08313 ran 'take' on item 'Relocation Coupon' (#14180)
[16:16:26]	CCA.C08-GRID.i3.08313 has gained a 'Relocation Coupon' #14180.
[16:16:38]	[LOOC] CCA.C08-GRID.i3.08313: what do you want your character's full name to be, my guy? you need a first and last name
[16:17:00]	[LOOC] CCA.C08-GRID.i3.08313: do you know how to use the chat?
[16:17:13]	[LOOC] CCA.C08-GRID.i3.08313: press y, type something in, hit enter
[16:17:21]	CCA.C08-GRID.i3.08313 used command '/PM razor pretty sure this guy is a minge'.
[16:17:28]	Andrew 'Razor' Gonzalez used command '/PM grid How come'.
[16:17:34]	CCA.C08-GRID.i3.08313 used command '/PM razor that or dumb as a box of bricks'.
[16:17:54]	[LOOC] CCA.C08-GRID.i3.08313: should I just give you a last name?
[16:17:54]	Andrew 'Razor' Gonzalez used command '/PM Grid What did he do?'.
[16:18:06]	CCA.C08-GRID.i3.08313 used command '/PM razor he's not responding to anything i say'.
[16:18:20]	Andrew 'Razor' Gonzalez used command '/PM Grid Odd, is he moving'.
[16:18:29]	[LOOC] CCA.C08-GRID.i3.08313: alright
[16:19:30]	CCA.C08-GRID.i3.08313 used command '/CharSetName kauã Kauã Perez'.
[16:19:49]	Neruel has connected.
[16:19:55]	CCA.C08-GRID.i3.08313 ran 'take' on item 'Citizen ID' (#14183)
[16:19:55]	CCA.C08-GRID.i3.08313 has gained a 'Citizen ID' #14183.
[16:20:24]	[LOOC] CCA.C08-GRID.i3.08313: the current year IC is 2006, the war was in 2003
[16:20:32]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[16:21:16]	CCA.C08-GRID.i3.08313 used command '/PM razor do you know what just absolutely baffles me sometimes'.
[16:21:19]	CCA.C08-GRID.i3.08313 used command '/PM razor this guy isn't doing it'.
[16:21:26]	CCA.C08-GRID.i3.08313 used command '/PM razor but when people say they were born in a city'.
[16:21:30]	CCA.C08-GRID.i3.08313 used command '/PM razor like a combine city'.
[16:22:06]	[LOOC] CCA.C08-GRID.i3.08313: if you were born in 1999 you would be 7 years old, you would absolutely be in a labor camp
[16:22:28]	[LOOC] CCA.C08-GRID.i3.08313: you're gonna need your character to be younger
[16:22:35]	Andrew 'Razor' Gonzalez used command '/PM Grid Lmao'.
[16:22:56]	[LOOC] CCA.C08-GRID.i3.08313: fuck, i mena older
[16:23:00]	CCA.C08-GRID.i3.08313 used command '/PM razor i would see that a lot in the older days'.
[16:23:03]	[LOOC] CCA.C08-GRID.i3.08313: 2006 is the current year
[16:23:11]	[LOOC] CCA.C08-GRID.i3.08313: if you were born in 2006, you would be a baby
[16:23:18]	[LOOC] CCA.C08-GRID.i3.08313: i need you to be way older
[16:23:20]	Andrew 'Razor' Gonzalez used command '/PM Grid Depending on the timeline, people would'.
[16:23:41]	CCA.C08-GRID.i3.08313 used command '/PM razor i mean more i would see that in project revival's beginning'.
[16:25:04]	[LOOC] CCA.C08-GRID.i3.08313: that's still way too young
[16:25:07]	Andrew 'Razor' Gonzalez used command '/PM Grid Ah'.
[16:25:32]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[16:25:47]	[LOOC] CCA.C08-GRID.i3.08313: you need to be at least 21 years old
[16:25:49]	[LOOC] CCA.C08-GRID.i3.08313: at the very least
[16:25:49]	SĤÕÔŤÊŘ has connected.
[16:25:53]	Andrew 'Razor' Gonzalez used command '/PM Grid It's people, honestly'.
[16:26:18]	Neruel loaded the character 'Areth  Martin'
[16:26:37]	Feng Yi 'Eric' Hseuh has taken 250 damage from trigger_hurt.
[16:26:37]	trigger_hurt has killed Feng Yi 'Eric' Hseuh.
[16:26:52]	Andrew 'Razor' Gonzalez used command '/PM Grid Also I realized I kind of asspulled saying my 'brother' was in the CCA'.
[16:27:00]	SĤÕÔŤÊŘ loaded the character 'Burt Bambze'
[16:27:08]	Areth  Martin has taken 5 damage from Areth  Martin.
[16:27:08]	Areth  Martin has gained 10 tokens.
[16:27:11]	[OOC] CCA.C08-GRID.i3.08313: holy shit it's shooter his damn self
[16:27:18]	Areth  Martin ran 'Equip' on item 'MP7' (#14137)
[16:27:19]	[OOC] Burt Bambze: I'M BACK
[16:27:23]	[OOC] CCA.C08-GRID.i3.08313: also welcome back areth, i'll help you out in just a second
[16:27:30]	[OOC] CCA.C08-GRID.i3.08313: bitch you need an ID get yo ass back here
[16:27:32]	[OOC] Areth  Martin: k
[16:27:42]	Areth  Martin ran 'EquipUn' on item 'MP7' (#14137)
[16:27:46]	Burt Bambze ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#189)
[16:27:48]	CCA.C08-GRID.i3.08313 used command '/PM areth i'll get to you in a sec'.
[16:27:55]	CCA.C08-GRID.i3.08313 used command '/PM areth just wait in the train station please'.
[16:28:01]	[LOOC] Areth  Martin: k
[16:28:01]	CCA.C08-GRID.i3.08313 used command '/CharSetName areth Areth Martin'.
[16:28:21]	[LOOC] Burt Bambze: wtf is with my thirdperson
[16:28:23]	[Y] CCA.C08-GRID.i3.08313: <:: You, new guy, come to the window. ::>
[16:28:37]	[LOOC] Burt Bambze: give me a hot minute
[16:28:41]	[LOOC] CCA.C08-GRID.i3.08313: gotcha
[16:28:54]	CCA.C08-GRID.i3.08313 used command '/PM burt i'm gonna hlep out areth, it shouldn't take too long'.
[16:29:01]	matt saton loaded the character 'OTA.C08-ECHO.OSS.19520'
[16:29:02]	OTA.C08-ECHO.OSS.19520 entered observer.
[16:29:10]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[16:29:10]	OTA.C08-ECHO.OSS.19520 entered observer.
[16:29:12]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[16:29:12]	OTA.C08-ECHO.OSS.19520 entered observer.
[16:29:12]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[16:29:13]	OTA.C08-ECHO.OSS.19520 entered observer.
[16:29:14]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[16:29:15]	OTA.C08-ECHO.OSS.19520 entered observer.
[16:29:16]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[16:29:17]	OTA.C08-ECHO.OSS.19520 entered observer.
[16:29:18]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[16:29:19]	OTA.C08-ECHO.OSS.19520 entered observer.
[16:29:19]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[16:29:19]	OTA.C08-ECHO.OSS.19520 entered observer.
[16:29:20]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[16:29:20]	OTA.C08-ECHO.OSS.19520 entered observer.
[16:29:30]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[16:29:44]	[IT] OTA.C08-ECHO.OSS.19520: The train ride back to the city was long.
[16:30:06]	[LOOC] Areth Martin: ?
[16:30:06]	[IT] OTA.C08-ECHO.OSS.19520: It stopped eventually, though, and an overwatch soldier opened the door before anyone else could. He's pointing a gun right at you.
[16:30:13]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[16:30:19]	[LOOC] OTA.C08-ECHO.OSS.19520: this is you coming back from city 17
[16:30:28]	[Y] OTA.C08-ECHO.OSS.19520: <:: Weapon! On the ground! Now! ::>
[16:30:39]	OTA.C08-ECHO.OSS.19520 used command '/PlySearch'.
[16:30:48]	[ME] Areth Martin: Drops his weapon on the ground.
[16:30:51]	Areth Martin ran 'drop' on item 'MP7' (#14137)
[16:30:51]	Areth Martin has lost a 'MP7' #14137.
[16:31:05]	[ME] OTA.C08-ECHO.OSS.19520: takes the MP7 and slings it, then lowers his AR2.
[16:31:05]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[16:31:07]	OTA.C08-ECHO.OSS.19520 ran 'take' on item 'MP7' (#14137)
[16:31:07]	OTA.C08-ECHO.OSS.19520 has gained a 'MP7' #14137.
[16:31:27]	OTA.C08-ECHO.OSS.19520 used command '/PM jim if you get on a unit me love yoyu lon gtime'.
[16:31:33]	[OOC] Andrew 'Razor' Gonzalez: Brb for a moment since I'm waiting
[16:31:36]	[OOC] OTA.C08-ECHO.OSS.19520: alright
[16:31:55]	scroll (STEAM_0:1:228784040) has disconnected.
[16:32:15]	[ME] Areth Martin: proceeds to follow orders , he takes off his armor.
[16:32:18]	Areth Martin ran 'EquipUn' on item 'Conscript Hazmat Armor' (#14138)
[16:32:20]	Areth Martin ran 'drop' on item 'Conscript Hazmat Armor' (#14138)
[16:32:20]	Areth Martin has lost a 'Conscript Hazmat Armor' #14138.
[16:32:25]	[ME] OTA.C08-ECHO.OSS.19520: takes the armor and carries it elsewhere.
[16:32:26]	Areth Martin ran 'Equip' on item 'Green Citizen Suit' (#14131)
[16:32:31]	[OOC] Burt Bambze: what was the command to disable HDR?
[16:32:35]	[OOC] OTA.C08-ECHO.OSS.19520: mat_specular 0
[16:32:39]	OTA.C08-ECHO.OSS.19520 ran 'drop' on item 'MP7' (#14137)
[16:32:39]	OTA.C08-ECHO.OSS.19520 has lost a 'MP7' #14137.
[16:32:48]	[ME] OTA.C08-ECHO.OSS.19520: would proceed to tie the individual. Would they resist?
[16:32:48]	[OOC] Burt Bambze: see yall in a hot minute
[16:32:52]	[OOC] OTA.C08-ECHO.OSS.19520: lmao
[16:33:01]	OTA.C08-ECHO.OSS.19520 has gained a 'Zip Tie' #14184.
[16:33:01]	OTA.C08-ECHO.OSS.19520 used command '/CharGiveItem echo zip'.
[16:33:06]	[ME] Areth Martin: fully complies through the entire situation.
[16:33:13]	[OOC] OTA.C08-ECHO.OSS.19520: joke's on you, my HDR is always off because source engine bloom likes like absolute shit
[16:33:16]	OTA.C08-ECHO.OSS.19520 ran 'Use' on item 'Zip Tie' (#14184)
[16:33:23]	[ME] OTA.C08-ECHO.OSS.19520: would proceed to throughly pat the man down.
[16:33:42]	OTA.C08-ECHO.OSS.19520 used command '/PlySearch'.
[16:33:44]	OTA.C08-ECHO.OSS.19520 has gained a 'Suitcase' #13005.
[16:33:44]	OTA.C08-ECHO.OSS.19520 has gained a 'Citizen Filter' #11928.
[16:33:44]	OTA.C08-ECHO.OSS.19520 has gained a 'Citizen Filter' #11926.
[16:33:44]	OTA.C08-ECHO.OSS.19520 has gained a 'CCA Filter' #14134.
[16:33:44]	OTA.C08-ECHO.OSS.19520 has gained a 'Duct Tape' #12952.
[16:33:44]	OTA.C08-ECHO.OSS.19520 has gained a 'Citizen Filter' #11912.
[16:33:46]	[OOC] Andrew 'Razor' Gonzalez: Back
[16:33:56]	OTA.C08-ECHO.OSS.19520 ran 'drop' on item 'OTA Filter' (#14126)
[16:33:56]	OTA.C08-ECHO.OSS.19520 has lost a 'OTA Filter' #14126.
[16:34:03]	OTA.C08-ECHO.OSS.19520 ran 'take' on item 'OTA Filter' (#14126)
[16:34:03]	OTA.C08-ECHO.OSS.19520 has gained a 'OTA Filter' #14126.
[16:34:05]	[ME] OTA.C08-ECHO.OSS.19520: would take out his combat knife and cut the individual's ties.
[16:34:08]	[OOC] Burt Bambze: finally things look normal
[16:34:27]	OTA.C08-ECHO.OSS.19520 has spawned a 'Entity [2915][gmod_sent_vehicle_fphysics_base]'.
[16:34:33]	OTA.C08-ECHO.OSS.19520 used command '/PM jim please flag up'.
[16:34:34]	Burt Bambze ran 'take' on item 'Suitcase' (#13021)
[16:34:34]	Burt Bambze has gained a 'Suitcase' #13021.
[16:34:38]	Areth Martin ran 'EquipUn' on item 'Green Citizen Suit' (#14131)
[16:34:40]	Areth Martin ran 'Equip' on item 'Green Citizen Suit' (#14131)
[16:34:47]	OTA.C08-ECHO.OSS.19520 has taken 5 damage from gmod_sent_vehicle_fphysics_base.
[16:34:47]	OTA.C08-ECHO.OSS.19520 has taken 200 damage from worldspawn.
[16:34:47]	OTA.C08-ECHO.OSS.19520 has taken 200 damage from worldspawn.
[16:34:47]	worldspawn has killed OTA.C08-ECHO.OSS.19520.
[16:34:48]	OTA.C08-ECHO.OSS.19520 entered observer.
[16:35:01]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[16:35:15]	[OOC] OTA.C08-ECHO.OSS.19520: sorry about the wait, im' kind of spread thin.
[16:35:27]	Andrew 'Razor' Gonzalez used command '/PM Echo Where is your staff?'.
[16:35:27]	[OOC] Burt Bambze: thats fine
[16:35:31]	[OOC] Andrew 'Razor' Gonzalez: It's cool
[16:35:35]	OTA.C08-ECHO.OSS.19520 used command '/PM razor i'm messaging them to get on as we speak'.
[16:35:44]	[OOC] OTA.C08-ECHO.OSS.19520: i'm messaging to get them on as we speak
[16:35:50]	[OOC] OTA.C08-ECHO.OSS.19520: my staff that is
[16:35:59]	[OOC] Burt Bambze: tbh i joined mainly because I was bored and needed insperation to start coding again.
[16:36:00]	Andrew 'Razor' Gonzalez used command '/PM Echo Yeah because you can't keep one man army this shit'.
[16:36:09]	[OOC] OTA.C08-ECHO.OSS.19520: fair
[16:36:24]	[LOOC] OTA.C08-ECHO.OSS.19520: void
[16:36:30]	OTA.C08-ECHO.OSS.19520 used command '/PM razor you know what that means, eh?'.
[16:36:39]	Burt Bambze has taken 5 damage from Burt Bambze.
[16:36:39]	Burt Bambze has gained 10 tokens.
[16:36:40]	Andrew 'Razor' Gonzalez used command '/PM Echo What..'.
[16:36:47]	OTA.C08-ECHO.OSS.19520 entered observer.
[16:36:47]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[16:36:50]	OTA.C08-ECHO.OSS.19520 entered observer.
[16:36:51]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[16:37:26]	OTA.C08-ECHO.OSS.19520 used command '/PM andrew https://projectrevival.xyz/forum/showthread.php?tid=6'.
[16:37:36]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[16:37:37]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[16:37:51]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[16:38:02]	[OOC] Burt Bambze: brb
[16:38:07]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[16:38:15]	Andrew 'Razor' Gonzalez used command '/PM Echo Gabe, I'm too old to make an application lol'.
[16:38:24]	OTA.C08-ECHO.OSS.19520 used command '/PM razor yo wat'.
[16:38:27]	OTA.C08-ECHO.OSS.19520 used command '/PM razor you wat*'.
[16:38:40]	Andrew 'Razor' Gonzalez used command '/PM Echo And I never liked the philosophy of apply for staff'.
[16:38:48]	Andrew 'Razor' Gonzalez used command '/PM Echo Because just about any bozo can do it'.
[16:39:00]	Andrew 'Razor' Gonzalez used command '/PM Echo And you wouldn't truly know them'.
[16:39:14]	[OOC] Burt Bambze: back
[16:39:16]	Andrew 'Razor' Gonzalez used command '/PM Echo Take it from me, I learned my mistake on that and I never did it again'.
[16:39:21]	OTA.C08-ECHO.OSS.19520 used command '/PM razor the application is a formality, it's actually approved based on how much i trust a player and know them'.
[16:39:36]	Burt Bambze has taken 250 damage from trigger_hurt.
[16:39:36]	trigger_hurt has killed Burt Bambze.
[16:40:00]	Burt Bambze has taken 1 damage from worldspawn.
[16:40:03]	matt saton loaded the character 'CCA.C08-GRID.i3.08313'
[16:40:08]	Burt Bambze ran 'Equip' on item 'Cyclopic Citizen Suit' (#189)
[16:40:13]	[OOC] CCA.C08-GRID.i3.08313: i'm ready to process you, shooter
[16:40:17]	Burt Bambze ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#189)
[16:40:27]	Andrew 'Razor' Gonzalez used command '/PM Grid Do I *have* to make 3 paragraphs?'.
[16:40:32]	CCA.C08-GRID.i3.08313 used command '/PM razor yes'.
[16:40:55]	Andrew 'Razor' Gonzalez used command '/PM Grid Literally my actions are better to express than words lol'.
[16:41:24]	[ME] Burt Bambze: Reaches into pocket and pulls out a metal card and places it on the count infront of him.
[16:41:24]	Andrew 'Razor' Gonzalez used command '/PM Grid I talk with what I do because words are meaningless most of the time'.
[16:41:26]	Burt Bambze ran 'drop' on item 'Relocation Coupon' (#188)
[16:41:26]	Burt Bambze has lost a 'Relocation Coupon' #188.
[16:41:40]	[OOC] Jim Bostello: you do coding?
[16:41:41]	CCA.C08-GRID.i3.08313 used command '/PM razor write about your actions then. like i said, the application is a formality. someone could write the best three paragraphs i've ever written and if i don't trust them, they're being denied'.
[16:41:43]	CCA.C08-GRID.i3.08313 ran 'take' on item 'Relocation Coupon' (#188)
[16:41:43]	CCA.C08-GRID.i3.08313 has gained a 'Relocation Coupon' #188.
[16:41:52]	[ME] CCA.C08-GRID.i3.08313: takes the card and turns around, examining it in the light.
[16:42:03]	[OOC] Burt Bambze: Ya, I have a few public addons that i've sent to Q.
[16:42:12]	[OOC] Burt Bambze: plugins*
[16:42:18]	[ME] CCA.C08-GRID.i3.08313: then seems satisfied and approaches the printer.
[16:42:38]	CCA.C08-GRID.i3.08313 ran 'take' on item 'Citizen ID' (#14184)
[16:42:38]	CCA.C08-GRID.i3.08313 has gained a 'Citizen ID' #14184.
[16:42:51]	[LOOC] CCA.C08-GRID.i3.08313: year is 2006, war was in 2003
[16:43:16]	Andrew 'Razor' Gonzalez used command '/PM Grid Well let me first see how long until I can potentially get Union depending on the length then I'll see to making an application.'.
[16:43:28]	Andrew 'Razor' Gonzalez used command '/PM Grid Baby steps'.
[16:43:52]	[OOC] Jim Bostello: so, you make scripts than?
[16:43:58]	[OOC] Jim Bostello: have you worked with any other servers?
[16:45:02]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[16:45:34]	[ME] CCA.C08-GRID.i3.08313: takes out their datapad and types a couple things in.
[16:45:38]	CCA.C08-GRID.i3.08313 used command '/ViewData burt'.
[16:45:39]	Andrew 'Razor' Gonzalez used command '/PM Grid Because I don't want to rush everything in one go unless one gets a better chance to also get the other honestly.'.
[16:46:03]	Areth Martin used command '/Radio Radio check.'.
[16:46:08]	Areth Martin ran 'Toggle' on item 'Hybrid Radio' (#14154)
[16:46:16]	Areth Martin ran 'Channel' on item 'Hybrid Radio' (#14154)
[16:46:18]	Areth Martin used command '/SetChan 1'.
[16:46:18]	[OOC] Burt Bambze: no I plan on working on personal projects for now. I wanted to make a no compromises HL2RPG, but with IRL stuff progress is slow.
[16:46:41]	CCA.C08-GRID.i3.08313 used command '/PM razor yeah'.
[16:46:45]	[LOOC] CCA.C08-GRID.i3.08313: bitch
[16:46:46]	[LOOC] Burt Bambze: miss clock
[16:47:39]	[LOOC] CCA.C08-GRID.i3.08313: fuck i love root beer
[16:47:48]	[OOC] Jim Bostello: well good shit, I respect that heavily. I wanted to get into it but I gotta leave that shit for the nerds lol, good ass payment though
[16:49:13]	Areth Martin ran 'View' on item 'Paper' (#12540)
[16:49:26]	Areth Martin ran 'View' on item 'Paper' (#11100)
[16:49:27]	Andrew 'Razor' Gonzalez used command '/PM Grid Once I can perhaps get myself into Union which is when you feel to I suppose, then I'll apply because I rather not have to ask for a whole bunch of things as a leader and operate semi-autonomously without having to pester you or other staff'.
[16:49:45]	Areth Martin opened the '' #1185 container.
[16:49:47]	CCA.C08-GRID.i3.08313 used command '/PM razor yeah'.
[16:49:48]	Areth Martin closed the '' #1185 container.
[16:49:58]	Andrew 'Razor' Gonzalez used command '/PM Grid And I'm not stupid anyways so it's a win-win'.
[16:50:02]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[16:50:50]	Andrew 'Razor' Gonzalez ran 'Consume' on item 'Flavored Consulate Water' (#13004)
[16:50:57]	CCA.C08-GRID.i3.08313 used command '/ViewData burt'.
[16:51:09]	[OOC] Burt Bambze: It's a fun craft, but I wish I could get more things done in a day of code. I've resently had coders block.
[16:51:12]	[LOOC] CCA.C08-GRID.i3.08313: wait, O+ donates plasma?
[16:51:13]	Andrew 'Razor' Gonzalez used command '/PM Grid Also when you're done I'm still stuck inside the nexus where we last talked'.
[16:51:21]	CCA.C08-GRID.i3.08313 used command '/PM razor yeah, sorry, shooter talks very slow'.
[16:51:26]	[LOOC] CCA.C08-GRID.i3.08313: holy shit i may have O+ blood
[16:51:35]	Andrew 'Razor' Gonzalez used command '/PM Grid It's cool no worries I'm just chilling here'.
[16:52:00]	Areth Martin ran 'View' on item 'Notepad' (#13970)
[16:52:05]	[LOOC] Burt Bambze: you can donate plasma regardless of blood type, they just mark it for only those spasific types.
[16:52:09]	Areth Martin ran 'View' on item 'Notepad' (#13971)
[16:52:16]	Areth Martin ran 'View' on item 'Notepad' (#13969)
[16:52:21]	[LOOC] CCA.C08-GRID.i3.08313: ah
[16:52:26]	[LOOC] CCA.C08-GRID.i3.08313: i want to know what blood type i am
[16:52:33]	[LOOC] CCA.C08-GRID.i3.08313: have you ever given plasma? it's a fucking bitch and a half
[16:52:44]	[LOOC] CCA.C08-GRID.i3.08313: not even painful you just feel like you're in the siberian winter naked
[16:53:31]	[LOOC] Burt Bambze: I've given blood before. But more of a donation. I heard you can get like 300 for donating plasma.
[16:54:07]	[LOOC] Burt Bambze: mfw he forgets he has dementa
[16:54:10]	[LOOC] CCA.C08-GRID.i3.08313: i've only ever donated, i love doing it
[16:54:10]	Areth Martin ran 'EquipUn' on item 'Green Citizen Suit' (#14131)
[16:56:40]	[LOOC] CCA.C08-GRID.i3.08313: i'm gonna meme on you, i hope that's okay
[16:57:02]	[LOOC] Burt Bambze: LMAO
[16:59:05]	Neruel created the character 'Vuller Arton'
[16:59:05]	Vuller Arton has gained a 'Suitcase' #14185.
[16:59:05]	Vuller Arton has gained a 'Relocation Coupon' #14186.
[16:59:05]	Vuller Arton has gained a 'Cyclopic Citizen Suit' #14187.
[16:59:05]	Vuller Arton has gained a 'Citizen Filter' #14188.
[16:59:23]	Neruel loaded the character 'Vuller Arton'
[16:59:38]	Vuller Arton used command '/CharFallOver'.
[16:59:39]	Vuller Arton used command '/CharGetUp'.
[16:59:40]	Vuller Arton used command '/CharGetUp'.
[16:59:41]	Vuller Arton used command '/CharGetUp'.
[16:59:41]	Vuller Arton used command '/CharGetUp'.
[16:59:42]	Vuller Arton used command '/CharGetUp'.
[16:59:42]	Vuller Arton used command '/CharGetUp'.
[16:59:43]	Vuller Arton used command '/CharGetUp'.
[16:59:44]	Vuller Arton used command '/CharGetUp'.
[16:59:44]	Vuller Arton used command '/CharGetUp'.
[16:59:45]	Vuller Arton used command '/CharGetUp'.
[16:59:46]	Vuller Arton used command '/CharGetUp'.
[16:59:46]	Vuller Arton used command '/CharGetUp'.
[16:59:47]	Vuller Arton used command '/CharGetUp'.
[17:00:02]	Vuller Arton ran 'Equip' on item 'Cyclopic Citizen Suit' (#14187)
[17:00:03]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[17:00:04]	Vuller Arton ran 'equip' on item 'Citizen Filter' (#14188)
[17:00:38]	[Y] CCA.C08-GRID.i3.08313: <:: Citizen. ::>
[17:00:47]	CCA.C08-GRID.i3.08313 entered observer.
[17:00:53]	CCA.C08-GRID.i3.08313 exited observer at their location.
[17:00:56]	[OOC] Burt Bambze: LMFAO
[17:01:01]	Burt Bambze has taken 1 damage from worldspawn.
[17:01:02]	Burt Bambze has taken 1 damage from worldspawn.
[17:01:03]	Burt Bambze has taken 1 damage from worldspawn.
[17:01:03]	Burt Bambze has taken 1 damage from worldspawn.
[17:01:04]	Burt Bambze has taken 1 damage from worldspawn.
[17:01:05]	[LOOC] Vuller Arton: lol?
[17:01:05]	Burt Bambze has taken 1 damage from worldspawn.
[17:01:06]	Burt Bambze ran 'Equip' on item 'Cyclopic Citizen Suit' (#189)
[17:01:09]	[LOOC] CCA.C08-GRID.i3.08313: put on your suit and filter
[17:01:10]	[LOOC] CCA.C08-GRID.i3.08313: nice
[17:01:24]	CCA.C08-GRID.i3.08313 entered observer.
[17:01:26]	CCA.C08-GRID.i3.08313 exited observer at their location.
[17:01:29]	[Y] CCA.C08-GRID.i3.08313: <:: This way. ::>
[17:01:40]	[LOOC] Burt Bambze: void
[17:01:46]	[LOOC] Burt Bambze: miss clock
[17:01:47]	CCA.C08-GRID.i3.08313 used command '/PM burt just absolutely mindfucking burt'.
[17:01:52]	[LOOC] Vuller Arton: looks like u guys been standing here for a while.
[17:01:57]	Vuller Arton ran 'drop' on item 'Relocation Coupon' (#14186)
[17:01:57]	Vuller Arton has lost a 'Relocation Coupon' #14186.
[17:02:25]	[ME] CCA.C08-GRID.i3.08313: takes the citizen's relocation coupon, turns around, and inspect it in the light.
[17:02:26]	CCA.C08-GRID.i3.08313 ran 'take' on item 'Relocation Coupon' (#14186)
[17:02:26]	CCA.C08-GRID.i3.08313 has gained a 'Relocation Coupon' #14186.
[17:02:34]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'Relocation Coupon' (#14180)
[17:02:34]	CCA.C08-GRID.i3.08313 has lost a 'Relocation Coupon' #14180.
[17:02:36]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'Citizen ID' (#14183)
[17:02:36]	CCA.C08-GRID.i3.08313 has lost a 'Citizen ID' #14183.
[17:02:36]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'Relocation Coupon' (#188)
[17:02:36]	CCA.C08-GRID.i3.08313 has lost a 'Relocation Coupon' #188.
[17:02:46]	[LOOC] Burt Bambze: void
[17:02:55]	CCA.C08-GRID.i3.08313 ran 'take' on item 'Citizen ID' (#14188)
[17:02:55]	CCA.C08-GRID.i3.08313 has gained a 'Citizen ID' #14188.
[17:03:20]	[LOOC] CCA.C08-GRID.i3.08313: current year is 2006, war was in 2003
[17:04:09]	[LOOC] CCA.C08-GRID.i3.08313: that's too young
[17:04:14]	[LOOC] CCA.C08-GRID.i3.08313: minimum year is 1985 iirc
[17:04:21]	[LOOC] CCA.C08-GRID.i3.08313: yeah
[17:04:41]	[LOOC] Vuller Arton: then 1985 i guess.
[17:04:51]	[LOOC] CCA.C08-GRID.i3.08313: i mean you could play as older if you like
[17:04:57]	CCA.C08-GRID.i3.08313 used command '/ViewData vuller'.
[17:05:02]	[LOOC] Burt Bambze: damm you are hitting it on the nose I guess
[17:05:02]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[17:05:11]	[LOOC] CCA.C08-GRID.i3.08313: got in right under the wire
[17:05:12]	CCA.C08-GRID.i3.08313 used command '/ViewData vuller'.
[17:05:42]	CCA.C08-GRID.i3.08313 used command '/ViewData vuller'.
[17:06:44]	CCA.C08-GRID.i3.08313 used command '/ViewData vuller'.
[17:07:32]	[Y] CCA.C08-GRID.i3.08313: <:: Old timer, listen up. ::>
[17:08:06]	deantheone loaded the character 'CCA.C08-UNION.i5.01477'
[17:08:22]	CCA.C08-UNION.i5.01477 used command '/Radio Any points of interest as of now?'.
[17:08:49]	CCA.C08-UNION.i5.01477 ran 'use' on item '9mm Pistol Magazine' (#11646)
