[01:29:33]	BlueBox has connected.
[21:00:17]	Daniel J. Cutter has gained a '9mm Pistol Magazine' #37635.
[21:00:17]	Daniel J. Cutter has gained a '9mm Pistol Magazine' #37636.
[21:00:17]	Daniel J. Cutter used command '/CharGiveItem cutter 9mm pistol 3'.
[21:00:18]	Daniel J. Cutter ran 'use' on item '9mm Pistol Magazine' (#37636)
[21:00:19]	[ME] CCA.C17-HELIX.i3.08874: tackles the entity infront of them to the ground.
[21:00:19]	Daniel J. Cutter ran 'use' on item '9mm Pistol Magazine' (#37635)
[21:00:20]	Daniel J. Cutter ran 'use' on item '9mm Pistol Magazine' (#37634)
[21:00:23]	[OOC] Daniel J. Cutter: go
[21:00:24]	[Y] CCA.C17-UNION.i5.94233: <:: Give chase. ::>
[21:00:28]	[Y] CCA.C17-HELIX.i3.08874: <:: STOP THERE! ::>
[21:00:29]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[21:00:29]	CCA.C17-HELIX.i3.08874 has taken 9 damage from Daniel J. Cutter.
[21:00:29]	Daniel J. Cutter has taken 10 damage from CCA.C17-HELIX.i3.08874.
[21:00:30]	Daniel J. Cutter has taken 10 damage from CCA.C17-HELIX.i3.08874.
[21:00:30]	Daniel J. Cutter has taken 10 damage from CCA.C17-HELIX.i3.08874.
[21:00:30]	Daniel J. Cutter has taken 10 damage from CCA.C17-HELIX.i3.08874.
[21:00:33]	CCA.C17-HELIX.i3.08874 has taken 9 damage from Daniel J. Cutter.
[21:00:33]	CCA.C17-HELIX.i3.08874 has taken 9 damage from Daniel J. Cutter.
[21:00:35]	CCA.C17-HELIX.i3.08874 has taken 9 damage from Daniel J. Cutter.
[21:00:35]	CCA.C17-UNION.i5.94233 has taken 9 damage from Daniel J. Cutter.
[21:00:36]	Daniel J. Cutter has taken 10 damage from CCA.C17-HELIX.i3.08874.
[21:00:36]	CCA.C17-HELIX.i3.08874 has killed Daniel J. Cutter with weapon_smg1.
[21:00:45]	[Y] CCA.C17-HELIX.i3.08874: <:: SUSPECT AMPUTATED! ::>
[21:01:04]	Daniel J. Cutter entered observer.
[21:01:06]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[21:01:24]	Daniel J. Cutter used command '/PM helix I didnt have the package, but I'll drop a few contraband like the USp n such'.
[21:01:32]	Daniel J. Cutter ran 'drop' on item 'USP Match' (#37612)
[21:01:32]	Daniel J. Cutter has lost a 'USP Match' #37612.
[21:01:35]	CCA.C17-HELIX.i3.08874 used command '/PM daniel gotcha gotcha'.
[21:01:38]	CCA.C17-HELIX.i3.08874 ran 'take' on item 'USP Match' (#37612)
[21:01:38]	CCA.C17-HELIX.i3.08874 has gained a 'USP Match' #37612.
[21:01:41]	Sona la Rona ran 'Equip' on item 'Pipe' (#31440)
[21:01:43]	Daniel J. Cutter has gained a '9mm Pistol Magazine' #37634.
[21:01:43]	Daniel J. Cutter used command '/CharGiveItem cutter 9mm pistol 1'.
[21:01:44]	Daniel J. Cutter ran 'drop' on item '9mm Pistol Magazine' (#37634)
[21:01:44]	Daniel J. Cutter has lost a '9mm Pistol Magazine' #37634.
[21:02:03]	[ME] CCA.C17-HELIX.i3.08874: grunts and holsters the MP7, before brandishing a Stimpack.
[21:02:09]	CCA.C17-HELIX.i3.08874 ran 'take' on item '9mm Pistol Magazine' (#37634)
[21:02:09]	CCA.C17-HELIX.i3.08874 has gained a '9mm Pistol Magazine' #37634.
[21:02:12]	CCA.C17-UNION.i5.94233 ran 'AHealSelf' on item 'Bandage' (#37232)
[21:02:15]	[ME] CCA.C17-HELIX.i3.08874: then injects themself.
[21:02:19]	CCA.C17-HELIX.i3.08874 ran 'AHealSelf' on item 'Stimshot' (#33271)
[21:02:28]	[ME] CCA.C17-UNION.i5.94233: Would wrap his bullet wound in a UU Branded civil protection bandage
[21:02:32]	Daniel J. Cutter used command '/Event The courier lets out his final gust of air...His eyes shut...The package...and his families future unknown...Though the package is for sure in someones hands...'.
[21:02:33]	[Y] CCA.C17-UNION.i5.94233: <:: Halt. ::>
[21:02:42]	[Y] CCA.C17-UNION.i5.94233: <:: BOTYH OF YOU. ::>
[21:02:43]	[Y] CCA.C17-UNION.i5.94233: <:: HALT. ::>
[21:02:46]	[Y] CCA.C17-UNION.i5.94233: <:: Now. ::>
[21:02:46]	Sona la Rona ran 'EquipUn' on item 'Pipe' (#31440)
[21:02:49]	[ME] CCA.C17-HELIX.i3.08874: takes out a bandage and begins wrapping around their wound.
[21:02:50]	[Y] CCA.C17-UNION.i5.94233: <:: BOTH. ::>
[21:02:51]	[Y] CCA.C17-UNION.i5.94233: <:: WALL. ::>
[21:02:52]	CCA.C17-HELIX.i3.08874 ran 'AHealSelf' on item 'Bandage' (#29979)
[21:03:01]	Smith Lee Jhones ran 'EquipUn' on item 'Shovel' (#34069)
[21:03:04]	[OOC] Daniel J. Cutter: TIMERRRRR UP! The box is in whoevers hands
[21:03:05]	Richard Barley has taken 1 damage from worldspawn.
[21:03:05]	Richard Barley has taken 1 damage from worldspawn.
[21:03:06]	Richard Barley has taken 1 damage from worldspawn.
[21:03:07]	Richard Barley has taken 1 damage from worldspawn.
[21:03:07]	Richard Barley ran 'equip' on item 'Citizen Filter' (#37481)
[21:03:08]	[ME] CCA.C17-UNION.i5.94233: Would start to pat one of them down
[21:03:10]	CCA.C17-UNION.i5.94233 used command '/CharSearch'.
[21:03:16]	[OOC] Daniel J. Cutter: Andddd that means...
[21:03:18]	[ME] CCA.C17-HELIX.i3.08874: grabs them by the arms, searching them.
[21:03:19]	[OOC] Daniel J. Cutter: EVENT! FIN!!!!
[21:03:25]	CCA.C17-HELIX.i3.08874 used command '/CharSearch'.
[21:03:31]	[OOC] Sona la Rona: is package still out there
[21:03:37]	[OOC] Daniel J. Cutter: Nope, it was taken
[21:03:42]	[OOC] Daniel J. Cutter: Someone found it
[21:03:45]	[ME] CCA.C17-HELIX.i3.08874: limps along.
[21:03:53]	[ME] CCA.C17-UNION.i5.94233: Would follow
[21:04:02]	[OOC] Sona la Rona: k time to switch to normal char
[21:04:02]	[OOC] Daniel J. Cutter: Not to say someone still can't yoink it off someone
[21:04:11]	CCA.C17-HELIX.i3.08874 used command '/Radio S-suspect down, return to code green.'.
[21:04:11]	[OOC] Daniel J. Cutter: Just saying that the event tied to it is over
[21:04:20]	wendigo loaded the character 'Ava Carter'
[21:04:36]	Daniel J. Cutter exited observer at their location.
[21:04:41]	CCA.C17-UNION.i5.94233 ran 'AHealSelf' on item 'Bandage' (#37250)
[21:04:41]	[OOC] Ava Carter: why do yall have an armor repair kit right outside the holding cell
[21:04:44]	[OOC] Ava Carter: :Skull:
[21:04:52]	Daniel J. Cutter entered observer.
[21:04:52]	[OOC] CCA.C17-HELIX.i3.08874: ez ez contraband
[21:05:22]	CCA.C17-HELIX.i3.08874 used command '/Radio moving to medbay.'.
[21:05:27]	Daniel J. Cutter used command '/Event The feeling of being watched seems to glare over the citizens of I17...Though from where? Perhaps its just the wind...Or, watchful eyes are looking for something...or someone'.
[21:05:29]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[21:05:38]	[OOC] Tony Ricci: its me
[21:05:38]	[Y] Ava Carter: I was.
[21:05:39]	Tony Ricci ran 'View' on item 'Paper' (#26871)
[21:05:39]	CCA.C17-HELIX.i3.08874 used command '/Radio yes.'.
[21:05:48]	[OOC] CCA.C17-UNION.i5.94233: I gotta do something so I might have to restart my pc
[21:05:51]	Daniel J. Cutter exited observer at their location.
[21:05:53]	[OOC] CCA.C17-UNION.i5.94233: give me like 10 seconds
[21:05:57]	[OOC] CCA.C17-UNION.i5.94233: not my pc my intrnet
[21:06:03]	Daniel J. Cutter entered observer.
[21:06:06]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[21:06:10]	[OOC] Ava Carter: helix interrorgate me
[21:06:14]	Daniel J. Cutter exited observer at their location.
[21:06:19]	[OOC] CCA.C17-HELIX.i3.08874: I got shot I'm doing my own medrp
[21:06:26]	[OOC] Ava Carter: ew medrp
[21:06:26]	[ME] Richard Barley: would preform a partatrooper combat roll
[21:06:32]	Daniel J. Cutter entered observer.
[21:06:39]	Smith Lee Jhones ran 'Equip' on item 'Shovel' (#34069)
[21:06:43]	Daniel J. Cutter exited observer at their location.
[21:06:44]	Weaponized Turtles (STEAM_0:0:69165544) has disconnected (timed out).
[21:06:50]	Daniel J. Cutter entered observer.
[21:06:51]	[OOC] CCA.C17-HELIX.i3.08874: He is rejoining
[21:07:06]	fuckus loaded the character 'Kiff Sankase`'
[21:07:15]	Smith Lee Jhones used command '/Request there's some funky dude at that building that got shot up, he had some odd arm band'.
[21:07:25]	Daniel J. Cutter used command '/CharDesc'.
[21:07:33]	Daniel J. Cutter used command '/CharDesc [Exiles Armband ON] A Well Built Man standing at around 6'1" | He wears an Armored Blue Resistance Uniform | Speaks with a clear, deep American accent | Has a small scar on his right cheek |'.
[21:07:37]	Kiff Sankase` opened the 'Refrigerator' #2854 container.
[21:07:38]	[OOC] Daniel J. Cutter: Btw the courier is dead
[21:07:39]	Kiff Sankase` closed the 'Refrigerator' #2854 container.
[21:07:45]	[OOC] Ava Carter: duh
[21:07:46]	Kiff Sankase` has gained a 'Empty Pill Bottle' #37635.
[21:07:47]	Weaponized Turtles has connected.
[21:07:48]	Daniel J. Cutter exited observer at their location.
[21:07:49]	Kiff Sankase` ran 'drop' on item 'Empty Pill Bottle' (#37635)
[21:07:49]	Kiff Sankase` has lost a 'Empty Pill Bottle' #37635.
[21:07:55]	Daniel J. Cutter ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#30928)
[21:07:56]	Daniel J. Cutter ran 'Equip' on item 'CWU Worker Suit' (#29250)
[21:07:56]	Kiff Sankase` ran 'take' on item 'Cyclopic Citizen Suit' (#37590)
[21:07:56]	Kiff Sankase` has gained a 'Cyclopic Citizen Suit' #37590.
[21:07:58]	Daniel J. Cutter entered observer.
[21:07:59]	Daniel J. Cutter exited observer at their location.
[21:08:01]	Richard Barley ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#37449)
[21:08:08]	Daniel J. Cutter used command '/PM helix Uhh'.
[21:08:13]	Weaponized Turtles loaded the character 'CCA.C17-UNION.i5.94233'
[21:08:14]	Kiff Sankase` has gained a 'Teflon' #37636.
[21:08:14]	Kiff Sankase` has gained a 'Teflon' #37637.
[21:08:14]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:15]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:16]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:17]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:17]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:18]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:18]	Daniel J. Cutter used command '/PM helix N...no?'.
[21:08:19]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:20]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:20]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:21]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:22]	Daniel J. Cutter entered observer.
[21:08:22]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:23]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:23]	Kiff Sankase` ran 'Equip' on item 'Cyclopic Citizen Suit' (#37590)
[21:08:23]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:24]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:25]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:26]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:26]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:27]	CCA.C17-HELIX.i3.08874 used command '/PM Cutter okay'.
[21:08:27]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:28]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:28]	Kiff Sankase` opened the 'Cash Register' #2418 container.
[21:08:29]	Kiff Sankase` closed the 'Cash Register' #2418 container.
[21:08:29]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:29]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:30]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:31]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:31]	Kiff Sankase` opened the 'Metal Cabinet' #2417 container.
[21:08:32]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:32]	Richard Barley used command '/PM cutter no one will expect the old man lol'.
[21:08:32]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:33]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:34]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:35]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:35]	Kiff Sankase` closed the 'Metal Cabinet' #2417 container.
[21:08:36]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:36]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:37]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:38]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:39]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:39]	Kiff Sankase` has gained a 'Broken LCD Monitor' #37638.
[21:08:39]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:40]	[ME] CCA.C17-HELIX.i3.08874: then examines for any exit wounds.
[21:08:40]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:41]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:41]	CCA.C17-HELIX.i3.08874 rolled 59 out of 100.
[21:08:41]	CCA.C17-HELIX.i3.08874 used command '/Roll'.
[21:08:42]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:42]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:43]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:44]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:45]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:45]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:46]	Daniel J. Cutter exited observer at their location.
[21:08:46]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:47]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:48]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:48]	[Y] Smith Lee Jhones: HE DONE LEFT.
[21:08:48]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:49]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:50]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:50]	Daniel J. Cutter ran 'EquipUn' on item 'CWU Worker Suit' (#29250)
[21:08:51]	[ME] CCA.C17-HELIX.i3.08874: find no exit wounds.
[21:08:51]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:51]	Daniel J. Cutter ran 'Equip' on item 'Cyclopic Citizen Suit' (#30928)
[21:08:51]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:52]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:52]	Daniel J. Cutter entered observer.
[21:08:53]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:54]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:54]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:55]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:56]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:57]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:57]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:58]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:08:59]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:00]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:00]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:01]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:02]	[ME] CCA.C17-UNION.i5.94233: Would pick up the body
[21:09:02]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:03]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:03]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:04]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:05]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:06]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:07]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:07]	Daniel J. Cutter exited observer at their location.
[21:09:07]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:08]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:09]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:10]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:10]	[ME] CCA.C17-HELIX.i3.08874: slowly gets up, wincing before moving to the cabinet.
[21:09:10]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:11]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:12]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:13]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:13]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:14]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:09:14]	worldspawn has killed Kiff Sankase`.
[21:09:22]	Daniel J. Cutter entered observer.
[21:09:30]	Daniel J. Cutter exited observer at their location.
[21:09:38]	[ME] CCA.C17-UNION.i5.94233: THe officer would pass the citizen while carrying a body with three holes in it bullet sized
[21:09:41]	Lildirtyharry04 loaded the character 'Qul'jal'
[21:09:44]	[ME] CCA.C17-HELIX.i3.08874: grabs a morphine pen from the cabinet, injecting it into his chest.
[21:09:54]	Daniel J. Cutter used command '/PM Kiff what suit?A'.
[21:09:58]	[ME] Qul'jal: would continue his meditatio practice.
[21:10:01]	Daniel J. Cutter entered observer.
[21:10:11]	Kiff Sankase` used command '/PM cutter the gas suit'.
[21:10:19]	Daniel J. Cutter exited observer at their location.
[21:10:20]	[ME] CCA.C17-HELIX.i3.08874: then takes some forceps, and moves in to grab the bullets and take them out.
[21:10:21]	Daniel J. Cutter ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#30928)
[21:10:23]	Daniel J. Cutter ran 'Equip' on item 'Axe' (#31613)
[21:10:26]	CCA.C17-HELIX.i3.08874 rolled 16 (10 + 6) out of 100 on Medical.
[21:10:26]	CCA.C17-HELIX.i3.08874 used command '/RollSkill medical'.
[21:10:27]	[ME] CCA.C17-UNION.i5.94233: the officer would be carrying a body with the COURIER ARMBAND on it with multiple holes bullet sized and deflated suit head
[21:10:29]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[21:10:33]	[Y] Ava Carter: Jesus.
[21:10:34]	Daniel J. Cutter used command '/Reply doesn't tell me much...'.
[21:10:35]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:10:36]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:10:39]	[Y] CCA.C17-UNION.i5.94233: <:: In you go. ::>
[21:10:41]	[IT] CCA.C17-HELIX.i3.08874: The Helix fails, and can't grab a single one.
[21:10:44]	[ME] CCA.C17-HELIX.i3.08874: tries again,
[21:10:46]	CCA.C17-UNION.i5.94233 used command '/Radio Cremating remains'.
[21:10:48]	CCA.C17-HELIX.i3.08874 rolled 57 (51 + 6) out of 100 on Medical.
[21:10:48]	CCA.C17-HELIX.i3.08874 used command '/RollSkill medical'.
[21:10:57]	[IT] CCA.C17-HELIX.i3.08874: The bullets are taken out.
[21:10:58]	CCA.C17-UNION.i5.94233 used command '/Radio Body dealt with now dealing with citizen'.
[21:11:03]	[ME] Qul'jal: would look up to the Baron
[21:11:04]	Kiff Sankase` used command '/PM cutter ah well I was wondering If I could be placed back in the sewer with another filter since it took that one from me'.
[21:11:09]	Ava Carter used command '/Apply'.
[21:11:10]	[ME] CCA.C17-HELIX.i3.08874: quickly then cauterizes the areas, grunting a bit.
[21:11:21]	[ME] CCA.C17-UNION.i5.94233: Would start filling out some information
[21:11:28]	Daniel J. Cutter used command '/Reply Ehh...'.
[21:11:44]	[ME] CCA.C17-HELIX.i3.08874: then wraps around gauze in the area, after applying Biogel around the area.
[21:11:57]	CCA.C17-UNION.i5.94233 used command '/ViewData Ava'.
[21:12:03]	[ME] CCA.C17-HELIX.i3.08874: places the suit back on, encasing their head in the mast once again.
[21:12:08]	CCA.C17-HELIX.i3.08874 used command '/Radio Unit is back on duty.'.
[21:12:11]	[ME] CCA.C17-HELIX.i3.08874: stands up.
[21:12:18]	Kiff Sankase` used command '/PM cutter I had two different suits in my inventory but it used the wrong one in crafting'.
[21:12:26]	CCA.C17-HELIX.i3.08874 used command '/Radio Dispanding group Yellow.'.
[21:12:30]	Smith Lee Jhones opened the 'Crate' #2733 container.
[21:12:33]	Smith Lee Jhones closed the 'Crate' #2733 container.
[21:12:48]	Kiff Sankase` used command '/PM cutter and now I can't even leave spawn because I don't have a filter'.
[21:12:55]	[ME] Qul'jal: would close his eyes for a moment thinking. 
[21:13:12]	Daniel J. Cutter used command '/Reply you can buy them at Change or in a vending machine'.
[21:13:13]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[21:13:17]	CCA.C17-HELIX.i3.08874 ran 'leave' on item 'Squad Identification Device' (#29965)
[21:13:17]	[ME] CCA.C17-UNION.i5.94233: Would search her
[21:13:18]	CCA.C17-UNION.i5.94233 used command '/CharSearch'.
[21:13:27]	[LOOC] Ava Carter: imagine i pressed no
[21:13:31]	[LOOC] Ava Carter: :lenny:
[21:13:32]	CCA.C17-HELIX.i3.08874 used the 'Armory Supply' vendor.
[21:13:35]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:36]	[LOOC] CCA.C17-UNION.i5.94233: you get your shit kicked in
[21:13:37]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:38]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:38]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:39]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:46]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:46]	[ME] CCA.C17-UNION.i5.94233: Would put the bag back on her head
[21:13:46]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:47]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:48]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:49]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:49]	[ME] CCA.C17-UNION.i5.94233: and start dragging her
[21:13:49]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:50]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:50]	Smith Lee Jhones ran 'Eat' on item 'Biotic Grade Supplements' (#36634)
[21:13:51]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:52]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:52]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:53]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:53]	Kiff Sankase` has lost 2 tokens.
[21:13:54]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:55]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:55]	Kiff Sankase` has taken 1 damage from worldspawn.
[21:13:56]	Kiff Sankase` ran 'equip' on item 'Citizen Filter' (#37639)
[21:13:56]	CCA.C17-HELIX.i3.08874 has gained 0 tokens.
[21:13:56]	CCA.C17-HELIX.i3.08874 has gained a 'Bandage' #37640.
[21:13:59]	Smith Lee Jhones ran 'View' on item 'Paper' (#36247)
[21:14:06]	[ME] Daniel J. Cutter: Would scratch the back of his head 
[21:14:14]	CCA.C17-HELIX.i3.08874 has gained 0 tokens.
[21:14:14]	CCA.C17-HELIX.i3.08874 has gained a 'Bandage' #37641.
[21:14:46]	[LOOC] Ava Carter: tbh dont think that's worth it this is the first time i've been caught in cz
[21:14:51]	[ME] CCA.C17-UNION.i5.94233: Would push the person against the wall 
[21:14:54]	[LOOC] Ava Carter: plus i gave a valid reason
[21:15:15]	[ME] CCA.C17-UNION.i5.94233: Would flick his stunstick to high bashing the lady twice
[21:15:16]	Ava Carter has taken 23 damage from CCA.C17-UNION.i5.94233.
[21:15:17]	Ava Carter has taken 23 damage from CCA.C17-UNION.i5.94233.
[21:15:22]	[ME] CCA.C17-UNION.i5.94233: Would grab her and keep going
[21:15:29]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[21:15:40]	[ME] CCA.C17-UNION.i5.94233: Woul;d push her in
[21:15:42]	Kiff Sankase` ran 'drop' on item 'Notepad' (#29210)
[21:15:42]	Kiff Sankase` has lost a 'Notepad' #29210.
[21:15:43]	Kiff Sankase` ran 'drop' on item 'Light Bulb' (#37532)
[21:15:43]	Kiff Sankase` has lost a 'Light Bulb' #37532.
[21:15:49]	Kiff Sankase` ran 'Equip' on item 'Combat Knife' (#37557)
[21:15:52]	Kiff Sankase` has gained a 'Bar of Soap' #37642.
[21:15:55]	Kiff Sankase` ran 'drop' on item 'Bar of Soap' (#37642)
[21:15:55]	Kiff Sankase` has lost a 'Bar of Soap' #37642.
[21:15:58]	Smith Lee Jhones ran 'View' on item 'Notepad' (#36565)
[21:16:06]	[LOOC] CCA.C17-UNION.i5.94233: 10 minutes jail time
[21:16:12]	Kiff Sankase` has gained a 'Corrugated Hose' #37643.
[21:16:15]	Kiff Sankase` destroyed a 'Cyclopic Citizen Suit' #36701.
[21:16:30]	[OOC] CCA.C17-HELIX.i3.08874: sewer vort
[21:16:44]	[OOC] Ava Carter: dont tell me u found him
[21:16:49]	[OOC] Kiff Sankase`: oh god p;ease dont raid the sewers
[21:16:52]	[ME] Daniel J. Cutter: Would slightly nod "Yeah...We'll try help your "kin" out anyway we can...But until we can, we gotta keep our foothold here, the local group is sorta lacking in weaponry...
[21:16:55]	Smith Lee Jhones ran 'take' on item 'Nylon Cord' (#37458)
[21:16:58]	[OOC] Qul'jal: Yes and no. I am hella connected rn. My character actually knows alot
[21:16:58]	Smith Lee Jhones ran 'take' on item 'Nylon Cord' (#37458)
[21:16:58]	Smith Lee Jhones has gained a 'Nylon Cord' #37458.
[21:17:03]	Smith Lee Jhones ran 'View' on item 'Paper' (#35355)
[21:17:06]	[OOC] Daniel J. Cutter: Oh...He's safe...I promise    :)
[21:17:10]	Smith Lee Jhones has gained a 'Empty Cooking Oil Bottle' #37644.
[21:17:10]	Ava Carter used command '/PM qul YOU BETTER BE AT THE SHIP'.
[21:17:13]	Smith Lee Jhones ran 'drop' on item 'Empty Cooking Oil Bottle' (#37644)
[21:17:13]	Smith Lee Jhones has lost a 'Empty Cooking Oil Bottle' #37644.
[21:17:14]	[OOC] CCA.C17-HELIX.i3.08874: They don't raid the sewers without a very good reason
[21:17:15]	[OOC] CCA.C17-UNION.i5.94233: cremator detects vort as trash
[21:17:15]	Kiff Sankase` has gained a 'Old Newspaper' #37645.
[21:17:16]	Qul'jal used command '/PM ava i am.'.
[21:17:18]	Painevan loaded the character 'OTA.C17-ECHO.OHZ.74152'
[21:17:23]	Kiff Sankase` ran 'drop' on item 'Corrugated Hose' (#37643)
[21:17:23]	Kiff Sankase` has lost a 'Corrugated Hose' #37643.
[21:17:29]	[OOC] Ava Carter: raid the sewers no balls
[21:17:32]	[OOC] OTA.C17-ECHO.OHZ.74152: They don't
[21:17:34]	CCA.C17-UNION.i5.94233 used the 'Armory Supply' vendor.
[21:17:44]	[ME] Qul'jal: would think of the term.
[21:17:46]	CCA.C17-UNION.i5.94233 has gained 0 tokens.
[21:17:46]	CCA.C17-UNION.i5.94233 has gained a '9mm Pistol Magazine' #37646.
[21:17:47]	CCA.C17-UNION.i5.94233 has gained 0 tokens.
[21:17:47]	CCA.C17-UNION.i5.94233 has gained a '9mm Pistol Magazine' #37647.
