[00:00:31]	[LOOC] Ryan Marnett: septembmer
[14:36:38]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:36:39]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:36:39]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:36:39]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:36:39]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:36:41]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:36:41]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:36:41]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:36:41]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:36:42]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:36:42]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:36:42]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:36:42]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:36:42]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:36:42]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:36:42]	Karl Von Habsburg has taken 62 damage from env_laser.
[14:37:01]	Karl Von Habsburg has taken 8 damage from Karl Von Habsburg.
[14:37:01]	Karl Von Habsburg has taken 36 damage from Karl Von Habsburg.
[14:37:01]	Karl Von Habsburg has taken 8 damage from Karl Von Habsburg.
[14:37:01]	Karl Von Habsburg has taken 36 damage from Karl Von Habsburg.
[14:37:06]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:07]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:07]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:07]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:07]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:07]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:07]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:07]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:07]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:08]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:11]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:11]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:12]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:12]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:13]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:13]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:20]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:20]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:20]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:21]	Karl Von Habsburg entered observer.
[14:37:21]	Karl Von Habsburg exited observer at their location.
[14:37:23]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:23]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:23]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:23]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:23]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:24]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:24]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:24]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:24]	Karl Von Habsburg has taken 12 damage from env_laser.
[14:37:27]	Karl Von Habsburg entered observer.
[14:37:29]	Karl Von Habsburg exited observer at their location.
[14:37:32]	Karl Von Habsburg entered observer.
[14:37:46]	Boombabbo entered observer.
[14:37:47]	Boombabbo entered observer.
[14:38:12]	Karl Von Habsburg exited observer at their location.
[14:38:25]	Boombabbo exited observer at their location.
[14:38:29]	Karl Von Habsburg has spawned a 'NPC [2231][npc_metropolice]'.
[14:38:29]	Boombabbo entered observer.
[14:38:30]	Karl Von Habsburg has taken 6 damage from npc_metropolice.
[14:38:31]	Boombabbo exited observer at their location.
[14:38:33]	Karl Von Habsburg has taken 6 damage from npc_metropolice.
[14:38:33]	Karl Von Habsburg has taken 6 damage from npc_metropolice.
[14:38:33]	Karl Von Habsburg has taken 6 damage from npc_metropolice.
[14:38:33]	Karl Von Habsburg has taken 13 damage from npc_metropolice.
[14:38:36]	Karl Von Habsburg has taken 15 damage from npc_metropolice.
[14:38:36]	Karl Von Habsburg has taken 6 damage from npc_metropolice.
[14:38:36]	Karl Von Habsburg has taken 6 damage from npc_metropolice.
[14:38:36]	Karl Von Habsburg has taken 6 damage from npc_metropolice.
[14:38:36]	Karl Von Habsburg has taken 60 damage from npc_metropolice.
[14:38:36]	npc_metropolice has killed Karl Von Habsburg.
[14:38:40]	Boombabbo entered observer.
[14:38:40]	Karl Von Habsburg entered observer.
[14:38:40]	Boombabbo entered observer.
[14:38:45]	Karl Von Habsburg has spawned a 'NPC [783][npc_combine_s]'.
[14:38:48]	Karl Von Habsburg exited observer at their location.
[14:38:48]	Karl Von Habsburg has taken 7 damage from npc_metropolice.
[14:38:48]	Karl Von Habsburg has taken 7 damage from npc_metropolice.
[14:38:49]	Karl Von Habsburg has taken 1 damage from npc_metropolice.
[14:38:51]	Karl Von Habsburg has taken 6 damage from npc_metropolice.
[14:38:51]	Karl Von Habsburg has taken 6 damage from npc_metropolice.
[14:38:51]	Karl Von Habsburg has taken 15 damage from npc_metropolice.
[14:38:51]	Karl Von Habsburg has taken 15 damage from npc_metropolice.
[14:38:51]	Karl Von Habsburg has taken 15 damage from npc_metropolice.
[14:38:51]	Karl Von Habsburg has taken 6 damage from npc_metropolice.
[14:38:51]	Karl Von Habsburg has taken 15 damage from npc_metropolice.
[14:38:51]	Karl Von Habsburg has taken 6 damage from npc_metropolice.
[14:38:54]	Karl Von Habsburg has taken 15 damage from npc_metropolice.
[14:38:54]	npc_metropolice has killed Karl Von Habsburg.
[14:38:55]	Karl Von Habsburg entered observer.
[14:38:58]	Karl Von Habsburg entered observer.
[14:39:16]	Karl Von Habsburg exited observer at their location.
[14:39:32]	Karl Von Habsburg has taken 10 damage from npc_metropolice.
[14:39:46]	Karl Von Habsburg has taken 300 damage from npc_metropolice.
[14:39:46]	npc_metropolice has killed Karl Von Habsburg.
[14:39:57]	Karl Von Habsburg entered observer.
[14:40:04]	Karl Von Habsburg exited observer at their location.
[14:40:23]	Karl Von Habsburg has taken 5 damage from npc_metropolice.
[14:40:24]	Karl Von Habsburg has taken 5 damage from npc_metropolice.
[14:40:24]	Karl Von Habsburg has taken 5 damage from npc_metropolice.
[14:40:25]	Karl Von Habsburg has taken 5 damage from npc_metropolice.
[14:40:25]	Karl Von Habsburg has taken 5 damage from npc_metropolice.
[14:40:26]	Karl Von Habsburg has taken 5 damage from npc_metropolice.
[14:40:26]	Karl Von Habsburg has taken 5 damage from npc_metropolice.
[14:40:27]	Karl Von Habsburg has taken 5 damage from npc_metropolice.
[14:40:27]	Karl Von Habsburg has taken 5 damage from npc_metropolice.
[14:40:42]	Karl Von Habsburg has taken 98 damage from npc_metropolice.
[14:40:42]	npc_metropolice has killed Karl Von Habsburg.
[14:40:46]	Karl Von Habsburg entered observer.
[14:40:53]	Karl Von Habsburg exited observer at their location.
[14:40:55]	Boombabbo exited observer at their location.
[14:40:55]	Karl Von Habsburg has spawned a 'NPC [783][npc_combine_s]'.
[14:40:55]	Boombabbo entered observer.
[14:40:56]	Boombabbo exited observer at their location.
[14:40:56]	Boombabbo has taken 3 damage from npc_combine_s.
[14:40:57]	Karl Von Habsburg has taken 3 damage from npc_combine_s.
[14:40:58]	Karl Von Habsburg has taken 2 damage from npc_combine_s.
[14:40:58]	Karl Von Habsburg has taken 0 damage from npc_combine_s.
[14:41:30]	Karl Von Habsburg has taken 6 damage from npc_combine_s.
[14:41:30]	Karl Von Habsburg has taken 1 damage from npc_combine_s.
[14:41:35]	Karl Von Habsburg has taken 3 damage from npc_combine_s.
[14:41:37]	Karl Von Habsburg has taken 34 damage from npc_combine_s.
[14:41:38]	Karl Von Habsburg has taken 34 damage from npc_combine_s.
[14:41:38]	Karl Von Habsburg has taken 34 damage from npc_combine_s.
[14:41:38]	npc_combine_s has killed Karl Von Habsburg.
[14:41:41]	Karl Von Habsburg entered observer.
[14:41:50]	Karl Von Habsburg exited observer at their location.
[14:42:03]	Boombabbo has taken 95 damage from npc_combine_s.
[14:42:03]	npc_combine_s has killed Boombabbo.
[14:42:07]	Boombabbo entered observer.
[14:42:09]	Karl Von Habsburg has taken 15 damage from npc_combine_s.
[14:42:09]	Karl Von Habsburg has taken 14 damage from npc_combine_s.
[14:42:12]	Karl Von Habsburg has taken 14 damage from npc_combine_s.
[14:42:22]	Karl Von Habsburg has taken 32 damage from npc_combine_s.
[14:42:44]	Karl Von Habsburg has taken 5 damage from npc_combine_s.
[14:42:45]	Karl Von Habsburg has taken 5 damage from npc_combine_s.
[14:42:45]	Karl Von Habsburg has taken 5 damage from npc_combine_s.
[14:42:46]	Karl Von Habsburg has taken 5 damage from npc_combine_s.
[14:42:46]	Karl Von Habsburg has taken 5 damage from npc_combine_s.
[14:42:46]	Karl Von Habsburg has taken 0 damage from npc_combine_s.
[14:42:46]	npc_combine_s has killed Karl Von Habsburg.
[14:42:53]	Karl Von Habsburg entered observer.
[14:43:12]	Karl Von Habsburg has spawned a 'NPC [783][npc_combine_camera]'.
[14:43:27]	Boombabbo exited observer at their location.
[14:43:35]	Boombabbo used command '/ToggleRaise'.
[14:43:36]	Boombabbo used command '/ToggleRaise'.
[14:43:38]	Boombabbo used command '/ToggleRaise'.
[14:43:40]	Boombabbo used command '/ToggleRaise'.
[14:43:42]	Karl Von Habsburg has spawned a 'NPC [783][npc_combine_camera]'.
[14:43:52]	Karl Von Habsburg exited observer at their location.
[14:43:55]	Karl Von Habsburg has spawned a 'NPC [1255][npc_turret_ceiling]'.
[14:43:59]	Karl Von Habsburg entered observer.
[14:44:00]	Karl Von Habsburg exited observer at their location.
[14:44:09]	Karl Von Habsburg has spawned a 'Entity [1584][ix_garbageloot]'.
[14:44:11]	Boombabbo entered observer.
[14:44:11]	Boombabbo entered observer.
[14:44:12]	Boombabbo exited observer at their location.
[14:44:17]	Karl Von Habsburg has spawned a 'Entity [1584][ladder_small4]'.
[14:44:27]	Karl Von Habsburg has spawned a 'Entity [3189][witcher_gateway]'.
[14:44:31]	Karl Von Habsburg has spawned a 'Entity [3189][witcher_gateway]'.
[14:44:31]	Karl Von Habsburg has taken 60 damage from Boombabbo.
[14:44:33]	Karl Von Habsburg has spawned a 'Entity [3190][witcher_gateway]'.
[14:44:43]	Karl Von Habsburg entered observer.
[14:44:51]	Karl Von Habsburg exited observer at their location.
[14:45:23]	Boombabbo has taken 29 damage from worldspawn.
[14:45:27]	Karl Von Habsburg has taken 105 damage from worldspawn.
[14:45:27]	worldspawn has killed Karl Von Habsburg.
[14:45:31]	Karl Von Habsburg entered observer.
[14:45:35]	Boombabbo has taken 115 damage from worldspawn.
[14:45:35]	worldspawn has killed Boombabbo.
[14:45:50]	Boombabbo has taken 3 damage from npc_turret_floor.
[14:45:50]	Boombabbo has taken 3 damage from npc_turret_floor.
[14:45:50]	Boombabbo has taken 3 damage from npc_turret_floor.
[14:45:50]	Boombabbo has taken 3 damage from npc_turret_floor.
[14:45:51]	Karl Von Habsburg exited observer at their location.
[14:45:59]	Karl Von Habsburg has taken 60 damage from Boombabbo.
[14:46:06]	Karl Von Habsburg has taken 148 damage from worldspawn.
[14:46:06]	worldspawn has killed Karl Von Habsburg.
[14:46:08]	Boombabbo has taken 137 damage from worldspawn.
[14:46:08]	worldspawn has killed Boombabbo.
[14:46:10]	Karl Von Habsburg entered observer.
[14:46:12]	Boombabbo entered observer.
[14:46:16]	Boombabbo exited observer at their location.
[14:46:24]	Karl Von Habsburg has spawned a 'Entity [1255][witcher_gateway]'.
[14:46:45]	Boombabbo has taken 9 damage from worldspawn.
[14:46:50]	Boombabbo has taken 2 damage from worldspawn.
[14:47:22]	Karl Von Habsburg exited observer at their location.
[14:47:27]	Karl Von Habsburg entered observer.
[14:47:48]	Karl Von Habsburg exited observer at their location.
[14:47:56]	Karl Von Habsburg has taken 50 damage from worldspawn.
[14:48:05]	Boombabbo has taken 56 damage from worldspawn.
[14:48:05]	worldspawn has killed Boombabbo.
[14:48:11]	Boombabbo entered observer.
[14:48:22]	Boombabbo entered observer.
[14:48:23]	Boombabbo entered observer.
[14:48:25]	Karl Von Habsburg entered observer.
[14:48:26]	Boombabbo entered observer.
[14:48:26]	Boombabbo exited observer at their location.
[14:48:27]	Boombabbo entered observer.
[14:48:28]	Karl Von Habsburg exited observer at their location.
[14:48:31]	Boombabbo exited observer at their location.
[14:48:31]	Boombabbo entered observer.
[14:48:33]	Boombabbo exited observer at their location.
[14:48:34]	Karl Von Habsburg has taken 11 damage from worldspawn.
[14:48:40]	Karl Von Habsburg entered observer.
[14:48:46]	Karl Von Habsburg exited observer at their location.
[14:48:49]	Boombabbo has taken 100 damage from Karl Von Habsburg.
[14:48:49]	Karl Von Habsburg has killed Boombabbo with weapon_crossbow.
[14:48:55]	Boombabbo entered observer.
[14:48:56]	Boombabbo entered observer.
[14:49:11]	Karl Von Habsburg has taken 60 damage from Boombabbo.
[14:49:29]	Karl Von Habsburg entered observer.
[14:49:54]	Karl Von Habsburg exited observer at their location.
[14:49:57]	Boombabbo entered observer.
[14:50:00]	Boombabbo entered observer.
[14:50:00]	Boombabbo exited observer at their location.
[14:50:03]	Karl Von Habsburg entered observer.
[14:50:04]	Karl Von Habsburg exited observer at their location.
[14:50:15]	Karl Von Habsburg entered observer.
[14:50:18]	Karl Von Habsburg exited observer at their location.
[14:50:33]	Boombabbo has taken 100 damage from Karl Von Habsburg.
[14:50:33]	Karl Von Habsburg has killed Boombabbo with weapon_crossbow.
[14:50:39]	Karl Von Habsburg entered observer.
[14:50:41]	Doughnut loaded the character 'CCA.C14-UNION.i5.22767'
[14:50:42]	CCA.C14-UNION.i5.22767 entered observer.
[14:50:49]	CCA.C14-UNION.i5.22767 exited observer at their location.
[14:50:53]	Karl Von Habsburg exited observer at their location.
[14:51:10]	CCA.C14-UNION.i5.22767 has taken 115 damage from Karl Von Habsburg.
[14:51:10]	Karl Von Habsburg has taken 55 damage from Karl Von Habsburg.
[14:51:14]	CCA.C14-UNION.i5.22767 used command '/ToggleRaise'.
[14:51:16]	Karl Von Habsburg has taken 5 damage from CCA.C14-UNION.i5.22767.
[14:51:23]	Karl Von Habsburg entered observer.
[14:51:24]	Karl Von Habsburg used command '/CharGetUp'.
[14:51:25]	Karl Von Habsburg exited observer at their location.
[14:51:27]	Karl Von Habsburg used command '/CharGetUp'.
[14:51:34]	Karl Von Habsburg used command '/CharGetUp'.
[14:51:35]	Karl Von Habsburg used command '/CharGetUp'.
[14:51:40]	Karl Von Habsburg has spawned a 'NPC [3190][npc_zombie]'.
[14:51:40]	Karl Von Habsburg has spawned a 'NPC [3197][npc_zombie]'.
[14:51:41]	Karl Von Habsburg has spawned a 'NPC [3198][npc_zombie]'.
[14:51:41]	Karl Von Habsburg has spawned a 'NPC [3201][npc_zombie]'.
[14:51:41]	Karl Von Habsburg has spawned a 'NPC [3205][npc_zombie]'.
[14:51:41]	Karl Von Habsburg has spawned a 'NPC [3206][npc_zombie]'.
[14:51:41]	Karl Von Habsburg has spawned a 'NPC [3208][npc_zombie]'.
[14:51:41]	CCA.C14-UNION.i5.22767 has taken 10 damage from npc_zombie.
[14:51:41]	Karl Von Habsburg has taken 10 damage from npc_zombie.
[14:51:42]	Karl Von Habsburg has spawned a 'NPC [3209][npc_zombie]'.
[14:51:42]	Karl Von Habsburg has taken 10 damage from npc_zombie.
[14:51:42]	CCA.C14-UNION.i5.22767 has taken 10 damage from npc_zombie.
[14:51:42]	Karl Von Habsburg has taken 10 damage from npc_zombie.
[14:51:42]	CCA.C14-UNION.i5.22767 has taken 10 damage from npc_zombie.
[14:51:42]	Karl Von Habsburg has spawned a 'NPC [3210][npc_zombie]'.
[14:51:42]	Karl Von Habsburg has taken 10 damage from npc_zombie.
[14:51:42]	npc_zombie has killed Karl Von Habsburg.
[14:51:42]	Karl Von Habsburg has spawned a 'NPC [3213][npc_zombie]'.
[14:51:42]	Karl Von Habsburg has spawned a 'NPC [3225][npc_zombie]'.
[14:51:42]	CCA.C14-UNION.i5.22767 entered observer.
[14:51:43]	Karl Von Habsburg has spawned a 'NPC [3234][npc_zombie]'.
[14:51:43]	Karl Von Habsburg has spawned a 'NPC [3237][npc_zombie]'.
[14:51:43]	Karl Von Habsburg has spawned a 'NPC [3238][npc_zombie]'.
[14:51:43]	Karl Von Habsburg has spawned a 'NPC [1980][npc_zombie]'.
[14:51:46]	Karl Von Habsburg entered observer.
[14:51:47]	CCA.C14-UNION.i5.22767 exited observer at their location.
[14:51:51]	CCA.C14-UNION.i5.22767 used command '/ToggleRaise'.
[14:52:05]	CCA.C14-UNION.i5.22767 used command '/ToggleRaise'.
[14:52:07]	CCA.C14-UNION.i5.22767 used command '/ToggleRaise'.
[14:52:10]	CCA.C14-UNION.i5.22767 has taken 10 damage from npc_zombie.
[14:52:13]	CCA.C14-UNION.i5.22767 has taken 10 damage from npc_zombie.
[14:52:17]	Karl Von Habsburg exited observer at their location.
[14:52:20]	CCA.C14-UNION.i5.22767 has taken 35 damage from Karl Von Habsburg.
[14:52:20]	Karl Von Habsburg has killed CCA.C14-UNION.i5.22767 with tfa_hl2r_stunstick.
[14:52:24]	CCA.C14-UNION.i5.22767 entered observer.
[14:52:26]	CCA.C14-UNION.i5.22767 used command '/ToggleRaise'.
[14:52:29]	CCA.C14-UNION.i5.22767 entered observer.
[14:52:41]	Karl Von Habsburg has spawned a 'NPC [3205][npc_zombie]'.
[14:52:46]	Karl Von Habsburg has spawned a 'NPC [1980][npc_zombine]'.
[14:52:48]	Karl Von Habsburg has taken 10 damage from npc_zombine.
[14:52:48]	Karl Von Habsburg has taken 10 damage from npc_zombine.
[14:52:50]	Karl Von Habsburg has taken 25 damage from npc_zombine.
[14:52:51]	Karl Von Habsburg has spawned a 'NPC [3198][npc_zombine]'.
[14:52:54]	Karl Von Habsburg has taken 10 damage from npc_zombine.
[14:52:57]	Karl Von Habsburg has spawned a 'NPC [3213][npc_zombine]'.
[14:53:00]	Karl Von Habsburg has taken 10 damage from npc_zombine.
[14:53:05]	Karl Von Habsburg has spawned a 'NPC [3198][npc_zombine]'.
[14:53:07]	Karl Von Habsburg has taken 10 damage from npc_zombine.
[14:53:09]	Karl Von Habsburg has taken 115 damage from npc_zombine.
[14:53:09]	npc_zombine has killed Karl Von Habsburg.
[14:53:13]	Karl Von Habsburg entered observer.
[14:53:16]	Karl Von Habsburg exited observer at their location.
[14:53:16]	Karl Von Habsburg entered observer.
[14:53:16]	Karl Von Habsburg exited observer at their location.
[14:53:17]	Karl Von Habsburg entered observer.
[14:53:17]	Karl Von Habsburg exited observer at their location.
[14:53:18]	Karl Von Habsburg entered observer.
[14:53:18]	Karl Von Habsburg exited observer at their location.
[14:53:19]	Karl Von Habsburg entered observer.
[14:53:19]	Karl Von Habsburg exited observer at their location.
[14:53:21]	Karl Von Habsburg entered observer.
[14:53:23]	Karl Von Habsburg exited observer at their location.
[14:53:25]	Karl Von Habsburg entered observer.
[14:53:26]	CCA.C14-UNION.i5.22767 entered observer.
[14:53:27]	CCA.C14-UNION.i5.22767 used command '/ToggleRaise'.
[14:53:33]	Karl Von Habsburg has spawned a 'NPC [2232][npc_zombie]'.
[14:53:56]	Karl Von Habsburg exited observer at their location.
[14:53:56]	Karl Von Habsburg entered observer.
[14:53:57]	Karl Von Habsburg exited observer at their location.
[14:53:57]	Karl Von Habsburg entered observer.
[14:53:58]	Karl Von Habsburg exited observer at their location.
[14:53:59]	Karl Von Habsburg entered observer.
[14:53:59]	Karl Von Habsburg exited observer at their location.
[14:53:59]	Karl Von Habsburg entered observer.
[14:54:03]	Karl Von Habsburg exited observer at their location.
[14:54:03]	Karl Von Habsburg entered observer.
[14:54:03]	Karl Von Habsburg exited observer at their location.
[14:54:04]	Karl Von Habsburg entered observer.
[14:54:38]	Karl Von Habsburg exited observer at their location.
[14:54:38]	Karl Von Habsburg entered observer.
[14:54:38]	Karl Von Habsburg exited observer at their location.
[14:54:41]	Karl Von Habsburg entered observer.
[14:54:42]	Karl Von Habsburg exited observer at their location.
[14:54:42]	Karl Von Habsburg entered observer.
[14:54:48]	Karl Von Habsburg exited observer at their location.
[14:54:49]	Karl Von Habsburg entered observer.
[14:54:50]	Karl Von Habsburg exited observer at their location.
[14:54:50]	Karl Von Habsburg entered observer.
[14:54:51]	Karl Von Habsburg exited observer at their location.
[14:54:52]	Karl Von Habsburg entered observer.
[14:54:52]	Karl Von Habsburg exited observer at their location.
[14:54:55]	Karl Von Habsburg entered observer.
[14:54:57]	Karl Von Habsburg exited observer at their location.
[14:55:00]	Karl Von Habsburg entered observer.
[14:55:01]	Karl Von Habsburg exited observer at their location.
[14:55:03]	Karl Von Habsburg entered observer.
[14:55:17]	Karl Von Habsburg exited observer at their location.
[14:55:18]	Karl Von Habsburg entered observer.
[14:55:41]	CCA.C14-UNION.i5.22767 has gained 10 tokens.
[14:55:57]	matt saton has connected.
[14:56:46]	Karl Von Habsburg exited observer at their location.
[14:56:47]	Karl Von Habsburg entered observer.
[14:56:47]	Karl Von Habsburg exited observer at their location.
[14:56:49]	Karl Von Habsburg entered observer.
[14:56:49]	Karl Von Habsburg exited observer at their location.
[14:56:51]	Karl Von Habsburg entered observer.
[14:58:02]	CCA.C14-UNION.i5.22767 exited observer at their location.
[14:58:05]	Karl Von Habsburg exited observer at their location.
[14:58:13]	Karl Von Habsburg entered observer.
[14:58:13]	Karl Von Habsburg exited observer at their location.
[14:58:31]	Karl Von Habsburg entered observer.
[14:58:34]	Karl Von Habsburg has spawned 'models/props_combine/combinetrain01a.mdl'.
[14:58:51]	CCA.C14-UNION.i5.22767 has taken 21 damage from worldspawn.
[14:59:15]	CCA.C14-UNION.i5.22767 has taken 31 damage from worldspawn.
[14:59:32]	[OOC] Karl Von Habsburg: q we be planning an event
[14:59:48]	CCA.C14-UNION.i5.22767 entered observer.
[14:59:48]	CCA.C14-UNION.i5.22767 exited observer at their location.
[14:59:55]	Doughnut loaded the character 'Featherfucker'
[15:00:00]	Doughnut loaded the character 'CCA.C14-UNION.i5.22767'
[15:00:02]	Karl Von Habsburg exited observer at their location.
[15:00:04]	CCA.C14-UNION.i5.22767 entered observer.
[15:00:57]	Karl Von Habsburg entered observer.
[15:01:16]	CCA.C14-UNION.i5.22767 entered observer.
[15:01:22]	Karl Von Habsburg exited observer at their location.
[15:01:23]	Karl Von Habsburg entered observer.
[15:01:46]	Karl Von Habsburg exited observer at their location.
[15:01:47]	Karl Von Habsburg entered observer.
[15:01:47]	Karl Von Habsburg exited observer at their location.
[15:01:49]	Karl Von Habsburg entered observer.
[15:01:51]	Karl Von Habsburg exited observer at their location.
[15:02:03]	Karl Von Habsburg entered observer.
[15:02:03]	Karl Von Habsburg exited observer at their location.
[15:02:04]	Karl Von Habsburg entered observer.
[15:02:04]	Karl Von Habsburg exited observer at their location.
[15:02:05]	Karl Von Habsburg entered observer.
[15:02:06]	Karl Von Habsburg exited observer at their location.
[15:02:19]	Karl Von Habsburg entered observer.
[15:02:40]	CCA.C14-UNION.i5.22767 exited observer at their location.
[15:02:45]	Karl Von Habsburg has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[15:02:49]	Karl Von Habsburg exited observer at their location.
[15:02:52]	Karl Von Habsburg entered observer.
[15:03:17]	matt saton loaded the character 'James Albright'
[15:03:19]	James Albright entered observer.
[15:03:38]	CCA.C14-UNION.i5.22767 entered observer.
[15:04:06]	CCA.C14-UNION.i5.22767 exited observer at their location.
[15:04:07]	Karl Von Habsburg has spawned 'models/props_combine/combinetrain01a.mdl'.
[15:05:00]	CCA.C14-UNION.i5.22767 has gained 10 tokens.
[15:06:05]	CCA.C14-UNION.i5.22767 entered observer.
[15:06:05]	CCA.C14-UNION.i5.22767 exited observer at their location.
[15:06:06]	CCA.C14-UNION.i5.22767 entered observer.
[15:06:06]	CCA.C14-UNION.i5.22767 exited observer at their location.
[15:06:17]	Karl Von Habsburg exited observer at their location.
[15:06:18]	Karl Von Habsburg entered observer.
[15:06:18]	Karl Von Habsburg exited observer at their location.
[15:06:30]	Karl Von Habsburg entered observer.
[15:07:04]	CCA.C14-UNION.i5.22767 entered observer.
[15:07:48]	Karl Von Habsburg has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[15:08:12]	Karl Von Habsburg exited observer at their location.
[15:08:14]	Karl Von Habsburg entered observer.
[15:08:14]	Karl Von Habsburg exited observer at their location.
[15:08:16]	Karl Von Habsburg entered observer.
[15:08:16]	Karl Von Habsburg exited observer at their location.
[15:08:18]	Karl Von Habsburg entered observer.
[15:10:00]	CCA.C14-UNION.i5.22767 has gained 10 tokens.
[15:10:22]	Karl Von Habsburg exited observer at their location.
[15:10:23]	Karl Von Habsburg entered observer.
[15:10:28]	Karl Von Habsburg exited observer at their location.
[15:10:42]	Karl Von Habsburg entered observer.
[15:10:46]	Karl Von Habsburg exited observer at their location.
[15:10:48]	Karl Von Habsburg entered observer.
[15:11:01]	Karl Von Habsburg exited observer at their location.
[15:11:02]	Karl Von Habsburg entered observer.
[15:11:38]	Karl Von Habsburg has spawned a 'NPC [1279][npc_zombie]'.
[15:12:39]	Karl Von Habsburg exited observer at their location.
[15:12:39]	Karl Von Habsburg entered observer.
[15:13:26]	Karl Von Habsburg exited observer at their location.
[15:13:29]	Karl Von Habsburg entered observer.
[15:14:09]	Karl Von Habsburg exited observer at their location.
[15:14:09]	Karl Von Habsburg entered observer.
[15:14:10]	Karl Von Habsburg exited observer at their location.
[15:14:10]	Karl Von Habsburg has taken 2 damage from worldspawn.
[15:14:10]	Karl Von Habsburg entered observer.
[15:14:13]	Karl Von Habsburg exited observer at their location.
[15:14:14]	Karl Von Habsburg entered observer.
[15:14:14]	Karl Von Habsburg exited observer at their location.
[15:14:15]	Karl Von Habsburg entered observer.
[15:14:16]	Karl Von Habsburg exited observer at their location.
[15:14:17]	Karl Von Habsburg entered observer.
[15:14:19]	Karl Von Habsburg exited observer at their location.
[15:14:19]	Karl Von Habsburg entered observer.
[15:14:20]	Karl Von Habsburg exited observer at their location.
[15:14:20]	Karl Von Habsburg entered observer.
[15:14:21]	Karl Von Habsburg exited observer at their location.
[15:14:21]	Karl Von Habsburg entered observer.
[15:14:24]	Karl Von Habsburg exited observer at their location.
[15:14:25]	Karl Von Habsburg entered observer.
[15:14:47]	Karl Von Habsburg exited observer at their location.
[15:14:47]	Karl Von Habsburg has taken 2 damage from Karl Von Habsburg.
[15:14:48]	Karl Von Habsburg has taken 4 damage from Karl Von Habsburg.
[15:14:48]	Karl Von Habsburg entered observer.
[15:15:00]	CCA.C14-UNION.i5.22767 has gained 10 tokens.
[15:15:03]	CCA.C14-UNION.i5.22767 exited observer at their location.
[15:15:04]	CCA.C14-UNION.i5.22767 has taken 0 damage from CCA.C14-UNION.i5.22767.
[15:15:04]	CCA.C14-UNION.i5.22767 entered observer.
[15:15:50]	CCA.C14-UNION.i5.22767 exited observer at their location.
[15:15:57]	CCA.C14-UNION.i5.22767 entered observer.
[15:17:03]	Karl Von Habsburg has spawned 'models/props_canal/boat002b.mdl'.
[15:17:26]	Karl Von Habsburg has spawned 'models/props_canal/boat002b.mdl'.
[15:17:36]	Karl Von Habsburg has spawned 'models/props_canal/boat002b.mdl'.
[15:17:50]	Karl Von Habsburg has spawned 'models/props_canal/boat002b.mdl'.
[15:18:37]	Karl Von Habsburg has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[15:19:14]	Karl Von Habsburg exited observer at their location.
[15:19:22]	Karl Von Habsburg entered observer.
