[11:17:30]	MilkyWay has connected.
[15:53:12]	Rico Ponster used command '/CharGetUp'.
[15:53:13]	Rico Ponster used command '/CharFallOver 0'.
[15:53:13]	Rico Ponster used command '/CharGetUp'.
[15:53:24]	[LOOC] Erik von Jiguman: positive
[15:53:27]	CCA.C17-JUDGE.i2.69124 used command '/ViewData erik'.
[15:53:36]	Andrew Philip ran 'take' on item 'Screw Nuts' (#6956)
[15:53:36]	Andrew Philip has gained a 'Screw Nuts' #6956.
[15:53:37]	Andrew Philip ran 'take' on item 'Screw Nuts' (#7038)
[15:53:37]	Andrew Philip has gained a 'Screw Nuts' #7038.
[15:53:39]	Andrew Philip ran 'take' on item 'Screw Nuts' (#6955)
[15:53:39]	Andrew Philip has gained a 'Screw Nuts' #6955.
[15:53:40]	Andrew Philip ran 'take' on item 'Screw Nuts' (#7037)
[15:53:40]	Andrew Philip has gained a 'Screw Nuts' #7037.
[15:53:41]	[OOC] Rico Ponster: no stfu
[15:53:42]	Andrew Philip ran 'drop' on item 'Screw Nuts' (#6956)
[15:53:42]	Andrew Philip has lost a 'Screw Nuts' #6956.
[15:53:43]	Andrew Philip ran 'drop' on item 'Screw Nuts' (#7038)
[15:53:43]	Andrew Philip has lost a 'Screw Nuts' #7038.
[15:53:48]	Andrew Philip ran 'drop' on item 'Screw Nuts' (#6955)
[15:53:48]	Andrew Philip has lost a 'Screw Nuts' #6955.
[15:53:48]	Andrew Philip ran 'drop' on item 'Screw Nuts' (#7037)
[15:53:48]	Andrew Philip has lost a 'Screw Nuts' #7037.
[15:53:57]	CCA.C17-JUDGE.i2.69124 used command '/ViewData erik'.
[15:54:01]	Itzutak has connected.
[15:54:07]	[OOC] Rico Ponster: its the begotten lore writer
[15:54:08]	CCA.C17-JUDGE.i2.69124 ran 'drop' on item 'Citizen ID' (#7076)
[15:54:08]	CCA.C17-JUDGE.i2.69124 has lost a 'Citizen ID' #7076.
[15:54:10]	CCA.C17-JUDGE.i2.69124 opened the '' #337 container.
[15:54:13]	CCA.C17-JUDGE.i2.69124 closed the '' #337 container.
[15:54:19]	CCA.C17-JUDGE.i2.69124 entered observer.
[15:54:29]	Erik von Jiguman ran 'take' on item 'Citizen ID' (#7076)
[15:54:29]	Erik von Jiguman has gained a 'Citizen ID' #7076.
[15:54:33]	CCA.C17-JUDGE.i2.69124 exited observer at their location.
[15:54:33]	Itzutak loaded the character 'Mario Jackson'
[15:54:38]	Mario Jackson used the 'General Store Manager' vendor.
[15:54:38]	CCA.C17-JUDGE.i2.69124 entered observer.
[15:54:54]	Erik von Jiguman ran 'View' on item 'Notepad' (#1945)
[15:55:20]	MilkyWay (STEAM_0:1:118336892) has disconnected.
[15:55:21]	CCA.C17-JUDGE.i2.69124 has spawned 'models/hunter/plates/plate2x3.mdl'.
[15:55:29]	Mario Jackson used command '/Content'.
[15:55:37]	CCA.C17-JUDGE.i2.69124 has spawned 'models/hunter/plates/plate2x3.mdl'.
[15:55:44]	[OOC] CCA.C17-SCN.46812: back
[15:55:48]	Erik von Jiguman has taken 5 damage from Mario Jackson.
[15:55:49]	Erik von Jiguman used command '/ToggleRaise'.
[15:55:53]	Erik von Jiguman used command '/ToggleRaise'.
[15:55:55]	Rico Ponster ran 'take' on item 'Powercord' (#6898)
[15:55:55]	Rico Ponster has gained a 'Powercord' #6898.
[15:56:03]	Erik von Jiguman used command '/PM mario lol'.
[15:56:15]	Erik von Jiguman used command '/PM mario u also here to do shit on the server?'.
[15:56:19]	Rico Ponster ran 'take' on item '4.6x30 Rounds' (#6834)
[15:56:19]	Rico Ponster has gained a '4.6x30 Rounds' #6834.
[15:56:28]	Mario Jackson used command '/PM erik what'.
[15:56:38]	Erik von Jiguman used command '/PM mario you're in the begotten discord right'.
[15:56:43]	Rico Ponster has taken 29 damage from trigger_hurt.
[15:56:44]	Rico Ponster has taken 29 damage from trigger_hurt.
[15:56:44]	trigger_hurt has killed Rico Ponster.
[15:56:52]	Erik von Jiguman has taken 5 damage from Mario Jackson.
[15:56:53]	Erik von Jiguman has taken 5 damage from Mario Jackson.
[15:56:54]	Erik von Jiguman has taken 5 damage from Mario Jackson.
[15:56:57]	Erik von Jiguman used command '/ToggleRaise'.
[15:56:57]	Erik von Jiguman has taken 5 damage from Mario Jackson.
[15:57:01]	Erik von Jiguman used command '/ToggleRaise'.
[15:57:25]	Erik von Jiguman has taken 5 damage from Mario Jackson.
[15:57:26]	Erik von Jiguman used command '/ToggleRaise'.
[15:57:33]	Mario Jackson has taken 6 damage from Erik von Jiguman.
[15:57:33]	Erik von Jiguman has taken 5 damage from Mario Jackson.
[15:57:39]	Erik von Jiguman used command '/ToggleRaise'.
[15:57:47]	Erik von Jiguman used command '/ToggleRaise'.
[15:57:53]	Erik von Jiguman has taken 5 damage from Rico Ponster.
[15:57:55]	[LOOC] Erik von Jiguman: WTF
[15:57:55]	Erik von Jiguman has taken 5 damage from Rico Ponster.
[15:57:58]	Erik von Jiguman has taken 5 damage from Rico Ponster.
[15:57:59]	Erik von Jiguman has taken 5 damage from Rico Ponster.
[15:57:59]	Erik von Jiguman has taken 5 damage from Rico Ponster.
[15:58:00]	Erik von Jiguman has taken 5 damage from Rico Ponster.
[15:58:01]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:58:02]	Erik von Jiguman used command '/ToggleRaise'.
[15:58:03]	Erik von Jiguman used command '/ToggleRaise'.
[15:58:11]	Mario Jackson has taken 6 damage from Erik von Jiguman.
[15:58:17]	Erik von Jiguman has taken 5 damage from Mario Jackson.
[15:58:17]	Mario Jackson has taken 6 damage from Erik von Jiguman.
[15:58:20]	Erik von Jiguman has taken 5 damage from Mario Jackson.
[15:58:20]	Mario Jackson has taken 6 damage from Erik von Jiguman.
[15:58:21]	Mario Jackson has taken 6 damage from Erik von Jiguman.
[15:58:21]	CCA.C17-SCN.46812 has gained 10 tokens.
[15:58:22]	Mario Jackson has taken 6 damage from Erik von Jiguman.
[15:58:26]	Erik von Jiguman has taken 5 damage from Mario Jackson.
[15:58:27]	Erik von Jiguman has taken 5 damage from Rico Ponster.
[15:58:28]	Erik von Jiguman has taken 5 damage from Rico Ponster.
[15:58:28]	[Y] Erik von Jiguman: GET HIM!
[15:58:30]	Erik von Jiguman used command '/ToggleRaise'.
[15:58:32]	Erik von Jiguman has taken 5 damage from Rico Ponster.
[15:58:33]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:58:33]	Erik von Jiguman has taken 5 damage from Rico Ponster.
[15:58:34]	Erik von Jiguman has taken 5 damage from Mario Jackson.
[15:58:34]	Mario Jackson has killed Erik von Jiguman with ix_hands.
[15:58:43]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:58:56]	Mario Jackson has taken 5 damage from Rico Ponster.
[15:59:00]	Mario Jackson has taken 5 damage from Rico Ponster.
[15:59:00]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:03]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:04]	Mario Jackson has taken 5 damage from Rico Ponster.
[15:59:04]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:10]	Mario Jackson has taken 5 damage from Rico Ponster.
[15:59:10]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:11]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:11]	Mario Jackson has taken 5 damage from Rico Ponster.
[15:59:11]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:12]	Mario Jackson has taken 5 damage from Rico Ponster.
[15:59:12]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:12]	Mario Jackson has taken 5 damage from Rico Ponster.
[15:59:13]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:13]	Mario Jackson has taken 5 damage from Rico Ponster.
[15:59:14]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:14]	Mario Jackson has taken 5 damage from Rico Ponster.
[15:59:15]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:16]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:16]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:17]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:18]	Mario Jackson has taken 5 damage from Rico Ponster.
[15:59:18]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:18]	Mario Jackson has taken 5 damage from Rico Ponster.
[15:59:19]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:19]	Mario Jackson has taken 5 damage from Rico Ponster.
[15:59:19]	Rico Ponster has taken 5 damage from Mario Jackson.
[15:59:20]	Mario Jackson has taken 5 damage from Rico Ponster.
[15:59:20]	Rico Ponster has killed Mario Jackson with ix_hands.
[15:59:35]	Mario Jackson ran 'EquipUn' on item 'Green Citizen Suit' (#5359)
[15:59:37]	Mario Jackson ran 'Equip' on item 'Green Citizen Suit' (#5359)
[15:59:46]	Erik von Jiguman used command '/ToggleRaise'.
[15:59:48]	Erik von Jiguman used command '/ToggleRaise'.
[15:59:56]	[ME] CCA.C17-SCN.46812: takes a photograph of the citizen, with a bright flash
[16:00:02]	Erik von Jiguman used command '/ToggleRaise'.
[16:00:07]	Erik von Jiguman used command '/ToggleRaise'.
[16:00:14]	Rico Ponster has taken 5 damage from Mario Jackson.
[16:00:14]	Mario Jackson has killed Rico Ponster with ix_hands.
[16:00:17]	Erik von Jiguman used command '/ToggleRaise'.
[16:00:19]	Erik von Jiguman used command '/ToggleRaise'.
[16:00:23]	Erik von Jiguman used command '/ToggleRaise'.
[16:00:25]	Erik von Jiguman used command '/ToggleRaise'.
[16:00:42]	CCA.C17-SCN.46812 used command '/VisorNotify Vanadalism of UU Property detected at Warehouse 3.'.
[16:00:43]	Erik von Jiguman has taken 5 damage from Mario Jackson.
[16:00:54]	Erik von Jiguman has taken 5 damage from Mario Jackson.
[16:00:54]	[Y] Erik von Jiguman: Im from begotten.
[16:00:56]	Erik von Jiguman has taken 5 damage from Mario Jackson.
[16:00:56]	[Y] Erik von Jiguman: Stop.
[16:00:59]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:01:04]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:01:04]	Rico Ponster has taken 5 damage from Mario Jackson.
[16:01:09]	[OOC] CCA.C17-SCN.46812: imagine not RPing attacking things and just shotcopping (shotscanning?)
[16:01:32]	[OOC] Rico Ponster: an eye for an eye
[16:01:40]	[OOC] CCA.C17-SCN.46812: imagine bunny hopping smh
[16:01:43]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:01:45]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:01:47]	Erik von Jiguman used command '/ToggleRaise'.
[16:01:51]	[OOC] CCA.C17-SCN.46812: imagine mingeing smh
[16:01:54]	Erik von Jiguman used command '/ToggleRaise'.
[16:01:58]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:01:58]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:01:59]	Rico Ponster has taken 5 damage from Mario Jackson.
[16:01:59]	[OOC] Erik von Jiguman: mingening
[16:01:59]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:02:00]	[OOC] CCA.C17-SCN.46812: how the fuck did you guys even get out
[16:02:00]	Rico Ponster has taken 5 damage from Mario Jackson.
[16:02:01]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:02:01]	Rico Ponster has taken 5 damage from Mario Jackson.
[16:02:02]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:02:02]	Rico Ponster has taken 5 damage from Mario Jackson.
[16:02:03]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:02:03]	Rico Ponster has taken 5 damage from Mario Jackson.
[16:02:04]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:02:04]	Rico Ponster has taken 5 damage from Mario Jackson.
[16:02:04]	Rico Ponster has taken 5 damage from Mario Jackson.
[16:02:04]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:02:05]	Erik von Jiguman used command '/ToggleRaise'.
[16:02:05]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:02:06]	Rico Ponster has taken 5 damage from Mario Jackson.
[16:02:06]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:02:07]	Rico Ponster has taken 5 damage from Mario Jackson.
[16:02:07]	Mario Jackson has taken 6 damage from Erik von Jiguman.
[16:02:07]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:02:08]	Rico Ponster has taken 5 damage from Mario Jackson.
[16:02:08]	Mario Jackson has taken 6 damage from Erik von Jiguman.
[16:02:08]	Mario Jackson has taken 5 damage from Rico Ponster.
[16:02:08]	Rico Ponster has taken 5 damage from Mario Jackson.
[16:02:11]	Mario Jackson has taken 6 damage from Erik von Jiguman.
[16:02:12]	Mario Jackson has taken 6 damage from Erik von Jiguman.
[16:02:12]	Erik von Jiguman has killed Mario Jackson with ix_hands.
[16:02:13]	Erik von Jiguman used command '/ToggleRaise'.
[16:02:25]	CCA.C17-SCN.46812 used command '/VisorDanger oh god oh fuck theyre minges'.
[16:02:27]	[OOC] CCA.C17-JUDGE.i2.69124: one was processed i'm assuming the rest spammed charfallover to exploit passed
[16:02:32]	CCA.C17-JUDGE.i2.69124 has gained 10 tokens.
[16:02:36]	[OOC] Rico Ponster: nah i have an id on here
[16:02:38]	[OOC] Erik von Jiguman: i was the one processed
[16:02:48]	Rico Ponster ran 'EquipUn' on item 'Green Citizen Suit' (#621)
[16:02:48]	[OOC] CCA.C17-SCN.46812: on that specific char?
[16:02:51]	CCA.C17-SCN.46812 used command '/ViewData rico'.
[16:02:53]	Erik von Jiguman used command '/PM scn yeah'.
[16:02:57]	Erik von Jiguman used command '/ToggleRaise'.
[16:02:59]	[OOC] CCA.C17-SCN.46812: huh
[16:03:01]	Erik von Jiguman used command '/ToggleRaise'.
[16:03:02]	Erik von Jiguman used command '/ToggleRaise'.
[16:03:03]	Rico Ponster ran 'Equip' on item 'Green Citizen Suit' (#621)
[16:03:03]	Erik von Jiguman used command '/ToggleRaise'.
[16:03:08]	[Y] Erik von Jiguman: AHAHAHA.
[16:03:09]	CCA.C17-JUDGE.i2.69124 used command '/PlySearch'.
[16:03:09]	[OOC] CCA.C17-SCN.46812: lmao
[16:03:10]	CCA.C17-JUDGE.i2.69124 used command '/PlySearch'.
[16:03:15]	[OOC] CCA.C17-SCN.46812: hahaha so funny
[16:03:18]	[OOC] CCA.C17-SCN.46812: peak comedy
[16:03:21]	CCA.C17-SCN.46812 has gained 10 tokens.
[16:03:23]	CCA.C17-JUDGE.i2.69124 used command '/PlySearch'.
[16:03:24]	CCA.C17-JUDGE.i2.69124 used command '/PlySearch'.
[16:03:25]	CCA.C17-JUDGE.i2.69124 used command '/PlySearch'.
[16:03:25]	CCA.C17-JUDGE.i2.69124 used command '/PlySearch'.
[16:03:28]	CCA.C17-JUDGE.i2.69124 used command '/PlySearch'.
[16:03:29]	CCA.C17-JUDGE.i2.69124 used command '/PlySearch'.
[16:03:33]	CCA.C17-JUDGE.i2.69124 used command '/PlySearch'.
[16:03:33]	CCA.C17-JUDGE.i2.69124 used command '/PlySearch'.
[16:03:34]	CCA.C17-JUDGE.i2.69124 used command '/PlySearch'.
[16:03:35]	CCA.C17-JUDGE.i2.69124 used command '/PlySearch'.
[16:03:42]	CCA.C17-JUDGE.i2.69124 used command '/PlySearch'.
[16:03:47]	DRD loaded the character 'CCA.C17-GRID.i1.59212'
[16:03:52]	[Y] Rico Ponster: FUCKER.
[16:03:54]	[OOC] Erik von Jiguman: offica i cant breef..
[16:03:54]	CCA.C17-JUDGE.i2.69124 used command '/PlySearch'.
[16:03:55]	CCA.C17-JUDGE.i2.69124 used command '/PlySearch'.
[16:04:02]	[OOC] CCA.C17-GRID.i1.59212: ah but can you beef
[16:04:16]	CCA.C17-JUDGE.i2.69124 used command '/ViewData rico'.
[16:04:22]	CCA.C17-GRID.i1.59212 used command '/ViewData erik'.
[16:04:23]	CCA.C17-JUDGE.i2.69124 used command '/ViewData mario'.
[16:04:25]	Mario Jackson has taken 131 damage from worldspawn.
[16:04:25]	worldspawn has killed Mario Jackson.
[16:04:37]	Erik von Jiguman has taken 117 damage from worldspawn.
[16:04:37]	worldspawn has killed Erik von Jiguman.
[16:04:45]	Rico Ponster used command '/CharFallOver 0'.
[16:04:45]	CCA.C17-JUDGE.i2.69124 opened the '' #337 container.
[16:04:47]	Rico Ponster has taken 100 damage from worldspawn.
[16:04:47]	worldspawn has killed Rico Ponster.
[16:04:50]	CCA.C17-JUDGE.i2.69124 closed the '' #337 container.
[16:04:51]	CCA.C17-JUDGE.i2.69124 opened the '' #338 container.
[16:04:53]	CCA.C17-JUDGE.i2.69124 closed the '' #338 container.
[16:04:55]	CCA.C17-JUDGE.i2.69124 opened the '' #339 container.
[16:04:59]	CCA.C17-JUDGE.i2.69124 closed the '' #339 container.
[16:05:00]	CCA.C17-JUDGE.i2.69124 opened the '' #340 container.
[16:05:05]	Rico Ponster ran 'EquipUn' on item 'Green Citizen Suit' (#621)
[16:05:05]	Rico Ponster ran 'Equip' on item 'Green Citizen Suit' (#621)
[16:05:10]	CCA.C17-JUDGE.i2.69124 closed the '' #340 container.
[16:05:53]	[OOC] Rico Ponster: admin
[16:05:59]	[LOOC] CCA.C17-JUDGE.i2.69124: ?
[16:06:03]	[LOOC] Rico Ponster: i have a question
[16:06:06]	[LOOC] CCA.C17-JUDGE.i2.69124: mhm?
[16:06:13]	Rico Ponster used command '/PM judge could i technically strangle a cp or citizen with a powercord'.
[16:06:24]	CCA.C17-JUDGE.i2.69124 used command '/PM ponster I guess yeah'.
[16:06:28]	Rico Ponster used command '/PM judge will it work?'.
[16:06:41]	CCA.C17-JUDGE.i2.69124 used command '/PM rico depends on your rolls and their rolls'.
[16:06:42]	[OOC] Erik von Jiguman: w tf did u guys make a invis wall here, that's unfair.
[16:06:45]	Rico Ponster used command '/PM judge lol'.
[16:06:48]	[OOC] Rico Ponster: where
[16:06:52]	[OOC] CCA.C17-GRID.i1.59212: where
[16:07:02]	[OOC] CCA.C17-JUDGE.i2.69124: because you can't just climb on thin barbed wire like it's solid metal
[16:07:13]	[OOC] CCA.C17-JUDGE.i2.69124: there are other ways in too
[16:07:14]	[ME] Erik von Jiguman: would grab the pipe from the trash.
[16:07:15]	Rico Ponster used command '/PM i2 admin to me'.
[16:07:20]	CCA.C17-GRID.i1.59212 has taken 5 damage from Mario Jackson.
[16:07:21]	CCA.C17-GRID.i1.59212 has taken 5 damage from Mario Jackson.
[16:07:24]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[16:07:26]	[ME] Rico Ponster: grabs pipe
[16:07:27]	Mario Jackson has taken 16 damage from CCA.C17-GRID.i1.59212.
[16:07:28]	[LOOC] Rico Ponster: give pipe
[16:07:32]	CCA.C17-JUDGE.i2.69124 has gained 10 tokens.
[16:07:32]	Mario Jackson has taken 8 damage from CCA.C17-GRID.i1.59212.
[16:07:36]	Mario Jackson has taken 24 damage from CCA.C17-GRID.i1.59212.
[16:07:38]	[OOC] Erik von Jiguman: can i get given a pipe?
[16:07:39]	CCA.C17-GRID.i1.59212 has taken 5 damage from Mario Jackson.
[16:07:39]	Mario Jackson has taken 28 damage from CCA.C17-GRID.i1.59212.
[16:07:45]	CCA.C17-GRID.i1.59212 has taken 5 damage from Mario Jackson.
[16:07:46]	CCA.C17-GRID.i1.59212 has taken 5 damage from Mario Jackson.
[16:07:47]	Mario Jackson has taken 4 damage from CCA.C17-GRID.i1.59212.
[16:07:49]	Mario Jackson has taken 24 damage from CCA.C17-GRID.i1.59212.
[16:07:49]	CCA.C17-GRID.i1.59212 has killed Mario Jackson with weapon_shotgun.
[16:07:54]	[LOOC] CCA.C17-JUDGE.i2.69124: all trash piles have had the pipes taken from them, I know because i've been the one that had to give them out
[16:08:04]	[OOC] CCA.C17-JUDGE.i2.69124: the trash piles have already had the pipes looted
[16:08:05]	[ME] Rico Ponster: grabs bottle
[16:08:10]	[ME] Erik von Jiguman: would grab the bottle.
[16:08:16]	[ME] Erik von Jiguman: would smash it against the wall.
[16:08:20]	[OOC] CCA.C17-JUDGE.i2.69124: i know because I was the one that had to give them out
[16:08:26]	[OOC] Rico Ponster: ok are u still here
[16:08:30]	[OOC] CCA.C17-JUDGE.i2.69124: yes
[16:08:36]	[ME] Rico Ponster: grabs the bottle from the trash.
[16:08:44]	[LOOC] Erik von Jiguman: already did my /me they can check logs
[16:08:46]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[16:08:48]	CCA.C17-JUDGE.i2.69124 used command '/CharGiveItem rico empty bottle'.
[16:08:48]	CCA.C17-GRID.i1.59212 has taken 5 damage from Mario Jackson.
[16:08:48]	CCA.C17-GRID.i1.59212 has taken 5 damage from Mario Jackson.
[16:08:49]	[LOOC] Rico Ponster: same
[16:08:51]	Rico Ponster has gained a 'Empty Glass Bottle' #7077.
[16:08:51]	CCA.C17-JUDGE.i2.69124 used command '/CharGiveItem rico empty glass bottle'.
[16:08:52]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[16:08:54]	Rico Ponster ran 'Equip' on item 'Empty Glass Bottle' (#7077)
[16:09:09]	[OOC] CCA.C17-GRID.i1.59212: :
[16:09:28]	Itzutak (STEAM_0:0:588067884) has disconnected.
[16:09:28]	Apollo7771FO3 has connected.
[16:09:33]	[OOC] Rico Ponster: THE ERPER LOL
[16:09:41]	[OOC] CCA.C17-GRID.i1.59212: what
[16:09:42]	[ME] Rico Ponster: holds the powercord
[16:10:00]	[OOC] Erik von Jiguman: nigga loyalist.
[16:10:03]	[ME] Rico Ponster: attempts to strangle the CP with the powercord
[16:10:04]	Rico Ponster rolled 28 out of 100.
[16:10:04]	Rico Ponster used command '/Roll'.
[16:10:08]	[LOOC] Rico Ponster: wait strength roll right?
[16:10:12]	[LOOC] CCA.C17-GRID.i1.59212: i think
[16:10:15]	[LOOC] CCA.C17-GRID.i1.59212: /rollstat str
[16:10:16]	[OOC] CCA.C17-JUDGE.i2.69124: we do not tolerate any slurs
[16:10:17]	[LOOC] Rico Ponster: hold on
[16:10:20]	[LOOC] Rico Ponster: you go first
[16:10:25]	[LOOC] CCA.C17-GRID.i1.59212: sure
[16:10:25]	Erik von Jiguman used command '/PM i2 i said it ironically'.
[16:10:31]	Erik von Jiguman ran 'View' on item 'Notepad' (#1945)
[16:10:31]	CCA.C17-JUDGE.i2.69124 used command '/PM erik don't care'.
[16:10:39]	CCA.C17-JUDGE.i2.69124 used command '/PM erik we have a 0 tolerance policy'.
[16:10:48]	Erik von Jiguman used command '/PM i2 didn't know'.
[16:10:53]	Erik von Jiguman used command '/PM i2 you were so offensive'.
[16:11:02]	[LOOC] CCA.C17-GRID.i1.59212: i guess i'd roll con, yeah?
[16:11:02]	CCA.C17-JUDGE.i2.69124 used command '/PM erik what?'.
[16:11:03]	Erik von Jiguman used command '/PM i2 and sensitive to slurs'.
[16:11:04]	[LOOC] Rico Ponster: yes
[16:11:06]	[LOOC] Rico Ponster: go ahead
[16:11:11]	[LOOC] Rico Ponster: 60, ooof
[16:11:18]	[LOOC] Rico Ponster: do you wanna assist man
[16:11:24]	[LOOC] Erik von Jiguman: thats what im doing
[16:11:24]	[LOOC] CCA.C17-GRID.i1.59212: my turn for an action now
[16:11:28]	[LOOC] Rico Ponster: yes
[16:11:31]	[LOOC] Rico Ponster: you arrive in one turn
[16:11:31]	CCA.C17-JUDGE.i2.69124 used command '/PM erik it is a server policy, so go find somewhere else to be racist'.
[16:11:32]	[LOOC] Rico Ponster: wait
[16:11:39]	[LOOC] Erik von Jiguman: i already arrived
[16:11:52]	[ME] CCA.C17-GRID.i1.59212: attempts to slam his stunstick into the mans shins 
[16:11:53]	[LOOC] Rico Ponster: we can say that its really failed so like, it just looks awkward
[16:12:07]	[LOOC] Rico Ponster: broooo bullshit
[16:12:09]	[LOOC] Rico Ponster: your turn
[16:12:16]	[LOOC] CCA.C17-GRID.i1.59212: you're doing /rollstat, right?
[16:12:19]	[LOOC] Rico Ponster: yes
[16:12:22]	[LOOC] CCA.C17-GRID.i1.59212: ah
[16:12:22]	[ME] Erik von Jiguman: would attempt kicking the unit into the spine.
[16:12:23]	[LOOC] Rico Ponster: wait what stat should i roll
[16:12:26]	[LOOC] Rico Ponster: spine
[16:12:27]	ryaki (STEAM_0:0:419613166) has disconnected.
[16:12:29]	[LOOC] Rico Ponster: you know that-
[16:12:32]	[LOOC] CCA.C17-GRID.i1.59212: im facing yo-
[16:12:32]	CCA.C17-JUDGE.i2.69124 has gained 10 tokens.
[16:12:32]	Apollo7771FO3 loaded the character 'Todd Muller'
[16:12:33]	[OOC] CCA.C17-JUDGE.i2.69124: that's two minges gone
[16:12:38]	[OOC] Rico Ponster: did he get banned
[16:12:38]	[OOC] CCA.C17-GRID.i1.59212: rico'
[16:12:40]	[OOC] CCA.C17-JUDGE.i2.69124: yes
[16:12:46]	[OOC] CCA.C17-GRID.i1.59212: i dont think rico's a minge so yay
[16:12:46]	[OOC] Rico Ponster: wtf dude i was rping with him
[16:12:51]	[OOC] CCA.C17-GRID.i1.59212: he said a slur
[16:12:57]	[OOC] CCA.C17-JUDGE.i2.69124: well he shouldn't have been a racist minge
[16:13:11]	[OOC] Rico Ponster: so saying the n word ironically is now racist?
[16:13:17]	[OOC] CCA.C17-JUDGE.i2.69124: it is a slur
[16:13:24]	[LOOC] CCA.C17-GRID.i1.59212: wanna restart so an admin can oversee
[16:13:26]	[OOC] CCA.C17-JUDGE.i2.69124: and we have 0 tolerance polict
[16:13:27]	[LOOC] CCA.C17-GRID.i1.59212: or
[16:13:38]	[OOC] Rico Ponster: so when black people say it its cool, but when white people say it its bad?
[16:13:39]	[LOOC] Rico Ponster: sure
[16:13:46]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[16:13:48]	[OOC] CCA.C17-JUDGE.i2.69124: no, when anyone says it, we don't tolerate it
[16:14:02]	[OOC] CCA.C17-JUDGE.i2.69124: if you wanna say it not in this server have fun, but we don't allow it
[16:14:11]	[OOC] Rico Ponster: explains why the owner of the server has a BLM insurgent pfp
[16:14:24]	[OOC] CCA.C17-JUDGE.i2.69124: he legitimately didn't know it was blm
[16:14:28]	[OOC] Rico Ponster: mhm mhm
[16:14:30]	[LOOC] CCA.C17-GRID.i1.59212: wait your turn now
[16:14:30]	[OOC] CCA.C17-JUDGE.i2.69124: he's explained this to us
[16:14:35]	[LOOC] Rico Ponster: ok lets restart
[16:14:40]	[LOOC] CCA.C17-GRID.i1.59212: sure
[16:15:09]	[ME] Rico Ponster: attempts to strangle the officer's neck, trying to hold his legs so he can't move.
[16:15:18]	[LOOC] Rico Ponster: roll cons
[16:15:40]	[ME] CCA.C17-GRID.i1.59212: attempts to pull the cord from the citizen
[16:15:47]	[LOOC] Rico Ponster: strength then
[16:15:49]	[LOOC] CCA.C17-JUDGE.i2.69124: con then str
[16:15:58]	[LOOC] Rico Ponster: what
[16:16:08]	[LOOC] Rico Ponster: why did you roll twice
[16:16:11]	FB|| light ROOM has connected.
[16:16:15]	[LOOC] CCA.C17-JUDGE.i2.69124: con cause the cord went around his neck then str to try and get it off
[16:16:15]	[LOOC] CCA.C17-GRID.i1.59212: con to see if it hurts me, str to see if i can get it off
[16:16:23]	[LOOC] Rico Ponster: so i win
[16:16:36]	[LOOC] CCA.C17-GRID.i1.59212: it's around my neck but im perfectly fine 
[16:16:43]	[LOOC] CCA.C17-JUDGE.i2.69124: not perfectly but still
[16:16:44]	[LOOC] Rico Ponster: right, my turn?
[16:16:48]	[LOOC] CCA.C17-JUDGE.i2.69124: yes
[16:16:59]	FB|| light ROOM loaded the character 'PFC Mitchell 'Lazzy' Lazarus'
[16:17:02]	[OOC] PFC Mitchell 'Lazzy' Lazarus: crungle
[16:17:04]	PFC Mitchell 'Lazzy' Lazarus ran 'Equip' on item 'MP7' (#6828)
