[00:01:18]	[OOC] CCA.C17-GRID.i3.08313: I 
[17:20:22]	Lin'Garung has lost a 'Corrugated Hose' #27963.
[17:20:24]	Lin'Garung ran 'drop' on item 'Nylon Cord' (#27964)
[17:20:24]	Lin'Garung has lost a 'Nylon Cord' #27964.
[17:20:37]	Lin'Garung has gained a 'Horse Statue' #27965.
[17:20:41]	Lin'Garung ran 'drop' on item 'Horse Statue' (#27965)
[17:20:41]	Lin'Garung has lost a 'Horse Statue' #27965.
[17:20:43]	Lin'Garung destroyed a 'Horse Statue' #27965.
[17:20:46]	Lin'Garung has gained a 'Cinderblock' #27965.
[17:21:49]	Lin'Garung ran 'drop' on item 'Cinderblock' (#27965)
[17:21:49]	Lin'Garung has lost a 'Cinderblock' #27965.
[17:22:16]	Lin'Garung has gained a 'Powercord' #27966.
[17:22:22]	Lin'Garung ran 'drop' on item 'Powercord' (#27966)
[17:22:22]	Lin'Garung has lost a 'Powercord' #27966.
[17:22:38]	Lin'Garung has gained a 'Conscript Filter' #27967.
[17:22:45]	Lin'Garung opened the '' #244 container.
[17:22:54]	Lin'Garung has gained a 'Scrap Electronics' #27863.
[17:22:56]	Lin'Garung closed the '' #244 container.
[17:23:00]	Lin'Garung ran 'drop' on item 'Scrap Electronics' (#27863)
[17:23:00]	Lin'Garung has lost a 'Scrap Electronics' #27863.
[17:24:03]	Lin'Garung has gained a 'Empty Soda Bottle' #27968.
[17:24:05]	Lin'Garung ran 'drop' on item 'Empty Soda Bottle' (#27968)
[17:24:05]	Lin'Garung has lost a 'Empty Soda Bottle' #27968.
[17:24:07]	Lin'Garung destroyed a 'Empty Soda Bottle' #27968.
[17:24:15]	Lin'Garung has gained a '9mm Pistol Magazine' #27968.
[17:24:59]	DRD has connected.
[17:25:31]	DRD loaded the character 'CCA.C17-GRID.i1.23710'
[17:25:33]	CCA.C17-GRID.i1.23710 entered observer.
[17:25:56]	CCA.C17-GRID.i1.23710 has spawned a 'Entity [2275][gmod_sent_vehicle_fphysics_base]'.
[17:25:56]	CCA.C17-GRID.i1.23710 exited observer at their location.
[17:26:13]	CCA.C17-GRID.i1.23710 entered observer.
[17:26:29]	CCA.C17-GRID.i1.23710 has spawned 'models/props_junk/harpoon002a.mdl'.
[17:26:58]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:27:05]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:27:10]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:27:12]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:27:13]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:27:15]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/FurnitureMattress001a.mdl'.
[17:27:17]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:27:21]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:27:27]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:27:28]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:27:30]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:27:32]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:27:33]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:27:34]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:27:42]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furniturestove001a.mdl'.
[17:27:42]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furniturestove001a.mdl'.
[17:27:42]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furniturestove001a.mdl'.
[17:27:42]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furniturestove001a.mdl'.
[17:27:42]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furniturestove001a.mdl'.
[17:27:42]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furniturestove001a.mdl'.
[17:27:42]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furniturestove001a.mdl'.
[17:27:42]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furniturestove001a.mdl'.
[17:27:42]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furniturestove001a.mdl'.
[17:27:42]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furniturestove001a.mdl'.
[17:27:42]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furniturestove001a.mdl'.
[17:27:42]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furniturestove001a.mdl'.
[17:27:42]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furniturestove001a.mdl'.
[17:27:42]	CCA.C17-GRID.i1.23710 has spawned 'models/props_c17/furniturestove001a.mdl'.
[17:27:58]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:01]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:01]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:01]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:01]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:01]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:01]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:01]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:01]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:01]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:01]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:01]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:01]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:01]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:01]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:03]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:03]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:03]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:03]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:03]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:03]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:03]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:03]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:03]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:03]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:03]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:03]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:03]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:03]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:06]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:06]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:06]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:06]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:06]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:06]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:06]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:06]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:06]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:06]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:06]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:06]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:06]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:06]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:08]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:08]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:08]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:08]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:08]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:08]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:08]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:08]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:08]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:08]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:08]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:08]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:08]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:08]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:27]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:27]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:27]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:27]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:27]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:27]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:27]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:27]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:27]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:27]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:27]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:27]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:27]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:27]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:29]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:29]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:29]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:29]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:29]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:29]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:29]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:29]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:29]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:29]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:29]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:29]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:29]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:29]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:32]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:32]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:32]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:32]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:32]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:32]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:32]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:32]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:32]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:32]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:32]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:32]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:32]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:32]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:28:52]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:29:11]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:29:11]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:29:11]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:29:11]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:29:11]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:29:11]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:29:11]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:29:11]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:29:11]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:29:11]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:29:11]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:29:11]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:29:11]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:29:11]	CCA.C17-GRID.i1.23710 has spawned 'models/hunter/plates/plate.mdl'.
[17:29:20]	CCA.C17-GRID.i1.23710 exited observer at their location.
[17:29:43]	CCA.C17-GRID.i1.23710 entered observer.
[17:30:31]	CCA.C17-GRID.i1.23710 has gained 10 tokens.
[17:45:00]	FB|| light ROOM has connected.
[17:46:55]	FB|| light ROOM loaded the character 'Ethan King'
[17:46:57]	[OOC] Ethan King: alo 
[17:47:16]	[OOC] Ethan King: A fucking Vort and a CP, that's who's on 
[17:47:23]	[OOC] Ethan King: amazing ratio 
[17:48:26]	Ethan King ran 'take' on item 'Axe' (#27972)
[17:48:34]	Ethan King ran 'drop' on item 'Empty Flavored Consulate Water Can' (#27542)
[17:48:34]	Ethan King has lost a 'Empty Flavored Consulate Water Can' #27542.
[17:48:39]	Ethan King ran 'take' on item 'Axe' (#27972)
[17:48:39]	Ethan King has gained a 'Axe' #27972.
[17:49:38]	Dilly_ has connected.
[17:49:46]	Ethan King ran 'Edit' on item 'Notepad' (#27882)
[17:49:48]	Ethan King ran 'take' on item 'Notepad' (#27882)
[17:50:06]	Ethan King has taken 10 damage from npc_zombie.
[17:50:28]	Dilly_ loaded the character 'Douglas Hudson'
[17:50:34]	Ethan King ran 'take' on item 'Flashlight' (#27975)
[17:50:44]	Lin'Garung has gained a 'Box of Matches' #27976.
[17:51:02]	Lin'Garung ran 'drop' on item 'Box of Matches' (#27976)
[17:51:02]	Lin'Garung has lost a 'Box of Matches' #27976.
[17:51:08]	Lin'Garung ran 'drop' on item '9mm Pistol Magazine' (#27968)
[17:51:08]	Lin'Garung has lost a '9mm Pistol Magazine' #27968.
[17:51:25]	Lin'Garung has gained a 'Spark Plug' #27978.
[17:51:28]	Lin'Garung ran 'drop' on item 'Spark Plug' (#27978)
[17:51:28]	Lin'Garung has lost a 'Spark Plug' #27978.
[17:51:29]	Lin'Garung destroyed a 'Spark Plug' #27978.
[17:51:53]	Lin'Garung has gained a 'Empty Consulate Water Can' #27979.
[17:51:56]	Lin'Garung ran 'drop' on item 'Empty Consulate Water Can' (#27979)
[17:51:56]	Lin'Garung has lost a 'Empty Consulate Water Can' #27979.
[17:52:02]	Lin'Garung destroyed a 'Empty Consulate Water Can' #27979.
[17:52:07]	Lin'Garung has gained a 'Empty Consulate Water Can' #27979.
[17:52:10]	Lin'Garung ran 'drop' on item 'Empty Consulate Water Can' (#27979)
[17:52:10]	Lin'Garung has lost a 'Empty Consulate Water Can' #27979.
[17:52:14]	[OOC] Douglas Hudson: welp back to the front
[17:52:14]	Lin'Garung destroyed a 'Empty Consulate Water Can' #27979.
[17:52:16]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[17:52:29]	[OOC] Ethan King: ah 
[17:52:48]	Lin'Garung has gained a 'Empty Soda Bottle' #27980.
[17:52:54]	Lin'Garung ran 'drop' on item 'Empty Soda Bottle' (#27980)
[17:52:54]	Lin'Garung has lost a 'Empty Soda Bottle' #27980.
[17:52:58]	Lin'Garung destroyed a 'Empty Soda Bottle' #27980.
[17:53:05]	Lin'Garung has gained a 'Cloth Scrap' #27980.
[17:53:08]	Lin'Garung ran 'drop' on item 'Cloth Scrap' (#27980)
[17:53:08]	Lin'Garung has lost a 'Cloth Scrap' #27980.
[17:53:10]	Lin'Garung destroyed a 'Cloth Scrap' #27980.
[17:53:43]	Lin'Garung has gained a 'Old Newspaper' #27982.
[17:53:47]	Lin'Garung ran 'drop' on item 'Old Newspaper' (#27982)
[17:53:47]	Lin'Garung has lost a 'Old Newspaper' #27982.
[17:53:50]	Lin'Garung destroyed a 'Old Newspaper' #27982.
[17:53:51]	Ethan King has gained 5 tokens.
[17:54:36]	Lin'Garung has gained a 'Armor Scraps' #27983.
[17:54:53]	[VORTIGESE] Lin'Garung: this way
[17:55:02]	Lin'Garung has gained a 'A Roll of Toilet Paper' #27984.
[17:55:13]	Lin'Garung ran 'drop' on item 'A Roll of Toilet Paper' (#27984)
[17:55:13]	Lin'Garung has lost a 'A Roll of Toilet Paper' #27984.
[17:55:33]	[ME] Ethan King: slings over his MP7, sliding across the booth as he sighs, placing his back against the almost comfy padding.
[17:55:52]	Lin'Garung ran 'drop' on item 'Armor Scraps' (#27983)
[17:55:52]	Lin'Garung has lost a 'Armor Scraps' #27983.
[17:56:19]	Lin'Garung has gained a 'Cinderblock' #27985.
[17:56:45]	Lin'Garung ran 'drop' on item 'Cinderblock' (#27985)
[17:56:45]	Lin'Garung has lost a 'Cinderblock' #27985.
[17:57:33]	Lin'Garung has gained a 'Empty Paint Can' #27986.
[17:57:37]	Lin'Garung ran 'drop' on item 'Empty Paint Can' (#27986)
[17:57:37]	Lin'Garung has lost a 'Empty Paint Can' #27986.
[17:57:38]	Lin'Garung destroyed a 'Empty Paint Can' #27986.
[17:57:57]	Lin'Garung has gained a 'AA Battery' #27986.
[17:58:03]	Lin'Garung ran 'drop' on item 'AA Battery' (#27986)
[17:58:03]	Lin'Garung has lost a 'AA Battery' #27986.
[17:58:09]	Lin'Garung destroyed a 'AA Battery' #27986.
[17:58:18]	Lin'Garung has gained a 'Spark Plug' #27986.
[17:58:20]	Lin'Garung ran 'drop' on item 'Spark Plug' (#27986)
[17:58:20]	Lin'Garung has lost a 'Spark Plug' #27986.
[17:58:22]	Lin'Garung destroyed a 'Spark Plug' #27986.
[17:59:06]	[OOC] Ethan King: AGH 
[17:59:09]	[OOC] Ethan King: BALLS 
[18:02:07]	Lin'Garung has gained a 'Empty Soda Bottle' #27986.
[18:02:11]	Lin'Garung ran 'drop' on item 'Empty Soda Bottle' (#27986)
[18:02:11]	Lin'Garung has lost a 'Empty Soda Bottle' #27986.
[18:02:13]	Lin'Garung destroyed a 'Empty Soda Bottle' #27986.
[18:02:24]	Lin'Garung has gained a 'Graphics Card' #27986.
[18:02:29]	Lin'Garung ran 'drop' on item 'Graphics Card' (#27986)
[18:02:29]	Lin'Garung has lost a 'Graphics Card' #27986.
[18:02:31]	Lin'Garung destroyed a 'Graphics Card' #27986.
[18:03:40]	[OOC] Ethan King: Got that solid 2 FPS for a second 
[18:04:02]	Lin'Garung has gained a 'Corrugated Hose' #27986.
[18:04:09]	Lin'Garung ran 'drop' on item 'Corrugated Hose' (#27986)
[18:04:09]	Lin'Garung has lost a 'Corrugated Hose' #27986.
[18:05:23]	Lin'Garung has gained a 'Empty Glass Bottle' #27987.
[18:05:25]	Lin'Garung ran 'Equip' on item 'Empty Glass Bottle' (#27987)
[18:05:26]	Lin'Garung ran 'EquipUn' on item 'Empty Glass Bottle' (#27987)
[18:05:27]	Lin'Garung ran 'drop' on item 'Empty Glass Bottle' (#27987)
[18:05:27]	Lin'Garung has lost a 'Empty Glass Bottle' #27987.
[18:05:28]	Lin'Garung destroyed a 'Empty Glass Bottle' #27987.
[18:11:14]	Lin'Garung has gained a 'Cinderblock' #27987.
[18:11:50]	Lin'Garung ran 'drop' on item 'Cinderblock' (#27987)
[18:11:50]	Lin'Garung has lost a 'Cinderblock' #27987.
[18:13:05]	Lin'Garung has gained a 'Scrap Electronics' #27988.
[18:13:15]	Lin'Garung ran 'drop' on item 'Scrap Electronics' (#27988)
[18:13:15]	Lin'Garung has lost a 'Scrap Electronics' #27988.
[18:22:52]	Lin'Garung has gained a 'Pin' #27989.
[18:23:01]	Lin'Garung ran 'drop' on item 'Pin' (#27989)
[18:23:01]	Lin'Garung has lost a 'Pin' #27989.
[18:23:25]	Lin'Garung has gained a 'Blood Collecting Syringe' #27990.
[18:23:46]	Lin'Garung ran 'drop' on item 'Blood Collecting Syringe' (#27990)
[18:23:46]	Lin'Garung has lost a 'Blood Collecting Syringe' #27990.
[18:25:12]	Lin'Garung has gained a 'Citizen Filter' #27991.
[18:25:35]	Lin'Garung ran 'drop' on item 'Citizen Filter' (#27991)
[18:25:35]	Lin'Garung has lost a 'Citizen Filter' #27991.
[18:25:37]	Lin'Garung ran 'take' on item 'Citizen Filter' (#27991)
[18:25:37]	Lin'Garung has gained a 'Citizen Filter' #27991.
[18:25:39]	Lin'Garung ran 'drop' on item 'Citizen Filter' (#27991)
[18:25:39]	Lin'Garung has lost a 'Citizen Filter' #27991.
[18:25:58]	Lin'Garung has gained a 'Empty Consulate Water Can' #27992.
[18:26:01]	Lin'Garung ran 'drop' on item 'Empty Consulate Water Can' (#27992)
[18:26:01]	Lin'Garung has lost a 'Empty Consulate Water Can' #27992.
[18:26:03]	Lin'Garung destroyed a 'Empty Consulate Water Can' #27992.
[18:26:11]	[VORTIGESE] Lin'Garung: yes
[18:26:19]	[VORTIGESE] Lin'Garung: yes indeed
[18:26:28]	[VORTIGESE] Lin'Garung: yes... Times have changed
[18:26:38]	Lin'Garung has gained a 'Military Circuit Board' #27992.
[18:26:45]	[VORTIGESE] Lin'Garung: change
[18:27:05]	[VORTIGESE] Lin'Garung: Changed...
[18:27:08]	Lin'Garung has gained a 'Pin' #27993.
[18:27:27]	Lin'Garung ran 'take' on item 'Pin' (#27989)
[18:27:27]	Lin'Garung has gained a 'Pin' #27989.
[18:27:29]	Lin'Garung ran 'take' on item 'Pin' (#27937)
[18:27:29]	Lin'Garung has gained a 'Pin' #27937.
[18:28:10]	[ME] Lin'Garung: Grabs a handfull of headcrabs, Slowly making its way over to the table
[18:28:23]	[VORTIGESE] Lin'Garung: eat
[18:29:26]	[ME] Ethan King: sighed, looking over the headcrabs, "Are you alright?"
[18:29:56]	[ME] Lin'Garung: Places the last headcrab on the table- Finding himself a seat 
[18:30:15]	[VORTIGESE] Lin'Garung: eat
[18:30:23]	[ME] Lin'Garung: Clears his throat
[18:31:51]	[ME] Ethan King: would unsheathe his knife, wiping it down with a rag before stabbing into the headcrabs, skillfully cutting them up.
[18:33:05]	[IT] Lin'Garung: A heavy Grin would apear on Lins face ' ahh wonderfull '
[18:33:56]	[ME] Lin'Garung: reaches for a peice of headcrab, Picking it up with its third arm
[18:34:02]	Lin'Garung ran 'take' on item 'Raw Headcrab Meat' (#27996)
[18:34:02]	Lin'Garung has gained a 'Raw Headcrab Meat' #27996.
[18:34:15]	[ME] Ethan King: nods, "It's my pleasure."
[18:34:30]	[ME] Lin'Garung: Starts nibbling at a peice
[18:36:26]	[ME] Lin'Garung: Continues nibbling
[18:36:32]	[ME] Ethan King: would lay back, looping his thumbs around his chest rig as he looked over the Vort, "Shoot."
[18:38:35]	[ME] Ethan King: nods, "It is, I won't reveal my full name as of now."
[18:40:56]	[ME] Ethan King: seemingly went quiet, silent as he looked over the Vort as he contemplated the question, sounds of the sewers becoming deafening as his silence overtook the surroundings.
[18:42:35]	[ME] Lin'Garung: Continues to nibble on its cut up headcrab
[18:42:41]	[LOOC] Ethan King: me thinking of how to word this 
[18:42:47]	[LOOC] Lin'Garung: Take your time
[18:43:26]	[ME] Ethan King: sighs, finally finding some amount of wording as he looked towards the Vort, "It would be on you, to decide if glory is what I have on my name...but I can assure you I have done a many great things."
[18:43:28]	[LOOC] Lin'Garung: I find its a good time for a 'pre' event discussion
[18:45:32]	Mr. Chief has connected.
[18:45:36]	[ME] Lin'Garung: Leans aside looking at his firearm
[18:45:45]	[ME] Lin'Garung: Then continues to nibble at his headcrab
[18:46:02]	[ME] Ethan King: sighs, tapping his gun as he contemplated the question once more.
[18:48:28]	[LOOC] Lin'Garung: EVEN
[18:48:45]	[LOOC] Lin'Garung: Were*
[18:48:46]	[LOOC] Lin'Garung: A
[18:50:07]	[OOC] Lin'Garung: Man.. we start at 8 and i still only see 3 people on
[18:50:22]	[OOC] Ethan King: Doing a big event on a fucking Tuesday does these things 
[18:50:42]	[OOC] Lin'Garung: True
