[04:53:57]	Coilrek has connected.
[20:09:31]	Test Testington used command '/CreateCustomItem Boot models/props_junk/Shoe001a.mdl Fuck you.'.
[20:09:31]	[OOC] Hans Weiß: ooh chara
[20:09:33]	Test Testington ran 'drop' on item 'Boot' (#22643)
[20:09:33]	Test Testington has lost a 'Boot' #22643.
[20:09:36]	Test Testington used command '/adminspawnmenu'.
[20:09:39]	[LOOC] Hans Weiß: yes
[20:09:41]	[LOOC] Test Testington: i'm just fucking wtih you
[20:09:44]	[LOOC] Hans Weiß: oh
[20:09:45]	[LOOC] Test Testington: let me grab the actual item
[20:09:46]	Test Testington used command '/adminspawnmenu'.
[20:09:59]	[OOC] Journey Robertson: I'm back gamers
[20:10:03]	[OOC] Hans Weiß: soup
[20:10:20]	[OOC] Hans Weiß: i think i did a good, while scavanging
[20:10:29]	Chara HamSlapper loaded the character 'Carrie O'Sullivan'
[20:10:32]	[OOC] Journey Robertson: Noice, don't tell me OOC'ly
[20:10:36]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[20:10:38]	[OOC] Carrie O'Sullivan: heyoo
[20:10:45]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit is 10-8, status is green.'.
[20:10:47]	[OOC] CCA.C14-UNION.EpU.72633: hello gamer
[20:10:50]	[OOC] Hans Weiß: howdy
[20:11:17]	Carrie O'Sullivan has taken 5 damage from npc_devilsquid.
[20:11:18]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:18]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:18]	Carrie O'Sullivan has taken 2 damage from Carrie O'Sullivan.
[20:11:18]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:19]	Carrie O'Sullivan has taken 2 damage from Carrie O'Sullivan.
[20:11:19]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:19]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:19]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:19]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:19]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:21]	Carrie O'Sullivan has taken 2 damage from Carrie O'Sullivan.
[20:11:21]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:21]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:21]	Carrie O'Sullivan has taken 2 damage from Carrie O'Sullivan.
[20:11:21]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:21]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:22]	Carrie O'Sullivan has taken 2 damage from Carrie O'Sullivan.
[20:11:22]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:22]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:22]	Carrie O'Sullivan has taken 0 damage from Carrie O'Sullivan.
[20:11:22]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:24]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:24]	Carrie O'Sullivan has taken 0 damage from Carrie O'Sullivan.
[20:11:25]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:25]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:25]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:27]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:27]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:27]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:28]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:28]	Carrie O'Sullivan has taken 0 damage from Carrie O'Sullivan.
[20:11:28]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:11:30]	Carrie O'Sullivan has taken 0 damage from Carrie O'Sullivan.
[20:11:31]	Carrie O'Sullivan has taken 1 damage from Carrie O'Sullivan.
[20:12:03]	Test Testington has spawned "Blacksmith Tongs"
[20:12:05]	Test Testington entered observer.
[20:12:05]	Test Testington exited observer at their location.
[20:12:06]	Test Testington entered observer.
[20:12:06]	Test Testington exited observer at their location.
[20:12:08]	Hans Weiß ran 'take' on item 'Blacksmith Tongs' (#22643)
[20:12:08]	Hans Weiß has gained a 'Blacksmith Tongs' #22643.
[20:12:14]	[LOOC] Hans Weiß: yee
[20:12:18]	Test Testington entered observer.
[20:12:19]	Test Testington exited observer at their location.
[20:12:24]	CCA.C14-UNION.EpU.72633 used command '/Radio tagging one Xenian, 10-20 Plaza. Checking for misscount'.
[20:12:30]	Test Testington entered observer.
[20:12:32]	Test Testington exited observer at their location.
[20:12:42]	[ME] Hans Weiß: searches abandoned car
[20:12:44]	Chara HamSlapper (STEAM_0:1:105375391) has disconnected.
[20:12:44]	Test Testington entered observer.
[20:12:45]	CCA.C14-UNION.EpU.72633 used command '/Radio One fire, Requesting 10-55D'.
[20:12:45]	Hans Weiß rolled 39 out of 100.
[20:12:45]	Hans Weiß used command '/Roll'.
[20:12:49]	[OOC] Test Testington: :(
[20:12:52]	[OOC] CCA.C14-UNION.EpU.72633: F
[20:12:55]	Hans Weiß ran 'drop' on item 'Junk Newspaper' (#22630)
[20:12:55]	Hans Weiß has lost a 'Junk Newspaper' #22630.
[20:12:56]	Test Testington exited observer at their location.
[20:13:00]	Test Testington used command '/adminspawnmenu'.
[20:13:06]	[LOOC] Hans Weiß: just some stuff im droppin
[20:13:14]	Test Testington has spawned "Scrap Metal"
[20:13:18]	Hans Weiß ran 'take' on item 'Scrap Metal' (#22644)
[20:13:18]	Hans Weiß has gained a 'Scrap Metal' #22644.
[20:13:24]	CCA.C14-UNION.EpU.72633 has taken 1 damage from CCA.C14-UNION.EpU.72633.
[20:13:27]	CCA.C14-UNION.EpU.72633 has taken 2 damage from CCA.C14-UNION.EpU.72633.
[20:13:34]	[LOOC] Hans Weiß: im thinkin if the old paper is contra
[20:13:41]	[LOOC] Hans Weiß: it might it be buuuut
[20:13:45]	[LOOC] Test Testington: can't say
[20:13:45]	Test Testington entered observer.
[20:13:50]	[OOC] Hans Weiß: i don't really have inv space
[20:13:57]	[OOC] Hans Weiß: meant for looc oops
[20:13:59]	[OOC] CCA.C14-UNION.EpU.72633: Me do enjoy a random Pyro-squid
[20:14:04]	Hans Weiß ran 'drop' on item 'Cloth Scrap' (#22636)
[20:14:04]	Hans Weiß has lost a 'Cloth Scrap' #22636.
[20:14:05]	Hans Weiß ran 'take' on item 'Junk Newspaper' (#22630)
[20:14:05]	Hans Weiß has gained a 'Junk Newspaper' #22630.
[20:14:16]	[ME] Hans Weiß: searches abandoned truck
[20:14:19]	Hans Weiß rolled 58 out of 100.
[20:14:19]	Hans Weiß used command '/Roll'.
[20:14:27]	[OOC] CCA.C14-UNION.EpU.72633: Also I requested a CRM so that fire is gonna rage until one comes around
[20:14:31]	Hans Weiß ran 'drop' on item 'UU Brand Cigarette Pack' (#19106)
[20:14:31]	Hans Weiß has lost a 'UU Brand Cigarette Pack' #19106.
[20:14:43]	[OOC] Test Testington: shit
[20:15:03]	[OOC] Test Testington: forgot aobut htat pyrosquid ngl
[20:15:11]	[OOC] CCA.C14-UNION.EpU.72633: Bruh
[20:15:24]	Test Testington used command '/adminspawnmenu'.
[20:15:36]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[20:15:46]	Test Testington has spawned "Empty Glass Bottle"
[20:15:46]	Test Testington has spawned "Empty Glass Bottle"
[20:15:46]	Test Testington has spawned "Empty Glass Bottle"
[20:15:54]	[OOC] CCA.C14-UNION.EpU.72633: Imagine spraying your gun at long range (This post was made by conserving ammo gang)
[20:16:23]	[ME] Hans Weiß: searches dumpster
[20:16:24]	Hans Weiß rolled 68 out of 100.
[20:16:24]	Hans Weiß used command '/Roll'.
[20:16:28]	[LOOC] Test Testington: not nice
[20:16:28]	[LOOC] Hans Weiß: ayyy
[20:16:28]	Test Testington used command '/adminspawnmenu'.
[20:16:33]	[LOOC] Hans Weiß: almost nice
[20:16:37]	Test Testington has spawned "Sewn Cloth"
[20:16:38]	Test Testington has spawned "Sewn Cloth"
[20:17:01]	Hans Weiß ran 'drop' on item 'Sturdy Needle' (#22627)
[20:17:01]	Hans Weiß has lost a 'Sturdy Needle' #22627.
[20:17:02]	Hans Weiß ran 'drop' on item 'Sturdy Needle' (#22624)
[20:17:02]	Hans Weiß has lost a 'Sturdy Needle' #22624.
[20:17:23]	Hans Weiß ran 'take' on item 'Sewn Cloth' (#22648)
[20:17:23]	Hans Weiß has gained a 'Sewn Cloth' #22648.
[20:17:24]	Hans Weiß ran 'take' on item 'Sewn Cloth' (#22649)
[20:17:24]	Hans Weiß has gained a 'Sewn Cloth' #22649.
[20:17:34]	[ME] Hans Weiß: searches abandoned car
[20:17:36]	Hans Weiß rolled 23 out of 100.
[20:17:36]	Hans Weiß used command '/Roll'.
[20:17:40]	Test Testington used command '/adminspawnmenu'.
[20:17:48]	Hans Weiß ran 'drop' on item 'Plank' (#22642)
[20:17:48]	Hans Weiß has lost a 'Plank' #22642.
[20:17:49]	Test Testington has spawned "Wooden Piece"
[20:17:57]	Test Testington used command '/adminspawnmenu'.
[20:18:01]	Test Testington has spawned "Wooden Piece"
[20:18:26]	[LOOC] Hans Weiß: ill prolly come back for those later tbh
[20:18:56]	[ME] Hans Weiß: searches abandoned car
[20:18:57]	Hans Weiß rolled 93 out of 100.
[20:18:57]	Hans Weiß used command '/Roll'.
[20:19:01]	[LOOC] Hans Weiß: ooooooh
[20:19:20]	Test Testington used command '/adminspawnmenu'.
[20:19:25]	Test Testington has spawned "Nails"
[20:19:25]	Test Testington has spawned "Nails"
[20:19:36]	Hans Weiß ran 'take' on item 'Nails' (#22652)
[20:19:36]	Hans Weiß has gained a 'Nails' #22652.
[20:19:37]	Hans Weiß ran 'take' on item 'Nails' (#22653)
[20:19:37]	Hans Weiß has gained a 'Nails' #22653.
[20:19:45]	[ME] Hans Weiß: searches abandoned car
[20:19:47]	Hans Weiß rolled 34 out of 100.
[20:19:47]	Hans Weiß used command '/Roll'.
[20:19:50]	Test Testington used command '/adminspawnmenu'.
[20:19:55]	Test Testington used command '/adminspawnmenu'.
[20:20:16]	Test Testington used command '/adminspawnmenu'.
[20:20:24]	Test Testington has spawned "Sewn Cloth"
[20:20:25]	Test Testington has spawned "Sewn Cloth"
[20:20:30]	Test Testington used command '/adminspawnmenu'.
[20:20:36]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[20:20:43]	Test Testington has spawned "Small Cooking Pot"
[20:20:43]	Test Testington has spawned "Small Cooking Pot"
[20:20:54]	Hans Weiß ran 'take' on item 'Small Cooking Pot' (#22655)
[20:20:54]	Hans Weiß has gained a 'Small Cooking Pot' #22655.
[20:21:53]	[ME] Hans Weiß: searches garbage can
[20:21:56]	Hans Weiß rolled 91 out of 100.
[20:21:56]	Hans Weiß used command '/Roll'.
[20:21:57]	[IT] Test Testington: It's empty.
[20:22:03]	[LOOC] Hans Weiß: aw
[20:22:12]	[ME] Hans Weiß: searches abandoned truck
[20:22:13]	Hans Weiß rolled 0 out of 100.
[20:22:13]	Hans Weiß used command '/Roll'.
[20:22:15]	[LOOC] Test Testington: OH FUCK YES
[20:22:15]	[LOOC] Hans Weiß: bruh
[20:22:21]	[LOOC] Hans Weiß: out of 100 i got a fukin 0
[20:22:25]	Test Testington used command '/Event NAT 0 ALERT'.
[20:22:34]	[IT] Test Testington: You find a live headcrab. :)
[20:22:36]	[OOC] Hans Weiß: imma cry in a corner
[20:22:39]	Test Testington has spawned a 'NPC [3231][npc_headcrab]'.
[20:22:39]	Hans Weiß has taken 5 damage from npc_headcrab.
[20:22:42]	Hans Weiß has taken 5 damage from npc_headcrab.
[20:22:51]	[OOC] Test Testington: >punching a headcrab"
[20:22:52]	[OOC] Test Testington: lmao
[20:22:57]	[OOC] CCA.C14-UNION.EpU.72633: Bruh, imagine
[20:22:57]	[OOC] Hans Weiß: that's some good eatin
[20:22:58]	[OOC] Test Testington: you must think you're on nebulous
[20:23:04]	[OOC] Test Testington: HOLY SHIT WHAT
[20:23:04]	Test Testington used command '/DoorSetHidden true'.
[20:23:08]	[OOC] Test Testington: IT DIED WHAT THE FUC
[20:23:25]	[OOC] Test Testington: i nerfed fist damage for zombies and headcrabs what thes hirt
[20:23:28]	[OOC] Hans Weiß: you think you vvere slick
[20:23:34]	[OOC] Test Testington: "officer is this dead headcrab contraband"
[20:23:34]	[OOC] CCA.C14-UNION.EpU.72633: Yes
[20:23:53]	Test Testington used command '/PM epu LMASO'.
[20:24:02]	[OOC] Test Testington: i was hoping you would say "Cool."
[20:24:06]	[OOC] Test Testington: but that was so uch better
[20:24:10]	[OOC] Test Testington: or like
[20:24:17]	[OOC] Test Testington: "Okay."
[20:24:26]	[OOC] Test Testington: you might want to refrigerate that.
[20:24:38]	[OOC] Hans Weiß: shouldn't cca be concerned about necrotics in the city?
[20:24:44]	[OOC] CCA.C14-UNION.EpU.72633: We have so many
[20:24:47]	[OOC] Test Testington: that's a parasitic
[20:24:53]	[OOC] Test Testington: and at this point aliens in weird places is normal
[20:24:53]	[OOC] Hans Weiß: whatever it is
[20:25:03]	[OOC] Test Testington: we have bullsquids that start fires
[20:25:06]	Test Testington exited observer at their location.
[20:25:08]	[OOC] Test Testington: this is nothing
[20:25:16]	[ME] Hans Weiß: puts headcrab in fridge
[20:25:36]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[20:25:43]	[OOC] Hans Weiß: i just mike tysoned a headcrab and now im finna eat it later
[20:25:53]	[OOC] CCA.C14-UNION.EpU.72633: DELICIOUS
[20:26:08]	[OOC] CCA.C14-UNION.EpU.72633: Not gonna lie though I would try a headcrab
[20:26:31]	[OOC] CCA.C14-UNION.EpU.72633: Also am I the only one who thinks that headcrabs are the cutest fucking thing
[20:26:34]	[OOC] Test Testington: yes.
[20:26:38]	[OOC] Hans Weiß: yes
[20:26:38]	[OOC] Test Testington: Very much yes.
[20:26:38]	Test Testington entered observer.
[20:26:39]	[OOC] CCA.C14-UNION.EpU.72633: F
[20:26:46]	[OOC] Test Testington: shut the fuck up
[20:26:47]	[OOC] Test Testington: KLEINER
[20:26:57]	[ME] Hans Weiß: searches crate
[20:26:59]	[OOC] CCA.C14-UNION.EpU.72633: Kinda rude not gonna lie, reported
[20:26:59]	Hans Weiß rolled 71 out of 100.
[20:26:59]	Hans Weiß used command '/Roll'.
[20:27:05]	[LOOC] Hans Weiß: das pretty good ngl
[20:27:07]	[OOC] Test Testington: ok kleiner
[20:27:14]	[IT] Test Testington: You find nothing.
[20:27:15]	[OOC] CCA.C14-UNION.EpU.72633: Kleiner is a gamer my guy
[20:27:31]	[ME] Hans Weiß: searches crate
[20:27:33]	Hans Weiß rolled 45 out of 100.
[20:27:33]	Hans Weiß used command '/Roll'.
[20:27:36]	Test Testington used command '/adminspawnmenu'.
[20:27:45]	Test Testington has spawned "Empty Pill Bottle"
[20:27:49]	[OOC] CCA.C14-UNION.EpU.72633: He has a fucking Franchi spas-12 and he will fuck you up with it
[20:27:59]	[OOC] Test Testington: badass kleiner doe
[20:28:03]	[OOC] CCA.C14-UNION.EpU.72633: Truly
[20:28:08]	[OOC] Test Testington: no i mean the model
[20:28:15]	[OOC] CCA.C14-UNION.EpU.72633: Wait that exist?
[20:28:37]	[OOC] Test Testington: yeah
[20:28:40]	[ME] Hans Weiß: searches abandoned truck
[20:28:41]	Hans Weiß rolled 26 out of 100.
[20:28:41]	Hans Weiß used command '/Roll'.
[20:28:52]	[OOC] CCA.C14-UNION.EpU.72633: I subtract my love for the G-mod community
[20:29:09]	[OOC] Test Testington: rollstat str
[20:29:12]	[OOC] Test Testington: my bad
[20:29:15]	Test Testington used command '/RollStat str'.
[20:29:16]	Hans Weiß used command '/RollStat str'.
[20:29:18]	[OOC] CCA.C14-UNION.EpU.72633: Gonna do it anyways
[20:29:19]	[OOC] Test Testington: hey hans
[20:29:21]	CCA.C14-UNION.EpU.72633 used command '/RollStat str'.
[20:29:23]	[OOC] Test Testington: roll strengthi 'm vucrious
[20:29:29]	Test Testington used command '/adminspawnmenu'.
[20:29:32]	[OOC] CCA.C14-UNION.EpU.72633: I got a 85 give me something
[20:29:35]	[OOC] CCA.C14-UNION.EpU.72633: jk
[20:29:37]	[OOC] Hans Weiß: i got 81
[20:29:46]	Test Testington has spawned "Locker Door"
[20:29:48]	[OOC] CCA.C14-UNION.EpU.72633: Shitter
[20:29:54]	[OOC] Test Testington: i wanted to know your bonus
[20:30:03]	[LOOC] Hans Weiß: whole bruh momen
[20:30:09]	[ME] Test Testington: would proceed to tie the individual. Would they resist?
[20:30:13]	Test Testington exited observer at their location.
[20:30:14]	[ME] Test Testington: would take out his combat knife and cut the individual's ties.
[20:30:16]	[ME] Test Testington: would proceed to tie the individual. Would they resist?
[20:30:19]	[LOOC] Hans Weiß: i don't even have space for that
[20:30:19]	Test Testington used command '/PlySearch'.
[20:30:26]	[LOOC] CCA.C14-UNION.EpU.72633: Fuck
[20:30:29]	Test Testington entered observer.
[20:30:31]	Test Testington used command '/PlySearch'.
[20:30:33]	Test Testington ran 'drop' on item 'Combat Knife' (#19067)
[20:30:33]	CCA.C14-UNION.EpU.72633 has lost a 'Combat Knife' #19067.
[20:30:36]	Test Testington entered observer.
[20:30:36]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[20:30:36]	Test Testington exited observer at their location.
[20:30:36]	Test Testington entered observer.
[20:30:43]	Test Testington ran 'take' on item 'Combat Knife' (#19067)
[20:30:43]	Test Testington has gained a 'Combat Knife' #19067.
[20:30:47]	Test Testington entered observer.
[20:30:50]	Test Testington used command '/PlySearch'.
[20:30:51]	Test Testington used command '/PlySearch'.
[20:30:52]	Test Testington used command '/PlySearch'.
[20:30:53]	[OOC] Hans Weiß: i need to buy some storage
[20:30:54]	Test Testington used command '/PlySearch'.
[20:30:56]	Test Testington used command '/PlySearch'.
[20:30:57]	[OOC] CCA.C14-UNION.EpU.72633: Why did my knife stop existing?
[20:30:59]	Test Testington ran 'drop' on item 'Combat Knife' (#19067)
[20:30:59]	Test Testington has lost a 'Combat Knife' #19067.
[20:31:03]	Test Testington entered observer.
[20:31:03]	CCA.C14-UNION.EpU.72633 ran 'take' on item 'Combat Knife' (#19067)
[20:31:03]	CCA.C14-UNION.EpU.72633 has gained a 'Combat Knife' #19067.
[20:31:05]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item 'Combat Knife' (#19067)
[20:31:07]	[OOC] CCA.C14-UNION.EpU.72633: NOICE
[20:31:13]	Test Testington exited observer at their location.
[20:31:15]	Test Testington ran 'drop' on item 'Cars for Dummies, Vol. 2' (#19017)
[20:31:15]	Test Testington has lost a 'Cars for Dummies, Vol. 2' #19017.
[20:31:17]	Test Testington ran 'drop' on item 'Cars for Dummies, Vol. 3' (#19018)
[20:31:17]	Test Testington has lost a 'Cars for Dummies, Vol. 3' #19018.
[20:31:23]	[OOC] Hans Weiß: cause if i get like searched, i prolly have like 6 different things of contraband
[20:31:25]	Test Testington ran 'take' on item 'Cars for Dummies, Vol. 3' (#19018)
[20:31:25]	Test Testington has gained a 'Cars for Dummies, Vol. 3' #19018.
[20:31:28]	Test Testington ran 'take' on item 'Cars for Dummies, Vol. 2' (#19017)
[20:31:28]	Test Testington has gained a 'Cars for Dummies, Vol. 2' #19017.
[20:31:28]	Test Testington entered observer.
[20:31:30]	Test Testington entered observer.
[20:31:35]	[OOC] CCA.C14-UNION.EpU.72633: MAYBE YOU SHOULD TURN IT IN
[20:31:38]	[OOC] Test Testington: what do you have
[20:31:41]	[OOC] Test Testington: that you think is contraband
[20:31:42]	Test Testington exited observer at their location.
[20:32:05]	[OOC] Hans Weiß: a prewar newspaper, the tongs, and some other shit i can't remember what i have
[20:32:15]	[OOC] Hans Weiß: the rope maybe, and nails
[20:32:46]	Test Testington entered observer.
[20:32:48]	Test Testington exited observer at their location.
[20:32:48]	Test Testington entered observer.
[20:32:49]	Test Testington exited observer at their location.
[20:34:25]	Hans Weiß ran 'drop' on item 'Junk Newspaper' (#22630)
[20:34:25]	Hans Weiß has lost a 'Junk Newspaper' #22630.
[20:34:28]	Hans Weiß ran 'drop' on item 'Rope' (#22640)
[20:34:28]	Hans Weiß has lost a 'Rope' #22640.
[20:34:28]	Hans Weiß ran 'drop' on item 'Bag of Screws' (#22639)
[20:34:28]	Hans Weiß has lost a 'Bag of Screws' #22639.
[20:34:29]	Hans Weiß ran 'drop' on item 'Nails' (#22653)
[20:34:29]	Hans Weiß has lost a 'Nails' #22653.
[20:34:30]	Hans Weiß ran 'drop' on item 'Nails' (#22652)
[20:34:30]	Hans Weiß has lost a 'Nails' #22652.
[20:34:40]	Hans Weiß ran 'drop' on item 'Blacksmith Tongs' (#22643)
[20:34:40]	Hans Weiß has lost a 'Blacksmith Tongs' #22643.
[20:34:49]	[OOC] CCA.C14-UNION.EpU.72633: Nails and screw don't count as contraband right?
[20:35:02]	[OOC] CCA.C14-UNION.EpU.72633: No they don't I just looked
[20:35:03]	[OOC] CCA.C14-UNION.EpU.72633: Neato
[20:35:07]	CCA.C14-UNION.EpU.72633 ran 'take' on item 'Blacksmith Tongs' (#22643)
[20:35:07]	CCA.C14-UNION.EpU.72633 has gained a 'Blacksmith Tongs' #22643.
[20:35:19]	[OOC] Test Testington: i can't say
[20:35:19]	Test Testington entered observer.
[20:35:23]	[OOC] Test Testington: but yeah
[20:35:24]	Test Testington exited observer at their location.
[20:35:24]	Test Testington entered observer.
[20:35:25]	Test Testington exited observer at their location.
[20:35:33]	[OOC] Test Testington: i remember people finding rocks and turning them in as contraband
[20:35:34]	Hans Weiß used command '/Apply'.
[20:35:36]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[20:35:36]	Hans Weiß ran 'take' on item 'Nails' (#22652)
[20:35:36]	Hans Weiß has gained a 'Nails' #22652.
[20:35:39]	[OOC] CCA.C14-UNION.EpU.72633: Lmao
[20:35:39]	Hans Weiß ran 'take' on item 'Nails' (#22653)
[20:35:39]	Hans Weiß has gained a 'Nails' #22653.
[20:35:41]	Hans Weiß ran 'take' on item 'Bag of Screws' (#22639)
[20:35:41]	Hans Weiß has gained a 'Bag of Screws' #22639.
[20:35:42]	[OOC] Test Testington: like
[20:35:42]	CCA.C14-UNION.EpU.72633 used command '/OldViewData hans'.
[20:35:43]	Hans Weiß ran 'take' on item 'Rope' (#22640)
[20:35:43]	Hans Weiß has gained a 'Rope' #22640.
[20:35:44]	Hans Weiß ran 'take' on item 'Junk Newspaper' (#22630)
[20:35:44]	Hans Weiß has gained a 'Junk Newspaper' #22630.
[20:35:52]	[OOC] Test Testington: they never said their logic
[20:36:05]	[OOC] Test Testington: but i'll bet my bottom dollar it was because you could equip it as a weapon]
[20:36:05]	[OOC] Hans Weiß: at least i have some thought process to what might be contra
[20:36:25]	[OOC] Hans Weiß: tbh though i thought the prewar news paper would be
[20:36:31]	[OOC] CCA.C14-UNION.EpU.72633: No why would it?
[20:36:39]	Test Testington entered observer.
[20:36:41]	Test Testington exited observer at their location.
[20:36:41]	[OOC] CCA.C14-UNION.EpU.72633: It's just a newspaper
[20:36:43]	Test Testington entered observer.
[20:36:44]	Test Testington exited observer at their location.
[20:36:45]	Test Testington entered observer.
[20:36:45]	Test Testington exited observer at their location.
[20:36:46]	Test Testington entered observer.
[20:36:46]	Test Testington exited observer at their location.
[20:36:49]	[OOC] CCA.C14-UNION.EpU.72633: Who the fuck cares about that
[20:36:50]	[OOC] Hans Weiß: idk
[20:36:51]	[OOC] Test Testington: memories of the past aren't illegal
[20:36:55]	[OOC] Test Testington: it's not like 1984
[20:36:57]	Test Testington entered observer.
[20:36:58]	Test Testington exited observer at their location.
[20:37:20]	[OOC] CCA.C14-UNION.EpU.72633: April fools day but nothing special happens
[20:37:38]	Hans Weiß ran 'drop' on item 'Small Cooking Pot' (#22655)
[20:37:38]	Hans Weiß has lost a 'Small Cooking Pot' #22655.
[20:38:29]	[OOC] Hans Weiß: time to cook me some headcrab
[20:38:35]	[OOC] CCA.C14-UNION.EpU.72633: Hey Q do you remember that time somebody other than SHOOTER actually got away while resisting arrest?
[20:38:40]	[OOC] CCA.C14-UNION.EpU.72633: Me neither
[20:39:06]	[OOC] Hans Weiß: i mean i can try if you wanna have another example to use
[20:39:40]	[ME] Hans Weiß: tries to tear off headcrab legs
[20:39:46]	Hans Weiß used command '/RollStat str'.
[20:40:16]	[OOC] CCA.C14-UNION.EpU.72633: Are you implying that you would escape a EpU?
[20:40:17]	[OOC] Hans Weiß: so do y'all think headcrabs, like real crabs would have the best meat in the legs n shit?
[20:40:24]	[OOC] Hans Weiß: i can try
[20:40:34]	[OOC] Test Testington: hold on a fucking second
[20:40:35]	Test Testington entered observer.
[20:40:35]	Test Testington exited observer at their location.
[20:40:36]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[20:40:38]	Test Testington entered observer.
[20:40:41]	[OOC] Test Testington: aslo
[20:40:41]	[OOC] Test Testington: no
[20:40:54]	[OOC] Test Testington: wait wha
[20:40:55]	[OOC] Test Testington: t4wgersfdb
[20:40:56]	Test Testington exited observer at their location.
[20:41:01]	[OOC] Hans Weiß: kinky
[20:41:19]	[OOC] CCA.C14-UNION.EpU.72633: What death is am I hearing through the text on my screen?
[20:41:25]	Test Testington has gained a 'Breen's Water' #22658.
[20:41:25]	Test Testington used command '/CharGiveItem test breen's'.
[20:41:26]	Test Testington ran 'Drink' on item 'Breen's Water' (#22658)
[20:42:06]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit going 10-7'.
[20:42:11]	FB|| light ROOM loaded the character 'Journey Robertson'
[20:42:29]	[OOC] Hans Weiß: wonder if i can make a shitty scrap version of a stun stick with double A's, scrap, and wires
[20:42:41]	[OOC] Test Testington: now you're thinking with your noggin
[20:42:47]	[OOC] Test Testington: problem is that's just the mark 1 stunstick
[20:42:48]	Test Testington entered observer.
[20:42:53]	[OOC] Journey Robertson: Kinda shit shit
[20:42:56]	[OOC] Test Testington: lmwao
[20:43:07]	[OOC] Hans Weiß: would still work tho is what im sayin
[20:43:16]	[OOC] Test Testington: oh
[20:43:20]	[OOC] Test Testington: yeah
[20:43:28]	[OOC] Journey Robertson: Do you have a grip thats shock proof?
[20:43:33]	[OOC] Hans Weiß: rope?
[20:44:08]	[OOC] Hans Weiß: dude walks in while im whippin up some headcrab
[20:44:16]	[OOC] Journey Robertson: I was tempted to stay
[20:44:18]	[OOC] Hans Weiß: and possibly making an illegal weapon
[20:44:24]	Test Testington used command '/ToggleRaise'.
[20:44:29]	[LOOC] Hans Weiß: /me sniff
[20:44:30]	Test Testington used command '/ToggleRaise'.
[20:44:35]	Test Testington has spawned a 'Entity [3237][ix_testent5]'.
[20:44:39]	Test Testington has spawned a 'Entity [3237][ix_testent5]'.
[20:44:41]	Journey Robertson ran 'View' on item 'Notepad' (#21889)
[20:44:41]	[ME] Hans Weiß: pours some water into pot
[20:44:44]	Journey Robertson ran 'View' on item 'Notepad' (#21889)
[20:44:46]	Hans Weiß has taken 200 damage from worldspawn.
[20:44:46]	worldspawn has killed Hans Weiß.
[20:44:48]	[LOOC] Test Testington: WTF
[20:44:49]	[OOC] Hans Weiß: fuk
[20:44:51]	[OOC] Test Testington: WTF
[20:44:51]	Journey Robertson ran 'View' on item 'Notepad' (#21889)
[20:44:52]	[OOC] Test Testington: YOU LIKE
[20:44:54]	[OOC] Test Testington: HIT YOUR HEAD ON IT
[20:44:55]	[OOC] Test Testington: AND DIED
