[15:03:47]	hnbug01 has connected.
[19:43:31]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:43:46]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:44:01]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:44:16]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:44:31]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:44:46]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:45:01]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:45:16]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:45:31]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:45:47]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:46:02]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:46:17]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:46:32]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:46:47]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:47:02]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:47:17]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:47:32]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:47:47]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:48:02]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:48:17]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:48:32]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:48:47]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:49:02]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:49:17]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:49:32]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:49:47]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:50:02]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:50:17]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:50:32]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:50:47]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:51:02]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:51:17]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:51:32]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:51:47]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:52:02]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:52:17]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:52:32]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:52:47]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:53:02]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:53:17]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:53:32]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:53:47]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:54:03]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:54:18]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:54:33]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:54:48]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:55:03]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:55:18]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:55:33]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:55:48]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:56:03]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:56:18]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:56:33]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:56:33]	Feng Yi 'Eric' Hseuh has killed Feng Yi 'Eric' Hseuh.
[20:06:06]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
[20:31:22]	hnbug01 (STEAM_0:1:575208276) has disconnected (timed out).
