[09:50:01]	MLG Painevan has connected.
[20:37:21]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[20:37:24]	Eric Brown used command '/ToggleRaise'.
[20:37:26]	[ME] CCA.C14-UNION.i5.39867: slices up this chumtoad
[20:37:30]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[20:37:38]	CCA.C14-UNION.i5.39867 has gained a 'Raw Chumtoad Meat' #25661.
[20:37:38]	Eric Brown used command '/CharGiveItem union Raw chumtoad'.
[20:37:49]	[ME] CCA.C14-UNION.i5.39867: inspects the box of needles, putting it into his pocket.
[20:37:51]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Box of Needles' (#25556)
[20:37:51]	CCA.C14-UNION.i5.39867 has gained a 'Box of Needles' #25556.
[20:38:12]	[ME] CCA.C14-UNION.i5.39867: grips onto the fence, doing the same as last time to hop over
[20:38:24]	[ME] CCA.C14-UNION.i5.39867: hops back down
[20:38:25]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Box of Needles' (#25557)
[20:38:25]	CCA.C14-UNION.i5.39867 has gained a 'Box of Needles' #25557.
[20:38:30]	[ME] CCA.C14-UNION.i5.39867: grips the box of needles, as well as the rebar
[20:38:33]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Charred Metal' (#25547)
[20:38:33]	CCA.C14-UNION.i5.39867 has gained a 'Charred Metal' #25547.
[20:38:37]	[ME] CCA.C14-UNION.i5.39867: scales the wall
[20:38:42]	[LOOC] CCA.C14-UNION.i5.39867: fence*
[20:38:50]	Morgan Beck has spawned a 'NPC [1329][npc_zombie]'.
[20:39:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[20:39:18]	Morgan Beck exited observer at their location.
[20:39:20]	Morgan Beck entered observer.
[20:39:34]	Morgan Beck exited observer at their location.
[20:40:13]	[LOOC] Eric Brown: VOID THE PUNCH
[20:40:32]	[OOC] CCA.C14-UNION.i5.39867: whens the event starting?
[20:40:37]	[OOC] Eric Brown: already happening
[20:40:49]	[OOC] Journey Robertson: Civvies hogging the event for once.
[20:41:17]	[OOC] CCA.C14-UNION.i5.39867: sad that no one attends
[20:41:29]	Morgan Beck entered observer.
[20:41:31]	[OOC] Eric Brown: same
[20:41:33]	Eric Brown used command '/DoorSetHidden true'.
[20:41:47]	Morgan Beck exited observer at their location.
[20:41:48]	Morgan Beck entered observer.
[20:41:49]	Morgan Beck exited observer at their location.
[20:41:55]	[OOC] CCA.C14-UNION.i5.39867: we really need to revive the server somehow
[20:42:01]	[OOC] Eric Brown: i wnat to ;-;
[20:42:01]	Ollie Garner loaded the character 'Marc 'Watcher 1' Temple'
[20:42:08]	[OOC] CCA.C14-UNION.i5.39867: the servers called
[20:42:11]	[OOC] CCA.C14-UNION.i5.39867: project revival
[20:42:11]	[OOC] CCA.C14-UNION.i5.39867: lol
[20:42:11]	[OOC] Eric Brown: my goal is to get 40 active ppl by november
[20:42:15]	[OOC] Eric Brown: you right
[20:42:27]	[OOC] CCA.C14-UNION.i5.39867: how many do we have?
[20:42:33]	[OOC] Eric Brown: 3
[20:43:22]	[OOC] CCA.C14-UNION.i5.39867: we have more than 3
[20:43:29]	[OOC] Eric Brown: i mena like
[20:43:31]	[ME] Journey Robertson: Simply leans onto the wall thinking while looking at the Alien boi
[20:43:33]	[OOC] Eric Brown: active on the gmae sever
[20:43:40]	[OOC] CCA.C14-UNION.i5.39867: yea?
[20:43:49]	[OOC] CCA.C14-UNION.i5.39867: you, ollie, chief, janet, me, lightroom
[20:43:51]	[OOC] Eric Brown: we do?
[20:43:59]	[OOC] CCA.C14-UNION.i5.39867: pain
[20:44:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[20:44:07]	[OOC] Eric Brown: well janet hasn't been on, ollie's been playing yakuza, pain is one of them, chief is on WH40KRP a lot
[20:44:16]	[OOC] Eric Brown: i should say
[20:44:20]	[OOC] Eric Brown: consistent returning players
[20:44:22]	[OOC] CCA.C14-UNION.i5.39867: janet's PC
[20:44:24]	[OOC] CCA.C14-UNION.i5.39867: is destroyed
[20:44:27]	[OOC] Eric Brown: yeah i know
[20:44:30]	[OOC] Eric Brown: but i still count it
[20:44:34]	[OOC] CCA.C14-UNION.i5.39867: he's in the process of fixing it tho, he wants to come on
[20:44:39]	[OOC] Eric Brown: no i know
[20:44:50]	[OOC] Eric Brown: i just count it for people who get on, no matter what the reason
[20:44:53]	[OOC] CCA.C14-UNION.i5.39867: so who are the 3?
[20:44:59]	[OOC] Eric Brown: lightroom, me, pain
[20:45:05]	[OOC] Eric Brown: i haven't known much becuase work
[20:45:08]	[OOC] Eric Brown: so
[20:45:17]	[OOC] CCA.C14-UNION.i5.39867: me when
[20:45:18]	[OOC] Journey Robertson: TRULY F
[20:45:21]	[OOC] CCA.C14-UNION.i5.39867: not counted
[20:45:46]	[OOC] Leman Russ: wh40krp server i play is dying, only using it for fucking around and being a cool space marine instead of actual rp now
[20:45:46]	[ME] Eric Brown: stands in a defensive position with his staff.
[20:45:48]	Eric Brown used command '/ToggleRaise'.
[20:46:06]	[OOC] CCA.C14-UNION.i5.39867: is ur swrp server just dead 
[20:46:10]	[OOC] CCA.C14-UNION.i5.39867: since ur focusing on hl2rp?
[20:46:31]	[OOC] CCA.C14-UNION.i5.39867: is there anyone in the discord who is there solely for the swrp?
[20:46:37]	[OOC] Eric Brown: yeah, unfrotunately. HL2RP is way more fruitful for growing a community
[20:46:40]	[OOC] Eric Brown: if there are, they're not anymore
[20:46:43]	[OOC] Marc 'Watcher 1' Temple: local rebel sees some fuckery and instantly nopes the fuck out]\
[20:46:47]	[OOC] Leman Russ: i'm thrawn in swrp i want it to be more active ;-;
[20:46:48]	[OOC] Journey Robertson: Bruh
[20:46:48]	[OOC] Eric Brown: LMAO
[20:46:55]	Eric Brown used command '/ToggleRaise'.
[20:46:59]	Eric Brown used command '/ToggleRaise'.
[20:47:08]	[OOC] CCA.C14-UNION.i5.39867: i currently play on a hl2rp server
[20:47:10]	Marc 'Watcher 1' Temple entered observer.
[20:47:14]	[OOC] CCA.C14-UNION.i5.39867: thats still runnin' nutscript
[20:47:18]	Eric Brown used command '/ToggleRaise'.
[20:47:24]	Leman Russ rolled 30 out of 100.
[20:47:24]	Leman Russ used command '/Roll'.
[20:47:25]	[OOC] Eric Brown: our swrp serer runs on NS because i haven't updated it
[20:47:26]	[OOC] CCA.C14-UNION.i5.39867: best framework
[20:47:26]	Marc 'Watcher 1' Temple used command '/adminspawnmenu'.
[20:47:29]	[OOC] CCA.C14-UNION.i5.39867: imo
[20:47:30]	Marc 'Watcher 1' Temple has spawned "Plank"
[20:47:35]	Leman Russ ran 'take' on item 'Plank' (#25662)
[20:47:35]	Leman Russ has gained a 'Plank' #25662.
[20:47:38]	[OOC] CCA.C14-UNION.i5.39867: helix is just nutscript but stolen
[20:47:39]	Marc 'Watcher 1' Temple exited observer at their location.
[20:47:40]	[OOC] CCA.C14-UNION.i5.39867: and more gimmicks
[20:47:43]	[OOC] Eric Brown: literally
[20:47:44]	Marc 'Watcher 1' Temple entered observer.
[20:47:48]	[OOC] Eric Brown: alex grist stole NS
[20:47:49]	Marc 'Watcher 1' Temple exited observer at their location.
[20:47:51]	[OOC] Eric Brown: mdae it look prettier
[20:47:53]	Eric Brown entered observer.
[20:47:53]	Eric Brown exited observer at their location.
[20:47:53]	Eric Brown entered observer.
[20:47:53]	Eric Brown exited observer at their location.
[20:47:58]	[OOC] Eric Brown: destroyed the scanners
[20:48:01]	[OOC] Eric Brown: and called it a day.
[20:48:09]	[OOC] CCA.C14-UNION.i5.39867: the thing is
[20:48:12]	[OOC] CCA.C14-UNION.i5.39867: the server is ran by a minge
[20:48:15]	[OOC] CCA.C14-UNION.i5.39867: minges*
[20:48:18]	[OOC] Eric Brown: what, nebulous?
[20:48:22]	[OOC] CCA.C14-UNION.i5.39867: no
[20:48:23]	[OOC] CCA.C14-UNION.i5.39867: lol
[20:48:25]	[OOC] Eric Brown: what server
[20:48:26]	[OOC] CCA.C14-UNION.i5.39867: xenoflux rp
[20:48:33]	[OOC] CCA.C14-UNION.i5.39867: its run by minges and 
[20:48:34]	[OOC] Eric Brown: is that what alex grist runs now or something
[20:48:35]	[OOC] Eric Brown: oh
[20:48:38]	[OOC] Eric Brown: the NS one you mean
[20:48:41]	[OOC] CCA.C14-UNION.i5.39867: yep
[20:48:50]	[OOC] CCA.C14-UNION.i5.39867: my bad
[20:48:55]	[OOC] Eric Brown: no you're good
[20:48:58]	[OOC] CCA.C14-UNION.i5.39867: the nutscript one is called xenoflux rp and its run by minges
[20:49:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[20:49:02]	[OOC] CCA.C14-UNION.i5.39867: the owner sent a minge onto the server
[20:49:06]	Eric Brown entered observer.
[20:49:07]	Eric Brown exited observer at their location.
[20:49:07]	[OOC] Journey Robertson: Xenobe walking without using his legs
[20:49:07]	Eric Brown entered observer.
[20:49:07]	Eric Brown exited observer at their location.
[20:49:11]	[OOC] CCA.C14-UNION.i5.39867: to ruin rp intentionally
[20:49:14]	[OOC] CCA.C14-UNION.i5.39867: and the minge started hacking
[20:49:17]	[OOC] CCA.C14-UNION.i5.39867: and crashed the server twice
[20:49:32]	Leman Russ ran 'drop' on item 'Plank' (#25662)
[20:49:32]	Leman Russ has lost a 'Plank' #25662.
[20:49:33]	[OOC] CCA.C14-UNION.i5.39867: and owner told staff not to ban him
[20:49:38]	[OOC] CCA.C14-UNION.i5.39867: because it was funny or something
[20:49:42]	Leman Russ ran 'take' on item 'Plank' (#25662)
[20:49:42]	Leman Russ has gained a 'Plank' #25662.
[20:49:54]	Leman Russ ran 'drop' on item 'Empty Cooking Oil Bottle' (#25656)
[20:49:54]	Leman Russ has lost a 'Empty Cooking Oil Bottle' #25656.
[20:49:55]	[LOOC] Journey Robertson: /me it you-
[20:49:58]	[LOOC] Eric Brown: oh
[20:50:11]	Leman Russ ran 'drop' on item 'UU Brand Bread' (#25655)
[20:50:11]	Leman Russ has lost a 'UU Brand Bread' #25655.
[20:50:16]	[ME] Eric Brown: crouches down and allows the citizen to stand on him.
[20:50:42]	[ME] Journey Robertson: Slowly stands ontop of the big boi alien and grabs up onto the ledge
[20:50:53]	Eric Brown entered observer.
[20:50:53]	Eric Brown exited observer at their location.
[20:50:56]	Leman Russ ran 'drop' on item 'Standard Grade Ration' (#25654)
[20:50:56]	Leman Russ has lost a 'Standard Grade Ration' #25654.
[20:50:57]	CCA.C14-UNION.i5.39867 used command '/PM journey remember that time u voided something that happened icly because i told you to?'.
[20:51:00]	CCA.C14-UNION.i5.39867 used command '/PM journey i owe you one for that'.
[20:51:04]	Eric Brown entered observer.
[20:51:06]	Journey Robertson used command '/Reply Got it'.
[20:51:07]	CCA.C14-UNION.i5.39867 used command '/PM journey remember that i owe you one oocly'.
[20:51:08]	[OOC] Journey Robertson: brb
[20:51:12]	Journey Robertson used command '/Reply K'.
[20:51:15]	Leman Russ ran 'drop' on item 'Plank' (#25662)
[20:51:15]	Leman Russ has lost a 'Plank' #25662.
[20:51:21]	CCA.C14-UNION.i5.39867 used command '/PM journey when something comes up ive got your back'.
[20:51:24]	CCA.C14-UNION.i5.39867 used command '/PM journey anything lol'.
[20:52:04]	Eric Brown exited observer at their location.
[20:52:04]	Eric Brown entered observer.
[20:52:09]	Eric Brown exited observer at their location.
[20:52:09]	Eric Brown entered observer.
[20:52:16]	Eric Brown exited observer at their location.
[20:52:17]	Eric Brown entered observer.
[20:52:17]	Eric Brown exited observer at their location.
[20:52:25]	Eric Brown entered observer.
[20:52:26]	Eric Brown exited observer at their location.
[20:52:40]	Eric Brown entered observer.
[20:52:43]	Eric Brown exited observer at their location.
[20:52:44]	Eric Brown entered observer.
[20:52:44]	Eric Brown exited observer at their location.
[20:52:48]	[OOC] CCA.C14-UNION.i5.39867: as ive said before the reason i rlly like this server is because it has a really non-toxic community
[20:52:54]	[OOC] Eric Brown: thank you! we try
[20:53:09]	[OOC] Eric Brown: being toxic over HL2RP is kinda cringe doe
[20:53:09]	[OOC] CCA.C14-UNION.i5.39867: with other servers its very very toxic
[20:53:09]	Eric Brown entered observer.
[20:53:11]	[OOC] CCA.C14-UNION.i5.39867: yea
[20:53:18]	Eric Brown exited observer at their location.
[20:53:18]	[OOC] CCA.C14-UNION.i5.39867: most servers are run by really toxic people
[20:53:19]	Eric Brown entered observer.
[20:53:19]	[OOC] Leman Russ: I'LL CUT YER ASS IF YE TAKE MAE INVESTIGATIONS LADDIE
[20:53:24]	[OOC] CCA.C14-UNION.i5.39867: i was in a server 
[20:53:29]	[OOC] CCA.C14-UNION.i5.39867: i was t-mod in it
[20:53:32]	[OOC] CCA.C14-UNION.i5.39867: the owner was ddosing people
[20:53:34]	[OOC] Journey Robertson: Can i flag up my guy?
[20:53:36]	[OOC] CCA.C14-UNION.i5.39867: who went into his server
[20:53:40]	[OOC] Eric Brown: sure
[20:53:43]	[OOC] Journey Robertson: BET
[20:53:47]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[20:53:47]	[OOC] CCA.C14-UNION.i5.39867: and using it as blackmail
[20:53:52]	[OOC] Eric Brown: wow that's wonderufl
[20:53:54]	Eric Brown exited observer at their location.
[20:53:56]	Eric Brown entered observer.
[20:53:56]	Eric Brown exited observer at their location.
[20:54:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[20:54:08]	[OOC] CCA.C14-UNION.i5.39867: i ended up having to report him to ban him from getting a clockwork key
[20:54:11]	[OOC] CCA.C14-UNION.i5.39867: because he was abusing it
[20:54:14]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit is 10-8, status is green. Updating 10-20 to Plaza. UNION officers report'.
[20:54:18]	[OOC] CCA.C14-UNION.i5.39867: he was a minge too he minged on his own server
[20:54:20]	[OOC] Eric Brown: cax ban time
[20:54:21]	Eric Brown entered observer.
[20:54:22]	Eric Brown exited observer at their location.
[20:54:35]	Eric Brown used command '/ToggleRaise'.
[20:54:58]	CCA.C14-UNION.i5.39867 used command '/Radio Copy that, U-726. Status here is green, U-398 posted at workdesk.'.
[20:55:03]	CCA.C14-UNION.i5.39867 used command '/Radio Nothing unusual to report.'.
[20:55:05]	Eric Brown used command '/ToggleRaise'.
[20:55:14]	CCA.C14-UNION.EpU.72633 used command '/Radio Copy'.
[20:55:24]	Marc 'Watcher 1' Temple entered observer.
[20:55:27]	Marc 'Watcher 1' Temple has spawned a 'NPC [821][npc_zombie]'.
[20:55:30]	Marc 'Watcher 1' Temple has spawned a 'NPC [2666][npc_zombie]'.
[20:55:32]	Marc 'Watcher 1' Temple exited observer at their location.
[20:55:37]	Eric Brown entered observer.
[20:55:38]	Eric Brown used command '/ToggleRaise'.
[20:55:42]	Eric Brown used command '/ToggleRaise'.
[20:55:44]	Eric Brown used command '/ToggleRaise'.
[20:55:51]	Eric Brown entered observer.
[20:55:55]	Marc 'Watcher 1' Temple entered observer.
[20:55:57]	Marc 'Watcher 1' Temple has spawned a 'NPC [821][npc_zombie]'.
[20:55:58]	Marc 'Watcher 1' Temple exited observer at their location.
[20:56:09]	Eric Brown entered observer.
[20:56:11]	Marc 'Watcher 1' Temple entered observer.
[20:56:12]	Eric Brown exited observer at their location.
[20:56:12]	Eric Brown entered observer.
[20:56:13]	[OOC] CCA.C14-UNION.i5.39867: is there an order 66 in cca
[20:56:13]	Marc 'Watcher 1' Temple has spawned a 'NPC [821][npc_zombie]'.
[20:56:15]	Marc 'Watcher 1' Temple exited observer at their location.
[20:56:17]	[OOC] CCA.C14-UNION.i5.39867: where we have to kill high ranking units
[20:56:17]	[OOC] Eric Brown: yes
[20:56:18]	[OOC] CCA.C14-UNION.i5.39867: lol
[20:56:19]	[OOC] Eric Brown: oh
[20:56:19]	[OOC] Eric Brown: no
[20:56:21]	Eric Brown exited observer at their location.
[20:56:25]	[OOC] Eric Brown: i was gonna say code valkyrie
[20:56:25]	Eric Brown entered observer.
[20:56:28]	[OOC] CCA.C14-UNION.EpU.72633: UNION EpU do be a gumball man
[20:56:29]	[OOC] CCA.C14-UNION.i5.39867: whats that
[20:56:35]	[OOC] Eric Brown: it's whne you kill all CCA
[20:56:47]	[OOC] CCA.C14-UNION.EpU.72633: Kinda dumbo
[20:56:52]	Eric Brown entered observer.
[20:56:55]	Eric Brown exited observer at their location.
[20:56:56]	[OOC] CCA.C14-UNION.i5.39867: me walking past epu not being intimidated by his beady blue eyes :sunglasses:
[20:56:57]	Eric Brown entered observer.
[20:56:58]	Eric Brown exited observer at their location.
[20:56:59]	Eric Brown has spawned a 'NPC [821][npc_fastzombie]'.
[20:57:01]	Eric Brown entered observer.
[20:57:02]	Eric Brown exited observer at their location.
[20:57:02]	Eric Brown has spawned a 'NPC [2671][npc_fastzombie]'.
[20:57:06]	Eric Brown has spawned a 'NPC [2666][npc_fastzombie]'.
[20:57:08]	Eric Brown has spawned a 'NPC [2671][npc_fastzombie]'.
[20:57:11]	[OOC] CCA.C14-UNION.EpU.72633: If only my eyes were glowing and not two gumballs
[20:57:18]	[OOC] Leman Russ: if only
[20:57:25]	Eric Brown has spawned a 'NPC [2233][npc_fastzombie]'.
[20:57:27]	Eric Brown entered observer.
[20:57:27]	Eric Brown exited observer at their location.
[20:57:28]	[OOC] Marc 'Watcher 1' Temple: imagine have glowing eyes, post was made by DvL gang
[20:57:31]	Eric Brown has spawned a 'NPC [2671][npc_fastzombie]'.
[20:57:32]	Eric Brown entered observer.
[20:57:37]	[OOC] CCA.C14-UNION.i5.39867: cringe
[20:57:37]	Eric Brown used command '/ToggleRaise'.
[20:57:42]	Marc 'Watcher 1' Temple entered observer.
[20:57:44]	[OOC] CCA.C14-UNION.EpU.72633: Truly cringe
[20:57:46]	Eric Brown has spawned a 'NPC [2671][npc_zombie]'.
[20:57:47]	[OOC] CCA.C14-UNION.i5.39867: imagine having standard issue civil protection uniform
[20:57:50]	Marc 'Watcher 1' Temple exited observer at their location.
[20:57:54]	[OOC] CCA.C14-UNION.i5.39867: this post was made by overwatch transhuman arm
[20:58:00]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit updating 10-20 to Outpost storm for camera duty'.
[20:58:05]	Eric Brown exited observer at their location.
[20:58:06]	Eric Brown entered observer.
[20:58:06]	Eric Brown exited observer at their location.
[20:58:10]	CCA.C14-UNION.i5.39867 used command '/Radio Understood.'.
[20:58:11]	[OOC] Leman Russ: imagine not getting your eyes removed and replaced with glowing yellow ones
[20:58:16]	Eric Brown used command '/ToggleRaise'.
[20:58:21]	[OOC] Leman Russ: this post was made by EpU(not union) gang
[20:58:23]	Eric Brown used command '/ToggleRaise'.
[20:58:25]	[OOC] CCA.C14-UNION.i5.39867: imagine having eyes
[20:58:29]	[OOC] CCA.C14-UNION.i5.39867: this post was made by stalker gang
[20:58:32]	Eric Brown entered observer.
[20:58:33]	Eric Brown exited observer at their location.
[20:58:33]	Eric Brown entered observer.
[20:58:34]	Eric Brown used command '/ToggleRaise'.
[20:58:40]	[OOC] Eric Brown: imagine not having your own game
[20:58:42]	[OOC] Leman Russ: imagine not helping the friendly xenobe out
[20:58:47]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[20:58:50]	[OOC] Eric Brown: this post was made by s.t.a.l.k.e.r. gang
[20:58:51]	[OOC] Leman Russ: this post was made by leman russ and the primarchs gang
[20:59:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[20:59:05]	[OOC] CCA.C14-UNION.EpU.72633: beta EpU is cooler than the current UNION EpU just because his eyes look good
[20:59:13]	[OOC] Leman Russ: affirmative
[20:59:17]	[OOC] Eric Brown: tru, the alyx remaster is tight
[20:59:25]	Leman Russ rolled 95 out of 100.
[20:59:25]	Leman Russ used command '/Roll'.
[20:59:26]	[OOC] CCA.C14-UNION.EpU.72633: beta EpU looks better than a lot of things honestly
[20:59:27]	Eric Brown used command '/adminspawnmenu'.
[20:59:34]	CCA.C14-UNION.EpU.72633 used command '/ViewCamera'.
[20:59:41]	CCA.C14-UNION.EpU.72633 used command '/ViewCamera'.
[20:59:43]	Eric Brown has gained a 'Citizen ID' #25663.
[20:59:43]	Eric Brown used command '/CreateCID John Wilson 40124'.
[20:59:49]	CCA.C14-UNION.EpU.72633 used command '/ViewCamera'.
[20:59:53]	Eric Brown ran 'drop' on item 'Citizen ID' (#25663)
[20:59:53]	Eric Brown has lost a 'Citizen ID' #25663.
[20:59:56]	CCA.C14-UNION.EpU.72633 used command '/ViewCamera'.
[21:00:03]	Leman Russ ran 'take' on item 'Citizen ID' (#25663)
[21:00:03]	Leman Russ has gained a 'Citizen ID' #25663.
[21:00:05]	[OOC] CCA.C14-UNION.i5.39867: me awaiting helix dvls arrival
[21:00:41]	CCA.C14-UNION.EpU.72633 used command '/PM Eric how do you feel on promoting 398 if he becomes more active?'.
[21:00:55]	Eric Brown used command '/PM epu i mean i'm not really agianst it, but yeah he has to be more active'.
[21:01:05]	[OOC] CCA.C14-UNION.i5.39867: will be going off soon
[21:01:12]	[OOC] CCA.C14-UNION.i5.39867: the combine locks look different
[21:01:16]	Eric Brown has spawned a 'Entity [2231][pfx2_01]'.
[21:01:19]	Eric Brown has spawned a 'Entity [2671][pfx2_01]'.
[21:01:20]	[OOC] CCA.C14-UNION.i5.39867: is there a replacement or something for them?
[21:01:21]	Eric Brown has spawned a 'Entity [2231][pfx2_01]'.
[21:01:22]	Eric Brown has spawned a 'Entity [2671][pfx2_00]'.
[21:01:23]	[OOC] CCA.C14-UNION.i5.39867: that i downloaded?
[21:01:27]	CCA.C14-UNION.i5.39867 used command '/Radio Sparkles at workdesk.'.
[21:01:28]	CCA.C14-UNION.i5.39867 used command '/Radio Green.'.
[21:01:30]	[OOC] Eric Brown: ther's one in the recommended pack
[21:01:31]	CCA.C14-UNION.i5.39867 used command '/Radio Moving away.'.
[21:01:33]	CCA.C14-UNION.EpU.72633 used command '/Radio 10-4, 10-76'.
[21:01:45]	Eric Brown has spawned a 'NPC [2231][npc_icky]'.
[21:01:53]	CCA.C14-UNION.i5.39867 used command '/Radio Is that a shark?'.
[21:01:57]	CCA.C14-UNION.i5.39867 used command '/Radio Oh god.'.
[21:01:59]	[IT] Eric Brown: A weird shark fish comes up.
[21:02:02]	CCA.C14-UNION.EpU.72633 used command '/Radio 10-9?'.
[21:02:03]	[IT] Eric Brown: It's flopping pathetically.
[21:02:06]	[IT] Eric Brown: It's flopping pathetically.
[21:02:10]	CCA.C14-UNION.i5.39867 used command '/Radio A shark...'.
[21:02:15]	CCA.C14-UNION.i5.39867 used command '/Radio Shark xenian.'.
[21:02:21]	CCA.C14-UNION.i5.39867 used command '/Radio Has came out of the sparkles, it seems like.'.
[21:02:33]	[IT] Eric Brown: It's flopping pathetically.
[21:02:44]	[IT] Eric Brown: It looks like a goldfish flopping around.
[21:02:49]	[IT] Eric Brown: But.. More scary.
[21:02:50]	[LOOC] CCA.C14-UNION.EpU.72633: Mouth*
[21:03:01]	[LOOC] CCA.C14-UNION.EpU.72633: Grammer just stopped holy shit
[21:03:20]	Eric Brown has spawned 'models/barnacle.mdl'.
[21:03:38]	[IT] Eric Brown: Slowly slows down its flopping, then fucking dies.
[21:03:47]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:04:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[21:04:09]	Eric Brown has spawned 'models/half-life/icky.mdl'.
[21:04:26]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit reporting.......a aquatic Xenobe appeared near Housing block moscow......'.
[21:04:41]	CCA.C14-UNION.i5.39867 used command '/Radio I believe it's dead. Xenobe DB count is one.'.
[21:04:45]	[IT] Eric Brown: Then, quickly, it explodes with a shitload of small bitey explodies.
[21:04:48]	Eric Brown has spawned a 'NPC [2673][monster_alien_snark]'.
[21:04:48]	Eric Brown has spawned a 'NPC [2675][monster_alien_snark]'.
[21:04:48]	Eric Brown has spawned a 'NPC [2676][monster_alien_snark]'.
[21:04:48]	Eric Brown has spawned a 'NPC [2677][monster_alien_snark]'.
[21:04:48]	Eric Brown has spawned a 'NPC [2680][monster_alien_snark]'.
[21:04:49]	Eric Brown has spawned a 'NPC [2231][monster_alien_snark]'.
[21:04:49]	Eric Brown has spawned a 'NPC [2681][monster_alien_snark]'.
[21:04:49]	CCA.C14-UNION.i5.39867 has taken 10 damage from monster_alien_snark.
[21:04:50]	CCA.C14-UNION.i5.39867 has taken 10 damage from monster_alien_snark.
[21:04:50]	Eric Brown has spawned a 'NPC [3230][monster_alien_snark]'.
[21:04:50]	Eric Brown has spawned a 'NPC [3233][monster_alien_snark]'.
[21:04:51]	Eric Brown has spawned a 'NPC [3234][monster_alien_snark]'.
[21:04:51]	CCA.C14-UNION.i5.39867 has taken 10 damage from monster_alien_snark.
[21:04:52]	Leman Russ has taken 10 damage from monster_alien_snark.
[21:04:52]	Leman Russ has taken 10 damage from monster_alien_snark.
[21:04:52]	Leman Russ has taken 10 damage from monster_alien_snark.
[21:04:53]	Leman Russ has taken 10 damage from monster_alien_snark.
[21:04:53]	Leman Russ has taken 10 damage from monster_alien_snark.
[21:04:53]	Leman Russ has taken 10 damage from monster_alien_snark.
[21:04:53]	Leman Russ has taken 10 damage from monster_alien_snark.
[21:04:53]	Leman Russ has taken 10 damage from monster_alien_snark.
[21:04:54]	Leman Russ has taken 10 damage from monster_alien_snark.
[21:04:54]	Eric Brown has spawned a 'NPC [3267][monster_alien_snark]'.
[21:04:55]	Eric Brown has spawned a 'NPC [3228][monster_alien_snark]'.
[21:04:55]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[21:04:55]	Leman Russ has taken 10 damage from monster_alien_snark.
[21:04:55]	Eric Brown has spawned a 'NPC [3236][monster_alien_snark]'.
[21:04:56]	Leman Russ has taken 10 damage from monster_alien_snark.
[21:04:56]	monster_alien_snark has killed Leman Russ.
[21:04:56]	Eric Brown has spawned a 'NPC [3243][monster_alien_snark]'.
[21:04:58]	CCA.C14-UNION.i5.39867 has taken 10 damage from monster_alien_snark.
[21:04:58]	CCA.C14-UNION.i5.39867 has taken 10 damage from monster_alien_snark.
[21:04:59]	CCA.C14-UNION.i5.39867 has taken 10 damage from monster_alien_snark.
[21:04:59]	CCA.C14-UNION.i5.39867 has taken 10 damage from monster_alien_snark.
[21:04:59]	CCA.C14-UNION.i5.39867 has taken 10 damage from monster_alien_snark.
[21:05:00]	CCA.C14-UNION.i5.39867 has taken 10 damage from monster_alien_snark.
[21:05:01]	CCA.C14-UNION.i5.39867 has taken 10 damage from monster_alien_snark.
[21:05:01]	CCA.C14-UNION.i5.39867 has taken 10 damage from monster_alien_snark.
[21:05:03]	Eric Brown has spawned 'models/gibs/xenians/sgib_02.mdl'.
[21:05:04]	Eric Brown has spawned 'models/gibs/xenians/mgib_03.mdl'.
[21:05:06]	Eric Brown has spawned 'models/gibs/xenians/mgib_06.mdl'.
[21:05:06]	CCA.C14-UNION.i5.39867 has taken 10 damage from monster_alien_snark.
[21:05:07]	Eric Brown has spawned 'models/gibs/xenians/mgib_05.mdl'.
[21:05:08]	Marc 'Watcher 1' Temple entered observer.
[21:05:08]	CCA.C14-UNION.i5.39867 has taken 10 damage from monster_alien_snark.
[21:05:09]	CCA.C14-UNION.i5.39867 has taken 10 damage from monster_alien_snark.
[21:05:10]	Marc 'Watcher 1' Temple exited observer at their location.
[21:05:13]	Eric Brown has spawned 'models/gibs/xenians/mgib_01.mdl'.
[21:05:14]	Eric Brown has spawned 'models/gibs/xenians/sgib_01.mdl'.
[21:05:15]	Eric Brown has spawned 'models/gibs/xenians/mgib_02.mdl'.
[21:05:17]	Eric Brown has spawned 'models/gibs/xenians/mgib_04.mdl'.
[21:05:18]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
