[15:07:21]	poggers has connected.
[21:31:51]	CCA.C17-JUDGE.i2.69124 entered observer.
[21:31:51]	CCA.C17-JUDGE.i2.69124 exited observer at their location.
[21:31:55]	[LOOC] CCA.C17-JUDGE.i2.69124: correct?
[21:31:59]	[LOOC] Andrew Philip: yeah
[21:32:01]	CCA.C17-JUDGE.i2.69124 entered observer.
[21:32:11]	CCA.C17-JUDGE.i2.69124 exited observer at their location.
[21:32:20]	CCA.C17-JUDGE.i2.69124 entered observer.
[21:32:25]	[LOOC] Andrew Philip: hungery?
[21:32:29]	[LOOC] CCA.C17-JUDGE.i2.69124: ew
[21:32:46]	Andrew Philip opened the 'Metal Cabinet' #491 container.
[21:32:48]	Andrew Philip closed the 'Metal Cabinet' #491 container.
[21:32:54]	CCA.C17-JUDGE.i2.69124 ran 'View' on item 'Paper' (#5257)
[21:33:10]	[OOC] CCA.C17-JUDGE.i2.69124: kk bye
[21:33:14]	[OOC] Andrew Philip: before you go, you mind spawing in the zombies in the sewers
[21:33:17]	[OOC] CCA.C17-JUDGE.i2.69124: sure
[21:33:29]	[OOC] Andrew Philip: alright
[21:33:48]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [714][npc_zombie]'.
[21:33:50]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [750][npc_zombie]'.
[21:33:52]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [751][npc_zombie]'.
[21:33:59]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [841][npc_fastzombie]'.
[21:34:00]	[OOC] Andrew Philip: I plan to donate more btw, I'll prob not even use these powers if an admin needs me to do so
[21:34:03]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [875][npc_fastzombie]'.
[21:34:07]	[OOC] Andrew Philip: I know someone donated 80 usd 
[21:34:11]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [876][npc_zombie]'.
[21:34:13]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [882][npc_zombie]'.
[21:34:18]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [883][npc_poisonzombie]'.
[21:34:21]	Andrew Philip ran 'View' on item 'Paper' (#5257)
[21:34:21]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [900][npc_zombie_torso]'.
[21:34:23]	Andrew Philip opened the 'Metal Cabinet' #491 container.
[21:34:25]	Andrew Philip closed the 'Metal Cabinet' #491 container.
[21:34:30]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1271][npc_zombie]'.
[21:34:32]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1267][npc_zombie]'.
[21:34:33]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1272][npc_zombie]'.
[21:34:35]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1573][npc_zombie]'.
[21:34:39]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1574][npc_fastzombie]'.
[21:34:41]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1587][npc_fastzombie]'.
[21:34:43]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1951][npc_zombie]'.
[21:34:44]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1954][npc_zombie]'.
[21:34:47]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1955][npc_zombie]'.
[21:34:52]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1956][npc_zombie]'.
[21:34:57]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1957][npc_fastzombie]'.
[21:35:02]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1958][npc_zombie]'.
[21:35:14]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1959][npc_poisonzombie]'.
[21:35:19]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1962][npc_zombie]'.
[21:35:21]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1963][npc_zombie]'.
[21:35:50]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1962][npc_zombie]'.
[21:35:52]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1964][npc_zombie]'.
[21:35:53]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1965][npc_zombie]'.
[21:35:56]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1966][npc_fastzombie_torso]'.
[21:35:57]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1967][npc_zombie]'.
[21:36:03]	CCA.C17-JUDGE.i2.69124 has gained 10 tokens.
[21:36:04]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1966][npc_zombie]'.
[21:36:06]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1965][npc_zombie]'.
[21:36:10]	CCA.C17-JUDGE.i2.69124 has spawned a 'NPC [1966][npc_fastzombie_torso]'.
[21:36:38]	Doughnut (STEAM_0:1:127409364) has disconnected.
[21:44:22]	Andrew Philip ran 'Use' on item 'Padlock' (#5267)
[21:45:00]	Andrew Philip has taken 5 damage from npc_fastzombie.
[21:45:51]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:45:51]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:45:51]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:45:53]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:45:54]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:45:54]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:45:54]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:45:57]	Andrew Philip has gained 20 tokens.
[21:46:01]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:46:01]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:46:04]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:46:05]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:46:05]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:46:07]	Andrew Philip has gained 10 tokens.
[21:46:10]	Andrew Philip has taken 10 damage from npc_zombie.
[21:46:12]	Andrew Philip has taken 10 damage from npc_zombie.
[21:47:05]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[21:47:06]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[21:47:08]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[21:47:25]	Andrew Philip has taken 10 damage from npc_zombie.
[21:47:28]	Andrew Philip has taken 10 damage from npc_zombie.
[21:47:41]	Andrew Philip has taken 10 damage from npc_poisonzombie.
[21:47:44]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[21:47:44]	Andrew Philip has taken 56 damage from npc_headcrab_poison.
[21:47:54]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[21:47:54]	Andrew Philip has taken 35 damage from npc_headcrab_poison.
[21:47:57]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[21:47:57]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[21:48:10]	Andrew Philip has taken 10 damage from npc_poisonzombie.
[21:48:11]	Andrew Philip has taken 10 damage from npc_poisonzombie.
[21:48:13]	Andrew Philip has taken 10 damage from npc_poisonzombie.
[21:48:13]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[21:48:13]	Andrew Philip has taken 11 damage from npc_headcrab_poison.
[21:48:14]	Andrew Philip has taken 10 damage from npc_poisonzombie.
[21:48:14]	npc_poisonzombie has killed Andrew Philip.
[21:49:32]	Andrew Philip ran 'Equip' on item 'Axe' (#6690)
[21:51:52]	Andrew Philip has taken 10 damage from npc_zombie_torso.
[21:51:54]	Andrew Philip has taken 10 damage from npc_zombie_torso.
[21:51:55]	Andrew Philip has taken 10 damage from npc_zombie_torso.
[21:51:56]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[21:51:56]	Andrew Philip has taken 64 damage from npc_headcrab_poison.
[21:52:16]	Andrew Philip has gained 20 tokens.
[21:52:20]	Andrew Philip has taken 10 damage from npc_zombie_torso.
[21:52:57]	Andrew Philip has taken 10 damage from npc_zombie.
[21:53:00]	Andrew Philip has taken 10 damage from npc_zombie.
[21:53:08]	Andrew Philip destroyed a 'Scrap Metal' #6741.
[21:53:25]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[21:53:25]	Andrew Philip has taken 29 damage from npc_headcrab_poison.
[21:53:51]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[21:53:51]	Andrew Philip has taken 24 damage from npc_headcrab_poison.
[21:54:00]	Andrew Philip has taken 10 damage from npc_poisonzombie.
[21:54:11]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[21:54:13]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[21:54:14]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[21:54:14]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[21:54:16]	Andrew Philip destroyed a 'Empty Paint Can' #6723.
[21:54:17]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:54:18]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:54:20]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:54:25]	Andrew Philip has taken 10 damage from npc_zombie.
[21:54:29]	Andrew Philip has taken 5 damage from npc_fastzombie.
[21:54:33]	Andrew Philip has gained 10 tokens.
[21:54:38]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:54:38]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:54:39]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:54:41]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:54:41]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:54:45]	Andrew Philip has gained 20 tokens.
[21:55:04]	Andrew Philip has taken 10 damage from npc_zombie.
[21:55:23]	Andrew Philip ran 'take' on item 'Padlock' (#6744)
[21:55:23]	Andrew Philip has gained a 'Padlock' #6744.
[21:55:25]	Andrew Philip has taken 10 damage from npc_zombie.
[21:56:37]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:56:37]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:56:39]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:56:40]	Andrew Philip has taken 3 damage from npc_fastzombie.
[21:56:43]	Andrew Philip has gained 10 tokens.
[21:56:56]	Andrew Philip has taken 10 damage from npc_zombie.
[21:58:01]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[21:58:02]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[21:58:03]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[21:58:04]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[21:58:05]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[21:58:28]	Andrew Philip has taken 3 damage from npc_fastzombie_torso.
[21:58:28]	Andrew Philip has taken 3 damage from npc_fastzombie_torso.
[21:58:29]	Andrew Philip has taken 3 damage from npc_fastzombie_torso.
[21:58:30]	Andrew Philip has taken 3 damage from npc_fastzombie_torso.
[22:03:02]	Andrew Philip opened the 'Padlocked Metal Cabinet' #491 container.
[22:03:04]	Andrew Philip ran 'EquipUn' on item 'Axe' (#6690)
[22:03:07]	Andrew Philip has gained a 'Axe' #6690.
[22:03:09]	Andrew Philip closed the 'Padlocked Metal Cabinet' #491 container.
[22:03:24]	Andrew Philip has spawned 'models/props_interiors/Furniture_Desk01a.mdl'.
[22:03:37]	Andrew Philip has spawned 'models/props_wasteland/laundry_cart002.mdl'.
[22:04:28]	Andrew Philip has spawned 'models/props_wasteland/kitchen_shelf001a.mdl'.
[22:05:00]	Andrew Philip has taken 1 damage from worldspawn.
[22:05:01]	Andrew Philip has taken 1 damage from worldspawn.
[22:05:01]	Andrew Philip has taken 1 damage from worldspawn.
[22:05:02]	Andrew Philip has taken 1 damage from worldspawn.
[22:05:02]	Andrew Philip ran 'equip' on item 'Citizen Filter' (#6600)
[22:05:08]	Andrew Philip has spawned 'models/props_wasteland/kitchen_shelf001a.mdl'.
[22:05:51]	MilkyWay (STEAM_0:1:118336892) has disconnected.
