[12:07:54]	Mettaton Ex has connected.
[21:08:37]	[OOC] CCA.C08-QrM.98240: I think except for DRD.
[21:08:45]	[OOC] CCA.C08-QrM.98240: Also Dilly I think.
[21:09:05]	[OOC] CCA.C08-QrM.98240: Shit, Dilly can't get on.
[21:09:11]	[OOC] CCA.C08-QrM.98240: Depremsion
[21:10:29]	DRD has connected.
[21:10:32]	[OOC] CCA.C08-QrM.98240: Pog
[21:11:41]	[OOC] OTA.S71.ECHO:ORD.19659: well
[21:11:42]	[OOC] OTA.S71.ECHO:ORD.19659: we start
[21:12:17]	OTA.S71.ECHO:ORD.19659 used command '/Event Your eyes open. You see a blood-covered floor first, or is it a fire? Maybe it's the ceiling. Who knows?'.
[21:12:22]	[ME] CCA.C08-QrM.98240: Would be sitting against the walls of the ship, seemingly thrown against it. 
[21:12:31]	OTA.S71.ECHO:ORD.19659 used command '/Event Some OTA unit, assumably the pilot, is sitting in the cockpit window.'.
[21:12:46]	[ME] Anastasia Ivanovich: struggled to get up groaning in pain "Pizdets..."
[21:12:47]	OTA.S71.ECHO:ORD.19659 used command '/Event From the door, there's a trail of blood.'.
[21:12:53]	[ME] CCA.C08-QrM.98240: Would glance over to the OTA before sighing to himself.
[21:12:54]	CCA.C08-QrM.98240 has gained 10 tokens.
[21:13:02]	OTA.S08-DASH:OSS.19659 used command '/CharSetName ord OTA.S08-DASH:OSS.19659'.
[21:13:06]	[W] OTA.S08-DASH:OSS.19659: <:: Help.. ::>
[21:13:07]	Anastasia Ivanovich has taken 1 damage from env_fire.
[21:13:08]	[W] OTA.S08-DASH:OSS.19659: <:: Me... ::>
[21:13:08]	Anastasia Ivanovich has taken 1 damage from env_fire.
[21:13:20]	[ME] CCA.C08-QrM.98240: Starts to get up.
[21:13:42]	[ME] CCA.C08-QrM.98240: Begins searching through his boxes, looking for any bandages or medical supplies.
[21:14:03]	[ME] CCA.C08-QrM.98240: Attempts to open the door.
[21:14:40]	[IT] OTA.S08-DASH:OSS.19659: The unit seems to fade away, as if they're drifting off.
[21:14:48]	[IT] OTA.S08-DASH:OSS.19659: It jerks back awake.
[21:15:09]	[Y] OTA.S08-DASH:OSS.19659: <:: Stand... *Agh, fuck.* Back! ::>
[21:15:28]	OTA.S08-DASH:OSS.19659 used command '/ToggleRaise'.
[21:15:34]	DRD (STEAM_0:0:193599766) has disconnected (timed out).
[21:16:20]	OTA.S08-DASH:OSS.19659 used command '/Event Something in the cockpit explodes. The door is blown off. You see some device in the dead body's hand.'.
[21:17:18]	[LOOC] CCA.C08-QrM.98240: Just waiting to see if he does an event.
[21:17:21]	[LOOC] CCA.C08-QrM.98240: /event*
[21:17:21]	OTA.S08-DASH:OSS.19659 has gained a 'Long Range Communicator' #20863.
[21:17:21]	OTA.S08-DASH:OSS.19659 used command '/CreateCustomItem Long Range Communicator models/gibs/shield_scanner_gib1.mdl A strangely-shaped radio, otherwise seemingly normal.'.
[21:17:27]	[OOC] OTA.S08-DASH:OSS.19659: just do stopsound in console for the alarm
[21:17:34]	[OOC] OTA.S08-DASH:OSS.19659: IC the explosion destroys the speaker
[21:17:37]	OTA.S08-DASH:OSS.19659 ran 'drop' on item 'Long Range Communicator' (#20863)
[21:17:37]	OTA.S08-DASH:OSS.19659 has lost a 'Long Range Communicator' #20863.
[21:17:45]	[OOC] CCA.C08-QrM.98240: Pog
[21:17:50]	Anastasia Ivanovich has taken 1 damage from env_fire.
[21:17:53]	OTA.S08-DASH:OSS.19659 has spawned 'models/combine_ground.mdl'.
[21:17:54]	CCA.C08-QrM.98240 has gained 10 tokens.
[21:18:22]	[ME] CCA.C08-QrM.98240: Would grab the device and begin checking it out.
[21:18:23]	CCA.C08-QrM.98240 ran 'take' on item 'Long Range Communicator' (#20863)
[21:18:23]	CCA.C08-QrM.98240 has gained a 'Long Range Communicator' #20863.
[21:18:58]	DRD has connected.
[21:19:04]	[ME] CCA.C08-QrM.98240: Would attempt to switch it on.
[21:19:11]	[IT] OTA.S08-DASH:OSS.19659: It would already be on.
[21:19:53]	Anastasia Ivanovich ran 'Equip' on item 'Shovel' (#20581)
[21:20:09]	[ME] CCA.C08-QrM.98240: Would try to check the frequency on the radio.
[21:20:13]	[ME] Anastasia Ivanovich: takes out her shovel. Setting it to the side and attempted to just push on the door.
[21:20:23]	[IT] OTA.S08-DASH:OSS.19659: Doesn't really seem to have a frequency setting. The radio is of Combine make.
[21:20:30]	[IT] OTA.S08-DASH:OSS.19659: It doesn't work.
[21:20:45]	[IT] OTA.S08-DASH:OSS.19659: The communicator still seems functional, though.
[21:21:04]	[IT] OTA.S08-DASH:OSS.19659: Maybe he held it behind his back or in front of him or something.
[21:21:33]	[ME] Anastasia Ivanovich: just used raw strength in the vain attempt to get a feel... A feel of the door- Suddenly she stops...
[21:21:37]	[ME] Nova Wrenrey: comes over to try and help
[21:21:54]	[LOOC] Anastasia Ivanovich: is the door gone?
[21:21:58]	[ME] CCA.C08-QrM.98240: Tries to talk into the radio, "This is QrM.98240, any units please respond once you hear this transmission"
[21:21:59]	[LOOC] OTA.S08-DASH:OSS.19659: IC yes
[21:22:10]	[ME] Anastasia Ivanovich: stepped over the OTA and went into the cockpit.
[21:22:10]	[LOOC] OTA.S08-DASH:OSS.19659: the body is nocollided dw
[21:22:25]	DRD loaded the character 'CCA.C08-GRID.i1.23710'
[21:22:28]	[ME] Anastasia Ivanovich: looked for any buttons.
[21:22:31]	[IT] OTA.S08-DASH:OSS.19659: Inside, among many things, you see an emergency door release lever.
[21:22:34]	[OOC] CCA.C08-GRID.i1.23710: AHHAHAHAHA
[21:22:36]	[ME] Anastasia Ivanovich: pulled it.
[21:22:36]	[OOC] CCA.C08-GRID.i1.23710: FINALLY
[21:22:45]	OTA.S08-DASH:OSS.19659 used command '/Event The door in the back falls right open.'.
[21:22:48]	CCA.C08-GRID.i1.23710 entered observer.
[21:22:49]	CCA.C08-GRID.i1.23710 exited observer at their location.
[21:22:54]	CCA.C08-QrM.98240 has gained 10 tokens.
[21:23:04]	OTA.S71-ECHO:ORD.16959 used command '/CharSetName dash OTA.S71-ECHO:ORD.16959'.
[21:23:17]	[ME] Anastasia Ivanovich: takes her shovel out.
[21:23:22]	[ME] CCA.C08-QrM.98240: Starts looking around the shit hole he's in.
[21:23:48]	OTA.S71-ECHO:ORD.16959 exited observer at their location.
[21:23:49]	OTA.S71-ECHO:ORD.16959 entered observer.
[21:23:49]	OTA.S71-ECHO:ORD.16959 exited observer at their location.
[21:23:52]	OTA.S71-ECHO:ORD.16959 entered observer.
[21:23:58]	[ME] Anastasia Ivanovich: went to open it
[21:24:01]	OTA.S71-ECHO:ORD.16959 exited observer at their location.
[21:24:03]	[LOOC] OTA.S71-ECHO:ORD.16959: roll
[21:24:03]	OTA.S71-ECHO:ORD.16959 entered observer.
[21:24:03]	OTA.S71-ECHO:ORD.16959 exited observer at their location.
[21:24:05]	OTA.S71-ECHO:ORD.16959 entered observer.
[21:24:06]	Anastasia Ivanovich rolled 27 out of 100.
[21:24:06]	Anastasia Ivanovich used command '/Roll'.
[21:24:11]	[LOOC] Anastasia Ivanovich: oh boy
[21:24:15]	[ME] CCA.C08-QrM.98240: Tosses a weird Combine radio over to the GRID unit.
[21:24:18]	CCA.C08-QrM.98240 ran 'drop' on item 'Long Range Communicator' (#20863)
[21:24:18]	CCA.C08-QrM.98240 has lost a 'Long Range Communicator' #20863.
[21:24:18]	[IT] OTA.S71-ECHO:ORD.16959: You find... uhhh..... hold on let me spawn it in.
[21:24:19]	OTA.S71-ECHO:ORD.16959 used command '/adminspawnmenu'.
[21:24:23]	CCA.C08-GRID.i1.23710 ran 'take' on item 'Long Range Communicator' (#20863)
[21:24:23]	CCA.C08-GRID.i1.23710 has gained a 'Long Range Communicator' #20863.
[21:24:25]	OTA.S71-ECHO:ORD.16959 has spawned "Health Kit"
[21:24:29]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[21:24:33]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[21:24:39]	CCA.C08-GRID.i1.23710 ran 'Toggle' on item 'Handheld Radio' (#9736)
[21:24:53]	CCA.C08-GRID.i1.23710 used command '/Radio (('.
[21:25:36]	Anastasia Ivanovich ran 'take' on item 'Health Kit' (#20864)
[21:25:36]	Anastasia Ivanovich has gained a 'Health Kit' #20864.
[21:26:03]	[ME] CCA.C08-QrM.98240: Would look down at the massive drop.
[21:26:04]	OTA.S71-ECHO:ORD.16959 entered observer.
[21:26:04]	OTA.S71-ECHO:ORD.16959 entered observer.
[21:26:15]	[IT] CCA.C08-GRID.i1.23710: Holy shit!
[21:26:21]	CCA.C08-GRID.i1.23710 used command '/ita Holy shit!'.
[21:26:49]	matt saton loaded the character 'CAC.C08-BIOTIC.40792'
[21:26:50]	CAC.C08-BIOTIC.40792 entered observer.
[21:26:59]	CAC.S71-VRP.50195 used command '/CharSetName biotic CAC.S71-VRP.50195'.
[21:27:03]	CAC.S71-VRP.50195 exited observer at their location.
[21:27:07]	[OOC] CCA.C08-GRID.i1.23710: VRP
[21:27:08]	[OOC] CCA.C08-GRID.i1.23710: VERP
[21:27:25]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[21:27:54]	CCA.C08-QrM.98240 has gained 10 tokens.
[21:27:57]	CCA.C08-GRID.i1.23710 used command '/fr You know, they're kind of cute in a weird, disturbing way.'.
[21:28:08]	CCA.C08-QrM.98240 used command '/fr Jesus christ, you also speak French.'.
[21:28:36]	CCA.C08-GRID.i1.23710 used command '/fr ...Have you never been to Europe? Many people are at least bi-lingual.'.
[21:28:45]	[LOOC] CAC.S71-VRP.50195: is my pac showing up
[21:28:49]	[LOOC] CCA.C08-GRID.i1.23710: is it
[21:28:51]	[LOOC] CCA.C08-GRID.i1.23710: ?
[21:28:52]	[LOOC] CAC.S71-VRP.50195: look at my chest
[21:28:54]	[LOOC] Anastasia Ivanovich: what is it supposed to be
[21:28:55]	[LOOC] CAC.S71-VRP.50195: my pecs
[21:28:57]	CCA.C08-QrM.98240 used command '/fr I lived in the fucking swamps pre-war, what do you expect?'.
[21:29:25]	[LOOC] CAC.S71-VRP.50195: so is it showing up
[21:29:28]	[LOOC] CAC.S71-VRP.50195: it should be a prop in my chest
[21:29:33]	[LOOC] CCA.C08-QrM.98240: No
[21:29:39]	[LOOC] CAC.S71-VRP.50195: fuck
[21:30:14]	[OOC] CAC.S71-VRP.50195: now?
[21:30:26]	[OOC] CCA.C08-QrM.98240: No
[21:30:28]	[OOC] CAC.S71-VRP.50195: fuck
[21:30:29]	[LOOC] CCA.C08-GRID.i1.23710: ybi habe mpec
[21:30:40]	[ME] CAC.S71-VRP.50195: would have a knife sticking out of his chest, still in him.
[21:30:43]	[LOOC] CAC.S71-VRP.50195: them.*
[21:30:47]	[LOOC] CAC.S71-VRP.50195: their*&
[21:31:13]	[ME] CAC.S71-VRP.50195: would be swaying while he stands, seemingly kinda woozy.
[21:31:40]	Anastasia Ivanovich ran 'drop' on item 'Health Kit' (#20864)
[21:31:40]	Anastasia Ivanovich has lost a 'Health Kit' #20864.
[21:32:23]	[LOOC] CCA.C08-GRID.i1.23710: now im imaging the vort sounding like jar jar
[21:32:25]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[21:32:28]	[ME] Anastasia Ivanovich: pulled out a Medkit and looked over the vort's injuries.
[21:32:30]	[LOOC] Anastasia Ivanovich: gross
[21:32:54]	CCA.C08-QrM.98240 has gained 10 tokens.
[21:33:20]	[ME] CAC.S71-VRP.50195: would proceed to sit down, criss cross apple sauce on the ground.
[21:33:47]	[Y] CCA.C08-GRID.i1.23710: <:: NO! ::>
[21:33:50]	[Y] CCA.C08-GRID.i1.23710: <:: DO NOT PULL IT OUT@! ::>
[21:33:58]	[LOOC] CAC.S71-VRP.50195: only smart one here
[21:34:02]	[LOOC] CAC.S71-VRP.50195: literally the only smart one here
[21:34:03]	[ME] Anastasia Ivanovich: hands the Medkit to the Cop.
[21:34:08]	[LOOC] Anastasia Ivanovich: Bitch I don't do MedRP
[21:34:33]	[ME] CAC.S71-VRP.50195: would look at his hands, front and back.
[21:34:36]	[ME] CAC.S71-VRP.50195: seems amazed.
[21:35:45]	CAC.S71-VRP.50195 entered observer.
[21:35:45]	CAC.S71-VRP.50195 exited observer at their location.
[21:36:13]	[ME] Anastasia Ivanovich: sighed.
[21:36:13]	[ME] CAC.S71-VRP.50195: would look his body up and down.
[21:36:24]	[ME] Anastasia Ivanovich: put the Medkit away somewhere safe.
[21:36:25]	Anastasia Ivanovich ran 'take' on item 'Health Kit' (#20864)
[21:36:25]	Anastasia Ivanovich has gained a 'Health Kit' #20864.
[21:36:30]	[ME] CAC.S71-VRP.50195: would look down at the knife and proceed to FREAK THE FUCK OUT. He's screaming bloody murder, in some vort scream you've never heard before.
[21:36:38]	[Y] Anastasia Ivanovich: CALM DOWN.
[21:36:40]	[Y] CAC.S71-VRP.50195: BAD! NOT GOOD! BAD! NOT GOOD BAD!
[21:36:44]	[Y] CAC.S71-VRP.50195: HELP! HELP ME!
[21:36:47]	[Y] CAC.S71-VRP.50195: I...
[21:36:50]	[Y] CAC.S71-VRP.50195: I...
[21:37:25]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[21:37:54]	CCA.C08-QrM.98240 has gained 10 tokens.
[21:38:22]	[ME] CAC.S71-VRP.50195: wouldn't look down and just stare innocently at the grid.
[21:38:53]	[LOOC] CCA.C08-GRID.i1.23710: oh
[21:39:06]	[LOOC] CCA.C08-GRID.i1.23710: wait
[21:39:13]	[LOOC] CCA.C08-GRID.i1.23710: would the medkit have gauze
[21:39:20]	[LOOC] CAC.S71-VRP.50195: no, it's just biogel
[21:39:22]	[LOOC] CCA.C08-GRID.i1.23710: or a bandage
[21:39:42]	[Y] Anastasia Ivanovich: Attention... There is no way down...
[21:40:13]	[LOOC] CCA.C08-GRID.i1.23710: this vort is fucking adorable
[21:40:19]	[LOOC] CAC.S71-VRP.50195: i know
[21:40:19]	[LOOC] CCA.C08-GRID.i1.23710: can we keep him
[21:40:23]	[LOOC] CAC.S71-VRP.50195: i hope
[21:40:31]	[LOOC] CCA.C08-GRID.i1.23710: if anything happens to him I will riot
[21:40:42]	[ME] CCA.C08-GRID.i1.23710: would shush the vort
[21:40:59]	[ME] CAC.S71-VRP.50195: would stop talking. His big eye focuses on the GRID. The other three focus on the citizen, Nova.
[21:41:02]	[Y] CCA.C08-GRID.i1.23710: <:: Who has the medigel? ::>
[21:41:27]	CCA.C08-GRID.i1.23710 entered observer.
[21:41:27]	CCA.C08-GRID.i1.23710 exited observer at their location.
[21:41:45]	Anastasia Ivanovich ran 'drop' on item 'Health Kit' (#20864)
[21:41:45]	Anastasia Ivanovich has lost a 'Health Kit' #20864.
[21:41:51]	CCA.C08-GRID.i1.23710 ran 'take' on item 'Health Kit' (#20864)
[21:41:51]	CCA.C08-GRID.i1.23710 has gained a 'Health Kit' #20864.
[21:42:13]	[ME] CCA.C08-GRID.i1.23710: would kneel down, applying the medigel around the wound. 
[21:42:25]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[21:42:30]	[ME] CAC.S71-VRP.50195: would grunt in pain. For a moment, he speaks seemingly normal.
[21:42:54]	CCA.C08-QrM.98240 has gained 10 tokens.
[21:43:36]	[ME] CAC.S71-VRP.50195: would open his one hand, seemingly trying to do vortigaunt magic.
[21:43:42]	[IT] CAC.S71-VRP.50195: They would fail.
[21:43:46]	[IT] CAC.S71-VRP.50195: Nothing shows up.
[21:44:05]	[LOOC] CCA.C08-GRID.i1.23710: oops
[21:44:06]	Anastasia Ivanovich has taken 4 damage from env_fire.
[21:44:07]	[LOOC] CCA.C08-GRID.i1.23710: habit
[21:44:54]	[OOC] CCA.C08-QrM.98240: Imma hop off for a bit, I'll try to hop back on in an hour or so.
[21:44:56]	[LOOC] CAC.S71-VRP.50195: their*
[21:45:00]	[OOC] CAC.S71-VRP.50195: thanks for being on, take care
[21:45:07]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[21:45:30]	[Y] CAC.S71-VRP.50195: Don't go.
[21:45:35]	CAC.S71-VRP.50195 entered observer.
[21:45:36]	CAC.S71-VRP.50195 exited observer at their location.
[21:45:36]	CAC.S71-VRP.50195 entered observer.
[21:45:39]	CAC.S71-VRP.50195 exited observer at their location.
[21:45:42]	[Y] CCA.C08-GRID.i1.23710: <:: Then come! ::>
[21:45:52]	[Y] CAC.S71-VRP.50195: Hello.
[21:46:21]	[OOC] CAC.S71-VRP.50195: void the mine
[21:46:26]	CAC.S71-VRP.50195 entered observer.
[21:46:30]	CAC.S71-VRP.50195 exited observer at their location.
[21:47:03]	Nova Wrenrey has taken 48 damage from worldspawn.
[21:47:09]	CAC.S71-VRP.50195 entered observer.
[21:47:09]	CAC.S71-VRP.50195 exited observer at their location.
[21:47:13]	[Y] CAC.S71-VRP.50195: THEY FELL.
[21:47:21]	[Y] CAC.S71-VRP.50195: IT WILL BE OKAY!
[21:47:24]	[Y] Anastasia Ivanovich: Come over to the Barrels.
[21:47:24]	[Y] CAC.S71-VRP.50195: HELLO!
[21:47:25]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[21:47:39]	CAC.S71-VRP.50195 entered observer.
[21:47:43]	[Y] Anastasia Ivanovich: Can you stack those barrels on top of each other?
[21:47:55]	CAC.S71-VRP.50195 exited observer at their location.
[21:48:02]	CAC.S71-VRP.50195 has spawned 'models/hunter/blocks/cube075x2x1.mdl'.
[21:48:04]	CAC.S71-VRP.50195 has spawned 'models/hunter/blocks/cube1x3x1.mdl'.
[21:48:08]	CAC.S71-VRP.50195 has spawned 'models/hunter/blocks/cube2x4x05.mdl'.
[21:48:10]	CAC.S71-VRP.50195 entered observer.
[21:48:12]	[LOOC] Anastasia Ivanovich: just like
[21:48:14]	[LOOC] Anastasia Ivanovich: RP it
[21:48:27]	CAC.S71-VRP.50195 exited observer at their location.
[21:48:28]	CAC.S71-VRP.50195 entered observer.
[21:48:28]	CAC.S71-VRP.50195 exited observer at their location.
[21:48:33]	CAC.S71-VRP.50195 entered observer.
[21:48:35]	CAC.S71-VRP.50195 exited observer at their location.
[21:48:40]	[Y] Anastasia Ivanovich: Get on top of the barrels and then jump. I'll try to catch ya.
[21:48:42]	[OOC] Nova Wrenrey: that might work better sorry im multitasking
[21:48:48]	CAC.S71-VRP.50195 entered observer.
[21:49:08]	CAC.S71-VRP.50195 has spawned 'models/hunter/blocks/cube2x4x05.mdl'.
[21:49:09]	[ME] Nova Wrenrey: tries to climb on to barrels after stacking
[21:49:15]	CAC.S71-VRP.50195 has spawned 'models/hunter/blocks/cube2x4x05.mdl'.
[21:49:40]	[OOC] CAC.S71-VRP.50195: i'll just TP nova
[21:49:53]	CAC.S71-VRP.50195 exited observer at their location.
[21:49:56]	[ME] Anastasia Ivanovich: catches Nova and pulled them up. Grunting as she did so.
[21:50:36]	CCA.C08-GRID.i1.23710 entered observer.
[21:50:37]	CCA.C08-GRID.i1.23710 exited observer at their location.
[21:50:56]	[LOOC] CCA.C08-GRID.i1.23710: stuck
[21:50:58]	CCA.C08-GRID.i1.23710 entered observer.
[21:51:02]	CCA.C08-GRID.i1.23710 exited observer at their location.
[21:51:20]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[21:51:30]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[21:51:57]	Nova Wrenrey has taken 200 damage from worldspawn.
[21:51:57]	worldspawn has killed Nova Wrenrey.
[21:52:03]	[OOC] Anastasia Ivanovich: BRUH
[21:52:13]	[LOOC] Anastasia Ivanovich: I'm crying rn
[21:52:14]	[OOC] Nova Wrenrey: wtf
[21:52:15]	[LOOC] Anastasia Ivanovich: Nova died
[21:52:17]	[LOOC] Anastasia Ivanovich: LMAO
[21:52:21]	[LOOC] CCA.C08-GRID.i1.23710: what happened lmao
[21:52:24]	[LOOC] Anastasia Ivanovich: Idfk
[21:52:25]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[21:52:29]	[LOOC] Anastasia Ivanovich: she just walked up and died
[21:52:35]	[LOOC] CCA.C08-GRID.i1.23710: weak
[21:52:43]	[OOC] Nova Wrenrey: the stairs killed me
[21:52:49]	[OOC] CCA.C08-GRID.i1.23710: weak
[21:53:11]	[LOOC] CCA.C08-GRID.i1.23710: oh my god
[21:53:15]	[LOOC] CCA.C08-GRID.i1.23710: you're pitch black
[21:53:21]	[LOOC] Anastasia Ivanovich: I am black
[21:53:35]	[ME] CAC.S71-VRP.50195: would feel around. He touches his knife.'
[21:53:41]	[ME] Anastasia Ivanovich: put her hands on the wall saying "On the cop's count..."
[21:53:44]	[Y] CCA.C08-GRID.i1.23710: <:: DON'T. ::>
[21:54:07]	[ME] CAC.S71-VRP.50195: would grab it and rip it out like a lawnmower string.
[21:54:12]	[Y] CCA.C08-GRID.i1.23710: <:: NO! ::>
[21:54:15]	[LOOC] CCA.C08-GRID.i1.23710: NONONOONONONO
[21:54:17]	[LOOC] CCA.C08-GRID.i1.23710: VORT :(
[21:54:20]	[Y] CAC.S71-VRP.50195: I have returned!
[21:54:26]	[Y] CAC.S71-VRP.50195: Aid me, quickly, please!
[21:54:33]	[ME] CAC.S71-VRP.50195: would very much be bleeding.
[21:54:45]	[ME] CCA.C08-GRID.i1.23710: would quickly put the rest of the medigel on it.
[21:55:09]	[ME] Anastasia Ivanovich: sighed. Taking her jacket off.
[21:55:15]	[ME] Anastasia Ivanovich: handed it over.
[21:55:17]	CAC.S71-VRP.50195 used command '/ToggleRaise'.
[21:55:18]	CAC.S71-VRP.50195 used command '/ToggleRaise'.
[21:55:19]	[LOOC] CCA.C08-GRID.i1.23710: thanks, shadow demon
[21:55:34]	[ME] Anastasia Ivanovich: looked built like a shit brickhouse...
[21:55:54]	[ME] CCA.C08-GRID.i1.23710: would take the jacket, tying it around the vort's torso, trying to put pressure on the wound.
[21:55:59]	[LOOC] CAC.S71-VRP.50195: appreciated!&
[21:56:05]	[IT] CAC.S71-VRP.50195: Success.
[21:56:26]	CAC.S71-VRP.50195 has spawned 'models/weapons/w_knife_ct.mdl'.
[21:56:50]	[ME] Anastasia Ivanovich: put her hands back on the wall and pushes.
[21:56:59]	[ME] Nova Wrenrey: helps
[21:57:02]	[ME] CAC.S71-VRP.50195: would raise his left arm and conjure an orb of green lightning.
[21:57:25]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[21:57:29]	[ME] Anastasia Ivanovich: sighed as the Cop left- Leaving this to not work...
[21:57:48]	CAC.S71-VRP.50195 used command '/PlyTransfer vrp vortigaunt'.
[21:57:58]	CAC.S71-VRP.50195 used command '/PlyWhitelist vrp vort'.
[21:57:58]	CAC.S71-VRP.50195 used command '/PlyTransfer vrp vortigaunt'.
[21:57:58]	CAC.S71-VRP.50195 has taken 1 damage from worldspawn.
[21:57:59]	CAC.S71-VRP.50195 has taken 1 damage from worldspawn.
[21:58:00]	CAC.S71-VRP.50195 has taken 1 damage from worldspawn.
[21:58:01]	CAC.S71-VRP.50195 has taken 1 damage from worldspawn.
[21:58:02]	CAC.S71-VRP.50195 has taken 1 damage from worldspawn.
[21:58:02]	CAC.S71-VRP.50195 used command '/PlyTransfer vrp cac'.
[21:58:06]	[LOOC] CAC.S71-VRP.50195: void that
[21:58:09]	[LOOC] CAC.S71-VRP.50195: babe are you there
[21:58:23]	[LOOC] Anastasia Ivanovich: Nova gone
[21:59:14]	[ME] CAC.S71-VRP.50195: would stretch his arms and conjure green lightning in both of their hands. They thrust their arms forward, and a bolt of green... power? hits the brick wall in front of them. It blows.
[21:59:31]	CAC.S71-VRP.50195 has spawned 'models/weapons/w_knife_ct.mdl'.
[21:59:59]	[Y] CAC.S71-VRP.50195: I would advise you not to look down.
[22:00:06]	[Y] CAC.S71-VRP.50195: VVe are in..
[22:00:08]	[Y] CAC.S71-VRP.50195: Sector 71.
[22:00:19]	[Y] CAC.S71-VRP.50195: I more question how you all are here.
[22:00:39]	[Y] CAC.S71-VRP.50195: Crashed how?
[22:00:45]	[Y] CAC.S71-VRP.50195: Why were you in an aircraft?
[22:02:25]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[22:05:16]	CAC.S71-VRP.50195 has spawned a 'Entity [51][pfx4_07]'.
[22:05:35]	[Y] CAC.S71-VRP.50195: I bring light.
[22:06:02]	[Y] CAC.S71-VRP.50195: Do you all...
[22:06:26]	[ME] CAC.S71-VRP.50195: would begin speaking loud vortigese. The light would disappear.
[22:06:57]	[Y] CAC.S71-VRP.50195: CHERR, LANGH GANGH, HELLIG BAHN, MELLIG NOG, HAWIT!
[22:07:25]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[22:07:31]	[Y] CAC.S71-VRP.50195: LANGH GALLILA! GALLILAH GALLILAH LANGH! LANGH! CHERR!
[22:07:37]	[ME] CAC.S71-VRP.50195: would stop.
[22:08:29]	[LOOC] CCA.C08-GRID.i1.23710: your balancing on the fucking tips of your hooves
[22:08:40]	[Y] CAC.S71-VRP.50195: REVEAL YOURSELF!
[22:09:38]	CAC.S71-VRP.50195 used command '/Event Suddenly, the worm returns. If you haven't been here to see this in a previous event, *A* worm appears.'.
[22:09:49]	[Y] CAC.S71-VRP.50195: TO THE VOID WITH YOU!
[22:10:05]	[ME] CAC.S71-VRP.50195: would charge up an attack, but the worm would disappear before the casting is complete. The bolt goes into the air.
[22:11:34]	[W] CAC.S71-VRP.50195: Cherrrrrrr.... Langh....
[22:11:39]	[W] CAC.S71-VRP.50195: Langh..... Gangh.....
[22:11:41]	devilsurvivor45 (STEAM_0:1:197160536) has disconnected.
[22:11:42]	[W] CCA.C08-GRID.i1.23710: <:: What? ::>
[22:12:25]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[22:13:16]	[LOOC] CAC.S71-VRP.50195: disconnected, just kinda void it
[22:13:22]	[LOOC] CAC.S71-VRP.50195: or RP they're with us, however you wanna handle it
[22:13:28]	[LOOC] CCA.C08-GRID.i1.23710: they took a nap
[22:13:55]	[Y] CAC.S71-VRP.50195: TO THE VOID WITH YOU!
[22:14:01]	CAC.S71-VRP.50195 entered observer.
[22:14:11]	[OOC] CCA.C08-GRID.i1.23710: i thought you were gonna smite anastasia
[22:14:19]	CAC.S71-VRP.50195 entered observer.
[22:14:34]	CAC.S71-VRP.50195 entered observer.
[22:14:36]	[OOC] CCA.C08-GRID.i1.23710: OH NO
[22:14:37]	[LOOC] CAC.S71-VRP.50195: shush
[22:14:39]	CAC.S71-VRP.50195 exited observer at their location.
[22:14:41]	CCA.C08-GRID.i1.23710 entered observer.
[22:14:41]	[LOOC] CAC.S71-VRP.50195: didn't see that
[22:14:41]	CAC.S71-VRP.50195 entered observer.
[22:14:43]	CAC.S71-VRP.50195 exited observer at their location.
[22:14:43]	CCA.C08-GRID.i1.23710 exited observer at their location.
[22:14:47]	CAC.S71-VRP.50195 entered observer.
[22:14:50]	CAC.S71-VRP.50195 exited observer at their location.
[22:15:20]	CAC.S71-VRP.50195 entered observer.
[22:15:38]	CAC.S71-VRP.50195 has spawned 'models/props_combine/combine_interface001.mdl'.
[22:15:44]	CAC.S71-VRP.50195 has spawned 'models/props_combine/combine_intmonitor001.mdl'.
[22:15:46]	CAC.S71-VRP.50195 exited observer at their location.
[22:15:46]	[OOC] CCA.C08-GRID.i1.23710: is the entire map just this building?
[22:15:51]	CAC.S71-VRP.50195 entered observer.
[22:15:56]	CAC.S71-VRP.50195 has spawned 'models/props_combine/combine_interface001.mdl'.
[22:15:59]	CAC.S71-VRP.50195 has spawned 'models/props_combine/combine_intmonitor001.mdl'.
[22:16:08]	CAC.S71-VRP.50195 has spawned 'models/Police.mdl'.
[22:16:10]	CAC.S71-VRP.50195 has spawned 'models/Combine_Soldier.mdl'.
