[00:00:35]	[OOC] Alex Palovichov: brb
[13:34:35]	Harold George ran 'Equip' on item 'Green Citizen Suit' (#30353)
[13:34:36]	Harold George used the 'Shopkeeper Jim' vendor.
[13:34:42]	Harold George has lost 8 tokens.
[13:34:42]	Harold George has gained a 'UU Brand Bandage' #31014.
[13:34:43]	Henry Blackwoods has gained a 'Pliers' #31015.
[13:34:45]	Henry Blackwoods ran 'drop' on item 'Pliers' (#31015)
[13:34:45]	Henry Blackwoods has lost a 'Pliers' #31015.
[13:34:55]	Henry Blackwoods ran 'EquipUn' on item 'Empty Glass Bottle' (#30998)
[13:34:56]	Henry Blackwoods ran 'Equip' on item 'Empty Glass Bottle' (#30998)
[13:35:00]	[ME] Harold George: immediately buys a bandage and applies it to his neck, stopping the bleeding.
[13:35:02]	Harold George ran 'AHealSelf' on item 'UU Brand Bandage' (#31014)
[13:35:24]	Henry Blackwoods ran 'take' on item 'Pack of Screws' (#31016)
[13:35:24]	Henry Blackwoods has gained a 'Pack of Screws' #31016.
[13:35:38]	Henry Blackwoods has gained a 'Cloth Scrap' #31017.
[13:36:07]	Painevan loaded the character 'Jonathan Jackson'
[13:36:08]	Henry Blackwoods has gained a 'Small Thermos' #31018.
[13:36:42]	Henry Blackwoods opened the 'Crate' #244 container.
[13:36:42]	Henry Blackwoods closed the 'Crate' #244 container.
[13:36:43]	Henry Blackwoods opened the 'Crate' #244 container.
[13:36:45]	Henry Blackwoods closed the 'Crate' #244 container.
[13:37:01]	Henry Blackwoods has gained a 'Nylon Cord' #31020.
[13:37:03]	Henry Blackwoods ran 'drop' on item 'Nylon Cord' (#31020)
[13:37:03]	Henry Blackwoods has lost a 'Nylon Cord' #31020.
[13:37:15]	Henry Blackwoods has gained a 'Circuit Board' #31021.
[13:37:21]	Henry Blackwoods ran 'drop' on item 'Circuit Board' (#31021)
[13:37:21]	Henry Blackwoods has lost a 'Circuit Board' #31021.
[13:37:37]	[OOC] Jonathan Jackson: I'm lucky bandages are so inexpensive
[13:37:40]	[OOC] Jonathan Jackson: Bleeding is ass
[13:37:52]	Henry Blackwoods has gained a 'Resin' #31022.
[13:38:10]	Henry Blackwoods has gained a 'Cinderblock' #31023.
[13:38:12]	Henry Blackwoods ran 'drop' on item 'Cinderblock' (#31023)
[13:38:12]	Henry Blackwoods has lost a 'Cinderblock' #31023.
[13:38:25]	Henry Blackwoods has gained a 'Nylon Cord' #31024.
[13:38:27]	Henry Blackwoods ran 'drop' on item 'Nylon Cord' (#31024)
[13:38:27]	Henry Blackwoods has lost a 'Nylon Cord' #31024.
[13:38:50]	Henry Blackwoods ran 'take' on item 'Cinderblock' (#31023)
[13:38:50]	Henry Blackwoods has gained a 'Cinderblock' #31023.
[13:39:13]	[OOC] Henry Blackwoods: Can you remove locks from crates now?
[13:39:30]	[OOC] Jonathan Jackson: You always couulld
[13:39:35]	[OOC] Jonathan Jackson: But an admin needs to gm it
[13:39:41]	[OOC] Jonathan Jackson: Since the locks need to be broken
[13:39:46]	[OOC] Henry Blackwoods: Yesterday Bean said you couldn't.
[13:39:53]	[OOC] Henry Blackwoods: It was broken.
[13:40:19]	[OOC] Jonathan Jackson: Well I mean in RP
[13:40:27]	Henry Blackwoods ran 'drop' on item 'Empty Chinese Takeout' (#31000)
[13:40:27]	Henry Blackwoods has lost a 'Empty Chinese Takeout' #31000.
[13:40:30]	[LOOC] Jonathan Jackson: Like doing /mes since some are reinforced locks
[13:40:45]	[OOC] Jonathan Jackson: Since some are reinforced locks
[13:41:01]	Jonathan Jackson opened the 'Crate' #2706 container.
[13:41:06]	Jonathan Jackson has gained a 'Green Citizen Suit' #28351.
[13:41:12]	Jonathan Jackson has gained a 'Crowbar' #23643.
[13:41:20]	Jonathan Jackson closed the 'Crate' #2706 container.
[13:41:27]	Jonathan Jackson ran 'Equip' on item 'Green Citizen Suit' (#28351)
[13:42:13]	Jonathan Jackson ran 'Equip' on item 'Crowbar' (#23643)
[13:43:39]	[IT] Jonathan Jackson: You notice the person is not wearing the same suit as the person you just met.
[13:44:37]	Henry Blackwoods ran 'EquipUn' on item 'Empty Glass Bottle' (#30998)
[13:44:38]	Henry Blackwoods ran 'drop' on item 'Empty Glass Bottle' (#30998)
[13:44:38]	Henry Blackwoods has lost a 'Empty Glass Bottle' #30998.
[13:44:40]	Henry Blackwoods ran 'take' on item 'Pipe' (#31026)
[13:44:44]	Henry Blackwoods ran 'take' on item 'Pipe' (#31026)
[13:44:44]	Henry Blackwoods has gained a 'Pipe' #31026.
[13:44:49]	Henry Blackwoods ran 'Equip' on item 'Pipe' (#31026)
[13:44:56]	Henry Blackwoods ran 'drop' on item 'Pin' (#25964)
[13:44:56]	Henry Blackwoods has lost a 'Pin' #25964.
[13:45:21]	Jonathan Jackson opened the 'Crate' #243 container.
[13:45:22]	Henry Blackwoods has gained a 'Roubles' #31027.
[13:45:29]	Henry Blackwoods ran 'drop' on item 'Roubles' (#31027)
[13:45:29]	Henry Blackwoods has lost a 'Roubles' #31027.
[13:45:33]	Jonathan Jackson closed the 'Crate' #243 container.
[13:46:01]	Henry Blackwoods has gained a 'Cloth Scrap' #31028.
[13:47:04]	Henry Blackwoods ran 'drop' on item 'Small Thermos' (#31018)
[13:47:04]	Henry Blackwoods has lost a 'Small Thermos' #31018.
[13:47:08]	Jonathan Jackson has taken 5 damage from npc_antlion.
[13:48:00]	Jonathan Jackson ran 'take' on item 'Pin' (#25964)
[13:48:00]	Jonathan Jackson has gained a 'Pin' #25964.
[13:48:22]	Henry Blackwoods has gained a 'Box of Matches' #31036.
[13:49:28]	Jonathan Jackson opened the 'Crate' #235 container.
[13:49:32]	Jonathan Jackson closed the 'Crate' #235 container.
[13:49:39]	Henry Blackwoods has taken 5 damage from npc_antlion.
[13:49:40]	Henry Blackwoods has taken 5 damage from npc_antlion.
[13:49:41]	Henry Blackwoods has taken 5 damage from npc_antlion.
[13:50:25]	[ME] Henry Blackwoods: Chuckled
[13:50:48]	Jonathan Jackson ran 'EquipUn' on item 'Green Citizen Suit' (#28351)
[13:50:49]	Jonathan Jackson ran 'EquipUn' on item 'Crowbar' (#23643)
[13:51:52]	Henry Blackwoods opened the 'Metal Cabinet' #161 container.
[13:51:54]	Henry Blackwoods closed the 'Metal Cabinet' #161 container.
[13:52:18]	Painevan loaded the character 'Zombie'
[13:52:43]	[OOC] Zombie: I'll brb in a little while, prob 30 mins
[13:52:56]	Henry Blackwoods has taken 5 damage from npc_antlion.
[13:52:58]	Henry Blackwoods has taken 5 damage from npc_antlion.
[13:52:59]	Henry Blackwoods has taken 5 damage from npc_antlion.
[13:53:39]	Henry Blackwoods has taken 5 damage from npc_antlion.
[13:53:41]	Henry Blackwoods has taken 5 damage from npc_antlion.
[13:53:42]	Henry Blackwoods has taken 5 damage from npc_antlion.
[13:53:44]	Henry Blackwoods has taken 5 damage from npc_antlion.
[13:57:05]	Henry Blackwoods opened the 'Crate' #244 container.
[13:57:07]	Henry Blackwoods closed the 'Crate' #244 container.
[13:57:28]	Henry Blackwoods opened the 'Refrigerator' #2854 container.
[13:57:31]	Henry Blackwoods ran 'Eat' on item 'Cooked Antlion Meat' (#30701)
[13:57:33]	Henry Blackwoods closed the 'Refrigerator' #2854 container.
[13:58:48]	Henry Blackwoods ran 'take' on item 'Armor Scraps' (#31046)
[13:58:54]	Henry Blackwoods ran 'drop' on item 'Scrap Metal' (#31002)
[13:58:54]	Henry Blackwoods has lost a 'Scrap Metal' #31002.
[13:58:57]	Henry Blackwoods ran 'take' on item 'Armor Scraps' (#31046)
[13:58:57]	Henry Blackwoods has gained a 'Armor Scraps' #31046.
[14:01:41]	[OOC] Henry Blackwoods: Brb
[14:05:50]	[OOC] Henry Blackwoods: Back
[14:06:38]	Henry Blackwoods ran 'EquipUn' on item 'Pipe' (#31026)
[14:06:39]	Henry Blackwoods ran 'drop' on item 'Pipe' (#31026)
[14:06:39]	Henry Blackwoods has lost a 'Pipe' #31026.
[14:06:40]	Henry Blackwoods ran 'take' on item 'Shovel' (#31054)
[14:06:43]	Henry Blackwoods ran 'drop' on item 'Wires' (#31004)
[14:06:43]	Henry Blackwoods has lost a 'Wires' #31004.
[14:06:44]	Henry Blackwoods ran 'take' on item 'Shovel' (#31054)
[14:06:45]	Henry Blackwoods ran 'take' on item 'Shovel' (#31054)
[14:06:53]	Henry Blackwoods ran 'take' on item 'Shovel' (#31054)
[14:06:53]	Henry Blackwoods has gained a 'Shovel' #31054.
[14:07:00]	Henry Blackwoods ran 'Equip' on item 'Shovel' (#31054)
[14:08:37]	Henry Blackwoods ran 'drop' on item 'Pack of Screws' (#31016)
[14:08:37]	Henry Blackwoods has lost a 'Pack of Screws' #31016.
[14:08:41]	Henry Blackwoods ran 'take' on item 'Pack of Screws' (#31016)
[14:08:41]	Henry Blackwoods has gained a 'Pack of Screws' #31016.
[14:12:52]	Henry Blackwoods ran 'drop' on item 'Cloth Scrap' (#31028)
[14:12:52]	Henry Blackwoods has lost a 'Cloth Scrap' #31028.
[14:12:55]	Henry Blackwoods ran 'take' on item 'Empty Glass Bottle' (#31072)
[14:12:55]	Henry Blackwoods has gained a 'Empty Glass Bottle' #31072.
[14:24:32]	Henry Blackwoods ran 'drop' on item 'Shovel' (#31054)
[14:24:32]	Henry Blackwoods has lost a 'Shovel' #31054.
[14:24:35]	Henry Blackwoods ran 'take' on item 'Axe' (#31076)
[14:24:35]	Henry Blackwoods has gained a 'Axe' #31076.
[14:24:43]	Henry Blackwoods ran 'Equip' on item 'Axe' (#31076)
[14:24:53]	Henry Blackwoods has gained a 'Silicone Tube' #31077.
[14:24:56]	Henry Blackwoods ran 'drop' on item 'Silicone Tube' (#31077)
[14:24:56]	Henry Blackwoods has lost a 'Silicone Tube' #31077.
[14:25:08]	Henry Blackwoods has gained a 'Minimum Grade Supplements (Fish Flavor)' #31078.
[14:25:13]	Henry Blackwoods ran 'Consume' on item 'Minimum Grade Supplements (Fish Flavor)' (#31078)
[14:25:46]	Henry Blackwoods has gained a 'Notepad' #31078.
[14:26:00]	Henry Blackwoods ran 'drop' on item 'Notepad' (#31078)
[14:26:00]	Henry Blackwoods has lost a 'Notepad' #31078.
[14:26:06]	Henry Blackwoods has gained a 'Empty Paint Can' #31079.
[14:26:09]	Henry Blackwoods ran 'drop' on item 'Empty Paint Can' (#31079)
[14:26:09]	Henry Blackwoods has lost a 'Empty Paint Can' #31079.
[14:26:21]	Henry Blackwoods has gained a 'Raw Headcrab Meat' #31080.
[14:26:42]	Henry Blackwoods ran 'drop' on item 'Raw Headcrab Meat' (#31080)
[14:26:42]	Henry Blackwoods has lost a 'Raw Headcrab Meat' #31080.
[14:26:47]	Henry Blackwoods ran 'take' on item 'Raw Headcrab Meat' (#31080)
[14:26:47]	Henry Blackwoods has gained a 'Raw Headcrab Meat' #31080.
[14:26:50]	Henry Blackwoods ran 'drop' on item 'Raw Headcrab Meat' (#31080)
[14:26:50]	Henry Blackwoods has lost a 'Raw Headcrab Meat' #31080.
[14:27:06]	Henry Blackwoods has gained a 'Citizen Filter' #31081.
[14:27:08]	Henry Blackwoods ran 'drop' on item 'Citizen Filter' (#31081)
[14:27:08]	Henry Blackwoods has lost a 'Citizen Filter' #31081.
[14:28:04]	Henry Blackwoods has gained a 'Light Bulb' #31085.
[14:28:08]	Henry Blackwoods ran 'drop' on item 'Light Bulb' (#31085)
[14:28:08]	Henry Blackwoods has lost a 'Light Bulb' #31085.
[14:29:00]	Henry Blackwoods has gained a 'Scrap Electronics' #31086.
[14:29:03]	Henry Blackwoods ran 'drop' on item 'Scrap Electronics' (#31086)
[14:29:03]	Henry Blackwoods has lost a 'Scrap Electronics' #31086.
[14:29:16]	Henry Blackwoods ran 'drop' on item 'Cyclopic Citizen Suit' (#25893)
[14:29:16]	Henry Blackwoods has lost a 'Cyclopic Citizen Suit' #25893.
[14:29:37]	Henry Blackwoods has gained a 'Piece of Plexiglass' #31087.
[14:29:44]	Henry Blackwoods ran 'drop' on item 'Piece of Plexiglass' (#31087)
[14:29:44]	Henry Blackwoods has lost a 'Piece of Plexiglass' #31087.
[14:30:15]	Henry Blackwoods has gained a 'Raw Fast Headcrab Meat' #31089.
[14:30:46]	Henry Blackwoods has gained a 'Armor Scraps' #31090.
[14:32:38]	Henry Blackwoods ran 'drop' on item 'Raw Fast Headcrab Meat' (#31089)
[14:32:38]	Henry Blackwoods has lost a 'Raw Fast Headcrab Meat' #31089.
[14:32:44]	Henry Blackwoods has taken 5 damage from npc_headcrab.
[14:32:50]	Henry Blackwoods has taken 5 damage from npc_headcrab.
[14:33:04]	Henry Blackwoods ran 'View' on item 'Notepad' (#30681)
[14:33:29]	Henry Blackwoods ran 'EquipUn' on item 'Axe' (#31076)
[14:34:42]	[OOC] Henry Blackwoods: Anybody alive?
[14:34:55]	Henry Blackwoods has gained a 'Broken Clock' #31095.
[14:34:58]	Henry Blackwoods ran 'drop' on item 'Broken Clock' (#31095)
[14:34:58]	Henry Blackwoods has lost a 'Broken Clock' #31095.
[14:35:53]	Henry Blackwoods used the 'Shopkeeper Jim' vendor.
[14:36:08]	Henry Blackwoods used the 'Shopkeeper Jim' vendor.
[14:36:16]	Henry Blackwoods has lost 10 tokens.
[14:36:16]	Henry Blackwoods has gained a 'Flashlight' #31096.
[14:38:16]	Henry Blackwoods opened the 'Dumpster' #2549 container.
[14:38:17]	Henry Blackwoods closed the 'Dumpster' #2549 container.
[14:38:17]	Henry Blackwoods opened the 'Dumpster' #2549 container.
[14:38:19]	Henry Blackwoods closed the 'Dumpster' #2549 container.
[14:38:20]	Henry Blackwoods opened the 'Dumpster' #240 container.
[14:38:23]	Henry Blackwoods closed the 'Dumpster' #240 container.
[14:38:31]	Henry Blackwoods opened the 'Refrigerator' #2577 container.
[14:38:33]	Henry Blackwoods closed the 'Refrigerator' #2577 container.
[14:38:34]	Henry Blackwoods opened the 'Refrigerator' #2577 container.
[14:38:34]	Henry Blackwoods closed the 'Refrigerator' #2577 container.
[14:38:36]	Henry Blackwoods opened the 'Refrigerator' #2577 container.
[14:38:36]	Henry Blackwoods closed the 'Refrigerator' #2577 container.
[14:38:37]	Henry Blackwoods opened the 'Refrigerator' #2577 container.
[14:38:37]	Henry Blackwoods closed the 'Refrigerator' #2577 container.
[14:38:50]	Henry Blackwoods ran 'Equip' on item 'Axe' (#31076)
[14:42:51]	Zombie has taken 2 damage from Zombie.
[14:43:06]	Zombie has taken 2 damage from Zombie.
[14:43:21]	Zombie has taken 2 damage from Zombie.
[14:43:36]	Zombie has taken 2 damage from Zombie.
[14:43:51]	Zombie has taken 2 damage from Zombie.
[14:44:06]	Zombie has taken 2 damage from Zombie.
[14:44:21]	Zombie has taken 2 damage from Zombie.
[14:44:36]	Zombie has taken 2 damage from Zombie.
[14:44:51]	Zombie has taken 2 damage from Zombie.
[14:45:06]	Zombie has taken 2 damage from Zombie.
[14:45:21]	Zombie has taken 2 damage from Zombie.
[14:45:36]	Zombie has taken 2 damage from Zombie.
[14:45:51]	Zombie has taken 2 damage from Zombie.
[14:46:06]	Zombie has taken 2 damage from Zombie.
[14:46:21]	Zombie has taken 2 damage from Zombie.
[14:46:36]	Zombie has taken 2 damage from Zombie.
[14:46:51]	Henry Blackwoods ran 'drop' on item 'Cloth Scrap' (#31017)
[14:46:51]	Henry Blackwoods has lost a 'Cloth Scrap' #31017.
[14:46:51]	Zombie has taken 2 damage from Zombie.
[14:46:52]	Henry Blackwoods ran 'take' on item 'Sewing Kit' (#30120)
[14:46:52]	Henry Blackwoods has gained a 'Sewing Kit' #30120.
[14:47:06]	Zombie has taken 2 damage from Zombie.
[14:47:17]	Henry Blackwoods has gained a 'Sewn Cloth' #31124.
[14:47:21]	Zombie has taken 2 damage from Zombie.
[14:47:36]	Zombie has taken 2 damage from Zombie.
[14:47:51]	Zombie has taken 2 damage from Zombie.
[14:47:52]	Henry Blackwoods has gained a 'Empty Milk Gallon' #31126.
[14:47:56]	Henry Blackwoods ran 'drop' on item 'Empty Milk Gallon' (#31126)
[14:47:56]	Henry Blackwoods has lost a 'Empty Milk Gallon' #31126.
[14:48:06]	Zombie has taken 2 damage from Zombie.
[14:48:21]	Zombie has taken 2 damage from Zombie.
[14:48:31]	Henry Blackwoods has gained a 'Minimum Grade Supplements (No Flavor)' #31128.
[14:48:35]	Henry Blackwoods ran 'Consume' on item 'Minimum Grade Supplements (No Flavor)' (#31128)
[14:48:36]	Zombie has taken 2 damage from Zombie.
[14:48:48]	Henry Blackwoods has gained a 'Cinderblock' #31128.
[14:48:51]	Henry Blackwoods ran 'drop' on item 'Cinderblock' (#31128)
[14:48:51]	Henry Blackwoods has lost a 'Cinderblock' #31128.
[14:48:51]	Zombie has taken 2 damage from Zombie.
[14:49:06]	Henry Blackwoods has gained a 'Radiator Helix' #31129.
[14:49:06]	Zombie has taken 2 damage from Zombie.
[14:49:14]	Henry Blackwoods ran 'drop' on item 'Radiator Helix' (#31129)
[14:49:14]	Henry Blackwoods has lost a 'Radiator Helix' #31129.
[14:49:21]	Zombie has taken 2 damage from Zombie.
[14:49:29]	Henry Blackwoods has gained a 'Wires' #31130.
[14:49:32]	Henry Blackwoods ran 'drop' on item 'Wires' (#31130)
[14:49:32]	Henry Blackwoods has lost a 'Wires' #31130.
[14:49:36]	Zombie has taken 2 damage from Zombie.
[14:49:51]	Henry Blackwoods has gained a 'Cloth Scrap' #31131.
[14:49:52]	Zombie has taken 2 damage from Zombie.
[14:49:52]	Zombie has killed Zombie.
[14:50:01]	Henry Blackwoods ran 'drop' on item 'Empty Glass Bottle' (#31072)
[14:50:01]	Henry Blackwoods has lost a 'Empty Glass Bottle' #31072.
[14:50:57]	Henry Blackwoods has gained a 'Insulating Tape' #31133.
[14:51:50]	Lynch (STEAM_0:1:626926779) has disconnected.
[14:57:04]	Painevan (STEAM_0:0:68118061) has disconnected.
[16:48:20]	Bean has connected.
[16:49:17]	Bean loaded the character 'Alex Palovichov'
[16:49:22]	Alex Palovichov entered observer.
[16:50:07]	Alex Palovichov exited observer at their location.
[16:50:14]	Bean (STEAM_0:1:591779303) has disconnected.
[19:38:00]	Lynch has connected.
[19:39:48]	Lynch loaded the character 'Henry Blackwoods'
[19:40:21]	Henry Blackwoods ran 'drop' on item 'Insulating Tape' (#31133)
[19:40:21]	Henry Blackwoods has lost a 'Insulating Tape' #31133.
[19:40:41]	Henry Blackwoods has gained a 'Sewn Cloth' #31138.
[19:41:50]	Henry Blackwoods ran 'drop' on item 'Cloth Scrap' (#31131)
[19:41:50]	Henry Blackwoods has lost a 'Cloth Scrap' #31131.
[19:42:01]	Henry Blackwoods ran 'AHealSelf' on item 'AI-2 Medikit' (#31141)
[19:43:37]	Henry Blackwoods has gained a 'Spark Plug' #31147.
[19:43:41]	Henry Blackwoods ran 'drop' on item 'Spark Plug' (#31147)
[19:43:41]	Henry Blackwoods has lost a 'Spark Plug' #31147.
[19:44:07]	Henry Blackwoods has gained a 'Bolts' #31148.
[19:44:12]	Henry Blackwoods ran 'drop' on item 'Bolts' (#31148)
[19:44:12]	Henry Blackwoods has lost a 'Bolts' #31148.
[19:44:42]	Henry Blackwoods has gained a 'Silicone Tube' #31149.
[19:44:45]	Henry Blackwoods ran 'drop' on item 'Silicone Tube' (#31149)
[19:44:45]	Henry Blackwoods has lost a 'Silicone Tube' #31149.
[19:44:54]	Henry Blackwoods opened the 'Cash Register' #2418 container.
[19:44:55]	Henry Blackwoods closed the 'Cash Register' #2418 container.
[19:44:56]	Henry Blackwoods opened the 'Cash Register' #2418 container.
[19:45:03]	Henry Blackwoods closed the 'Cash Register' #2418 container.
[19:45:06]	Henry Blackwoods opened the 'Dumpster' #2756 container.
[19:45:09]	Henry Blackwoods closed the 'Dumpster' #2756 container.
[19:45:11]	Henry Blackwoods has gained a 'Old Newspaper' #31150.
[19:45:17]	Henry Blackwoods ran 'drop' on item 'Old Newspaper' (#31150)
[19:45:17]	Henry Blackwoods has lost a 'Old Newspaper' #31150.
[19:45:26]	Henry Blackwoods has gained a 'A Roll of Toilet Paper' #31151.
[19:45:31]	Henry Blackwoods ran 'drop' on item 'A Roll of Toilet Paper' (#31151)
[19:45:31]	Henry Blackwoods has lost a 'A Roll of Toilet Paper' #31151.
[19:45:58]	Henry Blackwoods has gained a 'Empty Glass Bottle' #31152.
[19:46:00]	Henry Blackwoods ran 'drop' on item 'Empty Glass Bottle' (#31152)
[19:46:00]	Henry Blackwoods has lost a 'Empty Glass Bottle' #31152.
[19:46:11]	Henry Blackwoods has gained a 'Bleach' #31153.
[19:59:34]	Henry Blackwoods has taken 2 damage from worldspawn.
[19:59:34]	Henry Blackwoods has taken 100 damage from worldspawn.
[19:59:34]	worldspawn has killed Henry Blackwoods.
[20:00:21]	Henry Blackwoods opened the 'File Cabinet' #2819 container.
[20:00:24]	Henry Blackwoods closed the 'File Cabinet' #2819 container.
[20:02:07]	Henry Blackwoods ran 'View' on item 'Notepad' (#3069)
[20:02:11]	Henry Blackwoods ran 'View' on item 'Notepad' (#3034)
[20:10:58]	Lynch (STEAM_0:1:626926779) has disconnected.
[21:31:53]	CynicalDrippy has connected.
[21:34:57]	vapix_ has gained a 'Green Citizen Suit' #31168.
[21:34:57]	vapix_ has gained a 'Citizen Filter' #31169.
[21:34:57]	CynicalDrippy created the character 'vapix_'
[21:34:57]	vapix_ has gained a 'Suitcase' #31170.
[21:34:57]	vapix_ has gained a 'Relocation Coupon' #31171.
[21:34:57]	CynicalDrippy loaded the character 'vapix_'
[21:35:03]	vapix_ has taken 1 damage from worldspawn.
[21:35:06]	vapix_ has taken 1 damage from worldspawn.
[21:35:13]	vapix_ has taken 1 damage from worldspawn.
[21:35:17]	vapix_ has taken 1 damage from worldspawn.
[21:35:18]	vapix_ has taken 1 damage from worldspawn.
[21:35:19]	vapix_ has taken 1 damage from worldspawn.
[21:35:20]	vapix_ has taken 1 damage from worldspawn.
[21:35:20]	vapix_ has taken 1 damage from worldspawn.
[21:35:21]	vapix_ has taken 1 damage from worldspawn.
[21:35:22]	vapix_ has taken 1 damage from worldspawn.
[21:35:23]	vapix_ has taken 1 damage from worldspawn.
[21:35:23]	vapix_ has taken 1 damage from worldspawn.
[21:35:24]	vapix_ has taken 1 damage from worldspawn.
[21:35:25]	vapix_ has taken 1 damage from worldspawn.
[21:35:26]	vapix_ has taken 1 damage from worldspawn.
[21:35:26]	vapix_ has taken 1 damage from worldspawn.
[21:35:27]	vapix_ has taken 1 damage from worldspawn.
[21:35:28]	vapix_ has taken 1 damage from worldspawn.
[21:35:29]	vapix_ has taken 1 damage from worldspawn.
[21:35:29]	vapix_ has taken 1 damage from worldspawn.
[21:35:31]	vapix_ has taken 1 damage from worldspawn.
[21:35:32]	vapix_ has taken 1 damage from worldspawn.
[21:35:33]	vapix_ has taken 1 damage from worldspawn.
[21:35:33]	vapix_ has taken 1 damage from worldspawn.
[21:35:35]	vapix_ has taken 1 damage from worldspawn.
[21:35:39]	vapix_ has taken 1 damage from worldspawn.
[21:35:40]	vapix_ has taken 1 damage from worldspawn.
[21:35:40]	vapix_ has taken 1 damage from worldspawn.
[21:35:41]	vapix_ has taken 1 damage from worldspawn.
[21:35:45]	vapix_ has taken 1 damage from worldspawn.
[21:35:46]	vapix_ has taken 1 damage from worldspawn.
[21:35:47]	vapix_ has taken 1 damage from worldspawn.
[21:35:47]	vapix_ has taken 1 damage from worldspawn.
[21:35:48]	vapix_ has taken 1 damage from worldspawn.
[21:35:49]	vapix_ has taken 1 damage from worldspawn.
[21:35:50]	vapix_ has taken 1 damage from worldspawn.
[21:35:50]	vapix_ has taken 1 damage from worldspawn.
[21:35:51]	vapix_ has taken 1 damage from worldspawn.
[21:35:52]	vapix_ has taken 1 damage from worldspawn.
[21:35:53]	vapix_ has taken 1 damage from worldspawn.
[21:35:53]	vapix_ has taken 1 damage from worldspawn.
[21:35:54]	vapix_ has taken 1 damage from worldspawn.
[21:35:55]	vapix_ has taken 1 damage from worldspawn.
[21:35:56]	vapix_ has taken 1 damage from worldspawn.
[21:35:56]	vapix_ has taken 1 damage from worldspawn.
[21:35:57]	vapix_ has taken 1 damage from worldspawn.
[21:35:58]	vapix_ has taken 1 damage from worldspawn.
[21:35:59]	vapix_ has taken 1 damage from worldspawn.
[21:35:59]	vapix_ has taken 1 damage from worldspawn.
[21:36:00]	vapix_ has taken 1 damage from worldspawn.
[21:36:01]	vapix_ has taken 1 damage from worldspawn.
[21:36:02]	vapix_ has taken 1 damage from worldspawn.
[21:36:02]	vapix_ has taken 1 damage from worldspawn.
[21:36:03]	vapix_ has taken 1 damage from worldspawn.
[21:37:15]	vapix_ has taken 1 damage from worldspawn.
[21:37:18]	vapix_ has taken 1 damage from worldspawn.
[21:37:23]	vapix_ has taken 1 damage from worldspawn.
[21:37:31]	vapix_ has taken 1 damage from worldspawn.
[21:37:32]	vapix_ has taken 1 damage from worldspawn.
[21:37:32]	vapix_ has taken 1 damage from worldspawn.
[21:37:33]	vapix_ has taken 1 damage from worldspawn.
[21:37:34]	vapix_ has taken 1 damage from worldspawn.
[21:37:35]	vapix_ has taken 1 damage from worldspawn.
[21:37:35]	vapix_ has taken 1 damage from worldspawn.
[21:37:36]	vapix_ has taken 1 damage from worldspawn.
[21:37:37]	vapix_ has taken 1 damage from worldspawn.
[21:37:38]	vapix_ has taken 1 damage from worldspawn.
[21:37:38]	vapix_ has taken 1 damage from worldspawn.
[21:37:39]	vapix_ has taken 1 damage from worldspawn.
[21:37:40]	vapix_ has taken 1 damage from worldspawn.
[21:37:41]	vapix_ has taken 1 damage from worldspawn.
[21:37:41]	vapix_ has taken 1 damage from worldspawn.
[21:37:42]	vapix_ has taken 1 damage from worldspawn.
[21:37:43]	vapix_ has taken 1 damage from worldspawn.
[21:38:05]	CynicalDrippy (STEAM_0:0:522431062) has disconnected.
