[02:39:56]	guswagner937 has connected.
[20:54:31]	Madeline Wuntch (STEAM_0:0:193599766) has disconnected.
[20:54:32]	[ME] Sarah Mundorff: draws a small syringe filled with gel, and inserts it into one of the mans viens and injecting the contents.
[20:54:34]	[OOC] CCA.C14-UNION.EpU.72633: Bruh
[20:54:41]	[OOC] CCA.C14-UNION.EpU.72633: I was gonna get him over but alright
[20:54:42]	Sarah Mundorff has spawned a 'Entity [2712][item_healthkit]'.
[20:54:49]	[LOOC] Jimmy 'Watcher 3' John: drrrip
[20:54:53]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit moving into the CMB.'.
[20:55:00]	[ME] Sarah Mundorff: takes a large bandage and wraps it around the mans head.
[20:55:17]	Jimmy 'Watcher 3' John used command '/ExitAct'.
[20:55:21]	[ME] Jimmy 'Watcher 3' John: quickly stood up, hearing the door.
[20:55:33]	[OOC] CCA.C14-UNION.EpU.72633: I really need a fucking Unit
[20:56:41]	Sarah Mundorff used command '/ChangeSocioStatus red'.
[20:57:27]	[LOOC] CCA.C14-UNION.EpU.72633: Indeed, fuck descriptions
[20:58:16]	[ME] CCA.C14-UNION.EpU.72633: Takes out a PDA and begins typing onto it
[20:58:17]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[20:58:21]	CCA.C14-UNION.EpU.72633 used command '/ViewObjectives'.
[20:59:39]	Sarah Mundorff entered observer.
[20:59:45]	Sarah Mundorff exited observer at their location.
[20:59:46]	[ME] Jimmy 'Watcher 3' John: would train the pulse rifle on the door, ready to blast anyone who dared to open it.
[21:00:10]	CCA.C14-UNION.EpU.72633 used command '/Radio CMB is clear, currently waiting for another unit to continue the sweep.'.
[21:00:20]	Madeline Wuntch has connected.
[21:00:26]	[OOC] CCA.C14-UNION.EpU.72633: YES ANOTHER UNIT
[21:00:36]	[OOC] CCA.C14-UNION.EpU.72633: I can now do things
[21:00:48]	[CGN] Painevan loaded the character 'Ben Chomizack'
[21:00:48]	Ben Chomizack entered observer.
[21:00:55]	Ben Chomizack has spawned a 'Entity [2716][item_healthvial]'.
[21:01:00]	Ben Chomizack has spawned a 'Entity [2716][item_healthvial]'.
[21:01:06]	CCA.C14-UNION.EpU.72633 used command '/ViewObjectives'.
[21:01:10]	[OOC] Jimmy 'Watcher 3' John: im still half
[21:01:13]	[CGN] Painevan loaded the character 'CCA.C14-HELIX.i4.50299'
[21:01:14]	CCA.C14-HELIX.i4.50299 entered observer.
[21:01:21]	CCA.C14-UNION.EpU.72633 used command '/ViewObjectives'.
[21:01:24]	[OOC] CCA.C14-HELIX.i4.50299: Yeah its progressive healing
[21:01:27]	[OOC] Jimmy 'Watcher 3' John: oh ok
[21:02:02]	Madeline Wuntch loaded the character 'CCA.C14-GRID.i4.36307'
[21:02:03]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[21:02:08]	[CGN] Painevan loaded the character 'Sarah Mundorff'
[21:02:09]	[OOC] CCA.C14-GRID.i4.36307: finally
[21:02:15]	CCA.C14-UNION.EpU.72633 used command '/Radio HELIX, move to 10-20 plaza. we're beginning a sweep'.
[21:02:25]	CCA.C14-UNION.EpU.72633 used command '/Radio Disregard HELIX'.
[21:02:56]	CCA.C14-UNION.EpU.72633 ran 'create' on item 'Squad Identification Device' (#18934)
[21:03:12]	CCA.C14-GRID.i4.36307 ran 'join' on item 'Squad Identification Device' (#18892)
[21:03:12]	CCA.C14-UNION.EpU.72633 ran 'setcolor' on item 'Squad Identification Device' (#18934)
[21:03:17]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:03:20]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:03:28]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:03:55]	[W] Sarah Mundorff: Before you leave, there should be a large contaner with gel on it, when you get through use it to clean yourself otherwise you will be infected.
[21:03:57]	Sarah Mundorff entered observer.
[21:03:59]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:04:01]	[LOOC] Jimmy 'Watcher 3' John: oh
[21:04:04]	Sarah Mundorff exited observer at their location.
[21:04:09]	[LOOC] Jimmy 'Watcher 3' John: no
[21:04:16]	[LOOC] Jimmy 'Watcher 3' John: what
[21:04:30]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:04:33]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:04:33]	Sarah Mundorff entered observer.
[21:04:54]	Sarah Mundorff exited observer at their location.
[21:05:11]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:05:20]	[ME] Sarah Mundorff: sits down on the bench
[21:06:01]	[ME] Jimmy 'Watcher 3' John: would look to the resin, picking it up.
[21:06:02]	Jimmy 'Watcher 3' John ran 'take' on item 'Resin' (#25902)
[21:06:02]	Jimmy 'Watcher 3' John has gained a 'Resin' #25902.
[21:06:09]	[ME] Sarah Mundorff: gets up.
[21:06:14]	Sarah Mundorff entered observer.
[21:06:26]	[ME] Jimmy 'Watcher 3' John: would crouch down, opening the box up.
[21:06:28]	[OOC] Jimmy 'Watcher 3' John: paine
[21:06:29]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit reporting, a ECHO unit may need to sweep the sewers. Suspect might be in the sewers'.
[21:06:33]	Jimmy 'Watcher 3' John rolled 60 out of 100.
[21:06:33]	Jimmy 'Watcher 3' John used command '/Roll'.
[21:06:46]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:06:52]	Sarah Mundorff used command '/adminspawnmenu'.
[21:07:02]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[21:07:11]	Sarah Mundorff has spawned "Pulse Ammunition"
[21:07:13]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:07:29]	Sarah Mundorff used command '/adminspawnmenu'.
[21:07:32]	Sarah Mundorff has spawned "Pulse Ammunition"
[21:07:39]	Jimmy 'Watcher 3' John ran 'take' on item 'Pulse Ammunition' (#26024)
[21:07:39]	Jimmy 'Watcher 3' John has gained a 'Pulse Ammunition' #26024.
[21:07:44]	[IT] Sarah Mundorff: You find a small amount of pulse ammo.
[21:07:52]	[ME] Jimmy 'Watcher 3' John: would swoop it up, stuffing it in his bag.
[21:08:09]	Sarah Mundorff has spawned a 'Entity [1615][item_healthvial]'.
[21:08:15]	[IT] Sarah Mundorff: You feel better.
[21:08:17]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:08:24]	[OOC] CCA.C14-GRID.i4.36307: oh god
[21:08:27]	[OOC] Sarah Mundorff: What
[21:08:31]	[ME] Jimmy 'Watcher 3' John: would crouch down, opening this box again. He would feel the warm sensation from his body fighting the virus.
[21:08:31]	Jimmy 'Watcher 3' John rolled 88 out of 100.
[21:08:31]	Jimmy 'Watcher 3' John used command '/Roll'.
[21:08:33]	[ME] CCA.C14-UNION.EpU.72633: Grabs the unit and pulls him over
[21:08:35]	[OOC] CCA.C14-GRID.i4.36307: im balancing on the shutters
[21:08:39]	Sarah Mundorff used command '/adminspawnmenu'.
[21:08:42]	[OOC] CCA.C14-GRID.i4.36307: nevermind
[21:08:55]	[OOC] CCA.C14-UNION.EpU.72633: I imagined you were hanging onto the edge, for reality sakes
[21:09:11]	[OOC] CCA.C14-GRID.i4.36307: that's more realistic
[21:09:15]	Sarah Mundorff has spawned "Gunpowder"
[21:09:15]	Sarah Mundorff has spawned "Gunpowder"
[21:09:28]	[IT] Sarah Mundorff: You find boxes of gunpowder
[21:09:31]	[ME] Jimmy 'Watcher 3' John: would swoop the gunpowder up, yet again stuffing it in his bag.
[21:09:33]	Jimmy 'Watcher 3' John ran 'take' on item 'Gunpowder' (#26026)
[21:09:33]	Jimmy 'Watcher 3' John has gained a 'Gunpowder' #26026.
[21:09:34]	Jimmy 'Watcher 3' John ran 'take' on item 'Gunpowder' (#26025)
[21:09:34]	Jimmy 'Watcher 3' John has gained a 'Gunpowder' #26025.
[21:09:42]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit reporting, anti-citizens may be traversing the rooftops via a few platforms.'.
[21:09:59]	[ME] CCA.C14-UNION.EpU.72633: hastily dashes off of the skylight
[21:10:00]	[LOOC] CCA.C14-GRID.i4.36307: i think that's a skylight?
[21:10:51]	CCA.C14-UNION.EpU.72633 used command '/Radio Zero signs of anti-citizen, returning to standard duties'.
[21:11:13]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit going 10-7'.
[21:11:18]	CCA.C14-GRID.i4.36307 used command '/Radio 10-4'.
[21:11:42]	[LOOC] Jimmy 'Watcher 3' John: oh god
[21:11:53]	[LOOC] CCA.C14-UNION.EpU.72633: BET
[21:11:56]	Jimmy 'Watcher 3' John has taken 18 damage from npc_turret_floor.
[21:11:56]	Jimmy 'Watcher 3' John has taken 3 damage from npc_turret_floor.
[21:12:02]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[21:12:07]	[LOOC] CCA.C14-UNION.EpU.72633: Bruh
[21:12:20]	[OOC] CCA.C14-UNION.EpU.72633: bet, gonna get on ECHO
[21:12:42]	FB|| light ROOM loaded the character 'CCA.C14-ECHO.OWC.39412'
[21:12:52]	[OOC] CCA.C14-ECHO.OWC.39412: Quickly, Grunt SMG give plez
[21:12:58]	[OOC] Sarah Mundorff: yes
[21:13:05]	CCA.C14-ECHO.OWC.39412 used command '/Radio ECHO unit responding to QZ camera alert.'.
[21:13:13]	Sarah Mundorff has spawned a 'Weapon [3195][tfa_psmg]'.
[21:13:26]	CCA.C14-ECHO.OWC.39412 used command '/Radio I'll need your assistance i4'.
[21:13:42]	CCA.C14-GRID.i4.36307 used command '/Radio Copy'.
[21:13:57]	CCA.C14-ECHO.OWC.39412 used command '/Radio Close the forcefield'.
[21:14:04]	Sarah Mundorff has spawned a 'NPC [3222][npc_zombie]'.
[21:14:12]	Sarah Mundorff has spawned a 'NPC [2275][npc_zombie]'.
[21:14:14]	Sarah Mundorff has spawned a 'NPC [2276][npc_headcrab]'.
[21:14:15]	Jimmy 'Watcher 3' John has taken 5 damage from npc_headcrab.
[21:14:17]	[OOC] CCA.C14-GRID.i4.36307: so in the guide
[21:14:26]	[OOC] Sarah Mundorff: Yes?
[21:14:31]	Sarah Mundorff has spawned a 'NPC [2277][npc_zombie]'.
[21:14:32]	[OOC] CCA.C14-GRID.i4.36307: sociostatus red says primaries are to be issued to every unit
[21:14:43]	[OOC] CCA.C14-ECHO.OWC.39412: It fucken does, when did that happen?
[21:14:48]	[OOC] CCA.C14-GRID.i4.36307: check
[21:14:52]	[OOC] CCA.C14-GRID.i4.36307: its near the bottom
[21:14:53]	[OOC] Sarah Mundorff: Too bad we dont have a high command unit on
[21:15:07]	[OOC] CCA.C14-ECHO.OWC.39412: Currently busy, cuck
[21:15:24]	Sarah Mundorff used command '/CharSetBodygroup mundorff torso 8'.
[21:15:29]	[ME] Jimmy 'Watcher 3' John: would crouch down now, aiming at the door.
[21:15:39]	[OOC] Sarah Mundorff: Just keep patroling as I want to say
[21:16:10]	[CGN] Painevan loaded the character 'OTA.C08-HAMMER.OWS.00519'
[21:16:17]	OTA.C08-HAMMER.OWS.00519 used command '/Radio What the hell is going on?'.
[21:16:18]	OTA.C08-HAMMER.OWS.00519 entered observer.
[21:16:31]	[OOC] CCA.C14-GRID.i4.36307: h m m
[21:16:34]	CCA.C14-ECHO.OWC.39412 used command '/Radio An armed anti-citizen was spotted in the QZ.'.
[21:16:47]	CCA.C14-ECHO.OWC.39412 used command '/Radio BOL for him has been updated, check the BOL board.'.
[21:16:52]	[OOC] Jimmy 'Watcher 3' John: btw, if you didn't hear it, a .357 went off in the sewers twice
[21:16:56]	CCA.C14-GRID.i4.36307 used command '/ViewObjectives'.
[21:17:02]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[21:17:11]	OTA.C08-HAMMER.OWS.00519 used command '/Radio I want you to go search the main part of the sewers near that shack in there, he is likely hiding there.'.
[21:17:21]	OTA.C08-HAMMER.OWS.00519 used command '/Radio Enter through the entrance in the QZ.'.
[21:17:23]	CCA.C14-ECHO.OWC.39412 used command '/Radio Copy that'.
[21:17:33]	OTA.C08-HAMMER.OWS.00519 exited observer at their location.
[21:17:38]	[CGN] Painevan loaded the character 'Sarah Mundorff'
[21:17:40]	Sarah Mundorff entered observer.
[21:18:05]	[ME] Jimmy 'Watcher 3' John: would check over himself, feeling his kevlar where the turrets blasted 'em.
[21:18:36]	Sarah Mundorff exited observer at their location.
[21:18:55]	Sarah Mundorff entered observer.
[21:19:14]	Sarah Mundorff has spawned a 'NPC [2276][npc_zombie]'.
[21:19:15]	Sarah Mundorff has spawned a 'NPC [3222][npc_zombie]'.
[21:19:17]	Sarah Mundorff has spawned a 'NPC [3227][npc_zombie]'.
[21:19:17]	CCA.C14-ECHO.OWC.39412 used command '/Radio Sighted'.
[21:19:29]	CCA.C14-ECHO.OWC.39412 used command '/Radio Moving in, code: sword.'.
[21:19:42]	[ME] Jimmy 'Watcher 3' John: would peek from the wall, blocking most of his body.
[21:19:53]	Sarah Mundorff exited observer at their location.
[21:19:57]	[ME] Jimmy 'Watcher 3' John: would take aim, ready to blast anybody who dared to come in.
[21:20:15]	Sarah Mundorff entered observer.
[21:20:27]	CCA.C14-ECHO.OWC.39412 used command '/Radio HAMMER, I would advise you move to the elevator shaft and flank them.'.
[21:20:28]	Sarah Mundorff exited observer at their location.
[21:20:35]	Sarah Mundorff entered observer.
[21:20:35]	Sarah Mundorff exited observer at their location.
[21:20:36]	Sarah Mundorff entered observer.
[21:20:38]	Sarah Mundorff exited observer at their location.
[21:20:47]	[ME] Jimmy 'Watcher 3' John: would step back, hiding himself.
[21:20:51]	[ME] Jimmy 'Watcher 3' John: would still aim up, though.
[21:20:55]	Sarah Mundorff entered observer.
[21:21:16]	Sarah Mundorff exited observer at their location.
[21:21:16]	[ME] Jimmy 'Watcher 3' John: would peek, squeesing down on the trigger.
[21:21:19]	Sarah Mundorff entered observer.
[21:21:21]	Sarah Mundorff exited observer at their location.
[21:21:23]	[Y] Jimmy 'Watcher 3' John: FUCK OFF!
[21:21:49]	[ME] CCA.C14-ECHO.OWC.39412: Would walk back and simply wait with his finger on the trigger.
[21:21:57]	[ME] Jimmy 'Watcher 3' John: would aim the gun itself around the corner, spraying at the doorway.
[21:21:58]	[ME] Sarah Mundorff: would come behind the OTA unit and smash the butt of the gun into their head trying to knock them out
[21:22:00]	CCA.C14-ECHO.OWC.39412 has taken 25 damage from Jimmy 'Watcher 3' John.
[21:22:02]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[21:22:16]	[LOOC] CCA.C14-ECHO.OWC.39412: I get it
[21:22:28]	[LOOC] Jimmy 'Watcher 3' John: you probably got lit up but ill let you react
[21:22:52]	[LOOC] CCA.C14-ECHO.OWC.39412: Also, I don't know if I should go S2K or RP so i'm just letting the situation go and see what to do
[21:22:52]	Sarah Mundorff used command '/RollStat str'.
[21:22:54]	CCA.C14-ECHO.OWC.39412 rolled 91 out of 100.
[21:22:54]	CCA.C14-ECHO.OWC.39412 used command '/Roll'.
[21:22:56]	Sarah Mundorff used command '/RollStat str'.
[21:23:05]	[LOOC] CCA.C14-ECHO.OWC.39412: Alright
[21:23:08]	CCA.C14-ECHO.OWC.39412 used command '/RollStat con'.
[21:23:13]	CCA.C14-ECHO.OWC.39412 used command '/RollStat con'.
[21:23:16]	[LOOC] CCA.C14-ECHO.OWC.39412: Bruh
[21:23:27]	[ME] Jimmy 'Watcher 3' John: would rush over to the door, aiming his gun out the doorway.
[21:23:31]	[ME] Sarah Mundorff: smashes the gun butt into the OTA's head knocking them out.
[21:23:38]	[LOOC] CCA.C14-ECHO.OWC.39412: /fallover?
[21:23:43]	CCA.C14-ECHO.OWC.39412 used command '/CharFallOver'.
[21:24:01]	[ME] CCA.C14-ECHO.OWC.39412: Would be the biggest of Knocked out
[21:24:20]	[ME] Jimmy 'Watcher 3' John: would sling his rifle, grabbing him by his arms and legs.
[21:24:47]	[ME] Jimmy 'Watcher 3' John: would let go, instead taking the two grenades that sat on his chest.
[21:25:03]	[OOC] CCA.C14-ECHO.OWC.39412: Doesn't take the gun
[21:25:09]	Sarah Mundorff has taken 5 damage from npc_headcrab.
[21:25:23]	[OOC] CCA.C14-ECHO.OWC.39412: Also, unsure of when to wake up
[21:25:30]	[OOC] Sarah Mundorff: set a timer for 1 min
[21:25:33]	[OOC] CCA.C14-ECHO.OWC.39412: BET
[21:25:51]	[ME] Jimmy 'Watcher 3' John: would take his gas mask off, "Why."
[21:26:07]	[ME] Sarah Mundorff: takes a blindfold and wraps it around the mans head.
[21:26:20]	[OOC] CCA.C14-GRID.i4.36307: somethings up with the locks
[21:26:22]	[IT] Sarah Mundorff: You hear some knocking a door open.
[21:26:23]	Sarah Mundorff entered observer.
[21:26:25]	[OOC] CCA.C14-ECHO.OWC.39412: F
[21:26:33]	Sarah Mundorff exited observer at their location.
[21:26:45]	[OOC] CCA.C14-GRID.i4.36307: all i can see is the green light
[21:26:49]	CCA.C14-ECHO.OWC.39412 used command '/CharGetUp'.
[21:26:54]	[IT] Sarah Mundorff: The doors shut again as you are brought into a room.
[21:27:02]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[21:27:11]	CCA.C14-ECHO.OWC.39412 used command '/Radio Unit reporting, I was ambushed. Both are heavily armed.'.
[21:27:25]	CCA.C14-ECHO.OWC.39412 used command '/Radio This will require assistance'.
[21:27:40]	CCA.C14-ECHO.OWC.39412 used command '/PM Sarah I might need the HAMMER unit for a bit'.
[21:27:50]	CCA.C14-GRID.i4.36307 used command '/Radio En route?'.
[21:27:55]	[LOOC] Jimmy 'Watcher 3' John: alright
[21:27:56]	Sarah Mundorff entered observer.
[21:27:59]	Sarah Mundorff exited observer at their location.
[21:28:10]	CCA.C14-ECHO.OWC.39412 used command '/Radio 10-2, CCA aren't suited for the sewers.'.
[21:28:14]	[CGN] Painevan loaded the character 'OTA.C08-HAMMER.OWS.00519'
[21:28:15]	OTA.C08-HAMMER.OWS.00519 entered observer.
[21:28:22]	CCA.C14-ECHO.OWC.39412 used command '/Radio HAMMER, do you read?'.
[21:28:22]	OTA.C08-HAMMER.OWS.00519 used command '/PM owc I'm on it'.
[21:28:25]	CCA.C14-GRID.i4.36307 used command '/Radio // f'.
[21:28:28]	CCA.C14-ECHO.OWC.39412 used command '/Reply K'.
[21:28:30]	OTA.C08-HAMMER.OWS.00519 used command '/Radio Copy.'.
[21:28:50]	CCA.C14-ECHO.OWC.39412 used command '/Radio Two anti-citizens in the sewers, one was the suspect. I was ambushed and knocked out.'.
[21:28:59]	CCA.C14-ECHO.OWC.39412 used command '/Radio Both are heavily armed.'.
[21:29:01]	OTA.C08-HAMMER.OWS.00519 used command '/Radio Fucking hell.'.
[21:29:18]	OTA.C08-HAMMER.OWS.00519 used command '/Radio I'll meet you down there, hold on.'.
[21:29:29]	CCA.C14-ECHO.OWC.39412 used command '/Radio Copy, currently standing by near the elevator shaft.'.
[21:29:37]	OTA.C08-HAMMER.OWS.00519 used command '/Radio Unit moving out to ECHO's 10-20.'.
[21:29:47]	OTA.C08-HAMMER.OWS.00519 exited observer at their location.
[21:30:18]	OTA.C08-HAMMER.OWS.00519 used command '/Radio Union clear the apartment buildings.'.
[21:30:18]	OTA.C08-HAMMER.OWS.00519 entered observer.
[21:30:19]	OTA.C08-HAMMER.OWS.00519 exited observer at their location.
[21:30:40]	OTA.C08-HAMMER.OWS.00519 entered observer.
[21:30:45]	OTA.C08-HAMMER.OWS.00519 exited observer at their location.
[21:31:07]	CCA.C14-GRID.i4.36307 used command '/Radio // is that supposed to be referring to me'.
[21:31:17]	OTA.C08-HAMMER.OWS.00519 used command '/Radio // Sorry yes'.
[21:31:33]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:31:59]	XYZ509 (STEAM_0:1:116497963) has disconnected (timed out).
[21:32:02]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[21:32:02]	[OOC] CCA.C14-ECHO.OWC.39412: F
[21:32:04]	[OOC] CCA.C14-GRID.i4.36307: huh clearing apartments alone, sounds safe enough
[21:32:05]	[OOC] CCA.C14-GRID.i4.36307: F
[21:32:08]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:32:08]	[OOC] OTA.C08-HAMMER.OWS.00519: f
[21:32:35]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:32:42]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:33:28]	CCA.C14-GRID.i4.36307 opened the '' #1902 container.
[21:33:31]	CCA.C14-GRID.i4.36307 closed the '' #1902 container.
[21:33:46]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3240][npc_zombie]'.
[21:34:10]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3248][npc_poisonzombie]'.
[21:34:16]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3248][npc_zombie]'.
[21:34:19]	[OOC] CCA.C14-GRID.i4.36307: ugh what do i do with locked cabinets when clearing
[21:34:29]	[OOC] OTA.C08-HAMMER.OWS.00519: Ignore them that is legal
[21:34:34]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:34:38]	[Y] OTA.C08-HAMMER.OWS.00519: <:: Clear. ::>
[21:34:39]	[OOC] CCA.C14-ECHO.OWC.39412: Fucking ladder won't work
[21:34:40]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:35:23]	OTA.C08-HAMMER.OWS.00519 entered observer.
[21:35:24]	OTA.C08-HAMMER.OWS.00519 exited observer at their location.
[21:35:28]	[LOOC] CCA.C14-ECHO.OWC.39412: Lmao
[21:35:32]	CCA.C14-GRID.i4.36307 used command '/Radio Moscow block is clear'.
[21:35:35]	CCA.C14-ECHO.OWC.39412 used command '/Radio 10-4'.
[21:35:58]	OTA.C08-HAMMER.OWS.00519 entered observer.
[21:36:14]	[OOC] CCA.C14-GRID.i4.36307: i hate how many doors volgograd has
[21:36:18]	[OOC] OTA.C08-HAMMER.OWS.00519: f
[21:36:33]	OTA.C08-HAMMER.OWS.00519 exited observer at their location.
[21:36:39]	CCA.C14-ECHO.OWC.39412 used command '/Radio Cleaned'.
[21:36:44]	OTA.C08-HAMMER.OWS.00519 used command '/Radio Copy.'.
[21:37:02]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[21:38:59]	OTA.C08-HAMMER.OWS.00519 used command '/Radio HAMMER unit on standby, changing Socio Status to yellow.'.
[21:39:01]	CCA.C14-ECHO.OWC.39412 used command '/Radio GRID, report to the QZ entrance and lock the forcefield'.
[21:39:08]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:39:15]	OTA.C08-HAMMER.OWS.00519 used command '/ChangeSocioStatus yellow'.
[21:39:28]	CCA.C14-GRID.i4.36307 used command '/Radio 10-4, en route, volgograd is clear.'.
[21:39:33]	CCA.C14-ECHO.OWC.39412 used command '/Radio Copy'.
[21:39:57]	OTA.C08-HAMMER.OWS.00519 entered observer.
[21:40:16]	[OOC] CCA.C14-GRID.i4.36307: !
[21:40:24]	[OOC] CCA.C14-GRID.i4.36307: that's a weird glitch
[21:40:25]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3291][npc_zombine]'.
[21:40:41]	[OOC] OTA.C08-HAMMER.OWS.00519: What is
[21:40:50]	[OOC] CCA.C14-GRID.i4.36307: stupid texture glitch
[21:40:55]	CCA.C14-ECHO.OWC.39412 used command '/Radio Tagging one OTA necrotic'.
[21:40:56]	[OOC] CCA.C14-GRID.i4.36307: it's being s t r e t c h e d
[21:41:03]	OTA.C08-HAMMER.OWS.00519 used command '/Radio Copy.'.
[21:41:15]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3291][npc_zombie]'.
[21:41:16]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3292][npc_zombie]'.
[21:41:17]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3293][npc_zombie]'.
[21:41:21]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3295][npc_zombie]'.
[21:41:25]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:41:27]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3299][npc_fastzombie]'.
[21:41:40]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3299][npc_antlion_worker]'.
[21:41:52]	CCA.C14-ECHO.OWC.39412 used command '/Radio Multiple Necrotics tagged'.
[21:42:02]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3299][npc_zombie]'.
[21:42:02]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[21:42:03]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3301][npc_zombie]'.
[21:42:11]	CCA.C14-GRID.i4.36307 used command '/Radio All apartment blocks have been cleared'.
[21:42:14]	CCA.C14-GRID.i4.36307 used command '/ToggleRaise'.
[21:42:16]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3302][npc_poisonzombie]'.
[21:42:36]	CCA.C14-ECHO.OWC.39412 used command '/Radio tagging one virome'.
[21:42:51]	CCA.C14-ECHO.OWC.39412 used command '/Radio And also.......what is this large orange crystal?'.
[21:43:11]	OTA.C08-HAMMER.OWS.00519 used command '/Radio I assume I know what you mean, that has been there.'.
[21:43:26]	CCA.C14-ECHO.OWC.39412 used command '/Radio Copy, resuming search'.
[21:43:36]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3302][npc_fastzombie]'.
[21:43:39]	CCA.C14-ECHO.OWC.39412 has taken 5 damage from npc_fastzombie.
[21:43:39]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3303][npc_fastzombie]'.
[21:43:40]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3305][npc_fastzombie]'.
[21:43:47]	XYZ509 has connected.
[21:43:53]	CCA.C14-ECHO.OWC.39412 has taken 5 damage from npc_fastzombie.
[21:44:09]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3305][npc_headcrab_fast]'.
[21:44:10]	CCA.C14-ECHO.OWC.39412 has taken 5 damage from npc_headcrab_fast.
[21:44:13]	CCA.C14-ECHO.OWC.39412 has taken 5 damage from npc_headcrab_fast.
[21:44:18]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3305][npc_zombie]'.
[21:44:19]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3307][npc_zombie]'.
[21:44:22]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3308][npc_zombine]'.
[21:44:24]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3309][npc_zombie_torso]'.
[21:44:30]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3310][npc_headcrab]'.
[21:45:00]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3305][npc_zombine]'.
[21:45:21]	CCA.C14-GRID.i4.36307 used command '/Radio I just heard an explosion'.
[21:45:27]	OTA.C08-HAMMER.OWS.00519 used command '/Radio Echo what was that?'.
[21:45:32]	CCA.C14-ECHO.OWC.39412 used command '/Radio Disregard, one necrotic OTA'.
[21:45:36]	CCA.C14-ECHO.OWC.39412 used command '/Radio tagged'.
[21:45:39]	OTA.C08-HAMMER.OWS.00519 used command '/Radio Copy.'.
[21:45:57]	XYZ509 loaded the character 'Jimmy 'Watcher 3' John'
[21:46:00]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3305][monster_zombie_soldier]'.
[21:46:01]	[OOC] Jimmy 'Watcher 3' John: ok im back
[21:46:02]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3309][monster_zombie_barney]'.
[21:46:04]	OTA.C08-HAMMER.OWS.00519 has spawned a 'NPC [3310][npc_zombie]'.
