[00:00:01]	[LOOC] CCA.C17-UNION.i5.83253: ffs...
[21:02:29]	Paul-Henri Cartier exited observer at their location.
[21:02:39]	[OOC] Ethan King: void shots if you heard them 
[21:02:40]	Ethan King has taken 29 damage from worldspawn.
[21:02:42]	[OOC] Jacob Desmone: oh ok
[21:02:43]	Andrew Marotta has gained a 'Empty Tin Can' #40216.
[21:02:44]	Paul-Henri Cartier entered observer.
[21:02:47]	Andrew Marotta ran 'View' on item 'Paper' (#23948)
[21:02:48]	Paul-Henri Cartier exited observer at their location.
[21:02:53]	Andrew Marotta opened the 'Dumpster' #252 container.
[21:02:55]	Andrew Marotta closed the 'Dumpster' #252 container.
[21:02:56]	Andrew Marotta opened the 'Dumpster' #2548 container.
[21:02:59]	[OOC] Ethan King: lmao
[21:03:01]	Andrew Marotta closed the 'Dumpster' #2548 container.
[21:03:10]	Paul-Henri Cartier has gained a 'Scrap Electronics' #40218.
[21:03:10]	Lin'Garung ran 'Consume' on item 'Standard Grade Supplements (Mushroom Flavor)' (#27826)
[21:03:12]	Lin'Garung ran 'Consume' on item 'Standard Grade Food Product (Egg Flavor)' (#27825)
[21:03:17]	Paul-Henri Cartier has gained a 'Powercord' #40219.
[21:03:29]	Andrew Marotta opened the 'Dumpster' #252 container.
[21:03:31]	Derrek Thornberry ran 'drop' on item 'Relocation Coupon' (#40202)
[21:03:31]	Derrek Thornberry has lost a 'Relocation Coupon' #40202.
[21:03:31]	Ethan King ran 'View' on item 'Paper' (#35355)
[21:03:34]	Andrew Marotta closed the 'Dumpster' #252 container.
[21:03:38]	Ethan King ran 'View' on item 'Paper' (#35355)
[21:03:43]	CCA.C17-JUDGE.i4.77460 ran 'take' on item 'Relocation Coupon' (#40202)
[21:03:43]	CCA.C17-JUDGE.i4.77460 has gained a 'Relocation Coupon' #40202.
[21:03:49]	Derrek Thornberry used command '/Apply'.
[21:03:55]	[ME] Douglas Hudson: he sort of jumps up with a lil smile
[21:03:58]	Andrew Marotta ran 'EquipUn' on item 'Green Citizen Suit' (#40190)
[21:03:58]	[LOOC] Derrek Thornberry: void
[21:04:03]	[LOOC] Derrek Thornberry: still getting used to gmod
[21:04:08]	Paul-Henri Cartier has gained a 'Empty Cooking Oil Bottle' #40220.
[21:04:08]	Jacob Desmone used the 'Meat Fridge' vendor.
[21:04:09]	CCA.C17-JUDGE.i4.77460 has gained 10 tokens.
[21:04:11]	Jacob Desmone has gained 0 tokens.
[21:04:11]	Jacob Desmone has gained a 'UU Brand Absinthe' #40221.
[21:04:13]	[ME] CCA.C17-JUDGE.i4.77460: pulls out a small blue tablet and begins to enter data.
[21:04:22]	Paul-Henri Cartier ran 'take' on item 'Circuit Board' (#40217)
[21:04:22]	Paul-Henri Cartier has gained a 'Circuit Board' #40217.
[21:04:34]	Paul-Henri Cartier entered observer.
[21:04:35]	Paul-Henri Cartier exited observer at their location.
[21:04:41]	[ME] Jacob Desmone: Would place a bottle with the UU brand ripped off
[21:04:45]	[LOOC] Jacob Desmone: no whiskey model so this will do
[21:04:51]	Jacob Desmone ran 'drop' on item 'UU Brand Absinthe' (#40221)
[21:04:51]	Jacob Desmone has lost a 'UU Brand Absinthe' #40221.
[21:04:51]	CCA.C17-JUDGE.i4.77460 used command '/ViewData derrek'.
[21:05:06]	Andrew Marotta used the 'Shopkeeper Jim' vendor.
[21:05:10]	Paul-Henri Cartier entered observer.
[21:05:10]	Paul-Henri Cartier exited observer at their location.
[21:05:17]	Ethan King ran 'EquipUn' on item 'Conscript Hazmat Armor' (#10510)
[21:05:18]	Ethan King has taken 1 damage from worldspawn.
[21:05:18]	Ethan King ran 'Equip' on item 'Infestation Control Suit' (#29608)
[21:05:24]	Ethan King ran 'EquipUn' on item 'Infestation Control Suit' (#29608)
[21:05:24]	Ethan King has taken 1 damage from worldspawn.
[21:05:25]	Ethan King ran 'Equip' on item 'Conscript Hazmat Armor' (#10510)
[21:05:28]	Otto Von Habsburg ran 'Equip' on item 'Respirator' (#34553)
[21:05:31]	Andrew Marotta used the 'Shopkeeper Jim' vendor.
[21:05:32]	[ME] Douglas Hudson: he takes a sip from the bottle, "Yeah that's gotta' a kick to it."
[21:05:34]	Douglas Hudson ran 'Consume' on item 'UU Brand Absinthe' (#40221)
[21:05:34]	Douglas Hudson has gained a 'Empty Glass Bottle' #40222.
[21:05:42]	Douglas Hudson ran 'drop' on item 'Empty Glass Bottle' (#40222)
[21:05:42]	Douglas Hudson has lost a 'Empty Glass Bottle' #40222.
[21:05:46]	[ME] Paul-Henri Cartier: shoot lock
[21:05:46]	Paul-Henri Cartier used command '/ToggleRaise'.
[21:05:50]	[OOC] Jacob Desmone: AVAS A PSYCHO BRO
[21:05:51]	[OOC] Jacob Desmone: NAHH
[21:05:53]	Paul-Henri Cartier used command '/ToggleRaise'.
[21:05:57]	Paul-Henri Cartier has removed the password for 'Reinforced Padlocked Crate'.
[21:05:57]	Paul-Henri Cartier opened the 'Reinforced Padlocked Crate' #2905 container.
[21:05:57]	[OOC] Ephraim 'Loew' Harris: helllllll no
[21:06:01]	Paul-Henri Cartier ran 'use' on item '12-Gauge Shells' (#31587)
[21:06:03]	[OOC] Jacob Desmone: SHES LIKE I LIKE MURDER
[21:06:03]	Paul-Henri Cartier ran 'drop' on item 'Pulse Ammunition' (#32074)
[21:06:05]	Paul-Henri Cartier ran 'drop' on item 'Armor Scraps' (#31912)
[21:06:05]	[ME] Douglas Hudson: he grabs the bottle and eyes over to the vortigaunt beside him, and offers what's left
[21:06:05]	[OOC] Jacob Desmone: LIKE BRO
[21:06:05]	Paul-Henri Cartier ran 'drop' on item 'Armor Scraps' (#31914)
[21:06:07]	Paul-Henri Cartier ran 'drop' on item 'Armor Scraps' (#33509)
[21:06:08]	Paul-Henri Cartier ran 'drop' on item 'Armor Scraps' (#33465)
[21:06:09]	Paul-Henri Cartier ran 'drop' on item 'Electric Drill' (#32075)
[21:06:10]	Paul-Henri Cartier closed the 'Reinforced Padlocked Crate' #2905 container.
[21:06:12]	[OOC] Jacob Desmone: WORST THING YOU COULD OF SAID
[21:06:13]	Paul-Henri Cartier has removed the password for 'Padlocked Metal Cabinet'.
[21:06:14]	Paul-Henri Cartier opened the 'Padlocked Metal Cabinet' #2820 container.
[21:06:14]	Ethan King opened the 'Padlocked Metal Cabinet' #2820 container.
[21:06:17]	Paul-Henri Cartier ran 'drop' on item 'Electric Drill' (#30783)
[21:06:17]	[OOC] Ava Carter: dnc
[21:06:18]	Paul-Henri Cartier ran 'drop' on item 'Gas Analyser' (#32007)
[21:06:19]	Lin'Garung ran 'take' on item 'Empty Glass Bottle' (#40222)
[21:06:19]	Lin'Garung has gained a 'Empty Glass Bottle' #40222.
[21:06:20]	Ethan King ran 'take' on item 'Pulse Ammunition' (#32074)
[21:06:20]	Ethan King has gained a 'Pulse Ammunition' #32074.
[21:06:27]	[OOC] Ava Carter: you'll see what i have in plan
[21:06:27]	Ethan King ran 'take' on item 'Gas Analyser' (#32007)
[21:06:29]	Paul-Henri Cartier closed the 'Padlocked Metal Cabinet' #2820 container.
[21:06:30]	CCA.C17-JUDGE.i4.77460 ran 'take' on item 'Citizen ID' (#40223)
[21:06:30]	CCA.C17-JUDGE.i4.77460 has gained a 'Citizen ID' #40223.
[21:06:32]	[OOC] Otto Von Habsburg: You have *nothing*
[21:06:34]	[ME] Lin'Garung: Would sip the last two drops from the bottle
[21:06:38]	Paul-Henri Cartier ran 'take' on item 'Electric Drill' (#32075)
[21:06:38]	Paul-Henri Cartier has gained a 'Electric Drill' #32075.
[21:06:38]	Ethan King ran 'take' on item 'Gas Analyser' (#32007)
[21:06:38]	[OOC] Ephraim 'Loew' Harris: my favorite part of the american revolution was how george washington said "my number one goal is to absolutely brutalize people. i just want to slaughter anybody in general"
[21:06:39]	Paul-Henri Cartier ran 'take' on item 'Electric Drill' (#30783)
[21:06:40]	[ME] CCA.C17-JUDGE.i4.77460: hands the man his newly minted card.
[21:06:43]	Paul-Henri Cartier ran 'combine' on item 'Thermobag' (#34314)
[21:06:45]	Lin'Garung ran 'drop' on item 'Empty Glass Bottle' (#40222)
[21:06:45]	Lin'Garung has lost a 'Empty Glass Bottle' #40222.
[21:06:46]	CCA.C17-JUDGE.i4.77460 ran 'drop' on item 'Citizen ID' (#40223)
[21:06:46]	CCA.C17-JUDGE.i4.77460 has lost a 'Citizen ID' #40223.
[21:06:46]	[ME] Derrek Thornberry: takes the card
[21:06:46]	Paul-Henri Cartier ran 'drop' on item 'Empty Cooking Oil Bottle' (#40220)
[21:06:46]	Paul-Henri Cartier has lost a 'Empty Cooking Oil Bottle' #40220.
[21:06:47]	Paul-Henri Cartier ran 'drop' on item 'Scrap Electronics' (#40218)
[21:06:47]	Paul-Henri Cartier has lost a 'Scrap Electronics' #40218.
[21:06:48]	[OOC] Jacob Desmone: LMAO
[21:06:48]	Paul-Henri Cartier ran 'drop' on item 'Powercord' (#40188)
[21:06:48]	Paul-Henri Cartier has lost a 'Powercord' #40188.
[21:06:50]	Ethan King ran 'drop' on item 'Scrap Glass' (#29325)
[21:06:50]	Ethan King has lost a 'Scrap Glass' #29325.
[21:06:50]	Paul-Henri Cartier ran 'take' on item 'Armor Scraps' (#31912)
[21:06:50]	Paul-Henri Cartier has gained a 'Armor Scraps' #31912.
[21:06:50]	Derrek Thornberry ran 'take' on item 'Citizen ID' (#40223)
[21:06:50]	Derrek Thornberry has gained a 'Citizen ID' #40223.
[21:06:51]	Paul-Henri Cartier ran 'take' on item 'Armor Scraps' (#31914)
[21:06:51]	Paul-Henri Cartier has gained a 'Armor Scraps' #31914.
[21:06:52]	Paul-Henri Cartier ran 'take' on item 'Armor Scraps' (#33509)
[21:06:52]	Paul-Henri Cartier has gained a 'Armor Scraps' #33509.
[21:06:54]	Paul-Henri Cartier opened the 'Reinforced Padlocked Crate' #2905 container.
[21:06:54]	Paul-Henri Cartier closed the 'Reinforced Padlocked Crate' #2905 container.
[21:06:55]	Paul-Henri Cartier ran 'take' on item 'Electric Drill' (#30783)
[21:06:56]	Ethan King ran 'take' on item 'Gas Analyser' (#32007)
[21:06:56]	Ethan King has gained a 'Gas Analyser' #32007.
[21:06:57]	Paul-Henri Cartier ran 'combine' on item 'Thermobag' (#34314)
[21:06:58]	Paul-Henri Cartier ran 'combine' on item 'Thermobag' (#34314)
[21:06:59]	[OOC] Jacob Desmone: bro just really hated hte british
[21:06:59]	Paul-Henri Cartier ran 'combine' on item 'Thermobag' (#34314)
[21:07:00]	Paul-Henri Cartier opened the 'Padlocked Metal Cabinet' #2820 container.
[21:07:00]	Jacob Desmone ran 'Consume' on item 'Flavored Consulate Water' (#39822)
[21:07:00]	Jacob Desmone has gained a 'Empty Flavored Consulate Water Can' #40224.
[21:07:00]	Paul-Henri Cartier closed the 'Padlocked Metal Cabinet' #2820 container.
[21:07:01]	Paul-Henri Cartier ran 'take' on item 'Electric Drill' (#30783)
[21:07:02]	Paul-Henri Cartier ran 'take' on item 'Electric Drill' (#30783)
[21:07:13]	[OOC] Otto Von Habsburg: George Washington ~1778
[21:07:26]	[OOC] Ephraim 'Loew' Harris: george washington would have killed americans if he could have but he figured he could kill more british
[21:07:34]	[OOC] Ephraim 'Loew' Harris: he just wanted to draw blood
[21:07:47]	Paul-Henri Cartier entered observer.
[21:07:48]	Paul-Henri Cartier exited observer at their location.
[21:07:52]	Painevan loaded the character 'CCA.C17-UNION.i2.97018'
[21:08:04]	CCA.C17-UNION.i2.97018 used the 'Armory Supply' vendor.
[21:08:08]	CCA.C17-UNION.i2.97018 has gained 0 tokens.
[21:08:08]	CCA.C17-UNION.i2.97018 has gained a 'Bandage' #40225.
[21:08:08]	CCA.C17-UNION.i2.97018 has gained 0 tokens.
[21:08:08]	CCA.C17-UNION.i2.97018 has gained a 'Bandage' #40226.
[21:08:11]	Paul-Henri Cartier used command '/Radio Door'.
[21:08:12]	CCA.C17-UNION.i2.97018 ran 'AHealSelf' on item 'Bandage' (#40226)
[21:08:13]	CCA.C17-UNION.i2.97018 ran 'AHealSelf' on item 'Bandage' (#40225)
[21:08:14]	CCA.C17-UNION.i2.97018 ran 'Eat' on item 'UU Brand Bread' (#39817)
[21:08:14]	Ethan King used command '/Radio Please'.
[21:08:15]	CCA.C17-UNION.i2.97018 ran 'Eat' on item 'UU Brand Cheese' (#39818)
[21:08:20]	CCA.C17-UNION.i2.97018 used the 'Armory Supply' vendor.
[21:08:22]	Paul-Henri Cartier entered observer.
[21:08:23]	Paul-Henri Cartier exited observer at their location.
[21:08:29]	CCA.C17-UNION.i2.97018 has gained 0 tokens.
[21:08:29]	CCA.C17-UNION.i2.97018 has gained a 'Bandage' #40225.
[21:08:30]	CCA.C17-JUDGE.i4.77460 used command '/rooc Evan did you switch divisions'.
[21:08:30]	CCA.C17-UNION.i2.97018 has gained 0 tokens.
[21:08:30]	CCA.C17-UNION.i2.97018 has gained a 'Bandage' #40226.
[21:08:33]	Ava Carter used command '/Radio Hold on'.
[21:08:37]	CCA.C17-UNION.i2.97018 used command '/rooc Seperate character'.
[21:08:37]	Paul-Henri Cartier ran 'drop' on item 'Electric Drill' (#32075)
[21:08:37]	Paul-Henri Cartier has lost a 'Electric Drill' #32075.
[21:08:39]	Paul-Henri Cartier ran 'drop' on item 'Circuit Board' (#40217)
[21:08:39]	Paul-Henri Cartier has lost a 'Circuit Board' #40217.
[21:08:39]	Paul-Henri Cartier ran 'drop' on item 'Armor Scraps' (#31914)
[21:08:39]	Paul-Henri Cartier has lost a 'Armor Scraps' #31914.
[21:08:40]	Paul-Henri Cartier ran 'drop' on item 'Armor Scraps' (#33509)
[21:08:40]	Paul-Henri Cartier has lost a 'Armor Scraps' #33509.
[21:08:41]	CCA.C17-JUDGE.i4.77460 used command '/rooc o'.
[21:08:41]	Paul-Henri Cartier ran 'drop' on item 'Armor Scraps' (#31912)
[21:08:41]	Paul-Henri Cartier has lost a 'Armor Scraps' #31912.
[21:08:48]	CCA.C17-UNION.i2.97018 used command '/rooc I got promoted and my other character refused it'.
[21:08:54]	Derrek Thornberry ran 'EquipUn' on item 'Green Citizen Suit' (#40199)
[21:08:57]	CCA.C17-JUDGE.i4.77460 used command '/rooc okay'.
[21:08:59]	Derrek Thornberry used the 'Shopkeeper Jim' vendor.
[21:08:59]	CCA.C17-UNION.i2.97018 used command '/rooc Two now'.
[21:09:09]	CCA.C17-JUDGE.i4.77460 has gained 10 tokens.
[21:09:13]	CCA.C17-UNION.i2.97018 used command '/Radio Judge. Report to cafeteria immidiately.'.
[21:09:15]	Derrek Thornberry has lost 2 tokens.
[21:09:15]	Derrek Thornberry has gained a 'Citizen Filter' #40227.
[21:09:16]	Derrek Thornberry has lost 2 tokens.
[21:09:16]	Derrek Thornberry has gained a 'Citizen Filter' #40228.
[21:09:17]	Derrek Thornberry has lost 2 tokens.
[21:09:17]	Derrek Thornberry has gained a 'Citizen Filter' #40229.
[21:09:20]	CCA.C17-JUDGE.i4.77460 used command '/Radio 10-4 enroute.'.
[21:09:21]	Derrek Thornberry has lost 10 tokens.
[21:09:21]	Derrek Thornberry has gained a 'Flashlight' #40230.
[21:09:28]	Derrek Thornberry has lost 10 tokens.
[21:09:28]	Derrek Thornberry has gained a 'Request Device' #40231.
[21:09:37]	Derrek Thornberry has lost 4 tokens.
[21:09:37]	Derrek Thornberry has gained a 'UU Brand Corn' #40232.
[21:09:38]	Andrew Marotta ran 'Equip' on item 'Green Citizen Suit' (#40190)
[21:09:39]	Derrek Thornberry has lost 4 tokens.
[21:09:39]	Derrek Thornberry has gained a 'UU Brand Corn' #40233.
[21:09:56]	[ME] Ethan King: reached behind his back, opening up a tiny bag alongst his rear. He'd conjure up a fresh Gas Analyzer for the man, handing it over. - "Here."
[21:09:58]	Ethan King ran 'drop' on item 'Gas Analyser' (#32007)
[21:09:58]	Ethan King has lost a 'Gas Analyser' #32007.
[21:10:00]	Derrek Thornberry ran 'Equip' on item 'Green Citizen Suit' (#40199)
[21:10:11]	[W] Paul-Henri Cartier: I'm wondering if her presence is worth the difficulty, then.
[21:10:13]	[ME] Jacob Desmone: Would take it in his hands
[21:10:16]	Douglas Hudson has taken 2 damage from Douglas Hudson.
[21:10:17]	[W] Jacob Desmone: Im wondering to.
[21:10:19]	Derrek Thornberry ran 'View' on item 'Paper' (#33897)
[21:10:21]	[W] Jacob Desmone: I don't mind her but.
[21:10:23]	Andrew Marotta has gained a 'Empty Consulate Water Can' #40234.
[21:10:32]	Douglas Hudson has taken 2 damage from Douglas Hudson.
[21:10:33]	[LOOC] Douglas Hudson: I can see the ex CG people influenced Lightroom
[21:10:36]	[ME] Jacob Desmone: Would yelp as he sees the person with the crossbow
[21:10:37]	[LOOC] Douglas Hudson: lmao
[21:10:39]	Andrew Marotta has gained a 'Scrap Metal' #40234.
[21:10:39]	[LOOC] CCA.C17-JUDGE.i4.77460: ok give me like two minutes I will be right back
[21:10:39]	[W] Paul-Henri Cartier: She's certainly a good shot with the crossbow.
[21:10:42]	Derrek Thornberry ran 'View' on item 'Paper' (#33897)
[21:10:42]	[LOOC] CCA.C17-UNION.i2.97018: sure
[21:10:44]	[ME] Jacob Desmone: He would accidently say outloud
[21:10:47]	Douglas Hudson has taken 2 damage from Douglas Hudson.
[21:10:47]	[LOOC] Lin'Garung: cg?
[21:10:48]	[ME] Ava Carter: would take out her crossbow and start inspecting it
[21:10:49]	[LOOC] Lin'Garung: oh
[21:10:50]	[LOOC] Douglas Hudson: clarity
[21:10:54]	Andrew Marotta opened the 'Dumpster' #2552 container.
[21:10:54]	Derrek Thornberry ran 'View' on item 'Paper' (#26870)
[21:10:56]	Andrew Marotta closed the 'Dumpster' #2552 container.
[21:10:57]	[W] Ethan King: Her worth in battle is comendable, whether or not we like her, it'd be best to keep her around for a bit.
[21:11:02]	Douglas Hudson has taken 2 damage from Douglas Hudson.
[21:11:03]	[W] Jacob Desmone: I guess.
[21:11:04]	Andrew Marotta opened the 'Trash Bin' #2551 container.
[21:11:04]	[ME] Ava Carter: not paying attention to the idiots whispering in the back
[21:11:05]	Andrew Marotta closed the 'Trash Bin' #2551 container.
[21:11:13]	Andrew Marotta has gained a 'Empty Consulate Water Can' #40235.
[21:11:13]	Douglas Hudson opened the 'Metal Cabinet' #2806 container.
[21:11:16]	[W] Jacob Desmone: Shes a liability.
[21:11:16]	[ME] Paul-Henri Cartier: nods
[21:11:17]	Douglas Hudson has taken 2 damage from Douglas Hudson.
[21:11:21]	Douglas Hudson has gained a 'Standard Grade Ration' #30292.
[21:11:21]	Andrew Marotta has gained a 'Broken Computer Monitor' #40236.
[21:11:21]	[W] Jacob Desmone: So we just have to work around it.
[21:11:22]	Andrew Marotta has gained a 'Scrap Metal' #40237.
[21:11:22]	Douglas Hudson closed the 'Metal Cabinet' #2806 container.
[21:11:25]	Andrew Marotta has gained a 'Scrap Electronics' #40238.
[21:11:25]	Andrew Marotta has gained a 'Scrap Electronics' #40239.
[21:11:25]	Andrew Marotta has gained a 'Scrap Plastic' #40240.
[21:11:25]	Douglas Hudson ran 'Open' on item 'Standard Grade Ration' (#30292)
[21:11:25]	Douglas Hudson has gained a 'Standard Grade Food Product (Egg Flavor)' #40241.
[21:11:25]	Douglas Hudson has gained a 'Standard Grade Supplements (Milk Flavor)' #40242.
[21:11:25]	Douglas Hudson has gained a 'Consulate Water' #40243.
[21:11:25]	Douglas Hudson has gained 10 tokens.
[21:11:31]	Douglas Hudson ran 'Consume' on item 'Consulate Water' (#40243)
[21:11:31]	Douglas Hudson has gained a 'Empty Consulate Water Can' #40244.
[21:11:33]	Douglas Hudson ran 'drop' on item 'Empty Consulate Water Can' (#40244)
[21:11:33]	Douglas Hudson has lost a 'Empty Consulate Water Can' #40244.
[21:11:34]	[W] Paul-Henri Cartier: Mhm. Maybe take away the crossbow until it's needed.
[21:11:34]	Ava Carter ran 'EquipUn' on item 'Scrap Crossbow' (#39684)
[21:11:45]	Lin'Garung opened the 'Refrigerator' #2424 container.
[21:11:46]	[W] Ethan King: Liabilities are easily let go, she will die in battle for the rebellion, and inspire the citizens in a glorious death.
[21:11:47]	Lin'Garung closed the 'Refrigerator' #2424 container.
[21:11:48]	Lin'Garung opened the 'Metal Cabinet' #2806 container.
[21:11:49]	Douglas Hudson opened the 'Refrigerator' #2424 container.
[21:11:51]	Douglas Hudson closed the 'Refrigerator' #2424 container.
[21:11:52]	Ava Carter ran 'drop' on item 'Scrap Crossbow' (#39684)
[21:11:52]	Ava Carter has lost a 'Scrap Crossbow' #39684.
[21:12:04]	Lin'Garung closed the 'Metal Cabinet' #2806 container.
[21:12:15]	[LOOC] CCA.C17-UNION.i2.97018: lmk when you are back
[21:12:18]	Andrew Marotta used command '/DoorBuy'.
[21:12:48]	Weaponized Turtles (STEAM_0:0:69165544) has disconnected (timed out).
[21:12:52]	CCA.C17-UNION.i2.97018 has gained 10 tokens.
[21:12:55]	[LOOC] Douglas Hudson: I wonder if I can get ye like a cloth or somthn
[21:12:58]	[LOOC] Douglas Hudson: to wear
[21:13:08]	Andrew Marotta ran 'EquipUn' on item 'Green Citizen Suit' (#40190)
[21:13:10]	[LOOC] Lin'Garung: cloth for what?
[21:13:14]	[LOOC] Douglas Hudson: attire
[21:13:21]	[LOOC] Douglas Hudson: or like a hood 
[21:13:29]	[LOOC] Douglas Hudson: like in that one halflife comic thing
[21:13:33]	[LOOC] CCA.C17-JUDGE.i4.77460: okay sorry I just got like very sick all of a sudden but i'm good now
[21:13:39]	[LOOC] CCA.C17-UNION.i2.97018: okay
[21:13:41]	[LOOC] Lin'Garung: o that comic
[21:13:44]	[LOOC] Douglas Hudson: ye
[21:13:46]	[LOOC] Lin'Garung: forgot that was a thing
[21:13:50]	[LOOC] Lin'Garung: fan made right?
[21:13:55]	[ME] CCA.C17-JUDGE.i4.77460: wouldd adjust their position to better fit the likings of the i2 she's never met before.
[21:13:55]	[LOOC] Douglas Hudson: think so?
[21:14:09]	CCA.C17-JUDGE.i4.77460 has gained 10 tokens.
[21:14:16]	Weaponized Turtles has connected.
[21:14:45]	Weaponized Turtles loaded the character 'Jacob Desmone'
[21:14:45]	DRD loaded the character 'CCA.C17-GRID.i1.23710'
[21:14:54]	[ME] Douglas Hudson: he sort of eyes the ground looking a bit puzzled, but remaining a bit focused on something... "Err... recal this ol' portal storm event that took place around that time?"
[21:14:56]	[OOC] Jacob Desmone: back
[21:15:26]	[ME] Jacob Desmone: Would back up immedaintly walking away to the kitchen
[21:15:27]	Ava Carter opened the 'File Cabinet' #2423 container.
[21:15:40]	[ME] Lin'Garung: Takes out his thermos, opening it taking out the crystal
[21:15:57]	Ava Carter closed the 'File Cabinet' #2423 container.
[21:16:01]	Ava Carter ran 'EquipUn' on item 'CCA JUDGE i5 Armor' (#39295)
[21:16:01]	CCA.C17-GRID.i1.23710 set code_mpf to '"SWORD, INSPECT, INOCULATE."'.
[21:16:06]	[ME] Ava Carter: would take off her suit
[21:16:17]	[ME] Jacob Desmone: Would take his turkey sandwich and start eating
[21:16:20]	CCA.C17-GRID.i1.23710 entered observer.
[21:16:26]	Jacob Desmone ran 'take' on item 'UU Brand Bread' (#33942)
[21:16:26]	Jacob Desmone has gained a 'UU Brand Bread' #33942.
[21:16:43]	[ME] Jacob Desmone: Would start edging to the door
[21:16:52]	[LOOC] Ethan King: mystery*
[21:17:16]	[LOOC] Douglas Hudson: or know anyone who knows more*
[21:17:34]	[OOC] Andrew Marotta: how do I sit?
[21:17:38]	Derrek Thornberry has spawned 'models/props_c17/doll01.mdl'.
[21:17:45]	CCA.C17-GRID.i1.23710 used command '/ChangeSocioStatus up'.
[21:17:48]	Derrek Thornberry has spawned 'models/props_interiors/BathTub01a.mdl'.
[21:17:48]	Derrek Thornberry has taken 5 damage from prop_physics.
[21:17:52]	CCA.C17-UNION.i2.97018 has gained 10 tokens.
[21:18:02]	[OOC] Ephraim 'Loew' Harris: we don't have /actsit with the current models, you'll just have to do shift+Alt to crouch
[21:18:10]	Derrek Thornberry has spawned 'models/props_interiors/Furniture_Couch01a.mdl'.
[21:18:22]	Derrek Thornberry has spawned 'models/props_interiors/Furniture_shelf01a.mdl'.
[21:18:23]	[OOC] Ephraim 'Loew' Harris: that'll be fixed when i get arond to assembling our new models, but so far that isn't done yet
[21:18:28]	Ephraim 'Loew' Harris used command '/ToggleRaise'.
[21:18:29]	Derrek Thornberry has spawned 'models/props_interiors/Radiator01a.mdl'.
[21:18:38]	Derrek Thornberry has spawned 'models/props_junk/garbage_carboard002a.mdl'.
[21:18:45]	Derrek Thornberry has spawned 'models/props_junk/garbage256_composite001a.mdl'.
[21:18:48]	Derrek Thornberry has spawned 'models/props_junk/garbage256_composite002a.mdl'.
[21:18:50]	[ME] Jacob Desmone: Would stay close to the exit
[21:18:50]	Derrek Thornberry has spawned 'models/props_junk/garbage256_composite002a.mdl'.
[21:19:03]	Derrek Thornberry has spawned 'models/props_c17/FurnitureWashingmachine001a.mdl'.
[21:19:06]	CCA.C17-GRID.i1.23710 used command '/Radio Unit is 10-8, status is green. Looks like UPs active, Code SWORD as well.'.
[21:19:10]	CCA.C17-GRID.i1.23710 exited observer at their location.
[21:19:22]	[OOC] Jacob Desmone: ava scary
[21:19:22]	CCA.C17-UNION.i2.97018 used command '/Radio Affirmative. Standby.'.
[21:19:24]	[OOC] Jacob Desmone: avas gonna kill me
[21:19:26]	[OOC] Ethan King: why 
[21:19:27]	Derrek Thornberry has spawned 'models/hunter/plates/plate1x3.mdl'.
[21:19:28]	Derrek Thornberry has spawned 'models/hunter/plates/plate1x1.mdl'.
[21:19:30]	[OOC] Ethan King: is she scary 
[21:19:32]	Derrek Thornberry has spawned 'models/hunter/plates/plate1x2.mdl'.
[21:19:38]	[OOC] Ephraim 'Loew' Harris: she openly admitted to liking killing people
[21:19:42]	[OOC] Ephraim 'Loew' Harris: just for the sake of killing
[21:19:44]	E_ has connected.
[21:19:46]	CCA.C17-GRID.i1.23710 has gained 10 tokens.
[21:19:51]	[OOC] Ephraim 'Loew' Harris: rather than killing for the sake of advancing the rebellion
[21:19:52]	[OOC] Douglas Hudson: E
[21:19:54]	[OOC] Ethan King: Fair 
[21:19:55]	[OOC] Ava Carter: i meant that as in muderering cops
[21:19:55]	[OOC] Ethan King: Fair 
[21:20:01]	[OOC] Ethan King: Murdering cops randomly is fucked 
[21:20:12]	[OOC] Ava Carter: nahhhh
[21:20:16]	Derrek Thornberry has spawned 'models/hunter/plates/plate1x2.mdl'.
[21:20:16]	Ephraim 'Loew' Harris used command '/ToggleRaise'.
[21:20:17]	CCA.C17-GRID.i1.23710 entered observer.
[21:20:19]	[OOC] Douglas Hudson: however it's only acceptable on a tuesday
[21:20:19]	CCA.C17-GRID.i1.23710 exited observer at their location.
[21:20:23]	[OOC] Ethan King: yes
[21:20:25]	[OOC] Jacob Desmone: yes
[21:20:28]	[OOC] Jacob Desmone: ONLY ON TUESDAYS
[21:20:32]	CCA.C17-GRID.i1.23710 entered observer.
[21:20:35]	[OOC] Douglas Hudson: lol
[21:20:40]	CCA.C17-GRID.i1.23710 exited observer at their location.
[21:20:55]	[ME] CCA.C17-UNION.i2.97018: looks back behind him, clasping his hands.
[21:20:58]	Derrek Thornberry has spawned 'models/props_c17/FurnitureToilet001a.mdl'.
[21:20:59]	[ME] Lin'Garung: Places the crystal back into the thermos
[21:21:14]	[ME] Jacob Desmone: Would take another bite of his turkey sandwich
[21:21:21]	[ME] Derrek Thornberry: sings inchoherently
[21:21:24]	Ava Carter ran 'EquipUn' on item '357' (#39316)
[21:21:25]	Ava Carter ran 'drop' on item '357' (#39316)
[21:21:25]	Ava Carter has lost a '357' #39316.
[21:21:26]	Derrek Thornberry has spawned 'models/props_c17/doll01.mdl'.
