[13:34:03]	Bullhuss has connected.
[20:39:18]	[W] CCA.C17-HELIX.i3.08874: <:: Tell me about it. ::>
[20:40:23]	[LOOC] CCA.C17-GRID.i3.10945: psychic li nk
[20:40:30]	[ME] CAC.C17-VORTIPODE.20311: would nod. He would open the bag by tearing a hole in it with his claw. Would look at its contents, taking a singular chip at eating it.
[20:40:41]	CCA.C17-GRID.i3.10945 used command '/rooc i am going to re-educate you'.
[20:40:42]	CCA.C17-GRID.i3.10945 used command '/rooc so bad'.
[20:40:51]	CCA.C17-GRID.i3.10945 used command '/rooc not really lmao'.
[20:41:03]	CCA.C17-HELIX.i3.08874 used command '/rooc I am the danger'.
[20:41:20]	[OOC] Jacob Desmone: can't believe everyoens so investing in watching it eat
[20:41:44]	[ME] CAC.C17-VORTIPODE.20311: would take the bag in his clawed hands, walking off and eating a few more chips.
[20:42:22]	[OOC] Jacob Desmone: im gonna feed this vortigaunt
[20:42:27]	[OOC] Jacob Desmone: everything
[20:42:42]	[OOC] Jacob Desmone: from gin 
[20:42:43]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[20:42:44]	[OOC] Jacob Desmone: to hamburger
[20:43:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[20:43:18]	[LOOC] CCA.C17-GRID.i3.10945: which of us wants to flag down
[20:43:27]	[OOC] CAC.C17-VORTIPODE.20311: You jumping as vortigaunt is so fucking stupid and terrifying I love it.
[20:43:29]	[LOOC] CCA.C17-HELIX.i3.08874: I can stay on this
[20:43:40]	[OOC] Jacob Desmone: he tposed at me in the alley
[20:43:43]	[LOOC] CCA.C17-GRID.i3.10945: i don't mind staying flagged up if you want to flag down
[20:43:44]	[OOC] Jacob Desmone: life scarred
[20:43:47]	[LOOC] CCA.C17-GRID.i3.10945: i know you're a citizen main
[20:43:59]	[LOOC] CCA.C17-HELIX.i3.08874: I'm fine with it I should clock in some more time
[20:44:38]	[LOOC] CCA.C17-GRID.i3.10945: alright
[20:45:01]	CCA.C17-GRID.i3.10945 ran 'leave' on item 'Squad Identification Device' (#7477)
[20:45:06]	CCA.C17-HELIX.i3.08874 used command '/Radio 10-50.'.
[20:45:15]	matt saton loaded the character 'Ephraim 'Loew' Harris'
[20:45:18]	[OOC] Ephraim 'Loew' Harris: ephraim trime
[20:45:29]	[OOC] Jacob Desmone: tell me once I get a resposne I gotta go grab dinner late
[20:45:32]	CCA.C17-HELIX.i3.08874 ran 'leave' on item 'Squad Identification Device' (#29965)
[20:45:37]	[OOC] Jacob Desmone: on da app
[20:45:58]	[ME] CAC.C17-VORTIPODE.20311: would look down. 
[20:46:46]	Ephraim 'Loew' Harris entered observer.
[20:46:54]	[OOC] Ephraim 'Loew' Harris: i'm resooinding to it now
[20:46:57]	[OOC] Ephraim 'Loew' Harris: l;iterally typing it as wee speak
[20:47:18]	[OOC] Jacob Desmone: yay
[20:47:27]	[OOC] CAC.C17-VORTIPODE.20311: Of course you are. You speaking.
[20:47:28]	[OOC] Jacob Desmone: I got shrimp
[20:47:29]	[OOC] Jacob Desmone: and fries
[20:48:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[20:49:16]	CAC.C17-VORTIPODE.20311 used the 'Shopkeeper Jim' vendor.
[20:49:33]	CAC.C17-VORTIPODE.20311 has lost 10 tokens.
[20:49:33]	CAC.C17-VORTIPODE.20311 has gained a 'Flashlight' #35890.
[20:52:08]	[OOC] CCA.C17-HELIX.i3.08874: respond fastr
[20:53:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[20:53:13]	[ME] CAC.C17-VORTIPODE.20311: would begin mutering and clasping his claws together.
[20:55:02]	[OOC] Jacob Desmone: if its a long response
[20:55:04]	[OOC] Jacob Desmone: thats scary
[20:55:10]	[OOC] CCA.C17-HELIX.i3.08874: you fail
[20:55:14]	[OOC] Jacob Desmone: it means I fucked up 
[20:55:15]	[OOC] Jacob Desmone: or
[20:55:23]	[OOC] CCA.C17-HELIX.i3.08874: unqualified
[20:55:24]	[OOC] Ephraim 'Loew' Harris: tortuga i replied to your CCA app
[20:55:25]	[OOC] Jacob Desmone: he just is finding the right wording
[20:56:13]	[OOC] Jacob Desmone: ok
[20:56:19]	[OOC] Jacob Desmone: theres a edit button right
[20:57:31]	[OOC] Jacob Desmone: there is
[20:58:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[20:58:23]	fuckus has connected.
[20:59:39]	[OOC] CCA.C17-HELIX.i3.08874: fuckus
[20:59:40]	Jimmy Big Slap Nutz has connected.
[21:00:18]	CCA.C17-HELIX.i3.08874 ran 'drop' on item 'Metal Gas Can' (#35237)
[21:00:18]	CCA.C17-HELIX.i3.08874 has lost a 'Metal Gas Can' #35237.
[21:00:22]	CCA.C17-HELIX.i3.08874 destroyed a 'Metal Gas Can' #35237.
[21:00:44]	CAC.C17-VORTIPODE.20311 ran 'take' on item 'Pipe' (#34447)
[21:00:44]	CAC.C17-VORTIPODE.20311 has gained a 'Pipe' #34447.
[21:00:49]	CAC.C17-VORTIPODE.20311 ran 'Equip' on item 'Pipe' (#34447)
[21:01:08]	CAC.C17-VORTIPODE.20311 ran 'EquipUn' on item 'Pipe' (#34447)
[21:01:10]	CAC.C17-VORTIPODE.20311 ran 'drop' on item 'Pipe' (#34447)
[21:01:10]	CAC.C17-VORTIPODE.20311 has lost a 'Pipe' #34447.
[21:02:40]	Lildirtyharry04 (STEAM_0:0:247487472) has disconnected.
[21:02:44]	Felix Mahover has gained a 'Green Citizen Suit' #35891.
[21:02:44]	Felix Mahover has gained a 'Citizen Filter' #35892.
[21:02:44]	fuckus created the character 'Felix Mahover'
[21:02:44]	Felix Mahover has gained a 'Suitcase' #35893.
[21:02:44]	Felix Mahover has gained a 'Relocation Coupon' #35894.
[21:02:44]	fuckus loaded the character 'Felix Mahover'
[21:02:54]	Felix Mahover has taken 1 damage from worldspawn.
[21:02:55]	Felix Mahover has taken 1 damage from worldspawn.
[21:02:56]	Felix Mahover has taken 1 damage from worldspawn.
[21:02:56]	Felix Mahover has taken 1 damage from worldspawn.
[21:02:57]	Felix Mahover has taken 1 damage from worldspawn.
[21:02:58]	Felix Mahover has taken 1 damage from worldspawn.
[21:02:59]	Felix Mahover has taken 1 damage from worldspawn.
[21:03:00]	Felix Mahover has taken 1 damage from worldspawn.
[21:03:00]	Felix Mahover has taken 1 damage from worldspawn.
[21:03:03]	[OOC] CCA.C17-HELIX.i3.08874: Hello! Make sure to put on your suit and filter!
[21:03:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[21:03:07]	Felix Mahover ran 'drop' on item 'Suitcase' (#35893)
[21:03:07]	Felix Mahover has lost a 'Suitcase' #35893.
[21:03:17]	[OOC] CCA.C17-HELIX.i3.08874: It'll be in your inventory using Tab, just right click on it.
[21:03:22]	Heinz Baldman VII has gained a 'Green Citizen Suit' #35895.
[21:03:22]	Heinz Baldman VII has gained a 'Citizen Filter' #35896.
[21:03:22]	Jimmy Big Slap Nutz created the character 'Heinz Baldman VII'
[21:03:22]	Heinz Baldman VII has gained a 'Suitcase' #35897.
[21:03:22]	Heinz Baldman VII has gained a 'Relocation Coupon' #35898.
[21:03:22]	Jimmy Big Slap Nutz loaded the character 'Heinz Baldman VII'
[21:03:27]	Heinz Baldman VII has taken 1 damage from worldspawn.
[21:03:28]	Heinz Baldman VII has taken 1 damage from worldspawn.
[21:03:32]	Heinz Baldman VII has taken 1 damage from worldspawn.
[21:03:37]	Heinz Baldman VII has taken 1 damage from worldspawn.
[21:03:40]	Felix Mahover ran 'drop' on item 'Citizen Filter' (#35892)
[21:03:40]	Felix Mahover has lost a 'Citizen Filter' #35892.
[21:03:51]	[LOOC] Felix Mahover: hi
[21:03:58]	Heinz Baldman VII ran 'Equip' on item 'Green Citizen Suit' (#35895)
[21:04:03]	Felix Mahover ran 'Equip' on item 'Green Citizen Suit' (#35891)
[21:04:03]	Heinz Baldman VII ran 'equip' on item 'Citizen Filter' (#35896)
[21:04:09]	Felix Mahover has taken 1 damage from worldspawn.
[21:04:10]	Felix Mahover has taken 1 damage from worldspawn.
[21:04:15]	Felix Mahover has taken 1 damage from worldspawn.
[21:04:22]	[OOC] CCA.C17-HELIX.i3.08874: Make sure you put on your suit and filter using the Tab menu!
[21:04:28]	fuckus (STEAM_0:1:54861900) deleted character 'Felix Mahover'
[21:04:41]	CCA.C17-HELIX.i3.08874 used command '/Radio Nope.'.
[21:05:33]	[ME] CCA.C17-HELIX.i3.08874: holds out his left hand.
[21:05:40]	Heinz Baldman VII ran 'drop' on item 'Relocation Coupon' (#35898)
[21:05:40]	Heinz Baldman VII has lost a 'Relocation Coupon' #35898.
[21:05:51]	[LOOC] CCA.C17-HELIX.i3.08874: Just drag it out of your inventory.
[21:05:52]	Felix Mahomer has gained a 'Green Citizen Suit' #35899.
[21:05:52]	Felix Mahomer has gained a 'Citizen Filter' #35900.
[21:05:52]	fuckus created the character 'Felix Mahomer'
[21:05:52]	Felix Mahomer has gained a 'Suitcase' #35901.
[21:05:52]	Felix Mahomer has gained a 'Relocation Coupon' #35902.
[21:05:52]	fuckus loaded the character 'Felix Mahomer'
[21:05:53]	CCA.C17-HELIX.i3.08874 ran 'take' on item 'Relocation Coupon' (#35898)
[21:05:53]	CCA.C17-HELIX.i3.08874 has gained a 'Relocation Coupon' #35898.
[21:06:04]	Felix Mahomer ran 'Equip' on item 'Green Citizen Suit' (#35899)
[21:06:06]	CCA.C17-HELIX.i3.08874 used command '/Radio 10-3'.
[21:06:06]	Felix Mahomer ran 'equip' on item 'Citizen Filter' (#35900)
[21:06:19]	CCA.C17-HELIX.i3.08874 ran 'take' on item 'Citizen ID' (#35903)
[21:06:19]	CCA.C17-HELIX.i3.08874 has gained a 'Citizen ID' #35903.
[21:06:20]	CCA.C17-HELIX.i3.08874 opened the 'File Cabinet' #2583 container.
[21:06:24]	CCA.C17-HELIX.i3.08874 closed the 'File Cabinet' #2583 container.
[21:06:42]	[ME] CCA.C17-HELIX.i3.08874: takes a small PDA off of their holster and switches it on.
[21:07:20]	[LOOC] CCA.C17-HELIX.i3.08874: Year is 2003, min is 1985
[21:07:48]	[ME] CCA.C17-HELIX.i3.08874: types in several notes.
[21:07:50]	Jacob Desmone used command '/PM harris I think I got it'.
[21:07:55]	CCA.C17-HELIX.i3.08874 used command '/ViewData baldman'.
[21:08:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[21:08:07]	Jacob Desmone used command '/PM harris I edited what you told me but I do have to go in about 5 minutes'.
[21:08:29]	CCA.C17-HELIX.i3.08874 used command '/ViewData baldman'.
[21:08:53]	CCA.C17-HELIX.i3.08874 used command '/ViewData baldman'.
[21:09:30]	[ME] CCA.C17-HELIX.i3.08874: types in more.
[21:10:20]	[ME] CCA.C17-HELIX.i3.08874: types in four letters.
[21:10:48]	[OOC] Ephraim 'Loew' Harris: alrighi t amback
[21:10:57]	[OOC] Jacob Desmone: I finished up the app
[21:11:12]	[OOC] Jacob Desmone: do have to go in a few minutes most likely
[21:11:18]	[ME] CCA.C17-HELIX.i3.08874: holds out his right hand and produces a CID card.
[21:11:21]	CCA.C17-HELIX.i3.08874 ran 'drop' on item 'Citizen ID' (#35903)
[21:11:21]	CCA.C17-HELIX.i3.08874 has lost a 'Citizen ID' #35903.
[21:11:24]	Heinz Baldman VII ran 'take' on item 'Citizen ID' (#35903)
[21:11:24]	Heinz Baldman VII has gained a 'Citizen ID' #35903.
[21:12:26]	[ME] CCA.C17-HELIX.i3.08874: holds out left hand expecting them to put it in their hand.
[21:12:29]	Heinz Baldman VII ran 'View' on item 'Paper' (#33897)
[21:12:47]	[LOOC] CCA.C17-HELIX.i3.08874: It's in your inventory btw, just drag it out to drop.
[21:12:50]	[ME] Felix Mahomer: places the tatterted up paper in the officer's hand
[21:12:55]	Felix Mahomer ran 'drop' on item 'Relocation Coupon' (#35902)
[21:12:55]	Felix Mahomer has lost a 'Relocation Coupon' #35902.
[21:12:58]	CCA.C17-HELIX.i3.08874 ran 'take' on item 'Relocation Coupon' (#35902)
[21:12:58]	CCA.C17-HELIX.i3.08874 has gained a 'Relocation Coupon' #35902.
[21:13:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[21:13:07]	[OOC] Heinz Baldman VII: Is this server just text rp or does it have voice chat?
[21:13:20]	[OOC] CCA.C17-HELIX.i3.08874: Text RP, voice was disabled.
[21:13:23]	CCA.C17-HELIX.i3.08874 ran 'take' on item 'Citizen ID' (#35904)
[21:13:23]	CCA.C17-HELIX.i3.08874 has gained a 'Citizen ID' #35904.
[21:13:24]	CCA.C17-HELIX.i3.08874 opened the 'File Cabinet' #2583 container.
[21:13:27]	CCA.C17-HELIX.i3.08874 closed the 'File Cabinet' #2583 container.
[21:13:28]	CCA.C17-HELIX.i3.08874 opened the 'File Cabinet' #2584 container.
[21:13:28]	[OOC] Heinz Baldman VII: Will it be enabled?
[21:13:30]	CCA.C17-HELIX.i3.08874 closed the 'File Cabinet' #2584 container.
[21:13:31]	CCA.C17-HELIX.i3.08874 opened the 'File Cabinet' #2585 container.
[21:13:33]	CCA.C17-HELIX.i3.08874 closed the 'File Cabinet' #2585 container.
[21:13:38]	[OOC] CCA.C17-HELIX.i3.08874: Prob not but who knows
[21:13:42]	CCA.C17-HELIX.i3.08874 ran 'drop' on item 'Relocation Coupon' (#35902)
[21:13:42]	CCA.C17-HELIX.i3.08874 has lost a 'Relocation Coupon' #35902.
[21:13:46]	Weaponized Turtles (STEAM_0:0:69165544) has disconnected (timed out).
[21:13:51]	Heinz Baldman VII ran 'take' on item 'Empty Cooking Oil Bottle' (#35885)
[21:13:51]	Heinz Baldman VII has gained a 'Empty Cooking Oil Bottle' #35885.
[21:14:03]	[ME] CCA.C17-HELIX.i3.08874: holsters his stun baton and takes out a PDA.
[21:14:14]	Heinz Baldman VII opened the 'Trash Bin' #2551 container.
[21:14:17]	Heinz Baldman VII closed the 'Trash Bin' #2551 container.
[21:14:44]	CCA.C17-HELIX.i3.08874 used command '/ViewData felix'.
[21:15:02]	Jimmy Big Slap Nutz (STEAM_0:0:221268234) has disconnected.
[21:15:10]	CCA.C17-HELIX.i3.08874 used command '/ViewData felix'.
[21:15:40]	CCA.C17-HELIX.i3.08874 used command '/ViewData felix'.
[21:15:56]	Ephraim 'Loew' Harris exited observer at their location.
[21:15:57]	Ephraim 'Loew' Harris entered observer.
[21:16:15]	[OOC] Ephraim 'Loew' Harris: hey, sorry, i'm bacvk from responding to applications
[21:16:23]	[OOC] Ephraim 'Loew' Harris: welcome to the server!
[21:17:47]	[ME] CCA.C17-HELIX.i3.08874: finishes up typing, then holsters the PDA before producing a CID card in his other hand and handing it to the man infront of them.
[21:17:50]	CCA.C17-HELIX.i3.08874 ran 'drop' on item 'Citizen ID' (#35904)
[21:17:50]	CCA.C17-HELIX.i3.08874 has lost a 'Citizen ID' #35904.
[21:17:59]	[ME] Felix Mahomer: takes the card from the man
[21:18:00]	Felix Mahomer ran 'take' on item 'Citizen ID' (#35904)
[21:18:00]	Felix Mahomer has gained a 'Citizen ID' #35904.
[21:18:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[21:18:17]	CCA.C17-HELIX.i3.08874 used command '/Radio Done here.'.
[21:18:20]	[OOC] Ephraim 'Loew' Harris: hmm is it time for ephraimRP 
[21:18:25]	[OOC] Ephraim 'Loew' Harris: or is it time for somebody else
[21:18:46]	[OOC] CCA.C17-HELIX.i3.08874: Your whole world is book burning
[21:19:01]	[OOC] Ephraim 'Loew' Harris: what
[21:19:04]	Ephraim 'Loew' Harris exited observer at their location.
[21:19:08]	Ephraim 'Loew' Harris entered observer.
[21:19:10]	Ephraim 'Loew' Harris exited observer at their location.
[21:19:12]	Ephraim 'Loew' Harris entered observer.
[21:19:13]	[OOC] Felix Mahomer: I haven't played hl2rp in awhile, is clockwork not popular anymore?
[21:19:15]	[OOC] CCA.C17-HELIX.i3.08874: You live in that Fahrenheit book
[21:19:31]	[OOC] CCA.C17-HELIX.i3.08874: Q would know.
[21:19:51]	Felix Mahomer ran 'View' on item 'Paper' (#26871)
[21:19:54]	[OOC] Ephraim 'Loew' Harris: oh, welcome back to HL2RP! I got off of a huge hiatus a couple years ago. It is for big time oldheads, but helix is the dominant one at the moment, yeah.
[21:20:06]	[OOC] CCA.C17-HELIX.i3.08874: Also come to the work desk if you have a question or need an appartment.
[21:20:41]	[OOC] Ephraim 'Loew' Harris: I'm a huge oldhead, but Helix is much easier to program on because it has documentation, plus helix servers are in general easier to find, so I went with Helix.]
[21:20:55]	[OOC] Felix Mahomer: gotcha
[21:21:15]	Felix Mahomer ran 'View' on item 'Paper' (#33897)
[21:21:19]	Ephraim 'Loew' Harris exited observer at their location.
[21:21:25]	Ephraim 'Loew' Harris has gained a 'Wires' #35905.
[21:21:47]	[ME] Ephraim 'Loew' Harris: nods down to the man as he walks by.
[21:21:51]	[OOC] Ephraim 'Loew' Harris: SHIT
[21:21:52]	Weaponized Turtles has connected.
[21:21:53]	[OOC] CCA.C17-HELIX.i3.08874: Work desk time is the best time of the day.
[21:21:54]	[OOC] Ephraim 'Loew' Harris: I STILL HAVE MY GUN PAC
[21:21:57]	[ME] Felix Mahomer: salutes
[21:21:58]	[OOC] CCA.C17-HELIX.i3.08874: Nice one
[21:22:16]	Weaponized Turtles loaded the character 'Jacob Desmone'
[21:22:29]	[OOC] Ephraim 'Loew' Harris: void that gun and stuff on me, that was my grid pac I forgot to disable. because my brain is as smooth as silk
[21:22:43]	Ephraim 'Loew' Harris ran 'EquipUn' on item 'CWU Worker Suit' (#24486)
[21:22:50]	Jacob Desmone used command '/PM harris I have editited it once more'.
[21:22:55]	Felix Mahomer used command '/Apply'.
[21:22:55]	Ephraim 'Loew' Harris used command '/PM jacob standbyt'.
[21:22:57]	Jacob Desmone used command '/PM harris I summarized it into a small sentence'.
[21:23:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[21:24:18]	[OOC] Jacob Desmone: my oxygen
[21:24:22]	CCA.C17-HELIX.i3.08874 opened the 'File Cabinet' #2366 container.
[21:24:29]	CCA.C17-HELIX.i3.08874 closed the 'File Cabinet' #2366 container.
[21:24:32]	Ephraim 'Loew' Harris used command '/PlyWhitelist jacob cca'.
[21:24:33]	[OOC] Felix Mahomer: i'll steal your oxygen
[21:24:40]	Ephraim 'Loew' Harris used command '/PlyWhitelist jacob authority'.
[21:24:46]	[OOC] Jacob Desmone: NOOO
[21:25:06]	[OOC] Ephraim 'Loew' Harris: nice job on the app. i always feel so bad when i have to repeatedly request changes, especiallyt if it's the same one quetsion
[21:26:00]	Weaponized Turtles created the character 'CCA.C17-RCT.94233'
[21:26:00]	CCA.C17-RCT.94233 has gained a 'USP Match' #35906.
[21:26:00]	CCA.C17-RCT.94233 has gained a '9mm Pistol Magazine' #35907.
[21:26:00]	CCA.C17-RCT.94233 has gained a '9mm Pistol Magazine' #35908.
[21:26:00]	CCA.C17-RCT.94233 has gained a 'Squad Identification Device' #35909.
[21:26:04]	Weaponized Turtles loaded the character 'CCA.C17-RCT.94233'
[21:26:15]	[OOC] CCA.C17-RCT.94233: yea my fault on that
[21:26:20]	[OOC] CCA.C17-RCT.94233: Im used to apps having to have big answers
[21:26:22]	[OOC] CCA.C17-RCT.94233: over thought it
[21:26:26]	[OOC] CCA.C17-RCT.94233: ooooh
[21:26:27]	[OOC] Ephraim 'Loew' Harris: no worries!
[21:26:27]	[OOC] CCA.C17-RCT.94233: traiing room
[21:26:30]	[OOC] CCA.C17-RCT.94233: training room*
[21:26:40]	[OOC] CCA.C17-HELIX.i3.08874: ew rct ew rct
[21:26:44]	[OOC] Ephraim 'Loew' Harris: if bean gets on soon i'll train you two at the same time
[21:26:51]	[OOC] CCA.C17-RCT.94233: alright well like I said I got like
[21:26:55]	[OOC] CCA.C17-HELIX.i3.08874: Bean is trained bruh
[21:26:56]	[OOC] Ephraim 'Loew' Harris: oh yeah that's right
[21:26:59]	[OOC] CCA.C17-RCT.94233: 15 mins
[21:26:59]	[OOC] CCA.C17-HELIX.i3.08874: He is an i5 right?
[21:27:00]	[OOC] Ephraim 'Loew' Harris: no he wasn't
[21:27:05]	[ME] Felix Mahomer: arrives at the pile of trash, covered with flie and maggots
[21:27:05]	[OOC] Ephraim 'Loew' Harris: he is but he just has that so he can do staff stuff
[21:27:09]	[OOC] CCA.C17-HELIX.i3.08874: Okay
[21:27:20]	[OOC] CCA.C17-RCT.94233: ima big boy now
[21:27:23]	[OOC] Ephraim 'Loew' Harris: big boh
[21:27:30]	[OOC] CCA.C17-RCT.94233: so who can train me though
[21:27:35]	[OOC] CCA.C17-RCT.94233: I know the Qrm can
[21:27:39]	[OOC] CCA.C17-RCT.94233: QrM*
[21:27:40]	Painevan loaded the character 'Jonathan Jackson'
[21:27:44]	[ME] Felix Mahomer: picks up as many bags as he can carry, holding them over his shoulder
[21:28:42]	[OOC] Ephraim 'Loew' Harris: i don't remember writing in the guide that quartermasters can train
[21:28:48]	[OOC] CCA.C17-RCT.94233: Oh wait they can
[21:28:48]	[ME] Felix Mahomer: swings the trash bags into the dumpster with a great force
[21:28:50]	[OOC] CCA.C17-RCT.94233: give arms
[21:28:52]	[OOC] CCA.C17-RCT.94233: and supply.
[21:28:52]	[OOC] Ephraim 'Loew' Harris: i might be wrong, i wrote that thing like a year ago
[21:28:56]	Tom Jones #1 Fan has connected.
[21:28:58]	[OOC] CCA.C17-RCT.94233: Not sure about training though
[21:29:04]	[OOC] CCA.C17-RCT.94233: I do have to go soon so I might get trained tormorrow
[21:29:06]	[OOC] Ephraim 'Loew' Harris: no they can't train. EpU+ can
[21:29:12]	[OOC] Ephraim 'Loew' Harris: yeah, it won't be today, it takes a hot minute
[21:29:15]	[OOC] CCA.C17-RCT.94233: ye
[21:29:19]	[OOC] CCA.C17-RCT.94233: can I roam the nexus?
[21:29:26]	[OOC] Ephraim 'Loew' Harris: so that means myself, dilly, or maybe DRD, but he's not used to training. i should teach him
[21:29:33]	[OOC] Ephraim 'Loew' Harris: you can, just don't leave it
[21:29:36]	[OOC] CCA.C17-RCT.94233: ok
[21:29:38]	Ephraim 'Loew' Harris entered observer.
[21:29:40]	Ephraim 'Loew' Harris exited observer at their location.
[21:29:40]	Ephraim 'Loew' Harris entered observer.
[21:29:43]	Ephraim 'Loew' Harris exited observer at their location.
[21:29:46]	[OOC] CCA.C17-RCT.94233: I spawn with a gun
[21:29:47]	Tom Jones #1 Fan loaded the character 'Marti Verdugo'
[21:29:47]	[OOC] CCA.C17-RCT.94233: W
[21:29:54]	[OOC] Ephraim 'Loew' Harris: shooting range time
[21:29:56]	Painevan (STEAM_0:0:68118061) has disconnected (timed out).
[21:30:00]	[OOC] CCA.C17-RCT.94233: evans rejoining
[21:30:05]	[ME] Felix Mahomer: bends over to scoop the papers into his arms
[21:30:13]	[OOC] Marti Verdugo: i am eating mike ikes
[21:30:16]	[OOC] Ephraim 'Loew' Harris: pain lost connection, he's getting back on it seems like
[21:30:16]	[OOC] CCA.C17-RCT.94233: W
[21:30:22]	[OOC] Ephraim 'Loew' Harris: i've never eaten a mike and ike in my life
[21:30:28]	[OOC] CCA.C17-RCT.94233: I can't waste ammo
[21:30:29]	[OOC] Marti Verdugo: you should
[21:30:31]	[OOC] Marti Verdugo: their good
[21:30:43]	[OOC] CCA.C17-RCT.94233: thats a bad RCT if I waste ammo
[21:30:43]	[OOC] Ephraim 'Loew' Harris: sweetarts are the best candy
[21:30:48]	[ME] Felix Mahomer: would pick up a few trash bags, slinging them once again over his shoulder
[21:30:48]	[OOC] Marti Verdugo: lemon and lime ones are the best
[21:30:52]	[OOC] Ephraim 'Loew' Harris: eh, shooting range is necessary
[21:30:54]	[OOC] Felix Mahomer: cowtails are unmatched 
[21:31:04]	CCA.C17-RCT.94233 has gained 10 tokens.
[21:31:08]	[OOC] Marti Verdugo: lemon laffy-taffy's are the #1 greatest candies on this planet
[21:31:19]	[OOC] Ephraim 'Loew' Harris: the special holiday shaped sweetarts are so hard that they make my teeth sore, absolute peak candy experience
[21:31:21]	[ME] Felix Mahomer: deposits the bags into the dumpter
[21:31:28]	[OOC] Ephraim 'Loew' Harris: the heart ones especially
[21:31:30]	Felix Mahomer ran 'take' on item 'Old Newspaper' (#35883)
[21:31:30]	Felix Mahomer has gained a 'Old Newspaper' #35883.
[21:31:31]	[OOC] Marti Verdugo: oh i see
[21:31:34]	Felix Mahomer ran 'drop' on item 'Old Newspaper' (#35883)
[21:31:34]	Felix Mahomer has lost a 'Old Newspaper' #35883.
[21:31:47]	Felix Mahomer ran 'take' on item 'Broken Clock' (#35884)
[21:31:47]	Felix Mahomer has gained a 'Broken Clock' #35884.
[21:31:49]	[OOC] Marti Verdugo: your a candy-masochist
[21:31:50]	Felix Mahomer ran 'drop' on item 'Broken Clock' (#35884)
[21:31:50]	Felix Mahomer has lost a 'Broken Clock' #35884.
[21:31:52]	[OOC] Ephraim 'Loew' Harris: but also they easily make your stomach hurt too. best candy
[21:32:00]	[OOC] Ephraim 'Loew' Harris: no in all seriousness sweetarts are awesome despite that
[21:32:14]	[OOC] Ephraim 'Loew' Harris: once you eat them for a bit you get used to it and it just gets normal
[21:32:26]	[OOC] Marti Verdugo: that reminds me
[21:32:37]	[OOC] Marti Verdugo: the guy who invented carolina reapers is trying to breed a hotter pepper just because
[21:32:48]	[OOC] Felix Mahomer: a menace
[21:32:54]	[OOC] CCA.C17-RCT.94233: one of the peppers he made
[21:32:55]	Felix Mahomer has gained a 'Cinderblock' #35910.
[21:32:58]	[OOC] Marti Verdugo: this is worse: he goes around his fucking garden
[21:32:58]	[OOC] CCA.C17-RCT.94233: new one
[21:32:59]	Felix Mahomer ran 'drop' on item 'Cinderblock' (#35910)
[21:32:59]	Felix Mahomer has lost a 'Cinderblock' #35910.
[21:33:00]	[OOC] CCA.C17-RCT.94233: he has to wear with gloves
[21:33:08]	[ME] Felix Mahomer: props open the dumpster
[21:33:11]	[OOC] Ephraim 'Loew' Harris: i cut carolina reapers pretty frequently at work and they're pretty mild when they're raw, but when you spray down the cutting board it feels like you're being pepper sprayed
[21:33:16]	[OOC] CCA.C17-RCT.94233: he said he hasn't even showed his new peppers
[21:33:29]	[ME] Felix Mahomer: throws both pieces of the broken table into the dumpster individually
[21:33:30]	[OOC] CCA.C17-RCT.94233: alright well I gtg if your gonna be on tormorrow tell me
[21:33:32]	[OOC] Marti Verdugo: and he eats the peppers hes breeding, that mind you are HOTTER than the carolina reaper
[21:33:36]	[OOC] Ephraim 'Loew' Harris: alright, goodnight tortuga
[21:33:41]	[OOC] CCA.C17-RCT.94233: I will be on tormorrow
[21:33:49]	[OOC] Ephraim 'Loew' Harris: yeah we made a hot sauce with them, fermented in house, and that shit is heinous
[21:33:55]	Weaponized Turtles (STEAM_0:0:69165544) has disconnected.
[21:33:59]	[OOC] Marti Verdugo: You saw nothing.
[21:34:03]	[OOC] Felix Mahomer: I heard he's keeping some peppers unreleased
[21:34:16]	[OOC] Ephraim 'Loew' Harris: madman
[21:34:36]	[ME] Felix Mahomer: chucks the bottles in dumpster like a basketball 3 pointedr
[21:35:08]	Ephraim 'Loew' Harris ran 'View' on item 'Paper' (#31874)
[21:35:28]	[ME] Felix Mahomer: slings a few trash bags over his shoulders
[21:35:46]	[OOC] Ephraim 'Loew' Harris: oh shit i need to flag up
[21:35:52]	[ME] Felix Mahomer: deposits the bags into the dumpster with a violent force
[21:36:19]	[Y] Felix Mahomer: Imagine leaving these trash bags right next to the dumpster! So close to just throwing them away.
[21:36:27]	matt saton loaded the character 'CCA.C17-GRID.i3.10945'
[21:36:48]	[OOC] CCA.C17-GRID.i3.10945: FUCK my fans just went out
