[00:22:58]	Ollie Garner has connected.
[16:26:40]	[LOOC] Angela Aleinikova: like this
[16:26:41]	[LOOC] Nurbika Varayeva: woah wait forgot that would make my char only 18 fuck that, 1979 please
[16:26:42]	[LOOC] Johnny Sins: want to know
[16:26:44]	[ME] Johnny Sins: doesn't die
[16:26:45]	Johnny Sins rolled 4 out of 100.
[16:26:45]	Johnny Sins used command '/Roll'.
[16:26:48]	[LOOC] CCA.C14-JUDGE.i5.22767: aight
[16:26:51]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData nurb'.
[16:27:08]	[ME] Angela Aleinikova: aproaches the person and tiwsts his head by grapping on it with both hands
[16:27:11]	[ME] Nurbika Varayeva: grimaces a bit saying "Not a clue." reluctantly
[16:27:11]	[LOOC] Angela Aleinikova: void
[16:27:18]	[ME] Johnny Sins: kills her using adminge powers
[16:27:19]	Johnny Sins rolled 18 out of 100.
[16:27:19]	Johnny Sins used command '/Roll'.
[16:27:19]	Angela Aleinikova rolled 3 out of 100.
[16:27:19]	Angela Aleinikova used command '/Roll'.
[16:27:22]	[LOOC] Johnny Sins: bruuuuh
[16:27:26]	[LOOC] CCA.C14-GRID.i2.36307: its like
[16:27:26]	[LOOC] Johnny Sins: you dead now
[16:27:29]	[LOOC] CCA.C14-GRID.i2.36307: turn based
[16:27:30]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData nurb'.
[16:27:31]	[LOOC] Angela Aleinikova: nope
[16:27:35]	[LOOC] Johnny Sins: yes
[16:27:41]	Nurbika Varayeva used command '/CharDesc'.
[16:27:43]	CCA.C14-GRID.i2.36307 ran 'Equip' on item 'MP7U' (#28398)
[16:27:44]	[LOOC] Johnny Sins: you're dead and i'm looting your body
[16:27:44]	CCA.C14-GRID.i2.36307 ran 'Equip' on item 'USP Match' (#28407)
[16:27:45]	CCA.C14-GRID.i2.36307 ran 'Equip' on item 'Combat Knife' (#28411)
[16:27:47]	[LOOC] Angela Aleinikova: xD
[16:27:47]	[LOOC] Johnny Sins: gotta acquire them scripts
[16:27:48]	[LOOC] Johnny Sins: smh
[16:27:50]	Nurbika Varayeva used command '/CharDesc A Russian-accented street roamer standing at about 5'7, around her late 20's'.
[16:28:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[16:28:17]	CCA.C14-GRID.i2.36307 used command '/PM judge my ammo vanished into the aether'.
[16:28:24]	[ME] Nurbika Varayeva: tilts her head from side to side saying "Broke uh-leg." She taps her right leg a bit "Four years ago. Completely."
[16:28:26]	CCA.C14-JUDGE.i5.22767 used command '/PM grid pull out your gun'.
[16:28:59]	[ME] Nurbika Varayeva: waves her hand off a bit "Just limp nothing serious."
[16:29:05]	Johnny Sins used command '/ToggleRaise'.
[16:29:05]	Nurbika Varayeva used command '/CharDesc'.
[16:29:08]	Johnny Sins used command '/ToggleRaise'.
[16:29:08]	CCA.C14-JUDGE.i5.22767 ran 'drop' on item 'Citizen ID' (#29801)
[16:29:08]	CCA.C14-JUDGE.i5.22767 has lost a 'Citizen ID' #29801.
[16:29:12]	Nurbika Varayeva used command '/CharDesc A Russian-accented street roamer standing at about 5'7, around her late 20's. Walks with a limp.'.
[16:29:23]	CCA.C14-GRID.i2.36307 used command '/PM JUDGE ok'.
[16:29:23]	CCA.C14-GRID.i2.36307 has gained 10 tokens.
[16:29:24]	[ME] Nurbika Varayeva: swipes up the card, stuffing it into her chest pocket.
[16:29:25]	Nurbika Varayeva ran 'take' on item 'Citizen ID' (#29801)
[16:29:25]	Nurbika Varayeva has gained a 'Citizen ID' #29801.
[16:29:27]	CCA.C14-JUDGE.i5.22767 used command '/PM grid i'll set your ammo in a sec'.
[16:29:32]	CCA.C14-JUDGE.i5.22767 opened the '' #2269 container.
[16:29:35]	CCA.C14-JUDGE.i5.22767 closed the '' #2269 container.
[16:30:07]	CCA.C14-JUDGE.i5.22767 used command '/PM grid you can unload mags by right clicking your gun and selecting unload mag'.
[16:30:17]	CCA.C14-JUDGE.i5.22767 used command '/CharGiveFlag nurb R'.
[16:30:27]	CCA.C14-GRID.i2.36307 used command '/ToggleRaise'.
[16:30:29]	CCA.C14-GRID.i2.36307 used command '/ToggleRaise'.
[16:30:32]	CCA.C14-GRID.i2.36307 ran 'unloadAmmo' on item 'MP7U' (#28398)
[16:30:32]	CCA.C14-GRID.i2.36307 has gained a '4.6x30 Rounds' #29802.
[16:30:34]	CCA.C14-GRID.i2.36307 ran 'use' on item '4.6x30 Rounds' (#29802)
[16:30:44]	CCA.C14-GRID.i2.36307 ran 'unloadAmmo' on item 'MP7U' (#28398)
[16:30:44]	CCA.C14-GRID.i2.36307 has gained a '4.6x30 Rounds' #29802.
[16:30:49]	CCA.C14-GRID.i2.36307 ran 'unloadAmmo' on item 'MP7U' (#28398)
[16:30:49]	CCA.C14-GRID.i2.36307 has gained a '4.6x30 Rounds' #29803.
[16:30:54]	CCA.C14-GRID.i2.36307 ran 'unloadAmmo' on item 'MP7U' (#28398)
[16:30:54]	CCA.C14-GRID.i2.36307 has gained a '4.6x30 Rounds' #29804.
[16:30:56]	CCA.C14-GRID.i2.36307 ran 'use' on item '4.6x30 Rounds' (#29803)
[16:31:00]	Johnny Sins used command '/ToggleRaise'.
[16:31:04]	[OOC] CCA.C14-JUDGE.i5.22767: i gotta put away dishes rq
[16:31:05]	Johnny Sins used command '/ToggleRaise'.
[16:31:06]	Johnny Sins opened the '' #2214 container.
[16:31:08]	Johnny Sins closed the '' #2214 container.
[16:31:11]	Johnny Sins ran 'drop' on item 'Suitcase' (#29796)
[16:31:11]	Johnny Sins has lost a 'Suitcase' #29796.
[16:31:13]	[OOC] Nurbika Varayeva: weak
[16:31:19]	Johnny Sins ran 'take' on item 'Suitcase' (#29796)
[16:31:19]	Johnny Sins has gained a 'Suitcase' #29796.
[16:31:20]	Johnny Sins used command '/ToggleRaise'.
[16:31:20]	Nurbika Varayeva used command '/Discord'.
[16:31:22]	Johnny Sins used command '/ToggleRaise'.
[16:32:06]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:32:15]	[OOC] Johnny Sins: nice serber, just needs players 
[16:32:21]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:32:26]	[OOC] CCA.C14-GRID.i2.36307: someone just moaned
[16:32:29]	[OOC] Nurbika Varayeva: and some refined commands
[16:32:31]	[OOC] Johnny Sins: what
[16:32:36]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:32:36]	[OOC] CCA.C14-GRID.i2.36307: did you not hear that
[16:32:40]	[OOC] Johnny Sins: no
[16:32:41]	[OOC] Nurbika Varayeva: na homie
[16:32:51]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:32:53]	[LOOC] Angela Aleinikova: ah fack
[16:33:01]	[OOC] Johnny Sins: nah chief we ain't homiesexuals, homo sure, homie? nah
[16:33:06]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:33:09]	[LOOC] Johnny Sins: hoe
[16:33:14]	[LOOC] Johnny Sins: stop making dem noises
[16:33:15]	[OOC] Nurbika Varayeva: I'm a homiesexual
[16:33:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[16:33:17]	[LOOC] Johnny Sins: or you'll get s2k-d
[16:33:19]	[LOOC] Angela Aleinikova: shut Jhonny
[16:33:20]	[OOC] CCA.C14-GRID.i2.36307: hobosexual
[16:33:20]	[LOOC] Johnny Sins: thanks
[16:33:21]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:33:28]	[ME] Johnny Sins: kills you with adminge powers
[16:33:29]	Johnny Sins rolled 47 out of 100.
[16:33:29]	Johnny Sins used command '/Roll'.
[16:33:36]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:33:37]	[OOC] CCA.C14-GRID.i2.36307: RESTRANED
[16:33:37]	Johnny Sins used command '/ToggleRaise'.
[16:33:39]	Angela Aleinikova has taken 5 damage from Johnny Sins.
[16:33:40]	[OOC] CCA.C14-GRID.i2.36307: RESTRAINED
[16:33:43]	Johnny Sins used command '/ToggleRaise'.
[16:33:49]	CCA.C14-GRID.i2.36307 ran 'use' on item '4.6x30 Rounds' (#29802)
[16:33:51]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:34:06]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:34:12]	Madeline Wuntch (STEAM_0:0:193599766) has disconnected.
[16:34:14]	[OOC] Johnny Sins: bruh 
[16:34:19]	[OOC] Nurbika Varayeva: i saw that
[16:34:21]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:34:33]	Nurbika Varayeva used command '/Radio yeah?'.
[16:34:36]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:34:51]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:34:51]	Johnny Sins used command '/Gasmask'.
[16:35:06]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:35:21]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:35:31]	Nurbika Varayeva opened the '' #1777 container.
[16:35:33]	Nurbika Varayeva closed the '' #1777 container.
[16:35:36]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:35:49]	[OOC] CCA.C14-JUDGE.i5.22767: i have returned
[16:35:51]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:35:54]	[OOC] Nurbika Varayeva: get out
[16:35:58]	[OOC] CCA.C14-JUDGE.i5.22767: alright
[16:36:06]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:36:12]	[OOC] Johnny Sins: do I need to apply for cwu
[16:36:21]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:36:23]	Johnny Sins used command '/ToggleRaise'.
[16:36:28]	Angela Aleinikova has taken 5 damage from Johnny Sins.
[16:36:29]	Angela Aleinikova has taken 5 damage from Johnny Sins.
[16:36:30]	Johnny Sins used command '/ToggleRaise'.
[16:36:36]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:36:51]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:37:03]	[OOC] CCA.C14-JUDGE.i5.22767: sometimes there will be a guy who comes on and does cwu applications, other than that you can donate and automatically make a character cwu when you make them
[16:37:06]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:37:12]	[OOC] Johnny Sins: donate :P
[16:37:15]	Angela Aleinikova used command '/PM CCA Can you warn the Johnny for mingepunch'.
[16:37:15]	[LOOC] Nurbika Varayeva: quit that
[16:37:21]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:37:22]	[LOOC] Angela Aleinikova: i cant
[16:37:31]	[LOOC] Nurbika Varayeva: stop the moaning
[16:37:36]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:37:47]	[LOOC] Angela Aleinikova: it is because of primary need, nad i am dehydrated
[16:37:51]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:37:54]	[LOOC] Nurbika Varayeva: ah
[16:37:57]	[OOC] CCA.C14-JUDGE.i5.22767: johnny, rq why were you punching angela? cause i see you did quite a lot of damage in logs
[16:38:06]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:38:10]	[OOC] Nurbika Varayeva: she's the one whos moaning
[16:38:12]	[OOC] Johnny Sins: cuz she's making minge sounds the female pain ones
[16:38:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[16:38:21]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:38:26]	[OOC] CCA.C14-JUDGE.i5.22767: that's from starving
[16:38:30]	[OOC] Johnny Sins: besides, she was given fair warning lol
[16:38:36]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:38:39]	[OOC] CCA.C14-JUDGE.i5.22767: you can't just punch someone for starving in game
[16:38:48]	[OOC] Johnny Sins: lmao
[16:38:49]	[OOC] Nurbika Varayeva: Man's really out here punchin' fools
[16:38:51]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:39:03]	[OOC] Johnny Sins: how am I supposed to know she's starving :P
[16:39:06]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:39:16]	[OOC] CCA.C14-JUDGE.i5.22767: not by trying to rdm her
[16:39:21]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:39:23]	[OOC] Johnny Sins: I wasn't tho
[16:39:30]	Nurbika Varayeva ran 'take' on item 'Box of Needles' (#29769)
[16:39:30]	Nurbika Varayeva has gained a 'Box of Needles' #29769.
[16:39:36]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:39:47]	[OOC] Nurbika Varayeva: johnny don't argue homie
[16:39:47]	Angela Aleinikova used command '/PM CCA Wait, Death from Starvation is PK, or NLR?'.
[16:39:48]	[OOC] CCA.C14-JUDGE.i5.22767: punching someone repeatedly for no reason other than they were making noises that are coded into the server is attempted rdm
[16:39:52]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:39:59]	[OOC] Johnny Sins: ok
[16:40:06]	Nurbika Varayeva has taken 48 damage from worldspawn.
[16:40:07]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:40:10]	CCA.C14-JUDGE.i5.22767 used command '/PM angela if you were being attacked by the guy or had no way to prevent it it's nlr'.
[16:40:15]	[OOC] Nurbika Varayeva: I just got tossed off a building
[16:40:19]	[OOC] Johnny Sins: ok
[16:40:22]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:40:37]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:40:49]	[OOC] CCA.C14-JUDGE.i5.22767: how?
[16:40:52]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:41:07]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:41:08]	[OOC] Nurbika Varayeva: climbed up a roof and just went flying idk how but I'm almost dead
[16:41:22]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:41:37]	[OOC] CCA.C14-JUDGE.i5.22767: oh yeah there are invisible wall like things that shove you off, we can't do anything as it's apart of the map
[16:41:37]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:41:41]	CCA.C14-JUDGE.i5.22767 entered observer.
[16:41:52]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:41:55]	[OOC] Nurbika Varayeva: pretty non-gucci gang of the map
[16:41:59]	[OOC] CCA.C14-JUDGE.i5.22767: mhm
[16:42:04]	[OOC] Johnny Sins: why c14 of all maps
[16:42:07]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:42:19]	[OOC] Nurbika Varayeva: its different, I like it
[16:42:22]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:42:34]	[OOC] CCA.C14-JUDGE.i5.22767: apparently we were on a couple other cities before this one but we did map change events for a story line
[16:42:37]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:42:49]	[OOC] Johnny Sins: ah ok
[16:42:52]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[16:42:52]	Angela Aleinikova has killed Angela Aleinikova.
[16:43:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[16:43:22]	Johnny Sins used command '/ToggleRaise'.
[16:43:25]	Johnny Sins used command '/ToggleRaise'.
[16:44:18]	Nurbika Varayeva used the 'Food Vendor' vendor.
[16:44:34]	Angela Aleinikova used the 'Storage' vendor.
[16:44:53]	[OOC] Nurbika Varayeva: I've reached the ghetto
[16:45:13]	Tpar has connected.
[16:45:16]	[OOC] Angela Aleinikova: You kinda meta here ;x
[16:45:38]	[OOC] Nurbika Varayeva: theres like 6 people no biggie homie
[16:47:24]	The Emperor (STEAM_0:1:213402156) has disconnected.
[16:47:56]	[OOC] Nurbika Varayeva: theres a video out there of a crack head lighting a cigarette with his thumb
[16:48:06]	[OOC] CCA.C14-JUDGE.i5.22767: how?
[16:48:16]	[OOC] Nurbika Varayeva: i promise you crack heads have powers
[16:48:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[16:48:22]	Tpar created the character 'Titan Muller'
[16:48:22]	Titan Muller has gained a 'Suitcase' #29805.
[16:48:22]	Titan Muller has gained a 'Relocation Coupon' #29806.
[16:48:22]	Tpar loaded the character 'Titan Muller'
[16:49:27]	[OOC] CCA.C14-JUDGE.i5.22767: harry crackhead
[16:50:19]	[OOC] Nurbika Varayeva: https://www.youtube.com/watch?v=rrxjgzRhsOg
[16:50:27]	[OOC] Nurbika Varayeva: I swear they are gods among men
[16:51:09]	[OOC] CCA.C14-JUDGE.i5.22767: truly
[16:51:46]	[OOC] Nurbika Varayeva: that thumb callus could stop bullets
[16:51:52]	[OOC] CCA.C14-JUDGE.i5.22767: the City Administrator might get on which im kinda excited about
[16:52:03]	[OOC] Nurbika Varayeva: yeet
[16:52:29]	[OOC] CCA.C14-JUDGE.i5.22767: im still wanting a civvie to make a fight club
[16:52:35]	[OOC] Nurbika Varayeva: say less
[16:52:39]	CCA.C14-JUDGE.i5.22767 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#29718)
[16:52:39]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Food Product' #29807.
[16:52:39]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Supplements' #29808.
[16:52:39]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Drink' #29809.
[16:52:40]	CCA.C14-JUDGE.i5.22767 ran 'Eat' on item 'Civil Protection Functionary Grade Food Product' (#29807)
[16:52:41]	CCA.C14-JUDGE.i5.22767 ran 'Consume' on item 'Civil Protection Functionary Grade Supplements' (#29808)
[16:52:41]	[OOC] Nurbika Varayeva: wheres my pet flags
[16:52:42]	CCA.C14-JUDGE.i5.22767 ran 'Consume' on item 'Civil Protection Functionary Grade Drink' (#29809)
[16:52:50]	[OOC] CCA.C14-JUDGE.i5.22767: behind a paywall sadly
[16:52:57]	[OOC] Nurbika Varayeva: lol
[16:53:13]	[OOC] CCA.C14-JUDGE.i5.22767: i mean i can ask the owner if I'd be able to help set one up with a civvie
[16:53:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[16:53:22]	[OOC] Nurbika Varayeva: it moves
[16:53:29]	[OOC] CCA.C14-JUDGE.i5.22767: indeed
[16:53:43]	[OOC] Nurbika Varayeva: na im good dw bout it
[16:53:53]	[OOC] CCA.C14-JUDGE.i5.22767: but for rn the only really random rp thing you can do is play giant chess/checkers
[16:54:03]	SIPS(AC1) has connected.
[16:54:11]	[OOC] Angela Aleinikova: :O
[16:54:11]	[OOC] Nurbika Varayeva: oh trust me theres a reason I put "street roamer" in my desc
[16:54:13]	Nurbika Varayeva used the 'Food Vendor' vendor.
[16:54:28]	[OOC] CCA.C14-JUDGE.i5.22767: hmmmmmm
[16:54:49]	[OOC] Nurbika Varayeva: like i said, crack heads have powers.
[16:54:52]	SIPS(AC1) loaded the character 'Whong Pow'
[16:54:53]	Whong Pow has taken 1 damage from Whong Pow.
[16:54:53]	Whong Pow has taken 2 damage from Whong Pow.
[16:55:08]	Whong Pow has taken 1 damage from Whong Pow.
[16:55:08]	Whong Pow has taken 2 damage from Whong Pow.
[16:55:12]	[OOC] Roach Shepherd: The power of c r a c k.
[16:55:23]	Whong Pow has taken 1 damage from Whong Pow.
[16:55:23]	Whong Pow has taken 2 damage from Whong Pow.
[16:55:38]	Whong Pow has taken 1 damage from Whong Pow.
[16:55:38]	Whong Pow has taken 2 damage from Whong Pow.
[16:55:43]	Roach Shepherd has lost 10 tokens.
[16:55:45]	[OOC] CCA.C14-JUDGE.i5.22767: welcome
[16:55:45]	Roach Shepherd ran 'Consume' on item 'Sparkling Breen's Water' (#29807)
[16:55:53]	Whong Pow has taken 1 damage from Whong Pow.
[16:55:53]	Whong Pow has taken 2 damage from Whong Pow.
[16:55:57]	[OOC] Nurbika Varayeva: whong pow
[16:55:59]	[OOC] Nurbika Varayeva: what guy
[16:56:04]	[OOC] CCA.C14-JUDGE.i5.22767: whong i haven't seen you around lately so i assume you don't know that we have starvation mechanics now
[16:56:04]	[OOC] Nurbika Varayeva: what a guy*
[16:56:08]	Whong Pow has taken 1 damage from Whong Pow.
[16:56:08]	Whong Pow has taken 2 damage from Whong Pow.
[16:56:14]	[OOC] Whong Pow: Why am I dying
[16:56:18]	[OOC] Nurbika Varayeva: lol
[16:56:18]	[OOC] CCA.C14-JUDGE.i5.22767: starvation
[16:56:22]	[OOC] CCA.C14-JUDGE.i5.22767: it was added recently
[16:56:23]	Whong Pow has taken 1 damage from Whong Pow.
[16:56:23]	Whong Pow has taken 2 damage from Whong Pow.
[16:56:33]	[OOC] Whong Pow: but I just loaded in
[16:56:36]	Roach Shepherd used command '/PM JUDGE Can I do another task or negative.'.
[16:56:39]	Whong Pow has taken 1 damage from Whong Pow.
[16:56:39]	Whong Pow has taken 2 damage from Whong Pow.
[16:56:54]	Whong Pow has taken 1 damage from Whong Pow.
[16:56:54]	Whong Pow has taken 2 damage from Whong Pow.
[16:56:55]	CCA.C14-JUDGE.i5.22767 used command '/PM roach not atm'.
[16:57:01]	Roach Shepherd used command '/PM JUDGE Copy.'.
[16:57:09]	Whong Pow has taken 1 damage from Whong Pow.
[16:57:09]	Whong Pow has taken 2 damage from Whong Pow.
[16:57:15]	[OOC] CCA.C14-JUDGE.i5.22767: you can get food from the bakery, and buy water from vending machines
[16:57:23]	Roach Shepherd used the 'Food Vendor' vendor.
[16:57:24]	Whong Pow has taken 1 damage from Whong Pow.
[16:57:24]	Whong Pow has taken 2 damage from Whong Pow.
[16:57:25]	[OOC] CCA.C14-JUDGE.i5.22767: don't buy bread it's broken
[16:57:25]	[OOC] Titan Muller: How do you get out of spawn?
[16:57:29]	Roach Shepherd has lost 7 tokens.
[16:57:29]	Roach Shepherd has gained a 'UU-Brand Bran Flakes' #29808.
[16:57:32]	CCA.C14-JUDGE.i5.22767 exited observer at their location.
[16:57:34]	[OOC] CCA.C14-JUDGE.i5.22767: one second
[16:57:37]	Roach Shepherd ran 'Consume' on item 'UU-Brand Bran Flakes' (#29808)
[16:57:39]	Whong Pow has taken 1 damage from Whong Pow.
[16:57:39]	Whong Pow has taken 2 damage from Whong Pow.
[16:57:39]	[OOC] Nurbika Varayeva: bread machine broke
[16:57:54]	Whong Pow has taken 1 damage from Whong Pow.
[16:57:54]	Whong Pow has taken 2 damage from Whong Pow.
[16:58:09]	Whong Pow has taken 1 damage from Whong Pow.
[16:58:09]	Whong Pow has taken 2 damage from Whong Pow.
[16:58:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[16:58:17]	Titan Muller ran 'drop' on item 'Relocation Coupon' (#29806)
[16:58:17]	Titan Muller has lost a 'Relocation Coupon' #29806.
[16:58:24]	Whong Pow has taken 1 damage from Whong Pow.
[16:58:24]	Whong Pow has taken 2 damage from Whong Pow.
[16:58:34]	CCA.C14-JUDGE.i5.22767 ran 'take' on item 'Relocation Coupon' (#29806)
[16:58:34]	CCA.C14-JUDGE.i5.22767 has gained a 'Relocation Coupon' #29806.
[16:58:39]	Whong Pow has taken 1 damage from Whong Pow.
[16:58:39]	Whong Pow has taken 2 damage from Whong Pow.
[16:58:40]	[OOC] Nurbika Varayeva: aight im probably gonna bounce if nothin's happening
[16:58:40]	Whong Pow used the 'Food Vendor' vendor.
[16:58:43]	[LOOC] CCA.C14-JUDGE.i5.22767: that went fucking flying jeez
[16:58:46]	Whong Pow has lost 7 tokens.
[16:58:46]	Whong Pow has gained a 'UU-Brand Bran Flakes' #29808.
[16:58:47]	Whong Pow has lost 7 tokens.
[16:58:47]	Whong Pow has gained a 'UU-Brand Bran Flakes' #29809.
[16:58:47]	Whong Pow has lost 7 tokens.
[16:58:47]	Whong Pow has gained a 'UU-Brand Bran Flakes' #29810.
[16:58:48]	Whong Pow has lost 7 tokens.
[16:58:48]	Whong Pow has gained a 'UU-Brand Bran Flakes' #29811.
[16:58:51]	Whong Pow ran 'Consume' on item 'UU-Brand Bran Flakes' (#29811)
[16:58:52]	Whong Pow ran 'Consume' on item 'UU-Brand Bran Flakes' (#29808)
[16:58:53]	[LOOC] Titan Muller: Didn't me to throw it lol
[16:58:58]	CCA.C14-JUDGE.i5.22767 ran 'take' on item 'Citizen ID' (#29811)
[16:58:58]	CCA.C14-JUDGE.i5.22767 has gained a 'Citizen ID' #29811.
[16:58:59]	Whong Pow ran 'Consume' on item 'UU-Brand Bran Flakes' (#29809)
[16:59:00]	Whong Pow ran 'Consume' on item 'UU-Brand Bran Flakes' (#29810)
[16:59:01]	[LOOC] Titan Muller: Mean*
[16:59:11]	Weaponized Autism (STEAM_0:0:50046388) has disconnected.
[16:59:12]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData titan'.
[17:00:07]	[LOOC] Titan Muller: What year is this? 24 years ago on 7/25 
[17:00:19]	[LOOC] CCA.C14-JUDGE.i5.22767: should be 2002
[17:00:58]	[LOOC] CCA.C14-JUDGE.i5.22767: void
[17:01:08]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData titan'.
[17:01:14]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData titan'.
[17:01:20]	Roach Shepherd ran 'View' on item 'Notepad' (#28146)
[17:01:29]	Roach Shepherd ran 'View' on item 'Notepad' (#28146)
[17:01:35]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData titan'.
[17:01:39]	[OOC] Roach Shepherd: Is there such thing as a harzard unit lol
[17:01:55]	[OOC] CCA.C14-JUDGE.i5.22767: no but that would be interesting
[17:01:57]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData titan'.
[17:02:04]	[OOC] Roach Shepherd: That would be a good idea.
[17:02:10]	[OOC] Roach Shepherd: Both for OTAs and CWUs.
[17:02:12]	CCA.C14-JUDGE.i5.22767 ran 'drop' on item 'Citizen ID' (#29811)
[17:02:12]	CCA.C14-JUDGE.i5.22767 has lost a 'Citizen ID' #29811.
[17:02:13]	[OOC] Roach Shepherd: CWUs are less important.
[17:02:18]	Titan Muller ran 'take' on item 'Citizen ID' (#29811)
[17:02:18]	Titan Muller has gained a 'Citizen ID' #29811.
[17:02:20]	[OOC] Roach Shepherd: Than the MPs, OTAs, etc.
[17:02:24]	[OOC] CCA.C14-JUDGE.i5.22767: Cannon fodder with uniforms
[17:02:37]	[OOC] Angela Aleinikova: lol
[17:02:40]	[OOC] Roach Shepherd: Basically.
[17:02:53]	CCA.C14-JUDGE.i5.22767 entered observer.
[17:02:54]	CCA.C14-JUDGE.i5.22767 exited observer at their location.
[17:02:59]	CCA.C14-JUDGE.i5.22767 opened the '' #2270 container.
[17:03:02]	CCA.C14-JUDGE.i5.22767 closed the '' #2270 container.
[17:03:11]	Titan Muller used the 'Food Vendor' vendor.
[17:03:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[17:03:18]	Titan Muller has lost 5 tokens.
[17:03:18]	Titan Muller has gained a 'UU-Brand Chips' #29812.
[17:03:40]	CCA.C14-JUDGE.i5.22767 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#29794)
[17:03:40]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Food Product' #29813.
[17:03:40]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Supplements' #29814.
[17:03:40]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Drink' #29815.
[17:03:42]	CCA.C14-JUDGE.i5.22767 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#29719)
[17:03:42]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Food Product' #29816.
[17:03:42]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Supplements' #29817.
[17:03:42]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Drink' #29818.
