[00:00:03]	[LOOC] Amahle Osthuizen: SAME
[18:50:43]	Joe Exotic has gained a 'Sparkling Breen's Water' #17651.
[18:50:46]	Abraham Right opened the '' #933 container.
[18:50:48]	Abraham Right closed the '' #933 container.
[18:50:54]	matt saton loaded the character 'Joseph Kimsler'
[18:50:56]	Joseph Kimsler entered observer.
[18:51:33]	[OOC] Abraham Right: q what are you hiding around the map aaaaw
[18:51:37]	Abraham Right ran 'read' on item 'Fighting: Simplified' (#17620)
[18:51:38]	[OOC] Joseph Kimsler: find it and you'll see
[18:51:40]	[OOC] Joseph Kimsler: use your noggin
[18:51:44]	[OOC] Joseph Kimsler: i put them in actual good place sthis time
[18:51:48]	Joe Exotic opened the '' #1496 container.
[18:51:49]	Joe Exotic closed the '' #1496 container.
[18:51:50]	CCA.C08-JUDGE.i4.33637 has gained 10 tokens.
[18:51:55]	Joseph Kimsler exited observer at their location.
[18:51:55]	[OOC] Abraham Right: i found one and it was in shitty spot
[18:52:02]	Joseph Kimsler entered observer.
[18:52:13]	[OOC] Joseph Kimsler: you haven't found the good stuff
[18:52:18]	Abraham Right ran 'Apply' on item 'Bandage' (#17624)
[18:52:30]	[OOC] Abraham Right: o boy i got bandages
[18:52:35]	[OOC] Abraham Right: thx q
[18:52:41]	[OOC] Joseph Kimsler: there's more loot
[18:52:44]	[OOC] Joseph Kimsler: way b etter stuff
[18:52:48]	Joseph Kimsler exited observer at their location.
[18:52:50]	Joseph Kimsler entered observer.
[18:52:52]	[OOC] Karl Von Habsburg: Metropolice shoot at everything
[18:52:58]	[OOC] Joseph Kimsler: excuse me waht
[18:52:58]	[OOC] Abraham Right: q can you tp
[18:53:01]	CCA.C08-JUDGE.i4.33637 used command '/Radio Should we do a workshift?'.
[18:53:02]	Joseph Kimsler exited observer at their location.
[18:53:02]	Joseph Kimsler entered observer.
[18:53:03]	[OOC] CCA.C08-UNION.i3.98240 [X]: Imagine seeing a man jump off a Bridge
[18:53:13]	[OOC] CCA.C08-UNION.i3.98240 [X]: And not breaking his legs
[18:53:17]	[OOC] James Jacob: wacky
[18:53:18]	[OOC] Karl Von Habsburg: it isn't a lage hight
[18:53:20]	[ME] Karl Von Habsburg: Shows ID, Name:TK-66068-394, Rank: Private, Regiment: Stormtrooper
[18:53:24]	CCA.C08-JUDGE.i4.33637 used command '/Radio Union'.
[18:53:24]	[OOC] Karl Von Habsburg: large*
[18:53:27]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[18:53:27]	James Jacob entered observer.
[18:53:28]	CCA.C08-JUDGE.i4.33637 used command '/Radio Attatch'.
[18:53:36]	CCA.C08-UNION.i3.98240 [X] used command '/Radio Copy 10-20?'.
[18:53:43]	[OOC] Abraham Right: q can you let me out now
[18:53:53]	CCA.C08-JUDGE.i4.33637 used command '/Radio By rations'.
[18:54:01]	Billy.Amman has connected.
[18:54:08]	[OOC] Abraham Right: q
[18:54:11]	[OOC] Joseph Kimsler: yeah?
[18:54:19]	Joe Exotic opened the '' #1534 container.
[18:54:20]	Joe Exotic closed the '' #1534 container.
[18:54:22]	Joe Exotic has taken 5 damage from ix_container.
[18:54:25]	[OOC] Abraham Right: are there in places only cwu can get or all them in spots people can het too
[18:54:29]	James Jacob exited observer at their location.
[18:54:32]	Joe Exotic has taken 5 damage from prop_physics.
[18:54:34]	[OOC] Joe Exotic: cwu locks
[18:54:36]	Karl Von Habsburg has taken 250 damage from trigger_hurt.
[18:54:36]	trigger_hurt has killed Karl Von Habsburg.
[18:54:37]	Joe Exotic has taken 10 damage from prop_physics.
[18:54:39]	[OOC] Joseph Kimsler: what
[18:54:45]	[OOC] Joseph Kimsler: no, it's spots everybody can get to
[18:54:51]	[ME] Abraham Right: hugs
[18:54:53]	Joseph Kimsler has set the password for ''.
[18:54:59]	Joe Exotic opened the '' #1535 container.
[18:55:01]	Joe Exotic closed the '' #1535 container.
[18:55:05]	Joe Exotic opened the '' #932 container.
[18:55:05]	Joe Exotic closed the '' #932 container.
[18:55:06]	Joe Exotic opened the '' #1535 container.
[18:55:08]	Joe Exotic closed the '' #1535 container.
[18:55:09]	Joe Exotic opened the '' #932 container.
[18:55:10]	Joe Exotic closed the '' #932 container.
[18:55:13]	Joe Exotic ran 'Drink' on item 'Sparkling Breen's Water' (#17651)
[18:55:13]	Abraham Right has taken 10 damage from CCA.C08-UNION.i3.98240 [X].
[18:55:21]	[OOC] Joseph Kimsler: why did you guys shoot at karl
[18:55:25]	[ME] CCA.C08-UNION.i3.98240 [X]: begins tying the man, Unless he resist
[18:55:30]	Karl Von Habsburg opened the '' #1286 container.
[18:55:31]	Karl Von Habsburg closed the '' #1286 container.
[18:55:38]	Joseph Kimsler exited observer at their location.
[18:55:40]	[ME] Abraham Right: dosent resist
[18:55:40]	Joseph Kimsler entered observer.
[18:55:42]	Joseph Kimsler exited observer at their location.
[18:55:42]	Joe Exotic opened the '' #933 container.
[18:55:44]	Joe Exotic closed the '' #933 container.
[18:55:51]	Karl Von Habsburg opened the '' #897 container.
[18:55:53]	Karl Von Habsburg closed the '' #897 container.
[18:55:57]	Joseph Kimsler entered observer.
[18:56:01]	Joseph Kimsler exited observer at their location.
[18:56:01]	Karl Von Habsburg opened the '' #1516 container.
[18:56:03]	Karl Von Habsburg closed the '' #1516 container.
[18:56:06]	Joseph Kimsler entered observer.
[18:56:15]	[OOC] Joseph Kimsler: no i'm asking
[18:56:18]	[OOC] Joseph Kimsler: why did you shoot at karl
[18:56:27]	Joseph Kimsler has spawned a 'NPC [2924][npc_headcrab]'.
[18:56:29]	CCA.C08-UNION.i3.98240 [X] ran 'Use' on item 'Zip Tie' (#17645)
[18:56:33]	[ME] James Jacob: *Tips Fedora*
[18:56:37]	Karl Von Habsburg has taken 5 damage from npc_headcrab.
[18:56:49]	[ME] CCA.C08-UNION.i3.98240 [X]: Begins beating the man with his StunStick on High.
[18:56:50]	CCA.C08-JUDGE.i4.33637 has gained 10 tokens.
[18:56:51]	Abraham Right has taken 20 damage from CCA.C08-UNION.i3.98240 [X].
[18:56:52]	Abraham Right has taken 20 damage from CCA.C08-UNION.i3.98240 [X].
[18:57:10]	[LOOC] CCA.C08-UNION.i3.98240 [X]: High not extreme you trogladyte
[18:57:11]	Joe Exotic opened the '' #1286 container.
[18:57:11]	Joe Exotic closed the '' #1286 container.
[18:57:13]	Joe Exotic opened the '' #1286 container.
[18:57:13]	[LOOC] CCA.C08-JUDGE.i4.33637: LOL
[18:57:14]	Joe Exotic closed the '' #1286 container.
[18:57:22]	[ME] CCA.C08-UNION.i3.98240 [X]: Cuts the mans ties
[18:57:39]	[OOC] Abraham Right: q
[18:57:45]	[OOC] Abraham Right: we need hints
[18:57:50]	[OOC] Joseph Kimsler: no sir
[18:57:56]	Abraham Right opened the '' #1109 container.
[18:57:57]	Billy.Amman (STEAM_0:1:104333445) has disconnected.
[18:57:59]	Abraham Right closed the '' #1109 container.
[18:58:06]	James Jacob opened the '' #1109 container.
[18:58:08]	James Jacob closed the '' #1109 container.
[18:58:25]	James Jacob entered observer.
[18:58:27]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[18:58:27]	Joseph Kimsler exited observer at their location.
[18:58:31]	Joseph Kimsler used command '/adminspawnmenu'.
[18:58:35]	Joseph Kimsler has spawned "Rock"
[18:58:38]	Karl Von Habsburg ran 'take' on item 'Rock' (#17651)
[18:58:38]	Karl Von Habsburg has gained a 'Rock' #17651.
[18:58:41]	James Jacob exited observer at their location.
[18:58:41]	Joseph Kimsler used command '/ToggleRaise'.
[18:58:44]	James Jacob has taken 24 damage from Joseph Kimsler.
[18:58:45]	Joseph Kimsler entered observer.
[18:58:47]	[OOC] Joseph Kimsler: void gunshot
[18:59:02]	James Jacob entered observer.
[18:59:04]	James Jacob exited observer at their location.
[18:59:09]	[Y] CCA.C08-JUDGE.i4.33637: <:: You. ::>
[18:59:21]	[OOC] Abraham Right: q suprised you didnt put anything here
[18:59:25]	Karl Von Habsburg ran 'Equip' on item 'Rock' (#17651)
[18:59:26]	Joseph Kimsler exited observer at their location.
[18:59:27]	[LOOC] CCA.C08-JUDGE.i4.33637: ^like
[18:59:29]	[OOC] Joseph Kimsler: ?
[18:59:32]	[OOC] Abraham Right: tp
[18:59:34]	Joseph Kimsler has removed the password for ''.
[18:59:35]	Joseph Kimsler opened the '' #1517 container.
[18:59:36]	Joseph Kimsler closed the '' #1517 container.
[18:59:37]	Karl Von Habsburg opened the '' #1517 container.
[18:59:37]	Joseph Kimsler entered observer.
[18:59:39]	Karl Von Habsburg closed the '' #1517 container.
[18:59:45]	[OOC] Joseph Kimsler: that place is mingy as fuck
[18:59:49]	[OOC] Abraham Right: no
[18:59:53]	[OOC] Joseph Kimsler: yes
[18:59:55]	[OOC] Abraham Right: not really\
[19:00:02]	[OOC] Joseph Kimsler: very really
[19:00:13]	Joseph Kimsler has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[19:00:15]	Joseph Kimsler used command '/ToggleRaise'.
[19:00:22]	[OOC] Abraham Right: q have alot of people
[19:00:27]	[OOC] Abraham Right: already got stuff
[19:00:31]	Karl Von Habsburg ran 'EquipUn' on item 'Rock' (#17651)
[19:00:32]	Abraham Right opened the '' #1497 container.
[19:00:35]	Abraham Right has gained a 'Bandage' #17625.
[19:00:36]	Abraham Right closed the '' #1497 container.
[19:00:37]	[OOC] Joseph Kimsler: can't tel lyou
[19:00:38]	[OOC] Abraham Right: ooooooo
[19:00:43]	[OOC] Abraham Right: bandages
[19:00:48]	Karl Von Habsburg ran 'drop' on item 'Rock' (#17651)
[19:00:48]	Karl Von Habsburg has lost a 'Rock' #17651.
[19:00:54]	[OOC] Joseph Kimsler: there's a perc 20 somewhere on the map
[19:00:56]	Abraham Right opened the '' #932 container.
[19:00:59]	Abraham Right closed the '' #932 container.
[19:01:03]	[OOC] Abraham Right: what is perc 20
[19:01:09]	[OOC] Joseph Kimsler: painkillers. helas you
[19:01:12]	[OOC] Joseph Kimsler: heals*
[19:01:14]	Joe Exotic ran 'take' on item 'Rock' (#17651)
[19:01:14]	Joe Exotic has gained a 'Rock' #17651.
[19:01:18]	[OOC] Abraham Right: who wants pain killers
[19:01:18]	CCA.C08-UNION.i3.98240 [X] opened the '' #1117 container.
[19:01:20]	CCA.C08-UNION.i3.98240 [X] has gained a 'Standard Grade Ration' #17424.
[19:01:21]	CCA.C08-UNION.i3.98240 [X] has gained a 'Standard Grade Ration' #17429.
[19:01:24]	CCA.C08-UNION.i3.98240 [X] has gained a 'Loyalist Grade Ration' #9513.
[19:01:25]	CCA.C08-UNION.i3.98240 [X] has gained a 'Loyalist Grade Ration' #17441.
[19:01:27]	CCA.C08-UNION.i3.98240 [X] closed the '' #1117 container.
[19:01:28]	[OOC] Abraham Right: thats shit just as good as bandages
[19:01:31]	Abraham Right opened the '' #932 container.
[19:01:32]	James Jacob used command '/Apply'.
[19:01:33]	Abraham Right closed the '' #932 container.
[19:01:38]	[OOC] Joseph Kimsler: painkillers heal more iirc
[19:01:48]	[OOC] Abraham Right: they also can kill you
[19:01:48]	CCA.C08-UNION.i3.98240 [X] ran 'drop' on item 'Loyalist Grade Ration' (#9513)
[19:01:48]	CCA.C08-UNION.i3.98240 [X] has lost a 'Loyalist Grade Ration' #9513.
[19:01:49]	CCA.C08-UNION.i3.98240 [X] ran 'drop' on item 'Loyalist Grade Ration' (#17441)
[19:01:49]	CCA.C08-UNION.i3.98240 [X] has lost a 'Loyalist Grade Ration' #17441.
[19:01:50]	CCA.C08-JUDGE.i4.33637 has gained 10 tokens.
[19:01:51]	Joe Exotic ran 'drop' on item 'Rock' (#17651)
[19:01:51]	Joe Exotic has lost a 'Rock' #17651.
[19:01:53]	James Jacob ran 'take' on item 'Loyalist Grade Ration' (#17441)
[19:01:53]	James Jacob has gained a 'Loyalist Grade Ration' #17441.
[19:01:55]	[OOC] Joseph Kimsler: not as an item
[19:01:58]	James Jacob ran 'take' on item 'Loyalist Grade Ration' (#9513)
[19:01:58]	James Jacob has gained a 'Loyalist Grade Ration' #9513.
[19:02:08]	[OOC] Abraham Right: wow nothing here ever q
[19:02:11]	[LOOC] CCA.C08-UNION.i3.98240 [X]: No idea, We're just gonna go with two Loyalist
[19:02:18]	[OOC] Joseph Kimsler: you know there's ration cycle right
[19:02:22]	Karl Von Habsburg used command '/Apply'.
[19:02:23]	[OOC] Abraham Right: yea
[19:02:27]	[OOC] Joseph Kimsler: okay
[19:02:28]	James Jacob ran 'Open' on item 'Loyalist Grade Ration' (#17441)
[19:02:28]	James Jacob has gained a 'Loyalist Grade Citizen Food Product' #17652.
[19:02:28]	James Jacob has gained a 'Loyalist Grade Citizen Supplements' #17653.
[19:02:28]	James Jacob has gained a 'Flavored Breen's Water' #17654.
[19:02:28]	James Jacob has gained 40 tokens.
[19:02:29]	James Jacob ran 'Open' on item 'Loyalist Grade Ration' (#9513)
[19:02:29]	James Jacob has gained a 'Loyalist Grade Citizen Food Product' #17655.
[19:02:29]	James Jacob has gained a 'Loyalist Grade Citizen Supplements' #17656.
[19:02:29]	James Jacob has gained a 'Flavored Breen's Water' #17657.
[19:02:29]	James Jacob has gained 40 tokens.
[19:02:50]	[LOOC] Joseph Kimsler: why is he being arrested
[19:02:53]	[LOOC] Joseph Kimsler: the shit is going on
[19:02:58]	James Jacob opened the '' #909 container.
[19:03:00]	Abraham Right opened the '' #1516 container.
[19:03:01]	[LOOC] Joe Exotic: i reported him for possibly breaking windows in minimal
[19:03:01]	James Jacob closed the '' #909 container.
[19:03:02]	James Jacob entered observer.
[19:03:03]	Abraham Right closed the '' #1516 container.
[19:03:05]	James Jacob opened the '' #1428 container.
[19:03:08]	James Jacob closed the '' #1428 container.
[19:03:10]	[LOOC] Joe Exotic: window*
[19:03:11]	[OOC] Abraham Right: oooooo pain killers
[19:03:12]	James Jacob exited observer at their location.
[19:03:21]	[LOOC] Joe Exotic: yeah, i didnt tell them it was 100% him
[19:03:24]	James Jacob opened the '' #1244 container.
[19:03:26]	James Jacob closed the '' #1244 container.
[19:03:27]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[19:03:37]	James Jacob opened the '' #1243 container.
[19:03:42]	James Jacob closed the '' #1243 container.
[19:03:44]	James Jacob opened the '' #1428 container.
[19:03:54]	James Jacob has gained a 'Biotic Grade Ration' #17435.
[19:03:55]	James Jacob has gained a 'Biotic Grade Ration' #17550.
[19:03:56]	[LOOC] Joe Exotic: tfw an i4 disobeys an i3s orders
[19:03:58]	James Jacob closed the '' #1428 container.
[19:03:59]	Joe Exotic used command '/Apply'.
[19:04:09]	Joseph Kimsler exited observer at their location.
[19:04:09]	[LOOC] CCA.C08-UNION.i3.98240 [X]: I just don't even want too complain about that
[19:04:11]	Joseph Kimsler entered observer.
[19:04:12]	James Jacob opened the '' #1484 container.
[19:04:14]	Joseph Kimsler has spawned 'models/props_c17/Lockers001a.mdl'.
[19:04:14]	James Jacob closed the '' #1484 container.
[19:04:15]	James Jacob opened the '' #1485 container.
[19:04:15]	CCA.C08-UNION.i3.98240 [X] used command '/ViewData Exotic'.
[19:04:16]	Abraham Right ran 'take' on item 'Rock' (#17651)
[19:04:16]	Abraham Right has gained a 'Rock' #17651.
[19:04:17]	James Jacob closed the '' #1485 container.
[19:04:27]	[LOOC] CCA.C08-JUDGE.i4.33637: No need to search and beat him it could have been
[19:04:44]	CCA.C08-UNION.i3.98240 [X] ran 'take' on item 'Loyalist Grade Ration' (#17445)
[19:04:44]	CCA.C08-UNION.i3.98240 [X] has gained a 'Loyalist Grade Ration' #17445.
[19:04:53]	Joseph Kimsler has set the password for 'Locker'.
[19:04:57]	CCA.C08-UNION.i3.98240 [X] used command '/ViewData Exotic'.
[19:04:57]	CCA.C08-JUDGE.i4.33637 opened the '' #1109 container.
[19:04:59]	CCA.C08-JUDGE.i4.33637 closed the '' #1109 container.
[19:05:00]	CCA.C08-UNION.i3.98240 [X] ran 'drop' on item 'Loyalist Grade Ration' (#17445)
[19:05:00]	CCA.C08-UNION.i3.98240 [X] has lost a 'Loyalist Grade Ration' #17445.
[19:05:05]	Joe Exotic ran 'take' on item 'Loyalist Grade Ration' (#17445)
[19:05:05]	Joe Exotic has gained a 'Loyalist Grade Ration' #17445.
[19:05:10]	[OOC] Abraham Right: q ever your really good at hiding or you put them in the most obvouse spots and im not looking there
[19:05:16]	Karl Von Habsburg used command '/Apply'.
[19:05:26]	CCA.C08-UNION.i3.98240 [X] used command '/ViewData Habsburg'.
[19:05:30]	CCA.C08-UNION.i3.98240 [X] ran 'drop' on item 'Standard Grade Ration' (#17424)
[19:05:30]	CCA.C08-UNION.i3.98240 [X] has lost a 'Standard Grade Ration' #17424.
[19:05:32]	[OOC] Joseph Kimsler: the really good stuff is hjard to find
[19:05:34]	Karl Von Habsburg ran 'take' on item 'Standard Grade Ration' (#17424)
[19:05:34]	Karl Von Habsburg has gained a 'Standard Grade Ration' #17424.
[19:05:35]	[OOC] Joseph Kimsler: the bandages aren't that hard
[19:05:38]	James Jacob ran 'EquipUn' on item 'Blue Loyalist Armband' (#9813)
[19:05:39]	James Jacob ran 'Equip' on item 'Blue Loyalist Armband' (#9813)
[19:05:43]	[OOC] Abraham Right: okay q
[19:05:44]	Karl Von Habsburg ran 'Drink' on item 'Breen's Water' (#3466)
[19:05:45]	Karl Von Habsburg ran 'Open' on item 'Standard Grade Ration' (#17424)
[19:05:45]	Karl Von Habsburg has gained a 'Standard Grade Citizen Food Product' #17658.
[19:05:45]	Karl Von Habsburg has gained a 'Standard Grade Citizen Supplements' #17659.
[19:05:45]	Karl Von Habsburg has gained a 'Breen's Water' #17660.
[19:05:45]	Karl Von Habsburg has gained 20 tokens.
[19:05:45]	[OOC] CCA.C08-UNION.i3.98240 [X]: Brb
[19:05:47]	[W] James Jacob: 3A.
[19:05:50]	[OOC] Abraham Right: is all this stuff in the city
[19:05:53]	Joseph Kimsler ran 'drop' on item 'Loyalist Grade Citizen Food Product' (#12782)
[19:05:53]	Joseph Kimsler has lost a 'Loyalist Grade Citizen Food Product' #12782.
[19:05:57]	[OOC] Joseph Kimsler: yes.
[19:06:09]	[OOC] Joseph Kimsler: you guys didn't give LP to joe, right?
[19:06:24]	[OOC] Joe Exotic: i randomly had 10 i guess
[19:06:28]	[OOC] Joseph Kimsler: 10?
[19:06:30]	[OOC] Joseph Kimsler: WHAT THE SHITCOCK
[19:06:30]	James Jacob ran 'drop' on item 'Biotic Grade Ration' (#17435)
[19:06:30]	James Jacob has lost a 'Biotic Grade Ration' #17435.
[19:06:31]	James Jacob ran 'drop' on item 'Biotic Grade Ration' (#17550)
[19:06:31]	James Jacob has lost a 'Biotic Grade Ration' #17550.
[19:06:34]	CCA.C08-JUDGE.i4.33637 ran 'take' on item 'Biotic Grade Ration' (#17550)
[19:06:34]	CCA.C08-JUDGE.i4.33637 has gained a 'Biotic Grade Ration' #17550.
[19:06:34]	[OOC] Joe Exotic: idk, they told me i had 10
[19:06:36]	CCA.C08-JUDGE.i4.33637 ran 'take' on item 'Biotic Grade Ration' (#17435)
[19:06:36]	CCA.C08-JUDGE.i4.33637 has gained a 'Biotic Grade Ration' #17435.
[19:06:37]	[OOC] Joseph Kimsler: what the shit
[19:06:50]	CCA.C08-JUDGE.i4.33637 has gained 10 tokens.
[19:06:54]	[OOC] Abraham Right: q quit fucking with me
[19:06:55]	[LOOC] CCA.C08-JUDGE.i4.33637: I'm dumb loyaltly points how give
[19:06:58]	[OOC] Joseph Kimsler: what
[19:07:02]	[OOC] Joseph Kimsler: i'm literally nowhere near you
[19:07:11]	[OOC] CCA.C08-UNION.i3.98240 [X]: I checked his CID and it said 10, I don't know why it's like that
[19:07:11]	[OOC] Abraham Right: you keep opening that door
[19:07:13]	[OOC] CCA.C08-JUDGE.i4.33637: Holy Fathjer I need you
[19:07:14]	Joseph Kimsler exited observer at their location.
[19:07:20]	Joseph Kimsler entered observer.
[19:07:24]	[OOC] CCA.C08-JUDGE.i4.33637: COme back Dad
[19:07:29]	CCA.C08-UNION.i3.98240 [X] opened the '' #1117 container.
[19:07:32]	Joseph Kimsler exited observer at their location.
[19:07:33]	CCA.C08-UNION.i3.98240 [X] closed the '' #1117 container.
[19:07:37]	Joseph Kimsler entered observer.
[19:07:37]	CCA.C08-UNION.i3.98240 [X] opened the '' #1114 container.
[19:07:39]	CCA.C08-UNION.i3.98240 [X] has gained a 'Civil Protection Functionary Grade Ration' #9532.
[19:07:41]	CCA.C08-UNION.i3.98240 [X] has gained a 'Civil Protection Functionary Grade Ration' #8929.
[19:07:41]	CCA.C08-UNION.i3.98240 [X] closed the '' #1114 container.
[19:07:43]	CCA.C08-JUDGE.i4.33637 ran 'drop' on item 'Biotic Grade Ration' (#17550)
[19:07:43]	CCA.C08-JUDGE.i4.33637 has lost a 'Biotic Grade Ration' #17550.
[19:07:43]	CCA.C08-JUDGE.i4.33637 ran 'drop' on item 'Biotic Grade Ration' (#17435)
[19:07:43]	CCA.C08-JUDGE.i4.33637 has lost a 'Biotic Grade Ration' #17435.
[19:07:44]	CCA.C08-UNION.i3.98240 [X] ran 'drop' on item 'Civil Protection Functionary Grade Ration' (#9532)
[19:07:44]	CCA.C08-UNION.i3.98240 [X] has lost a 'Civil Protection Functionary Grade Ration' #9532.
[19:07:48]	CCA.C08-JUDGE.i4.33637 ran 'take' on item 'Civil Protection Functionary Grade Ration' (#9532)
[19:07:48]	CCA.C08-JUDGE.i4.33637 has gained a 'Civil Protection Functionary Grade Ration' #9532.
[19:08:05]	Abraham Right opened the '' #1286 container.
[19:08:07]	Abraham Right closed the '' #1286 container.
[19:08:17]	Karl Von Habsburg opened the '' #933 container.
[19:08:19]	Karl Von Habsburg closed the '' #933 container.
[19:08:22]	James Jacob ran 'Drink' on item 'Flavored Breen's Water' (#17657)
[19:08:22]	James Jacob ran 'Eat' on item 'Loyalist Grade Citizen Supplements' (#17656)
[19:08:25]	James Jacob ran 'Eat' on item 'Loyalist Grade Citizen Food Product' (#17655)
[19:08:27]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[19:08:27]	James Jacob opened the '' #909 container.
[19:08:32]	[OOC] CCA.C08-UNION.i3.98240 [X]: What armband do you get at 10 LP?
[19:08:33]	James Jacob closed the '' #909 container.
[19:08:37]	[OOC] Joseph Kimsler: you don't
[19:08:40]	Abraham Right ran 'View' on item 'Notepad' (#15040)
[19:08:43]	[OOC] CCA.C08-UNION.i3.98240 [X]: Oh really?
[19:08:49]	[OOC] Joseph Kimsler: yeah, check the guide
[19:08:53]	CCA.C08-JUDGE.i4.33637 ran 'View' on item 'Notepad' (#12572)
[19:09:04]	Abraham Right ran 'View' on item 'Notepad' (#15037)
[19:09:28]	[OOC] Abraham Right: q i keep finding note pads is this you throwing away shit
[19:09:33]	[OOC] Abraham Right: or is there ic
[19:09:36]	[OOC] CCA.C08-UNION.i3.98240 [X]: It says at five he gets a Red loyalist band
[19:09:36]	[OOC] Joseph Kimsler: what
[19:09:42]	[OOC] Abraham Right: tp to me
[19:09:51]	[OOC] Joseph Kimsler: at five he gets one, but not at 10
[19:09:53]	Karl Von Habsburg opened the '' #894 container.
[19:09:54]	Karl Von Habsburg closed the '' #894 container.
[19:09:57]	Joseph Kimsler ran 'View' on item 'Notepad' (#15037)
[19:10:01]	Karl Von Habsburg opened the '' #895 container.
[19:10:01]	[OOC] CCA.C08-UNION.i3.98240 [X]: Alright, can I get the one for five?
[19:10:01]	Karl Von Habsburg closed the '' #895 container.
[19:10:02]	Karl Von Habsburg opened the '' #895 container.
[19:10:04]	Karl Von Habsburg closed the '' #895 container.
[19:10:16]	[OOC] CCA.C08-UNION.i3.98240 [X]: So I can give it too him?
[19:10:20]	[OOC] Joseph Kimsler: yes
[19:10:26]	CCA.C08-UNION.i3.98240 [X] has gained a 'Red Loyalist Armband' #17661.
[19:10:26]	Joseph Kimsler used command '/CharGiveItem union.i3 Red Loyalist Armband'.
[19:10:37]	CCA.C08-UNION.i3.98240 [X] ran 'drop' on item 'Red Loyalist Armband' (#17661)
[19:10:37]	CCA.C08-UNION.i3.98240 [X] has lost a 'Red Loyalist Armband' #17661.
[19:10:39]	Joe Exotic ran 'take' on item 'Red Loyalist Armband' (#17661)
[19:10:39]	Joe Exotic has gained a 'Red Loyalist Armband' #17661.
[19:10:41]	Joe Exotic ran 'Equip' on item 'Red Loyalist Armband' (#17661)
[19:10:50]	Abraham Right has taken 250 damage from trigger_hurt.
[19:10:50]	trigger_hurt has killed Abraham Right.
[19:10:56]	Joseph Kimsler has spawned a 'NPC [2982][npc_vj_elite_synth]'.
[19:10:57]	Joseph Kimsler exited observer at their location.
[19:10:58]	Joseph Kimsler entered observer.
[19:10:58]	Joseph Kimsler exited observer at their location.
[19:11:00]	Joseph Kimsler entered observer.
[19:11:05]	Abraham Right ran 'take' on item 'Loyalist Grade Citizen Food Product' (#12782)
[19:11:05]	Abraham Right has gained a 'Loyalist Grade Citizen Food Product' #12782.
[19:11:17]	[OOC] Abraham Right: i found loyalist grade rations
[19:11:22]	Karl Von Habsburg has taken 20 damage from prop_physics.
[19:11:24]	[OOC] Abraham Right: epic gamer moment
[19:11:37]	Karl Von Habsburg ran 'Eat' on item 'Standard Grade Citizen Supplements' (#17659)
[19:11:37]	Abraham Right ran 'take' on item 'Flavored Breen's Water' (#17630)
[19:11:37]	Abraham Right has gained a 'Flavored Breen's Water' #17630.
[19:11:40]	Karl Von Habsburg ran 'Eat' on item 'Standard Grade Citizen Food Product' (#17658)
[19:11:46]	[OOC] CCA.C08-UNION.i3.98240 [X]: Imagine being a rebel?
[19:11:50]	CCA.C08-JUDGE.i4.33637 has gained 10 tokens.
[19:11:50]	Joseph Kimsler has spawned 'models/props_lab/filecabinet02.mdl'.
[19:11:51]	James Jacob opened the '' #909 container.
[19:11:54]	James Jacob ran 'Eat' on item 'Loyalist Grade Citizen Supplements' (#17653)
[19:11:55]	James Jacob ran 'Eat' on item 'Loyalist Grade Citizen Food Product' (#17652)
[19:11:58]	James Jacob has gained a 'Flavored Breen's Water' #17654.
[19:11:59]	James Jacob closed the '' #909 container.
[19:12:05]	Joe Exotic opened the '' #1485 container.
[19:12:06]	CCA.C08-JUDGE.i4.33637 used command '/Radio'.
[19:12:07]	Joe Exotic closed the '' #1485 container.
[19:12:08]	James Jacob ran 'Drink' on item 'Flavored Breen's Water' (#17654)
[19:12:08]	Joe Exotic opened the '' #1486 container.
[19:12:11]	Joe Exotic closed the '' #1486 container.
[19:12:12]	Joe Exotic opened the '' #1484 container.
[19:12:13]	Joseph Kimsler has set the password for 'File Cabinet'.
[19:12:14]	Joe Exotic closed the '' #1484 container.
[19:12:53]	matt saton loaded the character 'OTA.C08-KING.EOT.51052'
[19:13:00]	OTA.C08-KING.EOT.51052 entered observer.
[19:13:07]	OTA.C08-KING.EOT.51052 used command '/Dispatch unrest procedure'.
[19:13:22]	[OOC] Abraham Right: what does that mean
[19:13:25]	[OOC] Joe Exotic: ^
[19:13:26]	OTA.C08-KING.EOT.51052 used command '/Radio Unit is now 10-8, all units return to duty.'.
[19:13:27]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[19:13:27]	OTA.C08-KING.EOT.51052 exited observer at their location.
[19:13:28]	OTA.C08-KING.EOT.51052 entered observer.
[19:13:28]	CCA.C08-JUDGE.i4.33637 used command '/Radio Dispatch come in'.
[19:13:28]	OTA.C08-KING.EOT.51052 exited observer at their location.
[19:13:37]	CCA.C08-JUDGE.i4.33637 used command '/Radio What is this about'.
[19:13:38]	OTA.C08-KING.EOT.51052 used command '/Radio All units, business as usual.'.
[19:13:46]	OTA.C08-KING.EOT.51052 used command '/Radio Classified.'.
[19:13:52]	CCA.C08-UNION.i3.98240 [X] used command '/Radio Copy that'.
